sequence,v115@EhA8HeB8HeD8EeE8Je0/IvhFZmBumBTjBNpBXqB6qB,v115@EhA8HeB8HeD8EeE8Je0/IvhF3hBTjBNpBWrBilBRvB,v115@EhA8HeB8HeD8EeE8JeZEJvhFukBihBTjBcrBXqB9qB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrB3pBmqBUqB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrBUqBmqB3pB,v115@EhA8HeB8HeD8EeE8JeZEJvhFdmBumBTjBCqBfqB0qB,v115@EhA8HeB8HeD8EeE8JedFJvhFRhBTjBCmB0pBXrBOpB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBcrBGqBiqB3pB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBuqBcrB3pBaqB,v115@EhA8HeB8HeD8EeE8JeRAJvhFumBTjB/qBarB0pBNpB,v115@EhA8HeB8HeD8EeE8Jei/IvhFZmBumBTjBcpBXqB9qB
TIZSLOJ,O,O,X,X,X,X,O,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X,O
TIZSJOL,O,O,O,X,X,X,X,X,X,X,O
TIZSOLJ,O,O,X,X,X,X,O,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X,O
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,X,X,X,O,O,X,O
TIZOSLJ,O,O,X,X,X,X,O,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,O
TIOLJSZ,O,O,X,X,X,O,X,X,X,X,X
TIOLJZS,X,O,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,O,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,O,O,X,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,O,X,X,X,X,X
TIOJLZS,X,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X,O
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X,O
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,X,O
TIOSZLJ,O,O,X,X,X,X,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X,X,X,O
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,O,O,X,O
TIOZSLJ,O,O,X,X,X,X,O,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X,X,O
TLIJSZO,O,O,X,X,X,O,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,X,X,X,O,X,X,X,X,X
TLIJZOS,X,O,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,O,X,X,X,O,X,X,X,X,X
TLIJOZS,X,O,X,X,X,O,X,X,X,X,X
TLISJZO,O,O,X,O,X,O,X,X,X,X,X
TLISJOZ,O,O,X,O,X,O,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,O,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,X,O,O,X,X,X,X,X
TLIZJOS,X,O,X,X,O,O,X,X,X,X,X
TLIZSJO,X,O,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,O,O,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,O,X,X,X,X,X
TLIOJZS,X,O,X,X,X,O,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,O,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,O,O,X,X,X,X,X
TLIOZSJ,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,O,X
TLJSZOI,O,O,X,X,X,X,X,X,X,O,X
TLJSOIZ,O,X,X,X,X,O,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X,X,O,X
TLJZISO,X,X,X,X,X,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,O,X,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,O,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,O,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,O,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X,O,X
TLSJZOI,O,O,X,O,X,X,X,X,X,O,X
TLSJOIZ,O,X,X,O,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X,O,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X,O,X
TLSZJOI,O,O,X,O,X,X,X,X,X,O,X
TLSZOIJ,O,X,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X,X,O,X
TLSOIJZ,O,X,X,O,X,O,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,X,O,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,O,X
TLSOZIJ,O,X,X,O,X,X,X,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X,X,O,X
TLZIJSO,X,O,X,X,O,O,X,X,X,X,X
TLZIJOS,X,O,X,X,O,O,X,X,X,X,X
TLZISJO,X,O,X,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,O,X,X,X,X,X,X
TLZIOJS,X,O,X,X,O,O,X,X,X,X,X
TLZIOSJ,X,O,X,X,O,X,X,X,X,X,X
TLZJISO,X,X,X,X,O,O,X,X,X,X,X
TLZJIOS,X,X,X,X,O,O,X,X,X,X,X
TLZJSIO,O,X,X,X,O,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,X,O,O,X,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,X,X,X,X
TLZSIJO,O,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,X,X,X,X
TLZSJIO,O,X,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,X,X,O,X,X,X,X,X,X
TLZOIJS,X,O,X,X,O,O,X,X,X,X,X
TLZOISJ,X,O,X,X,O,X,X,X,X,X,X
TLZOJIS,X,X,X,X,O,O,X,X,X,X,X
TLZOJSI,O,O,X,X,O,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X,X,X,X,X
TLZOSJI,O,O,X,X,O,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,X,O,X,X,X,X,X
TLOIJZS,X,O,X,X,X,O,X,X,X,X,X
TLOISJZ,O,O,X,O,X,O,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X,X,X
TLOIZJS,X,O,X,X,O,O,X,X,X,X,X
TLOIZSJ,X,O,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,O,X,X,X,X,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,O,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,X,O,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,X,O,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X,X,O,X
TLOSZIJ,O,X,X,O,X,X,X,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X,X,O,X
TLOZIJS,X,O,X,X,O,O,X,X,X,X,X
TLOZISJ,X,O,X,X,O,X,X,X,X,X,X
TLOZJIS,X,X,X,X,O,O,X,X,X,X,X
TLOZJSI,O,O,X,X,O,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,O,X,X,X,X,X,X
TJILSZO,O,O,X,X,X,O,X,X,X,X,X
TJILSOZ,O,O,X,X,X,O,X,X,X,X,X
TJILZSO,X,O,X,X,X,O,X,X,X,X,X
TJILZOS,X,O,X,X,X,O,X,X,X,X,X
TJILOSZ,O,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,X,X,X,O,X,X,X,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X,X,O
TJISZOL,O,O,X,X,X,X,X,X,X,X,O
TJISOLZ,O,O,X,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,O
TJIZLSO,X,O,X,X,X,X,X,O,X,X,X
TJIZLOS,X,O,X,X,X,X,X,O,X,X,X
TJIZSLO,O,O,X,X,X,X,X,O,X,X,O
TJIZSOL,O,O,X,X,X,X,X,O,X,X,O
TJIZOLS,X,O,X,X,X,X,X,O,X,X,X
TJIZOSL,O,O,X,X,X,X,X,O,X,X,O
TJIOLSZ,O,O,X,X,X,O,X,X,X,X,X
TJIOLZS,X,O,X,X,X,O,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X,X,X,O
TJIOZLS,X,O,X,X,X,X,X,O,X,X,X
TJIOZSL,O,O,X,X,X,X,X,O,X,X,O
TJLISZO,O,X,X,X,X,O,X,X,X,X,X
TJLISOZ,O,X,X,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,O,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,X
TJLSIZO,O,X,X,X,X,O,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,O,X
TJLSZOI,O,O,X,X,X,X,X,X,X,O,X
TJLSOIZ,O,X,X,X,X,O,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,X,O,X
TJLZISO,X,X,X,X,X,O,X,O,X,X,X
TJLZIOS,X,X,X,X,X,O,X,O,X,X,X
TJLZSIO,O,X,X,X,X,X,X,O,X,X,X
TJLZSOI,O,O,X,X,X,X,X,O,X,X,X
TJLZOIS,X,X,X,X,X,O,X,O,X,X,X
TJLZOSI,O,O,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,X,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,O,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,O,X
TJLOZIS,X,X,X,X,X,O,X,O,X,X,X
TJLOZSI,O,O,X,X,X,X,X,O,X,X,X
TJSILZO,O,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X,X,O
TJSIZOL,O,O,X,X,X,X,X,X,X,X,O
TJSIOLZ,O,O,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,O
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,O,X
TJSLZOI,O,O,X,X,X,X,X,X,X,O,X
TJSLOIZ,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X,X,O,X
TJSZILO,O,X,X,X,X,X,X,O,X,X,O
TJSZIOL,O,O,X,X,X,X,X,O,X,X,O
TJSZLIO,O,X,X,X,X,X,X,O,X,O,X
TJSZLOI,O,O,X,X,X,X,X,O,X,O,X
TJSZOIL,O,O,X,X,X,X,X,O,X,X,O
TJSZOLI,O,O,X,X,X,X,X,O,X,O,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X,O
TJSOLIZ,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X,X,O,X
TJSOZIL,O,O,X,X,X,X,X,O,X,X,O
TJSOZLI,O,O,X,X,X,X,X,O,X,O,X
TJZILSO,X,O,X,X,X,X,X,O,X,X,X
TJZILOS,X,O,X,X,X,X,X,O,X,X,X
TJZISLO,O,O,X,X,X,X,X,O,X,X,O
TJZISOL,O,O,X,X,X,X,X,O,X,X,O
TJZIOLS,X,O,X,X,X,X,X,O,X,X,X
TJZIOSL,O,O,X,X,X,X,X,O,X,X,O
TJZLISO,X,X,X,X,X,X,X,O,X,X,X
TJZLIOS,X,X,X,X,X,X,X,O,X,X,X
TJZLSIO,O,X,X,X,X,X,X,O,X,X,X
TJZLSOI,O,O,X,X,X,X,X,O,X,X,X
TJZLOIS,X,X,X,X,X,X,X,O,X,X,X
TJZLOSI,O,O,X,X,X,X,X,O,X,X,X
TJZSILO,O,X,X,X,X,X,X,O,X,X,O
TJZSIOL,O,O,X,X,X,X,X,O,X,X,O
TJZSLIO,O,X,X,X,X,X,X,O,X,O,X
TJZSLOI,O,O,X,X,X,X,X,O,X,O,X
TJZSOIL,O,O,X,X,X,X,X,O,X,X,O
TJZSOLI,O,O,X,X,X,X,X,O,X,O,X
TJZOILS,X,O,X,X,X,X,X,O,X,X,X
TJZOISL,O,O,X,X,X,X,X,O,X,X,O
TJZOLIS,X,X,X,X,X,X,X,O,X,X,X
TJZOLSI,O,O,X,X,X,X,X,O,X,X,X
TJZOSIL,O,O,X,X,X,X,X,O,X,X,O
TJZOSLI,O,O,X,X,X,X,X,O,X,O,X
TJOILSZ,O,O,X,X,X,O,X,X,X,X,X
TJOILZS,X,O,X,X,X,O,X,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X,X,X,X,O
TJOIZLS,X,O,X,X,X,X,X,O,X,X,X
TJOIZSL,O,O,X,X,X,X,X,O,X,X,O
TJOLISZ,O,X,X,X,X,O,X,X,X,X,X
TJOLIZS,X,X,X,X,X,O,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,O,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,O,X
TJOLZIS,X,X,X,X,X,O,X,O,X,X,X
TJOLZSI,O,O,X,X,X,X,X,O,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X,X,X,O
TJOSLIZ,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X,X,O,X
TJOSZIL,O,O,X,X,X,X,X,O,X,X,O
TJOSZLI,O,O,X,X,X,X,X,O,X,O,X
TJOZILS,X,O,X,X,X,X,X,O,X,X,X
TJOZISL,O,O,X,X,X,X,X,O,X,X,O
TJOZLIS,X,X,X,X,X,X,X,O,X,X,X
TJOZLSI,O,O,X,X,X,X,X,O,X,X,X
TJOZSIL,O,O,X,X,X,X,X,O,X,X,O
TJOZSLI,O,O,X,X,X,X,X,O,X,O,X
TSILJZO,O,O,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,O,X,X,X,X
TSILZOJ,O,O,X,O,X,X,O,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,X,O,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X,X,X,O
TSIJZOL,O,O,O,X,X,X,X,X,X,X,O
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X,X,X,X,O
TSIZLJO,O,O,X,X,X,X,O,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,O,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X,O,X,O
TSIZJOL,O,O,O,X,X,X,X,X,O,X,O
TSIZOLJ,O,O,X,X,X,X,O,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,O,X,O
TSIOLJZ,O,O,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,X,X,O,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X,X,X,X,O
TSIOZLJ,O,O,X,X,X,X,O,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X,O,X,O
TSLIJZO,O,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X,X,X,X
TSLIZJO,O,X,X,O,X,X,O,X,X,X,X
TSLIZOJ,O,X,X,O,X,X,O,X,X,X,X
TSLIOJZ,O,X,X,O,X,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,O,X,X,X,X
TSLJIZO,O,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,X,X,O,X,X,X,X,X,O,X
TSLJZOI,O,O,X,O,X,X,X,X,X,O,X
TSLJOIZ,O,X,X,O,X,X,X,X,X,X,X
TSLJOZI,O,O,X,O,X,X,X,X,X,O,X
TSLZIJO,O,X,X,O,X,X,O,X,X,X,X
TSLZIOJ,O,X,X,O,X,X,O,X,X,X,X
TSLZJIO,O,X,X,O,X,X,O,X,O,O,X
TSLZJOI,O,O,X,O,X,X,O,X,O,O,X
TSLZOIJ,O,X,X,O,X,X,O,X,X,X,X
TSLZOJI,O,O,X,O,X,X,O,X,O,O,X
TSLOIJZ,O,X,X,O,X,X,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,O,X,X,X,X
TSLOJIZ,O,X,X,O,X,X,X,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X,X,O,X
TSLOZIJ,O,X,X,O,X,X,O,X,X,X,X
TSLOZJI,O,O,X,O,X,X,O,X,O,O,X
TSJILZO,O,O,X,X,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X,X,O
TSJIZOL,O,O,O,X,X,X,X,X,X,X,O
TSJIOLZ,O,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X,X,X,X,O
TSJLIZO,O,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,O,X,X,X,X,X,X,X
TSJLZIO,O,X,X,O,X,X,X,X,X,O,X
TSJLZOI,O,O,X,O,X,X,X,X,X,O,X
TSJLOIZ,O,X,X,O,X,X,X,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X,O,X
TSJZILO,O,X,O,X,X,X,X,X,O,X,O
TSJZIOL,O,O,O,X,X,X,X,X,O,X,O
TSJZLIO,O,X,X,X,X,X,X,X,O,O,X
TSJZLOI,O,O,X,X,X,X,X,X,O,O,X
TSJZOIL,O,O,O,X,X,X,X,X,O,X,O
TSJZOLI,O,O,X,X,X,X,X,X,O,O,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X,X
TSJOIZL,O,O,O,X,X,X,X,X,X,X,O
TSJOLIZ,O,X,X,O,X,X,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X,O,X
TSJOZIL,O,O,O,X,X,X,X,X,O,X,O
TSJOZLI,O,O,X,X,X,X,X,X,O,O,X
