sequence,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB6nBTjBtqB3rBmrB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgBXiBTjBtqBSsB2wB,v115@HhA8IeC8EeE8DeC8Je0/IvhF6lBNmBTjBXnBGnBRwB,v115@HhA8IeC8EeE8DeC8Jex/IvhFihB9nBTjBfsBUrBGqB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxhBTjBdrBWsB6qBXsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB+nBTjBqqB/rBdsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFGjBRmB3nB6qBNrBzrB
TSZJLOI,O,X,X,O,O,X,X
TSZJOIL,O,X,X,O,O,X,X
TSZJOLI,O,X,X,O,O,X,X
TSZOILJ,O,O,X,O,X,X,X
TSZOIJL,O,X,X,O,X,X,X
TSZOLIJ,O,O,X,O,X,X,X
TSZOLJI,O,O,X,O,X,X,X
TSZOJIL,O,X,X,O,O,X,X
TSZOJLI,O,X,X,O,O,X,X
TSOILJZ,O,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,X
TSOIZJL,O,X,X,O,X,X,X
TSOLIJZ,O,O,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,O,X
TSOLJZI,O,O,X,X,X,O,X
TSOLZIJ,O,O,X,O,X,X,X
TSOLZJI,O,O,X,O,X,O,X
TSOJILZ,O,X,X,X,O,X,X
TSOJIZL,O,X,X,X,O,X,X
TSOJLIZ,O,X,X,X,O,O,X
TSOJLZI,O,X,X,X,O,O,X
TSOJZIL,O,X,X,O,O,X,X
TSOJZLI,O,X,X,O,O,X,X
TSOZILJ,O,O,X,O,X,X,X
TSOZIJL,O,X,X,O,X,X,X
TSOZLIJ,O,O,X,O,X,X,X
TSOZLJI,O,O,X,O,X,X,X
TSOZJIL,O,X,X,O,O,X,X
TSOZJLI,O,X,X,O,O,X,X
TZILJSO,X,O,O,X,X,X,X
TZILJOS,O,O,O,X,X,X,X
TZILSJO,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,X,X,X
TZILOJS,O,O,O,X,X,X,X
TZILOSJ,O,O,O,O,X,X,X
TZIJLSO,X,O,O,X,O,X,X
TZIJLOS,O,O,O,X,O,X,X
TZIJSLO,O,X,O,O,O,X,X
TZIJSOL,O,X,O,O,O,X,X
TZIJOLS,O,O,O,X,O,X,X
TZIJOSL,O,X,O,O,O,X,X
TZISLJO,O,O,O,O,X,X,X
TZISLOJ,O,O,O,O,X,X,X
TZISJLO,O,X,O,O,X,X,X
TZISJOL,O,X,O,O,X,X,X
TZISOLJ,O,O,O,O,X,X,X
TZISOJL,O,X,O,O,X,X,X
TZIOLJS,O,O,O,X,X,X,X
TZIOLSJ,O,O,O,O,X,X,X
TZIOJLS,O,O,O,X,O,X,X
TZIOJSL,O,X,O,O,O,X,X
TZIOSLJ,O,O,O,O,X,X,X
TZIOSJL,O,X,O,O,X,X,X
TZLIJSO,X,O,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,X
TZLISOJ,O,O,X,O,X,X,X
TZLIOJS,O,O,X,X,X,X,X
TZLIOSJ,O,O,X,O,X,X,X
TZLJISO,X,O,X,X,O,X,X
TZLJIOS,O,O,X,X,O,X,X
TZLJSIO,O,O,X,X,O,O,X
TZLJSOI,O,O,X,X,O,O,X
TZLJOIS,O,O,X,X,O,X,X
TZLJOSI,O,O,X,X,O,O,X
TZLSIJO,O,O,X,O,X,X,X
TZLSIOJ,O,O,X,O,X,X,X
TZLSJIO,O,O,X,O,X,O,X
TZLSJOI,O,O,X,O,X,O,X
TZLSOIJ,O,O,X,O,X,X,X
TZLSOJI,O,O,X,O,X,O,X
TZLOIJS,O,O,O,X,X,X,X
TZLOISJ,O,O,O,O,X,X,X
TZLOJIS,O,O,X,X,O,X,X
TZLOJSI,O,O,X,X,O,O,X
TZLOSIJ,O,O,X,O,X,X,X
TZLOSJI,O,O,X,O,X,O,X
TZJILSO,X,O,X,X,O,X,X
TZJILOS,O,O,X,X,O,X,X
TZJISLO,O,X,X,O,O,X,X
TZJISOL,O,X,X,O,O,X,X
TZJIOLS,O,O,X,X,O,X,X
TZJIOSL,O,X,X,O,O,X,X
TZJLISO,X,O,X,X,O,X,X
TZJLIOS,O,O,X,X,O,X,X
TZJLSIO,O,O,X,X,O,O,X
TZJLSOI,O,O,X,X,O,O,X
TZJLOIS,O,O,X,X,O,X,X
TZJLOSI,O,O,X,X,O,O,X
TZJSILO,O,X,X,O,O,X,O
TZJSIOL,O,X,X,O,O,X,O
TZJSLIO,O,X,X,O,O,X,X
TZJSLOI,O,X,X,O,O,X,X
TZJSOIL,O,X,X,O,O,X,X
TZJSOLI,O,X,X,O,O,X,X
TZJOILS,O,O,X,X,O,X,X
TZJOISL,O,X,X,O,O,X,X
TZJOLIS,O,O,X,X,O,X,X
TZJOLSI,O,O,X,X,O,O,X
TZJOSIL,O,X,X,O,O,X,X
TZJOSLI,O,X,X,O,O,X,X
TZSILJO,O,O,X,O,X,X,X
TZSILOJ,O,O,X,O,X,X,X
TZSIJLO,O,X,X,O,X,X,O
TZSIJOL,O,X,X,O,X,X,O
TZSIOLJ,O,O,X,O,X,X,X
TZSIOJL,O,X,X,O,X,X,X
TZSLIJO,O,O,X,O,X,X,X
TZSLIOJ,O,O,X,O,X,X,X
TZSLJIO,O,O,X,O,X,X,X
TZSLJOI,O,O,X,O,X,X,X
TZSLOIJ,O,O,X,O,X,X,X
TZSLOJI,O,O,X,O,X,X,X
TZSJILO,O,X,X,O,O,X,O
TZSJIOL,O,X,X,O,O,X,O
TZSJLIO,O,X,X,O,O,X,X
TZSJLOI,O,X,X,O,O,X,X
TZSJOIL,O,X,X,O,O,X,X
TZSJOLI,O,X,X,O,O,X,X
TZSOILJ,O,O,X,O,X,X,X
TZSOIJL,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,O,X,X,X
TZSOLJI,O,O,X,O,X,X,X
TZSOJIL,O,X,X,O,O,X,X
TZSOJLI,O,X,X,O,O,X,X
TZOILJS,O,O,O,X,X,X,X
TZOILSJ,O,O,O,O,X,X,X
TZOIJLS,O,O,O,X,O,X,X
TZOIJSL,O,X,O,O,O,X,X
TZOISLJ,O,O,O,O,X,X,X
TZOISJL,O,X,O,O,X,X,X
TZOLIJS,O,O,O,X,X,X,X
TZOLISJ,O,O,O,O,X,X,X
TZOLJIS,O,O,X,X,O,X,X
TZOLJSI,O,O,X,X,O,O,X
TZOLSIJ,O,O,X,O,X,X,X
TZOLSJI,O,O,X,O,X,O,X
TZOJILS,O,O,X,X,O,X,X
TZOJISL,O,X,X,O,O,X,X
