sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TJLZISO,X,O,X,X,X,X
TJLZIOS,X,O,X,X,X,X
TJLZSIO,X,O,X,X,X,X
TJLZSOI,X,O,O,X,X,X
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,O,X,X,X
TJLOISZ,O,X,X,X,O,O
TJLOIZS,X,O,O,X,X,O
TJLOSIZ,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X
TJLOZSI,X,O,O,X,X,X
TJSILZO,O,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,O
TJSIOZL,O,X,X,X,X,O
TJSLIZO,O,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X
TJSZILO,O,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X
TJSOILZ,O,X,X,X,X,O
TJSOIZL,O,X,X,X,X,O
TJSOLIZ,O,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X
TJZILSO,O,O,X,X,X,X
TJZILOS,O,O,X,X,X,X
TJZISLO,O,O,X,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,O,X,X,X,X,O
TJZIOSL,O,X,X,X,X,O
TJZLISO,O,O,X,X,X,X
TJZLIOS,O,O,X,X,X,X
TJZLSIO,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X
TJZLOIS,O,O,O,X,X,X
TJZLOSI,O,O,O,X,X,X
TJZSILO,O,O,X,X,X,X
TJZSIOL,O,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X
TJZSOIL,O,X,X,X,X,X
TJZSOLI,O,X,O,X,X,X
TJZOILS,O,X,X,X,X,O
TJZOISL,O,X,X,X,X,O
TJZOLIS,O,X,O,X,X,X
TJZOLSI,O,X,O,X,X,X
TJZOSIL,O,X,X,X,X,X
TJZOSLI,O,X,O,X,X,X
TJOILSZ,O,X,X,X,O,O
TJOILZS,X,X,X,X,X,O
TJOISLZ,O,X,X,X,X,O
TJOISZL,O,X,X,X,X,O
TJOIZLS,X,X,X,X,X,O
TJOIZSL,O,X,X,X,X,O
TJOLISZ,O,X,X,X,O,O
TJOLIZS,X,X,O,X,X,O
TJOLSIZ,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X
TJOLZIS,X,X,O,X,X,X
TJOLZSI,X,X,O,X,X,X
TJOSILZ,O,X,X,X,X,O
TJOSIZL,O,X,X,X,X,O
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X
TJOZILS,X,X,X,X,X,O
