sequence,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhF/lBUhBeoB5oBlp?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kel/IvhFUhBeoB5oB/pBTl?ByvB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFzfBUhBeoB5oBfr?BVvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFUhBTjB3kB1qBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhFxlB6tBXoB0pBlq?BmqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBTjB/pBUlByv?BGtB,v115@ChC8HeB8GeB8CeA8DeD8Kem/IvhFUhBTkB1qBXoB6t?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeUBJvhFxkBXoB6tBlpBzq?BmpB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFflBVmBTjB0lBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KelAJvhFTjBikBXmB0kBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFTjB/pBUlBFmBGt?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFeoB5oBFlBXmB0p?BzqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBmkB6tBXoB0p?BzqB
TIZJSLO,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZJSOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,X,O,O,O,O,X,O,X,X,X,O
TIZJOSL,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZSLJO,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZSOJL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZOJLS,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZOJSL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOLJZS,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,O,X,X,X,X,X,O
TIOLZSJ,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOJLZS,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOJSLZ,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOJSZL,O,X,X,O,X,O,O,O,X,X,X,X,X
TIOJZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOJZSL,O,X,X,O,X,O,O,O,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,O,X,X,X,X,X,O
TIOZLSJ,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOZJLS,X,X,X,O,O,X,O,X,X,X,X,X,O
TIOZJSL,X,X,X,O,X,X,O,O,X,X,X,X,O
TIOZSLJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIJSZO,O,X,O,X,X,O,X,X,O,O,X,X,X
TLIJSOZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TLIJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIJZOS,O,X,O,X,O,O,X,X,O,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TLIJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLISJZO,O,X,O,X,X,O,X,X,O,O,X,X,X
TLISJOZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TLISZJO,O,X,O,X,X,O,X,X,O,O,X,X,X
TLISZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
TLIZJOS,X,X,X,X,O,O,X,X,O,X,X,X,O
TLIZSJO,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TLIOJZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,X,X,X,X,X,X,O
TLIOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJISOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X,O,X,X,X,X
TLJIZOS,O,O,O,X,O,O,X,X,O,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJSIZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJSZIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TLJSZOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJSOIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJSOZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJZISO,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJZIOS,O,O,O,X,O,O,X,X,X,X,X,X,O
TLJZSIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJZSOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLJZOIS,O,O,O,X,O,O,X,X,X,X,X,X,O
TLJZOSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLJOISZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJOIZS,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJOSZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJOZIS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJOZSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLSIJZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSIZJO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLSIZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSJZIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TLSJZOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLSJOIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSJOZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLSZIJO,O,O,O,X,X,O,X,X,X,X,O,X,X
TLSZIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,O,X,X,X,X,O,X,O
TLSZJOI,O,O,O,X,X,O,X,X,O,O,O,X,O
TLSZOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSOJZI,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSOZIJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TLSOZJI,O,O,O,X,X,O,X,X,X,X,X,X,O
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,X,O,O,X,X,X,X,X,X,O
TLZISJO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZJIOS,O,O,O,X,O,O,X,X,X,X,X,X,O
TLZJSIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TLZJSOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLZJOIS,O,O,O,X,O,O,X,X,X,X,X,X,O
TLZJOSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLZSIJO,O,O,O,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TLZSJOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLZSOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TLZSOJI,O,O,O,X,X,O,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,O,X,X,X,X,X,X,X,O
TLZOISJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,O,X,X,X,X,X,X,X,O
TLZOJSI,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZOSIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X,X,X,X,X,O
TLOIJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,X,X,X,X,X,X,O
TLOIZSJ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOJISZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOJIZS,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOJSZI,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOJZIS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLOJZSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOSJZI,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOSZIJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TLOSZJI,O,O,O,X,X,O,X,X,X,X,X,X,O
TLOZIJS,X,X,X,X,O,X,X,X,X,X,X,X,O
TLOZISJ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOZJSI,O,O,O,X,X,X,X,X,X,X,X,X,O
TLOZSIJ,O,O,O,X,O,X,X,O,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X,X,X,X,X,O
TJILSZO,O,O,O,O,X,O,X,X,O,O,X,X,X
TJILSOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
TJILZSO,O,O,O,O,X,X,X,X,O,X,X,X,X
TJILZOS,O,O,O,O,O,O,X,X,O,X,X,X,X
TJILOSZ,O,O,O,O,X,O,X,X,O,O,X,X,X
TJILOZS,O,O,O,O,X,O,X,X,O,X,X,X,X
TJISLZO,O,O,O,O,X,O,X,X,O,O,X,X,X
TJISLOZ,O,O,O,O,X,O,X,X,O,O,X,X,X
TJISZLO,O,O,O,O,X,O,X,X,X,O,O,O,X
TJISZOL,O,O,O,O,X,O,X,X,X,O,O,O,X
TJISOLZ,O,O,O,O,X,O,X,X,O,O,X,X,X
TJISOZL,O,O,O,O,X,O,X,X,X,O,O,X,X
TJIZLSO,O,O,O,O,X,X,X,X,O,X,X,O,X
TJIZLOS,O,O,O,O,O,X,X,X,O,X,X,O,X
TJIZSLO,O,O,O,O,X,X,X,X,X,X,X,O,X
TJIZSOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TJIZOLS,O,X,X,O,O,O,X,X,O,X,X,O,X
TJIZOSL,O,X,X,O,X,O,X,X,X,X,X,O,X
TJIOLSZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TJIOLZS,O,X,O,O,X,O,X,X,O,X,X,X,X
TJIOSLZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TJIOSZL,O,X,O,O,X,O,X,X,X,O,O,X,X
TJIOZLS,O,X,X,O,X,O,X,X,O,X,X,X,X
TJIOZSL,O,X,X,O,X,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLISOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X,O,X,X,X,X
TJLIZOS,O,O,O,X,O,O,X,X,O,X,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLSIZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLSIOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLSZIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TJLSZOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLSOIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLSOZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLZISO,O,O,O,X,X,X,X,X,X,X,X,X,O
TJLZIOS,O,O,O,X,O,O,X,X,X,X,X,X,O
TJLZSIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLZSOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJLZOIS,O,O,O,X,O,O,X,X,X,X,X,X,O
TJLZOSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJLOISZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLOIZS,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLOSZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLOZIS,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLOZSI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJSILZO,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSILOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSIZOL,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSIOLZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSIOZL,O,O,O,X,X,O,X,X,X,O,O,X,X
TJSLIZO,O,O,O,X,X,O,X,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSLZIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TJSLZOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSLOIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSLOZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSZILO,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSZIOL,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSZLIO,O,O,O,X,X,O,X,X,X,X,O,O,X
TJSZLOI,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSZOIL,O,O,O,X,X,O,X,X,X,O,O,O,X
TJSZOLI,O,X,O,X,X,O,X,X,X,O,O,O,X
TJSOILZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSOIZL,O,O,O,X,X,O,X,O,X,O,O,X,X
TJSOLIZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSOLZI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSOZIL,O,O,O,X,X,O,X,O,X,O,O,X,X
TJSOZLI,O,X,O,X,X,O,X,X,X,O,O,X,X
TJZILSO,O,O,O,O,X,X,X,X,O,X,X,O,O
TJZILOS,O,O,O,O,O,X,X,X,O,X,X,O,O
TJZISLO,O,O,O,O,X,X,X,X,X,X,X,O,O
TJZISOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TJZIOLS,O,X,X,O,O,O,X,X,O,X,X,O,O
TJZIOSL,O,X,X,O,X,O,X,X,X,X,X,O,X
TJZLISO,O,O,O,X,X,X,X,X,X,X,X,O,O
TJZLIOS,O,O,O,X,O,O,X,X,X,X,X,O,O
TJZLSIO,O,O,O,X,X,O,X,X,X,X,X,O,O
TJZLSOI,O,O,O,X,X,O,X,X,O,X,X,O,O
TJZLOIS,O,O,O,X,O,O,X,X,X,X,X,O,O
TJZLOSI,O,O,O,X,X,O,X,X,O,X,X,O,O
TJZSILO,O,O,O,X,X,O,X,X,X,X,O,O,O
TJZSIOL,O,O,O,X,X,O,X,X,X,X,O,O,X
TJZSLIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TJZSLOI,O,O,O,X,X,O,X,X,X,X,O,O,O
TJZSOIL,O,O,O,X,X,O,X,X,X,X,O,O,X
TJZSOLI,O,X,O,X,X,O,X,X,X,X,O,O,X
TJZOILS,O,X,X,O,O,O,X,X,O,X,X,O,O
TJZOISL,O,X,X,O,X,O,X,X,X,X,X,O,X
TJZOLIS,O,X,X,X,O,O,X,X,X,X,X,O,O
TJZOLSI,O,X,X,X,X,O,X,X,O,X,X,O,O
TJZOSIL,O,X,X,X,X,O,X,X,X,X,O,O,X
TJZOSLI,O,X,X,X,X,O,X,X,X,X,O,O,X
TJOILSZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TJOILZS,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOISLZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TJOISZL,O,X,O,O,X,O,X,O,X,O,O,X,X
TJOIZLS,O,X,X,O,X,O,X,X,O,X,X,X,X
TJOIZSL,O,X,X,O,X,O,X,O,X,X,X,X,X
TJOLISZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TJOLIZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TJOLSIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TJOLSZI,O,X,O,X,X,O,X,X,O,O,O,X,X
TJOLZIS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJOLZSI,O,X,O,X,X,O,X,X,O,X,X,X,O
TJOSILZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TJOSIZL,O,X,O,X,X,O,X,O,X,O,O,X,X
TJOSLIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
TJOSLZI,O,X,O,X,X,O,X,X,O,O,O,X,X
TJOSZIL,O,X,O,X,X,O,X,O,X,O,O,X,X
TJOSZLI,O,X,O,X,X,O,X,X,X,O,O,X,X
TJOZILS,O,X,X,O,X,O,X,X,O,X,X,X,O
TJOZISL,O,X,X,O,X,O,X,O,X,X,X,X,O
TJOZLIS,O,X,X,X,X,O,X,X,X,X,X,X,O
TJOZLSI,O,X,X,X,X,O,X,X,O,X,X,X,O
TJOZSIL,O,X,X,X,X,O,X,O,X,X,O,X,O
TJOZSLI,O,X,X,X,X,O,X,X,X,X,O,X,O
TSILJZO,X,O,O,X,X,O,X,X,O,O,X,X,X
TSILJOZ,X,O,O,X,X,O,X,X,O,O,X,X,X
TSILZJO,X,O,O,X,X,O,X,X,O,O,X,X,X
TSILZOJ,X,X,O,X,O,O,O,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,O,O,X,O,O,X,X,X
TSILOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,X,O,O,X,X,X
TSIJLOZ,O,O,O,X,X,O,X,X,O,O,X,X,X
TSIJZLO,O,O,O,X,X,O,X,X,X,O,O,X,X
TSIJZOL,O,O,O,X,X,O,O,X,X,O,O,X,X
TSIJOLZ,O,O,O,X,X,O,O,X,O,O,X,X,X
TSIJOZL,O,O,O,X,X,O,O,X,X,O,O,X,X
