sequence,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFmhBqnBTjBcrBXq?BlqB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFXhB8mBeqBFoBCo?BzqB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFzhBCjBeqBXoBFr?B8qB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhF8mBqnBTjBlqBOr?BXqB,v115@HhB8HeB8DeA8BeB8DeE8JemBJvhFqnBTjBxqBcqBXr?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Je3AJvhFTjBxmBSrB0nB2v?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Jem/IvhFzhB3lBFoBUmBCo?BRvB,v115@HhB8HeB8DeA8BeB8DeE8JeRBJvhFGjB3mBznB0qBiq?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Je3AJvhFCiBTjBVrB0nBmk?BRvB,v115@HhB8HeB8DeA8BeB8DeE8JezBJvhFCjBllBXoBmkBUm?BRvB
TLOSJIZ,O,X,O,X,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,X,O,X
TLOSZJI,O,X,O,O,X,X,X,X,O,X
TLOZIJS,O,X,X,O,X,X,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,O,X
TLOZJIS,O,O,X,O,X,X,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,O,X
TLOZSIJ,O,X,X,O,X,X,X,X,O,X
TLOZSJI,O,X,X,O,X,X,X,X,O,X
TJILSZO,X,X,X,X,O,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,O,X,X,X
TJILZSO,X,O,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,X,X
TJILOSZ,O,X,X,X,O,X,O,X,X,X
TJILOZS,O,O,X,O,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,O,X,X,X
TJISZLO,X,O,O,X,X,X,X,X,X,X
TJISZOL,X,O,O,X,X,X,O,X,X,X
TJISOLZ,X,X,O,X,X,O,O,X,X,X
TJISOZL,X,O,O,X,X,O,O,X,X,X
TJIZLSO,X,O,X,O,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X
TJIZSLO,X,O,X,X,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,X,O,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,O,X,X,X,X,O,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,X
TJIOLZS,X,O,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,O,O,X,X,X
TJIOSZL,X,O,O,X,X,O,O,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,O,X,X,X
TJLISZO,X,X,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X,O,X,X,X
TJLIZSO,X,O,X,O,X,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,O,X,X,X
TJLIOZS,O,O,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X
TJLSZIO,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,O,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X
TJLSOZI,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,X,O,X,X,X,X,X,X
TJLZIOS,O,X,X,O,X,X,X,X,X,X
TJLZSIO,O,O,X,O,X,X,X,X,X,X
TJLZSOI,O,O,X,O,X,X,X,X,O,X
TJLZOIS,O,O,X,O,X,X,X,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,O,X
TJLOISZ,O,X,X,X,O,X,O,X,X,X
TJLOIZS,O,O,X,O,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X,X
TJLOZSI,O,O,X,O,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,O,X,X,X
TJSIZLO,X,O,O,X,X,X,X,X,X,X
TJSIZOL,X,O,O,X,X,X,O,X,X,X
TJSIOLZ,X,X,O,X,X,O,O,X,X,X
TJSIOZL,X,O,O,X,X,O,O,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,O,X
TJSLOIZ,O,X,O,X,X,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,X,X,X
TJSZILO,X,O,O,X,X,X,X,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,X,X
TJSZLIO,X,O,O,X,X,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,X,X,O,X
TJSZOIL,X,O,O,X,X,X,X,X,X,X
TJSZOLI,X,O,O,X,X,X,X,X,O,X
TJSOILZ,X,X,O,X,X,O,O,X,X,X
TJSOIZL,X,O,O,X,X,O,O,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X,X
TJSOZIL,X,O,O,X,X,X,X,X,X,X
TJSOZLI,X,O,O,X,X,X,X,X,X,X
TJZILSO,X,O,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,X,X
TJZISLO,X,O,X,X,X,X,X,X,X,X
TJZISOL,X,O,X,X,X,X,O,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X,O,X,X,X
TJZLISO,X,O,X,O,X,X,X,X,X,X
TJZLIOS,O,X,X,O,X,X,X,X,X,X
TJZLSIO,O,O,X,O,X,X,X,X,X,X
TJZLSOI,O,O,X,O,X,X,X,X,O,X
TJZLOIS,O,O,X,O,X,X,X,X,X,X
TJZLOSI,O,O,X,O,X,X,X,X,O,X
TJZSILO,O,O,O,X,X,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X,O,X
TJZSOIL,X,O,O,X,X,X,X,X,X,X
TJZSOLI,X,O,O,X,X,X,X,X,O,X
TJZOILS,X,O,X,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,X,O,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X,O,X
TJZOSIL,X,O,O,X,X,X,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X,X,O,X
TJOILSZ,X,X,X,X,X,X,O,X,X,X
TJOILZS,X,O,X,O,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,O,O,X,X,X
TJOISZL,X,O,O,X,X,O,O,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X,O,X,X,X
TJOLISZ,X,X,X,X,X,X,O,X,X,X
TJOLIZS,X,O,X,O,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,X,X,X,X,X,X
TJOLSZI,X,X,O,X,X,X,X,X,X,X
TJOLZIS,X,O,X,O,X,X,X,X,X,X
TJOLZSI,X,O,X,O,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,O,O,X,X,X
TJOSIZL,X,O,O,X,X,O,O,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,X,X,X,X
TJOSZIL,X,O,O,X,X,X,X,X,X,X
TJOSZLI,X,O,O,X,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,O,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,X,X,X,X,X
TSILJOZ,O,X,O,X,X,X,X,X,X,X
TSILZJO,O,X,X,O,X,X,X,X,X,X
TSILZOJ,O,X,X,O,X,X,X,X,O,X
TSILOJZ,O,X,O,X,X,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,X,X,X,X
TSIJLZO,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X,X,X,X
TSIJZLO,X,O,O,X,X,X,X,X,X,X
TSIJZOL,X,O,O,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,X,X,X
TSIJOZL,X,O,O,X,X,X,X,X,X,X
TSIZLJO,O,X,X,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,O,X,X,X,X,O,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X,O,X
TSIZOJL,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X,X,X
TSLIJZO,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,X,O,X,X,X,X,X,X,O
TSLIZJO,O,X,X,O,X,X,X,X,X,X
TSLIZOJ,O,X,X,O,X,X,X,X,O,O
TSLIOJZ,O,X,O,X,X,X,X,X,X,O
TSLIOZJ,O,X,X,O,X,X,X,X,X,O
TSLJIZO,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,X,O,X,X,X,X,X,X,X
TSLJZIO,X,X,O,X,X,X,X,X,X,X
TSLJZOI,X,X,O,X,X,X,X,X,O,X
TSLJOIZ,O,X,O,X,X,X,X,X,X,X
TSLJOZI,X,X,O,X,X,X,X,X,X,X
TSLZIJO,O,X,X,O,X,X,X,X,X,X
TSLZIOJ,O,X,X,O,X,X,X,X,O,X
TSLZJIO,O,X,O,O,X,X,X,X,X,X
TSLZJOI,O,X,O,O,X,X,X,X,O,X
TSLZOIJ,O,X,X,O,X,X,X,X,O,X
TSLZOJI,O,X,O,O,X,X,X,X,O,X
TSLOIJZ,O,X,O,X,X,X,X,X,X,O
TSLOIZJ,O,X,X,O,X,X,X,X,X,O
TSLOJIZ,O,X,O,X,X,X,X,X,X,X
TSLOJZI,X,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X,X,X,O,X
TSLOZJI,O,X,O,O,X,X,X,X,O,X
TSJILZO,X,X,O,X,X,X,X,X,X,X
TSJILOZ,O,X,O,X,X,X,O,X,X,X
TSJIZLO,X,O,O,X,X,X,X,X,X,X
TSJIZOL,X,O,O,X,X,X,O,X,X,X
TSJIOLZ,X,X,O,X,X,X,O,X,X,X
TSJIOZL,X,O,O,X,X,X,O,X,X,X
TSJLIZO,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,O,X,O,X,X,X,X,X,X,X
TSJLZIO,X,X,O,X,X,X,X,X,X,X
TSJLZOI,X,X,O,X,X,X,X,X,O,X
TSJLOIZ,O,X,O,X,X,X,X,X,X,X
TSJLOZI,X,X,O,X,X,X,X,X,X,X
TSJZILO,X,O,O,X,X,X,X,X,X,X
TSJZIOL,X,O,O,X,X,X,X,X,X,X
TSJZLIO,X,O,O,X,X,X,X,X,X,X
TSJZLOI,X,O,O,X,X,X,X,X,O,X
TSJZOIL,X,O,O,X,X,X,X,X,X,X
TSJZOLI,X,O,O,X,X,X,X,X,O,X
TSJOILZ,X,X,O,X,X,X,O,X,X,X
TSJOIZL,X,O,O,X,X,X,O,X,X,X
TSJOLIZ,X,X,O,X,X,X,X,X,X,X
TSJOLZI,X,X,O,X,X,X,X,X,X,X
TSJOZIL,X,O,O,X,X,X,X,X,X,X
TSJOZLI,X,O,O,X,X,X,X,X,X,X
TSZILJO,O,X,X,O,X,X,X,X,X,X
TSZILOJ,O,X,X,O,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,X,X,X,X
TSZIJOL,X,O,X,X,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,X,O,O,X
TSZIOJL,X,X,X,X,X,X,X,O,X,X
TSZLIJO,O,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,X,X,O,X,X,X,X,O,X
TSZLJIO,O,X,O,O,X,X,X,X,X,X
TSZLJOI,O,X,O,O,X,X,X,X,O,X
TSZLOIJ,O,X,X,O,X,X,X,X,O,X
TSZLOJI,O,X,O,O,X,X,X,X,O,X
TSZJILO,O,O,O,X,X,X,X,X,X,X
TSZJIOL,X,O,O,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X,O,X
TSZJOIL,X,O,O,X,X,X,X,X,X,X
TSZJOLI,X,O,O,X,X,X,X,X,O,X
TSZOILJ,O,X,X,X,X,X,X,O,O,X
TSZOIJL,X,X,X,X,X,X,X,O,X,X
TSZOLIJ,O,X,X,X,X,X,X,O,O,X
TSZOLJI,O,X,O,X,X,X,X,O,O,X
TSZOJIL,X,O,O,X,X,X,X,O,X,X
TSZOJLI,X,O,O,X,X,X,X,O,O,X
TSOILJZ,O,X,O,X,X,X,O,X,X,O
TSOILZJ,O,X,X,O,X,X,X,X,X,O
TSOIJLZ,X,X,O,X,X,X,O,X,X,O
TSOIJZL,X,X,O,X,X,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,X,X,X,X,O
TSOIZJL,X,X,X,X,X,X,O,X,X,X
