sequence,v115@ThA8EeF8AeE8JeOEJvhF8kBzgBfnBxiBCoBFrB,v115@ThA8EeF8AeE8Je2EJvhFzgBRiBSoBUnB3kBFrB,v115@ThA8EeF8AeE8Jei/IvhFzgBGjB3kBRnBUnBFrB,v115@ThA8EeF8AeE8JeKEJvhFzfBRhBGjBfrB0rBlsB,v115@ThA8EeF8AeE8Jem/IvhFUhBRiBSoBTkBfrBVxB,v115@ThA8EeF8AeE8JeOEJvhF8kBFhBxiBfrBzrBCtB,v115@ThA8EeF8AeE8Jex/IvhFGjBTkB0lBlmB3nBirB,v115@ThA8EeF8AeE8Jex/IvhFmhBSoBTkBllBcrB3sB,v115@ThA8EeF8AeE8JeyGJvhFGjBxkB3nBTkBllBcrB
TIZLSOJ,O,O,X,X,O,X,X,X,X
TIZLOJS,O,O,X,O,O,X,X,X,X
TIZLOSJ,O,O,X,X,O,X,X,X,X
TIZJLSO,O,O,X,X,O,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X
TIZJSLO,O,O,O,X,O,X,X,X,X
TIZJSOL,O,O,O,X,O,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X
TIZJOSL,O,O,O,X,X,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,X
TIZSLOJ,O,O,O,X,O,X,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,X
TIZSJOL,O,O,O,X,O,X,O,X,X
TIZSOLJ,O,O,O,X,O,X,O,X,X
TIZSOJL,O,O,O,X,O,X,O,X,X
TIZOLJS,O,O,X,X,O,X,X,X,X
TIZOLSJ,O,O,X,X,O,X,O,X,X
TIZOJLS,O,O,X,X,O,X,X,X,X
TIZOJSL,O,O,O,X,O,X,O,X,X
TIZOSLJ,O,O,O,X,O,X,O,X,X
TIZOSJL,O,O,O,X,O,X,O,X,X
TIOLJSZ,X,X,O,O,O,X,X,X,X
TIOLJZS,X,O,X,O,O,X,X,O,X
TIOLSJZ,O,X,O,O,O,X,X,X,X
TIOLSZJ,O,X,O,X,O,X,X,O,X
TIOLZJS,O,O,X,O,O,X,X,O,X
TIOLZSJ,O,O,X,X,O,X,X,O,X
TIOJLSZ,X,X,O,O,O,X,X,X,X
TIOJLZS,X,O,X,O,O,X,X,O,X
TIOJSLZ,X,X,O,X,O,X,X,X,X
TIOJSZL,X,X,O,X,O,X,X,X,X
TIOJZLS,X,O,X,X,O,X,X,O,X
TIOJZSL,X,O,O,X,O,X,X,O,X
TIOSLJZ,O,X,O,X,O,X,X,X,X
TIOSLZJ,O,X,O,X,O,X,X,O,X
TIOSJLZ,X,X,O,X,O,X,X,X,X
TIOSJZL,O,X,O,X,O,X,O,X,X
TIOSZLJ,O,X,O,X,O,X,O,O,X
TIOSZJL,O,X,O,X,O,X,O,O,X
TIOZLJS,O,O,X,X,O,X,X,O,X
TIOZLSJ,O,O,X,X,O,X,O,O,X
TIOZJLS,O,O,X,X,O,X,X,O,X
TIOZJSL,O,O,O,X,O,X,O,O,X
TIOZSLJ,O,O,O,X,O,X,O,O,X
TIOZSJL,O,O,O,X,O,X,O,O,X
TLIJSZO,X,X,O,O,O,X,X,X,X
TLIJSOZ,X,X,O,O,O,X,X,X,X
TLIJZSO,X,O,X,X,O,X,X,X,X
TLIJZOS,X,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,O,O,O,X,X,X,X
TLIJOZS,X,O,X,O,O,X,X,X,X
TLISJZO,O,X,O,O,O,O,X,X,X
TLISJOZ,O,X,O,O,O,X,X,X,X
TLISZJO,O,X,O,O,O,O,X,X,X
TLISZOJ,O,X,O,O,O,O,X,X,X
TLISOJZ,O,X,O,O,O,X,X,X,X
TLISOZJ,O,X,O,O,O,O,X,X,X
TLIZJSO,O,O,X,X,O,O,X,X,X
TLIZJOS,O,O,X,O,X,O,X,X,X
TLIZSJO,O,O,X,X,O,O,X,X,X
TLIZSOJ,O,O,X,X,O,O,X,X,X
TLIZOJS,O,O,X,O,O,O,X,X,X
TLIZOSJ,O,O,X,X,O,O,X,X,X
TLIOJSZ,X,X,O,O,O,X,X,X,X
TLIOJZS,X,O,X,O,O,X,X,O,X
TLIOSJZ,O,X,O,O,O,O,X,X,X
TLIOSZJ,O,X,O,O,O,O,X,O,X
TLIOZJS,O,O,X,O,O,O,X,O,X
TLIOZSJ,O,O,X,X,O,O,X,O,X
TLJISZO,X,X,O,O,O,X,X,X,X
TLJISOZ,X,X,O,O,O,X,X,X,X
TLJIZSO,X,O,X,X,O,X,X,X,X
TLJIZOS,X,O,X,O,X,X,X,X,X
TLJIOSZ,X,X,O,O,O,X,X,X,X
TLJIOZS,X,O,X,O,O,X,X,X,X
TLJSIZO,O,X,O,O,O,X,X,X,X
TLJSIOZ,O,X,O,O,O,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,O,O,X,X,X,X
TLJSOZI,O,O,O,O,O,X,X,X,X
TLJZISO,O,O,X,X,O,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X
TLJZSIO,O,O,X,O,O,X,X,X,X
TLJZSOI,O,O,X,O,O,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X
TLJOISZ,X,X,O,O,O,X,X,X,X
TLJOIZS,X,O,X,O,O,X,X,O,X
TLJOSIZ,O,X,O,O,O,X,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X,X
TLJOZIS,O,O,X,O,O,X,X,X,X
TLJOZSI,O,O,X,O,O,X,X,X,X
TLSIJZO,O,X,O,O,O,O,X,X,X
TLSIJOZ,O,X,O,O,O,X,X,X,X
TLSIZJO,O,X,O,O,O,O,X,X,X
TLSIZOJ,O,X,O,O,O,O,X,X,X
TLSIOJZ,O,X,O,O,O,X,X,X,X
TLSIOZJ,O,X,O,O,O,O,X,X,X
TLSJIZO,O,X,O,O,O,O,X,X,X
TLSJIOZ,O,X,O,O,O,X,X,X,X
TLSJZIO,O,O,O,O,O,O,X,X,X
TLSJZOI,O,O,O,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,O,X,X,X,X
TLSJOZI,O,O,O,O,O,X,O,X,X
TLSZIJO,O,O,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,O,O,O,X,X,X
TLSZJIO,O,O,O,O,O,O,X,X,X
TLSZJOI,O,O,O,O,O,O,O,X,X
TLSZOIJ,O,O,O,O,O,O,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X
TLSOIJZ,O,X,O,O,O,O,X,X,X
TLSOIZJ,O,X,O,O,O,O,X,O,X
TLSOJIZ,O,X,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,O,O,O,X,X
TLSOZJI,O,O,O,O,O,O,O,X,X
TLZIJSO,O,O,X,X,O,O,X,X,X
TLZIJOS,O,O,X,O,X,O,X,O,X
TLZISJO,O,O,X,X,O,O,X,X,X
TLZISOJ,O,O,X,X,O,O,X,X,X
TLZIOJS,O,O,X,O,O,O,X,O,X
TLZIOSJ,O,O,X,X,O,O,X,O,X
TLZJISO,O,O,X,X,O,O,X,X,X
TLZJIOS,O,O,X,O,X,O,X,O,X
TLZJSIO,O,O,X,O,O,O,X,X,X
TLZJSOI,O,O,X,O,O,O,X,O,X
TLZJOIS,O,O,X,O,X,O,X,O,X
TLZJOSI,O,O,X,O,X,O,X,O,X
TLZSIJO,O,O,X,O,O,O,X,X,X
TLZSIOJ,O,O,X,O,O,O,X,X,X
TLZSJIO,O,O,X,O,O,O,X,X,X
TLZSJOI,O,O,X,O,O,O,O,O,X
TLZSOIJ,O,O,X,O,O,O,O,O,X
TLZSOJI,O,O,X,O,O,O,O,O,X
TLZOIJS,O,O,X,O,O,O,X,O,X
TLZOISJ,O,O,X,X,O,O,O,O,X
TLZOJIS,O,O,X,O,O,O,X,O,X
TLZOJSI,O,O,X,O,O,O,X,O,X
TLZOSIJ,O,O,X,O,O,O,O,O,X
TLZOSJI,O,O,X,O,O,O,O,O,X
TLOIJSZ,X,X,O,O,O,X,X,X,X
TLOIJZS,X,O,X,O,O,X,X,O,X
TLOISJZ,O,X,O,O,O,O,X,X,X
TLOISZJ,O,X,O,O,O,O,X,O,X
TLOIZJS,O,O,X,O,O,O,X,O,X
TLOIZSJ,O,O,X,X,O,O,X,O,X
TLOJISZ,X,X,O,O,O,X,X,X,X
TLOJIZS,X,O,X,O,O,X,X,O,X
TLOJSIZ,O,X,O,O,O,X,X,X,X
TLOJSZI,O,O,O,O,O,X,X,X,X
TLOJZIS,O,O,X,O,O,X,X,X,X
TLOJZSI,O,O,X,O,O,X,X,X,X
TLOSIJZ,O,X,O,O,O,O,X,X,X
TLOSIZJ,O,X,O,O,O,O,X,O,X
TLOSJIZ,O,X,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X
TLOSZJI,O,O,O,O,O,O,O,X,X
TLOZIJS,O,O,X,O,O,O,X,O,X
TLOZISJ,O,O,X,X,O,O,O,O,X
TLOZJIS,O,O,X,O,O,O,X,O,X
TLOZJSI,O,O,X,O,O,O,X,O,X
TLOZSIJ,O,O,X,O,O,O,O,O,X
TLOZSJI,O,O,X,O,O,O,O,O,X
TJILSZO,X,X,O,O,O,X,X,X,X
TJILSOZ,X,X,O,O,O,X,X,X,X
TJILZSO,X,O,X,X,O,X,X,X,X
TJILZOS,X,O,X,O,X,X,X,X,X
TJILOSZ,X,X,O,O,O,X,X,X,X
TJILOZS,X,O,X,O,O,X,X,X,X
TJISLZO,X,X,O,O,O,X,X,X,O
TJISLOZ,X,X,O,O,O,X,X,X,O
TJISZLO,X,X,O,O,O,X,X,X,X
TJISZOL,X,X,O,O,O,X,X,X,X
TJISOLZ,X,X,O,O,O,X,X,X,X
TJISOZL,X,X,O,X,O,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X,X,X
TJIZLOS,X,O,X,O,X,X,X,X,X
TJIZSLO,X,O,O,X,O,X,X,X,X
TJIZSOL,X,O,O,X,O,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,O,O,X,X,X,X
TJIOLZS,X,O,X,O,O,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X,X
TJIOZLS,X,O,X,X,O,X,X,X,X
TJIOZSL,X,O,O,X,O,X,X,X,X
TJLISZO,X,X,O,O,O,X,X,X,X
TJLISOZ,X,X,O,O,O,X,X,X,X
TJLIZSO,X,O,X,X,O,X,X,X,X
TJLIZOS,X,O,X,O,X,X,X,X,X
TJLIOSZ,X,X,O,O,O,X,X,X,X
TJLIOZS,X,O,X,O,O,X,X,X,X
TJLSIZO,O,X,O,O,O,X,X,X,X
TJLSIOZ,O,X,O,O,O,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,X,X
TJLSZOI,O,O,O,O,O,X,X,X,X
TJLSOIZ,O,X,O,O,O,X,X,X,X
TJLSOZI,O,O,O,O,O,X,X,X,X
TJLZISO,O,O,X,X,O,X,X,X,X
TJLZIOS,O,O,X,O,X,X,X,X,X
TJLZSIO,O,O,X,O,O,X,X,X,X
TJLZSOI,O,O,X,O,O,X,X,X,X
TJLZOIS,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X
TJLOISZ,X,X,O,O,O,X,X,X,X
TJLOIZS,X,O,X,O,O,X,X,O,X
TJLOSIZ,O,X,O,O,O,X,X,X,X
TJLOSZI,O,O,O,O,O,X,X,X,X
TJLOZIS,O,O,X,O,O,X,X,X,X
TJLOZSI,O,O,X,O,O,X,X,X,X
TJSILZO,X,X,O,O,O,X,X,X,O
TJSILOZ,X,X,O,O,O,X,X,X,O
TJSIZLO,O,X,O,O,O,X,X,X,X
TJSIZOL,O,X,O,O,O,X,O,X,X
TJSIOLZ,X,X,O,O,O,X,X,X,X
TJSIOZL,O,X,O,X,O,X,O,X,X
TJSLIZO,O,X,O,O,O,X,X,X,O
TJSLIOZ,O,X,O,O,O,X,X,X,O
TJSLZIO,O,O,O,O,O,X,X,X,X
TJSLZOI,O,O,O,O,O,X,O,X,X
TJSLOIZ,O,X,O,O,O,X,X,X,X
TJSLOZI,O,O,O,O,O,X,O,X,X
TJSZILO,O,O,O,O,O,X,X,X,X
TJSZIOL,O,O,O,O,O,X,O,X,X
TJSZLIO,O,O,O,O,O,X,X,X,X
TJSZLOI,O,O,O,O,O,X,O,X,X
TJSZOIL,O,O,O,O,O,X,O,X,X
TJSZOLI,O,O,O,O,O,X,O,X,X
TJSOILZ,X,X,O,O,O,X,X,X,X
TJSOIZL,O,X,O,X,O,X,O,X,X
TJSOLIZ,O,X,O,O,O,X,X,X,X
TJSOLZI,O,O,O,O,O,X,O,X,X
TJSOZIL,O,O,O,O,O,X,O,X,X
TJSOZLI,O,O,O,O,O,X,O,X,X
TJZILSO,O,O,X,X,O,X,X,X,X
TJZILOS,O,O,X,O,X,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,X
TJZISOL,O,O,O,X,O,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X,X,X
TJZIOSL,O,O,O,X,X,X,X,X,X
TJZLISO,O,O,X,X,O,X,X,X,X
TJZLIOS,O,O,X,O,X,X,X,X,X
TJZLSIO,O,O,X,O,O,X,X,X,X
TJZLSOI,O,O,X,O,O,X,X,X,X
TJZLOIS,O,O,X,O,X,X,X,X,X
TJZLOSI,O,O,X,O,X,X,X,X,X
TJZSILO,O,O,O,O,O,X,X,X,X
TJZSIOL,O,O,O,O,O,X,O,X,X
TJZSLIO,O,O,O,O,O,X,X,X,X
TJZSLOI,O,O,O,O,O,X,O,X,X
TJZSOIL,O,O,O,O,O,X,O,X,X
TJZSOLI,O,O,O,O,O,X,O,X,X
TJZOILS,O,O,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,X,X,O,X,X
TJZOLIS,O,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,X,X,O,X,X
TJZOSLI,O,O,O,X,X,X,O,X,X
TJOILSZ,X,X,O,O,O,X,X,X,X
TJOILZS,X,O,X,O,O,X,X,O,X
TJOISLZ,X,X,O,X,O,X,X,X,X
TJOISZL,X,X,O,X,O,X,O,X,X
TJOIZLS,X,O,X,X,O,X,X,O,X
TJOIZSL,X,O,O,X,O,X,O,O,X
TJOLISZ,X,X,O,O,O,X,X,X,X
TJOLIZS,X,O,X,O,O,X,X,O,X
TJOLSIZ,O,X,O,O,O,X,X,X,X
TJOLSZI,O,O,O,O,O,X,X,X,X
TJOLZIS,O,O,X,O,O,X,X,X,X
TJOLZSI,O,O,X,O,O,X,X,X,X
TJOSILZ,X,X,O,O,O,X,X,X,X
TJOSIZL,O,X,O,X,O,X,O,X,X
TJOSLIZ,O,X,O,O,O,X,X,X,X
TJOSLZI,O,O,O,O,O,X,O,X,X
TJOSZIL,O,O,O,O,O,X,O,X,X
TJOSZLI,O,O,O,O,O,X,O,X,X
TJOZILS,O,O,X,X,O,X,X,X,X
TJOZISL,O,O,O,X,O,X,O,X,X
TJOZLIS,O,O,X,X,O,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X
TJOZSIL,O,O,O,X,O,X,O,X,X
TJOZSLI,O,O,O,X,O,X,O,X,X
TSILJZO,O,X,O,O,O,O,X,X,O
TSILJOZ,O,X,O,O,O,X,X,X,O
TSILZJO,O,X,O,O,O,O,X,X,X
TSILZOJ,O,X,O,O,O,O,X,X,X
TSILOJZ,O,X,O,O,O,X,X,X,X
TSILOZJ,O,X,O,O,O,O,X,X,X
TSIJLZO,X,X,O,O,O,X,X,X,O
TSIJLOZ,X,X,O,O,O,X,X,X,O
TSIJZLO,O,X,O,O,O,X,X,X,X
TSIJZOL,O,X,O,O,O,X,O,X,X
TSIJOLZ,X,X,O,O,O,X,X,X,X
TSIJOZL,O,X,O,X,O,X,O,X,X
TSIZLJO,O,X,O,O,O,O,X,X,X
TSIZLOJ,O,X,O,O,O,O,X,X,X
TSIZJLO,O,X,O,O,O,O,X,X,X
TSIZJOL,O,X,O,O,O,O,O,X,X
TSIZOLJ,O,X,O,O,O,O,O,X,X
TSIZOJL,O,X,O,O,O,O,O,X,X
TSIOLJZ,O,X,O,O,O,O,X,X,X
TSIOLZJ,O,X,O,O,O,O,X,X,X
TSIOJLZ,X,X,O,O,O,X,X,X,X
TSIOJZL,O,X,O,X,O,O,O,X,X
TSIOZLJ,O,X,O,X,O,O,O,X,X
TSIOZJL,O,X,O,X,O,O,O,X,X
TSLIJZO,O,X,O,O,O,O,X,X,O
TSLIJOZ,O,X,O,O,O,X,X,X,O
TSLIZJO,O,X,O,O,O,O,X,X,X
TSLIZOJ,O,X,O,O,O,O,X,X,X
TSLIOJZ,O,X,O,O,O,X,X,X,X
TSLIOZJ,O,X,O,O,O,O,X,X,X
TSLJIZO,O,X,O,O,O,O,X,X,O
TSLJIOZ,O,X,O,O,O,X,X,X,O
TSLJZIO,O,O,O,O,O,O,X,X,X
TSLJZOI,O,O,O,O,O,O,O,X,X
TSLJOIZ,O,X,O,O,O,X,X,X,X
TSLJOZI,O,O,O,O,O,X,O,X,X
TSLZIJO,O,O,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,O,O,X,X,X
TSLZJIO,O,O,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,O,O,O,X,X
TSLZOIJ,O,O,O,O,O,O,O,X,X
TSLZOJI,O,O,O,O,O,O,O,X,X
TSLOIJZ,O,X,O,O,O,O,X,X,X
TSLOIZJ,O,X,O,O,O,O,X,O,X
TSLOJIZ,O,X,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,O,O,O,X,X
TSLOZIJ,O,O,O,O,O,O,O,X,X
TSLOZJI,O,O,O,O,O,O,O,X,X
TSJILZO,X,X,O,O,O,X,X,X,O
TSJILOZ,X,X,O,O,O,X,X,X,O
TSJIZLO,O,X,O,O,O,X,X,X,X
TSJIZOL,O,X,O,O,O,X,O,X,X
TSJIOLZ,X,X,O,O,O,X,X,X,X
TSJIOZL,O,X,O,X,O,X,O,X,X
TSJLIZO,O,X,O,O,O,O,X,X,O
TSJLIOZ,O,X,O,O,O,X,X,X,O
TSJLZIO,O,O,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,O,O,O,X,X
TSJLOIZ,O,X,O,O,O,X,X,X,X
TSJLOZI,O,O,O,O,O,X,O,X,X
TSJZILO,O,O,O,O,O,O,X,X,X
TSJZIOL,O,O,O,O,O,O,O,X,X
TSJZLIO,O,O,O,O,O,O,X,X,X
TSJZLOI,O,O,O,O,O,O,O,X,X
TSJZOIL,O,O,O,O,O,O,O,X,X
TSJZOLI,O,O,O,O,O,O,O,X,X
TSJOILZ,X,X,O,O,O,X,X,X,X
TSJOIZL,O,X,O,X,O,O,O,X,X
TSJOLIZ,O,X,O,O,O,O,X,X,X
TSJOLZI,O,O,O,O,O,O,O,X,X
TSJOZIL,O,O,O,O,O,O,O,X,X
TSJOZLI,O,O,O,O,O,O,O,X,X
TSZILJO,O,O,O,O,O,O,X,X,X
TSZILOJ,O,O,O,O,O,O,X,X,X
TSZIJLO,O,O,O,O,O,O,X,X,X
TSZIJOL,O,O,O,O,O,O,O,X,X
TSZIOLJ,O,O,O,O,O,O,O,X,X
TSZIOJL,O,O,O,O,O,O,O,X,X
TSZLIJO,O,O,O,O,O,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,X,X,X
TSZLJIO,O,O,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,O,O,X,X
TSZLOIJ,O,O,O,O,O,O,O,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,O,O,O,X,X
TSZJLIO,O,O,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,O,O,X,X
TSZJOIL,O,O,O,O,O,O,O,X,X
TSZJOLI,O,O,O,O,O,O,O,X,X
TSZOILJ,O,O,O,O,O,O,O,X,X
TSZOIJL,O,O,O,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,O,O,O,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X
TSOILJZ,O,X,O,O,O,O,X,X,X
TSOILZJ,O,X,O,O,O,O,X,O,X
TSOIJLZ,X,X,O,O,O,X,X,X,X
TSOIJZL,O,X,O,X,O,O,O,X,X
TSOIZLJ,O,X,O,X,O,O,O,O,X
TSOIZJL,O,X,O,X,O,O,O,O,X
TSOLIJZ,O,X,O,O,O,O,X,X,X
TSOLIZJ,O,X,O,O,O,O,X,O,X
TSOLJIZ,O,X,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,O,O,O,X,X
TSOLZIJ,O,O,O,O,O,O,O,X,X
TSOLZJI,O,O,O,O,O,O,O,X,X
TSOJILZ,X,X,O,O,O,X,X,X,X
TSOJIZL,O,X,O,X,O,O,O,X,X
TSOJLIZ,O,X,O,O,O,O,X,X,X
TSOJLZI,O,O,O,O,O,O,O,X,X
TSOJZIL,O,O,O,O,O,O,O,X,X
TSOJZLI,O,O,O,O,O,O,O,X,X
TSOZILJ,O,O,O,O,O,O,O,X,X
TSOZIJL,O,O,O,O,O,O,O,X,X
TSOZLIJ,O,O,O,O,O,O,O,X,X
TSOZLJI,O,O,O,O,O,O,O,X,X
TSOZJIL,O,O,O,O,O,O,O,X,X
TSOZJLI,O,O,O,O,O,O,O,X,X
TZILJSO,O,O,X,X,O,X,X,X,X
TZILJOS,O,O,X,O,X,X,X,O,X
TZILSJO,O,O,X,X,O,X,X,X,X
TZILSOJ,O,O,X,X,O,X,X,X,X
TZILOJS,O,O,X,O,O,X,X,O,X
TZILOSJ,O,O,X,X,O,X,X,O,X
TZIJLSO,O,O,X,X,O,X,X,X,X
TZIJLOS,O,O,X,O,X,X,X,O,X
TZIJSLO,O,O,O,X,O,X,X,X,X
TZIJSOL,O,O,O,X,O,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,O,X
TZIJOSL,O,O,O,X,X,X,X,O,X
TZISLJO,O,O,O,X,O,X,X,X,X
TZISLOJ,O,O,O,X,O,X,X,X,X
TZISJLO,O,O,O,X,O,X,X,X,X
TZISJOL,O,O,O,X,O,X,O,X,X
TZISOLJ,O,O,O,X,O,X,O,X,X
TZISOJL,O,O,O,X,O,X,O,X,X
TZIOLJS,O,O,X,X,O,X,X,O,X
TZIOLSJ,O,O,X,X,O,X,O,O,X
TZIOJLS,O,O,X,X,O,X,X,O,X
TZIOJSL,O,O,O,X,O,X,O,O,X
TZIOSLJ,O,O,O,X,O,X,O,O,X
TZIOSJL,O,O,O,X,O,X,O,O,X
TZLIJSO,O,O,X,X,O,O,X,X,X
TZLIJOS,O,O,X,O,X,O,X,O,X
TZLISJO,O,O,X,X,O,O,X,X,X
