sequence,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgBfnB9oBqsBmn?B0rB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFfmB0hB9oBqsBmn?BzrB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFChBziB+oB/rB0s?BdsB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgB0iBStBmrBtr?BXtB
ILTJZOS,O,X,X,O
ILTJOSZ,X,O,X,O
ILTJOZS,O,X,X,O
ILTSJZO,X,O,O,X
ILTSJOZ,X,O,X,X
ILTSZJO,O,O,O,X
ILTSZOJ,O,O,X,X
ILTSOJZ,X,O,X,X
ILTSOZJ,O,O,X,X
ILTZJSO,O,X,X,O
ILTZJOS,O,X,X,O
ILTZSJO,O,O,X,X
ILTZSOJ,O,O,X,X
ILTZOJS,O,X,X,X
ILTZOSJ,O,O,X,X
ILTOJSZ,X,O,X,O
ILTOJZS,O,X,X,O
ILTOSJZ,X,O,X,X
ILTOSZJ,O,O,X,X
ILTOZJS,O,X,X,X
ILTOZSJ,O,O,X,X
ILJTSZO,X,O,O,O
ILJTSOZ,X,O,X,O
ILJTZSO,O,X,X,O
ILJTZOS,O,X,X,O
ILJTOSZ,X,O,X,O
ILJTOZS,O,X,X,O
ILJSTZO,X,O,O,O
ILJSTOZ,X,O,X,O
ILJSZTO,X,O,O,X
ILJSZOT,X,X,O,X
ILJSOTZ,X,O,X,O
ILJSOZT,X,O,O,X
ILJZTSO,O,X,X,O
ILJZTOS,O,X,X,O
ILJZSTO,O,X,O,O
ILJZSOT,O,X,O,X
ILJZOTS,O,X,X,O
ILJZOST,O,X,O,X
ILJOTSZ,X,O,X,O
ILJOTZS,O,X,X,O
ILJOSTZ,X,O,X,O
ILJOSZT,X,O,O,X
ILJOZTS,O,X,X,O
ILJOZST,O,X,O,X
ILSTJZO,X,O,O,X
ILSTJOZ,X,O,X,X
ILSTZJO,O,O,O,X
ILSTZOJ,O,O,X,X
ILSTOJZ,X,O,X,X
ILSTOZJ,O,O,X,X
ILSJTZO,X,O,O,O
ILSJTOZ,X,O,X,O
ILSJZTO,X,O,O,X
ILSJZOT,X,X,O,X
ILSJOTZ,X,O,X,O
ILSJOZT,X,O,O,X
ILSZTJO,O,O,O,X
ILSZTOJ,O,O,X,X
ILSZJTO,O,O,O,O
ILSZJOT,O,X,O,X
ILSZOTJ,O,O,X,X
ILSZOJT,O,O,O,X
ILSOTJZ,X,O,X,X
ILSOTZJ,O,O,X,X
ILSOJTZ,X,O,X,O
ILSOJZT,X,O,O,X
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,O,X
ILZTJSO,O,X,X,O
ILZTJOS,O,X,X,O
ILZTSJO,O,O,X,X
ILZTSOJ,O,O,X,X
ILZTOJS,O,X,X,X
ILZTOSJ,O,O,X,X
ILZJTSO,O,X,X,O
ILZJTOS,O,X,X,O
ILZJSTO,O,X,O,O
ILZJSOT,O,X,O,X
ILZJOTS,O,X,X,O
ILZJOST,O,X,O,X
ILZSTJO,O,O,O,X
ILZSTOJ,O,O,X,X
ILZSJTO,O,O,O,O
ILZSJOT,O,X,O,X
ILZSOTJ,O,O,X,X
ILZSOJT,O,O,O,X
ILZOTJS,O,X,X,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,X,X,O
ILZOJST,O,X,X,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,X,O,X,O
ILOTJZS,O,X,X,O
ILOTSJZ,X,O,X,X
ILOTSZJ,O,O,X,X
ILOTZJS,O,X,X,X
ILOTZSJ,O,O,X,X
ILOJTSZ,X,O,X,O
ILOJTZS,O,X,X,O
ILOJSTZ,X,O,X,O
ILOJSZT,X,O,O,X
ILOJZTS,O,X,X,O
ILOJZST,O,X,X,X
ILOSTJZ,X,O,X,X
ILOSTZJ,O,O,X,X
ILOSJTZ,X,O,X,O
ILOSJZT,X,O,O,X
ILOSZTJ,O,O,X,X
ILOSZJT,O,O,O,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,O,X,X
ILOZJTS,O,X,X,O
ILOZJST,O,X,X,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,X,X
IJTLSZO,X,O,O,O
IJTLSOZ,X,O,X,O
IJTLZSO,O,X,X,O
IJTLZOS,O,X,X,O
IJTLOSZ,X,O,X,O
IJTLOZS,O,X,X,O
IJTSLZO,X,O,O,X
IJTSLOZ,X,O,X,X
IJTSZLO,X,O,O,X
IJTSZOL,X,X,O,X
IJTSOLZ,X,O,X,X
IJTSOZL,X,O,X,X
IJTZLSO,O,X,X,X
IJTZLOS,O,X,X,X
IJTZSLO,O,X,O,X
IJTZSOL,O,X,O,X
IJTZOLS,O,X,X,X
IJTZOSL,O,X,O,X
IJTOLSZ,X,O,X,O
IJTOLZS,O,X,X,O
IJTOSLZ,X,O,X,X
IJTOSZL,X,O,X,X
IJTOZLS,O,X,X,X
IJTOZSL,O,X,O,X
IJLTSZO,X,O,O,O
IJLTSOZ,X,O,X,O
IJLTZSO,O,X,X,O
IJLTZOS,O,X,X,O
IJLTOSZ,X,O,X,O
IJLTOZS,O,X,X,O
IJLSTZO,X,O,O,O
IJLSTOZ,X,O,X,O
IJLSZTO,X,O,O,X
IJLSZOT,X,X,O,X
IJLSOTZ,X,O,X,O
IJLSOZT,X,O,O,X
IJLZTSO,O,X,X,O
IJLZTOS,O,X,X,O
IJLZSTO,O,X,O,O
IJLZSOT,O,X,O,X
IJLZOTS,O,X,X,O
IJLZOST,O,X,O,X
IJLOTSZ,X,O,X,O
IJLOTZS,O,X,X,O
IJLOSTZ,X,O,X,O
IJLOSZT,X,O,O,X
IJLOZTS,O,X,X,O
IJLOZST,O,X,O,X
IJSTLZO,X,O,O,X
IJSTLOZ,X,O,X,X
IJSTZLO,X,O,O,X
IJSTZOL,X,X,O,X
IJSTOLZ,X,O,X,X
IJSTOZL,X,O,X,X
IJSLTZO,X,O,O,O
IJSLTOZ,X,O,X,O
IJSLZTO,X,O,O,X
IJSLZOT,X,X,O,X
IJSLOTZ,X,O,X,O
IJSLOZT,X,O,O,X
IJSZTLO,X,O,O,X
IJSZTOL,X,X,O,X
IJSZLTO,X,O,O,X
IJSZLOT,X,X,O,X
IJSZOTL,X,O,O,X
IJSZOLT,X,O,O,X
IJSOTLZ,X,O,X,X
IJSOTZL,X,O,X,X
IJSOLTZ,X,O,X,O
IJSOLZT,X,O,O,X
IJSOZTL,X,O,O,X
IJSOZLT,X,O,O,X
IJZTLSO,O,X,X,X
IJZTLOS,O,X,X,X
IJZTSLO,O,X,O,X
IJZTSOL,O,X,O,X
IJZTOLS,O,X,X,X
IJZTOSL,O,X,O,X
IJZLTSO,O,X,X,O
IJZLTOS,O,X,X,O
IJZLSTO,O,X,O,X
IJZLSOT,O,X,O,X
IJZLOTS,O,X,X,O
IJZLOST,O,X,O,X
IJZSTLO,O,X,O,X
IJZSTOL,O,X,O,X
IJZSLTO,O,X,O,X
IJZSLOT,O,X,O,X
IJZSOTL,O,X,O,X
IJZSOLT,O,X,O,X
IJZOTLS,O,X,X,X
IJZOTSL,O,X,O,X
IJZOLTS,O,X,X,O
IJZOLST,O,X,O,X
IJZOSTL,O,X,O,X
IJZOSLT,O,X,O,X
IJOTLSZ,X,O,X,O
IJOTLZS,O,X,X,O
IJOTSLZ,X,O,X,X
IJOTSZL,X,O,X,X
IJOTZLS,O,X,X,X
IJOTZSL,O,X,O,X
IJOLTSZ,X,O,X,O
IJOLTZS,O,X,X,O
IJOLSTZ,X,O,X,O
IJOLSZT,X,O,O,X
IJOLZTS,O,X,X,O
IJOLZST,O,X,O,X
IJOSTLZ,X,O,X,X
IJOSTZL,X,O,X,X
IJOSLTZ,X,O,X,O
IJOSLZT,X,O,O,X
IJOSZTL,X,O,O,X
IJOSZLT,X,O,O,X
IJOZTLS,O,X,X,X
IJOZTSL,O,X,O,X
IJOZLTS,O,X,X,O
IJOZLST,O,X,O,X
IJOZSTL,O,X,O,X
IJOZSLT,O,X,O,X
ISTLJZO,X,O,O,X
ISTLJOZ,X,O,X,X
ISTLZJO,O,O,O,X
ISTLZOJ,O,O,X,X
ISTLOJZ,X,O,X,X
ISTLOZJ,O,O,X,X
ISTJLZO,X,O,O,X
ISTJLOZ,X,O,X,X
ISTJZLO,X,O,O,X
ISTJZOL,X,X,O,X
ISTJOLZ,X,O,X,X
ISTJOZL,X,O,X,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,X,X
ISTZJLO,O,O,O,X
ISTZJOL,O,X,O,X
ISTZOLJ,O,O,X,X
ISTZOJL,O,O,X,X
ISTOLJZ,X,O,X,X
ISTOLZJ,O,O,X,X
ISTOJLZ,X,O,X,X
ISTOJZL,X,O,X,X
ISTOZLJ,O,O,X,X
ISTOZJL,O,O,X,X
ISLTJZO,X,O,O,X
ISLTJOZ,X,O,X,X
ISLTZJO,O,O,O,X
ISLTZOJ,O,O,X,X
ISLTOJZ,X,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,X,O,O,O
ISLJTOZ,X,O,X,O
ISLJZTO,X,O,O,X
ISLJZOT,X,X,O,X
ISLJOTZ,X,O,X,O
ISLJOZT,X,O,O,X
ISLZTJO,O,O,O,X
ISLZTOJ,O,O,X,X
ISLZJTO,O,O,O,O
ISLZJOT,O,X,O,X
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,O,X
ISLOTJZ,X,O,X,X
ISLOTZJ,O,O,X,X
ISLOJTZ,X,O,X,O
ISLOJZT,X,O,O,X
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,O,X
ISJTLZO,X,O,O,X
ISJTLOZ,X,O,X,X
ISJTZLO,X,O,O,X
ISJTZOL,X,X,O,X
ISJTOLZ,X,O,X,X
ISJTOZL,X,O,X,X
ISJLTZO,X,O,O,O
ISJLTOZ,X,O,X,O
ISJLZTO,X,O,O,X
ISJLZOT,X,X,O,X
ISJLOTZ,X,O,X,O
ISJLOZT,X,O,O,X
ISJZTLO,X,O,O,X
ISJZTOL,X,X,O,X
ISJZLTO,X,O,O,X
ISJZLOT,X,X,O,X
ISJZOTL,X,O,O,X
ISJZOLT,X,O,O,X
ISJOTLZ,X,O,X,X
ISJOTZL,X,O,X,X
ISJOLTZ,X,O,X,O
ISJOLZT,X,O,O,X
ISJOZTL,X,O,O,X
ISJOZLT,X,O,O,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,X,X
ISZTJLO,O,O,O,X
ISZTJOL,O,X,O,X
ISZTOLJ,O,O,X,X
ISZTOJL,O,O,X,X
ISZLTJO,O,O,O,X
ISZLTOJ,O,O,X,X
ISZLJTO,O,O,O,X
ISZLJOT,O,X,O,X
ISZLOTJ,O,O,X,X
ISZLOJT,O,O,O,X
ISZJTLO,O,O,O,X
ISZJTOL,O,X,O,X
ISZJLTO,O,O,O,X
ISZJLOT,O,X,O,X
ISZJOTL,O,O,O,X
ISZJOLT,O,O,O,X
ISZOTLJ,O,O,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,O,X
ISZOJTL,O,O,O,X
ISZOJLT,O,O,O,X
ISOTLJZ,X,O,X,X
ISOTLZJ,O,O,X,X
ISOTJLZ,X,O,X,X
ISOTJZL,X,O,X,X
ISOTZLJ,O,O,X,X
ISOTZJL,O,O,X,X
ISOLTJZ,X,O,X,X
ISOLTZJ,O,O,X,X
ISOLJTZ,X,O,X,O
ISOLJZT,X,O,O,X
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,O,X
ISOJTLZ,X,O,X,X
ISOJTZL,X,O,X,X
ISOJLTZ,X,O,X,O
ISOJLZT,X,O,O,X
ISOJZTL,X,O,O,X
ISOJZLT,X,O,O,X
ISOZTLJ,O,O,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,O,O,X,X
ISOZLJT,O,O,O,X
ISOZJTL,O,O,O,X
ISOZJLT,O,O,O,X
IZTLJSO,O,X,X,X
IZTLJOS,O,X,X,X
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,X,X
IZTLOJS,O,X,X,X
IZTLOSJ,O,O,X,X
IZTJLSO,O,X,X,X
IZTJLOS,O,X,X,X
IZTJSLO,O,X,O,X
IZTJSOL,O,X,O,X
IZTJOLS,O,X,X,X
IZTJOSL,O,X,O,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,X,X
IZTSJLO,O,O,O,X
IZTSJOL,O,X,O,X
IZTSOLJ,O,O,X,X
IZTSOJL,O,O,X,X
IZTOLJS,O,X,X,X
IZTOLSJ,O,O,X,X
IZTOJLS,O,X,X,X
IZTOJSL,O,X,X,X
IZTOSLJ,O,O,X,X
IZTOSJL,O,O,X,X
IZLTJSO,O,X,X,O
IZLTJOS,O,X,X,O
IZLTSJO,O,O,X,X
IZLTSOJ,O,O,X,X
IZLTOJS,O,X,X,X
IZLTOSJ,O,O,X,X
IZLJTSO,O,X,X,O
IZLJTOS,O,X,X,O
IZLJSTO,O,X,O,O
IZLJSOT,O,X,O,X
IZLJOTS,O,X,X,O
IZLJOST,O,X,O,X
IZLSTJO,O,O,O,X
IZLSTOJ,O,O,X,X
IZLSJTO,O,O,O,O
IZLSJOT,O,X,O,X
IZLSOTJ,O,O,X,X
IZLSOJT,O,O,O,X
IZLOTJS,O,X,X,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,X,X,O
IZLOJST,O,X,X,X
IZLOSTJ,O,O,X,X
IZLOSJT,O,O,X,X
IZJTLSO,O,X,X,X
IZJTLOS,O,X,X,X
IZJTSLO,O,X,O,X
IZJTSOL,O,X,O,X
IZJTOLS,O,X,X,X
IZJTOSL,O,X,O,X
IZJLTSO,O,X,X,O
IZJLTOS,O,X,X,O
IZJLSTO,O,X,O,X
IZJLSOT,O,X,O,X
IZJLOTS,O,X,X,O
IZJLOST,O,X,O,X
IZJSTLO,O,X,O,X
IZJSTOL,O,X,O,X
IZJSLTO,O,X,O,X
IZJSLOT,O,X,O,X
IZJSOTL,O,X,O,X
IZJSOLT,O,X,O,X
IZJOTLS,O,X,X,X
IZJOTSL,O,X,O,X
IZJOLTS,O,X,X,O
IZJOLST,O,X,O,X
IZJOSTL,O,X,O,X
IZJOSLT,O,X,O,X
IZSTLJO,O,O,O,X
IZSTLOJ,O,O,X,X
IZSTJLO,O,O,O,X
IZSTJOL,O,X,O,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,X,X
IZSLTJO,O,O,O,X
IZSLTOJ,O,O,X,X
IZSLJTO,O,O,O,X
IZSLJOT,O,X,O,X
IZSLOTJ,O,O,X,X
IZSLOJT,O,O,O,X
IZSJTLO,O,O,O,X
IZSJTOL,O,X,O,X
IZSJLTO,O,O,O,X
IZSJLOT,O,X,O,X
IZSJOTL,O,O,O,X
IZSJOLT,O,O,O,X
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,X,X
IZSOLJT,O,O,O,X
IZSOJTL,O,O,O,X
IZSOJLT,O,O,O,X
IZOTLJS,O,X,X,X
IZOTLSJ,O,O,X,X
IZOTJLS,O,X,X,X
IZOTJSL,O,X,X,X
IZOTSLJ,O,O,X,X
IZOTSJL,O,O,X,X
IZOLTJS,O,X,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,X,X,O
IZOLJST,O,X,X,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,X
IZOJTLS,O,X,X,X
IZOJTSL,O,X,O,X
IZOJLTS,O,X,X,O
IZOJLST,O,X,O,X
IZOJSTL,O,X,O,X
IZOJSLT,O,X,O,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,O,X
IZOSJTL,O,O,O,X
IZOSJLT,O,O,O,X
IOTLJSZ,X,O,X,O
IOTLJZS,O,X,X,O
IOTLSJZ,X,O,X,X
IOTLSZJ,O,O,X,X
IOTLZJS,O,X,X,X
IOTLZSJ,O,O,X,X
IOTJLSZ,X,O,X,O
IOTJLZS,O,X,X,O
IOTJSLZ,X,O,X,X
IOTJSZL,X,O,X,X
IOTJZLS,O,X,X,X
IOTJZSL,O,X,X,X
IOTSLJZ,X,O,X,X
IOTSLZJ,O,O,X,X
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,X,X
IOTSZLJ,O,O,X,X
IOTSZJL,O,O,X,X
IOTZLJS,O,X,X,X
IOTZLSJ,O,O,X,X
IOTZJLS,O,X,X,X
IOTZJSL,O,X,X,X
IOTZSLJ,O,O,X,X
IOTZSJL,O,O,X,X
IOLTJSZ,X,O,X,O
IOLTJZS,O,X,X,O
IOLTSJZ,X,O,X,X
IOLTSZJ,O,O,X,X
IOLTZJS,O,X,X,X
IOLTZSJ,O,O,X,X
IOLJTSZ,X,O,X,O
IOLJTZS,O,X,X,O
IOLJSTZ,X,O,X,O
IOLJSZT,X,O,O,X
IOLJZTS,O,X,X,O
IOLJZST,O,X,X,X
IOLSTJZ,X,O,X,X
IOLSTZJ,O,O,X,X
IOLSJTZ,X,O,X,O
IOLSJZT,X,O,O,X
IOLSZTJ,O,O,X,X
IOLSZJT,O,O,O,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,O,X,X
IOLZJTS,O,X,X,O
IOLZJST,O,X,X,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,X,O,X,O
IOJTLZS,O,X,X,O
IOJTSLZ,X,O,X,X
IOJTSZL,X,O,X,X
IOJTZLS,O,X,X,X
IOJTZSL,O,X,O,X
IOJLTSZ,X,O,X,O
IOJLTZS,O,X,X,O
IOJLSTZ,X,O,X,O
IOJLSZT,X,O,O,X
IOJLZTS,O,X,X,O
IOJLZST,O,X,O,X
IOJSTLZ,X,O,X,X
IOJSTZL,X,O,X,X
IOJSLTZ,X,O,X,O
IOJSLZT,X,O,O,X
IOJSZTL,X,O,O,X
IOJSZLT,X,O,O,X
IOJZTLS,O,X,X,X
IOJZTSL,O,X,O,X
IOJZLTS,O,X,X,O
IOJZLST,O,X,O,X
IOJZSTL,O,X,O,X
IOJZSLT,O,X,O,X
IOSTLJZ,X,O,X,X
IOSTLZJ,O,O,X,X
IOSTJLZ,X,O,X,X
IOSTJZL,X,O,X,X
IOSTZLJ,O,O,X,X
IOSTZJL,O,O,X,X
IOSLTJZ,X,O,X,X
IOSLTZJ,O,O,X,X
IOSLJTZ,X,O,X,O
IOSLJZT,X,O,O,X
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,O,X
IOSJTLZ,X,O,X,X
IOSJTZL,X,O,X,X
IOSJLTZ,X,O,X,O
IOSJLZT,X,O,O,X
IOSJZTL,X,O,O,X
IOSJZLT,X,O,O,X
IOSZTLJ,O,O,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,O,O,X,X
IOSZLJT,O,O,O,X
IOSZJTL,O,O,O,X
IOSZJLT,O,O,O,X
IOZTLJS,O,X,X,X
IOZTLSJ,O,O,X,X
IOZTJLS,O,X,X,X
IOZTJSL,O,X,X,X
IOZTSLJ,O,O,X,X
IOZTSJL,O,O,X,X
IOZLTJS,O,X,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,X,X,O
IOZLJST,O,X,X,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,X,X
IOZJTLS,O,X,X,X
IOZJTSL,O,X,O,X
IOZJLTS,O,X,X,O
IOZJLST,O,X,O,X
IOZJSTL,O,X,O,X
IOZJSLT,O,X,O,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,O,X
IOZSJTL,O,O,O,X
IOZSJLT,O,O,O,X
LTIJSZO,X,O,O,O
LTIJSOZ,X,O,X,O
LTIJZSO,O,X,X,O
LTIJZOS,O,X,X,O
LTIJOSZ,X,O,X,O
LTIJOZS,O,X,X,O
LTISJZO,X,O,O,X
LTISJOZ,X,O,X,X
LTISZJO,O,O,O,X
LTISZOJ,O,O,X,X
LTISOJZ,X,O,X,X
LTISOZJ,O,O,X,X
LTIZJSO,O,X,X,O
LTIZJOS,O,X,X,O
LTIZSJO,O,O,X,X
LTIZSOJ,O,O,X,X
LTIZOJS,O,X,X,X
LTIZOSJ,O,O,X,X
LTIOJSZ,X,O,X,O
LTIOJZS,O,X,X,O
LTIOSJZ,X,O,X,X
LTIOSZJ,O,O,X,X
LTIOZJS,O,X,X,X
LTIOZSJ,O,O,X,X
LTJISZO,X,O,O,O
LTJISOZ,X,O,X,O
LTJIZSO,O,X,X,O
LTJIZOS,O,X,X,O
LTJIOSZ,X,O,X,O
LTJIOZS,O,X,X,O
LTJSIZO,X,O,O,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,O,X
LTJSZOI,X,X,X,X
LTJSOIZ,X,O,X,X
LTJSOZI,X,O,X,X
LTJZISO,O,X,X,O
LTJZIOS,O,X,X,O
LTJZSIO,O,X,X,X
LTJZSOI,O,X,X,X
LTJZOIS,O,X,X,X
LTJZOSI,O,X,X,X
LTJOISZ,X,O,X,O
LTJOIZS,O,X,X,O
LTJOSIZ,X,O,X,X
LTJOSZI,X,O,X,X
LTJOZIS,O,X,X,X
LTJOZSI,O,X,X,X
LTSIJZO,X,O,O,X
LTSIJOZ,X,O,X,X
LTSIZJO,O,O,O,X
LTSIZOJ,O,O,X,X
LTSIOJZ,X,O,X,X
LTSIOZJ,O,O,X,X
LTSJIZO,X,O,O,X
LTSJIOZ,X,O,X,X
LTSJZIO,X,O,O,X
LTSJZOI,X,X,X,X
LTSJOIZ,X,O,X,X
LTSJOZI,X,O,X,X
LTSZIJO,O,O,O,X
LTSZIOJ,O,O,X,X
LTSZJIO,O,O,O,X
LTSZJOI,O,X,X,X
LTSZOIJ,O,O,X,X
LTSZOJI,O,O,X,X
LTSOIJZ,X,O,X,X
LTSOIZJ,O,O,X,X
LTSOJIZ,X,O,X,X
LTSOJZI,X,O,X,X
LTSOZIJ,O,O,X,X
LTSOZJI,O,O,X,X
LTZIJSO,O,X,X,O
LTZIJOS,O,X,X,O
LTZISJO,O,O,X,X
LTZISOJ,O,O,X,X
LTZIOJS,O,X,X,X
LTZIOSJ,O,O,X,X
LTZJISO,O,X,X,O
LTZJIOS,O,X,X,O
LTZJSIO,O,X,X,X
LTZJSOI,O,X,X,X
LTZJOIS,O,X,X,X
LTZJOSI,O,X,X,X
LTZSIJO,O,O,X,X
LTZSIOJ,O,O,X,X
LTZSJIO,O,O,X,X
LTZSJOI,O,X,X,X
LTZSOIJ,O,O,X,X
LTZSOJI,O,O,X,X
LTZOIJS,O,X,X,X
LTZOISJ,O,O,X,X
LTZOJIS,O,X,X,X
LTZOJSI,O,X,X,X
LTZOSIJ,O,O,X,X
LTZOSJI,O,O,X,X
LTOIJSZ,X,O,X,O
LTOIJZS,O,X,X,O
LTOISJZ,X,O,X,X
LTOISZJ,O,O,X,X
LTOIZJS,O,X,X,X
LTOIZSJ,O,O,X,X
LTOJISZ,X,O,X,O
LTOJIZS,O,X,X,O
LTOJSIZ,X,O,X,X
LTOJSZI,X,O,X,X
LTOJZIS,O,X,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,X,O,X,X
LTOSIZJ,O,O,X,X
LTOSJIZ,X,O,X,X
LTOSJZI,X,O,X,X
LTOSZIJ,O,O,X,X
LTOSZJI,O,O,X,X
LTOZIJS,O,X,X,X
LTOZISJ,O,O,X,X
LTOZJIS,O,X,X,X
LTOZJSI,O,X,X,X
LTOZSIJ,O,O,X,X
LTOZSJI,O,O,X,X
LITJSZO,X,O,O,O
LITJSOZ,X,O,X,O
LITJZSO,O,X,X,O
LITJZOS,O,X,X,O
LITJOSZ,X,O,X,O
LITJOZS,O,X,X,O
LITSJZO,X,O,O,X
LITSJOZ,X,O,X,X
LITSZJO,O,O,O,X
LITSZOJ,O,O,X,X
LITSOJZ,X,O,X,X
LITSOZJ,O,O,X,X
LITZJSO,O,X,X,O
LITZJOS,O,X,X,O
LITZSJO,O,O,X,X
LITZSOJ,O,O,X,X
LITZOJS,O,X,X,X
LITZOSJ,O,O,X,X
LITOJSZ,X,O,X,O
LITOJZS,O,X,X,O
LITOSJZ,X,O,X,X
LITOSZJ,O,O,X,X
LITOZJS,O,X,X,X
LITOZSJ,O,O,X,X
LIJTSZO,X,O,O,O
LIJTSOZ,X,O,X,O
LIJTZSO,O,X,X,O
LIJTZOS,O,X,X,O
LIJTOSZ,X,O,X,O
LIJTOZS,O,X,X,O
LIJSTZO,X,O,O,O
LIJSTOZ,X,O,X,O
LIJSZTO,X,O,O,X
LIJSZOT,X,X,O,X
LIJSOTZ,X,O,X,O
LIJSOZT,X,O,O,X
LIJZTSO,O,X,X,O
LIJZTOS,O,X,X,O
LIJZSTO,O,X,O,O
LIJZSOT,O,X,O,X
LIJZOTS,O,X,X,O
LIJZOST,O,X,O,X
LIJOTSZ,X,O,X,O
LIJOTZS,O,X,X,O
LIJOSTZ,X,O,X,O
LIJOSZT,X,O,O,X
LIJOZTS,O,X,X,O
LIJOZST,O,X,O,X
LISTJZO,X,O,O,X
LISTJOZ,X,O,X,X
LISTZJO,O,O,O,X
LISTZOJ,O,O,X,X
LISTOJZ,X,O,X,X
LISTOZJ,O,O,X,X
LISJTZO,X,O,O,O
LISJTOZ,X,O,X,O
LISJZTO,X,O,O,X
LISJZOT,X,X,O,X
LISJOTZ,X,O,X,O
LISJOZT,X,O,O,X
LISZTJO,O,O,O,X
LISZTOJ,O,O,X,X
LISZJTO,O,O,O,O
LISZJOT,O,X,O,X
LISZOTJ,O,O,X,X
LISZOJT,O,O,O,X
LISOTJZ,X,O,X,X
LISOTZJ,O,O,X,X
LISOJTZ,X,O,X,O
LISOJZT,X,O,O,X
LISOZTJ,O,O,X,X
LISOZJT,O,O,O,X
LIZTJSO,O,X,X,O
LIZTJOS,O,X,X,O
LIZTSJO,O,O,X,X
LIZTSOJ,O,O,X,X
LIZTOJS,O,X,X,X
LIZTOSJ,O,O,X,X
LIZJTSO,O,X,X,O
LIZJTOS,O,X,X,O
LIZJSTO,O,X,O,O
LIZJSOT,O,X,O,X
LIZJOTS,O,X,X,O
LIZJOST,O,X,O,X
LIZSTJO,O,O,O,X
LIZSTOJ,O,O,X,X
LIZSJTO,O,O,O,O
LIZSJOT,O,X,O,X
LIZSOTJ,O,O,X,X
LIZSOJT,O,O,O,X
LIZOTJS,O,X,X,X
LIZOTSJ,O,O,X,X
LIZOJTS,O,X,X,O
LIZOJST,O,X,X,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,X,O,X,O
LIOTJZS,O,X,X,O
LIOTSJZ,X,O,X,X
LIOTSZJ,O,O,X,X
LIOTZJS,O,X,X,X
LIOTZSJ,O,O,X,X
LIOJTSZ,X,O,X,O
LIOJTZS,O,X,X,O
LIOJSTZ,X,O,X,O
LIOJSZT,X,O,O,X
LIOJZTS,O,X,X,O
LIOJZST,O,X,X,X
LIOSTJZ,X,O,X,X
LIOSTZJ,O,O,X,X
LIOSJTZ,X,O,X,O
LIOSJZT,X,O,O,X
LIOSZTJ,O,O,X,X
LIOSZJT,O,O,O,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,O,X,X
LIOZJTS,O,X,X,O
LIOZJST,O,X,X,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,X,X
LJTISZO,X,O,O,O
LJTISOZ,X,O,X,O
LJTIZSO,O,X,X,O
LJTIZOS,O,X,X,O
LJTIOSZ,X,O,X,O
LJTIOZS,O,X,X,O
LJTSIZO,X,O,O,X
LJTSIOZ,X,O,X,X
LJTSZIO,X,O,O,X
LJTSZOI,X,X,X,X
LJTSOIZ,X,O,X,X
LJTSOZI,X,O,X,X
LJTZISO,O,X,X,O
