sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
IZSJOTL,O,X,O,O,X,O
IZSJOLT,O,O,O,O,X,O
IZSOTLJ,O,X,X,X,X,O
IZSOTJL,O,X,O,O,X,O
IZSOLTJ,O,X,X,O,X,O
IZSOLJT,O,O,O,O,X,O
IZSOJTL,O,X,O,O,X,O
IZSOJLT,O,O,O,O,X,O
IZOTLJS,O,O,X,X,X,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,O,X,O,X,X,O
IZOTSLJ,O,X,O,X,X,O
IZOTSJL,O,X,O,X,X,O
IZOLTJS,O,O,X,X,X,X
IZOLTSJ,O,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X
IZOLJST,O,O,X,O,X,O
IZOLSTJ,O,X,X,O,X,O
IZOLSJT,O,O,X,O,X,O
IZOJTLS,O,O,X,X,X,X
IZOJTSL,O,X,O,X,X,O
IZOJLTS,O,O,X,X,X,X
IZOJLST,O,O,X,O,X,O
IZOJSTL,O,X,O,O,X,O
IZOJSLT,O,O,O,O,X,O
IZOSTLJ,O,X,X,X,X,O
IZOSTJL,O,X,O,O,X,O
IZOSLTJ,O,X,X,O,X,O
IZOSLJT,O,O,O,O,X,O
IZOSJTL,O,X,O,O,X,O
IZOSJLT,O,O,O,O,X,O
IOTLJSZ,X,X,O,O,O,X
IOTLJZS,O,O,X,X,O,X
IOTLSJZ,X,X,O,O,O,X
IOTLSZJ,O,X,O,O,X,X
IOTLZJS,O,O,X,X,O,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,X,X,O,O,O,X
IOTJLZS,O,O,X,X,O,X
IOTJSLZ,X,X,O,O,O,X
IOTJSZL,X,X,O,O,X,X
IOTJZLS,O,O,X,X,O,X
IOTJZSL,O,O,O,X,X,X
IOTSLJZ,X,X,O,O,O,X
IOTSLZJ,O,X,O,O,X,X
IOTSJLZ,X,X,O,O,O,X
IOTSJZL,X,X,O,O,X,X
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,O,X,O,O,X,X
IOTZLJS,O,O,X,X,O,X
IOTZLSJ,O,O,X,X,X,X
IOTZJLS,O,O,X,X,O,X
IOTZJSL,O,O,O,X,X,X
IOTZSLJ,O,O,O,X,X,X
IOTZSJL,O,O,O,X,X,X
IOLTJSZ,X,X,O,O,O,X
IOLTJZS,O,O,X,X,O,X
IOLTSJZ,X,X,O,O,O,X
IOLTSZJ,O,X,O,O,X,X
IOLTZJS,O,O,X,X,O,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,X,X,O,O,O,X
IOLJTZS,X,O,X,X,O,X
IOLJSTZ,X,X,X,O,X,X
IOLJSZT,X,X,O,O,X,X
IOLJZTS,X,O,X,X,X,X
IOLJZST,X,O,X,O,X,X
IOLSTJZ,O,X,X,O,X,X
IOLSTZJ,O,X,X,O,X,X
IOLSJTZ,X,X,X,O,X,X
IOLSJZT,X,X,O,O,X,X
IOLSZTJ,O,X,X,O,X,X
IOLSZJT,O,X,O,O,X,X
IOLZTJS,O,O,X,X,X,X
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X
IOLZJST,O,O,X,O,X,X
IOLZSTJ,O,X,X,O,X,X
IOLZSJT,O,O,X,O,X,X
IOJTLSZ,X,X,O,O,O,X
IOJTLZS,X,O,X,X,O,X
IOJTSLZ,X,X,O,O,O,X
IOJTSZL,X,X,O,O,X,X
IOJTZLS,X,O,X,X,O,X
IOJTZSL,X,O,O,X,X,X
IOJLTSZ,X,X,O,O,O,X
IOJLTZS,X,O,X,X,O,X
IOJLSTZ,X,X,X,O,X,X
IOJLSZT,X,X,O,O,X,X
IOJLZTS,X,O,X,X,X,X
IOJLZST,X,O,X,O,X,X
IOJSTLZ,X,X,O,O,X,X
IOJSTZL,X,X,O,O,X,X
IOJSLTZ,X,X,X,O,X,X
IOJSLZT,X,X,O,O,X,O
IOJSZTL,X,X,O,O,X,O
IOJSZLT,X,X,O,O,X,O
IOJZTLS,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,O
IOJZLTS,X,O,X,X,X,X
IOJZLST,X,O,X,O,X,O
IOJZSTL,X,X,O,O,X,O
IOJZSLT,X,O,O,O,X,O
IOSTLJZ,O,X,O,O,X,X
IOSTLZJ,O,X,O,O,X,X
IOSTJLZ,O,X,O,O,X,X
IOSTJZL,O,X,O,O,X,X
IOSTZLJ,O,X,O,X,X,X
IOSTZJL,O,X,O,O,X,X
IOSLTJZ,O,X,X,O,X,X
IOSLTZJ,O,X,X,O,X,X
IOSLJTZ,X,X,X,O,X,X
IOSLJZT,X,X,O,O,X,O
IOSLZTJ,O,X,X,O,X,O
IOSLZJT,O,X,O,O,X,O
IOSJTLZ,X,X,O,O,X,X
IOSJTZL,X,X,O,O,X,X
IOSJLTZ,X,X,X,O,X,X
IOSJLZT,X,X,O,O,X,O
IOSJZTL,X,X,O,O,X,O
IOSJZLT,X,X,O,O,X,O
IOSZTLJ,O,X,X,X,X,O
IOSZTJL,O,X,O,O,X,O
IOSZLTJ,O,X,X,O,X,O
IOSZLJT,O,X,O,O,X,O
IOSZJTL,O,X,O,O,X,O
IOSZJLT,O,X,O,O,X,O
IOZTLJS,O,O,X,X,X,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X
IOZTJSL,O,X,O,X,X,O
IOZTSLJ,O,X,O,X,X,O
IOZTSJL,O,X,O,X,X,O
IOZLTJS,O,O,X,X,X,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,O,X,X,X,X
IOZLJST,O,O,X,O,X,O
IOZLSTJ,O,X,X,O,X,O
IOZLSJT,O,O,X,O,X,O
IOZJTLS,O,O,X,X,X,X
IOZJTSL,O,X,O,X,X,O
IOZJLTS,O,O,X,X,X,X
IOZJLST,O,O,X,O,X,O
IOZJSTL,O,X,O,O,X,O
IOZJSLT,O,O,O,O,X,O
IOZSTLJ,O,X,X,X,X,O
IOZSTJL,O,X,O,O,X,O
IOZSLTJ,O,X,X,O,X,O
IOZSLJT,O,O,O,O,X,O
IOZSJTL,O,X,O,O,X,O
IOZSJLT,O,O,O,O,X,O
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,X,X,X,O,X
LTIJZSO,O,O,X,X,X,X
LTIJZOS,O,O,X,X,O,X
LTIJOSZ,X,X,X,X,O,X
LTIJOZS,O,O,X,X,O,X
LTISJZO,O,O,X,X,X,X
LTISJOZ,O,X,X,X,O,X
LTISZJO,O,O,X,X,X,X
LTISZOJ,O,O,O,O,X,X
LTISOJZ,O,X,O,O,O,X
LTISOZJ,O,X,O,O,X,X
LTIZJSO,O,O,X,X,X,X
LTIZJOS,O,O,X,X,O,X
LTIZSJO,O,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,O,X,X,O,X
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,X,X,O,O,O,X
LTIOJZS,O,O,X,X,O,X
LTIOSJZ,X,X,O,O,O,X
LTIOSZJ,O,X,O,O,X,X
LTIOZJS,O,O,X,X,O,X
LTIOZSJ,O,O,X,X,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,X,X,X,O,X
LTJIZSO,O,O,X,X,X,X
LTJIZOS,O,O,X,X,O,X
LTJIOSZ,X,X,X,X,O,X
LTJIOZS,O,O,X,X,O,X
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,X,X,X,O,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,O,X,X,X,X
LTJSOIZ,X,X,X,X,O,X
LTJSOZI,X,X,X,X,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,O,X
LTJZSIO,O,O,X,X,X,X
LTJZSOI,O,O,X,X,X,X
LTJZOIS,O,O,X,X,O,X
LTJZOSI,O,O,X,X,X,X
LTJOISZ,X,X,X,X,O,X
LTJOIZS,O,O,X,X,O,X
LTJOSIZ,X,X,X,X,O,X
LTJOSZI,X,X,X,X,X,X
LTJOZIS,O,O,X,X,O,X
LTJOZSI,O,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,X,X,X,O,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,O,O,O,O,X,X
LTSIOJZ,O,X,O,O,O,X
LTSIOZJ,O,X,O,O,X,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,X,X,X,O,X
LTSJZIO,O,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X
LTSJOIZ,O,X,X,X,O,X
LTSJOZI,O,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,O,O,O,O,X,X
LTSZJIO,O,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X
LTSZOIJ,O,O,O,O,X,X
LTSZOJI,O,O,O,O,X,X
LTSOIJZ,O,X,O,O,O,X
LTSOIZJ,O,X,O,O,X,X
LTSOJIZ,O,X,O,O,O,X
LTSOJZI,O,X,O,O,X,X
LTSOZIJ,O,X,O,O,X,X
LTSOZJI,O,X,O,O,X,X
LTZIJSO,O,O,X,X,X,X
LTZIJOS,O,O,X,X,O,X
LTZISJO,O,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X
LTZIOJS,O,O,X,X,O,X
LTZIOSJ,O,O,X,X,X,X
LTZJISO,O,O,X,X,X,X
LTZJIOS,O,O,X,X,O,X
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X
LTZJOIS,O,O,X,X,O,X
LTZJOSI,O,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X
LTZOIJS,O,O,X,X,O,X
LTZOISJ,O,O,X,X,X,X
LTZOJIS,O,O,X,X,O,X
LTZOJSI,O,O,X,X,X,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,X,X,X,X
LTOIJSZ,X,X,O,O,O,X
LTOIJZS,O,O,X,X,O,X
LTOISJZ,X,X,O,O,O,X
LTOISZJ,O,X,O,O,X,X
LTOIZJS,O,O,X,X,O,X
LTOIZSJ,O,O,X,X,X,X
LTOJISZ,X,X,O,O,O,X
LTOJIZS,O,O,X,X,O,X
LTOJSIZ,X,X,O,O,O,X
LTOJSZI,X,X,O,O,X,X
LTOJZIS,O,O,X,X,O,X
LTOJZSI,O,O,X,X,X,X
LTOSIJZ,X,X,O,O,O,X
LTOSIZJ,O,X,O,O,X,X
LTOSJIZ,X,X,O,O,O,X
LTOSJZI,X,X,O,O,X,X
LTOSZIJ,O,X,O,O,X,X
LTOSZJI,O,X,O,O,X,X
LTOZIJS,O,O,X,X,O,X
LTOZISJ,O,O,X,X,X,X
LTOZJIS,O,O,X,X,O,X
LTOZJSI,O,O,X,X,X,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,X,X,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,X,X,X,O,X
LITJZSO,O,O,X,X,X,X
LITJZOS,O,O,X,X,O,X
LITJOSZ,X,X,X,X,O,X
LITJOZS,O,O,X,X,O,X
LITSJZO,O,O,X,X,X,X
LITSJOZ,O,X,X,X,O,X
LITSZJO,O,O,X,X,X,X
LITSZOJ,O,O,O,O,X,X
LITSOJZ,O,X,O,O,O,X
LITSOZJ,O,X,O,O,X,X
LITZJSO,O,O,X,X,X,X
LITZJOS,O,O,X,X,O,X
LITZSJO,O,O,X,X,X,X
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,O,X,X,O,X
LITZOSJ,O,O,X,X,X,X
LITOJSZ,X,X,O,O,O,X
LITOJZS,O,O,X,X,O,X
LITOSJZ,X,X,O,O,O,X
LITOSZJ,O,X,O,O,X,X
LITOZJS,O,O,X,X,O,X
LITOZSJ,O,O,X,X,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,X,X,X,O,X
LIJTZSO,O,O,X,X,X,X
LIJTZOS,O,O,X,X,O,X
LIJTOSZ,X,X,X,X,O,X
LIJTOZS,O,O,X,X,O,X
LIJSTZO,O,O,X,X,X,O
LIJSTOZ,O,X,X,X,O,X
LIJSZTO,O,X,X,X,X,O
LIJSZOT,O,O,X,O,X,O
LIJSOTZ,X,X,X,O,X,X
LIJSOZT,X,X,X,O,X,O
LIJZTSO,O,O,X,X,X,X
LIJZTOS,O,O,X,X,O,X
LIJZSTO,O,X,X,X,X,O
LIJZSOT,O,O,X,X,X,O
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,O,X,X,X,O
LIJOTSZ,X,X,X,O,O,X
LIJOTZS,X,O,X,X,O,X
LIJOSTZ,X,X,X,O,X,X
LIJOSZT,X,X,X,O,X,X
LIJOZTS,X,O,X,X,X,X
LIJOZST,X,O,X,O,X,X
LISTJZO,O,O,X,X,X,O
LISTJOZ,O,X,X,X,O,X
LISTZJO,O,O,X,X,X,O
LISTZOJ,O,O,X,O,X,O
LISTOJZ,O,X,X,O,O,X
LISTOZJ,O,X,X,O,X,X
LISJTZO,O,O,X,X,X,O
LISJTOZ,O,X,X,X,O,X
LISJZTO,O,X,X,X,X,O
LISJZOT,O,O,X,O,X,O
LISJOTZ,X,X,X,O,X,X
LISJOZT,X,X,X,O,X,O
LISZTJO,O,X,X,X,X,O
LISZTOJ,O,X,X,O,X,O
LISZJTO,O,X,X,X,X,O
LISZJOT,O,O,X,O,X,O
LISZOTJ,O,X,X,O,X,O
LISZOJT,O,O,O,O,X,O
LISOTJZ,O,X,X,O,X,X
LISOTZJ,O,X,X,O,X,X
LISOJTZ,X,X,X,O,X,X
LISOJZT,X,X,O,O,X,O
LISOZTJ,O,X,X,O,X,O
LISOZJT,O,X,O,O,X,O
LIZTJSO,O,O,X,X,X,X
LIZTJOS,O,O,X,X,O,X
LIZTSJO,O,O,X,X,X,X
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,O,O,X,X,O,X
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,O,X,X,X,X
LIZJTOS,O,O,X,X,O,X
LIZJSTO,O,X,X,X,X,O
LIZJSOT,O,O,X,X,X,O
LIZJOTS,O,O,X,X,X,X
LIZJOST,O,O,X,X,X,O
LIZSTJO,O,X,X,X,X,O
LIZSTOJ,O,X,X,O,X,O
LIZSJTO,O,X,X,X,X,O
LIZSJOT,O,O,X,O,X,O
LIZSOTJ,O,X,X,O,X,O
LIZSOJT,O,O,X,O,X,O
LIZOTJS,O,O,X,X,X,X
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X
LIZOJST,O,O,X,O,X,O
LIZOSTJ,O,X,X,O,X,O
LIZOSJT,O,O,X,O,X,O
LIOTJSZ,X,X,O,O,O,X
LIOTJZS,O,O,X,X,O,X
LIOTSJZ,X,X,O,O,O,X
LIOTSZJ,O,X,O,O,X,X
LIOTZJS,O,O,X,X,O,X
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,X,X,O,O,O,X
LIOJTZS,X,O,X,X,O,X
LIOJSTZ,X,X,X,O,X,X
LIOJSZT,X,X,O,O,X,X
LIOJZTS,X,O,X,X,X,X
LIOJZST,X,O,X,O,X,X
LIOSTJZ,O,X,X,O,X,X
LIOSTZJ,O,X,X,O,X,X
LIOSJTZ,X,X,X,O,X,X
LIOSJZT,X,X,O,O,X,X
LIOSZTJ,O,X,X,O,X,X
LIOSZJT,O,X,O,O,X,X
LIOZTJS,O,O,X,X,X,X
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,O,O,X,X,X,X
LIOZJST,O,O,X,O,X,X
LIOZSTJ,O,X,X,O,X,X
LIOZSJT,O,O,X,O,X,X
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,X,X,X,O,X
LJTIZSO,O,O,X,X,X,X
LJTIZOS,O,O,X,X,O,X
LJTIOSZ,X,X,X,X,O,X
LJTIOZS,O,O,X,X,O,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,X,X,X,O,X
LJTSZIO,X,O,X,X,X,X
LJTSZOI,X,O,X,X,X,X
LJTSOIZ,X,X,X,X,O,X
LJTSOZI,X,X,X,X,X,X
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,O,X,X,O,X
LJTZSIO,O,O,X,X,X,X
LJTZSOI,O,O,X,X,X,X
LJTZOIS,O,O,X,X,O,X
LJTZOSI,O,O,X,X,X,X
LJTOISZ,X,X,X,X,O,X
LJTOIZS,O,O,X,X,O,X
LJTOSIZ,X,X,X,X,O,X
LJTOSZI,X,X,X,X,X,X
LJTOZIS,O,O,X,X,O,X
LJTOZSI,O,O,X,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,X,X,X,O,X
LJITZSO,O,O,X,X,X,X
LJITZOS,O,O,X,X,O,X
LJITOSZ,X,X,X,X,O,X
LJITOZS,O,O,X,X,O,X
LJISTZO,O,O,X,X,X,O
LJISTOZ,O,X,X,X,O,X
LJISZTO,O,X,X,X,X,O
LJISZOT,O,O,X,O,X,O
LJISOTZ,X,X,X,O,X,X
LJISOZT,X,X,X,O,X,O
LJIZTSO,O,O,X,X,X,X
LJIZTOS,O,O,X,X,O,X
LJIZSTO,O,X,X,X,X,O
LJIZSOT,O,O,X,X,X,O
LJIZOTS,O,O,X,X,X,X
LJIZOST,O,O,X,X,X,O
LJIOTSZ,X,X,X,O,O,X
LJIOTZS,X,O,X,X,O,X
LJIOSTZ,X,X,X,O,X,X
LJIOSZT,X,X,X,O,X,X
LJIOZTS,X,O,X,X,X,X
LJIOZST,X,O,X,O,X,X
LJSTIZO,O,O,X,X,X,O
LJSTIOZ,O,X,X,X,O,X
LJSTZIO,O,O,X,X,X,O
LJSTZOI,O,O,X,X,X,O
LJSTOIZ,O,X,X,X,O,X
LJSTOZI,O,X,X,X,X,X
LJSITZO,O,O,X,X,X,O
LJSITOZ,O,X,X,X,O,X
LJSIZTO,O,X,X,X,X,O
LJSIZOT,O,O,X,O,X,O
LJSIOTZ,X,X,X,O,X,X
LJSIOZT,X,X,X,O,X,O
LJSZTIO,O,X,X,X,X,O
LJSZTOI,O,X,X,X,X,O
LJSZITO,O,X,X,X,X,O
LJSZIOT,O,O,X,O,X,O
LJSZOTI,O,X,X,O,X,O
LJSZOIT,O,O,X,O,X,O
LJSOTIZ,X,X,X,O,X,X
LJSOTZI,X,X,X,O,X,X
LJSOITZ,X,X,X,O,X,X
LJSOIZT,X,X,X,O,X,O
LJSOZTI,X,X,X,O,X,O
LJSOZIT,X,X,X,O,X,O
LJZTISO,O,O,X,X,X,X
LJZTIOS,O,O,X,X,O,X
LJZTSIO,O,O,X,X,X,X
LJZTSOI,O,O,X,X,X,X
LJZTOIS,O,O,X,X,O,X
LJZTOSI,O,O,X,X,X,X
LJZITSO,O,O,X,X,X,X
LJZITOS,O,O,X,X,O,X
LJZISTO,O,X,X,X,X,O
LJZISOT,O,O,X,X,X,O
LJZIOTS,O,O,X,X,X,X
LJZIOST,O,O,X,X,X,O
LJZSTIO,O,X,X,X,X,O
LJZSTOI,O,X,X,X,X,O
LJZSITO,O,X,X,X,X,O
LJZSIOT,O,O,X,X,X,O
LJZSOTI,O,X,X,X,X,O
LJZSOIT,O,O,X,X,X,O
LJZOTIS,O,O,X,X,X,X
LJZOTSI,O,X,X,X,X,X
LJZOITS,O,O,X,X,X,X
LJZOIST,O,O,X,X,X,O
LJZOSTI,O,X,X,X,X,O
LJZOSIT,O,O,X,X,X,O
LJOTISZ,X,X,X,O,O,X
LJOTIZS,X,O,X,X,O,X
LJOTSIZ,X,X,X,O,O,X
LJOTSZI,X,X,X,O,X,X
LJOTZIS,X,O,X,X,O,X
LJOTZSI,X,O,X,X,X,X
LJOITSZ,X,X,X,O,O,X
LJOITZS,X,O,X,X,O,X
LJOISTZ,X,X,X,O,X,X
LJOISZT,X,X,X,O,X,X
LJOIZTS,X,O,X,X,X,X
LJOIZST,X,O,X,O,X,X
LJOSTIZ,X,X,X,O,X,X
LJOSTZI,X,X,X,O,X,X
LJOSITZ,X,X,X,O,X,X
LJOSIZT,X,X,X,O,X,X
LJOSZTI,X,X,X,O,X,X
LJOSZIT,X,X,X,O,X,X
LJOZTIS,X,O,X,X,X,X
LJOZTSI,X,X,X,X,X,X
LJOZITS,X,O,X,X,X,X
LJOZIST,X,O,X,O,X,X
LJOZSTI,X,X,X,O,X,X
LJOZSIT,X,O,X,O,X,X
LSTIJZO,O,O,X,X,X,O
LSTIJOZ,O,X,X,X,O,X
LSTIZJO,O,O,X,X,X,O
LSTIZOJ,O,O,X,O,X,O
LSTIOJZ,O,X,X,O,O,X
LSTIOZJ,O,X,X,O,X,X
LSTJIZO,O,O,X,X,X,O
LSTJIOZ,O,X,X,X,O,X
LSTJZIO,O,O,X,X,X,O
LSTJZOI,O,O,X,X,X,O
LSTJOIZ,O,X,X,X,O,X
LSTJOZI,O,X,X,X,X,X
LSTZIJO,O,O,X,X,X,O
LSTZIOJ,O,O,X,O,X,O
LSTZJIO,O,O,X,X,X,O
LSTZJOI,O,O,X,X,X,O
LSTZOIJ,O,O,X,O,X,O
LSTZOJI,O,O,X,O,X,O
LSTOIJZ,O,X,X,O,O,X
LSTOIZJ,O,X,X,O,X,X
LSTOJIZ,O,X,X,O,O,X
LSTOJZI,O,X,X,O,X,X
LSTOZIJ,O,X,X,O,X,X
LSTOZJI,O,X,X,O,X,X
LSITJZO,O,O,X,X,X,O
LSITJOZ,O,X,X,X,O,X
LSITZJO,O,O,X,X,X,O
LSITZOJ,O,O,X,O,X,O
LSITOJZ,O,X,X,O,O,X
LSITOZJ,O,X,X,O,X,X
LSIJTZO,O,O,X,X,X,O
LSIJTOZ,O,X,X,X,O,X
LSIJZTO,O,X,X,X,X,O
LSIJZOT,O,O,X,O,X,O
LSIJOTZ,X,X,X,O,X,X
LSIJOZT,X,X,X,O,X,O
LSIZTJO,O,X,X,X,X,O
LSIZTOJ,O,X,X,O,X,O
LSIZJTO,O,X,X,X,X,O
LSIZJOT,O,O,X,O,X,O
LSIZOTJ,O,X,X,O,X,O
LSIZOJT,O,O,O,O,X,O
LSIOTJZ,O,X,X,O,X,X
LSIOTZJ,O,X,X,O,X,X
LSIOJTZ,X,X,X,O,X,X
LSIOJZT,X,X,O,O,X,O
LSIOZTJ,O,X,X,O,X,O
LSIOZJT,O,X,O,O,X,O
LSJTIZO,O,O,X,X,X,O
LSJTIOZ,O,X,X,X,O,X
LSJTZIO,O,O,X,X,X,O
LSJTZOI,O,O,X,X,X,O
LSJTOIZ,O,X,X,X,O,X
LSJTOZI,O,X,X,X,X,X
LSJITZO,O,O,X,X,X,O
LSJITOZ,O,X,X,X,O,X
LSJIZTO,O,X,X,X,X,O
LSJIZOT,O,O,X,O,X,O
LSJIOTZ,X,X,X,O,X,X
LSJIOZT,X,X,X,O,X,O
LSJZTIO,O,X,X,X,X,O
LSJZTOI,O,X,X,X,X,O
LSJZITO,O,X,X,X,X,O
LSJZIOT,O,O,X,O,X,O
LSJZOTI,O,X,X,O,X,O
LSJZOIT,O,O,X,O,X,O
LSJOTIZ,X,X,X,O,X,X
LSJOTZI,X,X,X,O,X,X
LSJOITZ,X,X,X,O,X,X
LSJOIZT,X,X,X,O,X,O
LSJOZTI,X,X,X,O,X,O
LSJOZIT,X,X,X,O,X,O
LSZTIJO,O,X,X,X,X,O
LSZTIOJ,O,X,X,O,X,O
LSZTJIO,O,X,X,X,X,O
LSZTJOI,O,X,X,X,X,O
LSZTOIJ,O,X,X,O,X,O
LSZTOJI,O,X,X,O,X,O
LSZITJO,O,X,X,X,X,O
LSZITOJ,O,X,X,O,X,O
LSZIJTO,O,X,X,X,X,O
LSZIJOT,O,O,X,O,X,O
LSZIOTJ,O,X,X,O,X,O
LSZIOJT,O,O,O,O,X,O
LSZJTIO,O,X,X,X,X,O
LSZJTOI,O,X,X,X,X,O
LSZJITO,O,X,X,X,X,O
LSZJIOT,O,O,X,O,X,O
LSZJOTI,O,X,X,O,X,O
LSZJOIT,O,O,X,O,X,O
LSZOTIJ,O,X,X,O,X,O
LSZOTJI,O,X,X,O,X,O
LSZOITJ,O,X,X,O,X,O
LSZOIJT,O,O,O,O,X,O
LSZOJTI,O,X,X,O,X,O
LSZOJIT,O,O,O,O,X,O
LSOTIJZ,O,X,X,O,X,X
LSOTIZJ,O,X,X,O,X,X
LSOTJIZ,O,X,X,O,X,X
LSOTJZI,O,X,X,O,X,X
LSOTZIJ,O,X,X,O,X,X
LSOTZJI,O,X,X,O,X,X
LSOITJZ,O,X,X,O,X,X
LSOITZJ,O,X,X,O,X,X
LSOIJTZ,X,X,X,O,X,X
LSOIJZT,X,X,O,O,X,O
LSOIZTJ,O,X,X,O,X,O
LSOIZJT,O,X,O,O,X,O
LSOJTIZ,X,X,X,O,X,X
LSOJTZI,X,X,X,O,X,X
LSOJITZ,X,X,X,O,X,X
LSOJIZT,X,X,O,O,X,O
LSOJZTI,X,X,X,O,X,O
LSOJZIT,X,X,O,O,X,O
LSOZTIJ,O,X,X,O,X,O
LSOZTJI,O,X,X,O,X,O
LSOZITJ,O,X,X,O,X,O
LSOZIJT,O,X,O,O,X,O
LSOZJTI,O,X,X,O,X,O
LSOZJIT,O,X,O,O,X,O
LZTIJSO,O,O,X,X,X,X
LZTIJOS,O,O,X,X,O,X
LZTISJO,O,O,X,X,X,X
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,O,X,X,O,X
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,X,X,O,X
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,O,O,X,X,O,X
LZTJOSI,O,O,X,X,X,X
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,O,O,X,X,O,X
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,O,X,X,O,X
LZTOJSI,O,O,X,X,X,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,X
LZITJSO,O,O,X,X,X,X
LZITJOS,O,O,X,X,O,X
LZITSJO,O,O,X,X,X,X
LZITSOJ,O,O,X,X,X,X
LZITOJS,O,O,X,X,O,X
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,O,X,X,X,X
LZIJTOS,O,O,X,X,O,X
LZIJSTO,O,X,X,X,X,O
LZIJSOT,O,O,X,X,X,O
LZIJOTS,O,O,X,X,X,X
LZIJOST,O,O,X,X,X,O
LZISTJO,O,X,X,X,X,O
LZISTOJ,O,X,X,O,X,O
LZISJTO,O,X,X,X,X,O
LZISJOT,O,O,X,O,X,O
LZISOTJ,O,X,X,O,X,O
LZISOJT,O,O,X,O,X,O
LZIOTJS,O,O,X,X,X,X
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,O,O,X,X,X,X
LZIOJST,O,O,X,O,X,O
LZIOSTJ,O,X,X,O,X,O
