sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TLZJSOI,O,O,X,X,X,X
TLZJOIS,O,O,X,X,O,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,O,O,X,X,X,X
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,O,X,X,X,X
TLZSJOI,O,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X
TLZOIJS,O,O,X,X,O,X
TLZOISJ,O,O,X,X,X,X
TLZOJIS,O,O,X,X,O,X
TLZOJSI,O,O,X,X,X,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,X,X,X,X
TLOIJSZ,X,X,O,O,O,X
TLOIJZS,O,O,X,X,O,X
TLOISJZ,X,X,O,O,O,X
TLOISZJ,O,X,O,O,X,X
TLOIZJS,O,O,X,X,O,X
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,X,X,O,O,O,X
TLOJIZS,O,O,X,X,O,X
TLOJSIZ,X,X,O,O,O,X
TLOJSZI,X,X,O,O,X,X
TLOJZIS,O,O,X,X,O,X
TLOJZSI,O,O,X,X,X,X
TLOSIJZ,X,X,O,O,O,X
TLOSIZJ,O,X,O,O,X,X
TLOSJIZ,X,X,O,O,O,X
TLOSJZI,X,X,O,O,X,X
TLOSZIJ,O,X,O,O,X,X
TLOSZJI,O,X,O,O,X,X
TLOZIJS,O,O,X,X,O,X
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,O,X,X,O,X
TLOZJSI,O,O,X,X,X,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,X,X,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,X,X,X,O,X
TJILZSO,O,O,X,X,X,X
TJILZOS,O,O,X,X,O,X
TJILOSZ,X,X,X,X,O,X
TJILOZS,O,O,X,X,O,X
TJISLZO,X,O,X,X,X,O
TJISLOZ,X,X,X,X,O,X
TJISZLO,X,O,X,X,X,O
TJISZOL,X,O,O,X,X,O
TJISOLZ,X,X,O,X,O,X
TJISOZL,X,X,O,X,X,X
TJIZLSO,O,O,X,X,X,X
TJIZLOS,O,O,X,X,O,X
TJIZSLO,O,O,X,X,X,O
TJIZSOL,O,O,X,X,X,O
TJIZOLS,O,O,X,X,O,X
TJIZOSL,O,O,X,X,X,O
TJIOLSZ,X,X,O,X,O,X
TJIOLZS,O,O,X,X,O,X
TJIOSLZ,X,X,O,X,O,X
TJIOSZL,X,X,O,X,X,X
TJIOZLS,O,O,X,X,O,X
TJIOZSL,O,O,O,X,X,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,X,X,X,O,X
TJLIZSO,O,O,X,X,X,X
TJLIZOS,O,O,X,X,O,X
TJLIOSZ,X,X,X,X,O,X
TJLIOZS,O,O,X,X,O,X
TJLSIZO,X,O,X,X,X,X
TJLSIOZ,X,X,X,X,O,X
TJLSZIO,X,O,X,X,X,X
TJLSZOI,X,O,X,X,X,X
TJLSOIZ,X,X,X,X,O,X
TJLSOZI,X,X,X,X,X,X
TJLZISO,O,O,X,X,X,X
TJLZIOS,O,O,X,X,O,X
TJLZSIO,O,O,X,X,X,X
TJLZSOI,O,O,X,X,X,X
TJLZOIS,O,O,X,X,O,X
TJLZOSI,O,O,X,X,X,X
TJLOISZ,X,X,X,X,O,X
TJLOIZS,O,O,X,X,O,X
TJLOSIZ,X,X,X,X,O,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,O,O,X,X,O,X
TJLOZSI,O,O,X,X,X,X
TJSILZO,X,O,X,X,X,O
TJSILOZ,X,X,X,X,O,X
TJSIZLO,X,O,X,X,X,O
TJSIZOL,X,O,O,X,X,O
TJSIOLZ,X,X,O,X,O,X
TJSIOZL,X,X,O,X,X,X
TJSLIZO,X,O,X,X,X,O
TJSLIOZ,X,X,X,X,O,X
TJSLZIO,X,O,X,X,X,O
TJSLZOI,X,O,X,X,X,O
TJSLOIZ,X,X,X,X,O,X
TJSLOZI,X,X,X,X,X,X
TJSZILO,X,O,X,X,X,O
TJSZIOL,X,O,O,X,X,O
TJSZLIO,X,O,X,X,X,O
TJSZLOI,X,O,X,X,X,O
TJSZOIL,X,O,O,X,X,O
TJSZOLI,X,O,O,X,X,O
TJSOILZ,X,X,O,X,O,X
TJSOIZL,X,X,O,X,X,X
TJSOLIZ,X,X,O,X,O,X
TJSOLZI,X,X,O,X,X,X
TJSOZIL,X,X,O,X,X,X
TJSOZLI,X,X,O,X,X,X
TJZILSO,O,O,X,X,X,X
TJZILOS,O,O,X,X,O,X
TJZISLO,O,O,X,X,X,O
TJZISOL,O,O,X,X,X,O
TJZIOLS,O,O,X,X,O,X
TJZIOSL,O,O,X,X,X,O
TJZLISO,O,O,X,X,X,X
TJZLIOS,O,O,X,X,O,X
TJZLSIO,O,O,X,X,X,X
TJZLSOI,O,O,X,X,X,X
TJZLOIS,O,O,X,X,O,X
TJZLOSI,O,O,X,X,X,X
TJZSILO,O,O,X,X,X,O
TJZSIOL,O,O,X,X,X,O
TJZSLIO,O,O,X,X,X,O
TJZSLOI,O,O,X,X,X,O
TJZSOIL,O,O,X,X,X,O
TJZSOLI,O,O,X,X,X,O
TJZOILS,O,O,X,X,O,X
TJZOISL,O,O,X,X,X,O
TJZOLIS,O,O,X,X,O,X
TJZOLSI,O,O,X,X,X,X
TJZOSIL,O,O,X,X,X,O
TJZOSLI,O,O,X,X,X,O
TJOILSZ,X,X,O,X,O,X
TJOILZS,O,O,X,X,O,X
TJOISLZ,X,X,O,X,O,X
TJOISZL,X,X,O,X,X,X
TJOIZLS,O,O,X,X,O,X
TJOIZSL,O,O,O,X,X,X
TJOLISZ,X,X,O,X,O,X
TJOLIZS,O,O,X,X,O,X
TJOLSIZ,X,X,O,X,O,X
