sequence,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0gBlhB?xnBGoBCrBzsB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBFjB?6sBctBxqBuqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBxqBuqBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0gBxhB?TjBCrBFtBGsB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF0iBRmB?StBGmBlqBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBxqBuqBCtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFRhB3iB?GmBlqBCtBctB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeRAJvhFTjBFlB?8qBGnBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0hBxiB?VrBGoBzsB6qB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFXjBRmB?StBGmBlqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF1mBXjB?StBxqBuqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBxqBuqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBGmB6sBlqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeWFJvhFRhBFjB?TmB6sBctB/qB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhFlgBumB?8qBxnBqsBTtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeTDJvhFRlBGnB?FlB8qBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeSIJvhFUlBRmB?TmBlnBXtBGqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeRFJvhFGnBToB?FlB8qBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhFTjBRmB?WtBSrBlqB0sB
TLJZSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJZOIS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZIOJS,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZIOSJ,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJOIS,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLZOIJS,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZOISJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZOJIS,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLOZJIS,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOZJSI,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
