sequence,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBOqBX?mBSwBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeWGJvhFxhBTjBKqBX?nBUrBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFumBcnBTjBy?qBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFSnBTjBOqB8?qB3rBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBilB+?rB3qBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBSoBOrB8?rBTqBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeFBJvhF0iB6oBTlB3?mBmsBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecFJvhFemBCiBTjBX?nBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeGCJvhFTjBxlB8rB3?lByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBWtBTqBi?rBctBlrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je/HJvhFFjBxlBctBT?qBirBGrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecHJvhFTjBxlB3lBu?rByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je2HJvhFxlBctBFmBC?oBTqB3rB
TLIOSZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TLIOZJS,O,O,O,O,X,O,O,O,O,X,X,O,X
TLIOZSJ,O,O,O,O,X,O,O,O,O,X,X,O,X
TLJISZO,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJIOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJSIZO,O,O,X,O,X,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJSZOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,O,O,X,O,X,X,X,X
TLJZIOS,O,O,X,O,O,O,O,X,O,X,X,O,X
TLJZSIO,O,O,X,O,O,O,O,X,O,X,X,X,X
TLJZSOI,O,O,X,O,O,O,O,X,O,X,X,X,X
TLJZOIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLJZOSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLJOISZ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJOIZS,O,X,X,O,X,O,X,X,X,X,X,O,X
TLJOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJOSZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLJOZSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSIJZO,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TLSIOJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TLSJIZO,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TLSZIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLSZJIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSZJOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSZOIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLSZOJI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLSOIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TLSOJIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLSOZJI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZIJSO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLZIJOS,O,O,O,O,X,O,X,X,O,X,X,O,X
TLZISJO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLZISOJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TLZIOJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TLZIOSJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TLZJISO,O,O,X,O,X,O,X,X,O,X,X,X,X
TLZJIOS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLZJSIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZJSOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZJOIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLZJOSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZSIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TLZSIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLZSJIO,O,O,X,O,X,O,X,X,O,X,X,X,X
TLZSJOI,O,O,X,O,X,O,X,X,O,X,X,X,X
TLZSOIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLZSOJI,O,O,X,O,X,O,X,X,O,X,X,X,X
TLZOIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TLZOISJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TLZOJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLZOJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZOSIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLZOSJI,O,O,X,O,X,O,X,X,O,X,X,X,X
TLOIJSZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,O,X,X,X,X,X,O,X
TLOISJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,O,X,O,X,O,X,X,X,O,X
TLOIZJS,O,O,O,O,X,O,X,O,O,X,X,O,X
TLOIZSJ,O,O,O,O,X,O,X,O,O,X,X,O,X
TLOJISZ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,O,X,O,X,X,X,X,X,O,X
TLOJSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X
TLOJSZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLOJZSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLOSIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TLOSJIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLOSZJI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLOZIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TLOZISJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TLOZJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TLOZJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLOZSIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TLOZSJI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJILSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TJILZSO,O,X,O,O,X,X,O,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TJILOZS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJISLZO,X,X,X,O,X,O,O,X,X,X,X,X,X
TJISLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,X,O,O,O,O,O,X,X,X,X,X
TJISZOL,X,X,X,O,O,O,O,O,X,X,X,X,X
TJISOLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,X,O,O,X,O,O,X,X,X,X,X
TJIZLSO,O,X,O,O,X,X,O,O,O,X,X,X,X
TJIZLOS,O,X,O,O,O,X,O,O,O,X,X,X,X
TJIZSLO,X,X,O,O,O,X,O,O,X,X,X,X,X
TJIZSOL,O,X,O,O,O,X,O,O,O,X,X,X,X
TJIZOLS,O,X,O,O,O,X,O,O,O,X,X,X,X
TJIZOSL,O,X,O,O,O,X,O,O,O,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,O,O,X,O,O,X,X,X,X,X
TJIOZLS,O,X,O,O,O,X,O,O,O,X,X,X,X
TJIOZSL,O,X,O,O,O,X,O,O,O,X,X,X,X
TJLISZO,O,X,X,X,X,O,O,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZSO,O,X,X,O,X,O,O,X,X,X,X,X,X
TJLIZOS,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLIOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X
TJLIOZS,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLSIZO,O,O,X,O,X,O,O,X,X,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLSZOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLZISO,O,O,X,O,X,O,O,X,O,X,X,X,X
TJLZIOS,O,O,X,O,O,O,O,X,O,X,X,O,X
TJLZSIO,O,O,X,O,O,O,O,X,O,X,X,X,X
TJLZSOI,O,O,X,O,O,O,O,X,O,X,X,X,X
TJLZOIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TJLZOSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJLOISZ,O,X,X,O,X,O,X,X,X,X,X,X,X
TJLOIZS,O,X,X,O,X,O,X,X,X,X,X,O,X
TJLOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X
TJLOSZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TJLOZSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSILZO,X,O,X,O,X,O,O,X,X,X,X,X,X
TJSILOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,O,O,O,O,X,X,X,X,X,X
TJSIZOL,X,O,X,O,O,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSIOZL,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,O,O,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TJSLZOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJSZILO,X,X,X,O,O,O,O,X,X,X,X,X,X
TJSZIOL,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSZLIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TJSZLOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJSZOIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSZOLI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJSOILZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJSOZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSOZLI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZILSO,O,X,O,O,X,O,O,X,O,X,X,X,X
TJZILOS,O,X,O,O,O,O,O,X,O,X,X,X,X
TJZISLO,X,X,O,O,O,O,O,X,X,X,X,X,X
TJZISOL,O,X,O,O,O,O,O,X,O,X,X,X,X
TJZIOLS,O,X,O,O,O,O,O,X,O,X,X,X,X
TJZIOSL,O,X,O,O,O,O,O,X,O,X,X,X,X
TJZLISO,O,X,X,O,X,O,O,X,O,X,X,X,X
TJZLIOS,O,X,X,O,O,O,O,X,O,X,X,O,X
TJZLSIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZLSOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZLOIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TJZLOSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJZSILO,X,X,X,O,O,O,O,X,X,X,X,X,X
TJZSIOL,O,X,X,O,O,O,X,X,O,X,X,X,X
TJZSLIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZSLOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZSOIL,O,X,X,O,O,O,X,X,O,X,X,X,X
TJZSOLI,O,X,X,O,O,O,O,X,O,X,X,X,X
TJZOILS,O,X,O,O,O,O,X,X,O,X,X,X,X
TJZOISL,O,X,O,O,O,O,X,X,O,X,X,X,X
TJZOLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TJZOLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJZOSIL,O,X,X,O,O,O,X,X,O,X,X,X,X
TJZOSLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJOILSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
TJOISZL,X,X,X,O,O,O,X,O,X,X,X,X,X
TJOIZLS,O,X,O,O,O,X,X,O,O,X,X,X,X
TJOIZSL,O,X,O,O,O,X,X,O,O,X,X,X,X
TJOLISZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TJOLIZS,O,X,X,O,X,O,X,X,X,O,X,O,X
TJOLSIZ,O,O,X,O,X,O,X,X,X,O,X,X,X
TJOLSZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TJOLZIS,O,O,X,O,O,O,X,X,O,O,X,O,X
TJOLZSI,O,O,X,O,O,O,X,X,O,O,X,X,X
TJOSILZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TJOSIZL,X,O,X,O,O,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,O,O,X,X,X,O,X,X,X
TJOSLZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TJOSZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TJOSZLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJOZILS,O,X,O,O,O,O,X,X,O,X,X,X,X
TJOZISL,O,X,O,O,O,O,X,X,O,X,X,X,X
TJOZLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TJOZLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJOZSIL,O,X,X,O,O,O,X,X,O,X,X,X,X
TJOZSLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSILJZO,X,O,O,O,O,X,X,X,X,X,X,X,X
TSILJOZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TSILZJO,X,O,O,O,X,X,X,O,X,X,X,X,X
TSILZOJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSILOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TSILOZJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIJLZO,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,O,O,X,X,O,X,X,X,X,X
