sequence,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhFlgBRiBzkBXmB0n?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBUiBTkB2qB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8Je0/IvhFxgBVnB2pBzlB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFzfBUhBRiB1qB3s?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF8kB3lBRnBFmBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBynBTkB2qBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF0gBzkBRnBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFFhB0lBRnB2pBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF2lBXiB8nBFmBxp?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je0AJvhFmkBRnBTkBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeXBJvhFmkBRnBTkB0lBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFflBxgBzlB8sBFs?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF0gBypBRnBXmBmn?B1xB,v115@GhA8IeA8EeB8BeG8CeA8Je1FJvhFZoB0kBGnBikBXm?BTsB,v115@GhA8IeA8EeB8BeG8CeA8Jel/IvhFynB2pBxlBzlBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFUiBaoBxlB2pBzl?B1xB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhFXhBypBRnB0lBmn?B1xB
TILOSJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TILOZJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TIJLZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TIJLZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TIJLOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJLOZS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TIJSZLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJSZOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TIJZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TIJZSLO,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
TIJZSOL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJOLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIJOSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISLZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TISLOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISLOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TISJLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISJZLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISZLOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TISZJLO,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TISZJOL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISZOJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZLSJO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZLSOJ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TIZLOJS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TIZJLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJSLO,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TIZJSOL,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLJO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZSLOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIZSJLO,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TIZSJOL,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZSOJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOLJZS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
TIOLZJS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O
TIOJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TLIJZSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X
TLIJZOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
TLIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLIJOZS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X
TLISJZO,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TLISJOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLISZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLISOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZJOS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TLIZOJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIOJZS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLIOZJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TLJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TLJIZSO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLJIOZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJSIZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJSIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLJZIOS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLJOIZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLSJIZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSZIOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZJIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLSZOJI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOIZJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
TLSOJIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLSOZJI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZIJOS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZISOJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TLZIOJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TLZJISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZJIOS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZJOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZSIOJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X
TLZSJIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLZOJIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZOJSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOIJZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOISJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOISZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLOIZJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLOJISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOJIZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOJSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOJZSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
TLOSJIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLOSZJI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZIJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TLOZJIS,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOZJSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TLOZSJI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJILOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJILOZS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TJISZLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJISZOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TJIZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TJIZSLO,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
TJIZSOL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJIOLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIOSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TJLIZSO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJLIZOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJLIOZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLSIZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLSIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJLZIOS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TJLZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJLOIZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSILOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
