sequence,v115@PhB8BeB8DeE8DeC8Jem/IvhFChBxiBTkBcsBXrBlrB,v115@PhB8BeB8DeE8DeC8Jex/IvhFmhBCjBTkBcrBXsBlqB,v115@PhB8BeB8DeE8DeC8Jem/IvhFfmBCjBTkBUnBlmBRwB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikBXrB0rB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikB0rBXrB,v115@PhB8BeB8DeE8DeC8Jei/IvhFcmBxiB3kBTnB1wBuqB,v115@PhB8BeB8DeE8DeC8JeKEJvhFzfBFhBxiB3mBcsBWwB,v115@PhB8BeB8DeE8DeC8JeOEJvhF8kBzgBxiBSsBVwBfsB,v115@PhB8BeB8DeE8DeC8Jei/IvhF1mBxiB3kBcsBTrBuqB,v115@PhB8BeB8DeE8DeC8JeWHJvhFxiBlkBUmBikBXsBzqB,v115@PhB8BeB8DeE8DeC8JelBJvhFxkB/rBOsBTkBCoB0qB,v115@PhB8BeB8DeE8DeC8JemAJvhFUiBxkBfsBTkBCoBVwB
TIZLJSO,O,X,X,X,X,X,X,O,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,O,X,X,X,X
TIZLSJO,X,X,X,X,X,X,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,O,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,X,X,X,O
TIZJSOL,X,X,X,X,X,X,X,X,X,X,X,O
TIZJOLS,X,X,X,X,O,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,O,X,X,O,X,O
TIZSLOJ,O,X,X,X,X,O,O,X,O,X,X,X
TIZSJLO,O,X,X,X,X,X,O,X,X,O,X,O
TIZSJOL,X,X,X,X,X,X,X,X,X,O,X,O
TIZSOLJ,O,X,X,X,X,O,O,X,O,X,X,X
TIZSOJL,O,X,X,X,X,O,X,X,O,O,X,O
TIZOLJS,O,X,X,X,O,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,O,X,X,X
TIZOJLS,O,X,X,O,O,X,X,O,X,X,X,X
TIZOJSL,O,X,X,O,O,O,X,X,O,X,X,X
TIZOSLJ,O,X,X,X,X,O,X,X,O,X,X,X
TIZOSJL,O,X,X,O,O,O,X,X,O,X,X,X
TIOLJSZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,O,O,X,X,X,X,X,X
TIOJSZL,X,X,X,O,O,O,X,X,X,X,X,O
TIOJZLS,O,X,X,O,O,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,O,O,X,X,X,X,X,X
TIOSJZL,X,X,X,O,O,O,X,X,X,X,X,O
TIOSZLJ,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,O,O,O,X,X,X,O,X,O
TIOZLJS,O,X,X,X,O,X,X,O,X,X,X,X
