sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,X,X,O,X,X
TSLJZOI,O,X,X,O,X,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,O,X,X
TSLZIOJ,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,X
TSLZJOI,O,O,O,O,X,X
TSLZOIJ,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,X
TSLOIJZ,O,O,O,X,X,X
TSLOIZJ,O,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,O,O,O,X,X,X
TSLOZJI,O,O,O,O,X,X
TSJILZO,O,X,X,O,O,X
TSJILOZ,O,O,O,O,O,X
TSJIZLO,O,X,X,X,O,X
TSJIZOL,O,X,O,O,O,X
TSJIOLZ,O,O,O,O,O,X
TSJIOZL,O,X,O,O,O,X
TSJLIZO,O,X,X,O,X,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,X,X,O,X,X
TSJLZOI,O,X,X,O,X,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,X,O,X,X,X
TSJZIOL,O,X,O,O,X,X
TSJZLIO,O,X,O,X,X,X
TSJZLOI,O,X,O,X,X,X
TSJZOIL,O,X,O,O,X,X
TSJZOLI,O,X,O,X,X,X
TSJOILZ,O,O,O,O,O,X
TSJOIZL,O,X,O,O,O,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,X,O,O,X,X
TSJOZLI,O,X,O,X,X,X
TSZILJO,O,O,O,X,X,X
TSZILOJ,O,O,O,X,X,X
TSZIJLO,O,O,O,X,X,X
TSZIJOL,O,O,O,O,X,X
TSZIOLJ,O,O,O,X,X,X
TSZIOJL,O,O,O,X,X,X
TSZLIJO,O,O,O,X,X,X
TSZLIOJ,O,O,O,X,X,X
TSZLJIO,O,O,O,X,X,X
TSZLJOI,O,O,O,X,X,X
TSZLOIJ,O,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,O,X,X
TSZJLIO,O,O,O,X,X,X
TSZJLOI,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,X
TSZJOLI,O,O,O,X,X,X
TSZOILJ,O,O,O,X,X,X
TSZOIJL,O,O,O,X,X,X
TSZOLIJ,O,O,O,X,X,X
TSZOLJI,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X
TSZOJLI,O,O,O,X,X,X
TSOILJZ,O,O,O,X,X,X
TSOILZJ,O,X,X,X,X,X
TSOIJLZ,O,O,O,X,O,X
TSOIJZL,O,X,O,X,O,X
TSOIZLJ,O,X,O,X,X,X
TSOIZJL,O,X,O,X,X,X
TSOLIJZ,O,O,O,X,X,X
TSOLIZJ,O,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,O,O,O,X,X,X
TSOLZJI,O,O,O,O,X,X
TSOJILZ,O,O,O,O,O,X
TSOJIZL,O,X,O,O,O,X
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X
TSOJZIL,O,X,O,O,X,X
TSOJZLI,O,X,O,X,X,X
TSOZILJ,O,O,O,X,X,X
TSOZIJL,O,O,O,X,X,X
TSOZLIJ,O,O,O,X,X,X
TSOZLJI,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,X
TSOZJLI,O,O,O,X,X,X
TZILJSO,O,O,O,X,X,X
TZILJOS,O,O,O,X,X,X
TZILSJO,O,O,O,X,X,X
TZILSOJ,O,O,O,X,X,X
TZILOJS,O,O,O,X,X,X
TZILOSJ,O,O,O,X,X,X
TZIJLSO,O,O,O,X,O,X
TZIJLOS,O,O,O,X,O,X
TZIJSLO,O,O,O,X,O,X
TZIJSOL,O,O,O,X,O,X
TZIJOLS,O,O,O,X,O,X
TZIJOSL,O,O,O,X,O,X
TZISLJO,O,O,O,X,X,X
TZISLOJ,O,O,O,X,X,X
TZISJLO,O,O,O,X,X,X
TZISJOL,O,O,O,X,X,X
TZISOLJ,O,O,O,X,X,X
TZISOJL,O,O,O,X,X,X
TZIOLJS,O,O,O,X,X,X
TZIOLSJ,O,O,O,X,X,X
TZIOJLS,O,O,O,X,O,X
TZIOJSL,O,O,O,X,O,X
TZIOSLJ,O,O,O,X,X,X
TZIOSJL,O,O,O,X,X,X
TZLIJSO,O,O,O,X,X,X
TZLIJOS,O,O,O,X,X,O
TZLISJO,O,O,O,X,X,X
TZLISOJ,O,O,O,X,X,X
TZLIOJS,O,O,O,X,X,O
TZLIOSJ,O,O,O,X,X,X
TZLJISO,O,O,O,X,X,X
TZLJIOS,O,O,O,X,X,O
TZLJSIO,O,O,O,X,X,X
TZLJSOI,O,O,O,X,X,X
TZLJOIS,O,O,O,X,X,O
TZLJOSI,O,O,O,X,X,O
TZLSIJO,O,O,O,X,X,X
TZLSIOJ,O,O,O,X,X,X
TZLSJIO,O,O,O,X,X,X
TZLSJOI,O,O,O,X,X,X
TZLSOIJ,O,O,O,X,X,X
TZLSOJI,O,O,O,X,X,X
TZLOIJS,O,O,O,X,X,O
TZLOISJ,O,O,O,X,X,X
TZLOJIS,O,O,O,X,X,O
TZLOJSI,O,O,O,X,X,O
TZLOSIJ,O,O,O,X,X,X
TZLOSJI,O,O,O,X,X,X
TZJILSO,O,O,O,X,O,X
TZJILOS,O,O,O,X,O,X
TZJISLO,O,O,O,X,O,X
TZJISOL,O,O,O,X,O,X
TZJIOLS,O,O,O,X,O,X
TZJIOSL,O,O,O,X,O,X
TZJLISO,O,O,O,X,X,X
TZJLIOS,O,O,O,X,X,O
TZJLSIO,O,O,O,X,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,O,O,O,X,X,O
TZJLOSI,O,O,O,X,X,O
TZJSILO,O,O,O,X,X,X
TZJSIOL,O,O,O,X,X,X
TZJSLIO,O,O,O,X,X,X
TZJSLOI,O,O,O,X,X,X
TZJSOIL,O,O,O,X,X,X
TZJSOLI,O,O,O,X,X,X
TZJOILS,O,O,O,X,O,X
TZJOISL,O,O,O,X,O,X
TZJOLIS,O,O,O,X,X,O
TZJOLSI,O,O,O,X,X,O
TZJOSIL,O,O,O,X,X,X
TZJOSLI,O,O,O,X,X,X
TZSILJO,O,O,O,X,X,X
TZSILOJ,O,O,O,X,X,X
TZSIJLO,O,O,O,X,X,X
TZSIJOL,O,O,O,X,X,X
TZSIOLJ,O,O,O,X,X,X
TZSIOJL,O,O,O,X,X,X
TZSLIJO,O,O,O,X,X,X
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,O,X,X,X
TZSLJOI,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,O,X,X,X
TZSJLOI,O,O,O,X,X,X
TZSJOIL,O,O,O,X,X,X
TZSJOLI,O,O,O,X,X,X
TZSOILJ,O,O,O,X,X,X
TZSOIJL,O,O,O,X,X,X
TZSOLIJ,O,O,O,X,X,X
TZSOLJI,O,O,O,X,X,X
TZSOJIL,O,O,O,X,X,X
TZSOJLI,O,O,O,X,X,X
TZOILJS,O,O,O,X,X,X
TZOILSJ,O,O,O,X,X,X
TZOIJLS,O,O,O,X,O,X
TZOIJSL,O,O,O,X,O,X
TZOISLJ,O,O,O,X,X,X
TZOISJL,O,O,O,X,X,X
TZOLIJS,O,O,O,X,X,O
TZOLISJ,O,O,O,X,X,X
TZOLJIS,O,O,O,X,X,O
TZOLJSI,O,O,O,X,X,O
TZOLSIJ,O,O,O,X,X,X
TZOLSJI,O,O,O,X,X,X
TZOJILS,O,O,O,X,O,X
TZOJISL,O,O,O,X,O,X
TZOJLIS,O,O,O,X,X,O
TZOJLSI,O,O,O,X,X,O
TZOJSIL,O,O,O,X,X,X
TZOJSLI,O,O,O,X,X,X
TZOSILJ,O,O,O,X,X,X
TZOSIJL,O,O,O,X,X,X
TZOSLIJ,O,O,O,X,X,X
TZOSLJI,O,O,O,X,X,X
TZOSJIL,O,O,O,X,X,X
TZOSJLI,O,O,O,X,X,X
TOILJSZ,X,O,O,X,O,X
TOILJZS,O,O,X,X,O,X
TOILSJZ,X,O,O,X,X,X
