sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
IZOJLTS,O,O,X,X,X,O
IZOJLST,O,O,O,X,X,O
IZOJSTL,O,X,O,X,X,X
IZOJSLT,O,O,O,X,X,X
IZOSTLJ,O,X,X,X,X,X
IZOSTJL,O,X,O,X,X,X
IZOSLTJ,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X
IZOSJTL,O,X,O,X,X,X
IZOSJLT,O,O,O,X,X,X
IOTLJSZ,X,O,O,X,O,X
IOTLJZS,O,O,X,X,O,X
IOTLSJZ,X,O,O,X,X,X
IOTLSZJ,O,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,X,O,O,X,O,X
IOTJLZS,O,O,X,X,O,X
IOTJSLZ,X,O,O,X,O,X
IOTJSZL,X,X,O,X,O,X
IOTJZLS,O,O,X,X,O,X
IOTJZSL,O,X,O,X,O,X
IOTSLJZ,X,O,O,X,X,X
IOTSLZJ,O,X,X,X,X,X
IOTSJLZ,X,O,O,X,O,X
IOTSJZL,X,X,O,X,O,X
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,O,X,O,X,X,X
IOTZLJS,O,O,O,X,X,X
IOTZLSJ,O,O,O,X,X,X
IOTZJLS,O,O,O,X,O,X
IOTZJSL,O,O,O,X,O,X
IOTZSLJ,O,O,O,X,X,X
IOTZSJL,O,O,O,X,X,X
IOLTJSZ,X,O,X,X,O,X
IOLTJZS,O,O,X,X,O,X
IOLTSJZ,X,O,X,X,X,X
IOLTSZJ,O,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,X,X,X,O,O,X
IOLJTZS,X,X,X,X,O,X
IOLJSTZ,X,X,X,O,X,X
IOLJSZT,X,X,X,O,X,X
IOLJZTS,X,X,X,X,X,O
IOLJZST,X,X,X,O,X,O
IOLSTJZ,O,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X
IOLSJZT,X,X,X,O,X,X
IOLSZTJ,O,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X
IOLZTJS,O,O,X,X,X,O
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,O,O,X,X,X,O
IOLZJST,O,O,X,X,X,O
IOLZSTJ,O,X,X,X,X,X
IOLZSJT,O,O,X,X,X,O
IOJTLSZ,X,X,X,O,O,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,X,X,X,O,O,X
IOJTSZL,X,X,X,O,O,X
IOJTZLS,X,X,X,X,O,X
IOJTZSL,X,X,X,X,O,X
IOJLTSZ,X,X,X,O,O,X
IOJLTZS,X,X,X,X,O,X
IOJLSTZ,X,X,X,O,X,X
IOJLSZT,X,X,X,O,X,X
IOJLZTS,X,X,X,X,X,O
IOJLZST,X,X,X,O,X,O
IOJSTLZ,X,X,X,O,O,X
IOJSTZL,X,X,X,O,O,X
IOJSLTZ,X,X,X,O,X,X
IOJSLZT,X,X,X,O,X,X
IOJSZTL,X,X,X,O,X,X
IOJSZLT,X,X,X,O,X,X
IOJZTLS,X,X,X,X,O,X
IOJZTSL,X,X,X,X,O,X
IOJZLTS,X,X,X,X,X,O
IOJZLST,X,X,X,O,X,O
IOJZSTL,X,X,X,O,X,X
IOJZSLT,X,X,X,O,X,X
IOSTLJZ,O,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X
IOSTJZL,O,X,O,X,O,X
IOSTZLJ,O,X,O,X,X,X
IOSTZJL,O,X,O,X,X,X
IOSLTJZ,O,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X
IOSLJZT,X,X,X,O,X,X
IOSLZTJ,O,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X
IOSJTLZ,X,X,X,O,O,X
IOSJTZL,X,X,X,O,O,X
IOSJLTZ,X,X,X,O,X,X
IOSJLZT,X,X,X,O,X,X
IOSJZTL,X,X,X,O,X,X
IOSJZLT,X,X,X,O,X,X
IOSZTLJ,O,X,X,X,X,X
IOSZTJL,O,X,O,X,X,X
IOSZLTJ,O,X,X,X,X,X
IOSZLJT,O,X,O,X,X,X
IOSZJTL,O,X,O,O,X,X
IOSZJLT,O,X,O,O,X,X
IOZTLJS,O,O,X,X,X,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,O,O,X,X,O,X
IOZTJSL,O,X,O,X,O,X
IOZTSLJ,O,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X
IOZLTJS,O,O,X,X,X,O
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,O,X,X,X,O
IOZLJST,O,O,O,X,X,O
IOZLSTJ,O,X,X,X,X,X
IOZLSJT,O,O,O,X,X,O
IOZJTLS,O,O,X,X,O,X
IOZJTSL,O,X,O,X,O,X
IOZJLTS,O,O,X,X,X,O
IOZJLST,O,O,O,X,X,O
IOZJSTL,O,X,O,X,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,X,X,X,X,X
IOZSTJL,O,X,O,X,X,X
IOZSLTJ,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X
IOZSJTL,O,X,O,X,X,X
IOZSJLT,O,O,O,X,X,X
LTIJSZO,X,X,X,O,O,X
LTIJSOZ,X,O,O,O,O,X
LTIJZSO,O,X,X,X,O,X
LTIJZOS,O,O,X,X,O,X
LTIJOSZ,X,O,O,O,O,X
LTIJOZS,O,O,X,X,O,X
LTISJZO,O,X,X,O,X,X
LTISJOZ,O,O,O,O,X,X
LTISZJO,O,X,X,O,X,X
LTISZOJ,O,X,X,X,X,X
LTISOJZ,O,O,O,X,X,X
LTISOZJ,O,X,X,X,X,X
LTIZJSO,O,O,X,X,X,X
LTIZJOS,O,O,X,X,X,X
LTIZSJO,O,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,O,X,X,X,X
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,X,O,O,X,O,X
LTIOJZS,O,O,X,X,O,X
LTIOSJZ,X,O,O,X,X,X
LTIOSZJ,O,X,X,X,X,X
LTIOZJS,O,O,X,X,X,X
LTIOZSJ,O,O,X,X,X,X
LTJISZO,X,X,X,O,O,X
LTJISOZ,X,O,O,O,O,X
LTJIZSO,O,X,X,X,O,X
LTJIZOS,O,O,X,X,O,X
LTJIOSZ,X,O,O,O,O,X
LTJIOZS,O,O,X,X,O,X
LTJSIZO,X,X,X,O,X,X
LTJSIOZ,X,O,O,O,X,X
LTJSZIO,X,X,X,O,X,X
LTJSZOI,X,X,X,O,X,X
LTJSOIZ,X,O,O,O,X,X
LTJSOZI,X,O,O,O,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,O
LTJZSIO,O,O,X,X,X,X
LTJZSOI,O,O,X,X,X,X
LTJZOIS,O,O,X,X,X,O
LTJZOSI,O,O,X,X,X,O
LTJOISZ,X,O,O,O,O,X
LTJOIZS,O,O,X,X,O,X
LTJOSIZ,X,O,O,O,X,X
LTJOSZI,X,O,O,O,X,X
LTJOZIS,O,O,X,X,X,O
LTJOZSI,O,O,X,X,X,O
LTSIJZO,O,X,X,O,X,X
LTSIJOZ,O,O,O,O,X,X
LTSIZJO,O,X,X,O,X,X
LTSIZOJ,O,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,X
LTSIOZJ,O,X,X,X,X,X
LTSJIZO,O,X,X,O,X,X
LTSJIOZ,O,O,O,O,X,X
LTSJZIO,O,X,X,O,X,X
LTSJZOI,O,X,X,O,X,X
LTSJOIZ,O,O,O,O,X,X
LTSJOZI,O,O,O,O,X,X
LTSZIJO,O,O,O,O,X,X
LTSZIOJ,O,O,O,X,X,X
LTSZJIO,O,O,O,O,X,X
LTSZJOI,O,O,O,O,X,X
LTSZOIJ,O,O,O,X,X,X
LTSZOJI,O,O,O,O,X,X
LTSOIJZ,O,O,O,X,X,X
LTSOIZJ,O,X,X,X,X,X
LTSOJIZ,O,O,O,O,X,X
LTSOJZI,O,O,O,O,X,X
LTSOZIJ,O,O,O,X,X,X
LTSOZJI,O,O,O,O,X,X
LTZIJSO,O,O,O,X,X,X
LTZIJOS,O,O,O,X,X,O
LTZISJO,O,O,O,X,X,X
LTZISOJ,O,O,O,X,X,X
LTZIOJS,O,O,O,X,X,O
LTZIOSJ,O,O,O,X,X,X
LTZJISO,O,O,O,X,X,X
LTZJIOS,O,O,O,X,X,O
LTZJSIO,O,O,O,X,X,X
LTZJSOI,O,O,O,X,X,X
LTZJOIS,O,O,O,X,X,O
LTZJOSI,O,O,O,X,X,O
LTZSIJO,O,O,O,X,X,X
LTZSIOJ,O,O,O,X,X,X
LTZSJIO,O,O,O,X,X,X
LTZSJOI,O,O,O,X,X,X
LTZSOIJ,O,O,O,X,X,X
LTZSOJI,O,O,O,X,X,X
LTZOIJS,O,O,O,X,X,O
LTZOISJ,O,O,O,X,X,X
LTZOJIS,O,O,O,X,X,O
LTZOJSI,O,O,O,X,X,O
LTZOSIJ,O,O,O,X,X,X
LTZOSJI,O,O,O,X,X,X
LTOIJSZ,X,O,O,X,O,X
LTOIJZS,O,O,X,X,O,X
LTOISJZ,X,O,O,X,X,X
LTOISZJ,O,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X
LTOIZSJ,O,O,X,X,X,X
LTOJISZ,X,O,O,O,O,X
LTOJIZS,O,O,X,X,O,X
LTOJSIZ,X,O,O,O,X,X
LTOJSZI,X,O,O,O,X,X
LTOJZIS,O,O,X,X,X,O
LTOJZSI,O,O,X,X,X,O
LTOSIJZ,X,O,O,X,X,X
LTOSIZJ,O,X,X,X,X,X
LTOSJIZ,X,O,O,O,X,X
LTOSJZI,X,O,O,O,X,X
LTOSZIJ,O,O,O,X,X,X
LTOSZJI,O,O,O,O,X,X
LTOZIJS,O,O,O,X,X,O
LTOZISJ,O,O,O,X,X,X
LTOZJIS,O,O,O,X,X,O
LTOZJSI,O,O,O,X,X,O
LTOZSIJ,O,O,O,X,X,X
LTOZSJI,O,O,O,X,X,X
LITJSZO,X,X,X,O,O,X
LITJSOZ,X,O,X,O,O,X
LITJZSO,O,X,X,X,O,X
LITJZOS,O,O,X,X,O,X
LITJOSZ,X,O,X,O,O,X
LITJOZS,O,O,X,X,O,X
LITSJZO,O,X,X,O,X,X
LITSJOZ,O,O,X,O,X,X
LITSZJO,O,X,X,O,X,X
LITSZOJ,O,X,X,X,X,X
LITSOJZ,O,O,X,X,X,X
LITSOZJ,O,X,X,X,X,X
LITZJSO,O,O,X,X,X,X
LITZJOS,O,O,X,X,X,X
LITZSJO,O,O,X,X,X,X
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,O,X,X,X,X
LITZOSJ,O,O,X,X,X,X
LITOJSZ,X,O,X,X,O,X
LITOJZS,O,O,X,X,O,X
LITOSJZ,X,O,X,X,X,X
LITOSZJ,O,X,X,X,X,X
LITOZJS,O,O,X,X,X,X
LITOZSJ,O,O,X,X,X,X
LIJTSZO,X,X,X,O,O,X
LIJTSOZ,X,X,X,O,O,X
LIJTZSO,O,X,X,X,O,X
LIJTZOS,O,X,X,X,O,X
LIJTOSZ,X,X,X,O,O,X
LIJTOZS,O,X,X,X,O,X
LIJSTZO,O,X,X,O,X,X
LIJSTOZ,O,X,X,O,X,X
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X
LIJSOTZ,X,X,X,O,X,X
LIJSOZT,X,X,X,O,X,X
LIJZTSO,O,X,X,X,X,X
LIJZTOS,O,X,X,X,X,O
LIJZSTO,O,X,X,O,X,X
LIJZSOT,O,X,X,O,X,O
LIJZOTS,O,X,X,X,X,O
LIJZOST,O,X,X,O,X,O
LIJOTSZ,X,X,X,O,O,X
LIJOTZS,X,X,X,X,O,X
LIJOSTZ,X,X,X,O,X,X
LIJOSZT,X,X,X,O,X,X
LIJOZTS,X,X,X,X,X,O
LIJOZST,X,X,X,O,X,O
LISTJZO,O,X,X,O,X,X
LISTJOZ,O,X,X,O,X,X
LISTZJO,O,X,X,O,X,X
LISTZOJ,O,X,X,X,X,X
LISTOJZ,O,X,X,X,X,X
LISTOZJ,O,X,X,X,X,X
LISJTZO,O,X,X,O,X,X
LISJTOZ,O,X,X,O,X,X
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,X,X
LISJOTZ,X,X,X,O,X,X
LISJOZT,X,X,X,O,X,X
LISZTJO,O,X,X,O,X,X
LISZTOJ,O,X,X,X,X,X
LISZJTO,O,X,X,O,X,X
LISZJOT,O,X,X,O,X,X
LISZOTJ,O,X,X,X,X,X
LISZOJT,O,X,X,O,X,X
LISOTJZ,O,X,X,X,X,X
LISOTZJ,O,X,X,X,X,X
LISOJTZ,X,X,X,O,X,X
LISOJZT,X,X,X,O,X,X
LISOZTJ,O,X,X,X,X,X
LISOZJT,O,X,X,O,X,X
LIZTJSO,O,X,X,X,X,X
LIZTJOS,O,O,X,X,X,O
LIZTSJO,O,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,X
LIZTOJS,O,O,X,X,X,O
LIZTOSJ,O,X,X,X,X,X
LIZJTSO,O,X,X,X,X,X
LIZJTOS,O,O,X,X,X,O
LIZJSTO,O,X,X,O,X,X
LIZJSOT,O,O,X,O,X,O
LIZJOTS,O,O,X,X,X,O
LIZJOST,O,O,X,O,X,O
LIZSTJO,O,X,X,O,X,X
LIZSTOJ,O,X,X,X,X,X
LIZSJTO,O,X,X,O,X,X
LIZSJOT,O,O,X,O,X,O
LIZSOTJ,O,X,X,X,X,X
LIZSOJT,O,O,X,O,X,O
LIZOTJS,O,O,X,X,X,O
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,O,O,X,X,X,O
LIZOJST,O,O,X,X,X,O
LIZOSTJ,O,X,X,X,X,X
LIZOSJT,O,O,X,X,X,O
LIOTJSZ,X,O,X,X,O,X
LIOTJZS,O,O,X,X,O,X
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,O,X,X,X,X,X
LIOTZJS,O,O,X,X,X,X
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,X,X,X,O,O,X
LIOJTZS,X,X,X,X,O,X
LIOJSTZ,X,X,X,O,X,X
LIOJSZT,X,X,X,O,X,X
LIOJZTS,X,X,X,X,X,O
LIOJZST,X,X,X,O,X,O
LIOSTJZ,O,X,X,X,X,X
LIOSTZJ,O,X,X,X,X,X
LIOSJTZ,X,X,X,O,X,X
LIOSJZT,X,X,X,O,X,X
LIOSZTJ,O,X,X,X,X,X
LIOSZJT,O,X,X,O,X,X
LIOZTJS,O,O,X,X,X,O
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,O,O,X,X,X,O
LIOZJST,O,O,X,X,X,O
LIOZSTJ,O,X,X,X,X,X
LIOZSJT,O,O,X,X,X,O
LJTISZO,X,X,X,O,O,X
LJTISOZ,X,O,X,O,O,X
LJTIZSO,O,X,X,X,O,X
LJTIZOS,O,O,X,X,O,X
LJTIOSZ,X,O,X,O,O,X
LJTIOZS,O,O,X,X,O,X
LJTSIZO,X,X,X,O,X,X
LJTSIOZ,X,O,X,O,X,X
LJTSZIO,X,X,X,O,X,X
LJTSZOI,X,X,X,O,X,X
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,X,O,X,O,X,X
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,O,X,X,X,O
LJTZSIO,O,O,X,X,X,X
LJTZSOI,O,O,X,X,X,X
LJTZOIS,O,O,X,X,X,O
LJTZOSI,O,O,X,X,X,O
LJTOISZ,X,O,X,O,O,X
LJTOIZS,O,O,X,X,O,X
LJTOSIZ,X,O,X,O,X,X
LJTOSZI,X,O,X,O,X,X
LJTOZIS,O,O,X,X,X,O
LJTOZSI,O,O,X,X,X,O
LJITSZO,X,X,X,O,O,X
LJITSOZ,X,X,X,O,O,X
LJITZSO,O,X,X,X,O,X
LJITZOS,O,X,X,X,O,X
LJITOSZ,X,X,X,O,O,X
LJITOZS,O,X,X,X,O,X
LJISTZO,O,X,X,O,X,X
LJISTOZ,O,X,X,O,X,X
LJISZTO,O,X,X,O,X,X
LJISZOT,O,X,X,O,X,X
LJISOTZ,X,X,X,O,X,X
LJISOZT,X,X,X,O,X,X
LJIZTSO,O,X,X,X,X,X
LJIZTOS,O,X,X,X,X,O
LJIZSTO,O,X,X,O,X,X
LJIZSOT,O,X,X,O,X,O
LJIZOTS,O,X,X,X,X,O
LJIZOST,O,X,X,O,X,O
LJIOTSZ,X,X,X,O,O,X
LJIOTZS,X,X,X,X,O,X
LJIOSTZ,X,X,X,O,X,X
LJIOSZT,X,X,X,O,X,X
LJIOZTS,X,X,X,X,X,O
LJIOZST,X,X,X,O,X,O
LJSTIZO,O,X,X,O,X,X
LJSTIOZ,O,X,X,O,X,X
LJSTZIO,O,X,X,O,X,X
LJSTZOI,O,X,X,O,X,X
LJSTOIZ,O,X,X,O,X,X
LJSTOZI,O,X,X,O,X,X
LJSITZO,O,X,X,O,X,X
LJSITOZ,O,X,X,O,X,X
LJSIZTO,O,X,X,O,X,X
LJSIZOT,O,X,X,O,X,X
LJSIOTZ,X,X,X,O,X,X
LJSIOZT,X,X,X,O,X,X
LJSZTIO,O,X,X,O,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,X,X,O,X,X
LJSZIOT,O,X,X,O,X,O
LJSZOTI,O,X,X,O,X,O
LJSZOIT,O,X,X,O,X,O
LJSOTIZ,X,X,X,O,X,X
LJSOTZI,X,X,X,O,X,X
LJSOITZ,X,X,X,O,X,X
LJSOIZT,X,X,X,O,X,X
LJSOZTI,X,X,X,O,X,O
LJSOZIT,X,X,X,O,X,O
LJZTISO,O,X,X,X,X,X
LJZTIOS,O,O,X,X,X,O
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,O,O,X,X,X,O
LJZTOSI,O,O,X,X,X,O
LJZITSO,O,X,X,X,X,X
LJZITOS,O,O,X,X,X,O
LJZISTO,O,X,X,O,X,X
LJZISOT,O,O,X,O,X,O
LJZIOTS,O,O,X,X,X,O
LJZIOST,O,O,X,O,X,O
LJZSTIO,O,X,X,O,X,X
LJZSTOI,O,X,X,O,X,X
LJZSITO,O,X,X,O,X,X
LJZSIOT,O,O,X,O,X,O
LJZSOTI,O,O,X,O,X,O
LJZSOIT,O,O,X,O,X,O
LJZOTIS,O,O,X,X,X,O
LJZOTSI,O,O,X,X,X,O
LJZOITS,O,O,X,X,X,O
LJZOIST,O,O,X,O,X,O
LJZOSTI,O,O,X,O,X,O
LJZOSIT,O,O,X,O,X,O
LJOTISZ,X,O,X,O,O,X
LJOTIZS,X,O,X,X,O,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,O,X,X
LJOTZIS,X,O,X,X,X,O
LJOTZSI,X,O,X,X,X,O
LJOITSZ,X,X,X,O,O,X
LJOITZS,X,X,X,X,O,X
LJOISTZ,X,X,X,O,X,X
LJOISZT,X,X,X,O,X,X
LJOIZTS,X,X,X,X,X,O
LJOIZST,X,X,X,O,X,O
LJOSTIZ,X,X,X,O,X,X
LJOSTZI,X,X,X,O,X,X
LJOSITZ,X,X,X,O,X,X
LJOSIZT,X,X,X,O,X,X
LJOSZTI,X,X,X,O,X,O
LJOSZIT,X,X,X,O,X,O
LJOZTIS,X,O,X,X,X,O
LJOZTSI,X,O,X,X,X,O
LJOZITS,X,O,X,X,X,O
LJOZIST,X,O,X,O,X,O
LJOZSTI,X,O,X,O,X,O
LJOZSIT,X,O,X,O,X,O
LSTIJZO,O,X,X,O,X,X
LSTIJOZ,O,O,O,O,X,X
LSTIZJO,O,X,X,O,X,X
LSTIZOJ,O,X,X,X,X,X
LSTIOJZ,O,O,O,X,X,X
LSTIOZJ,O,X,X,X,X,X
LSTJIZO,O,X,X,O,X,X
LSTJIOZ,O,O,O,O,X,X
LSTJZIO,O,X,X,O,X,X
LSTJZOI,O,X,X,O,X,X
LSTJOIZ,O,O,O,O,X,X
LSTJOZI,O,O,O,O,X,X
LSTZIJO,O,O,O,O,X,X
LSTZIOJ,O,O,O,X,X,X
LSTZJIO,O,O,O,O,X,X
LSTZJOI,O,O,O,O,X,X
LSTZOIJ,O,O,O,X,X,X
LSTZOJI,O,O,O,O,X,X
LSTOIJZ,O,O,O,X,X,X
LSTOIZJ,O,X,X,X,X,X
LSTOJIZ,O,O,O,O,X,X
LSTOJZI,O,O,O,O,X,X
LSTOZIJ,O,O,O,X,X,X
LSTOZJI,O,O,O,O,X,X
LSITJZO,O,X,X,O,X,X
LSITJOZ,O,X,X,O,X,X
LSITZJO,O,X,X,O,X,X
LSITZOJ,O,X,X,X,X,X
LSITOJZ,O,X,X,X,X,X
LSITOZJ,O,X,X,X,X,X
LSIJTZO,O,X,X,O,X,X
LSIJTOZ,O,X,X,O,X,X
LSIJZTO,O,X,X,O,X,X
LSIJZOT,O,X,X,O,X,X
LSIJOTZ,X,X,X,O,X,X
LSIJOZT,X,X,X,O,X,X
LSIZTJO,O,X,X,O,X,X
LSIZTOJ,O,X,X,X,X,X
LSIZJTO,O,X,X,O,X,X
LSIZJOT,O,X,X,O,X,X
LSIZOTJ,O,X,X,X,X,X
LSIZOJT,O,X,X,O,X,X
LSIOTJZ,O,X,X,X,X,X
LSIOTZJ,O,X,X,X,X,X
LSIOJTZ,X,X,X,O,X,X
LSIOJZT,X,X,X,O,X,X
LSIOZTJ,O,X,X,X,X,X
LSIOZJT,O,X,X,O,X,X
LSJTIZO,O,X,X,O,X,X
LSJTIOZ,O,X,X,O,X,X
LSJTZIO,O,X,X,O,X,X
LSJTZOI,O,X,X,O,X,X
LSJTOIZ,O,X,X,O,X,X
LSJTOZI,O,X,X,O,X,X
LSJITZO,O,X,X,O,X,X
LSJITOZ,O,X,X,O,X,X
LSJIZTO,O,X,X,O,X,X
LSJIZOT,O,X,X,O,X,X
LSJIOTZ,X,X,X,O,X,X
LSJIOZT,X,X,X,O,X,X
LSJZTIO,O,X,X,O,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,X,X,O,X,X
LSJZIOT,O,X,X,O,X,O
LSJZOTI,O,X,X,O,X,O
LSJZOIT,O,X,X,O,X,O
LSJOTIZ,X,X,X,O,X,X
LSJOTZI,X,X,X,O,X,X
LSJOITZ,X,X,X,O,X,X
LSJOIZT,X,X,X,O,X,X
LSJOZTI,X,X,X,O,X,O
LSJOZIT,X,X,X,O,X,O
LSZTIJO,O,X,X,O,X,X
LSZTIOJ,O,X,X,X,X,X
LSZTJIO,O,X,X,O,X,X
LSZTJOI,O,X,X,O,X,X
LSZTOIJ,O,X,X,X,X,X
LSZTOJI,O,X,X,O,X,X
LSZITJO,O,X,X,O,X,X
LSZITOJ,O,X,X,X,X,X
LSZIJTO,O,X,X,O,X,X
LSZIJOT,O,O,O,O,X,O
LSZIOTJ,O,X,X,X,X,X
LSZIOJT,O,O,O,O,X,O
LSZJTIO,O,X,X,O,X,X
LSZJTOI,O,X,X,O,X,X
LSZJITO,O,X,X,O,X,X
LSZJIOT,O,O,O,O,X,O
LSZJOTI,O,O,O,O,X,O
LSZJOIT,O,O,O,O,X,O
LSZOTIJ,O,X,X,X,X,X
LSZOTJI,O,X,X,O,X,X
LSZOITJ,O,X,X,X,X,X
LSZOIJT,O,O,O,O,X,O
LSZOJTI,O,O,O,O,X,O
LSZOJIT,O,O,O,O,X,O
LSOTIJZ,O,O,O,X,X,X
LSOTIZJ,O,X,X,X,X,X
LSOTJIZ,O,O,O,O,X,X
LSOTJZI,O,O,O,O,X,X
LSOTZIJ,O,O,O,X,X,X
LSOTZJI,O,O,O,O,X,X
LSOITJZ,O,X,X,X,X,X
LSOITZJ,O,X,X,X,X,X
LSOIJTZ,X,X,X,O,X,X
LSOIJZT,X,X,X,O,X,X
LSOIZTJ,O,X,X,X,X,X
LSOIZJT,O,X,X,O,X,X
LSOJTIZ,X,X,X,O,X,X
LSOJTZI,X,X,X,O,X,X
LSOJITZ,X,X,X,O,X,X
LSOJIZT,X,X,X,O,X,X
LSOJZTI,X,X,X,O,X,O
LSOJZIT,X,X,X,O,X,O
LSOZTIJ,O,X,X,X,X,X
LSOZTJI,O,X,X,O,X,X
LSOZITJ,O,X,X,X,X,X
LSOZIJT,O,O,O,O,X,O
LSOZJTI,O,O,O,O,X,O
LSOZJIT,O,O,O,O,X,O
LZTIJSO,O,O,X,X,X,X
LZTIJOS,O,O,X,X,X,O
LZTISJO,O,O,X,X,X,X
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,O,X,X,X,O
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,X,X,X,O
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,O,O,X,X,X,O
LZTJOSI,O,O,X,X,X,O
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,O,O,X,X,X,O
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,O,X,X,X,O
LZTOJSI,O,O,X,X,X,O
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,X
LZITJSO,O,X,X,X,X,X
LZITJOS,O,O,X,X,X,O
LZITSJO,O,X,X,X,X,X
LZITSOJ,O,X,X,X,X,X
LZITOJS,O,O,X,X,X,O
LZITOSJ,O,X,X,X,X,X
LZIJTSO,O,X,X,X,X,X
LZIJTOS,O,O,X,X,X,O
LZIJSTO,O,X,X,O,X,X
LZIJSOT,O,O,O,O,X,O
LZIJOTS,O,O,X,X,X,O
LZIJOST,O,O,O,O,X,O
LZISTJO,O,X,X,O,X,X
LZISTOJ,O,X,X,X,X,X
LZISJTO,O,X,X,O,X,X
LZISJOT,O,O,O,O,X,O
LZISOTJ,O,X,X,X,X,X
LZISOJT,O,O,O,O,X,O
LZIOTJS,O,O,X,X,X,O
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,O,O,X,X,X,O
LZIOJST,O,O,O,X,X,O
LZIOSTJ,O,X,X,X,X,X
LZIOSJT,O,O,O,X,X,O
LZJTISO,O,X,X,X,X,X
LZJTIOS,O,O,X,X,X,O
LZJTSIO,O,X,X,X,X,X
LZJTSOI,O,X,X,X,X,X
LZJTOIS,O,O,X,X,X,O
LZJTOSI,O,O,X,X,X,O
LZJITSO,O,X,X,X,X,X
LZJITOS,O,O,X,X,X,O
LZJISTO,O,X,X,O,X,X
LZJISOT,O,O,O,O,X,O
LZJIOTS,O,O,X,X,X,O
LZJIOST,O,O,O,O,X,O
LZJSTIO,O,X,X,O,X,X
LZJSTOI,O,X,X,O,X,X
LZJSITO,O,X,X,O,X,X
LZJSIOT,O,O,O,O,X,O
LZJSOTI,O,O,O,O,X,O
LZJSOIT,O,O,O,O,X,O
LZJOTIS,O,O,X,X,X,O
LZJOTSI,O,O,X,X,X,O
LZJOITS,O,O,X,X,X,O
LZJOIST,O,O,O,O,X,O
LZJOSTI,O,O,O,O,X,O
