sequence,v115@9gA8IeB8HeB8GeE8DeB8JeaFJvhFRhBGjBzlB8sB3r?BFsB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lB0nBir?BWxB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lBcrB2s?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFzhBcoBilBFrBXs?BusB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFWnBTjBxqBlsBar?BXsB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFFhBXiBTjBmqBRs?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFTjBxmB3lBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8Je3AJvhFTjBxmBUlBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFcmBSoBTlB/sBmn?B1wB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFUiB2qBXoBzrBFr?BCtB
TJLZOSI,O,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,O,O,O,X,O,X,X
TJLOIZS,O,X,O,X,O,O,O,X,X,X
TJLOSIZ,O,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X,X,X
TJLOZIS,O,X,O,X,O,O,O,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,X
TJSILZO,X,O,X,O,O,O,X,X,X,X
TJSILOZ,X,O,X,O,O,O,X,O,X,X
TJSIZLO,X,X,O,O,O,O,X,X,X,X
TJSIZOL,X,O,O,X,O,O,O,O,X,X
TJSIOLZ,X,O,X,X,O,O,X,O,X,X
TJSIOZL,X,O,O,X,O,O,O,O,X,X
TJSLIZO,X,O,X,O,X,X,X,X,X,X
TJSLIOZ,X,O,X,O,X,X,X,X,X,X
TJSLZIO,X,O,O,O,X,X,X,X,X,X
TJSLZOI,X,O,O,O,X,X,X,X,O,X
TJSLOIZ,O,O,X,O,X,X,X,X,X,X
TJSLOZI,X,X,O,O,X,X,X,X,O,X
TJSZILO,X,X,O,O,O,O,X,X,X,X
TJSZIOL,X,O,O,X,O,O,O,X,X,X
TJSZLIO,X,O,O,O,X,X,X,X,X,X
TJSZLOI,X,O,O,O,X,X,X,X,O,X
TJSZOIL,X,O,O,X,O,O,O,X,O,X
TJSZOLI,X,O,O,O,X,X,X,X,O,X
TJSOILZ,O,O,X,X,O,O,X,O,X,O
TJSOIZL,X,O,O,X,O,O,O,O,X,O
TJSOLIZ,O,O,X,O,X,X,X,X,X,O
TJSOLZI,X,X,O,O,X,X,X,X,O,O
TJSOZIL,X,O,O,X,O,O,O,X,O,O
TJSOZLI,X,O,O,O,X,X,X,X,O,O
TJZILSO,X,X,X,O,O,O,X,X,X,X
TJZILOS,X,X,O,X,O,O,O,X,X,X
TJZISLO,X,X,O,O,O,O,X,X,X,X
TJZISOL,X,X,O,X,O,O,O,O,X,X
TJZIOLS,X,O,O,X,O,O,O,X,X,X
TJZIOSL,X,O,O,X,O,O,O,O,X,X
TJZLISO,X,X,X,O,O,O,X,X,X,X
TJZLIOS,X,O,O,X,O,O,O,X,X,X
TJZLSIO,X,X,X,O,X,X,X,X,X,X
TJZLSOI,O,X,X,O,X,X,X,X,X,X
TJZLOIS,O,O,O,X,O,O,O,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,O,O,O,X,X,X,X
TJZSIOL,X,O,O,X,O,O,O,X,X,X
TJZSLIO,X,O,O,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,O,X
TJZSOIL,O,O,O,X,O,O,O,X,O,X
TJZSOLI,O,O,O,O,X,X,X,X,O,X
TJZOILS,O,O,O,X,O,O,O,X,X,X
TJZOISL,X,O,O,X,O,O,O,O,O,X
TJZOLIS,O,O,O,X,O,O,O,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,O,O,O,X,O,X
TJZOSLI,O,O,O,X,X,X,X,X,O,X
TJOILSZ,O,X,X,X,O,O,X,O,X,X
TJOILZS,O,X,O,X,O,O,O,X,X,X
TJOISLZ,X,X,X,X,O,O,X,O,X,X
TJOISZL,X,X,O,X,O,O,O,O,X,X
TJOIZLS,X,X,O,X,O,O,O,X,X,X
TJOIZSL,X,X,O,X,O,O,O,O,X,X
TJOLISZ,O,X,X,O,O,O,X,O,X,X
TJOLIZS,O,X,O,X,O,O,O,X,X,X
TJOLSIZ,O,X,X,O,X,X,X,X,X,X
TJOLSZI,X,X,O,O,X,X,X,X,X,X
TJOLZIS,O,X,O,X,O,O,O,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X
TJOSILZ,O,O,X,X,O,O,X,O,X,O
TJOSIZL,X,O,O,X,O,O,O,O,X,O
TJOSLIZ,O,O,X,O,X,X,X,X,X,O
TJOSLZI,X,X,O,O,X,X,X,X,O,O
TJOSZIL,X,O,O,X,O,O,O,X,O,O
TJOSZLI,X,O,O,O,X,X,X,X,O,O
TJOZILS,O,O,O,X,O,O,O,X,X,X
TJOZISL,X,O,O,X,O,O,O,O,O,X
TJOZLIS,O,O,O,X,O,O,O,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,X
TJOZSIL,O,O,O,X,O,O,O,X,O,O
TJOZSLI,O,O,O,X,X,X,X,X,O,O
TSILJZO,X,O,X,O,O,X,X,X,X,X
TSILJOZ,X,O,X,O,O,X,X,X,X,X
TSILZJO,X,O,O,O,O,X,X,X,X,X
TSILZOJ,X,O,O,O,O,X,X,X,O,X
TSILOJZ,X,O,X,O,O,X,X,O,X,X
TSILOZJ,X,O,O,O,O,X,X,O,O,X
TSIJLZO,X,O,X,O,O,X,X,X,X,X
TSIJLOZ,X,O,X,O,O,X,X,X,X,X
TSIJZLO,X,X,O,O,O,X,X,X,X,X
TSIJZOL,X,O,O,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,X,O,X,X,O,X,X
TSIJOZL,X,O,O,X,O,X,X,O,X,X
TSIZLJO,X,O,O,O,O,X,X,X,X,X
TSIZLOJ,X,O,O,O,O,X,X,X,O,X
TSIZJLO,X,X,O,O,O,X,X,X,X,X
TSIZJOL,X,O,O,X,O,X,X,X,X,X
TSIZOLJ,X,O,O,O,O,X,O,O,O,X
TSIZOJL,X,O,O,X,O,X,O,O,O,X
TSIOLJZ,X,O,X,O,O,X,X,O,X,X
TSIOLZJ,X,O,O,O,O,X,X,O,O,X
TSIOJLZ,X,O,X,X,O,X,X,O,X,X
TSIOJZL,X,O,O,X,O,X,X,O,X,X
TSIOZLJ,X,O,O,O,O,X,O,O,O,X
TSIOZJL,X,O,O,X,O,X,O,O,O,X
TSLIJZO,X,O,X,O,X,X,X,X,X,X
TSLIJOZ,X,O,X,O,X,X,X,X,X,X
TSLIZJO,X,O,O,O,X,X,X,X,X,X
TSLIZOJ,X,O,O,O,X,X,X,X,O,X
TSLIOJZ,X,O,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,O,O,X,X,X,X,O,X
TSLJIZO,X,O,X,O,X,X,X,X,X,X
TSLJIOZ,X,O,X,O,X,X,X,X,X,X
TSLJZIO,X,O,O,O,X,X,X,X,X,X
TSLJZOI,X,O,O,O,X,X,X,X,O,X
TSLJOIZ,O,O,X,O,X,X,X,X,X,X
TSLJOZI,X,X,O,O,X,X,X,X,O,X
TSLZIJO,X,O,O,O,X,X,X,X,X,X
TSLZIOJ,X,O,O,O,X,X,X,X,O,X
TSLZJIO,X,O,O,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,X,X,X,X,O,X
TSLZOIJ,O,O,O,O,X,X,X,X,O,X
TSLZOJI,O,O,O,O,X,X,X,X,O,X
TSLOIJZ,O,O,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,X,X,O,X
TSLOJIZ,O,O,X,O,X,X,X,X,X,X
TSLOJZI,X,X,O,O,X,X,X,X,O,X
TSLOZIJ,O,O,O,O,X,X,X,X,O,X
TSLOZJI,O,O,O,O,X,X,X,X,O,X
TSJILZO,X,O,X,O,O,X,X,X,X,X
TSJILOZ,X,O,X,O,O,X,X,X,X,X
TSJIZLO,X,X,O,O,O,X,X,X,X,X
TSJIZOL,X,O,O,X,O,X,X,X,X,X
TSJIOLZ,X,O,X,X,O,X,X,X,X,X
TSJIOZL,X,O,O,X,O,X,X,X,X,X
TSJLIZO,X,O,X,O,X,X,X,X,X,X
TSJLIOZ,X,O,X,O,X,X,X,X,X,X
TSJLZIO,X,O,O,O,X,X,X,X,X,X
TSJLZOI,X,O,O,O,X,X,X,X,O,X
TSJLOIZ,O,O,X,O,X,X,X,X,X,X
TSJLOZI,X,X,O,O,X,X,X,X,O,X
TSJZILO,X,X,O,O,O,X,X,X,X,X
TSJZIOL,X,O,O,X,O,X,X,X,X,X
TSJZLIO,X,O,O,O,X,X,X,X,X,X
TSJZLOI,X,O,O,O,X,X,X,X,O,X
TSJZOIL,X,O,O,X,O,X,X,X,O,X
TSJZOLI,X,O,O,O,X,X,X,X,O,X
TSJOILZ,O,O,X,X,O,X,X,X,X,O
TSJOIZL,X,O,O,X,O,X,X,X,X,O
TSJOLIZ,O,O,X,O,X,X,X,X,X,O
TSJOLZI,X,X,O,O,X,X,X,X,O,O
TSJOZIL,X,O,O,X,O,X,X,X,O,O
TSJOZLI,X,O,O,O,X,X,X,X,O,O
TSZILJO,X,O,O,O,O,X,X,X,X,X
TSZILOJ,X,O,O,O,O,X,X,X,O,X
TSZIJLO,X,X,O,O,O,X,X,X,X,X
TSZIJOL,X,O,O,X,O,X,X,X,X,X
TSZIOLJ,X,O,O,O,O,X,O,X,O,X
TSZIOJL,X,O,O,X,O,X,O,X,O,X
TSZLIJO,X,O,O,O,X,X,X,X,X,X
TSZLIOJ,X,O,O,O,X,X,X,X,O,X
TSZLJIO,X,O,O,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,O,X
TSZLOIJ,O,O,O,O,X,X,X,X,O,X
TSZLOJI,O,O,O,O,X,X,X,X,O,X
TSZJILO,X,X,O,O,O,X,X,X,X,X
TSZJIOL,X,O,O,X,O,X,O,X,X,X
TSZJLIO,X,O,O,O,X,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,O,X
TSZJOIL,O,O,O,X,O,X,O,X,O,X
TSZJOLI,O,O,O,O,X,X,X,X,O,X
TSZOILJ,O,O,O,O,O,X,O,X,O,X
TSZOIJL,O,O,O,X,O,X,O,X,O,X
TSZOLIJ,O,O,O,O,X,X,X,X,O,X
TSZOLJI,O,O,O,O,X,X,X,X,O,X
TSZOJIL,O,O,O,X,O,X,O,X,O,O
TSZOJLI,O,O,O,O,X,X,X,X,O,O
TSOILJZ,O,O,X,O,O,X,X,O,X,X
TSOILZJ,O,O,O,O,O,X,X,O,O,X
TSOIJLZ,O,O,X,X,O,X,X,O,X,X
TSOIJZL,X,O,O,X,O,X,X,O,X,X
TSOIZLJ,O,O,O,O,O,X,O,O,O,X
TSOIZJL,O,O,O,X,O,X,O,O,O,X
