sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
TLIJOZS,X,X,O,X,X,X,O,O,X,X,X
TLISJZO,O,X,X,O,X,O,O,X,X,X,X
TLISJOZ,O,X,X,X,X,O,X,O,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,X,X,X
TLISZOJ,O,X,X,O,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,O,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,X,X,O,X,O,O,X,O,X,X
TLIZJOS,X,X,X,X,X,X,O,O,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,O,X,O,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,X,X,X,X,O,X,O,X,O,X
TLIOJZS,X,X,O,X,X,X,O,O,X,O,X
TLIOSJZ,O,X,X,X,X,X,X,O,X,O,O
TLIOSZJ,O,X,X,X,X,X,X,X,X,O,O
TLIOZJS,X,X,X,X,X,X,X,O,X,O,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,O,O
TLJISZO,O,X,X,O,X,O,O,X,X,X,X
TLJISOZ,O,X,X,O,X,O,X,O,X,X,X
TLJIZSO,O,X,X,O,X,O,O,X,O,X,X
TLJIZOS,X,X,X,X,X,X,O,O,X,X,X
TLJIOSZ,O,X,X,X,X,O,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,O,O,X,X,X
TLJSIZO,O,X,X,O,X,O,O,X,X,X,X
TLJSIOZ,O,X,X,O,X,O,X,O,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,O,X,X,X
TLJSOZI,O,X,O,O,X,X,X,X,X,X,X
TLJZISO,O,X,O,O,X,O,O,X,O,X,X
TLJZIOS,O,X,O,X,X,X,O,O,X,X,X
TLJZSIO,O,X,O,O,X,X,X,X,O,X,X
TLJZSOI,O,X,O,O,X,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,O,X,X,X
TLJOIZS,X,X,O,X,X,X,O,O,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,O,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,O,O,O,X,X,X,X
TLSIJOZ,O,X,X,X,X,O,X,O,X,X,X
TLSIZJO,X,X,X,O,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,O,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,O,X,X,X
TLSIOZJ,O,X,X,O,O,X,X,X,X,X,X
TLSJIZO,O,X,X,O,O,O,O,X,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,O,X,X,X
TLSJZIO,O,X,X,O,O,X,X,X,X,X,X
TLSJZOI,O,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,O,X,X,X,X,X,X
TLSZJIO,O,X,X,O,O,X,X,X,X,X,X
TLSZJOI,O,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,X,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,O,X,X,X
TLSOJZI,O,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,X,O,O,X,O,O,X,O,X,X
TLZIJOS,O,X,O,X,X,X,O,O,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,O,X,X
TLZISOJ,O,X,X,O,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,X,X,X,O,X,O,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,O,X
TLZJISO,O,X,O,O,X,O,O,X,O,X,X
TLZJIOS,O,X,O,X,X,X,O,O,X,X,X
TLZJSIO,O,X,O,O,X,X,X,X,O,X,X
TLZJSOI,O,X,O,O,X,X,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,O,X,X,X,O,X,X
TLZSIOJ,O,X,X,O,O,X,X,X,X,X,X
TLZSJIO,O,X,O,O,O,X,X,X,O,X,X
TLZSJOI,O,X,O,X,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,O,X,X,X,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,X,O,X,O,X
TLZOISJ,O,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,O,X,X,X,X,O,X,O,X
TLZOJSI,O,X,O,X,X,X,X,X,X,O,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,O,X
TLZOSJI,O,X,O,X,X,X,X,X,X,O,X
TLOIJSZ,X,X,X,X,X,O,X,O,X,O,X
TLOIJZS,X,X,O,X,X,X,O,O,X,O,X
TLOISJZ,O,X,X,X,X,X,X,O,X,O,O
TLOISZJ,O,X,X,X,X,X,X,X,X,O,O
TLOIZJS,X,X,X,X,X,X,X,O,X,O,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,O,O
TLOJISZ,O,X,X,X,X,O,X,O,X,O,X
TLOJIZS,X,X,O,X,X,X,O,O,X,O,X
TLOJSIZ,O,X,X,X,X,X,X,O,X,O,X
TLOJSZI,O,X,O,X,X,X,X,X,X,O,X
TLOJZIS,X,X,O,X,X,X,X,O,X,O,X
TLOJZSI,X,X,O,X,X,X,X,X,X,O,X
TLOSIJZ,O,X,X,X,X,X,X,O,X,O,O
TLOSIZJ,O,X,X,X,X,X,X,X,X,O,O
TLOSJIZ,O,X,X,X,X,X,X,O,X,O,O
TLOSJZI,O,X,O,X,X,X,X,X,X,O,O
TLOSZIJ,O,X,X,X,X,X,X,X,X,O,O
TLOSZJI,O,X,X,X,X,X,X,X,X,O,O
TLOZIJS,X,X,O,X,X,X,X,O,X,O,X
TLOZISJ,X,X,X,X,X,X,X,X,X,O,O
TLOZJIS,X,X,O,X,X,X,X,O,X,O,X
TLOZJSI,X,X,O,X,X,X,X,X,X,O,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,O,O
TLOZSJI,X,X,O,X,X,X,X,X,X,O,O
TJILSZO,O,X,X,O,X,O,O,X,X,X,X
TJILSOZ,O,X,X,O,X,O,X,O,X,X,X
TJILZSO,O,X,X,O,X,O,O,X,O,X,X
TJILZOS,X,X,X,X,X,X,O,O,X,X,X
TJILOSZ,O,X,X,X,X,O,X,O,X,X,X
TJILOZS,X,X,O,X,X,X,O,O,X,X,X
TJISLZO,O,X,X,O,X,X,X,X,X,X,X
TJISLOZ,O,X,X,O,X,X,X,O,X,X,X
TJISZLO,O,X,X,O,X,X,X,X,O,X,X
TJISZOL,O,X,X,O,X,X,X,X,O,X,X
TJISOLZ,O,X,X,O,X,X,X,O,X,X,X
TJISOZL,O,X,X,O,X,X,X,X,X,X,X
TJIZLSO,O,X,X,O,X,X,X,X,O,X,X
TJIZLOS,X,X,X,X,X,X,X,O,X,X,X
TJIZSLO,O,X,X,O,X,X,X,X,O,X,X
TJIZSOL,O,X,X,O,X,X,X,X,O,X,X
TJIZOLS,X,X,X,X,X,X,X,O,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,X,O,X,X,X,O,X,X,X
TJIOLZS,X,X,O,O,X,X,X,O,X,X,X
TJIOSLZ,O,X,X,O,X,X,X,O,X,X,X
TJIOSZL,O,X,X,O,X,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,X,X,O,X,X,X
TJIOZSL,X,X,X,O,X,X,X,X,O,X,X
TJLISZO,O,X,X,O,X,O,O,X,X,X,X
TJLISOZ,O,X,X,O,X,O,X,O,X,X,X
TJLIZSO,O,X,X,O,X,O,O,X,O,X,X
TJLIZOS,X,X,X,X,X,X,O,O,X,X,X
TJLIOSZ,O,X,X,X,X,O,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,O,O,X,X,X
TJLSIZO,O,X,X,O,X,O,O,X,X,X,X
TJLSIOZ,O,X,X,O,X,O,X,O,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,X,O,X,X,X
TJLSOZI,O,X,O,O,X,X,X,X,X,X,X
TJLZISO,O,X,O,O,X,O,O,X,O,X,X
TJLZIOS,O,X,O,X,X,X,O,O,X,X,X
TJLZSIO,O,X,O,O,X,X,X,X,O,X,X
TJLZSOI,O,X,O,O,X,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,X,X,O,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,O,X,O,X,X,X
TJLOIZS,X,X,O,X,X,X,O,O,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,O,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,O,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,X,X,X,X,X,X,X
TJSILOZ,O,X,X,O,X,X,X,O,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,O,X,X
TJSIZOL,O,X,X,O,X,X,X,X,O,X,X
TJSIOLZ,O,X,X,O,X,X,X,O,X,X,X
TJSIOZL,O,X,X,O,X,X,X,X,X,X,X
TJSLIZO,O,X,X,O,O,O,O,X,X,X,X
TJSLIOZ,O,X,X,O,X,O,X,O,X,X,X
TJSLZIO,O,X,X,O,O,X,X,X,X,X,X
TJSLZOI,O,X,X,O,O,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,X,O,X,X,X
TJSLOZI,O,X,O,O,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,X,O,X,X
TJSZIOL,O,X,X,O,X,X,X,X,O,X,X
TJSZLIO,O,X,X,O,O,X,X,X,O,X,X
TJSZLOI,O,X,X,O,O,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,O,X,X
TJSZOLI,O,X,X,O,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,X,X,X,O,X,X,X
TJSOIZL,O,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,O,X,X,X,O,X,X,X
TJSOLZI,O,X,O,O,X,X,X,X,X,X,X
TJSOZIL,O,X,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,X,O,X,X,X,X,X,X,X
TJZILSO,O,X,O,O,X,X,X,X,O,X,X
TJZILOS,O,X,O,X,X,X,X,O,X,X,X
TJZISLO,O,X,O,O,X,X,X,X,O,X,X
TJZISOL,O,X,O,O,X,X,X,X,O,X,X
TJZIOLS,O,X,O,X,X,X,X,O,X,X,X
TJZIOSL,O,X,O,X,X,X,X,X,O,X,X
TJZLISO,O,X,O,O,X,O,O,X,O,X,X
TJZLIOS,O,X,O,X,X,X,O,O,X,X,X
TJZLSIO,O,X,O,O,X,X,X,X,O,X,X
TJZLSOI,O,X,O,O,X,X,X,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X,O,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,O,X,X,X,X,O,X,X
TJZSIOL,O,X,O,O,X,X,X,X,O,X,X
TJZSLIO,O,X,O,O,O,X,X,X,O,X,X
TJZSLOI,O,X,O,O,O,X,X,X,X,X,X
TJZSOIL,O,X,O,O,X,X,X,X,O,X,X
TJZSOLI,O,X,O,O,X,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,O,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,O,X,X
TJZOLIS,O,X,O,X,X,X,X,O,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X,X,O,X,X
TJZOSLI,O,X,O,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,O,X,X,X,O,X,X,X
TJOILZS,X,X,O,O,X,X,X,O,X,X,X
TJOISLZ,O,X,X,O,X,X,X,O,X,X,X
TJOISZL,O,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,X,X,O,X,X,X,O,X,X,X
TJOIZSL,X,X,X,O,X,X,X,X,O,X,X
TJOLISZ,O,X,X,O,X,O,X,O,X,X,X
TJOLIZS,X,X,O,O,X,X,O,O,X,X,X
TJOLSIZ,O,X,X,O,X,X,X,O,X,X,X
TJOLSZI,O,X,O,O,X,X,X,X,X,X,X
TJOLZIS,X,X,O,O,X,X,X,O,X,X,X
TJOLZSI,X,X,O,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,X,X,O,X,X,X
TJOSIZL,O,X,X,O,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,O,X,X,X,O,X,X,X
TJOSLZI,O,X,O,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,O,X,X,X,X,X,X,X
TJOSZLI,O,X,X,O,X,X,X,X,X,X,X
TJOZILS,X,X,O,O,X,X,X,O,X,X,X
TJOZISL,X,X,O,O,X,X,X,X,O,X,X
TJOZLIS,X,X,O,O,X,X,X,O,X,X,X
TJOZLSI,X,X,O,O,X,X,X,X,X,X,X
TJOZSIL,X,X,O,O,X,X,X,X,O,X,X
TJOZSLI,X,X,O,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,O,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,O,X,X,X
TSILZJO,X,X,X,O,O,X,X,X,X,X,X
TSILZOJ,O,X,X,O,O,X,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,O,X,X,X
TSILOZJ,O,O,X,O,O,X,X,X,X,X,X
TSIJLZO,O,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X,O,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,O,X,X
TSIJZOL,O,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,O,X,O,X,X,X,O,X,X,X
TSIJOZL,O,O,X,O,X,X,X,X,X,X,X
TSIZLJO,X,X,X,O,O,X,X,X,O,X,X
TSIZLOJ,O,X,X,O,O,X,X,X,X,X,X
TSIZJLO,X,X,X,O,X,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X,X,X,O,X,X
TSIZOLJ,O,O,X,O,X,X,X,X,X,X,X
TSIZOJL,X,O,X,O,X,X,X,X,O,X,X
TSIOLJZ,O,O,X,O,X,X,X,O,X,X,X
TSIOLZJ,O,O,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,O,X,X,X,O,X,X,X
TSIOJZL,O,O,X,O,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,O,X,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X,X,X
TSLIJZO,O,X,X,O,O,O,O,X,X,X,X
TSLIJOZ,O,X,X,X,X,O,X,O,X,X,X
TSLIZJO,X,X,X,O,O,X,X,X,X,X,X
TSLIZOJ,O,X,X,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X,O,X,X,X
TSLIOZJ,O,O,X,O,O,X,X,X,X,X,X
TSLJIZO,O,X,X,O,O,O,O,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,X,O,X,X,X
TSLJZIO,O,X,X,O,O,X,X,X,X,X,X
TSLJZOI,O,X,X,X,O,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,X,O,X,X,X
TSLJOZI,O,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,X,X,O,O,X,X,X,X,X,X
TSLZIOJ,O,X,X,O,O,X,X,X,X,X,X
TSLZJIO,O,X,X,O,O,X,X,X,X,X,X
TSLZJOI,O,X,X,X,O,X,X,X,X,X,X
TSLZOIJ,O,X,X,O,O,X,X,X,X,X,X
TSLZOJI,O,X,X,X,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,O,X,X,X
TSLOIZJ,O,O,X,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,O,X,X,X
TSLOJZI,O,O,O,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,O,O,X,X,X,X,X,X
TSJILZO,O,X,X,O,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X,X,O,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,O,X,X
TSJIZOL,O,X,X,X,X,X,X,X,O,X,X
TSJIOLZ,O,O,X,O,X,X,X,O,X,X,X
TSJIOZL,O,O,X,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,O,O,O,X,X,X,X
TSJLIOZ,O,X,X,X,X,O,X,O,X,X,X
TSJLZIO,O,X,X,O,O,X,X,X,X,X,X
TSJLZOI,O,X,X,X,O,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,X,O,X,X,X
TSJLOZI,O,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,X,O,X,X
TSJZIOL,O,X,X,X,X,X,X,X,O,X,X
TSJZLIO,O,X,X,O,O,X,X,X,O,X,X
TSJZLOI,O,X,X,X,O,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X,O,X,X
