sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
TLSIOJZ,X,X,O,O,X,X,X,X,X
TLSIOZJ,X,X,O,O,X,X,X,X,X
TLSJIZO,X,O,O,X,X,O,X,X,X
TLSJIOZ,O,O,X,X,X,O,X,X,X
TLSJZIO,O,X,O,X,X,O,X,X,X
TLSJZOI,O,X,O,X,X,O,X,X,X
TLSJOIZ,O,O,O,O,X,O,X,X,X
TLSJOZI,O,X,O,O,X,O,X,X,X
TLSZIJO,O,X,O,X,O,X,X,X,X
TLSZIOJ,X,X,O,X,O,X,X,X,X
TLSZJIO,O,X,O,X,O,X,X,X,X
TLSZJOI,O,X,O,X,O,X,X,X,X
TLSZOIJ,X,X,O,O,O,X,X,X,X
TLSZOJI,X,X,O,O,O,X,X,X,X
TLSOIJZ,X,X,O,O,X,X,X,X,X
TLSOIZJ,X,X,O,O,X,X,X,X,X
TLSOJIZ,X,X,O,O,X,X,X,X,X
TLSOJZI,X,X,O,O,X,X,X,X,X
TLSOZIJ,X,X,O,O,O,X,X,X,X
TLSOZJI,X,X,O,O,O,X,X,X,X
TLZIJSO,X,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,O,X,X,X,X
TLZISJO,X,X,O,X,O,X,X,X,X
TLZISOJ,X,X,O,O,O,X,X,X,X
TLZIOJS,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,X,O,O,O,X,X,X,X
TLZJISO,X,X,X,X,O,X,X,X,X
TLZJIOS,O,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,X,O,X,X,X,X
TLZJSOI,X,X,X,X,O,X,X,X,X
TLZJOIS,O,X,X,X,O,X,X,X,X
TLZJOSI,X,X,X,X,O,X,X,X,X
TLZSIJO,X,X,O,X,O,X,X,X,X
TLZSIOJ,X,X,O,X,O,X,X,X,X
TLZSJIO,X,X,O,X,O,X,X,X,X
TLZSJOI,X,X,O,X,O,X,X,X,X
TLZSOIJ,X,X,O,O,O,X,X,X,X
TLZSOJI,X,X,O,O,O,X,X,X,X
TLZOIJS,X,X,X,X,O,X,X,X,X
TLZOISJ,X,X,O,O,O,X,X,X,X
TLZOJIS,X,X,X,X,O,X,X,X,X
TLZOJSI,X,X,X,X,O,X,X,X,X
TLZOSIJ,X,X,O,O,O,X,X,X,X
TLZOSJI,X,X,O,O,O,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,O,X,X
TLOISJZ,X,X,O,O,X,X,X,X,X
TLOISZJ,X,X,O,O,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,O,X,X
TLOIZSJ,X,X,O,O,O,X,X,X,X
TLOJISZ,X,X,O,O,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X
TLOJSIZ,X,X,O,O,X,X,X,X,X
TLOJSZI,X,X,O,O,X,X,X,X,X
TLOJZIS,X,X,X,X,O,X,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X,X
TLOSIJZ,X,X,O,O,X,X,X,X,X
TLOSIZJ,X,X,O,O,X,X,X,X,X
TLOSJIZ,X,X,O,O,X,X,X,X,X
TLOSJZI,X,X,O,O,X,X,X,X,X
TLOSZIJ,X,X,O,O,O,X,X,X,X
TLOSZJI,X,X,O,O,O,X,X,X,X
TLOZIJS,X,X,X,X,O,X,X,X,X
TLOZISJ,X,X,O,O,O,X,X,X,X
TLOZJIS,X,X,X,X,O,X,X,X,X
TLOZJSI,X,X,X,X,O,X,X,X,X
TLOZSIJ,X,X,O,O,O,X,X,X,X
TLOZSJI,X,X,O,O,O,X,X,X,X
TJILSZO,X,O,O,X,X,O,X,X,X
TJILSOZ,X,O,X,O,X,O,X,X,X
TJILZSO,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,O,X,X
TJILOSZ,O,O,O,O,X,O,X,X,X
TJILOZS,O,O,X,X,X,X,O,X,X
TJISLZO,X,O,O,X,X,O,X,X,X
TJISLOZ,O,O,X,O,X,O,X,X,X
TJISZLO,X,O,X,X,X,O,X,X,X
TJISZOL,X,O,X,X,X,O,X,X,X
TJISOLZ,O,O,X,O,X,O,X,X,X
TJISOZL,X,O,X,X,X,O,X,X,X
TJIZLSO,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,O,X,X
TJIZSLO,O,O,X,X,X,O,X,X,X
TJIZSOL,O,O,X,X,X,O,X,X,X
TJIZOLS,O,O,X,X,X,X,O,X,X
TJIZOSL,O,O,X,X,X,O,X,X,X
TJIOLSZ,O,O,X,O,X,O,X,X,X
TJIOLZS,O,O,X,X,X,X,O,X,X
TJIOSLZ,O,O,X,O,X,O,X,X,X
TJIOSZL,X,O,X,X,X,O,X,X,X
TJIOZLS,O,O,X,X,X,X,O,X,X
TJIOZSL,O,O,X,X,X,O,X,X,X
TJLISZO,X,O,O,X,X,O,X,X,X
TJLISOZ,X,O,X,O,X,O,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,O,X,X
TJLIOSZ,O,O,O,O,X,O,X,X,X
TJLIOZS,O,O,X,X,X,X,O,X,X
TJLSIZO,X,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,X,X,X,O,X,X,X
TJLSZIO,O,X,O,X,X,O,X,X,X
TJLSZOI,O,X,O,X,X,O,X,X,X
TJLSOIZ,O,O,O,O,X,O,X,X,X
TJLSOZI,O,X,O,O,X,O,X,X,X
TJLZISO,X,X,X,X,O,X,X,X,X
TJLZIOS,O,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,X,O,X,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X,X
TJLZOIS,O,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X
TJLOISZ,O,O,O,O,X,O,X,X,X
TJLOIZS,O,O,X,X,X,X,O,X,X
TJLOSIZ,O,O,O,O,X,O,X,X,X
TJLOSZI,O,X,O,O,X,O,X,X,X
TJLOZIS,O,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X,X
TJSILZO,X,O,O,X,X,O,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X,X
TJSIZLO,X,O,X,X,X,O,X,X,X
TJSIZOL,X,O,X,X,X,O,X,X,X
TJSIOLZ,O,O,X,X,X,O,X,X,X
TJSIOZL,X,O,X,X,X,O,X,X,X
TJSLIZO,X,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,X,X
TJSLZIO,O,X,O,X,X,O,X,X,X
TJSLZOI,O,X,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,O,X,O,X,X,X
TJSLOZI,O,X,O,O,X,O,X,X,X
TJSZILO,O,X,X,X,X,O,X,X,X
TJSZIOL,O,X,X,X,X,O,X,X,X
TJSZLIO,O,X,X,X,X,O,X,X,X
TJSZLOI,O,X,X,X,X,O,X,X,X
