sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
IJTOZSL,O,O,X,X,X,O,X,X,O
IJLTSZO,X,O,O,X,X,O,X,X,X
IJLTSOZ,X,O,X,O,X,O,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,O,X,X
IJLTOSZ,O,O,O,O,X,O,X,X,X
IJLTOZS,O,O,X,X,X,X,O,X,X
IJLSTZO,X,O,O,X,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,X,X,X,X
IJLSZTO,O,O,O,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,O,X,X
IJLSOTZ,O,O,X,O,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,O,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X,O,X,X
IJLZSTO,O,O,X,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,O,X,X
IJLZOTS,O,O,X,X,X,X,O,X,X
IJLZOST,O,O,X,X,X,X,O,X,X
IJLOTSZ,O,O,O,O,X,O,X,X,X
IJLOTZS,O,O,X,X,X,X,O,X,X
IJLOSTZ,O,O,O,O,X,X,X,X,X
IJLOSZT,O,O,O,X,X,X,O,X,X
IJLOZTS,O,O,X,X,X,X,O,X,X
IJLOZST,O,O,X,X,X,X,O,X,X
IJSTLZO,X,O,O,X,X,O,X,X,X
IJSTLOZ,O,O,X,O,X,O,X,X,X
IJSTZLO,X,O,X,X,X,O,X,X,X
IJSTZOL,X,O,X,X,X,O,X,X,X
IJSTOLZ,O,O,X,O,X,O,X,X,X
IJSTOZL,X,O,X,X,X,O,X,X,X
IJSLTZO,X,O,O,X,X,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,X,X,X
IJSLZTO,O,O,O,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,O,X,X
IJSLOTZ,O,O,X,O,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,O,X,X
IJSZTLO,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,O,X,X
IJSZOTL,O,O,X,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,O,X,X
IJSOTLZ,O,O,X,O,X,O,X,X,X
IJSOTZL,X,O,X,X,X,O,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,O,X,X
IJSOZTL,O,O,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,O,X,X
IJZTLSO,X,O,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,O,X,O
IJZTSLO,O,O,X,X,X,O,X,X,X
IJZTSOL,O,O,X,X,X,O,X,X,O
IJZTOLS,O,O,X,X,X,X,O,X,O
IJZTOSL,O,O,X,X,X,O,X,X,O
IJZLTSO,X,O,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,X,X,O,X,O
IJZLSTO,O,O,X,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,O,X,X
IJZLOTS,O,O,X,X,X,X,O,X,O
IJZLOST,O,O,X,X,X,X,O,X,X
IJZSTLO,O,O,X,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X,O
IJZSLTO,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,O,X,X
IJZSOTL,O,O,X,X,X,X,X,X,O
IJZSOLT,O,O,X,X,X,X,O,X,X
IJZOTLS,O,O,X,X,X,X,O,X,O
IJZOTSL,O,O,X,X,X,O,X,X,O
IJZOLTS,O,O,X,X,X,X,O,X,O
IJZOLST,O,O,X,X,X,X,O,X,X
IJZOSTL,O,O,X,X,X,X,X,X,O
IJZOSLT,O,O,X,X,X,X,O,X,X
IJOTLSZ,O,O,X,O,X,O,X,X,X
IJOTLZS,O,O,X,X,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,O,X,X,X
IJOTSZL,X,O,X,X,X,O,X,X,X
IJOTZLS,O,O,X,X,X,X,O,X,O
IJOTZSL,O,O,X,X,X,O,X,X,O
IJOLTSZ,O,O,X,O,X,O,X,X,X
IJOLTZS,O,O,X,X,X,X,O,X,X
IJOLSTZ,O,O,X,O,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X,O,X,X
IJOLZTS,O,O,X,X,X,X,O,X,X
IJOLZST,O,O,X,X,X,X,O,X,X
IJOSTLZ,O,O,X,O,X,O,X,X,X
IJOSTZL,X,O,X,X,X,O,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,O,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,O,X,X
IJOZTLS,O,O,X,X,X,X,O,X,O
IJOZTSL,O,O,X,X,X,O,X,X,O
IJOZLTS,O,O,X,X,X,X,O,X,O
IJOZLST,O,O,X,X,X,X,O,X,X
IJOZSTL,O,O,X,X,X,X,X,X,O
IJOZSLT,O,O,X,X,X,X,O,X,X
ISTLJZO,X,O,O,X,X,O,X,X,X
ISTLJOZ,O,O,X,O,X,O,X,X,X
ISTLZJO,X,O,O,X,X,X,X,X,X
ISTLZOJ,X,X,O,O,X,X,X,X,X
ISTLOJZ,X,X,O,O,X,X,X,X,X
ISTLOZJ,X,X,O,O,X,X,X,X,X
ISTJLZO,X,O,O,X,X,O,X,X,X
ISTJLOZ,O,O,X,O,X,O,X,X,X
ISTJZLO,X,O,X,X,X,O,X,X,X
ISTJZOL,X,O,X,X,X,O,X,X,X
ISTJOLZ,O,O,X,O,X,O,X,X,X
ISTJOZL,X,O,X,X,X,O,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X
ISTZLOJ,X,X,O,O,X,X,X,X,X
ISTZJLO,X,O,X,X,X,O,X,X,X
ISTZJOL,X,O,X,X,X,O,X,X,O
ISTZOLJ,X,X,X,O,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,O
ISTOLJZ,X,X,O,O,X,X,X,X,X
ISTOLZJ,X,X,O,O,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,O,X,X,X
ISTOJZL,X,X,X,X,X,O,X,X,X
ISTOZLJ,X,X,X,O,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,O
ISLTJZO,X,O,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X,X
ISLTZJO,X,O,O,X,X,X,X,X,X
ISLTZOJ,X,X,O,O,X,X,X,X,X
ISLTOJZ,X,X,O,O,X,X,X,X,X
ISLTOZJ,X,X,O,O,X,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X,X,X
ISLJTOZ,O,O,X,O,X,X,X,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,O,X,X
ISLJOTZ,O,O,X,O,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,O,X,X
ISLZTJO,O,O,O,X,X,X,X,X,X
ISLZTOJ,X,X,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,O,X,X
ISLZOTJ,X,X,O,O,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,O,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,X
ISLOTZJ,X,X,O,O,X,X,X,X,X
ISLOJTZ,O,O,O,O,X,X,X,X,X
ISLOJZT,O,O,O,X,X,X,O,X,X
ISLOZTJ,X,X,O,O,X,X,X,X,X
ISLOZJT,X,O,O,X,X,X,O,X,X
ISJTLZO,X,O,O,X,X,O,X,X,X
ISJTLOZ,O,O,X,O,X,O,X,X,X
ISJTZLO,X,O,X,X,X,O,X,X,X
ISJTZOL,X,O,X,X,X,O,X,X,X
ISJTOLZ,O,O,X,O,X,O,X,X,X
ISJTOZL,X,O,X,X,X,O,X,X,X
ISJLTZO,X,O,O,X,X,X,X,X,X
ISJLTOZ,O,O,X,O,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,O,X,X
ISJLOTZ,O,O,X,O,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,O,X,X
ISJZOTL,O,O,X,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,O,X,X
ISJOTLZ,O,O,X,O,X,O,X,X,X
ISJOTZL,X,O,X,X,X,O,X,X,X
ISJOLTZ,O,O,X,O,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,O,X,X
ISJOZTL,O,O,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,O,X,X
ISZTLJO,O,O,O,X,X,X,X,X,X
ISZTLOJ,X,X,O,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,O
ISZTOLJ,X,X,X,O,X,X,X,O,X
ISZTOJL,X,X,X,X,X,X,X,O,O
ISZLTJO,O,O,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,O,X,X
ISZLOTJ,X,X,O,O,X,X,X,O,X
ISZLOJT,O,O,X,X,X,X,O,O,X
ISZJTLO,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,O
ISZJLTO,O,O,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,O,X,X
ISZJOTL,O,O,X,X,X,X,X,O,O
ISZJOLT,O,O,X,X,X,X,O,O,X
ISZOTLJ,X,X,X,O,X,X,X,O,X
ISZOTJL,X,X,X,X,X,X,X,O,O
ISZOLTJ,X,X,X,O,X,X,X,O,X
ISZOLJT,O,O,X,X,X,X,O,O,X
ISZOJTL,O,O,X,X,X,X,X,O,O
ISZOJLT,O,O,X,X,X,X,O,O,X
ISOTLJZ,X,X,O,O,X,X,X,X,X
ISOTLZJ,X,X,O,O,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,O
ISOLTJZ,X,X,O,O,X,X,X,X,X
ISOLTZJ,X,X,O,O,X,X,X,X,X
ISOLJTZ,O,O,O,O,X,X,X,X,X
ISOLJZT,O,O,O,X,X,X,O,X,X
ISOLZTJ,X,X,O,O,X,X,X,O,X
ISOLZJT,X,O,O,X,X,X,O,O,X
ISOJTLZ,O,O,X,O,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,O,X,X
ISOJZTL,X,O,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,O,X,X
ISOZTLJ,X,X,X,O,X,X,X,O,X
ISOZTJL,X,X,X,X,X,X,X,O,O
ISOZLTJ,X,X,X,O,X,X,X,O,X
ISOZLJT,X,O,X,X,X,X,O,O,X
ISOZJTL,X,O,X,X,X,X,X,O,O
ISOZJLT,X,O,X,X,X,X,O,O,X
IZTLJSO,X,O,X,X,O,X,X,X,X
IZTLJOS,O,O,X,X,O,X,O,X,O
IZTLSJO,X,O,O,X,O,X,X,X,X
IZTLSOJ,X,X,O,O,O,X,X,X,X
IZTLOJS,X,X,X,X,O,X,O,X,O
IZTLOSJ,X,X,O,O,O,X,X,X,X
IZTJLSO,X,O,X,X,O,X,X,X,X
IZTJLOS,O,O,X,X,O,X,O,X,O
IZTJSLO,O,O,X,X,X,O,X,X,X
IZTJSOL,O,O,X,X,X,O,X,X,O
IZTJOLS,O,O,X,X,O,X,O,X,O
IZTJOSL,O,O,X,X,X,O,X,X,O
IZTSLJO,O,O,O,X,X,X,X,X,X
IZTSLOJ,X,X,O,O,X,X,X,X,X
IZTSJLO,O,O,X,X,X,O,X,X,X
IZTSJOL,O,O,X,X,X,O,X,X,O
IZTSOLJ,X,X,X,O,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,O
IZTOLJS,X,X,X,X,O,X,O,X,O
IZTOLSJ,X,X,X,O,O,X,X,X,X
IZTOJLS,X,X,X,X,O,X,O,X,O
IZTOJSL,X,X,X,X,X,X,X,X,O
IZTOSLJ,X,X,X,O,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,X,X,O
IZLTJSO,X,O,X,X,O,X,X,X,X
IZLTJOS,O,O,X,X,O,X,O,X,O
IZLTSJO,X,O,O,X,O,X,X,X,X
IZLTSOJ,X,X,O,O,O,X,X,X,X
IZLTOJS,X,X,X,X,O,X,O,X,O
IZLTOSJ,X,X,O,O,O,X,X,X,X
IZLJTSO,X,O,X,X,O,X,X,X,X
IZLJTOS,O,O,X,X,O,X,O,X,O
IZLJSTO,O,O,X,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,O,X,X
IZLJOTS,O,O,X,X,O,X,O,X,O
IZLJOST,O,O,X,X,X,X,O,X,X
IZLSTJO,O,O,O,X,X,X,X,X,X
IZLSTOJ,X,X,O,O,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,O,X,X
IZLSOTJ,X,X,O,O,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,O,X,X
IZLOTJS,X,X,X,X,O,X,O,X,O
IZLOTSJ,X,X,O,O,O,X,X,X,X
IZLOJTS,O,O,X,X,O,X,O,X,O
IZLOJST,O,O,X,X,X,X,O,X,X
IZLOSTJ,X,X,O,O,X,X,X,X,X
IZLOSJT,X,O,O,X,X,X,O,X,X
IZJTLSO,X,O,X,X,O,X,X,X,X
IZJTLOS,O,O,X,X,O,X,O,X,O
IZJTSLO,O,O,X,X,X,O,X,X,X
IZJTSOL,O,O,X,X,X,O,X,X,O
IZJTOLS,O,O,X,X,O,X,O,X,O
IZJTOSL,O,O,X,X,X,O,X,X,O
IZJLTSO,X,O,X,X,O,X,X,X,X
IZJLTOS,O,O,X,X,O,X,O,X,O
IZJLSTO,O,O,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,O,X,X
IZJLOTS,O,O,X,X,O,X,O,X,O
IZJLOST,O,O,X,X,X,X,O,X,X
IZJSTLO,O,O,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X,X,O
IZJSLTO,O,O,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,O,X,X
IZJSOTL,O,O,X,X,X,X,X,X,O
IZJSOLT,O,O,X,X,X,X,O,X,X
IZJOTLS,O,O,X,X,O,X,O,X,O
IZJOTSL,O,O,X,X,X,O,X,X,O
IZJOLTS,O,O,X,X,O,X,O,X,O
IZJOLST,O,O,X,X,X,X,O,X,X
IZJOSTL,O,O,X,X,X,X,X,X,O
IZJOSLT,O,O,X,X,X,X,O,X,X
IZSTLJO,O,O,O,X,X,X,X,X,X
IZSTLOJ,X,X,O,O,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X,O
IZSTOLJ,X,X,X,O,X,X,X,O,X
IZSTOJL,X,X,X,X,X,X,X,O,O
IZSLTJO,O,O,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,O,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,O,X,X
IZSLOTJ,X,X,O,O,X,X,X,O,X
IZSLOJT,O,O,X,X,X,X,O,O,X
IZSJTLO,O,O,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,O,X,X
IZSJOTL,O,O,X,X,X,X,X,O,O
IZSJOLT,O,O,X,X,X,X,O,O,X
IZSOTLJ,X,X,X,O,X,X,X,O,X
IZSOTJL,X,X,X,X,X,X,X,O,O
IZSOLTJ,X,X,X,O,X,X,X,O,X
IZSOLJT,O,O,X,X,X,X,O,O,X
IZSOJTL,O,O,X,X,X,X,X,O,O
IZSOJLT,O,O,X,X,X,X,O,O,X
IZOTLJS,X,X,X,X,O,X,O,X,O
IZOTLSJ,X,X,X,O,O,X,X,X,X
IZOTJLS,X,X,X,X,O,X,O,X,O
IZOTJSL,X,X,X,X,X,X,X,X,O
IZOTSLJ,X,X,X,O,X,X,X,X,X
IZOTSJL,X,X,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,X,O,X,O
IZOLTSJ,X,X,X,O,O,X,X,X,X
IZOLJTS,O,O,X,X,O,X,O,X,O
IZOLJST,O,O,X,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,X,X,X,O,X
IZOLSJT,X,O,X,X,X,X,O,O,X
IZOJTLS,O,O,X,X,O,X,O,X,O
IZOJTSL,O,O,X,X,X,X,X,X,O
IZOJLTS,O,O,X,X,O,X,O,X,O
IZOJLST,O,O,X,X,X,X,O,X,X
IZOJSTL,O,O,X,X,X,X,X,X,O
IZOJSLT,O,O,X,X,X,X,O,X,X
IZOSTLJ,X,X,X,O,X,X,X,O,X
IZOSTJL,X,X,X,X,X,X,X,O,O
IZOSLTJ,X,X,X,O,X,X,X,O,X
IZOSLJT,O,O,X,X,X,X,O,O,X
IZOSJTL,O,O,X,X,X,X,X,O,O
IZOSJLT,O,O,X,X,X,X,O,O,X
IOTLJSZ,X,X,O,O,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,O,X,X
IOTLSJZ,X,X,O,O,X,X,X,X,X
IOTLSZJ,X,X,O,O,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X,O,X,O
IOTLZSJ,X,X,O,O,O,X,X,X,X
IOTJLSZ,X,X,X,O,X,O,X,X,X
IOTJLZS,X,X,X,X,X,X,O,X,X
IOTJSLZ,X,X,X,O,X,O,X,X,X
IOTJSZL,X,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,X,O,X,O
IOTJZSL,X,X,X,X,X,O,X,X,O
IOTSLJZ,X,X,O,O,X,X,X,X,X
IOTSLZJ,X,X,O,O,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,O,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,X,X,X,X,X,X,O
IOTZLJS,X,X,X,X,O,X,O,X,O
IOTZLSJ,X,X,X,O,O,X,X,X,X
IOTZJLS,X,X,X,X,O,X,O,X,O
IOTZJSL,X,X,X,X,X,X,X,X,O
IOTZSLJ,X,X,X,O,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X,X,X,O
IOLTJSZ,X,X,O,O,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,O,O,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,O,X,O
IOLTZSJ,X,X,O,O,O,X,X,X,X
IOLJTSZ,O,O,O,O,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,O,X,X
IOLJSTZ,O,O,O,O,X,X,X,X,X
IOLJSZT,O,O,O,X,X,X,O,X,X
IOLJZTS,O,O,X,X,X,X,O,X,X
IOLJZST,O,O,X,X,X,X,O,X,X
IOLSTJZ,X,X,O,O,X,X,X,X,X
IOLSTZJ,X,X,O,O,X,X,X,X,X
IOLSJTZ,X,O,O,O,X,X,X,X,X
IOLSJZT,X,O,O,X,X,X,O,X,X
IOLSZTJ,X,X,O,O,X,X,X,O,X
IOLSZJT,X,O,O,X,X,X,O,O,X
IOLZTJS,X,X,X,X,O,X,O,X,O
IOLZTSJ,X,X,O,O,O,X,X,X,X
IOLZJTS,X,O,X,X,O,X,O,X,O
IOLZJST,X,O,X,X,X,X,O,X,X
IOLZSTJ,X,X,O,O,X,X,X,O,X
IOLZSJT,X,O,O,X,X,X,O,O,X
IOJTLSZ,O,O,X,O,X,O,X,X,X
IOJTLZS,O,O,X,X,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,O,X,X,X
IOJTSZL,X,O,X,X,X,O,X,X,X
IOJTZLS,O,O,X,X,X,X,O,X,O
IOJTZSL,O,O,X,X,X,O,X,X,O
IOJLTSZ,O,O,X,O,X,O,X,X,X
IOJLTZS,O,O,X,X,X,X,O,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,O,X,X
IOJLZTS,O,O,X,X,X,X,O,X,X
IOJLZST,O,O,X,X,X,X,O,X,X
IOJSTLZ,O,O,X,O,X,O,X,X,X
IOJSTZL,X,O,X,X,X,O,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,O,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,O,X,X
IOJZTLS,O,O,X,X,X,X,O,X,O
IOJZTSL,O,O,X,X,X,O,X,X,O
IOJZLTS,O,O,X,X,X,X,O,X,O
IOJZLST,O,O,X,X,X,X,O,X,X
IOJZSTL,O,O,X,X,X,X,X,X,O
IOJZSLT,O,O,X,X,X,X,O,X,X
IOSTLJZ,X,X,O,O,X,X,X,X,X
IOSTLZJ,X,X,O,O,X,X,X,X,X
IOSTJLZ,X,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,O
IOSLTJZ,X,X,O,O,X,X,X,X,X
IOSLTZJ,X,X,O,O,X,X,X,X,X
IOSLJTZ,O,O,O,O,X,X,X,X,X
IOSLJZT,O,O,O,X,X,X,O,X,X
IOSLZTJ,X,X,O,O,X,X,X,O,X
IOSLZJT,X,O,O,X,X,X,O,O,X
IOSJTLZ,O,O,X,O,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,O,X,X
IOSJZTL,X,O,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,O,X,X
IOSZTLJ,X,X,X,O,X,X,X,O,X
IOSZTJL,X,X,X,X,X,X,X,O,O
IOSZLTJ,X,X,X,O,X,X,X,O,X
IOSZLJT,X,O,X,X,X,X,O,O,X
IOSZJTL,X,O,X,X,X,X,X,O,O
IOSZJLT,X,O,X,X,X,X,O,O,X
IOZTLJS,X,X,X,X,O,X,O,X,O
IOZTLSJ,X,X,X,O,O,X,X,X,X
IOZTJLS,X,X,X,X,O,X,O,X,O
IOZTJSL,X,X,X,X,X,X,X,X,O
IOZTSLJ,X,X,X,O,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,O
IOZLTJS,X,X,X,X,O,X,O,X,O
IOZLTSJ,X,X,X,O,O,X,X,X,X
IOZLJTS,O,O,X,X,O,X,O,X,O
IOZLJST,O,O,X,X,X,X,O,X,X
IOZLSTJ,X,X,X,O,X,X,X,O,X
IOZLSJT,X,O,X,X,X,X,O,O,X
IOZJTLS,O,O,X,X,O,X,O,X,O
IOZJTSL,O,O,X,X,X,X,X,X,O
IOZJLTS,O,O,X,X,O,X,O,X,O
IOZJLST,O,O,X,X,X,X,O,X,X
IOZJSTL,O,O,X,X,X,X,X,X,O
IOZJSLT,O,O,X,X,X,X,O,X,X
IOZSTLJ,X,X,X,O,X,X,X,O,X
IOZSTJL,X,X,X,X,X,X,X,O,O
IOZSLTJ,X,X,X,O,X,X,X,O,X
IOZSLJT,O,O,X,X,X,X,O,O,X
IOZSJTL,O,O,X,X,X,X,X,O,O
IOZSJLT,O,O,X,X,X,X,O,O,X
LTIJSZO,X,O,O,X,X,O,X,X,X
LTIJSOZ,X,O,X,O,X,O,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,O,X,X
LTIJOSZ,O,O,O,O,X,O,X,X,X
LTIJOZS,O,O,X,X,X,X,O,X,X
LTISJZO,X,O,O,X,X,O,X,X,X
LTISJOZ,X,O,X,O,X,O,X,X,X
LTISZJO,X,O,O,X,X,X,X,X,X
LTISZOJ,X,X,O,O,X,X,X,X,X
LTISOJZ,X,X,O,O,X,X,X,X,X
LTISOZJ,X,X,O,O,X,X,X,X,X
LTIZJSO,X,O,X,X,O,X,X,X,X
LTIZJOS,X,O,X,X,O,X,O,X,X
LTIZSJO,X,O,O,X,O,X,X,X,X
LTIZSOJ,X,X,O,O,O,X,X,X,X
LTIZOJS,X,X,X,X,O,X,O,X,X
LTIZOSJ,X,X,O,O,O,X,X,X,X
LTIOJSZ,X,X,O,O,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,O,X,X
LTIOSJZ,X,X,O,O,X,X,X,X,X
LTIOSZJ,X,X,O,O,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X,O,X,X
LTIOZSJ,X,X,O,O,O,X,X,X,X
LTJISZO,X,O,O,X,X,O,X,X,X
LTJISOZ,X,O,X,O,X,O,X,X,X
LTJIZSO,X,O,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,O,X,X
LTJIOSZ,O,O,O,O,X,O,X,X,X
LTJIOZS,O,O,X,X,X,X,O,X,X
LTJSIZO,X,O,O,X,X,O,X,X,X
LTJSIOZ,O,O,X,X,X,O,X,X,X
LTJSZIO,O,X,O,X,X,O,X,X,X
LTJSZOI,O,X,O,X,X,O,X,X,X
LTJSOIZ,O,O,O,O,X,O,X,X,X
LTJSOZI,O,X,O,O,X,O,X,X,X
LTJZISO,X,X,X,X,O,X,X,X,X
LTJZIOS,O,X,X,X,O,X,X,X,X
LTJZSIO,X,X,X,X,O,X,X,X,X
LTJZSOI,X,X,X,X,O,X,X,X,X
LTJZOIS,O,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,X,O,X,X,X,X
LTJOISZ,O,O,O,O,X,O,X,X,X
LTJOIZS,O,O,X,X,X,X,O,X,X
LTJOSIZ,O,O,O,O,X,O,X,X,X
LTJOSZI,O,X,O,O,X,O,X,X,X
LTJOZIS,O,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,X,O,X,X,X,X
LTSIJZO,X,O,O,X,X,O,X,X,X
LTSIJOZ,O,O,X,O,X,O,X,X,X
LTSIZJO,X,O,O,X,X,X,X,X,X
LTSIZOJ,X,X,O,O,X,X,X,X,X
LTSIOJZ,X,X,O,O,X,X,X,X,X
LTSIOZJ,X,X,O,O,X,X,X,X,X
LTSJIZO,X,O,O,X,X,O,X,X,X
LTSJIOZ,O,O,X,X,X,O,X,X,X
LTSJZIO,O,X,O,X,X,O,X,X,X
LTSJZOI,O,X,O,X,X,O,X,X,X
