sequence,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeFBJvhFXiB8nBxkBi?kBzpBmrB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB/pBO?qBxrBasB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFVmBziB2pBx?rBasB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFxgBXiB8nBl?pBmrBiqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFziB2pBRmBi?mBFsB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUBJvhFziB/pBFlBx?rBasBmpB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUAJvhFRhBziBimBm?pBFsB/pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFRiBilBfsBl?nBmlB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jex/IvhFXhB8nBikB1?rBzpBOsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB2pBRmBi?mBFsBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFVmBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB/pBRmBO?qBimBFsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFRhBynB/pBO?qBTmBcsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeaGJvhFFiB8nBxkBf?sBTkBeqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je2EJvhFRmB3nBFlBT?mB0pBisB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeTEJvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhF8nBypBRmB2?rBXqBFsB
TIOJLZS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJSZL,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIOJZLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJZSL,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOZJSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZSJL,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLISOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TLIOJZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIOZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJZISO,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJISO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O
TLZOISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZOJIS,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLOIJZS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLOISZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TLOIZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOIZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOZISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILZSO,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TJISLZO,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISLOZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISZOL,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TJISOLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJISOZL,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TJIZLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZLOS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIZOSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
