sequence,v115@RhA8BeB8EeF8AeC8Je/EJvhFRgBzhBGjBilBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgBymBGjBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFzhBfoB6oBxkB0kBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFFiB6oBxkBfsBzsB0pB,v115@RhA8BeB8EeF8AeC8Jex/IvhFylBFiBTjB0kBfsBWyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFmhBSoBxlBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhF6oBxlBmnBXlBlmBcsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFUjBxlBOsBXqBlrBSyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgB+oBXlB0mBlnBisB,v115@RhA8BeB8EeF8AeC8JeT/IvhFSoBxlBVsBXlBUoBmrB
TIOLZJS,O,O,X,X,X,O,X,X,X,O
TIOLZSJ,O,O,X,X,X,X,X,X,X,O
TIOJLSZ,X,X,O,O,X,O,O,X,X,O
TIOJLZS,X,X,X,X,X,O,O,X,X,O
TIOJSLZ,X,X,O,O,X,O,X,X,X,X
TIOJSZL,X,X,O,O,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,O,X,O,X,X
TIOJZSL,X,X,O,X,X,X,X,O,X,X
TIOSLJZ,O,X,O,O,X,O,X,X,X,O
TIOSLZJ,O,X,O,O,X,X,X,X,X,O
TIOSJLZ,X,X,O,O,X,O,X,X,X,X
TIOSJZL,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,X,X,X
TIOSZJL,O,X,O,O,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,O,X,X,X,O
TIOZLSJ,O,O,X,X,X,X,X,X,X,O
TIOZJLS,O,O,X,X,X,O,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X
TLIJSZO,X,O,O,X,O,X,X,X,X,X
TLIJSOZ,X,O,O,X,O,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,O,O,O,O,O,X,X,O
TLIJOZS,X,O,X,X,X,O,O,X,X,O
TLISJZO,O,O,O,X,O,X,X,X,X,X
TLISJOZ,O,O,O,X,O,O,X,X,X,X
TLISZJO,O,O,O,X,O,X,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,O,O,X,X,X,O
TLISOZJ,O,O,O,X,X,X,X,X,X,O
TLIZJSO,O,O,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,O,X,X,X,O
TLIZOSJ,O,O,X,X,X,X,X,X,X,O
TLIOJSZ,X,X,O,O,X,O,O,X,X,O
TLIOJZS,X,O,X,X,X,O,O,X,X,O
TLIOSJZ,O,O,O,O,X,O,X,X,X,O
TLIOSZJ,O,O,O,O,X,X,X,X,X,O
TLIOZJS,O,O,X,X,X,O,X,X,X,O
TLIOZSJ,O,O,X,X,X,X,X,X,X,O
TLJISZO,X,O,O,X,O,X,X,X,X,X
TLJISOZ,X,O,O,X,O,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,O,O,O,O,O,X,X,O
TLJIOZS,X,O,X,X,X,O,O,X,X,O
TLJSIZO,O,O,O,X,O,X,X,X,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,X,X
TLJSZIO,O,O,O,X,O,X,X,X,X,X
TLJSZOI,O,O,O,X,O,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,X,X
TLJSOZI,O,O,O,X,O,X,X,X,X,X
TLJZISO,O,O,X,X,O,X,X,X,X,X
TLJZIOS,O,O,X,X,O,O,X,X,X,X
TLJZSIO,O,O,X,X,O,X,X,X,X,X
TLJZSOI,O,O,X,X,O,X,X,X,X,X
TLJZOIS,O,O,X,X,O,O,X,X,X,X
TLJZOSI,O,O,X,X,O,X,X,X,X,X
TLJOISZ,X,X,O,O,O,O,O,X,X,O
TLJOIZS,X,O,X,X,X,O,O,X,X,O
TLJOSIZ,O,X,O,O,O,O,X,X,X,X
TLJOSZI,O,X,O,O,O,X,X,X,X,X
TLJOZIS,O,O,X,X,O,O,X,X,X,X
TLJOZSI,O,O,X,X,O,X,X,X,X,X
TLSIJZO,O,O,O,X,O,X,X,X,X,X
TLSIJOZ,O,O,O,X,O,O,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,O,X,X,X,X,X
TLSIOJZ,O,O,O,X,O,O,X,X,X,O
TLSIOZJ,O,O,O,X,X,X,X,X,X,O
TLSJIZO,O,O,O,X,O,X,X,X,X,X
TLSJIOZ,O,O,O,X,O,O,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X,X,X
TLSJZOI,O,O,O,X,O,X,X,X,X,X
TLSJOIZ,O,O,O,X,O,O,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,X,X,X
TLSZIJO,O,O,O,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,O,X,X,X,X,X
TLSZJOI,O,O,O,X,O,X,X,X,X,X
TLSZOIJ,O,O,O,X,O,X,X,X,X,X
TLSZOJI,O,O,O,X,O,X,X,X,X,X
TLSOIJZ,O,O,O,X,O,O,X,X,X,O
TLSOIZJ,O,O,O,X,X,X,X,X,X,O
TLSOJIZ,O,O,O,X,O,O,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,X,X,X
TLSOZJI,O,O,O,X,O,X,X,X,X,X
TLZIJSO,O,O,X,X,O,X,X,X,X,X
TLZIJOS,O,O,X,X,O,O,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,X,X,X,X
TLZIOJS,O,O,X,X,X,O,X,X,X,O
TLZIOSJ,O,O,X,X,X,X,X,X,X,O
TLZJISO,O,O,X,X,O,X,X,X,X,X
TLZJIOS,O,O,X,X,O,O,X,X,X,X
TLZJSIO,O,O,X,X,O,X,X,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X,X,X
TLZJOIS,O,O,X,X,O,O,X,X,X,X
TLZJOSI,O,O,X,X,O,X,X,X,X,X
TLZSIJO,O,O,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,X,X,O,X,X,X,X,X
TLZSJIO,O,O,X,X,O,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,X,X,O,X,X,X,X,X
TLZSOJI,O,O,X,X,O,X,X,X,X,X
TLZOIJS,O,O,X,X,X,O,X,X,X,O
TLZOISJ,O,O,X,X,X,X,X,X,X,O
TLZOJIS,O,O,X,X,X,O,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,O,O,X,X,O
TLOIJZS,X,O,X,X,X,O,O,X,X,O
TLOISJZ,O,O,O,O,X,O,X,X,X,O
TLOISZJ,O,O,O,O,X,X,X,X,X,O
TLOIZJS,O,O,X,X,X,O,X,X,X,O
TLOIZSJ,O,O,X,X,X,X,X,X,X,O
TLOJISZ,X,X,O,O,X,O,O,X,X,O
TLOJIZS,X,O,X,X,X,O,O,X,X,O
TLOJSIZ,O,X,O,O,X,O,X,X,X,X
TLOJSZI,O,X,O,O,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,O,X,O,X,X,X,O
TLOSIZJ,O,O,O,O,X,X,X,X,X,O
TLOSJIZ,O,O,O,O,X,O,X,X,X,X
TLOSJZI,O,O,O,O,X,X,X,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,O,X,X,X,O
TLOZISJ,O,O,X,X,X,X,X,X,X,O
TLOZJIS,O,O,X,X,X,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,X,O,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,O,O,X,O,O,X,X,O
TJILOZS,X,X,X,X,X,O,O,X,X,O
TJISLZO,X,X,O,X,X,X,X,X,X,X
TJISLOZ,X,X,O,O,X,O,X,X,X,X
TJISZLO,X,X,O,X,X,X,X,X,O,X
TJISZOL,X,X,O,O,X,X,X,X,O,X
TJISOLZ,X,X,O,O,X,O,X,X,X,X
TJISOZL,X,X,O,O,X,X,X,X,O,X
TJIZLSO,X,X,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,X,O,X,X,X,X,X,O,X
TJIZSOL,X,X,O,X,X,X,X,X,O,X
TJIZOLS,X,X,X,X,X,O,X,O,X,X
TJIZOSL,X,X,O,X,X,X,X,O,O,X
TJIOLSZ,X,X,O,O,X,O,O,X,X,O
TJIOLZS,X,X,X,X,X,O,O,X,X,O
TJIOSLZ,X,X,O,O,X,O,X,X,X,X
TJIOSZL,X,X,O,O,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,O,X,X
TJIOZSL,X,X,O,X,X,X,X,O,X,X
TJLISZO,X,O,O,X,O,X,X,X,X,X
TJLISOZ,X,O,O,X,O,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,O,O,O,O,O,X,X,O
TJLIOZS,X,O,X,X,X,O,O,X,X,O
TJLSIZO,O,O,O,X,O,X,X,X,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,X,X
TJLSZIO,O,O,O,X,O,X,X,X,O,X
TJLSZOI,O,O,O,X,O,X,X,X,O,X
TJLSOIZ,O,O,O,X,O,O,X,X,X,X
TJLSOZI,O,O,O,X,O,X,X,X,O,X
TJLZISO,O,O,X,X,O,X,X,X,O,X
TJLZIOS,O,O,X,X,O,O,X,X,X,X
TJLZSIO,O,O,X,X,O,X,X,X,O,X
TJLZSOI,O,O,X,X,O,X,X,X,O,X
TJLZOIS,O,O,X,X,O,O,X,X,X,X
TJLZOSI,O,O,X,X,O,X,X,X,X,X
TJLOISZ,X,X,O,O,O,O,O,X,X,O
TJLOIZS,X,O,X,X,X,O,O,X,X,O
TJLOSIZ,O,X,O,O,O,O,X,X,X,X
TJLOSZI,O,X,O,O,O,X,X,X,X,X
TJLOZIS,O,O,X,X,O,O,X,X,X,X
TJLOZSI,O,O,X,X,O,X,X,X,X,X
TJSILZO,O,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,O,O,O,O,X,X,X,X
TJSIZLO,O,O,O,X,O,X,X,X,O,X
TJSIZOL,O,O,O,O,O,X,X,X,O,X
TJSIOLZ,X,O,O,O,O,O,X,X,X,X
TJSIOZL,O,O,O,O,O,X,X,X,O,X
TJSLIZO,O,O,O,X,O,X,X,X,X,X
TJSLIOZ,O,O,O,O,O,O,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,O,X
TJSLZOI,O,O,O,X,O,X,X,X,O,X
TJSLOIZ,O,O,O,O,O,O,X,X,X,X
TJSLOZI,O,O,O,O,O,X,X,X,O,X
TJSZILO,O,O,O,X,O,X,X,X,O,X
TJSZIOL,O,O,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,X,O,X,X,X,O,X
TJSZLOI,O,O,O,X,O,X,X,X,O,X
TJSZOIL,O,O,O,O,O,X,X,X,O,X
TJSZOLI,O,O,O,O,O,X,X,X,O,X
TJSOILZ,X,O,O,O,O,O,X,X,X,X
TJSOIZL,O,O,O,O,O,X,X,X,O,X
TJSOLIZ,O,O,O,O,O,O,X,X,X,X
TJSOLZI,O,O,O,O,O,X,X,X,O,X
TJSOZIL,O,O,O,O,O,X,X,X,O,X
TJSOZLI,O,O,O,O,O,X,X,X,O,X
TJZILSO,O,O,X,X,O,X,X,X,O,X
TJZILOS,O,O,X,X,O,O,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,O,X
TJZISOL,O,O,O,X,O,X,X,X,O,X
TJZIOLS,O,O,X,X,O,O,X,O,X,X
TJZIOSL,O,X,O,X,O,X,X,O,O,X
TJZLISO,O,O,X,X,O,X,X,X,O,X
TJZLIOS,O,O,X,X,O,O,X,X,X,X
TJZLSIO,O,O,X,X,O,X,X,X,O,X
TJZLSOI,O,O,X,X,O,X,X,X,O,X
TJZLOIS,O,O,X,X,O,O,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,X,O,X,X,X,O,X
TJZSIOL,O,O,O,X,O,X,X,X,O,X
TJZSLIO,O,O,O,X,O,X,X,X,O,X
TJZSLOI,O,O,O,X,O,X,X,X,O,X
TJZSOIL,O,O,O,X,O,X,X,X,O,X
TJZSOLI,O,O,O,X,O,X,X,X,O,X
TJZOILS,O,O,X,X,O,O,X,O,X,X
TJZOISL,O,X,O,X,O,X,X,O,O,X
TJZOLIS,O,O,X,X,O,O,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X,X,O,X
TJZOSLI,O,O,O,X,O,X,X,X,O,X
TJOILSZ,X,X,O,O,X,O,O,X,X,O
TJOILZS,X,X,X,X,X,O,O,X,X,O
TJOISLZ,X,X,O,O,X,O,X,X,X,X
TJOISZL,X,X,O,O,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,O,X,O,X,X
TJOIZSL,X,X,O,X,X,X,X,O,X,X
TJOLISZ,X,X,O,O,O,O,O,X,X,O
TJOLIZS,X,O,X,X,X,O,O,X,X,O
TJOLSIZ,O,X,O,O,O,O,X,X,X,X
TJOLSZI,O,X,O,O,O,X,X,X,X,X
TJOLZIS,O,O,X,X,O,O,X,X,X,X
TJOLZSI,O,O,X,X,O,X,X,X,X,X
TJOSILZ,X,X,O,O,O,O,X,X,X,X
TJOSIZL,O,X,O,O,O,X,X,X,O,X
TJOSLIZ,O,X,O,O,O,O,X,X,X,X
TJOSLZI,O,X,O,O,O,X,X,X,O,X
TJOSZIL,O,X,O,O,O,X,X,X,O,X
TJOSZLI,O,X,O,O,O,X,X,X,O,X
TJOZILS,O,O,X,X,O,O,X,O,X,X
TJOZISL,O,X,O,X,O,X,X,O,O,X
TJOZLIS,O,O,X,X,O,O,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X,X
TJOZSIL,O,X,O,X,O,X,X,X,O,X
TJOZSLI,O,O,O,X,O,X,X,X,O,X
TSILJZO,O,O,O,X,O,X,X,X,X,X
TSILJOZ,O,O,O,O,O,O,X,X,X,X
TSILZJO,O,O,O,X,O,X,X,X,X,X
TSILZOJ,O,O,O,X,O,X,X,X,X,X
TSILOJZ,O,O,O,O,O,O,X,X,X,O
TSILOZJ,O,O,O,O,X,X,X,X,X,O
TSIJLZO,O,O,O,X,O,X,X,X,X,X
TSIJLOZ,O,O,O,O,O,O,X,X,X,X
TSIJZLO,O,O,O,X,O,X,X,X,O,X
TSIJZOL,O,O,O,O,O,X,X,X,O,X
TSIJOLZ,X,O,O,O,O,O,X,X,X,X
TSIJOZL,O,O,O,O,O,X,X,X,O,X
TSIZLJO,O,O,O,X,O,X,X,X,X,X
TSIZLOJ,O,O,O,X,O,X,X,X,X,X
TSIZJLO,O,O,O,X,O,X,X,X,O,X
TSIZJOL,O,O,O,O,O,X,X,X,O,X
TSIZOLJ,O,O,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,O,O,X,X,X,O,X
TSIOLJZ,O,O,O,O,X,O,X,X,X,O
TSIOLZJ,O,O,O,O,X,X,X,X,X,O
TSIOJLZ,X,O,O,O,X,O,X,X,X,X
TSIOJZL,O,O,O,O,X,X,X,X,O,X
TSIOZLJ,O,O,O,O,X,X,X,X,X,X
TSIOZJL,O,O,O,O,X,X,X,X,O,X
TSLIJZO,O,O,O,X,O,X,X,X,X,X
TSLIJOZ,O,O,O,O,O,O,X,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,O,O,X,X,X,O
TSLIOZJ,O,O,O,O,X,X,X,X,X,O
TSLJIZO,O,O,O,X,O,X,X,X,X,X
TSLJIOZ,O,O,O,O,O,O,X,X,X,X
TSLJZIO,O,O,O,X,O,X,X,X,X,X
TSLJZOI,O,O,O,X,O,X,X,X,X,X
TSLJOIZ,O,O,O,O,O,O,X,X,X,X
TSLJOZI,O,O,O,O,O,X,X,X,X,X
TSLZIJO,O,O,O,X,O,X,X,X,X,X
TSLZIOJ,O,O,O,X,O,X,X,X,X,X
TSLZJIO,O,O,O,X,O,X,X,X,X,X
TSLZJOI,O,O,O,X,O,X,X,X,X,X
TSLZOIJ,O,O,O,X,O,X,X,X,X,X
TSLZOJI,O,O,O,X,O,X,X,X,X,X
TSLOIJZ,O,O,O,O,O,O,X,X,X,O
TSLOIZJ,O,O,O,O,X,X,X,X,X,O
TSLOJIZ,O,O,O,O,O,O,X,X,X,X
TSLOJZI,O,O,O,O,O,X,X,X,X,X
TSLOZIJ,O,O,O,O,O,X,X,X,X,X
TSLOZJI,O,O,O,O,O,X,X,X,X,X
TSJILZO,O,O,O,X,O,X,X,X,X,X
TSJILOZ,O,O,O,O,O,O,X,X,X,X
TSJIZLO,O,O,O,X,O,X,X,X,O,X
TSJIZOL,O,O,O,O,O,X,X,X,O,X
TSJIOLZ,X,O,O,O,O,O,X,X,X,X
TSJIOZL,O,O,O,O,O,X,X,X,O,X
TSJLIZO,O,O,O,X,O,X,X,X,X,X
TSJLIOZ,O,O,O,O,O,O,X,X,X,X
TSJLZIO,O,O,O,X,O,X,X,X,O,X
TSJLZOI,O,O,O,X,O,X,X,X,O,X
TSJLOIZ,O,O,O,O,O,O,X,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X,O,X
TSJZILO,O,O,O,X,O,X,X,X,O,X
TSJZIOL,O,O,O,O,O,X,X,X,O,X
TSJZLIO,O,O,O,X,O,X,X,X,O,X
TSJZLOI,O,O,O,X,O,X,X,X,O,X
TSJZOIL,O,O,O,O,O,X,X,X,O,X
TSJZOLI,O,O,O,O,O,X,X,X,O,X
TSJOILZ,X,O,O,O,O,O,X,X,X,X
TSJOIZL,O,O,O,O,O,X,X,X,O,X
TSJOLIZ,O,O,O,O,O,O,X,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X,O,X
TSJOZIL,O,O,O,O,O,X,X,X,O,X
TSJOZLI,O,O,O,O,O,X,X,X,O,X
TSZILJO,O,O,O,X,O,X,X,X,X,X
TSZILOJ,O,O,O,X,O,X,X,X,X,X
TSZIJLO,O,O,O,X,O,X,X,X,O,X
TSZIJOL,O,O,O,O,O,X,X,X,O,X
TSZIOLJ,O,O,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,O,O,X,X,X,O,X
TSZLIJO,O,O,O,X,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,O,X,X,X,X,X
TSZLJOI,O,O,O,X,O,X,X,X,X,X
TSZLOIJ,O,O,O,X,O,X,X,X,X,X
TSZLOJI,O,O,O,X,O,X,X,X,X,X
TSZJILO,O,O,O,X,O,X,X,X,O,X
TSZJIOL,O,O,O,O,O,X,X,X,O,X
TSZJLIO,O,O,O,X,O,X,X,X,O,X
TSZJLOI,O,O,O,X,O,X,X,X,O,X
TSZJOIL,O,O,O,O,O,X,X,X,O,X
TSZJOLI,O,O,O,O,O,X,X,X,O,X
TSZOILJ,O,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,O,X,X,X,O,X
TSZOLIJ,O,O,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,O,O,X,X,X,O,X
TSZOJLI,O,O,O,O,O,X,X,X,O,X
TSOILJZ,O,O,O,O,X,O,X,X,X,O
TSOILZJ,O,O,O,O,X,X,X,X,X,O
TSOIJLZ,X,O,O,O,X,O,X,X,X,X
TSOIJZL,O,O,O,O,X,X,X,X,O,X
TSOIZLJ,O,O,O,O,X,X,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,X,O,X
TSOLIJZ,O,O,O,O,O,O,X,X,X,O
TSOLIZJ,O,O,O,O,X,X,X,X,X,O
TSOLJIZ,O,O,O,O,O,O,X,X,X,X
