sequence,v115@RhB8EeA8BeE8AeD8Jex/IvhF8lBzhBfoB6oBmkBlrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgBzhBSoB3lBUoBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFzhBGjBRlBUoB3lBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFRhBziB+oBFlBXmB8rB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgB3hBCjB1qB8rBTtB,v115@RhB8EeA8BeE8AeD8Jex/IvhFlhBfoB6oBmkBzlB8rB,v115@RhB8EeA8BeE8AeD8Jei/IvhFxiBUlBFmBXnBToBGrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFChBxiB/rBFsBTtBUqB,v115@RhB8EeA8BeE8AeD8Jei/IvhFWmBUlBxnB/rBFsBTtB
TIZLJOS,X,X,O,O,O,X,X,X,O
TIZLSJO,O,X,O,O,O,X,X,X,X
TIZLSOJ,O,X,O,O,O,X,O,X,X
TIZLOJS,X,X,O,O,O,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,O,X,X
TIZJLSO,O,X,O,O,O,X,X,X,O
TIZJLOS,O,X,O,O,O,X,X,X,O
TIZJSLO,O,X,O,O,O,X,X,X,X
TIZJSOL,O,X,O,O,O,X,X,X,X
TIZJOLS,O,X,O,O,O,X,X,X,X
TIZJOSL,O,X,O,O,O,X,X,X,X
TIZSLJO,O,X,O,O,O,X,X,X,X
TIZSLOJ,O,X,O,O,O,X,O,X,X
TIZSJLO,O,X,O,O,O,X,X,X,X
TIZSJOL,O,X,O,O,O,X,X,X,X
TIZSOLJ,O,X,O,O,O,X,O,X,X
TIZSOJL,O,X,O,O,O,X,O,X,X
TIZOLJS,X,X,O,O,O,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,O,X,X
TIZOJLS,O,X,O,O,O,X,X,X,X
TIZOJSL,O,X,O,O,O,X,X,X,X
TIZOSLJ,O,X,O,X,O,X,O,X,X
TIZOSJL,O,X,O,X,O,X,O,X,X
TIOLJSZ,X,O,X,O,O,X,X,O,X
TIOLJZS,X,X,O,O,O,X,X,X,X
TIOLSJZ,X,O,X,X,O,X,X,O,X
TIOLSZJ,X,O,O,X,O,X,X,O,X
TIOLZJS,X,X,O,X,O,X,X,X,X
TIOLZSJ,X,X,O,X,O,X,X,X,X
TIOJLSZ,X,O,X,O,O,X,X,O,X
TIOJLZS,X,X,O,O,O,X,X,X,X
TIOJSLZ,O,O,X,O,O,X,X,O,X
TIOJSZL,O,O,X,X,O,X,X,O,X
TIOJZLS,O,X,O,O,O,X,X,X,X
TIOJZSL,O,X,O,X,O,X,X,O,X
TIOSLJZ,O,O,X,X,O,X,X,O,X
TIOSLZJ,O,O,O,X,O,X,O,O,X
TIOSJLZ,O,O,X,X,O,X,X,O,X
TIOSJZL,O,O,X,X,O,X,O,O,X
TIOSZLJ,O,O,O,X,O,X,O,O,X
TIOSZJL,O,O,O,X,O,X,O,O,X
TIOZLJS,X,X,O,X,O,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,O,X,X
TIOZJLS,O,X,O,X,O,X,X,X,X
TIOZJSL,O,X,O,X,O,X,X,O,X
TIOZSLJ,O,X,O,X,O,X,O,O,X
TIOZSJL,O,X,O,X,O,X,O,O,X
TLIJSZO,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,O,X,O,X,X,X,X,X
TLIJZSO,X,X,O,O,O,X,X,X,X
TLIJZOS,X,X,O,O,O,X,X,X,X
TLIJOSZ,X,O,X,O,O,X,X,X,X
TLIJOZS,X,X,O,O,O,X,X,X,X
TLISJZO,X,O,X,X,O,X,X,X,X
TLISJOZ,X,O,X,O,X,X,X,X,X
TLISZJO,X,O,O,X,O,X,X,X,X
TLISZOJ,X,O,O,X,O,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X,X,X
TLIZJSO,X,X,O,O,O,X,X,X,O
TLIZJOS,X,X,O,O,O,X,X,X,O
TLIZSJO,X,X,O,O,O,X,X,X,X
TLIZSOJ,X,X,O,O,O,X,X,X,X
TLIZOJS,X,X,O,O,O,X,X,X,X
TLIZOSJ,X,X,O,X,O,X,X,X,X
TLIOJSZ,X,O,X,O,O,X,X,X,X
TLIOJZS,X,X,O,O,O,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,X,X,X
TLIOSZJ,X,O,O,X,O,X,X,X,X
TLIOZJS,X,X,O,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,X,X
TLJISOZ,X,O,X,O,X,X,X,X,X
TLJIZSO,X,X,O,O,O,X,X,X,X
TLJIZOS,X,X,O,O,O,X,X,X,X
TLJIOSZ,X,O,X,O,O,X,X,X,X
TLJIOZS,X,X,O,O,O,X,X,X,X
TLJSIZO,O,O,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X
TLJSZIO,O,O,X,O,O,X,X,X,X
TLJSZOI,O,O,X,O,O,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X
TLJZISO,O,X,O,O,O,X,X,X,X
TLJZIOS,O,X,O,O,O,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X
TLJZOIS,O,X,O,O,O,X,X,X,X
TLJZOSI,O,O,O,O,O,X,X,X,X
TLJOISZ,X,O,X,O,O,X,X,O,X
TLJOIZS,X,X,O,O,O,X,X,X,X
TLJOSIZ,O,O,X,O,O,X,X,X,X
TLJOSZI,O,O,X,O,O,X,X,X,X
TLJOZIS,O,X,O,O,O,X,X,X,X
TLJOZSI,O,O,O,O,O,X,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,X
TLSIZOJ,O,O,O,X,O,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,X,X,X,X,X
TLSJIZO,O,O,X,X,O,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,O,X,O,X,X
TLSZJIO,O,O,O,O,O,X,X,X,X
TLSZJOI,O,O,O,O,O,X,O,X,X
TLSZOIJ,O,O,O,O,O,X,O,X,X
TLSZOJI,O,O,O,O,O,X,O,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X,X
TLSOZJI,O,O,O,X,X,X,O,X,X
TLZIJSO,X,X,O,O,O,X,X,X,O
TLZIJOS,X,X,O,O,O,X,X,X,O
TLZISJO,O,X,O,O,O,X,X,X,X
TLZISOJ,O,X,O,O,O,X,O,X,X
TLZIOJS,X,X,O,O,O,X,X,X,X
TLZIOSJ,O,X,O,X,O,X,O,X,X
TLZJISO,O,X,O,O,O,X,X,X,O
TLZJIOS,O,X,O,O,O,X,X,X,O
TLZJSIO,O,O,O,O,O,X,X,X,X
TLZJSOI,O,O,O,O,O,X,O,X,X
TLZJOIS,O,X,O,O,O,X,X,X,X
TLZJOSI,O,O,O,O,O,X,O,X,X
TLZSIJO,O,O,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,O,X,X
TLZSJIO,O,O,O,O,O,X,X,X,X
TLZSJOI,O,O,O,O,O,X,O,X,X
TLZSOIJ,O,O,O,O,O,X,O,X,X
TLZSOJI,O,O,O,O,O,X,O,X,X
TLZOIJS,X,X,O,O,O,X,X,X,X
TLZOISJ,O,X,O,X,O,X,O,X,X
TLZOJIS,O,X,O,O,O,X,X,X,X
TLZOJSI,O,O,O,O,O,X,O,X,X
TLZOSIJ,O,O,O,O,O,X,O,X,X
TLZOSJI,O,O,O,O,O,X,O,X,X
TLOIJSZ,X,O,X,O,O,X,X,O,X
TLOIJZS,X,X,O,O,O,X,X,X,X
TLOISJZ,X,O,X,X,O,X,X,O,X
TLOISZJ,X,O,O,X,O,X,O,O,X
TLOIZJS,X,X,O,X,O,X,X,X,X
TLOIZSJ,X,X,O,X,O,X,O,X,X
TLOJISZ,X,O,X,O,O,X,X,O,X
TLOJIZS,X,X,O,O,O,X,X,X,X
TLOJSIZ,O,O,X,O,O,X,X,X,X
TLOJSZI,O,O,X,O,O,X,X,X,X
TLOJZIS,O,X,O,O,O,X,X,X,X
TLOJZSI,O,O,O,O,O,X,X,X,X
TLOSIJZ,O,O,X,X,O,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,O,X,X
TLOSJIZ,O,O,X,X,O,X,X,X,X
TLOSJZI,O,O,X,X,O,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,O,X,X
TLOSZJI,O,O,O,X,O,X,O,X,X
TLOZIJS,X,X,O,O,O,X,X,X,X
TLOZISJ,O,X,O,X,O,X,O,X,X
TLOZJIS,O,X,O,O,O,X,X,X,X
TLOZJSI,O,O,O,O,O,X,O,X,X
TLOZSIJ,O,O,O,O,O,X,O,X,X
TLOZSJI,O,O,O,O,O,X,O,X,X
TJILSZO,X,O,X,X,O,X,X,X,X
TJILSOZ,X,O,X,O,X,X,X,X,X
TJILZSO,X,X,O,O,O,X,X,X,X
TJILZOS,X,X,O,O,O,X,X,X,X
TJILOSZ,X,O,X,O,O,X,X,X,X
TJILOZS,X,X,O,O,O,X,X,X,X
TJISLZO,O,O,X,X,O,O,X,X,X
TJISLOZ,O,O,X,O,X,O,X,X,X
TJISZLO,O,O,X,X,O,O,X,X,X
TJISZOL,O,O,X,X,O,O,X,X,X
TJISOLZ,O,O,X,O,O,O,X,X,X
TJISOZL,O,O,X,X,O,O,X,X,X
TJIZLSO,O,X,O,O,O,O,X,X,X
TJIZLOS,O,X,O,O,O,X,X,X,X
TJIZSLO,O,X,O,O,O,O,X,X,X
TJIZSOL,O,X,O,O,O,O,X,X,X
TJIZOLS,O,X,O,O,O,X,X,X,X
TJIZOSL,O,X,O,O,O,O,X,X,X
TJIOLSZ,X,O,X,O,O,X,X,O,X
TJIOLZS,X,X,O,O,O,X,X,X,X
TJIOSLZ,O,O,X,O,O,O,X,O,X
TJIOSZL,O,O,X,X,O,O,X,O,X
TJIOZLS,O,X,O,O,O,O,X,X,X
TJIOZSL,O,X,O,O,O,O,X,O,X
TJLISZO,X,O,X,X,O,X,X,X,X
TJLISOZ,X,O,X,O,X,X,X,X,X
TJLIZSO,X,X,O,O,O,X,X,X,X
TJLIZOS,X,X,O,O,O,X,X,X,X
TJLIOSZ,X,O,X,O,O,X,X,X,X
TJLIOZS,X,X,O,O,O,X,X,X,X
TJLSIZO,O,O,X,X,O,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X,X,X
TJLSZIO,O,O,X,O,O,X,X,X,X
TJLSZOI,O,O,X,O,O,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X
TJLZISO,O,X,O,O,O,X,X,X,X
TJLZIOS,O,X,O,O,O,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,X,X
TJLZSOI,O,O,O,O,O,X,X,X,X
TJLZOIS,O,X,O,O,O,X,X,X,X
TJLZOSI,O,O,O,O,O,X,X,X,X
TJLOISZ,X,O,X,O,O,X,X,O,X
TJLOIZS,X,X,O,O,O,X,X,X,X
TJLOSIZ,O,O,X,O,O,X,X,X,X
TJLOSZI,O,O,X,O,O,X,X,X,X
TJLOZIS,O,X,O,O,O,X,X,X,X
TJLOZSI,O,O,O,O,O,X,X,X,X
TJSILZO,O,O,X,X,O,O,X,X,X
TJSILOZ,O,O,X,O,X,O,X,O,X
TJSIZLO,O,O,X,X,O,O,X,X,X
TJSIZOL,O,O,X,X,O,O,X,X,X
TJSIOLZ,O,O,X,O,O,O,X,O,X
TJSIOZL,O,O,X,X,O,O,X,O,X
TJSLIZO,O,O,X,X,O,O,X,X,X
TJSLIOZ,O,O,X,O,X,O,X,O,X
TJSLZIO,O,O,X,O,O,O,X,X,X
TJSLZOI,O,O,X,O,O,O,X,O,X
TJSLOIZ,O,O,X,O,X,O,X,O,X
TJSLOZI,O,O,X,O,X,O,X,O,X
TJSZILO,O,O,X,O,O,O,X,X,X
TJSZIOL,O,O,X,O,O,O,X,X,X
TJSZLIO,O,O,X,O,O,O,X,X,X
TJSZLOI,O,O,X,O,O,O,O,O,X
TJSZOIL,O,O,X,O,O,O,O,O,X
TJSZOLI,O,O,X,O,O,O,O,O,X
TJSOILZ,O,O,X,O,O,O,X,O,X
TJSOIZL,O,O,X,X,O,O,O,O,X
TJSOLIZ,O,O,X,O,O,O,X,O,X
TJSOLZI,O,O,X,O,O,O,X,O,X
TJSOZIL,O,O,X,O,O,O,O,O,X
TJSOZLI,O,O,X,O,O,O,O,O,X
TJZILSO,O,X,O,O,O,O,X,X,X
TJZILOS,O,X,O,O,O,X,X,X,X
TJZISLO,O,X,O,O,O,O,X,X,X
TJZISOL,O,X,O,O,O,O,X,X,X
TJZIOLS,O,X,O,O,O,X,X,X,X
TJZIOSL,O,X,O,O,O,O,X,X,X
TJZLISO,O,X,O,O,O,O,X,X,X
TJZLIOS,O,X,O,O,O,X,X,X,X
TJZLSIO,O,O,O,O,O,O,X,X,X
TJZLSOI,O,O,O,O,O,O,O,X,X
TJZLOIS,O,X,O,O,O,X,X,X,X
TJZLOSI,O,O,O,O,O,X,O,X,X
TJZSILO,O,O,O,O,O,O,X,X,X
TJZSIOL,O,O,O,O,O,O,X,X,X
TJZSLIO,O,O,O,O,O,O,X,X,X
TJZSLOI,O,O,O,O,O,O,O,X,X
TJZSOIL,O,O,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X
TJZOILS,O,X,O,O,O,O,X,X,X
TJZOISL,O,X,O,O,O,O,X,O,X
TJZOLIS,O,X,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,O,O,X,X
TJZOSIL,O,O,O,O,O,O,O,X,X
TJZOSLI,O,O,O,O,O,O,O,X,X
TJOILSZ,X,O,X,O,O,X,X,O,X
TJOILZS,X,X,O,O,O,X,X,X,X
TJOISLZ,O,O,X,O,O,O,X,O,X
TJOISZL,O,O,X,X,O,O,X,O,X
TJOIZLS,O,X,O,O,O,O,X,X,X
TJOIZSL,O,X,O,O,O,O,X,O,X
TJOLISZ,X,O,X,O,O,X,X,O,X
TJOLIZS,X,X,O,O,O,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,X,X,X
TJOLSZI,O,O,X,O,O,X,X,X,X
TJOLZIS,O,X,O,O,O,X,X,X,X
TJOLZSI,O,O,O,O,O,X,X,X,X
TJOSILZ,O,O,X,O,O,O,X,O,X
TJOSIZL,O,O,X,X,O,O,O,O,X
TJOSLIZ,O,O,X,O,O,O,X,O,X
TJOSLZI,O,O,X,O,O,O,X,O,X
TJOSZIL,O,O,X,O,O,O,O,O,X
TJOSZLI,O,O,X,O,O,O,O,O,X
TJOZILS,O,X,O,O,O,O,X,X,X
TJOZISL,O,X,O,O,O,O,X,O,X
TJOZLIS,O,X,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,O,O,X,X
TJOZSIL,O,O,O,O,O,O,O,X,X
TJOZSLI,O,O,O,O,O,O,O,X,X
TSILJZO,O,O,X,X,O,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X,O,X
TSILZJO,O,O,O,X,O,X,X,X,X
TSILZOJ,O,O,O,X,O,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,O,X
TSILOZJ,O,O,O,X,X,X,X,O,X
TSIJLZO,O,O,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X,O,X
TSIJZLO,O,O,X,X,O,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X,X
TSIJOLZ,O,O,X,O,O,X,X,O,X
TSIJOZL,O,O,X,X,O,X,X,O,X
TSIZLJO,O,O,O,X,O,X,X,X,X
TSIZLOJ,O,O,O,X,O,X,O,X,X
TSIZJLO,O,O,O,X,O,X,X,X,X
TSIZJOL,O,O,O,X,O,X,X,X,X
TSIZOLJ,O,O,O,X,O,X,O,X,X
TSIZOJL,O,O,O,X,O,X,O,X,X
TSIOLJZ,O,O,X,X,O,X,X,O,X
TSIOLZJ,O,O,O,X,O,X,O,O,X
TSIOJLZ,O,O,X,X,O,X,X,O,X
TSIOJZL,O,O,X,X,O,X,O,O,X
TSIOZLJ,O,O,O,X,O,X,O,O,X
TSIOZJL,O,O,O,X,O,X,O,O,X
TSLIJZO,O,O,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,O,X
TSLIZJO,O,O,O,X,O,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,O,X
TSLIOZJ,O,O,O,X,X,X,X,O,X
TSLJIZO,O,O,X,X,O,O,X,X,X
TSLJIOZ,O,O,X,O,X,O,X,O,X
TSLJZIO,O,O,X,O,O,O,X,X,X
TSLJZOI,O,O,X,O,O,O,X,O,X
TSLJOIZ,O,O,X,O,X,O,X,O,X
TSLJOZI,O,O,X,O,X,O,X,O,X
TSLZIJO,O,O,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,O,O,O,X,X
TSLZJIO,O,O,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,O,O,O,X
TSLOIJZ,O,O,X,X,X,X,X,O,X
TSLOIZJ,O,O,O,X,X,O,O,O,X
TSLOJIZ,O,O,X,X,X,O,X,O,X
TSLOJZI,O,O,X,X,X,O,X,O,X
TSLOZIJ,O,O,O,X,X,O,O,O,X
TSLOZJI,O,O,O,X,X,O,O,O,X
TSJILZO,O,O,X,X,O,O,X,X,X
TSJILOZ,O,O,X,O,X,O,X,O,X
TSJIZLO,O,O,X,X,O,O,X,X,X
TSJIZOL,O,O,X,X,O,O,X,X,X
TSJIOLZ,O,O,X,O,O,O,X,O,X
TSJIOZL,O,O,X,X,O,O,X,O,X
TSJLIZO,O,O,X,X,O,O,X,X,X
TSJLIOZ,O,O,X,O,X,O,X,O,X
TSJLZIO,O,O,X,O,O,O,X,X,X
TSJLZOI,O,O,X,O,O,O,X,O,X
TSJLOIZ,O,O,X,O,X,O,X,O,X
TSJLOZI,O,O,X,O,X,O,X,O,X
TSJZILO,O,O,X,O,O,O,X,X,X
TSJZIOL,O,O,X,O,O,O,X,X,X
TSJZLIO,O,O,X,O,O,O,X,X,X
TSJZLOI,O,O,X,O,O,O,O,O,X
TSJZOIL,O,O,X,O,O,O,O,O,X
TSJZOLI,O,O,X,O,O,O,O,O,X
TSJOILZ,O,O,X,O,O,O,X,O,X
TSJOIZL,O,O,X,X,O,O,O,O,X
TSJOLIZ,O,O,X,O,O,O,X,O,X
TSJOLZI,O,O,X,O,O,O,X,O,X
TSJOZIL,O,O,X,O,O,O,O,O,X
TSJOZLI,O,O,X,O,O,O,O,O,X
TSZILJO,O,O,O,O,O,O,X,X,X
TSZILOJ,O,O,O,O,O,O,O,X,X
TSZIJLO,O,O,O,O,O,O,X,X,X
TSZIJOL,O,O,O,O,O,O,X,X,X
TSZIOLJ,O,O,O,O,O,O,O,X,X
TSZIOJL,O,O,O,O,O,O,O,X,X
TSZLIJO,O,O,O,O,O,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,O,X,X
TSZLJIO,O,O,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,O,O,O,X
TSZJOLI,O,O,O,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,O,O,O,X
TSZOIJL,O,O,O,O,O,O,O,O,X
TSZOLIJ,O,O,O,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,O,O,O,X
TSZOJLI,O,O,O,O,O,O,O,O,X
TSOILJZ,O,O,X,X,O,X,X,O,X
TSOILZJ,O,O,O,X,O,O,O,O,X
TSOIJLZ,O,O,X,X,O,X,X,O,X
TSOIJZL,O,O,X,X,O,X,O,O,X
TSOIZLJ,O,O,O,X,O,O,O,O,X
TSOIZJL,O,O,O,X,O,O,O,O,X
TSOLIJZ,O,O,X,X,O,X,X,O,X
TSOLIZJ,O,O,O,X,O,O,O,O,X
TSOLJIZ,O,O,X,X,O,O,X,O,X
TSOLJZI,O,O,X,X,O,O,X,O,X
TSOLZIJ,O,O,O,X,O,O,O,O,X
TSOLZJI,O,O,O,X,O,O,O,O,X
TSOJILZ,O,O,X,X,O,O,X,O,X
TSOJIZL,O,O,X,X,O,O,O,O,X
TSOJLIZ,O,O,X,X,O,O,X,O,X
TSOJLZI,O,O,X,X,O,O,X,O,X
TSOJZIL,O,O,X,X,O,O,O,O,X
TSOJZLI,O,O,X,X,O,O,O,O,X
TSOZILJ,O,O,O,X,O,O,O,O,X
TSOZIJL,O,O,O,X,O,O,O,O,X
TSOZLIJ,O,O,O,X,O,O,O,O,X
TSOZLJI,O,O,O,X,O,O,O,O,X
TSOZJIL,O,O,O,X,O,O,O,O,X
TSOZJLI,O,O,O,X,O,O,O,O,X
TZILJSO,X,X,O,O,O,X,X,X,O
TZILJOS,X,X,O,O,O,X,X,X,O
TZILSJO,O,X,O,O,O,X,X,X,X
TZILSOJ,O,X,O,O,O,X,O,X,X
TZILOJS,X,X,O,O,O,X,X,X,X
TZILOSJ,O,X,O,X,O,X,O,X,X
TZIJLSO,O,X,O,O,O,O,X,X,O
TZIJLOS,O,X,O,O,O,X,X,X,O
TZIJSLO,O,X,O,O,O,O,X,X,X
TZIJSOL,O,X,O,O,O,O,X,X,X
TZIJOLS,O,X,O,O,O,X,X,X,X
TZIJOSL,O,X,O,O,O,O,X,X,X
TZISLJO,O,X,O,O,O,O,X,X,X
TZISLOJ,O,X,O,O,O,O,O,X,X
TZISJLO,O,X,O,O,O,O,X,X,X
TZISJOL,O,X,O,O,O,O,X,X,X
TZISOLJ,O,X,O,O,O,O,O,X,X
TZISOJL,O,X,O,O,O,O,O,X,X
TZIOLJS,X,X,O,O,O,X,X,X,X
TZIOLSJ,O,X,O,X,O,O,O,X,X
TZIOJLS,O,X,O,O,O,O,X,X,X
TZIOJSL,O,X,O,O,O,O,X,X,X
TZIOSLJ,O,X,O,X,O,O,O,X,X
TZIOSJL,O,X,O,X,O,O,O,X,X
