sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
TJSIOLZ,X,O,X,X
TJSIOZL,X,O,X,O
TJSLIZO,X,O,X,X
TJSLIOZ,X,O,X,X
TJSLZIO,X,O,X,X
TJSLZOI,X,X,O,X
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,O,X
TJSZILO,X,O,X,O
TJSZIOL,X,X,X,O
TJSZLIO,X,O,X,O
TJSZLOI,X,X,O,O
TJSZOIL,X,X,O,O
TJSZOLI,X,X,O,O
TJSOILZ,X,O,O,X
TJSOIZL,X,O,X,O
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,O,X
TJSOZIL,X,O,X,O
TJSOZLI,X,O,X,O
TJZILSO,O,X,X,O
TJZILOS,O,X,X,O
TJZISLO,O,X,X,O
TJZISOL,O,X,X,O
TJZIOLS,O,X,X,O
TJZIOSL,O,X,X,O
TJZLISO,O,X,X,O
TJZLIOS,O,X,X,O
TJZLSIO,O,X,X,O
TJZLSOI,O,X,O,O
TJZLOIS,O,X,O,O
TJZLOSI,O,X,O,O
TJZSILO,O,X,X,O
TJZSIOL,O,X,X,O
TJZSLIO,O,X,X,O
TJZSLOI,O,X,O,O
TJZSOIL,O,X,O,O
TJZSOLI,O,X,O,O
TJZOILS,O,X,O,O
TJZOISL,O,X,O,O
TJZOLIS,O,X,O,O
TJZOLSI,O,X,O,O
TJZOSIL,O,X,O,O
TJZOSLI,O,X,O,O
TJOILSZ,X,O,O,X
TJOILZS,O,X,X,X
TJOISLZ,X,O,O,X
TJOISZL,X,O,X,O
TJOIZLS,O,X,X,O
TJOIZSL,O,X,X,O
TJOLISZ,X,O,O,X
TJOLIZS,O,X,X,X
TJOLSIZ,X,O,O,X
TJOLSZI,X,O,O,X
TJOLZIS,O,X,X,X
TJOLZSI,O,X,X,X
TJOSILZ,X,O,O,X
TJOSIZL,X,O,X,O
TJOSLIZ,X,O,O,X
TJOSLZI,X,O,O,X
