sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
LIZTSOJ,O,X,X,O
LIZTOJS,O,X,X,O
LIZTOSJ,O,X,X,O
LIZJTSO,O,X,X,O
LIZJTOS,O,X,X,O
LIZJSTO,O,O,X,O
LIZJSOT,O,O,O,X
LIZJOTS,O,X,O,X
LIZJOST,O,O,O,X
LIZSTJO,O,O,X,O
LIZSTOJ,O,X,X,O
LIZSJTO,O,O,X,O
LIZSJOT,O,O,O,X
LIZSOTJ,O,O,O,X
LIZSOJT,O,O,O,X
LIZOTJS,O,X,O,X
LIZOTSJ,O,X,O,X
LIZOJTS,O,X,O,X
LIZOJST,O,O,O,X
LIZOSTJ,O,O,O,X
LIZOSJT,O,O,O,X
LIOTJSZ,X,O,O,X
LIOTJZS,O,X,X,X
LIOTSJZ,X,O,O,X
LIOTSZJ,X,O,X,X
LIOTZJS,O,X,X,X
LIOTZSJ,O,X,X,X
LIOJTSZ,X,O,O,X
LIOJTZS,O,X,X,X
LIOJSTZ,X,O,O,X
LIOJSZT,O,O,O,X
LIOJZTS,O,X,X,X
LIOJZST,O,O,O,X
LIOSTJZ,X,O,O,X
LIOSTZJ,X,O,X,X
LIOSJTZ,X,O,O,X
LIOSJZT,O,O,O,X
LIOSZTJ,O,O,X,X
LIOSZJT,O,O,O,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,X,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,O,O,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,O,X
LJTISZO,X,O,X,X
LJTISOZ,X,O,X,X
LJTIZSO,O,X,X,X
LJTIZOS,O,X,X,X
LJTIOSZ,X,O,X,X
LJTIOZS,O,X,X,X
LJTSIZO,X,O,X,X
LJTSIOZ,X,O,X,X
LJTSZIO,X,O,X,X
LJTSZOI,X,X,O,X
LJTSOIZ,X,O,O,X
LJTSOZI,X,O,O,X
LJTZISO,O,X,X,X
LJTZIOS,O,X,X,X
LJTZSIO,O,X,X,X
LJTZSOI,O,X,O,X
LJTZOIS,O,X,O,X
LJTZOSI,O,X,O,X
LJTOISZ,X,O,O,X
LJTOIZS,O,X,X,X
LJTOSIZ,X,O,O,X
LJTOSZI,X,O,O,X
LJTOZIS,O,X,X,X
LJTOZSI,O,X,X,X
LJITSZO,X,O,X,X
LJITSOZ,X,O,X,X
LJITZSO,O,X,X,X
LJITZOS,O,X,X,X
LJITOSZ,X,O,X,X
LJITOZS,O,X,X,X
LJISTZO,X,O,X,X
LJISTOZ,X,O,X,X
LJISZTO,O,O,X,X
LJISZOT,O,O,O,X
LJISOTZ,X,O,O,X
LJISOZT,O,O,O,X
LJIZTSO,O,X,X,X
LJIZTOS,O,X,X,X
LJIZSTO,O,O,X,X
LJIZSOT,O,O,O,X
LJIZOTS,O,X,O,X
LJIZOST,O,O,O,X
LJIOTSZ,X,O,O,X
LJIOTZS,O,X,X,X
LJIOSTZ,X,O,O,X
LJIOSZT,O,O,O,X
LJIOZTS,O,X,X,X
LJIOZST,O,O,O,X
LJSTIZO,X,O,X,X
LJSTIOZ,X,O,X,X
LJSTZIO,X,O,X,X
LJSTZOI,X,X,O,X
LJSTOIZ,X,O,O,X
LJSTOZI,X,O,O,X
LJSITZO,X,O,X,X
LJSITOZ,X,O,X,X
LJSIZTO,O,O,X,X
LJSIZOT,O,O,O,X
LJSIOTZ,X,O,O,X
LJSIOZT,O,O,O,X
LJSZTIO,O,O,X,X
LJSZTOI,O,X,O,X
LJSZITO,O,O,X,X
LJSZIOT,O,O,O,X
LJSZOTI,O,O,O,X
LJSZOIT,O,O,O,X
LJSOTIZ,X,O,O,X
LJSOTZI,X,O,O,X
LJSOITZ,X,O,O,X
LJSOIZT,O,O,O,X
LJSOZTI,O,O,O,X
LJSOZIT,O,O,O,X
LJZTISO,O,X,X,X
LJZTIOS,O,X,X,X
LJZTSIO,O,X,X,X
LJZTSOI,O,X,O,X
LJZTOIS,O,X,O,X
LJZTOSI,O,X,O,X
LJZITSO,O,X,X,X
LJZITOS,O,X,X,X
LJZISTO,O,O,X,X
LJZISOT,O,O,O,X
LJZIOTS,O,X,O,X
LJZIOST,O,O,O,X
LJZSTIO,O,O,X,X
LJZSTOI,O,X,O,X
LJZSITO,O,O,X,X
LJZSIOT,O,O,O,X
LJZSOTI,O,O,O,X
LJZSOIT,O,O,O,X
LJZOTIS,O,X,O,X
LJZOTSI,O,X,O,X
LJZOITS,O,X,O,X
LJZOIST,O,O,O,X
LJZOSTI,O,O,O,X
LJZOSIT,O,O,O,X
LJOTISZ,X,O,O,X
LJOTIZS,O,X,X,X
LJOTSIZ,X,O,O,X
LJOTSZI,X,O,O,X
LJOTZIS,O,X,X,X
LJOTZSI,O,X,X,X
LJOITSZ,X,O,O,X
LJOITZS,O,X,X,X
LJOISTZ,X,O,O,X
LJOISZT,O,O,O,X
LJOIZTS,O,X,X,X
LJOIZST,O,O,O,X
LJOSTIZ,X,O,O,X
LJOSTZI,X,O,O,X
LJOSITZ,X,O,O,X
LJOSIZT,O,O,O,X
LJOSZTI,O,O,O,X
LJOSZIT,O,O,O,X
LJOZTIS,O,X,O,X
LJOZTSI,O,X,O,X
LJOZITS,O,X,O,X
LJOZIST,O,O,O,X
LJOZSTI,O,O,O,X
LJOZSIT,O,O,O,X
LSTIJZO,X,O,X,X
LSTIJOZ,X,O,X,X
LSTIZJO,X,O,X,O
LSTIZOJ,X,X,X,O
LSTIOJZ,X,O,X,X
LSTIOZJ,X,O,X,O
LSTJIZO,X,O,X,X
LSTJIOZ,X,O,X,X
LSTJZIO,X,O,X,X
LSTJZOI,X,X,O,X
LSTJOIZ,X,O,O,X
LSTJOZI,X,O,O,X
LSTZIJO,X,O,X,O
LSTZIOJ,X,X,X,O
LSTZJIO,X,O,X,O
LSTZJOI,X,X,O,O
LSTZOIJ,X,X,O,O
LSTZOJI,X,X,O,O
LSTOIJZ,X,O,O,X
LSTOIZJ,X,O,X,O
LSTOJIZ,X,O,O,X
LSTOJZI,X,O,O,X
LSTOZIJ,X,O,X,O
LSTOZJI,X,O,X,O
LSITJZO,X,O,X,X
LSITJOZ,X,O,X,X
LSITZJO,X,O,X,O
LSITZOJ,X,X,X,O
LSITOJZ,X,O,X,X
LSITOZJ,X,O,X,O
LSIJTZO,X,O,X,X
LSIJTOZ,X,O,X,X
LSIJZTO,O,O,X,X
LSIJZOT,O,O,O,X
LSIJOTZ,X,O,O,X
LSIJOZT,O,O,O,X
LSIZTJO,O,O,X,O
LSIZTOJ,O,X,X,O
LSIZJTO,O,O,X,O
LSIZJOT,O,O,O,X
LSIZOTJ,O,O,O,X
LSIZOJT,O,O,O,X
LSIOTJZ,X,O,O,X
LSIOTZJ,X,O,X,X
LSIOJTZ,X,O,O,X
LSIOJZT,O,O,O,X
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,O,X
LSJTIZO,X,O,X,X
LSJTIOZ,X,O,X,X
LSJTZIO,X,O,X,X
LSJTZOI,X,X,O,X
LSJTOIZ,X,O,O,X
LSJTOZI,X,O,O,X
LSJITZO,X,O,X,X
LSJITOZ,X,O,X,X
LSJIZTO,O,O,X,X
LSJIZOT,O,O,O,X
LSJIOTZ,X,O,O,X
LSJIOZT,O,O,O,X
LSJZTIO,O,O,X,X
LSJZTOI,O,X,O,X
LSJZITO,O,O,X,X
LSJZIOT,O,O,O,X
LSJZOTI,O,O,O,X
LSJZOIT,O,O,O,X
LSJOTIZ,X,O,O,X
LSJOTZI,X,O,O,X
LSJOITZ,X,O,O,X
LSJOIZT,O,O,O,X
LSJOZTI,O,O,O,X
LSJOZIT,O,O,O,X
LSZTIJO,O,O,X,O
LSZTIOJ,O,X,X,O
LSZTJIO,O,O,X,O
LSZTJOI,O,X,O,O
LSZTOIJ,O,X,O,O
LSZTOJI,O,X,O,O
LSZITJO,O,O,X,O
LSZITOJ,O,X,X,O
LSZIJTO,O,O,X,O
LSZIJOT,O,O,O,X
LSZIOTJ,O,O,O,X
LSZIOJT,O,O,O,X
LSZJTIO,O,O,X,O
LSZJTOI,O,X,O,O
LSZJITO,O,O,X,O
LSZJIOT,O,O,O,X
LSZJOTI,O,O,O,X
LSZJOIT,O,O,O,X
LSZOTIJ,O,O,O,X
LSZOTJI,O,O,O,X
LSZOITJ,O,O,O,X
LSZOIJT,O,O,O,X
LSZOJTI,O,O,O,X
LSZOJIT,O,O,O,X
LSOTIJZ,X,O,O,X
LSOTIZJ,X,O,X,X
LSOTJIZ,X,O,O,X
LSOTJZI,X,O,O,X
LSOTZIJ,X,O,X,X
LSOTZJI,X,O,X,X
LSOITJZ,X,O,O,X
LSOITZJ,X,O,X,X
LSOIJTZ,X,O,O,X
LSOIJZT,O,O,O,X
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,O,X
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,O,X
LSOJIZT,O,O,O,X
LSOJZTI,O,O,O,X
LSOJZIT,O,O,O,X
LSOZTIJ,O,O,O,X
LSOZTJI,O,O,O,X
LSOZITJ,O,O,O,X
LSOZIJT,O,O,O,X
LSOZJTI,O,O,O,X
LSOZJIT,O,O,O,X
LZTIJSO,O,X,X,O
LZTIJOS,O,X,X,O
LZTISJO,O,X,X,O
LZTISOJ,O,X,X,O
LZTIOJS,O,X,X,O
LZTIOSJ,O,X,X,O
LZTJISO,O,X,X,O
LZTJIOS,O,X,X,O
LZTJSIO,O,X,X,O
LZTJSOI,O,X,O,O
LZTJOIS,O,X,O,O
LZTJOSI,O,X,O,O
LZTSIJO,O,X,X,O
LZTSIOJ,O,X,X,O
LZTSJIO,O,X,X,O
LZTSJOI,O,X,O,O
LZTSOIJ,O,X,O,O
LZTSOJI,O,X,O,O
LZTOIJS,O,X,O,O
LZTOISJ,O,X,O,O
LZTOJIS,O,X,O,O
LZTOJSI,O,X,O,O
LZTOSIJ,O,X,O,O
LZTOSJI,O,X,O,O
LZITJSO,O,X,X,O
LZITJOS,O,X,X,O
LZITSJO,O,X,X,O
LZITSOJ,O,X,X,O
LZITOJS,O,X,X,O
LZITOSJ,O,X,X,O
LZIJTSO,O,X,X,O
LZIJTOS,O,X,X,O
LZIJSTO,O,O,X,O
LZIJSOT,O,O,O,X
LZIJOTS,O,X,O,X
LZIJOST,O,O,O,X
LZISTJO,O,O,X,O
LZISTOJ,O,X,X,O
LZISJTO,O,O,X,O
LZISJOT,O,O,O,X
LZISOTJ,O,O,O,X
LZISOJT,O,O,O,X
LZIOTJS,O,X,O,X
LZIOTSJ,O,X,O,X
LZIOJTS,O,X,O,X
LZIOJST,O,O,O,X
LZIOSTJ,O,O,O,X
LZIOSJT,O,O,O,X
LZJTISO,O,X,X,O
LZJTIOS,O,X,X,O
LZJTSIO,O,X,X,O
LZJTSOI,O,X,O,O
LZJTOIS,O,X,O,O
LZJTOSI,O,X,O,O
LZJITSO,O,X,X,O
LZJITOS,O,X,X,O
LZJISTO,O,O,X,O
LZJISOT,O,O,O,X
LZJIOTS,O,X,O,X
LZJIOST,O,O,O,X
LZJSTIO,O,O,X,O
LZJSTOI,O,X,O,O
LZJSITO,O,O,X,O
LZJSIOT,O,O,O,X
LZJSOTI,O,O,O,X
LZJSOIT,O,O,O,X
LZJOTIS,O,X,O,X
LZJOTSI,O,X,O,X
LZJOITS,O,X,O,X
LZJOIST,O,O,O,X
LZJOSTI,O,O,O,X
LZJOSIT,O,O,O,X
LZSTIJO,O,O,X,O
LZSTIOJ,O,X,X,O
LZSTJIO,O,O,X,O
LZSTJOI,O,X,O,O
LZSTOIJ,O,X,O,O
LZSTOJI,O,X,O,O
LZSITJO,O,O,X,O
LZSITOJ,O,X,X,O
LZSIJTO,O,O,X,O
LZSIJOT,O,O,O,X
LZSIOTJ,O,O,O,X
LZSIOJT,O,O,O,X
LZSJTIO,O,O,X,O
LZSJTOI,O,X,O,O
LZSJITO,O,O,X,O
LZSJIOT,O,O,O,X
LZSJOTI,O,O,O,X
LZSJOIT,O,O,O,X
LZSOTIJ,O,O,O,X
LZSOTJI,O,O,O,X
LZSOITJ,O,O,O,X
LZSOIJT,O,O,O,X
LZSOJTI,O,O,O,X
LZSOJIT,O,O,O,X
LZOTIJS,O,X,O,X
LZOTISJ,O,X,O,X
LZOTJIS,O,X,O,X
LZOTJSI,O,X,O,X
LZOTSIJ,O,X,O,X
LZOTSJI,O,X,O,X
LZOITJS,O,X,O,X
LZOITSJ,O,X,O,X
LZOIJTS,O,X,O,X
LZOIJST,O,O,O,X
LZOISTJ,O,O,O,X
LZOISJT,O,O,O,X
LZOJTIS,O,X,O,X
LZOJTSI,O,X,O,X
LZOJITS,O,X,O,X
LZOJIST,O,O,O,X
LZOJSTI,O,O,O,X
LZOJSIT,O,O,O,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,O,O,O,X
LZOSJTI,O,O,O,X
LZOSJIT,O,O,O,X
LOTIJSZ,X,O,O,X
LOTIJZS,O,X,X,X
LOTISJZ,X,O,O,X
LOTISZJ,X,O,X,X
LOTIZJS,O,X,X,X
LOTIZSJ,O,X,X,X
LOTJISZ,X,O,O,X
LOTJIZS,O,X,X,X
LOTJSIZ,X,O,O,X
LOTJSZI,X,O,O,X
LOTJZIS,O,X,X,X
LOTJZSI,O,X,X,X
LOTSIJZ,X,O,O,X
LOTSIZJ,X,O,X,X
LOTSJIZ,X,O,O,X
LOTSJZI,X,O,O,X
LOTSZIJ,X,O,X,X
LOTSZJI,X,O,X,X
LOTZIJS,O,X,X,X
LOTZISJ,O,X,X,X
LOTZJIS,O,X,X,X
LOTZJSI,O,X,X,X
LOTZSIJ,O,X,X,X
LOTZSJI,O,X,X,X
LOITJSZ,X,O,O,X
LOITJZS,O,X,X,X
LOITSJZ,X,O,O,X
LOITSZJ,X,O,X,X
LOITZJS,O,X,X,X
LOITZSJ,O,X,X,X
LOIJTSZ,X,O,O,X
LOIJTZS,O,X,X,X
LOIJSTZ,X,O,O,X
LOIJSZT,O,O,O,X
LOIJZTS,O,X,X,X
LOIJZST,O,O,O,X
LOISTJZ,X,O,O,X
LOISTZJ,X,O,X,X
LOISJTZ,X,O,O,X
LOISJZT,O,O,O,X
LOISZTJ,O,O,X,X
LOISZJT,O,O,O,X
LOIZTJS,O,X,X,X
LOIZTSJ,O,X,X,X
LOIZJTS,O,X,X,X
LOIZJST,O,O,O,X
LOIZSTJ,O,O,X,X
LOIZSJT,O,O,O,X
LOJTISZ,X,O,O,X
LOJTIZS,O,X,X,X
LOJTSIZ,X,O,O,X
LOJTSZI,X,O,O,X
LOJTZIS,O,X,X,X
LOJTZSI,O,X,X,X
LOJITSZ,X,O,O,X
LOJITZS,O,X,X,X
LOJISTZ,X,O,O,X
LOJISZT,O,O,O,X
LOJIZTS,O,X,X,X
LOJIZST,O,O,O,X
LOJSTIZ,X,O,O,X
LOJSTZI,X,O,O,X
LOJSITZ,X,O,O,X
LOJSIZT,O,O,O,X
LOJSZTI,O,O,O,X
LOJSZIT,O,O,O,X
LOJZTIS,O,X,O,X
LOJZTSI,O,X,O,X
LOJZITS,O,X,O,X
LOJZIST,O,O,O,X
LOJZSTI,O,O,O,X
LOJZSIT,O,O,O,X
LOSTIJZ,X,O,O,X
LOSTIZJ,X,O,X,X
LOSTJIZ,X,O,O,X
LOSTJZI,X,O,O,X
LOSTZIJ,X,O,X,X
LOSTZJI,X,O,X,X
LOSITJZ,X,O,O,X
LOSITZJ,X,O,X,X
LOSIJTZ,X,O,O,X
LOSIJZT,O,O,O,X
LOSIZTJ,O,O,X,X
LOSIZJT,O,O,O,X
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,O,X
LOSJIZT,O,O,O,X
LOSJZTI,O,O,O,X
LOSJZIT,O,O,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,O,O,O,X
LOSZJTI,O,O,O,X
LOSZJIT,O,O,O,X
LOZTIJS,O,X,O,X
LOZTISJ,O,X,O,X
LOZTJIS,O,X,O,X
LOZTJSI,O,X,O,X
LOZTSIJ,O,X,O,X
LOZTSJI,O,X,O,X
LOZITJS,O,X,O,X
LOZITSJ,O,X,O,X
LOZIJTS,O,X,O,X
LOZIJST,O,O,O,X
LOZISTJ,O,O,O,X
LOZISJT,O,O,O,X
LOZJTIS,O,X,O,X
LOZJTSI,O,X,O,X
LOZJITS,O,X,O,X
LOZJIST,O,O,O,X
LOZJSTI,O,O,O,X
LOZJSIT,O,O,O,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,O,O,O,X
LOZSJTI,O,O,O,X
LOZSJIT,O,O,O,X
JTILSZO,X,O,X,X
JTILSOZ,X,O,X,X
JTILZSO,O,X,X,X
JTILZOS,O,X,X,X
JTILOSZ,X,O,X,X
JTILOZS,O,X,X,X
JTISLZO,X,O,X,X
JTISLOZ,X,O,X,X
JTISZLO,X,O,X,O
JTISZOL,X,X,X,O
JTISOLZ,X,O,X,X
JTISOZL,X,O,X,O
JTIZLSO,O,X,X,O
JTIZLOS,O,X,X,O
JTIZSLO,O,X,X,O
JTIZSOL,O,X,X,O
JTIZOLS,O,X,X,O
JTIZOSL,O,X,X,O
JTIOLSZ,X,O,X,X
JTIOLZS,O,X,X,X
JTIOSLZ,X,O,X,X
JTIOSZL,X,O,X,O
JTIOZLS,O,X,X,O
JTIOZSL,O,X,X,O
JTLISZO,X,O,X,X
JTLISOZ,X,O,X,X
JTLIZSO,O,X,X,X
JTLIZOS,O,X,X,X
JTLIOSZ,X,O,X,X
JTLIOZS,O,X,X,X
JTLSIZO,X,O,X,X
JTLSIOZ,X,O,X,X
JTLSZIO,X,O,X,X
JTLSZOI,X,X,O,X
JTLSOIZ,X,O,O,X
JTLSOZI,X,O,O,X
JTLZISO,O,X,X,X
JTLZIOS,O,X,X,X
JTLZSIO,O,X,X,X
JTLZSOI,O,X,O,X
JTLZOIS,O,X,O,X
JTLZOSI,O,X,O,X
JTLOISZ,X,O,O,X
JTLOIZS,O,X,X,X
JTLOSIZ,X,O,O,X
JTLOSZI,X,O,O,X
JTLOZIS,O,X,X,X
JTLOZSI,O,X,X,X
JTSILZO,X,O,X,X
JTSILOZ,X,O,X,X
JTSIZLO,X,O,X,O
JTSIZOL,X,X,X,O
JTSIOLZ,X,O,X,X
JTSIOZL,X,O,X,O
JTSLIZO,X,O,X,X
JTSLIOZ,X,O,X,X
JTSLZIO,X,O,X,X
JTSLZOI,X,X,O,X
JTSLOIZ,X,O,O,X
JTSLOZI,X,O,O,X
JTSZILO,X,O,X,O
JTSZIOL,X,X,X,O
JTSZLIO,X,O,X,O
JTSZLOI,X,X,O,O
JTSZOIL,X,X,O,O
JTSZOLI,X,X,O,O
JTSOILZ,X,O,O,X
JTSOIZL,X,O,X,O
JTSOLIZ,X,O,O,X
JTSOLZI,X,O,O,X
JTSOZIL,X,O,X,O
JTSOZLI,X,O,X,O
JTZILSO,O,X,X,O
JTZILOS,O,X,X,O
JTZISLO,O,X,X,O
JTZISOL,O,X,X,O
JTZIOLS,O,X,X,O
JTZIOSL,O,X,X,O
JTZLISO,O,X,X,O
JTZLIOS,O,X,X,O
JTZLSIO,O,X,X,O
JTZLSOI,O,X,O,O
JTZLOIS,O,X,O,O
JTZLOSI,O,X,O,O
JTZSILO,O,X,X,O
JTZSIOL,O,X,X,O
JTZSLIO,O,X,X,O
JTZSLOI,O,X,O,O
JTZSOIL,O,X,O,O
JTZSOLI,O,X,O,O
JTZOILS,O,X,O,O
JTZOISL,O,X,O,O
JTZOLIS,O,X,O,O
JTZOLSI,O,X,O,O
JTZOSIL,O,X,O,O
JTZOSLI,O,X,O,O
JTOILSZ,X,O,O,X
JTOILZS,O,X,X,X
JTOISLZ,X,O,O,X
JTOISZL,X,O,X,O
JTOIZLS,O,X,X,O
JTOIZSL,O,X,X,O
JTOLISZ,X,O,O,X
JTOLIZS,O,X,X,X
JTOLSIZ,X,O,O,X
JTOLSZI,X,O,O,X
JTOLZIS,O,X,X,X
JTOLZSI,O,X,X,X
JTOSILZ,X,O,O,X
JTOSIZL,X,O,X,O
JTOSLIZ,X,O,O,X
JTOSLZI,X,O,O,X
JTOSZIL,X,O,X,O
JTOSZLI,X,O,X,O
JTOZILS,O,X,X,O
JTOZISL,O,X,X,O
JTOZLIS,O,X,X,O
JTOZLSI,O,X,X,O
JTOZSIL,O,X,X,O
JTOZSLI,O,X,X,O
JITLSZO,X,O,X,X
JITLSOZ,X,O,X,X
JITLZSO,O,X,X,X
JITLZOS,O,X,X,X
JITLOSZ,X,O,X,X
JITLOZS,O,X,X,X
JITSLZO,X,O,X,X
JITSLOZ,X,O,X,X
JITSZLO,X,O,X,O
JITSZOL,X,X,X,O
JITSOLZ,X,O,X,X
JITSOZL,X,O,X,O
JITZLSO,O,X,X,O
JITZLOS,O,X,X,O
JITZSLO,O,X,X,O
JITZSOL,O,X,X,O
JITZOLS,O,X,X,O
JITZOSL,O,X,X,O
JITOLSZ,X,O,X,X
JITOLZS,O,X,X,X
JITOSLZ,X,O,X,X
JITOSZL,X,O,X,O
JITOZLS,O,X,X,O
JITOZSL,O,X,X,O
JILTSZO,X,O,X,X
JILTSOZ,X,O,X,X
JILTZSO,O,X,X,X
JILTZOS,O,X,X,X
JILTOSZ,X,O,X,X
JILTOZS,O,X,X,X
JILSTZO,X,O,X,X
JILSTOZ,X,O,X,X
JILSZTO,O,O,X,X
JILSZOT,O,O,O,X
JILSOTZ,X,O,O,X
JILSOZT,O,O,O,X
JILZTSO,O,X,X,X
JILZTOS,O,X,X,X
JILZSTO,O,O,X,X
JILZSOT,O,O,O,X
JILZOTS,O,X,O,X
JILZOST,O,O,O,X
JILOTSZ,X,O,O,X
JILOTZS,O,X,X,X
JILOSTZ,X,O,O,X
JILOSZT,O,O,O,X
JILOZTS,O,X,X,X
JILOZST,O,O,O,X
JISTLZO,X,O,X,X
JISTLOZ,X,O,X,X
JISTZLO,X,O,X,O
JISTZOL,X,X,X,O
JISTOLZ,X,O,X,X
JISTOZL,X,O,X,O
JISLTZO,X,O,X,X
JISLTOZ,X,O,X,X
JISLZTO,O,O,X,X
JISLZOT,O,O,O,X
JISLOTZ,X,O,O,X
JISLOZT,O,O,O,X
JISZTLO,O,O,X,O
JISZTOL,O,X,X,O
JISZLTO,O,O,X,O
JISZLOT,O,O,O,X
JISZOTL,O,O,O,O
JISZOLT,O,O,O,X
JISOTLZ,X,O,O,X
JISOTZL,X,O,X,X
JISOLTZ,X,O,O,X
JISOLZT,O,O,O,X
JISOZTL,O,O,X,X
JISOZLT,O,O,O,X
JIZTLSO,O,X,X,O
JIZTLOS,O,X,X,O
JIZTSLO,O,X,X,O
JIZTSOL,O,X,X,O
JIZTOLS,O,X,X,O
JIZTOSL,O,X,X,O
JIZLTSO,O,X,X,O
JIZLTOS,O,X,X,O
JIZLSTO,O,O,X,O
JIZLSOT,O,O,O,X
JIZLOTS,O,X,O,X
JIZLOST,O,O,O,X
JIZSTLO,O,O,X,O
JIZSTOL,O,X,X,O
JIZSLTO,O,O,X,O
JIZSLOT,O,O,O,X
JIZSOTL,O,O,O,O
JIZSOLT,O,O,O,X
JIZOTLS,O,X,O,O
JIZOTSL,O,X,O,O
JIZOLTS,O,X,O,X
JIZOLST,O,O,O,X
JIZOSTL,O,O,O,O
JIZOSLT,O,O,O,X
JIOTLSZ,X,O,O,X
JIOTLZS,O,X,X,X
JIOTSLZ,X,O,O,X
JIOTSZL,X,O,X,X
JIOTZLS,O,X,X,X
JIOTZSL,O,X,X,X
JIOLTSZ,X,O,O,X
JIOLTZS,O,X,X,X
JIOLSTZ,X,O,O,X
JIOLSZT,O,O,O,X
JIOLZTS,O,X,X,X
JIOLZST,O,O,O,X
JIOSTLZ,X,O,O,X
JIOSTZL,X,O,X,X
JIOSLTZ,X,O,O,X
JIOSLZT,O,O,O,X
JIOSZTL,O,O,X,X
JIOSZLT,O,O,O,X
JIOZTLS,O,X,X,X
JIOZTSL,O,X,X,X
JIOZLTS,O,X,X,X
JIOZLST,O,O,O,X
JIOZSTL,O,O,X,X
JIOZSLT,O,O,O,X
JLTISZO,X,O,X,X
JLTISOZ,X,O,X,X
JLTIZSO,O,X,X,X
JLTIZOS,O,X,X,X
JLTIOSZ,X,O,X,X
JLTIOZS,O,X,X,X
JLTSIZO,X,O,X,X
JLTSIOZ,X,O,X,X
JLTSZIO,X,O,X,X
JLTSZOI,X,X,O,X
JLTSOIZ,X,O,O,X
JLTSOZI,X,O,O,X
JLTZISO,O,X,X,X
JLTZIOS,O,X,X,X
JLTZSIO,O,X,X,X
JLTZSOI,O,X,O,X
JLTZOIS,O,X,O,X
JLTZOSI,O,X,O,X
JLTOISZ,X,O,O,X
JLTOIZS,O,X,X,X
JLTOSIZ,X,O,O,X
JLTOSZI,X,O,O,X
JLTOZIS,O,X,X,X
JLTOZSI,O,X,X,X
JLITSZO,X,O,X,X
JLITSOZ,X,O,X,X
JLITZSO,O,X,X,X
JLITZOS,O,X,X,X
JLITOSZ,X,O,X,X
JLITOZS,O,X,X,X
JLISTZO,X,O,X,X
JLISTOZ,X,O,X,X
JLISZTO,O,O,X,X
JLISZOT,O,O,O,X
JLISOTZ,X,O,O,X
JLISOZT,O,O,O,X
JLIZTSO,O,X,X,X
JLIZTOS,O,X,X,X
JLIZSTO,O,O,X,X
JLIZSOT,O,O,O,X
JLIZOTS,O,X,O,X
JLIZOST,O,O,O,X
JLIOTSZ,X,O,O,X
JLIOTZS,O,X,X,X
JLIOSTZ,X,O,O,X
JLIOSZT,O,O,O,X
JLIOZTS,O,X,X,X
JLIOZST,O,O,O,X
JLSTIZO,X,O,X,X
JLSTIOZ,X,O,X,X
JLSTZIO,X,O,X,X
JLSTZOI,X,X,O,X
JLSTOIZ,X,O,O,X
JLSTOZI,X,O,O,X
JLSITZO,X,O,X,X
JLSITOZ,X,O,X,X
JLSIZTO,O,O,X,X
JLSIZOT,O,O,O,X
JLSIOTZ,X,O,O,X
JLSIOZT,O,O,O,X
JLSZTIO,O,O,X,X
JLSZTOI,O,X,O,X
JLSZITO,O,O,X,X
JLSZIOT,O,O,O,X
JLSZOTI,O,O,O,X
JLSZOIT,O,O,O,X
JLSOTIZ,X,O,O,X
JLSOTZI,X,O,O,X
JLSOITZ,X,O,O,X
JLSOIZT,O,O,O,X
JLSOZTI,O,O,O,X
JLSOZIT,O,O,O,X
JLZTISO,O,X,X,X
JLZTIOS,O,X,X,X
JLZTSIO,O,X,X,X
JLZTSOI,O,X,O,X
JLZTOIS,O,X,O,X
JLZTOSI,O,X,O,X
JLZITSO,O,X,X,X
JLZITOS,O,X,X,X
JLZISTO,O,O,X,X
JLZISOT,O,O,O,X
JLZIOTS,O,X,O,X
JLZIOST,O,O,O,X
JLZSTIO,O,O,X,X
JLZSTOI,O,X,O,X
JLZSITO,O,O,X,X
JLZSIOT,O,O,O,X
JLZSOTI,O,O,O,X
JLZSOIT,O,O,O,X
JLZOTIS,O,X,O,X
JLZOTSI,O,X,O,X
JLZOITS,O,X,O,X
JLZOIST,O,O,O,X
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,X
JLOTISZ,X,O,O,X
JLOTIZS,O,X,X,X
JLOTSIZ,X,O,O,X
