sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TSOJZLI,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X
TSOZLJI,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,O,X,X,X
TZILOJS,X,X,X,X,X,O
TZILOSJ,X,X,X,X,X,O
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,O,O,X,X,X
TZISJLO,X,X,X,O,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,O,O,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,O
TZIOLSJ,X,X,X,X,X,O
TZIOJLS,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,O,X,X
TZLISOJ,X,X,O,X,X,X
TZLIOJS,X,X,X,X,X,O
TZLIOSJ,X,X,X,X,X,O
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,O,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,O,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,O
TZLOISJ,X,X,X,X,X,O
