sequence,v115@UhB8CeI8BeA8Je3AJvhFRiBSoBTkBlmBmkB0sB,v115@UhB8CeI8BeA8JeOEJvhF0gB6mBxiBzkB/sBFtB,v115@UhB8CeI8BeA8Jel/IvhF3gBTjB2pBxmBCnB0sB,v115@UhB8CeI8BeA8Jex/IvhFWoBTkBilBUnBlmBXtB,v115@UhB8CeI8BeA8JeT/IvhFxgBliBypBGmB/sBctB,v115@UhB8CeI8BeA8JeT/IvhFlgBypB0mBxnBGnBXtB,v115@UhB8CeI8BeA8JeOEJvhFSoBRlBUnBXlBlmBzsB,v115@UhB8CeI8BeA8JeWIJvhFxkBlmBTkBilBUnBXtB
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,O,X,X
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,X,X,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,O,X,X
TZSLOJI,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,O,X,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X
TZSJLOI,O,X,O,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X,X
TZSJOLI,O,X,O,X,X,X,X,X
TZSOILJ,O,O,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,X,X,O,X,O,X,X
TZOILSJ,O,X,X,X,X,O,X,X
TZOIJLS,O,X,O,O,X,X,X,X
TZOIJSL,O,X,O,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X
TZOISJL,O,X,O,X,X,X,X,X
TZOLIJS,O,X,X,O,X,O,X,X
TZOLISJ,O,X,X,X,X,O,X,X
TZOLJIS,O,X,X,O,X,O,X,X
TZOLJSI,O,O,X,O,X,X,X,X
TZOLSIJ,O,O,X,X,X,O,X,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,O,X,O,O,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,X
TZOJLIS,O,X,O,O,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,X,X
TOILJZS,X,X,X,O,X,O,X,X
TOILSJZ,O,X,X,X,X,X,X,X
TOILSZJ,O,X,X,X,X,O,X,X
TOILZJS,X,X,X,O,X,O,X,X
TOILZSJ,O,X,X,X,X,O,X,X
TOIJLSZ,O,X,O,X,X,X,X,O
TOIJLZS,X,X,X,O,X,X,X,O
TOIJSLZ,O,X,O,X,X,X,X,O
TOIJSZL,X,X,O,X,X,X,X,O
TOIJZLS,X,X,X,O,X,X,X,O
TOIJZSL,X,X,O,X,X,X,X,O
TOISLJZ,O,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X
TOISJLZ,O,X,O,X,X,X,X,X
TOISJZL,X,X,O,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X,X
TOIZLJS,O,X,X,O,X,O,X,X
TOIZLSJ,O,X,X,X,X,O,X,X
TOIZJLS,O,X,X,O,X,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,X,X,X,X
TOLIJZS,X,X,X,O,X,O,X,X
TOLISJZ,O,X,X,X,X,X,X,X
TOLISZJ,O,X,X,X,X,O,X,X
TOLIZJS,X,X,X,O,X,O,X,X
TOLIZSJ,O,X,X,X,X,O,X,X
TOLJISZ,O,X,X,X,X,X,X,X
TOLJIZS,X,X,X,O,X,O,X,X
TOLJSIZ,O,O,X,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X
TOLJZIS,X,X,X,O,X,O,X,X
TOLJZSI,X,O,X,O,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,O,X,X
TOLSJIZ,O,O,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,O,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,X,X,O,X,O,X,X
TOLZISJ,O,X,X,X,X,O,X,X
TOLZJIS,O,X,X,O,X,O,X,X
TOLZJSI,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,X,X,X,O,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,X,O
TOJILZS,X,X,X,O,X,X,X,O
TOJISLZ,O,X,O,X,X,X,X,O
TOJISZL,X,X,O,X,X,X,X,O
TOJIZLS,X,X,X,O,X,X,X,O
TOJIZSL,X,X,O,X,X,X,X,O
TOJLISZ,O,X,O,X,X,X,X,X
TOJLIZS,X,X,X,O,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X
TOJLZIS,X,X,X,O,X,X,X,X
TOJLZSI,X,O,X,O,X,X,X,X
TOJSILZ,O,O,O,X,X,X,X,X
TOJSIZL,X,O,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X,X
TOJSZIL,O,O,O,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X
TOJZILS,O,X,X,O,X,X,X,X
TOJZISL,O,X,O,X,X,X,X,X
TOJZLIS,O,X,X,O,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X
TOSIJZL,X,O,O,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,O,O,O,X,X,X,X,X
TOSJIZL,X,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X
TOSJZIL,O,O,O,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X
TOZILJS,O,X,X,O,X,O,X,X
TOZILSJ,O,X,X,X,X,O,X,X
TOZIJLS,O,X,X,O,X,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X,X
TOZLIJS,O,X,X,O,X,O,X,X
TOZLISJ,O,X,X,X,X,O,X,X
TOZLJIS,O,X,X,O,X,O,X,X
TOZLJSI,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,X,X,X,O,X,X
TOZLSJI,O,O,X,X,X,X,X,X
TOZJILS,O,X,X,O,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X
TOZJLIS,O,X,X,O,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,X,O
ITLJSOZ,O,X,X,X,X,X,X,O
ITLJZSO,X,X,X,X,X,X,O,O
ITLJZOS,X,X,X,X,X,O,O,O
ITLJOSZ,O,X,X,X,X,X,X,O
ITLJOZS,X,X,X,X,X,O,X,O
ITLSJZO,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X
ITLSZJO,X,X,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,O,X,X
ITLSOJZ,O,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,O,X,X
ITLZJSO,X,X,X,X,X,X,O,X
ITLZJOS,X,X,X,X,X,O,O,X
ITLZSJO,X,X,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,O,X,X
ITLZOJS,X,X,X,X,X,O,X,X
ITLZOSJ,O,X,X,X,X,O,X,X
ITLOJSZ,O,X,X,X,X,X,X,X
ITLOJZS,X,X,X,X,X,O,X,X
ITLOSJZ,O,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,O,X,X
ITLOZJS,X,X,X,X,X,O,X,X
ITLOZSJ,O,X,X,X,X,O,X,X
ITJLSZO,X,X,X,X,X,X,X,O
ITJLSOZ,O,X,O,X,X,X,X,O
ITJLZSO,X,X,X,X,X,X,O,O
ITJLZOS,X,X,X,X,X,O,O,O
ITJLOSZ,O,X,O,X,X,X,X,O
ITJLOZS,X,X,X,X,X,O,X,O
ITJSLZO,X,X,X,X,X,X,X,O
ITJSLOZ,O,X,O,X,X,X,X,O
ITJSZLO,X,X,X,X,X,X,X,O
ITJSZOL,X,X,O,X,X,X,X,O
ITJSOLZ,O,X,O,X,X,X,X,O
ITJSOZL,X,X,O,X,X,X,X,O
ITJZLSO,X,X,X,X,X,X,O,O
ITJZLOS,X,X,X,X,X,O,O,O
ITJZSLO,X,X,X,X,X,X,X,O
ITJZSOL,X,X,O,X,X,X,X,O
ITJZOLS,X,X,X,X,X,X,X,O
ITJZOSL,X,X,O,X,X,X,X,O
ITJOLSZ,O,X,O,X,X,X,X,O
ITJOLZS,X,X,X,X,X,X,X,O
ITJOSLZ,O,X,O,X,X,X,X,O
ITJOSZL,X,X,O,X,X,X,X,O
ITJOZLS,X,X,X,X,X,X,X,O
ITJOZSL,X,X,O,X,X,X,X,O
ITSLJZO,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X
ITSLZJO,X,X,X,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,O,X,X
ITSLOJZ,O,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,O,X,X
ITSJLZO,X,X,X,X,X,X,X,O
ITSJLOZ,O,X,O,X,X,X,X,O
ITSJZLO,X,X,X,X,X,X,X,O
ITSJZOL,X,X,O,X,X,X,X,O
ITSJOLZ,O,X,O,X,X,X,X,O
ITSJOZL,X,X,O,X,X,X,X,O
ITSZLJO,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,O,X,X
ITSZJLO,O,X,X,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,X
ITSOJZL,X,X,O,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X
ITZLJOS,O,X,X,X,X,O,O,X
ITZLSJO,O,X,X,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,O,X,X
ITZLOJS,O,X,X,X,X,O,X,X
ITZLOSJ,O,X,X,X,X,O,X,X
ITZJLSO,O,X,X,X,X,X,O,O
ITZJLOS,O,X,X,X,X,O,O,O
ITZJSLO,O,X,X,X,X,X,X,O
ITZJSOL,O,X,X,X,X,X,X,O
ITZJOLS,O,X,X,X,X,X,X,O
ITZJOSL,O,X,X,X,X,X,X,O
ITZSLJO,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,O,X,X
ITZSJLO,O,X,X,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,O,X,X
ITZOLSJ,O,X,X,X,X,O,X,X
ITZOJLS,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,X,X
ITOLJZS,X,X,X,X,X,O,X,X
ITOLSJZ,O,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,O,X,X
ITOLZJS,X,X,X,X,X,O,X,X
ITOLZSJ,O,X,X,X,X,O,X,X
ITOJLSZ,O,X,O,X,X,X,X,O
ITOJLZS,X,X,X,X,X,X,X,O
ITOJSLZ,O,X,O,X,X,X,X,O
ITOJSZL,X,X,O,X,X,X,X,O
ITOJZLS,X,X,X,X,X,X,X,O
ITOJZSL,X,X,O,X,X,X,X,O
ITOSLJZ,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,O,X,X
ITOZLSJ,O,X,X,X,X,O,X,X
ITOZJLS,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X
ILTJSZO,X,X,X,X,O,X,X,O
ILTJSOZ,O,X,X,X,O,X,X,O
ILTJZSO,X,X,X,X,X,X,O,O
ILTJZOS,X,X,X,X,X,O,O,O
ILTJOSZ,O,X,X,X,O,X,X,O
ILTJOZS,X,X,X,X,X,O,X,O
ILTSJZO,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X
ILTSZJO,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,O,X,X
ILTSOJZ,O,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,O,X,X
ILTZJSO,X,X,X,X,X,X,O,X
ILTZJOS,X,X,X,X,X,O,O,X
ILTZSJO,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,O,X,X
ILTZOJS,X,X,X,X,X,O,X,X
ILTZOSJ,O,X,X,X,X,O,X,X
ILTOJSZ,O,X,X,X,O,X,X,X
ILTOJZS,X,X,X,X,X,O,X,X
ILTOSJZ,O,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,O,X,X
ILTOZJS,X,X,X,X,X,O,X,X
ILTOZSJ,O,X,X,X,X,O,X,X
ILJTSZO,X,X,X,X,O,X,X,O
ILJTSOZ,X,X,O,X,O,X,X,O
ILJTZSO,X,X,X,X,X,X,O,O
ILJTZOS,X,X,X,X,X,O,O,O
ILJTOSZ,X,X,O,X,O,X,X,O
ILJTOZS,X,X,X,X,X,O,X,O
ILJSTZO,X,O,X,X,O,X,X,X
ILJSTOZ,X,X,O,X,O,X,X,X
ILJSZTO,X,O,X,X,O,X,O,X
ILJSZOT,X,O,X,X,O,X,O,X
ILJSOTZ,X,X,O,X,O,X,X,X
ILJSOZT,X,O,X,X,O,X,X,X
ILJZTSO,X,X,X,X,X,X,O,X
ILJZTOS,X,X,X,X,X,O,O,X
ILJZSTO,X,O,X,X,O,X,O,X
ILJZSOT,X,O,X,X,O,X,O,X
ILJZOTS,X,X,X,O,X,O,O,X
ILJZOST,X,X,X,O,O,X,O,X
ILJOTSZ,X,X,O,X,O,X,X,X
ILJOTZS,X,X,X,O,X,O,X,X
ILJOSTZ,X,X,O,X,O,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,X,X,X,O,X,O,O,X
ILJOZST,X,X,X,O,O,X,O,X
ILSTJZO,X,O,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,O,X,X
ILSTOJZ,O,O,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,O,X,X
ILSJTZO,X,O,X,X,O,X,X,X
ILSJTOZ,X,X,O,X,O,X,X,X
ILSJZTO,X,O,X,X,O,X,O,X
ILSJZOT,X,O,X,X,O,X,O,X
ILSJOTZ,X,O,O,X,O,X,X,X
ILSJOZT,X,O,X,X,O,X,X,X
ILSZTJO,X,O,X,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,O,X,X
ILSZJTO,X,O,X,X,X,X,O,X
ILSZJOT,X,O,X,X,X,X,O,X
ILSZOTJ,X,O,X,X,X,O,X,X
ILSZOJT,X,O,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,O,X,X
ILSOJTZ,X,O,O,X,O,X,X,X
ILSOJZT,X,O,X,X,O,X,X,X
ILSOZTJ,X,O,X,X,X,O,X,X
ILSOZJT,X,O,X,X,X,X,X,X
ILZTJSO,X,X,X,X,X,X,O,X
ILZTJOS,X,X,X,X,X,O,O,X
ILZTSJO,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,O,X,X
ILZTOJS,X,X,X,X,X,O,X,X
ILZTOSJ,X,X,X,X,X,O,X,X
ILZJTSO,X,X,X,X,X,X,O,X
ILZJTOS,X,X,X,X,X,O,O,X
ILZJSTO,X,O,X,X,O,X,O,X
ILZJSOT,X,O,X,X,O,X,O,X
ILZJOTS,X,X,X,O,X,O,O,X
ILZJOST,X,X,X,O,O,X,O,X
ILZSTJO,X,O,X,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,O,X,X
ILZSJTO,X,O,X,X,X,X,O,X
ILZSJOT,X,O,X,X,X,X,O,X
ILZSOTJ,X,O,X,X,X,O,X,X
ILZSOJT,X,O,X,X,X,X,X,X
ILZOTJS,X,X,X,O,X,O,X,X
ILZOTSJ,X,X,X,X,X,O,X,X
ILZOJTS,X,X,X,O,X,O,O,X
ILZOJST,X,O,X,O,O,X,O,X
ILZOSTJ,X,O,X,X,X,O,X,X
ILZOSJT,X,O,X,O,X,X,X,X
ILOTJSZ,O,X,X,X,O,X,X,X
ILOTJZS,X,X,X,O,X,O,X,X
ILOTSJZ,O,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,O,X,X
ILOTZJS,X,X,X,O,X,O,X,X
ILOTZSJ,O,X,X,X,X,O,X,X
ILOJTSZ,X,X,O,X,O,X,X,X
ILOJTZS,X,X,X,O,X,O,X,X
ILOJSTZ,X,O,O,X,O,X,X,X
ILOJSZT,X,O,X,O,O,X,X,X
ILOJZTS,X,X,X,O,X,O,O,X
ILOJZST,X,O,X,O,O,X,O,X
ILOSTJZ,O,O,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,O,X,X
ILOSJTZ,X,O,O,X,O,X,X,X
ILOSJZT,X,O,X,O,O,X,X,X
ILOSZTJ,X,O,X,X,X,O,X,X
ILOSZJT,X,O,X,O,X,X,X,X
ILOZTJS,X,X,X,O,X,O,X,X
ILOZTSJ,X,X,X,X,X,O,X,X
ILOZJTS,X,X,X,O,X,O,O,X
ILOZJST,X,O,X,O,O,X,O,X
ILOZSTJ,X,O,X,X,X,O,X,X
ILOZSJT,X,O,X,O,X,X,X,X
IJTLSZO,X,X,X,X,O,X,X,O
IJTLSOZ,X,X,O,X,O,X,X,O
IJTLZSO,X,X,X,X,X,X,O,O
IJTLZOS,X,X,X,X,X,O,O,O
IJTLOSZ,X,X,O,X,O,X,X,O
IJTLOZS,X,X,X,X,X,O,X,O
IJTSLZO,X,X,X,X,O,X,X,O
IJTSLOZ,X,X,O,X,O,X,X,O
IJTSZLO,X,X,O,X,X,X,X,O
IJTSZOL,X,X,O,X,X,X,X,O
IJTSOLZ,X,X,O,X,X,X,X,O
IJTSOZL,X,X,O,X,X,X,X,O
IJTZLSO,X,X,O,X,X,X,O,O
IJTZLOS,X,X,O,X,X,O,O,O
IJTZSLO,X,X,O,X,X,X,X,O
IJTZSOL,X,X,O,X,X,X,X,O
IJTZOLS,X,X,O,X,X,X,X,O
IJTZOSL,X,X,O,X,X,X,X,O
IJTOLSZ,X,X,O,X,X,X,X,O
IJTOLZS,X,X,X,X,X,X,X,O
IJTOSLZ,X,X,O,X,X,X,X,O
IJTOSZL,X,X,O,X,X,X,X,O
IJTOZLS,X,X,X,X,X,X,X,O
IJTOZSL,X,X,O,X,X,X,X,O
IJLTSZO,X,X,X,X,O,X,X,O
IJLTSOZ,X,X,O,X,O,X,X,O
IJLTZSO,X,X,X,X,X,X,O,O
IJLTZOS,X,X,X,X,X,O,O,O
IJLTOSZ,X,X,O,X,O,X,X,O
IJLTOZS,X,X,X,X,X,O,X,O
IJLSTZO,X,O,X,X,O,X,X,X
IJLSTOZ,X,X,O,X,O,X,X,X
IJLSZTO,X,O,X,X,O,X,O,X
IJLSZOT,X,O,X,X,O,X,O,X
IJLSOTZ,X,X,O,X,O,X,X,X
IJLSOZT,X,O,X,X,O,X,X,X
IJLZTSO,X,X,X,X,X,X,O,X
IJLZTOS,X,X,X,X,X,O,O,X
IJLZSTO,X,O,X,X,O,X,O,X
IJLZSOT,X,O,X,X,O,X,O,X
IJLZOTS,X,X,X,O,X,O,O,X
IJLZOST,X,X,X,O,O,X,O,X
IJLOTSZ,X,X,O,X,O,X,X,X
IJLOTZS,X,X,X,O,X,O,X,X
IJLOSTZ,X,X,O,X,O,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,X,X,X,O,X,O,O,X
IJLOZST,X,X,X,O,O,X,O,X
IJSTLZO,X,O,X,X,O,X,X,O
IJSTLOZ,X,X,O,X,O,X,X,O
IJSTZLO,X,O,O,X,X,X,X,O
IJSTZOL,X,X,O,X,X,X,X,O
IJSTOLZ,X,X,O,X,X,X,X,O
IJSTOZL,X,X,O,X,X,X,X,O
IJSLTZO,X,O,X,X,O,X,X,X
IJSLTOZ,X,X,O,X,O,X,X,X
IJSLZTO,X,O,X,X,O,X,O,X
IJSLZOT,X,O,X,X,O,X,O,X
IJSLOTZ,X,X,O,X,O,X,X,X
IJSLOZT,X,O,X,X,O,X,X,X
IJSZTLO,X,O,O,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X
IJSZLTO,X,O,O,X,O,X,O,X
IJSZLOT,X,O,O,X,O,X,O,X
IJSZOTL,X,X,O,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,X
IJSOLTZ,X,X,O,X,O,X,X,X
IJSOLZT,X,O,X,X,O,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,X
IJZTLSO,X,X,O,X,X,X,O,O
IJZTLOS,X,X,O,X,X,O,O,O
IJZTSLO,X,X,O,X,X,X,X,O
IJZTSOL,X,X,O,X,X,X,X,O
IJZTOLS,X,X,O,X,X,X,X,O
IJZTOSL,X,X,O,X,X,X,X,O
IJZLTSO,X,X,O,X,X,X,O,X
IJZLTOS,X,X,O,X,X,O,O,X
IJZLSTO,X,O,O,X,O,X,O,X
IJZLSOT,X,O,O,X,O,X,O,X
IJZLOTS,X,X,O,O,X,O,O,X
IJZLOST,X,X,O,O,O,X,O,X
IJZSTLO,X,O,O,X,X,X,X,X
IJZSTOL,X,X,O,X,X,X,X,X
IJZSLTO,X,O,O,X,O,X,O,X
IJZSLOT,X,O,O,X,O,X,O,X
IJZSOTL,X,X,O,X,X,X,X,X
IJZSOLT,X,O,O,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X,X
IJZOLTS,X,X,O,O,X,X,O,X
IJZOLST,X,X,O,O,X,X,O,X
IJZOSTL,X,X,O,X,X,X,X,X
IJZOSLT,X,X,O,O,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,X,O
IJOTLZS,X,X,X,O,X,X,X,O
IJOTSLZ,X,X,O,X,X,X,X,O
IJOTSZL,X,X,O,X,X,X,X,O
IJOTZLS,X,X,X,O,X,X,X,O
IJOTZSL,X,X,O,X,X,X,X,O
IJOLTSZ,X,X,O,X,O,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,O,X,O,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,X,X,X,O,X,X,O,X
IJOLZST,X,X,X,O,O,X,O,X
IJOSTLZ,X,X,O,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X,X
IJOSLTZ,X,X,O,X,O,X,X,X
IJOSLZT,X,X,X,O,O,X,X,X
IJOSZTL,X,X,O,X,X,X,X,X
IJOSZLT,X,X,X,O,X,X,X,X
IJOZTLS,X,X,X,O,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X,O,X
IJOZLST,X,X,X,O,X,X,O,X
IJOZSTL,X,X,O,X,X,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X
ISTLJZO,X,O,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,O,X,X
ISTLOJZ,O,O,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,O,X,X
ISTJLZO,X,O,X,X,X,X,X,O
ISTJLOZ,O,X,O,X,X,X,X,O
ISTJZLO,X,O,X,X,X,X,X,O
ISTJZOL,X,X,O,X,X,X,X,O
ISTJOLZ,O,X,O,X,X,X,X,O
ISTJOZL,X,X,O,X,X,X,X,O
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,O,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,X,O,O,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,O,X,X
ISLTOJZ,O,O,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,O,X,X
ISLJTZO,X,O,X,X,O,X,X,X
ISLJTOZ,X,X,O,X,O,X,X,X
ISLJZTO,X,O,X,X,O,X,O,X
ISLJZOT,X,O,X,X,O,X,O,X
ISLJOTZ,X,O,O,X,O,X,X,X
ISLJOZT,X,O,X,X,O,X,X,X
ISLZTJO,X,O,X,X,X,X,X,X
