sequence,v115@OhA8HeG8CeD8Je0/IvhF6lBxhBTjB2pBXrBlrB,v115@OhA8HeG8CeD8JeOEJvhFFiBTjBClBxqB/rB0qB,v115@OhA8HeG8CeD8Jei/IvhFUhBFiBTjB3kBxqBWwB,v115@OhA8HeG8CeD8Je1FJvhFxhBTjB0kB3mBikBWwB,v115@OhA8HeG8CeD8JeKEJvhFRgBFiBTjBUlBXrBGrB,v115@OhA8HeG8CeD8JexBJvhFTjB0kBllB3mBikBWwB
LZOSTIJ,X,X,X,O,O,O
LZOSTJI,X,X,X,O,O,O
LZOSITJ,X,X,X,O,O,O
LZOSIJT,X,X,X,X,O,X
LZOSJTI,X,X,X,O,O,X
LZOSJIT,X,X,X,X,O,X
LOTIJSZ,X,O,X,X,X,X
LOTIJZS,X,O,X,X,X,X
LOTISJZ,X,O,O,X,X,X
LOTISZJ,X,X,O,X,O,X
LOTIZJS,X,O,X,X,O,X
LOTIZSJ,X,X,O,X,O,X
LOTJISZ,X,O,X,X,X,X
LOTJIZS,X,O,X,X,X,X
LOTJSIZ,X,O,X,X,X,X
LOTJSZI,X,X,X,X,O,X
LOTJZIS,X,O,X,X,O,X
LOTJZSI,X,X,X,X,O,X
LOTSIJZ,X,O,O,X,X,X
LOTSIZJ,X,X,O,X,O,X
LOTSJIZ,X,O,O,X,X,X
LOTSJZI,X,X,X,X,O,X
LOTSZIJ,X,X,O,X,O,X
LOTSZJI,X,X,X,X,O,X
LOTZIJS,X,O,X,X,O,X
LOTZISJ,X,X,X,X,O,X
LOTZJIS,X,O,X,X,O,X
LOTZJSI,X,X,X,X,O,X
LOTZSIJ,X,X,X,X,O,X
LOTZSJI,X,X,X,X,O,X
LOITJSZ,X,O,X,X,X,X
LOITJZS,X,O,X,X,X,X
LOITSJZ,X,O,O,X,X,X
LOITSZJ,X,X,O,X,O,X
LOITZJS,X,O,X,X,O,X
LOITZSJ,X,X,O,X,O,X
LOIJTSZ,X,O,X,X,X,X
LOIJTZS,X,O,X,X,X,X
LOIJSTZ,O,O,X,X,X,X
LOIJSZT,O,O,X,X,X,X
LOIJZTS,O,O,X,X,X,X
LOIJZST,O,O,X,X,X,X
LOISTJZ,O,O,O,X,X,X
LOISTZJ,X,X,O,O,O,O
LOISJTZ,O,O,O,X,X,X
LOISJZT,O,O,O,X,X,X
LOISZTJ,X,X,O,O,O,O
LOISZJT,O,X,O,X,O,X
LOIZTJS,X,O,X,X,O,X
LOIZTSJ,X,X,O,X,O,X
LOIZJTS,X,O,X,X,O,X
LOIZJST,X,O,X,X,O,X
LOIZSTJ,X,X,O,O,O,O
LOIZSJT,X,X,O,X,O,X
LOJTISZ,X,O,X,X,X,X
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,X,O,X,O,X,X
LOJTSZI,X,X,X,O,O,X
LOJTZIS,X,O,X,X,O,X
LOJTZSI,X,X,X,O,O,X
LOJITSZ,X,O,X,X,X,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,O,O,X,X,X,X
LOJISZT,O,O,X,X,X,X
LOJIZTS,O,O,X,X,X,X
LOJIZST,O,O,X,X,X,X
LOJSTIZ,O,O,X,O,X,X
LOJSTZI,O,X,X,O,O,X
LOJSITZ,O,O,X,O,X,X
LOJSIZT,O,O,X,X,X,X
LOJSZTI,O,X,X,O,O,X
LOJSZIT,O,X,X,X,O,X
LOJZTIS,O,O,X,X,O,X
LOJZTSI,O,X,X,O,O,X
LOJZITS,O,O,X,X,O,X
LOJZIST,O,O,X,X,O,X
LOJZSTI,O,X,X,O,O,X
LOJZSIT,O,X,X,X,O,X
LOSTIJZ,O,O,O,X,X,X
LOSTIZJ,X,X,O,O,O,O
LOSTJIZ,O,O,O,X,X,X
LOSTJZI,O,X,X,X,O,X
LOSTZIJ,X,X,O,O,O,O
LOSTZJI,X,X,X,O,O,O
LOSITJZ,O,O,O,X,X,X
LOSITZJ,X,X,O,O,O,O
LOSIJTZ,O,O,O,X,X,X
LOSIJZT,O,O,O,X,X,X
LOSIZTJ,X,X,O,O,O,O
LOSIZJT,O,X,O,X,O,X
LOSJTIZ,O,O,O,O,X,X
LOSJTZI,O,X,X,O,O,X
LOSJITZ,O,O,O,O,X,X
LOSJIZT,O,O,O,X,X,X
LOSJZTI,O,X,X,O,O,X
LOSJZIT,O,X,X,X,O,X
LOSZTIJ,X,X,O,O,O,O
LOSZTJI,X,X,X,O,O,O
LOSZITJ,X,X,O,O,O,O
LOSZIJT,O,X,O,X,O,X
LOSZJTI,O,X,X,O,O,X
LOSZJIT,O,X,X,X,O,X
LOZTIJS,X,O,X,X,O,X
LOZTISJ,X,X,X,X,O,X
LOZTJIS,X,O,X,X,O,X
LOZTJSI,X,X,X,O,O,X
LOZTSIJ,X,X,X,O,O,O
LOZTSJI,X,X,X,O,O,O
LOZITJS,X,O,X,X,O,X
LOZITSJ,X,X,X,X,O,X
LOZIJTS,X,O,X,X,O,X
LOZIJST,X,O,X,X,O,X
LOZISTJ,X,X,X,O,O,O
LOZISJT,X,X,X,X,O,X
LOZJTIS,X,O,X,X,O,X
LOZJTSI,X,X,X,O,O,X
LOZJITS,X,O,X,X,O,X
LOZJIST,X,O,X,X,O,X
LOZJSTI,X,X,X,O,O,X
LOZJSIT,X,X,X,X,O,X
LOZSTIJ,X,X,X,O,O,O
LOZSTJI,X,X,X,O,O,O
LOZSITJ,X,X,X,O,O,O
LOZSIJT,X,X,X,X,O,X
LOZSJTI,X,X,X,O,O,X
LOZSJIT,X,X,X,X,O,X
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,O,X,X,X,X
JTILZSO,X,O,X,X,X,X
JTILZOS,X,O,X,X,X,X
JTILOSZ,X,O,X,X,X,X
JTILOZS,X,O,X,X,X,X
JTISLZO,O,O,O,O,X,X
JTISLOZ,O,O,O,O,X,X
JTISZLO,O,X,O,O,X,X
JTISZOL,O,X,O,O,X,X
JTISOLZ,O,O,O,O,X,X
JTISOZL,O,X,O,O,X,X
JTIZLSO,X,O,X,X,X,X
JTIZLOS,O,O,X,X,X,X
JTIZSLO,X,X,O,O,X,X
JTIZSOL,X,X,O,O,X,X
JTIZOLS,O,O,X,X,X,X
JTIZOSL,X,X,O,O,X,X
JTIOLSZ,X,O,X,X,X,X
JTIOLZS,X,O,X,X,X,X
JTIOSLZ,O,O,O,O,X,X
JTIOSZL,O,X,O,O,X,X
JTIOZLS,O,O,X,X,X,X
JTIOZSL,X,X,O,O,X,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,O,X,X,X,X
JTLIZSO,X,O,X,X,X,X
JTLIZOS,X,O,X,X,X,X
JTLIOSZ,X,O,X,X,X,X
JTLIOZS,X,O,X,X,X,X
JTLSIZO,X,O,X,O,X,X
JTLSIOZ,X,O,X,O,X,X
JTLSZIO,X,X,X,O,O,X
JTLSZOI,X,X,X,O,O,X
JTLSOIZ,X,O,X,O,X,X
JTLSOZI,X,X,X,O,O,X
JTLZISO,X,O,X,X,X,X
JTLZIOS,X,O,X,X,O,X
JTLZSIO,X,X,X,O,O,X
JTLZSOI,X,X,X,O,O,X
JTLZOIS,X,O,X,X,O,X
JTLZOSI,X,X,X,O,O,X
JTLOISZ,X,O,X,X,X,X
JTLOIZS,X,O,X,X,X,X
JTLOSIZ,X,O,X,O,X,X
JTLOSZI,X,X,X,O,O,X
JTLOZIS,X,O,X,X,O,X
JTLOZSI,X,X,X,O,O,X
JTSILZO,O,O,O,O,X,X
JTSILOZ,O,O,O,O,X,X
JTSIZLO,O,X,O,O,X,X
JTSIZOL,O,X,O,O,X,X
JTSIOLZ,O,O,O,O,X,X
JTSIOZL,O,X,O,O,X,X
JTSLIZO,O,O,O,O,X,X
JTSLIOZ,O,O,O,O,X,X
JTSLZIO,O,X,X,O,O,X
JTSLZOI,O,X,X,O,O,X
JTSLOIZ,O,O,O,O,X,X
JTSLOZI,O,X,X,O,O,X
JTSZILO,O,X,X,O,X,X
JTSZIOL,O,X,X,O,X,X
JTSZLIO,O,X,X,O,X,X
JTSZLOI,O,X,X,O,X,X
JTSZOIL,O,X,X,O,X,X
JTSZOLI,O,X,X,O,X,X
JTSOILZ,O,O,O,O,X,X
JTSOIZL,O,X,O,O,X,X
JTSOLIZ,O,O,O,O,X,X
JTSOLZI,O,X,X,O,O,X
JTSOZIL,O,X,X,O,X,X
JTSOZLI,O,X,X,O,X,X
JTZILSO,X,O,X,X,X,X
JTZILOS,O,O,X,X,X,X
JTZISLO,X,X,X,O,X,X
JTZISOL,X,X,X,O,X,X
JTZIOLS,O,O,X,X,X,X
JTZIOSL,X,X,X,O,X,X
JTZLISO,X,O,X,X,X,X
JTZLIOS,O,O,X,X,X,X
JTZLSIO,O,X,X,O,X,X
JTZLSOI,O,X,X,O,X,X
JTZLOIS,O,O,X,X,X,X
JTZLOSI,O,X,X,O,X,X
JTZSILO,O,X,X,O,X,X
JTZSIOL,O,X,X,O,X,X
JTZSLIO,O,X,X,O,X,X
JTZSLOI,O,X,X,O,X,X
JTZSOIL,O,X,X,O,X,X
JTZSOLI,O,X,X,O,X,X
JTZOILS,O,O,X,X,X,X
JTZOISL,X,X,X,O,X,X
JTZOLIS,O,O,X,X,X,X
JTZOLSI,O,X,X,O,X,X
JTZOSIL,O,X,X,O,X,X
JTZOSLI,O,X,X,O,X,X
JTOILSZ,X,O,X,X,X,X
JTOILZS,X,O,X,X,X,X
JTOISLZ,O,O,O,O,X,X
JTOISZL,O,X,O,O,X,X
JTOIZLS,O,O,X,X,X,X
JTOIZSL,X,X,O,O,X,X
JTOLISZ,X,O,X,X,X,X
JTOLIZS,X,O,X,X,X,X
JTOLSIZ,X,O,X,O,X,X
JTOLSZI,X,X,X,O,O,X
JTOLZIS,X,O,X,X,O,X
JTOLZSI,X,X,X,O,O,X
JTOSILZ,O,O,O,O,X,X
JTOSIZL,O,X,O,O,X,X
JTOSLIZ,O,O,O,O,X,X
JTOSLZI,O,X,X,O,O,X
JTOSZIL,O,X,X,O,X,X
JTOSZLI,O,X,X,O,X,X
JTOZILS,O,O,X,X,X,X
JTOZISL,X,X,X,O,X,X
JTOZLIS,O,O,X,X,X,X
JTOZLSI,O,X,X,O,X,X
JTOZSIL,O,X,X,O,X,X
JTOZSLI,O,X,X,O,X,X
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,O,X,X,X,X
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,X,O,X,X,X,X
JITLOZS,X,O,X,X,X,X
JITSLZO,O,O,O,O,X,X
JITSLOZ,O,O,O,O,X,X
JITSZLO,O,X,O,O,X,X
JITSZOL,O,X,O,O,X,X
JITSOLZ,O,O,O,O,X,X
JITSOZL,O,X,O,O,X,X
JITZLSO,X,O,X,X,X,X
JITZLOS,O,O,X,X,X,X
JITZSLO,X,X,O,O,X,X
JITZSOL,X,X,O,O,X,X
JITZOLS,O,O,X,X,X,X
JITZOSL,X,X,O,O,X,X
JITOLSZ,X,O,X,X,X,X
JITOLZS,X,O,X,X,X,X
JITOSLZ,O,O,O,O,X,X
JITOSZL,O,X,O,O,X,X
JITOZLS,O,O,X,X,X,X
JITOZSL,X,X,O,O,X,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,O,X,X,X,X
JILTZSO,X,O,X,X,X,X
JILTZOS,X,O,X,X,X,X
JILTOSZ,X,O,X,X,X,X
JILTOZS,X,O,X,X,X,X
JILSTZO,O,O,X,X,X,X
JILSTOZ,O,O,X,X,X,X
JILSZTO,O,O,X,X,X,X
JILSZOT,O,O,X,X,X,X
JILSOTZ,O,O,X,X,X,X
JILSOZT,O,O,X,X,X,X
JILZTSO,X,O,X,X,X,X
JILZTOS,O,O,X,X,X,X
JILZSTO,X,O,X,X,X,X
JILZSOT,O,O,X,X,X,X
JILZOTS,O,O,X,X,X,X
JILZOST,O,O,X,X,X,X
JILOTSZ,X,O,X,X,X,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,O,O,X,X,X,X
JILOSZT,O,O,X,X,X,X
JILOZTS,O,O,X,X,X,X
JILOZST,O,O,X,X,X,X
JISTLZO,O,O,O,O,X,X
JISTLOZ,O,O,O,O,X,X
JISTZLO,O,X,O,O,X,X
JISTZOL,O,X,O,O,X,O
JISTOLZ,O,O,O,O,X,X
JISTOZL,O,X,O,O,X,O
JISLTZO,O,O,O,O,X,X
JISLTOZ,O,O,O,O,X,X
JISLZTO,O,O,O,X,X,X
JISLZOT,O,O,O,X,X,X
JISLOTZ,O,O,O,O,X,X
JISLOZT,O,O,O,X,X,X
JISZTLO,O,X,O,O,X,X
JISZTOL,O,X,O,O,X,O
JISZLTO,O,X,O,X,X,X
JISZLOT,O,X,O,X,X,X
JISZOTL,O,X,O,O,X,O
JISZOLT,O,X,O,X,X,X
JISOTLZ,O,O,O,O,X,X
JISOTZL,O,X,O,O,X,O
JISOLTZ,O,O,O,O,X,X
JISOLZT,O,O,O,X,X,X
JISOZTL,O,X,O,O,X,O
JISOZLT,O,X,O,X,X,X
JIZTLSO,X,O,X,X,X,X
JIZTLOS,O,O,X,X,X,X
JIZTSLO,X,X,O,O,X,X
JIZTSOL,X,X,O,O,X,X
JIZTOLS,O,O,X,X,X,X
JIZTOSL,X,X,O,O,X,X
JIZLTSO,X,O,X,X,X,X
JIZLTOS,O,O,X,X,X,X
JIZLSTO,O,O,X,X,X,X
JIZLSOT,O,O,X,X,X,X
JIZLOTS,O,O,X,X,X,X
JIZLOST,O,O,X,X,X,X
JIZSTLO,O,X,O,O,X,X
JIZSTOL,O,X,O,O,X,O
JIZSLTO,O,X,O,X,X,X
JIZSLOT,O,X,O,X,X,X
JIZSOTL,O,X,O,O,X,O
JIZSOLT,O,X,O,X,X,X
JIZOTLS,O,O,X,X,X,X
JIZOTSL,X,X,O,O,X,X
JIZOLTS,O,O,X,X,X,X
JIZOLST,O,O,X,X,X,X
JIZOSTL,O,X,O,O,X,O
JIZOSLT,O,X,O,X,X,X
JIOTLSZ,X,O,X,X,X,X
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,O,O,O,O,X,X
JIOTSZL,O,X,O,O,X,X
JIOTZLS,O,O,X,X,X,X
JIOTZSL,X,X,O,O,X,X
JIOLTSZ,X,O,X,X,X,X
JIOLTZS,X,O,X,X,X,X
JIOLSTZ,O,O,X,X,X,X
JIOLSZT,O,O,X,X,X,X
JIOLZTS,O,O,X,X,X,X
JIOLZST,O,O,X,X,X,X
JIOSTLZ,O,O,O,O,X,X
JIOSTZL,O,X,O,O,X,O
JIOSLTZ,O,O,O,O,X,X
JIOSLZT,O,O,O,X,X,X
JIOSZTL,O,X,O,O,X,O
JIOSZLT,O,X,O,X,X,X
JIOZTLS,O,O,X,X,X,X
JIOZTSL,X,X,O,O,X,X
JIOZLTS,O,O,X,X,X,X
JIOZLST,O,O,X,X,X,X
JIOZSTL,O,X,O,O,X,O
JIOZSLT,O,X,O,X,X,X
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,X,O,X,X,X,X
JLTIZOS,X,O,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,X,O,X,X,X,X
JLTSIZO,X,O,X,O,X,X
JLTSIOZ,X,O,X,O,X,X
JLTSZIO,X,X,X,O,O,X
JLTSZOI,X,X,X,O,O,X
JLTSOIZ,X,O,X,O,X,X
JLTSOZI,X,X,X,O,O,X
JLTZISO,X,O,X,X,X,X
JLTZIOS,X,O,X,X,O,X
JLTZSIO,X,X,X,O,O,X
JLTZSOI,X,X,X,O,O,X
JLTZOIS,X,O,X,X,O,X
JLTZOSI,X,X,X,O,O,X
JLTOISZ,X,O,X,X,X,X
JLTOIZS,X,O,X,X,X,X
JLTOSIZ,X,O,X,O,X,X
JLTOSZI,X,X,X,O,O,X
JLTOZIS,X,O,X,X,O,X
JLTOZSI,X,X,X,O,O,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,X,O,X,X,X,X
JLITZOS,X,O,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X
JLISTZO,O,O,X,X,X,X
JLISTOZ,O,O,X,X,X,X
JLISZTO,O,O,X,X,X,X
JLISZOT,O,O,X,X,X,X
JLISOTZ,O,O,X,X,X,X
JLISOZT,O,O,X,X,X,X
JLIZTSO,X,O,X,X,X,X
JLIZTOS,O,O,X,X,X,X
JLIZSTO,X,O,X,X,X,X
JLIZSOT,O,O,X,X,X,X
JLIZOTS,O,O,X,X,X,X
JLIZOST,O,O,X,X,X,X
JLIOTSZ,X,O,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,O,O,X,X,X,X
JLIOSZT,O,O,X,X,X,X
JLIOZTS,O,O,X,X,X,X
JLIOZST,O,O,X,X,X,X
JLSTIZO,O,O,X,O,X,X
JLSTIOZ,O,O,X,O,X,X
JLSTZIO,O,X,X,O,O,X
JLSTZOI,O,X,X,O,O,X
JLSTOIZ,O,O,X,O,X,X
JLSTOZI,O,X,X,O,O,X
JLSITZO,O,O,X,O,X,X
JLSITOZ,O,O,X,O,X,X
JLSIZTO,O,O,X,X,X,X
JLSIZOT,O,O,X,X,X,X
JLSIOTZ,O,O,X,O,X,X
JLSIOZT,O,O,X,X,X,X
JLSZTIO,O,X,X,O,O,X
JLSZTOI,O,X,X,O,O,X
JLSZITO,O,X,X,X,O,X
JLSZIOT,O,X,X,X,O,X
JLSZOTI,O,X,X,O,O,X
JLSZOIT,O,X,X,X,O,X
JLSOTIZ,O,O,X,O,X,X
JLSOTZI,O,X,X,O,O,X
JLSOITZ,O,O,X,O,X,X
JLSOIZT,O,O,X,X,X,X
JLSOZTI,O,X,X,O,O,X
JLSOZIT,O,X,X,X,O,X
JLZTISO,X,O,X,X,X,X
JLZTIOS,O,O,X,X,O,X
JLZTSIO,O,X,X,O,O,X
JLZTSOI,O,X,X,O,O,X
JLZTOIS,O,O,X,X,O,X
JLZTOSI,O,X,X,O,O,X
JLZITSO,X,O,X,X,X,X
JLZITOS,O,O,X,X,O,X
JLZISTO,O,O,X,X,O,X
JLZISOT,O,O,X,X,O,X
JLZIOTS,O,O,X,X,O,X
JLZIOST,O,O,X,X,O,X
JLZSTIO,O,X,X,O,O,X
JLZSTOI,O,X,X,O,O,X
JLZSITO,O,X,X,X,O,X
JLZSIOT,O,X,X,X,O,X
JLZSOTI,O,X,X,O,O,X
JLZSOIT,O,X,X,X,O,X
JLZOTIS,O,O,X,X,O,X
JLZOTSI,O,X,X,O,O,X
JLZOITS,O,O,X,X,O,X
JLZOIST,O,O,X,X,O,X
JLZOSTI,O,X,X,O,O,X
JLZOSIT,O,X,X,X,O,X
JLOTISZ,X,O,X,X,X,X
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,X,O,X,O,X,X
JLOTSZI,X,X,X,O,O,X
JLOTZIS,X,O,X,X,O,X
JLOTZSI,X,X,X,O,O,X
JLOITSZ,X,O,X,X,X,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,O,O,X,X,X,X
JLOISZT,O,O,X,X,X,X
JLOIZTS,O,O,X,X,X,X
JLOIZST,O,O,X,X,X,X
JLOSTIZ,O,O,X,O,X,X
JLOSTZI,O,X,X,O,O,X
JLOSITZ,O,O,X,O,X,X
JLOSIZT,O,O,X,X,X,X
JLOSZTI,O,X,X,O,O,X
JLOSZIT,O,X,X,X,O,X
JLOZTIS,O,O,X,X,O,X
JLOZTSI,O,X,X,O,O,X
JLOZITS,O,O,X,X,O,X
JLOZIST,O,O,X,X,O,X
JLOZSTI,O,X,X,O,O,X
JLOZSIT,O,X,X,X,O,X
JSTILZO,O,O,O,O,X,X
JSTILOZ,O,O,O,O,X,X
JSTIZLO,O,X,O,O,X,X
JSTIZOL,O,X,O,O,X,O
JSTIOLZ,O,O,O,O,X,X
JSTIOZL,O,X,O,O,X,O
JSTLIZO,O,O,O,O,X,X
JSTLIOZ,O,O,O,O,X,X
JSTLZIO,O,X,X,O,O,X
JSTLZOI,O,X,X,O,O,X
JSTLOIZ,O,O,O,O,X,X
JSTLOZI,O,X,X,O,O,X
JSTZILO,O,X,X,O,X,X
JSTZIOL,O,X,X,O,X,O
JSTZLIO,O,X,X,O,X,X
JSTZLOI,O,X,X,O,X,X
JSTZOIL,O,X,X,O,X,O
JSTZOLI,O,X,X,O,X,O
JSTOILZ,O,O,O,O,X,X
JSTOIZL,O,X,O,O,X,O
JSTOLIZ,O,O,O,O,X,X
JSTOLZI,O,X,X,O,O,X
JSTOZIL,O,X,X,O,X,O
JSTOZLI,O,X,X,O,X,O
JSITLZO,O,O,O,O,X,X
JSITLOZ,O,O,O,O,X,X
JSITZLO,O,X,O,O,X,X
JSITZOL,O,X,O,O,X,O
JSITOLZ,O,O,O,O,X,X
JSITOZL,O,X,O,O,X,O
JSILTZO,O,O,O,O,X,X
JSILTOZ,O,O,O,O,X,X
JSILZTO,O,O,O,X,X,X
JSILZOT,O,O,O,X,X,X
JSILOTZ,O,O,O,O,X,X
JSILOZT,O,O,O,X,X,X
JSIZTLO,O,X,O,O,X,X
JSIZTOL,O,X,O,O,X,O
JSIZLTO,O,X,O,X,X,X
JSIZLOT,O,X,O,X,X,X
JSIZOTL,O,X,O,O,X,O
JSIZOLT,O,X,O,X,X,X
JSIOTLZ,O,O,O,O,X,X
JSIOTZL,O,X,O,O,X,O
JSIOLTZ,O,O,O,O,X,X
JSIOLZT,O,O,O,X,X,X
JSIOZTL,O,X,O,O,X,O
JSIOZLT,O,X,O,X,X,X
JSLTIZO,O,O,O,O,X,X
JSLTIOZ,O,O,O,O,X,X
JSLTZIO,O,X,X,O,O,X
JSLTZOI,O,X,X,O,O,X
JSLTOIZ,O,O,O,O,X,X
JSLTOZI,O,X,X,O,O,X
JSLITZO,O,O,O,O,X,X
JSLITOZ,O,O,O,O,X,X
JSLIZTO,O,O,O,X,X,X
JSLIZOT,O,O,O,X,X,X
JSLIOTZ,O,O,O,O,X,X
JSLIOZT,O,O,O,X,X,X
JSLZTIO,O,X,X,O,O,X
JSLZTOI,O,X,X,O,O,X
JSLZITO,O,X,X,X,O,X
JSLZIOT,O,X,X,X,O,X
JSLZOTI,O,X,X,O,O,X
JSLZOIT,O,X,X,X,O,X
JSLOTIZ,O,O,O,O,X,X
JSLOTZI,O,X,X,O,O,X
JSLOITZ,O,O,O,O,X,X
JSLOIZT,O,O,O,X,X,X
JSLOZTI,O,X,X,O,O,X
JSLOZIT,O,X,X,X,O,X
JSZTILO,O,X,X,O,X,X
JSZTIOL,O,X,X,O,X,O
JSZTLIO,O,X,X,O,X,X
JSZTLOI,O,X,X,O,X,X
JSZTOIL,O,X,X,O,X,O
JSZTOLI,O,X,X,O,X,O
JSZITLO,O,X,X,O,X,X
JSZITOL,O,X,X,O,X,O
JSZILTO,O,X,X,X,X,X
JSZILOT,O,X,X,X,X,X
JSZIOTL,O,X,X,O,X,O
JSZIOLT,O,X,X,X,X,X
JSZLTIO,O,X,X,O,X,X
JSZLTOI,O,X,X,O,X,X
JSZLITO,O,X,X,X,X,X
JSZLIOT,O,X,X,X,X,X
JSZLOTI,O,X,X,O,X,X
JSZLOIT,O,X,X,X,X,X
JSZOTIL,O,X,X,O,X,O
JSZOTLI,O,X,X,O,X,O
JSZOITL,O,X,X,O,X,O
JSZOILT,O,X,X,X,X,X
JSZOLTI,O,X,X,O,X,X
JSZOLIT,O,X,X,X,X,X
JSOTILZ,O,O,O,O,X,X
JSOTIZL,O,X,O,O,X,O
JSOTLIZ,O,O,O,O,X,X
JSOTLZI,O,X,X,O,O,X
JSOTZIL,O,X,X,O,X,O
JSOTZLI,O,X,X,O,X,O
JSOITLZ,O,O,O,O,X,X
JSOITZL,O,X,O,O,X,O
JSOILTZ,O,O,O,O,X,X
JSOILZT,O,O,O,X,X,X
JSOIZTL,O,X,O,O,X,O
JSOIZLT,O,X,O,X,X,X
JSOLTIZ,O,O,O,O,X,X
JSOLTZI,O,X,X,O,O,X
JSOLITZ,O,O,O,O,X,X
JSOLIZT,O,O,O,X,X,X
JSOLZTI,O,X,X,O,O,X
JSOLZIT,O,X,X,X,O,X
JSOZTIL,O,X,X,O,X,O
JSOZTLI,O,X,X,O,X,O
JSOZITL,O,X,X,O,X,O
JSOZILT,O,X,X,X,X,X
JSOZLTI,O,X,X,O,X,X
JSOZLIT,O,X,X,X,X,X
JZTILSO,X,O,X,X,X,X
JZTILOS,O,O,X,X,X,X
JZTISLO,X,X,X,O,X,X
JZTISOL,X,X,X,O,X,X
JZTIOLS,O,O,X,X,X,X
JZTIOSL,X,X,X,O,X,X
JZTLISO,X,O,X,X,X,X
JZTLIOS,O,O,X,X,X,X
JZTLSIO,O,X,X,O,X,X
JZTLSOI,O,X,X,O,X,X
JZTLOIS,O,O,X,X,X,X
JZTLOSI,O,X,X,O,X,X
JZTSILO,O,X,X,O,X,X
JZTSIOL,O,X,X,O,X,O
JZTSLIO,O,X,X,O,X,X
JZTSLOI,O,X,X,O,X,X
JZTSOIL,O,X,X,O,X,O
JZTSOLI,O,X,X,O,X,O
JZTOILS,O,O,X,X,X,X
JZTOISL,X,X,X,O,X,X
JZTOLIS,O,O,X,X,X,X
JZTOLSI,O,X,X,O,X,X
JZTOSIL,O,X,X,O,X,O
JZTOSLI,O,X,X,O,X,O
JZITLSO,X,O,X,X,X,X
JZITLOS,O,O,X,X,X,X
JZITSLO,X,X,X,O,X,X
JZITSOL,X,X,X,O,X,X
JZITOLS,O,O,X,X,X,X
JZITOSL,X,X,X,O,X,X
JZILTSO,X,O,X,X,X,X
JZILTOS,O,O,X,X,X,X
JZILSTO,O,O,X,X,X,X
JZILSOT,O,O,X,X,X,X
JZILOTS,O,O,X,X,X,X
JZILOST,O,O,X,X,X,X
JZISTLO,O,X,X,O,X,X
JZISTOL,O,X,X,O,X,O
JZISLTO,O,X,X,X,X,X
JZISLOT,O,X,X,X,X,X
JZISOTL,O,X,X,O,X,O
JZISOLT,O,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X
JZIOTSL,X,X,X,O,X,X
JZIOLTS,O,O,X,X,X,X
JZIOLST,O,O,X,X,X,X
JZIOSTL,O,X,X,O,X,O
JZIOSLT,O,X,X,X,X,X
JZLTISO,X,O,X,X,X,X
JZLTIOS,O,O,X,X,X,X
JZLTSIO,O,X,X,O,X,X
JZLTSOI,O,X,X,O,X,X
JZLTOIS,O,O,X,X,X,X
JZLTOSI,O,X,X,O,X,X
JZLITSO,X,O,X,X,X,X
JZLITOS,O,O,X,X,X,X
JZLISTO,O,O,X,X,X,X
JZLISOT,O,O,X,X,X,X
JZLIOTS,O,O,X,X,X,X
JZLIOST,O,O,X,X,X,X
JZLSTIO,O,X,X,O,X,X
JZLSTOI,O,X,X,O,X,X
JZLSITO,O,X,X,X,X,X
JZLSIOT,O,X,X,X,X,X
JZLSOTI,O,X,X,O,X,X
JZLSOIT,O,X,X,X,X,X
JZLOTIS,O,O,X,X,X,X
JZLOTSI,O,X,X,O,X,X
JZLOITS,O,O,X,X,X,X
JZLOIST,O,O,X,X,X,X
JZLOSTI,O,X,X,O,X,X
JZLOSIT,O,X,X,X,X,X
JZSTILO,O,X,X,O,X,X
JZSTIOL,O,X,X,O,X,O
JZSTLIO,O,X,X,O,X,X
JZSTLOI,O,X,X,O,X,X
JZSTOIL,O,X,X,O,X,O
JZSTOLI,O,X,X,O,X,O
JZSITLO,O,X,X,O,X,X
JZSITOL,O,X,X,O,X,O
JZSILTO,O,X,X,X,X,X
JZSILOT,O,X,X,X,X,X
JZSIOTL,O,X,X,O,X,O
JZSIOLT,O,X,X,X,X,X
JZSLTIO,O,X,X,O,X,X
JZSLTOI,O,X,X,O,X,X
JZSLITO,O,X,X,X,X,X
