sequence,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBmiBXlBl?mBcsBTrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBclBihBz?iBFsB3rB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukB8mBziBi?lBXsBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFGgB/mBFiB8?nBzkBywB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBXiB8nBi?lBzrBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBThBOnB8?nBXlB1wB,v115@GhA8IeA8CeB8CeB8AeC8CeC8Jex/IvhFziBOpBXlBV?sB0rBirB
TIZLOSJ,X,O,X,O,O,O,X
TIZJLSO,O,O,X,O,X,O,X
TIZJLOS,X,O,X,X,O,O,X
TIZJSLO,O,O,X,O,X,O,X
TIZJSOL,O,O,X,O,X,O,X
TIZJOLS,X,O,X,X,O,O,X
TIZJOSL,O,O,X,X,X,O,X
TIZSLJO,O,O,X,O,X,O,X
TIZSLOJ,O,O,X,O,X,O,X
TIZSJLO,O,O,X,O,X,O,X
TIZSJOL,O,O,X,O,X,O,X
TIZSOLJ,O,O,X,O,X,O,X
TIZSOJL,O,O,X,O,X,O,X
TIZOLJS,X,O,X,O,O,O,X
TIZOLSJ,X,O,X,O,O,O,X
TIZOJLS,X,O,X,O,O,O,X
TIZOJSL,O,O,X,O,X,O,X
TIZOSLJ,O,O,X,O,O,O,X
TIZOSJL,O,O,X,O,X,O,X
TIOLJSZ,X,X,O,X,X,X,X
TIOLJZS,X,O,X,X,O,X,X
TIOLSJZ,X,X,O,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X
TIOLZJS,X,O,X,X,O,X,X
TIOLZSJ,X,O,X,X,O,X,X
TIOJLSZ,X,X,O,X,X,X,X
TIOJLZS,X,O,X,X,O,X,X
TIOJSLZ,X,X,O,X,X,X,O
TIOJSZL,X,X,X,O,X,X,O
TIOJZLS,X,O,X,O,O,X,X
TIOJZSL,X,O,X,O,X,X,X
TIOSLJZ,X,X,O,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,O
TIOSJZL,X,X,X,O,X,X,O
TIOSZLJ,X,O,O,O,X,X,X
TIOSZJL,X,O,X,O,X,X,X
TIOZLJS,X,O,X,O,O,X,X
TIOZLSJ,X,O,X,O,O,X,X
TIOZJLS,X,O,X,O,O,X,X
TIOZJSL,X,O,X,O,X,X,X
TIOZSLJ,X,O,X,O,O,X,X
TIOZSJL,X,O,X,O,X,X,X
TLIJSZO,X,X,O,X,X,X,X
TLIJSOZ,X,X,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X
TLIJZOS,X,O,X,X,O,X,X
TLIJOSZ,X,X,O,X,X,X,X
TLIJOZS,X,O,X,X,O,X,X
TLISJZO,X,X,O,X,X,X,X
TLISJOZ,X,X,O,X,X,X,X
TLISZJO,X,O,O,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X
TLIZJOS,X,O,X,X,O,X,X
TLIZSJO,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X
TLIZOJS,X,O,X,X,O,X,X
TLIZOSJ,X,O,X,X,O,X,X
TLIOJSZ,X,X,O,X,X,X,X
TLIOJZS,X,O,X,X,O,X,X
TLIOSJZ,X,X,O,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X
TLIOZJS,X,O,X,X,O,X,X
TLIOZSJ,X,O,X,X,O,X,X
TLJISZO,X,X,O,X,X,X,X
TLJISOZ,X,X,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X
TLJIZOS,X,O,X,X,O,X,X
TLJIOSZ,X,X,O,X,X,X,X
TLJIOZS,X,O,X,X,O,X,X
TLJSIZO,X,X,O,X,X,X,O
TLJSIOZ,X,X,O,X,X,X,O
TLJSZIO,X,X,O,X,X,X,O
TLJSZOI,X,X,O,X,X,X,O
TLJSOIZ,X,X,O,X,X,X,O
TLJSOZI,X,X,O,X,X,X,O
TLJZISO,X,O,X,X,X,X,X
TLJZIOS,X,O,X,X,O,X,X
TLJZSIO,X,O,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X
TLJZOIS,X,O,X,X,O,X,X
TLJZOSI,X,O,X,X,O,X,X
TLJOISZ,X,X,O,X,X,X,X
TLJOIZS,X,O,X,X,O,X,X
TLJOSIZ,X,X,O,X,X,X,O
TLJOSZI,X,X,O,X,X,X,O
TLJOZIS,X,O,X,X,O,X,X
TLJOZSI,X,O,X,X,O,X,X
TLSIJZO,X,X,O,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X
TLSJIZO,X,X,O,X,X,X,O
TLSJIOZ,X,X,O,X,X,X,O
TLSJZIO,X,X,O,X,X,X,O
TLSJZOI,X,X,O,X,X,X,O
TLSJOIZ,X,X,O,X,X,X,O
TLSJOZI,X,X,O,X,X,X,O
TLSZIJO,X,O,O,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,O
TLSOJZI,X,X,O,X,X,X,O
TLSOZIJ,X,O,O,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X
TLZIJOS,X,O,X,X,O,X,X
TLZISJO,X,O,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X
TLZIOJS,X,O,X,X,O,X,X
TLZIOSJ,X,O,X,X,O,X,X
TLZJISO,X,O,X,X,X,X,X
TLZJIOS,X,O,X,X,O,X,X
TLZJSIO,X,O,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X
TLZJOIS,X,O,X,X,O,X,X
TLZJOSI,X,O,X,X,O,X,X
TLZSIJO,X,O,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X
TLZSJOI,X,O,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X
TLZOIJS,X,O,X,X,O,X,X
TLZOISJ,X,O,X,X,O,X,X
TLZOJIS,X,O,X,X,O,X,X
TLZOJSI,X,O,X,X,O,X,X
TLZOSIJ,X,O,X,X,O,X,X
TLZOSJI,X,O,X,X,O,X,X
TLOIJSZ,X,X,O,X,X,X,X
TLOIJZS,X,O,X,X,O,X,X
TLOISJZ,X,X,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,X,O,X,X,O,X,X
TLOIZSJ,X,O,X,X,O,X,X
TLOJISZ,X,X,O,X,X,X,X
TLOJIZS,X,O,X,X,O,X,X
TLOJSIZ,X,X,O,X,X,X,O
TLOJSZI,X,X,O,X,X,X,O
TLOJZIS,X,O,X,X,O,X,X
TLOJZSI,X,O,X,X,O,X,X
TLOSIJZ,X,X,O,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,O
TLOSJZI,X,X,O,X,X,X,O
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X
TLOZIJS,X,O,X,X,O,X,X
TLOZISJ,X,O,X,X,O,X,X
TLOZJIS,X,O,X,X,O,X,X
TLOZJSI,X,O,X,X,O,X,X
TLOZSIJ,X,O,X,X,O,X,X
TLOZSJI,X,O,X,X,O,X,X
TJILSZO,X,X,O,X,X,X,X
TJILSOZ,X,X,O,X,X,X,X
TJILZSO,X,O,X,X,X,X,X
TJILZOS,X,O,X,X,O,X,X
TJILOSZ,X,X,O,X,X,X,X
TJILOZS,X,O,X,X,O,X,X
TJISLZO,O,X,O,X,X,X,O
TJISLOZ,X,X,O,X,X,X,O
TJISZLO,O,X,X,O,X,X,O
TJISZOL,O,X,X,O,X,X,O
TJISOLZ,X,X,O,X,X,X,O
TJISOZL,X,X,X,X,X,X,O
TJIZLSO,O,O,X,O,X,X,X
TJIZLOS,X,O,X,X,O,X,X
TJIZSLO,O,O,X,O,X,X,X
TJIZSOL,O,O,X,O,X,X,X
TJIZOLS,X,O,X,X,O,X,X
TJIZOSL,O,O,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X
TJIOLZS,X,O,X,X,O,X,X
TJIOSLZ,X,X,O,X,X,X,O
TJIOSZL,X,X,X,X,X,X,O
TJIOZLS,X,O,X,X,O,X,X
TJIOZSL,X,O,X,X,X,X,X
TJLISZO,X,X,O,X,X,X,X
TJLISOZ,X,X,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X
TJLIZOS,X,O,X,X,O,X,X
TJLIOSZ,X,X,O,X,X,X,X
TJLIOZS,X,O,X,X,O,X,X
TJLSIZO,X,X,O,X,X,X,O
TJLSIOZ,X,X,O,X,X,X,O
TJLSZIO,X,X,O,X,X,X,O
TJLSZOI,X,X,O,X,X,X,O
TJLSOIZ,X,X,O,X,X,X,O
TJLSOZI,X,X,O,X,X,X,O
TJLZISO,X,O,X,X,X,X,X
TJLZIOS,X,O,X,X,O,X,X
TJLZSIO,X,O,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X
TJLZOIS,X,O,X,X,O,X,X
TJLZOSI,X,O,X,X,O,X,X
TJLOISZ,X,X,O,X,X,X,X
TJLOIZS,X,O,X,X,O,X,X
TJLOSIZ,X,X,O,X,X,X,O
TJLOSZI,X,X,O,X,X,X,O
TJLOZIS,X,O,X,X,O,X,X
TJLOZSI,X,O,X,X,O,X,X
TJSILZO,O,X,O,X,X,X,O
TJSILOZ,X,X,O,X,X,X,O
TJSIZLO,O,X,X,O,X,X,O
TJSIZOL,O,X,X,O,X,X,O
TJSIOLZ,X,X,O,X,X,X,O
TJSIOZL,X,X,X,X,X,X,O
TJSLIZO,O,X,O,X,X,X,O
TJSLIOZ,X,X,O,X,X,X,O
TJSLZIO,O,X,O,X,X,X,O
TJSLZOI,O,X,O,X,X,X,O
TJSLOIZ,X,X,O,X,X,X,O
TJSLOZI,X,X,O,X,X,X,O
TJSZILO,O,X,X,O,X,X,O
TJSZIOL,O,X,X,O,X,X,O
TJSZLIO,O,X,X,O,X,X,O
TJSZLOI,O,X,X,X,X,X,O
TJSZOIL,O,X,X,O,X,X,O
TJSZOLI,O,X,X,X,X,X,O
TJSOILZ,X,X,O,X,X,X,O
TJSOIZL,X,X,X,X,X,X,O
TJSOLIZ,X,X,O,X,X,X,O
TJSOLZI,X,X,O,X,X,X,O
TJSOZIL,X,X,X,X,X,X,O
TJSOZLI,X,X,X,X,X,X,O
TJZILSO,O,O,X,O,X,X,X
TJZILOS,X,O,X,X,O,X,X
TJZISLO,O,O,X,O,X,X,X
TJZISOL,O,O,X,O,X,X,X
TJZIOLS,X,O,X,X,O,X,X
TJZIOSL,O,O,X,X,X,X,X
TJZLISO,O,O,X,O,X,X,X
TJZLIOS,X,O,X,X,O,X,X
TJZLSIO,O,O,X,O,X,X,X
TJZLSOI,O,O,X,O,X,X,X
TJZLOIS,X,O,X,X,O,X,X
TJZLOSI,X,O,X,X,O,X,X
TJZSILO,O,O,X,O,X,X,O
TJZSIOL,O,O,X,O,X,X,O
TJZSLIO,O,O,X,O,X,X,O
TJZSLOI,O,O,X,X,X,X,O
TJZSOIL,O,O,X,O,X,X,O
TJZSOLI,O,O,X,X,X,X,O
TJZOILS,X,O,X,X,O,X,X
TJZOISL,O,O,X,X,X,X,X
TJZOLIS,X,O,X,X,O,X,X
TJZOLSI,X,O,X,X,O,X,X
TJZOSIL,O,O,X,X,X,X,O
TJZOSLI,O,O,X,X,X,X,O
TJOILSZ,X,X,O,X,X,X,X
TJOILZS,X,O,X,X,O,X,X
TJOISLZ,X,X,O,X,X,X,O
TJOISZL,X,X,X,X,X,X,O
TJOIZLS,X,O,X,X,O,X,X
TJOIZSL,X,O,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X,X
TJOLIZS,X,O,X,X,O,X,X
TJOLSIZ,X,X,O,X,X,X,O
TJOLSZI,X,X,O,X,X,X,O
TJOLZIS,X,O,X,X,O,X,X
TJOLZSI,X,O,X,X,O,X,X
TJOSILZ,X,X,O,X,X,X,O
TJOSIZL,X,X,X,X,X,X,O
TJOSLIZ,X,X,O,X,X,X,O
TJOSLZI,X,X,O,X,X,X,O
TJOSZIL,X,X,X,X,X,X,O
TJOSZLI,X,X,X,X,X,X,O
TJOZILS,X,O,X,X,O,X,X
TJOZISL,X,O,X,X,X,X,X
TJOZLIS,X,O,X,X,O,X,X
TJOZLSI,X,O,X,X,O,X,X
TJOZSIL,X,O,X,X,X,X,O
TJOZSLI,X,O,X,X,X,X,O
TSILJZO,O,X,O,X,X,X,X
TSILJOZ,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,X,O,X
TSILZOJ,O,O,O,X,X,O,X
TSILOJZ,X,X,O,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X
TSIJLZO,O,X,O,X,X,X,O
TSIJLOZ,X,X,O,X,X,X,O
TSIJZLO,O,X,X,O,X,X,O
TSIJZOL,O,X,X,O,X,X,O
TSIJOLZ,X,X,O,X,X,X,O
TSIJOZL,X,X,X,X,X,X,O
TSIZLJO,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,O,X
TSIZJLO,O,O,X,O,X,O,X
TSIZJOL,O,O,X,O,X,O,X
TSIZOLJ,O,O,O,O,X,O,X
TSIZOJL,O,O,X,O,X,O,X
TSIOLJZ,X,X,O,X,X,X,X
TSIOLZJ,X,O,O,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,O
TSIOJZL,X,X,X,O,X,X,O
TSIOZLJ,X,O,O,O,X,X,X
TSIOZJL,X,O,X,O,X,X,X
TSLIJZO,O,X,O,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,X,O,X
TSLIZOJ,O,O,O,X,X,O,X
TSLIOJZ,X,X,O,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X
TSLJIZO,O,X,O,X,X,X,O
TSLJIOZ,X,X,O,X,X,X,O
TSLJZIO,O,X,O,X,X,X,O
TSLJZOI,O,X,O,X,X,X,O
TSLJOIZ,X,X,O,X,X,X,O
TSLJOZI,X,X,O,X,X,X,O
TSLZIJO,O,O,O,X,X,O,X
TSLZIOJ,O,O,O,X,X,O,X
TSLZJIO,O,O,O,X,X,O,X
TSLZJOI,O,O,O,X,X,O,X
TSLZOIJ,O,O,O,X,X,O,X
TSLZOJI,O,O,O,X,X,O,X
TSLOIJZ,X,X,O,X,X,X,X
TSLOIZJ,X,O,O,X,X,X,X
TSLOJIZ,X,X,O,X,X,X,O
TSLOJZI,X,X,O,X,X,X,O
TSLOZIJ,X,O,O,X,X,X,X
TSLOZJI,X,O,O,X,X,X,X
TSJILZO,O,X,O,X,X,X,O
TSJILOZ,X,X,O,X,X,X,O
TSJIZLO,O,X,X,O,X,X,O
TSJIZOL,O,X,X,O,X,X,O
TSJIOLZ,X,X,O,X,X,X,O
TSJIOZL,X,X,X,X,X,X,O
TSJLIZO,O,X,O,X,X,X,O
TSJLIOZ,X,X,O,X,X,X,O
TSJLZIO,O,X,O,X,X,X,O
TSJLZOI,O,X,O,X,X,X,O
TSJLOIZ,X,X,O,X,X,X,O
TSJLOZI,X,X,O,X,X,X,O
TSJZILO,O,X,X,O,X,X,O
TSJZIOL,O,X,X,O,X,X,O
TSJZLIO,O,X,X,O,X,X,O
TSJZLOI,O,X,X,X,X,X,O
TSJZOIL,O,X,X,O,X,X,O
TSJZOLI,O,X,X,X,X,X,O
TSJOILZ,X,X,O,X,X,X,O
TSJOIZL,X,X,X,X,X,X,O
TSJOLIZ,X,X,O,X,X,X,O
TSJOLZI,X,X,O,X,X,X,O
TSJOZIL,X,X,X,X,X,X,O
TSJOZLI,X,X,X,X,X,X,O
TSZILJO,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,X,O,X
TSZIJLO,O,O,X,O,X,O,X
TSZIJOL,O,O,X,O,X,O,X
TSZIOLJ,O,O,O,O,X,O,X
TSZIOJL,O,O,X,O,X,O,X
TSZLIJO,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,X,O,X
TSZLJOI,O,O,O,X,X,O,X
TSZLOIJ,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,X,O,X
TSZJILO,O,O,X,O,X,O,O
TSZJIOL,O,O,X,O,X,O,O
TSZJLIO,O,O,X,O,X,O,O
TSZJLOI,O,O,X,X,X,O,O
TSZJOIL,O,O,X,O,X,O,O
TSZJOLI,O,O,X,O,X,O,O
TSZOILJ,O,O,O,O,X,O,X
TSZOIJL,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,X,O,X
TSZOJIL,O,O,X,O,X,O,O
TSZOJLI,O,O,X,O,X,O,O
TSOILJZ,X,X,O,X,X,X,X
TSOILZJ,X,O,O,X,X,X,X
TSOIJLZ,X,X,O,X,X,X,O
TSOIJZL,X,X,X,O,X,X,O
TSOIZLJ,X,O,O,O,X,X,X
TSOIZJL,X,O,X,O,X,X,X
TSOLIJZ,X,X,O,X,X,X,X
TSOLIZJ,X,O,O,X,X,X,X
TSOLJIZ,X,X,O,X,X,X,O
TSOLJZI,X,X,O,X,X,X,O
TSOLZIJ,X,O,O,X,X,X,X
TSOLZJI,X,O,O,X,X,X,X
TSOJILZ,X,X,O,X,X,X,O
TSOJIZL,X,X,X,O,X,X,O
TSOJLIZ,X,X,O,X,X,X,O
TSOJLZI,X,X,O,X,X,X,O
TSOJZIL,X,X,X,O,X,X,O
TSOJZLI,X,X,X,O,X,X,O
TSOZILJ,X,O,O,O,X,X,X
TSOZIJL,X,O,X,O,X,X,X
TSOZLIJ,X,O,O,O,X,X,X
TSOZLJI,X,O,O,O,X,X,X
TSOZJIL,X,O,X,O,X,X,O
TSOZJLI,X,O,X,O,X,X,O
TZILJSO,O,O,X,O,X,O,X
TZILJOS,X,O,X,X,O,O,X
TZILSJO,O,O,X,O,X,O,X
TZILSOJ,O,O,X,O,X,O,X
TZILOJS,X,O,X,O,O,O,X
TZILOSJ,X,O,X,O,O,O,X
TZIJLSO,O,O,X,O,X,O,X
TZIJLOS,X,O,X,X,O,O,X
TZIJSLO,O,O,X,O,X,O,X
TZIJSOL,O,O,X,O,X,O,X
TZIJOLS,X,O,X,X,O,O,X
TZIJOSL,O,O,X,X,X,O,X
TZISLJO,O,O,X,O,X,O,X
TZISLOJ,O,O,X,O,X,O,X
TZISJLO,O,O,X,O,X,O,X
TZISJOL,O,O,X,O,X,O,X
TZISOLJ,O,O,X,O,X,O,X
TZISOJL,O,O,X,O,X,O,X
TZIOLJS,X,O,X,O,O,O,X
TZIOLSJ,X,O,X,O,O,O,X
TZIOJLS,X,O,X,O,O,O,X
TZIOJSL,O,O,X,O,X,O,X
TZIOSLJ,O,O,X,O,O,O,X
TZIOSJL,O,O,X,O,X,O,X
TZLIJSO,O,O,X,O,X,O,X
TZLIJOS,X,O,X,X,O,O,X
TZLISJO,O,O,X,O,X,O,X
TZLISOJ,O,O,X,O,X,O,X
TZLIOJS,X,O,X,O,O,O,X
TZLIOSJ,X,O,X,O,O,O,X
TZLJISO,O,O,X,O,X,O,X
TZLJIOS,X,O,X,X,O,O,X
TZLJSIO,O,O,X,O,X,O,X
TZLJSOI,O,O,X,O,X,O,X
TZLJOIS,X,O,X,X,O,O,X
TZLJOSI,X,O,X,X,O,O,X
TZLSIJO,O,O,X,O,X,O,X
TZLSIOJ,O,O,X,O,X,O,X
TZLSJIO,O,O,X,O,X,O,X
TZLSJOI,O,O,X,O,X,O,X
TZLSOIJ,O,O,X,O,X,O,X
TZLSOJI,O,O,X,O,X,O,X
TZLOIJS,X,O,X,O,O,O,X
TZLOISJ,X,O,X,O,O,O,X
TZLOJIS,X,O,X,O,O,O,X
TZLOJSI,X,O,X,O,O,O,X
TZLOSIJ,X,O,X,O,O,O,X
TZLOSJI,X,O,X,O,O,O,X
TZJILSO,O,O,X,O,X,O,X
TZJILOS,X,O,X,X,O,O,X
TZJISLO,O,O,X,O,X,O,X
TZJISOL,O,O,X,O,X,O,X
TZJIOLS,X,O,X,X,O,O,X
TZJIOSL,O,O,X,X,X,O,X
TZJLISO,O,O,X,O,X,O,X
TZJLIOS,X,O,X,X,O,O,X
TZJLSIO,O,O,X,O,X,O,X
TZJLSOI,O,O,X,O,X,O,X
TZJLOIS,X,O,X,X,O,O,X
TZJLOSI,X,O,X,X,O,O,X
TZJSILO,O,O,X,O,X,O,O
TZJSIOL,O,O,X,O,X,O,O
TZJSLIO,O,O,X,O,X,O,O
TZJSLOI,O,O,X,X,X,O,O
TZJSOIL,O,O,X,O,X,O,O
TZJSOLI,O,O,X,X,X,O,O
TZJOILS,X,O,X,X,O,O,X
TZJOISL,O,O,X,X,X,O,X
TZJOLIS,X,O,X,X,O,O,X
TZJOLSI,X,O,X,X,O,O,X
TZJOSIL,O,O,X,X,X,O,O
TZJOSLI,O,O,X,X,X,O,O
TZSILJO,O,O,X,O,X,O,X
TZSILOJ,O,O,X,O,X,O,X
TZSIJLO,O,O,X,O,X,O,X
TZSIJOL,O,O,X,O,X,O,X
TZSIOLJ,O,O,X,O,X,O,X
TZSIOJL,O,O,X,O,X,O,X
TZSLIJO,O,O,X,O,X,O,X
TZSLIOJ,O,O,X,O,X,O,X
TZSLJIO,O,O,X,O,X,O,X
TZSLJOI,O,O,X,X,X,O,X
TZSLOIJ,O,O,X,O,X,O,X
TZSLOJI,O,O,X,O,X,O,X
TZSJILO,O,O,X,O,X,O,O
TZSJIOL,O,O,X,O,X,O,O
TZSJLIO,O,O,X,O,X,O,O
TZSJLOI,O,O,X,X,X,O,O
TZSJOIL,O,O,X,O,X,O,O
TZSJOLI,O,O,X,O,X,O,O
TZSOILJ,O,O,X,O,X,O,X
TZSOIJL,O,O,X,O,X,O,X
TZSOLIJ,O,O,X,O,X,O,X
TZSOLJI,O,O,X,O,X,O,X
TZSOJIL,O,O,X,O,X,O,O
TZSOJLI,O,O,X,O,X,O,O
TZOILJS,X,O,X,O,O,O,X
TZOILSJ,X,O,X,O,O,O,X
TZOIJLS,X,O,X,O,O,O,X
TZOIJSL,O,O,X,O,X,O,X
TZOISLJ,O,O,X,O,O,O,X
TZOISJL,O,O,X,O,X,O,X
TZOLIJS,X,O,X,O,O,O,X
TZOLISJ,X,O,X,O,O,O,X
TZOLJIS,X,O,X,O,O,O,X
TZOLJSI,X,O,X,O,O,O,X
TZOLSIJ,X,O,X,O,O,O,X
TZOLSJI,X,O,X,O,O,O,X
TZOJILS,X,O,X,O,O,O,X
TZOJISL,O,O,X,O,X,O,X
TZOJLIS,X,O,X,O,O,O,X
TZOJLSI,X,O,X,O,O,O,X
TZOJSIL,O,O,X,O,X,O,O
TZOJSLI,O,O,X,O,X,O,O
TZOSILJ,O,O,X,O,O,O,X
TZOSIJL,O,O,X,O,X,O,X
TZOSLIJ,O,O,X,O,O,O,X
TZOSLJI,O,O,X,O,O,O,X
TZOSJIL,O,O,X,O,X,O,O
TZOSJLI,O,O,X,O,X,O,O
