sequence,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBfmB?0hBeoBFqB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBWmB?3iB8sBimBFqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFqkBlhB?3iBzlB8sBOqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFFgB0hB?eoBfqBzlB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8Jex/IvhFlhB3iB?zlB8sBmpBipB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFfmB0hB?WqBznBaqBlsB
TJIZOLS,X,O,O,X,X,X
TJIZOSL,O,O,O,O,X,X
TJIOLSZ,O,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X
TJIOSLZ,O,X,X,O,X,O
TJIOSZL,O,O,X,O,X,O
TJIOZLS,X,O,O,X,X,X
TJIOZSL,O,O,O,O,X,X
TJLISZO,O,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,O,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X
TJLSIZO,O,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X
TJLZISO,X,O,X,X,X,X
TJLZIOS,X,O,X,X,X,X
TJLZSIO,X,O,X,X,X,X
TJLZSOI,X,O,X,X,X,X
TJLZOIS,X,O,X,X,X,X
TJLZOSI,X,O,X,X,X,X
TJLOISZ,O,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X
TJLOSIZ,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X
TJLOZSI,X,O,X,X,X,X
TJSILZO,O,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X
TJSIZOL,O,O,X,X,X,O
TJSIOLZ,O,X,X,O,X,O
TJSIOZL,O,O,X,O,X,O
TJSLIZO,O,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X
TJSZILO,O,O,X,X,X,X
TJSZIOL,O,O,X,X,X,O
TJSZLIO,O,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X
TJSZOIL,O,O,X,X,X,O
TJSZOLI,O,O,X,X,X,X
TJSOILZ,O,X,X,O,X,O
TJSOIZL,O,O,X,O,X,O
TJSOLIZ,O,X,X,O,X,X
TJSOLZI,O,X,X,O,X,X
TJSOZIL,O,O,X,O,X,O
TJSOZLI,O,O,X,O,X,X
TJZILSO,X,O,X,X,X,X
TJZILOS,X,O,X,X,X,X
TJZISLO,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X
TJZIOLS,X,O,O,X,X,X
TJZIOSL,O,O,O,O,X,X
TJZLISO,X,O,X,X,X,X
TJZLIOS,X,O,X,X,X,X
TJZLSIO,X,O,X,X,X,X
TJZLSOI,X,O,X,X,X,X
TJZLOIS,X,O,X,X,X,X
TJZLOSI,X,O,X,X,X,X
TJZSILO,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X
TJZSLIO,O,O,X,X,X,X
TJZSLOI,O,O,X,X,X,X
TJZSOIL,O,O,O,X,O,X
TJZSOLI,O,O,O,X,O,X
TJZOILS,X,O,O,X,O,X
TJZOISL,O,O,O,O,O,X
TJZOLIS,X,O,O,X,O,X
TJZOLSI,X,O,O,X,O,X
TJZOSIL,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,X
