sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFzhBGjBUmBF?qBxsB3sB
TIOJSLZ,O,O,X,O,X,O,O,O,X,X,O,X,O,O
TIOJSZL,O,O,X,O,X,O,O,X,X,X,O,X,O,X
TIOJZLS,O,O,X,O,O,O,O,O,O,O,X,O,X,O
TIOJZSL,O,O,X,O,X,O,O,X,O,O,X,O,O,O
TIOSLJZ,X,O,X,X,X,O,O,X,X,X,O,X,O,O
TIOSLZJ,O,O,X,X,X,O,X,X,X,O,O,O,O,X
TIOSJLZ,X,O,X,O,X,O,O,X,X,X,O,X,O,O
TIOSJZL,X,O,X,O,X,O,O,X,X,X,O,X,O,X
TIOSZLJ,O,O,X,X,X,O,X,X,X,O,O,O,O,X
TIOSZJL,X,X,X,X,X,O,X,X,X,O,O,O,O,X
TIOZLJS,O,X,X,O,O,X,X,X,X,O,X,O,X,O
TIOZLSJ,O,X,X,X,O,O,X,X,X,O,X,O,X,O
TIOZJLS,O,X,X,O,O,O,X,X,X,O,X,O,X,O
TIOZJSL,O,X,X,O,X,O,X,X,X,O,X,O,O,O
TIOZSLJ,O,X,X,X,X,O,X,X,X,O,X,O,O,O
TIOZSJL,X,X,X,X,X,O,X,X,X,O,X,O,O,O
TLIJSZO,O,O,O,O,X,O,X,O,O,X,X,X,O,O
TLIJSOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TLIJZSO,O,O,O,O,O,X,X,O,O,O,X,O,X,O
TLIJZOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLIJOSZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TLIJOZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TLISJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
TLISJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
TLISZJO,O,X,O,X,O,O,X,O,X,O,X,O,O,O
TLISZOJ,O,X,O,X,O,O,X,O,X,X,X,O,O,O
TLISOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
TLISOZJ,O,X,O,X,O,X,X,O,X,X,X,O,O,X
TLIZJSO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TLIZJOS,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TLIZSJO,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TLIZSOJ,X,O,O,O,O,X,X,X,X,X,X,O,X,O
TLIZOJS,X,X,X,O,O,X,X,X,O,O,X,O,X,O
TLIZOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TLIOJSZ,O,O,X,O,O,X,O,O,O,X,X,X,O,O
TLIOJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TLIOSJZ,X,O,X,X,O,X,O,O,O,X,X,X,O,O
TLIOSZJ,O,O,X,X,O,X,X,O,X,O,X,O,O,X
TLIOZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TLIOZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TLJISZO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TLJISOZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJIZSO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
TLJIZOS,O,O,O,O,O,X,O,O,O,O,X,X,X,O
TLJIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJIOZS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJSIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
TLJSIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TLJZISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLJZIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLJZSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLJZOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TLJOISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TLJOIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJOSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLJOSZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLJOZIS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLJOZSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLSIJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
TLSIJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
TLSIZJO,O,X,O,X,O,O,X,O,X,O,X,X,O,O
TLSIZOJ,O,X,O,X,O,O,X,O,X,X,X,X,O,O
TLSIOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
TLSIOZJ,O,X,O,X,O,X,X,O,X,X,X,X,O,X
TLSJIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
TLSJIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLSJZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLSJOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,X,O,X,X,O,O
TLSZIOJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
TLSZJIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X
TLSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
TLSZOJI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TLSOIZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,X
TLSOJIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLSOJZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,O,X,O,X,O,X,X,O,X
TLSOZJI,O,O,O,O,O,O,O,O,X,O,X,X,X,X
TLZIJSO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TLZIJOS,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TLZISJO,X,O,O,O,O,O,X,X,X,O,X,O,X,O
TLZISOJ,X,O,O,O,O,O,X,X,X,X,X,O,X,O
TLZIOJS,X,X,X,O,O,X,X,X,O,O,X,O,X,O
TLZIOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TLZJISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLZJIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLZJSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLZJSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLZJOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLZJOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,X,O,X,O,X,X,O,O
TLZSIOJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
TLZSJIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X
TLZSJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
TLZSOJI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLZOIJS,O,O,X,O,O,X,X,X,O,O,X,O,X,O
TLZOISJ,O,O,X,X,O,X,X,X,X,O,X,O,X,O
TLZOJIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLZOJSI,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,O,X,O,X,X,O,O
TLZOSJI,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOIJSZ,O,O,X,O,O,X,O,O,O,X,O,X,O,O
TLOIJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TLOISJZ,X,O,X,X,O,X,O,O,O,X,O,X,O,O
TLOISZJ,O,O,X,X,O,X,X,O,X,O,O,O,O,X
TLOIZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TLOIZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TLOJISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TLOJIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TLOJSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLOJSZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLOJZIS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLOJZSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLOSIJZ,O,O,X,X,O,O,O,O,O,X,O,X,O,X
TLOSIZJ,O,O,O,X,O,O,X,O,X,O,O,X,O,X
TLOSJIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLOSJZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,X,O,O,X,O,X,O,O,X,O,X
TLOSZJI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TLOZIJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TLOZISJ,O,X,X,X,O,O,X,X,X,O,X,O,X,O
TLOZJIS,O,O,O,O,O,O,O,O,O,O,X,O,X,O
TLOZJSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLOZSIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,O
TLOZSJI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TJILSZO,O,O,O,O,X,O,O,O,O,X,X,X,O,O
TJILSOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TJILZSO,O,O,O,O,X,O,X,O,O,O,X,O,X,O
TJILZOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJILOSZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TJILOZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TJISLZO,O,O,O,O,X,O,O,O,X,X,X,X,O,O
TJISLOZ,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TJISZLO,O,O,O,O,X,O,O,X,X,X,X,X,O,O
TJISZOL,O,O,O,X,X,O,O,X,X,X,X,X,O,O
TJISOLZ,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TJISOZL,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TJIZLSO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TJIZLOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJIZSLO,O,O,O,O,X,O,O,X,X,O,X,O,O,O
TJIZSOL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TJIZOLS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJIZOSL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TJIOLSZ,O,O,O,O,O,X,O,O,O,X,O,X,O,O
TJIOLZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TJIOSLZ,O,O,O,O,X,O,O,O,X,X,O,X,O,O
TJIOSZL,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TJIOZLS,O,O,O,O,O,O,O,O,O,X,X,O,X,O
TJIOZSL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TJLISZO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TJLISOZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TJLIZSO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
TJLIZOS,O,O,O,O,O,X,O,O,O,O,X,X,X,O
TJLIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TJLIOZS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TJLSIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
TJLSIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TJLSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TJLSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TJLZISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TJLZIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJLZSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TJLZSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TJLZOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJLZOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TJLOISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TJLOIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLOSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TJLOSZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TJLOZIS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TJLOZSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TJSILZO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
TJSILOZ,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TJSIZLO,O,O,O,O,X,O,O,X,X,X,X,X,O,X
TJSIZOL,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJSIOLZ,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TJSIOZL,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TJSLIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
TJSLIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TJSLZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJSLZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TJSLOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TJSZILO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TJSZIOL,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJSZLIO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TJSZLOI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TJSZOIL,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJSZOLI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TJSOILZ,O,O,O,O,X,O,O,O,X,X,O,X,O,X
TJSOIZL,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TJSOLIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TJSOLZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TJSOZIL,O,O,O,O,X,O,O,X,O,X,O,O,X,X
TJSOZLI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
TJZILSO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TJZILOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJZISLO,O,O,O,O,X,O,O,X,X,O,X,O,X,O
TJZISOL,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TJZIOLS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJZIOSL,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TJZLISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TJZLIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJZLSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TJZLSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TJZLOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJZLOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,O,O,X,X,O,X,O,X,X
TJZSIOL,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJZSLIO,O,O,O,O,O,O,O,X,O,O,X,X,X,X
TJZSLOI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TJZSOIL,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TJZOILS,O,O,O,O,O,O,O,O,O,O,X,O,X,O
TJZOISL,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TJZOLIS,O,O,O,O,O,O,O,O,O,O,X,O,X,O
TJZOLSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TJZOSIL,O,O,O,O,X,O,O,X,O,X,O,O,X,X
TJZOSLI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
TJOILSZ,O,O,O,O,O,X,O,O,O,X,O,X,O,X
TJOILZS,O,O,O,O,O,X,O,O,O,O,X,O,X,X
TJOISLZ,O,O,O,O,X,O,O,O,X,X,O,X,O,X
TJOISZL,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TJOIZLS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TJOIZSL,O,O,O,O,X,O,O,X,O,O,X,O,O,X
TJOLISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TJOLIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TJOLSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
