sequence,v115@JhA8HeB8FeA8AeD8AeD8Jex/IvhF8lBzhBCjBOpBXo?BlrB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgBXhBTjBFnB0n?BGrB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgB8lBzhBWoBXo?BlrB,v115@JhA8HeB8FeA8AeD8AeD8Jex/IvhFlhB3iBcoBOpBzl?BCsB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgB3iBcoBzlBWs?BlrB
ITJLSOZ,X,O,X,X,X
ITJLZSO,X,O,O,X,X
ITJLZOS,X,O,O,X,X
ITJLOSZ,X,O,X,X,X
ITJLOZS,X,O,O,X,X
ITJSLZO,O,O,X,X,X
ITJSLOZ,O,O,X,X,X
ITJSZLO,O,O,O,X,X
ITJSZOL,O,O,O,X,X
ITJSOLZ,O,O,X,X,X
ITJSOZL,O,O,O,X,X
ITJZLSO,O,O,O,X,X
ITJZLOS,O,O,O,X,X
ITJZSLO,O,O,O,X,X
ITJZSOL,O,O,O,X,O
ITJZOLS,O,O,O,X,O
ITJZOSL,O,O,O,X,O
ITJOLSZ,X,O,X,X,X
ITJOLZS,X,O,O,X,O
ITJOSLZ,O,O,X,X,X
ITJOSZL,O,O,O,X,X
ITJOZLS,O,O,O,X,O
ITJOZSL,O,O,O,X,O
ITSLJZO,O,X,X,X,X
ITSLJOZ,O,O,X,X,X
ITSLZJO,O,X,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,O,X,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,O,X,X,X
ITSJLOZ,O,O,X,X,X
ITSJZLO,O,O,O,X,X
ITSJZOL,O,O,O,X,X
ITSJOLZ,O,O,X,X,X
ITSJOZL,O,O,O,X,X
ITSZLJO,O,X,O,X,X
ITSZLOJ,O,O,O,X,X
ITSZJLO,O,X,O,X,X
ITSZJOL,O,X,O,X,X
ITSZOLJ,O,O,O,X,X
ITSZOJL,O,X,O,X,X
ITSOLJZ,O,O,X,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,O,X,X,X
ITSOJZL,O,O,O,X,X
ITSOZLJ,O,O,O,X,X
ITSOZJL,O,X,O,X,X
ITZLJSO,X,X,O,O,X
ITZLJOS,X,X,O,X,X
ITZLSJO,O,X,O,O,X
ITZLSOJ,O,O,O,O,O
ITZLOJS,X,X,O,X,O
ITZLOSJ,O,O,O,O,O
ITZJLSO,O,O,O,X,X
ITZJLOS,O,O,O,X,X
ITZJSLO,O,O,O,X,X
ITZJSOL,O,O,O,X,O
ITZJOLS,O,O,O,X,O
ITZJOSL,O,O,O,X,O
ITZSLJO,O,X,O,O,X
ITZSLOJ,O,O,O,O,O
ITZSJLO,O,X,O,O,X
ITZSJOL,O,X,O,O,O
ITZSOLJ,O,O,O,O,O
ITZSOJL,O,X,O,O,O
ITZOLJS,X,X,O,O,O
ITZOLSJ,O,O,O,O,O
ITZOJLS,O,O,O,X,O
ITZOJSL,O,O,O,O,O
ITZOSLJ,O,O,O,O,O
ITZOSJL,O,X,O,O,O
ITOLJSZ,X,O,X,X,X
ITOLJZS,X,O,O,O,O
ITOLSJZ,X,O,X,X,X
ITOLSZJ,X,O,X,O,X
ITOLZJS,X,X,O,O,O
ITOLZSJ,X,O,O,O,O
ITOJLSZ,X,O,X,X,X
ITOJLZS,X,O,O,O,O
ITOJSLZ,O,O,X,X,X
ITOJSZL,O,O,O,X,X
ITOJZLS,O,O,O,X,O
ITOJZSL,O,O,O,O,O
ITOSLJZ,O,O,X,X,X
ITOSLZJ,O,O,X,O,X
ITOSJLZ,O,O,X,X,X
ITOSJZL,O,O,O,X,X
ITOSZLJ,O,O,O,O,X
ITOSZJL,O,X,O,O,X
ITOZLJS,X,X,O,O,O
ITOZLSJ,O,O,O,O,O
ITOZJLS,O,O,O,X,O
ITOZJSL,O,O,O,O,O
ITOZSLJ,O,O,O,O,O
ITOZSJL,O,X,O,O,O
ILTJSZO,X,O,X,O,X
ILTJSOZ,X,O,X,X,X
ILTJZSO,X,O,O,O,X
ILTJZOS,X,O,O,O,X
ILTJOSZ,X,O,X,X,X
ILTJOZS,X,O,O,O,X
ILTSJZO,X,X,X,X,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,X,X,X,O,X
ILTSZOJ,X,O,X,O,X
ILTSOJZ,X,O,X,X,X
ILTSOZJ,X,O,X,X,X
ILTZJSO,X,X,O,O,X
ILTZJOS,X,X,O,O,X
ILTZSJO,X,X,O,O,X
ILTZSOJ,X,O,O,O,O
ILTZOJS,X,X,O,X,O
ILTZOSJ,X,O,O,O,O
ILTOJSZ,X,O,X,X,X
ILTOJZS,X,O,O,X,O
ILTOSJZ,X,O,X,X,X
ILTOSZJ,X,O,X,X,X
ILTOZJS,X,X,O,X,O
ILTOZSJ,X,O,O,O,O
ILJTSZO,X,O,X,O,X
ILJTSOZ,X,O,X,X,X
ILJTZSO,X,O,O,O,X
ILJTZOS,X,O,O,O,X
ILJTOSZ,X,O,X,X,X
ILJTOZS,X,O,O,O,X
ILJSTZO,X,O,X,O,X
ILJSTOZ,X,O,X,X,X
ILJSZTO,X,O,O,O,X
ILJSZOT,X,O,X,O,X
ILJSOTZ,X,O,X,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,X,O,O,O,X
ILJZTOS,X,O,O,O,X
ILJZSTO,X,O,O,O,X
ILJZSOT,X,O,X,O,O
ILJZOTS,X,O,O,O,O
ILJZOST,X,O,X,O,O
ILJOTSZ,X,O,X,O,X
ILJOTZS,X,O,X,O,O
ILJOSTZ,X,O,X,O,X
ILJOSZT,X,O,X,O,O
ILJOZTS,X,O,O,O,O
ILJOZST,X,O,X,O,O
ILSTJZO,X,X,X,X,X
ILSTJOZ,X,O,X,X,X
ILSTZJO,O,X,X,O,X
ILSTZOJ,O,O,X,O,X
ILSTOJZ,X,O,X,X,X
ILSTOZJ,X,O,X,X,X
ILSJTZO,X,O,X,X,X
ILSJTOZ,X,O,X,X,X
ILSJZTO,O,O,O,X,X
ILSJZOT,X,O,X,X,X
ILSJOTZ,X,O,X,X,X
ILSJOZT,X,O,X,X,X
ILSZTJO,O,X,O,O,X
ILSZTOJ,O,X,O,O,O
ILSZJTO,O,X,O,O,X
ILSZJOT,X,X,X,X,O
ILSZOTJ,O,X,X,O,O
ILSZOJT,X,X,X,X,O
ILSOTJZ,X,O,X,X,X
ILSOTZJ,X,O,X,X,X
ILSOJTZ,X,O,X,X,X
ILSOJZT,X,O,X,X,O
ILSOZTJ,O,X,X,X,O
ILSOZJT,X,X,X,X,O
ILZTJSO,X,X,O,O,X
ILZTJOS,X,X,O,O,X
ILZTSJO,O,X,O,O,X
ILZTSOJ,O,O,O,O,O
ILZTOJS,X,X,O,X,O
ILZTOSJ,O,O,O,O,O
ILZJTSO,X,O,O,O,X
ILZJTOS,X,O,O,O,X
ILZJSTO,X,O,O,O,X
ILZJSOT,X,O,X,O,O
ILZJOTS,X,O,O,O,O
ILZJOST,X,O,X,O,O
ILZSTJO,O,X,O,O,X
ILZSTOJ,O,X,O,O,O
ILZSJTO,O,X,O,O,X
ILZSJOT,X,X,X,O,O
ILZSOTJ,O,X,X,O,O
ILZSOJT,X,X,X,O,O
ILZOTJS,X,X,O,O,O
ILZOTSJ,X,O,O,O,O
ILZOJTS,X,O,O,O,O
ILZOJST,X,O,X,O,O
ILZOSTJ,X,X,X,O,O
ILZOSJT,X,X,X,O,O
ILOTJSZ,X,O,X,O,X
ILOTJZS,X,O,X,O,O
ILOTSJZ,X,O,X,X,X
ILOTSZJ,X,O,X,O,X
ILOTZJS,X,X,X,O,O
ILOTZSJ,X,O,X,O,O
ILOJTSZ,X,O,X,O,X
ILOJTZS,X,O,X,O,O
ILOJSTZ,X,O,X,O,X
ILOJSZT,X,O,X,O,O
ILOJZTS,X,O,O,O,O
ILOJZST,X,O,X,O,O
ILOSTJZ,X,O,X,X,X
ILOSTZJ,X,O,X,O,X
ILOSJTZ,X,O,X,X,X
ILOSJZT,X,O,X,X,O
ILOSZTJ,X,X,X,O,O
ILOSZJT,X,X,X,O,O
ILOZTJS,X,X,O,O,O
ILOZTSJ,X,O,O,O,O
ILOZJTS,X,O,O,O,O
ILOZJST,X,O,X,O,O
ILOZSTJ,X,X,X,O,O
ILOZSJT,X,X,X,O,O
IJTLSZO,X,O,X,O,X
IJTLSOZ,X,O,X,X,X
IJTLZSO,X,O,O,O,X
IJTLZOS,X,O,O,O,X
IJTLOSZ,X,O,X,X,X
IJTLOZS,X,O,O,O,X
IJTSLZO,O,O,X,X,X
IJTSLOZ,O,O,X,X,X
IJTSZLO,O,O,O,X,X
IJTSZOL,O,O,O,X,X
IJTSOLZ,O,O,X,X,X
IJTSOZL,O,O,O,X,X
IJTZLSO,O,O,O,O,X
IJTZLOS,O,O,O,O,X
IJTZSLO,O,O,O,O,X
IJTZSOL,O,O,O,O,O
IJTZOLS,O,O,O,O,O
IJTZOSL,O,O,O,O,O
IJTOLSZ,X,O,X,O,X
IJTOLZS,X,O,O,O,O
IJTOSLZ,O,O,X,O,X
IJTOSZL,O,O,O,O,X
IJTOZLS,O,O,O,O,O
IJTOZSL,O,O,O,O,O
IJLTSZO,X,O,X,O,X
IJLTSOZ,X,O,X,X,X
IJLTZSO,X,O,O,O,X
IJLTZOS,X,O,O,O,X
IJLTOSZ,X,O,X,X,X
IJLTOZS,X,O,O,O,X
IJLSTZO,O,O,X,O,X
IJLSTOZ,X,O,X,X,X
IJLSZTO,O,O,O,O,X
IJLSZOT,O,O,X,O,X
IJLSOTZ,X,O,X,X,X
IJLSOZT,O,O,X,X,X
IJLZTSO,O,O,O,O,X
IJLZTOS,O,O,O,O,X
IJLZSTO,O,O,O,O,X
IJLZSOT,O,O,X,O,O
IJLZOTS,X,O,O,O,O
IJLZOST,X,O,X,O,O
IJLOTSZ,X,O,X,O,X
IJLOTZS,X,O,X,O,O
IJLOSTZ,X,O,X,O,X
IJLOSZT,X,O,X,O,O
IJLOZTS,X,O,O,O,O
IJLOZST,X,O,X,O,O
IJSTLZO,O,O,X,X,X
IJSTLOZ,O,O,X,X,X
IJSTZLO,O,O,O,X,X
IJSTZOL,O,O,O,X,X
IJSTOLZ,O,O,X,X,X
IJSTOZL,O,O,O,X,X
IJSLTZO,O,O,X,O,X
IJSLTOZ,O,O,X,X,X
IJSLZTO,O,O,O,O,X
IJSLZOT,O,O,X,O,X
IJSLOTZ,X,O,X,X,X
IJSLOZT,O,O,X,X,X
IJSZTLO,O,O,O,O,X
IJSZTOL,O,O,O,O,O
IJSZLTO,O,O,O,O,X
IJSZLOT,O,O,X,O,O
IJSZOTL,O,O,X,O,O
IJSZOLT,O,O,X,O,O
IJSOTLZ,X,O,X,O,X
IJSOTZL,X,O,X,O,X
IJSOLTZ,X,O,X,O,X
IJSOLZT,O,O,X,O,O
IJSOZTL,O,O,X,O,O
IJSOZLT,O,O,X,O,O
IJZTLSO,O,O,O,O,X
IJZTLOS,O,O,O,O,X
IJZTSLO,O,O,O,O,X
IJZTSOL,O,O,O,O,O
IJZTOLS,O,O,O,O,O
IJZTOSL,O,O,O,O,O
IJZLTSO,O,O,O,O,X
IJZLTOS,O,O,O,O,X
IJZLSTO,O,O,O,O,X
IJZLSOT,O,O,X,O,O
IJZLOTS,X,O,O,O,O
IJZLOST,X,O,X,O,O
IJZSTLO,O,O,O,O,X
IJZSTOL,O,O,O,O,O
IJZSLTO,O,O,O,O,X
IJZSLOT,O,O,X,O,O
IJZSOTL,O,O,X,O,O
IJZSOLT,O,O,X,O,O
IJZOTLS,O,O,O,O,O
IJZOTSL,O,O,O,O,O
IJZOLTS,X,O,O,O,O
IJZOLST,X,O,X,O,O
IJZOSTL,O,O,X,O,O
IJZOSLT,O,O,X,O,O
IJOTLSZ,X,O,X,O,X
IJOTLZS,X,O,O,O,O
IJOTSLZ,X,O,X,O,X
IJOTSZL,X,O,O,O,X
IJOTZLS,X,O,O,O,O
IJOTZSL,X,O,O,O,O
IJOLTSZ,X,O,X,O,X
IJOLTZS,X,O,X,O,O
IJOLSTZ,X,O,X,O,X
IJOLSZT,X,O,X,O,O
IJOLZTS,X,O,O,O,O
IJOLZST,X,O,X,O,O
IJOSTLZ,X,O,X,O,X
IJOSTZL,X,O,X,O,X
IJOSLTZ,X,O,X,O,X
IJOSLZT,O,O,X,O,O
IJOSZTL,O,O,X,O,O
IJOSZLT,O,O,X,O,O
IJOZTLS,O,O,O,O,O
IJOZTSL,O,O,O,O,O
IJOZLTS,X,O,O,O,O
IJOZLST,X,O,X,O,O
IJOZSTL,O,O,X,O,O
IJOZSLT,O,O,X,O,O
ISTLJZO,O,X,X,X,X
ISTLJOZ,O,O,X,X,X
ISTLZJO,O,X,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,O,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,O,X,X,X
ISTJLOZ,O,O,X,X,X
ISTJZLO,O,O,O,X,X
ISTJZOL,O,O,O,X,X
ISTJOLZ,O,O,X,X,X
ISTJOZL,O,O,O,X,X
ISTZLJO,O,X,O,X,X
ISTZLOJ,O,O,O,X,X
ISTZJLO,O,X,O,X,X
ISTZJOL,O,X,O,X,X
ISTZOLJ,O,O,O,X,X
ISTZOJL,O,X,O,X,X
ISTOLJZ,O,O,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,O,X,X,X
ISTOJZL,O,O,O,X,X
ISTOZLJ,O,O,O,X,X
ISTOZJL,O,X,O,X,X
ISLTJZO,O,X,X,X,X
ISLTJOZ,O,O,X,X,X
ISLTZJO,O,X,X,O,X
ISLTZOJ,O,O,X,O,X
ISLTOJZ,O,O,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,O,O,X,X,X
ISLJTOZ,O,O,X,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,X,O,X,X,X
ISLJOZT,O,O,X,X,X
ISLZTJO,O,X,O,O,X
ISLZTOJ,O,X,O,O,O
ISLZJTO,O,X,O,O,X
ISLZJOT,O,X,X,X,O
ISLZOTJ,O,X,X,O,O
ISLZOJT,X,X,X,X,O
ISLOTJZ,X,O,X,X,X
ISLOTZJ,X,O,X,X,X
ISLOJTZ,X,O,X,X,X
ISLOJZT,X,O,X,X,O
ISLOZTJ,O,X,X,X,O
ISLOZJT,X,X,X,X,O
ISJTLZO,O,O,X,X,X
ISJTLOZ,O,O,X,X,X
ISJTZLO,O,O,O,X,X
ISJTZOL,O,O,O,X,X
ISJTOLZ,O,O,X,X,X
ISJTOZL,O,O,O,X,X
ISJLTZO,O,O,X,X,X
ISJLTOZ,O,O,X,X,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,X,O,X,X,X
ISJLOZT,O,O,X,X,X
ISJZTLO,O,O,O,X,X
ISJZTOL,O,O,O,X,O
ISJZLTO,O,O,O,X,X
ISJZLOT,O,O,X,X,O
ISJZOTL,O,O,X,X,O
ISJZOLT,O,O,X,X,O
ISJOTLZ,X,O,X,X,X
ISJOTZL,X,O,X,X,X
ISJOLTZ,X,O,X,X,X
ISJOLZT,O,O,X,X,O
ISJOZTL,O,O,X,X,O
ISJOZLT,O,O,X,X,O
ISZTLJO,O,X,O,O,X
ISZTLOJ,O,X,O,O,O
ISZTJLO,O,X,O,O,X
ISZTJOL,O,X,O,O,O
ISZTOLJ,O,X,O,O,O
ISZTOJL,O,X,O,O,O
ISZLTJO,O,X,O,O,X
ISZLTOJ,O,X,O,O,O
ISZLJTO,O,X,O,O,X
ISZLJOT,O,X,X,X,O
ISZLOTJ,O,X,X,O,O
ISZLOJT,X,X,X,O,O
ISZJTLO,O,X,O,O,X
ISZJTOL,O,X,O,O,O
ISZJLTO,O,X,O,O,X
ISZJLOT,O,X,X,X,O
ISZJOTL,O,X,X,O,O
ISZJOLT,O,X,X,O,O
ISZOTLJ,O,X,X,O,O
ISZOTJL,O,X,X,O,O
ISZOLTJ,O,X,X,O,O
ISZOLJT,X,X,X,O,O
ISZOJTL,X,X,X,O,O
ISZOJLT,X,X,X,O,O
ISOTLJZ,X,O,X,X,X
ISOTLZJ,X,O,X,O,X
ISOTJLZ,X,O,X,X,X
ISOTJZL,X,O,X,X,X
ISOTZLJ,X,O,X,O,X
ISOTZJL,X,X,X,O,X
ISOLTJZ,X,O,X,X,X
ISOLTZJ,X,O,X,O,X
ISOLJTZ,X,O,X,X,X
ISOLJZT,X,O,X,X,O
ISOLZTJ,O,X,X,O,O
ISOLZJT,X,X,X,O,O
ISOJTLZ,X,O,X,X,X
ISOJTZL,X,O,X,X,X
ISOJLTZ,X,O,X,X,X
ISOJLZT,X,O,X,X,O
ISOJZTL,X,O,X,X,O
ISOJZLT,X,O,X,X,O
ISOZTLJ,O,X,X,O,O
ISOZTJL,O,X,X,O,O
ISOZLTJ,O,X,X,O,O
ISOZLJT,X,X,X,O,O
ISOZJTL,X,X,X,O,O
ISOZJLT,X,X,X,O,O
IZTLJSO,X,X,O,O,X
IZTLJOS,X,X,O,X,X
IZTLSJO,O,X,O,O,X
IZTLSOJ,O,O,O,O,O
IZTLOJS,X,X,O,X,O
IZTLOSJ,O,O,O,O,O
IZTJLSO,O,O,O,X,X
IZTJLOS,O,O,O,X,X
IZTJSLO,O,O,O,X,X
IZTJSOL,O,O,O,X,O
IZTJOLS,O,O,O,X,O
IZTJOSL,O,O,O,X,O
IZTSLJO,O,X,O,O,X
IZTSLOJ,O,O,O,O,O
IZTSJLO,O,X,O,O,X
IZTSJOL,O,X,O,O,O
IZTSOLJ,O,O,O,O,O
IZTSOJL,O,X,O,O,O
IZTOLJS,X,X,O,O,O
IZTOLSJ,O,O,O,O,O
IZTOJLS,O,O,O,X,O
IZTOJSL,O,O,O,O,O
IZTOSLJ,O,O,O,O,O
IZTOSJL,O,X,O,O,O
IZLTJSO,X,X,O,O,X
IZLTJOS,X,X,O,O,X
IZLTSJO,O,X,O,O,X
IZLTSOJ,O,O,O,O,O
IZLTOJS,X,X,O,X,O
IZLTOSJ,O,O,O,O,O
IZLJTSO,X,O,O,O,X
IZLJTOS,X,O,O,O,X
IZLJSTO,X,O,O,O,X
IZLJSOT,X,O,X,O,O
IZLJOTS,X,O,O,O,O
IZLJOST,X,O,X,O,O
IZLSTJO,O,X,O,O,X
IZLSTOJ,O,X,O,O,O
IZLSJTO,O,X,O,O,X
IZLSJOT,X,X,X,O,O
IZLSOTJ,O,X,X,O,O
IZLSOJT,X,X,X,O,O
IZLOTJS,X,X,O,O,O
IZLOTSJ,X,O,O,O,O
IZLOJTS,X,O,O,O,O
IZLOJST,X,O,X,O,O
IZLOSTJ,X,X,X,O,O
IZLOSJT,X,X,X,O,O
IZJTLSO,O,O,O,O,X
IZJTLOS,O,O,O,O,X
IZJTSLO,O,O,O,O,X
IZJTSOL,O,O,O,O,O
IZJTOLS,O,O,O,O,O
IZJTOSL,O,O,O,O,O
IZJLTSO,O,O,O,O,X
IZJLTOS,O,O,O,O,X
IZJLSTO,O,O,O,O,X
IZJLSOT,O,O,X,O,O
IZJLOTS,X,O,O,O,O
IZJLOST,X,O,X,O,O
IZJSTLO,O,O,O,O,X
IZJSTOL,O,O,O,O,O
IZJSLTO,O,O,O,O,X
IZJSLOT,O,O,X,O,O
IZJSOTL,O,O,X,O,O
IZJSOLT,O,O,X,O,O
IZJOTLS,O,O,O,O,O
IZJOTSL,O,O,O,O,O
IZJOLTS,X,O,O,O,O
IZJOLST,X,O,X,O,O
IZJOSTL,O,O,X,O,O
IZJOSLT,O,O,X,O,O
IZSTLJO,O,X,O,O,X
IZSTLOJ,O,X,O,O,O
IZSTJLO,O,X,O,O,X
IZSTJOL,O,X,O,O,O
IZSTOLJ,O,X,O,O,O
IZSTOJL,O,X,O,O,O
IZSLTJO,O,X,O,O,X
IZSLTOJ,O,X,O,O,O
IZSLJTO,O,X,O,O,X
IZSLJOT,O,X,X,O,O
IZSLOTJ,O,X,X,O,O
IZSLOJT,X,X,X,O,O
IZSJTLO,O,X,O,O,X
IZSJTOL,O,X,O,O,O
IZSJLTO,O,X,O,O,X
IZSJLOT,O,X,X,O,O
IZSJOTL,O,X,X,O,O
IZSJOLT,O,X,X,O,O
IZSOTLJ,O,X,X,O,O
IZSOTJL,O,X,X,O,O
IZSOLTJ,O,X,X,O,O
IZSOLJT,X,X,X,O,O
IZSOJTL,X,X,X,O,O
IZSOJLT,X,X,X,O,O
IZOTLJS,X,X,O,O,O
IZOTLSJ,O,O,O,O,O
IZOTJLS,X,O,O,O,O
IZOTJSL,O,O,O,O,O
IZOTSLJ,O,O,O,O,O
IZOTSJL,O,X,O,O,O
IZOLTJS,X,X,O,O,O
IZOLTSJ,X,O,O,O,O
IZOLJTS,X,O,O,O,O
IZOLJST,X,O,X,O,O
IZOLSTJ,X,X,X,O,O
IZOLSJT,X,X,X,O,O
IZOJTLS,X,O,O,O,O
IZOJTSL,X,O,O,O,O
IZOJLTS,X,O,O,O,O
IZOJLST,X,O,X,O,O
IZOJSTL,X,O,X,O,O
IZOJSLT,X,O,X,O,O
IZOSTLJ,O,X,X,O,O
IZOSTJL,O,X,X,O,O
IZOSLTJ,O,X,X,O,O
IZOSLJT,X,X,X,O,O
IZOSJTL,X,X,X,O,O
IZOSJLT,X,X,X,O,O
IOTLJSZ,X,O,X,O,X
IOTLJZS,X,O,O,O,O
IOTLSJZ,X,O,X,X,X
IOTLSZJ,X,O,X,O,X
IOTLZJS,X,X,O,O,O
IOTLZSJ,X,O,O,O,O
IOTJLSZ,X,O,X,O,X
IOTJLZS,X,O,O,O,O
IOTJSLZ,X,O,X,O,X
IOTJSZL,X,O,O,O,X
IOTJZLS,X,O,O,O,O
IOTJZSL,X,O,O,O,O
IOTSLJZ,X,O,X,X,X
IOTSLZJ,X,O,X,O,X
IOTSJLZ,X,O,X,X,X
IOTSJZL,X,O,O,X,X
IOTSZLJ,X,O,O,O,X
IOTSZJL,X,X,O,O,X
IOTZLJS,X,X,O,O,O
IOTZLSJ,X,O,O,O,O
IOTZJLS,X,O,O,O,O
IOTZJSL,X,O,O,O,O
IOTZSLJ,X,O,O,O,O
IOTZSJL,X,X,O,O,O
IOLTJSZ,X,O,X,O,X
IOLTJZS,X,O,X,O,O
IOLTSJZ,X,O,X,X,X
IOLTSZJ,X,O,X,O,X
IOLTZJS,X,X,X,O,O
IOLTZSJ,X,O,X,O,O
IOLJTSZ,X,O,X,O,X
IOLJTZS,X,O,X,O,O
IOLJSTZ,X,O,X,O,X
IOLJSZT,X,O,X,O,O
IOLJZTS,X,O,O,O,O
IOLJZST,X,O,X,O,O
IOLSTJZ,X,O,X,X,X
IOLSTZJ,X,O,X,O,X
IOLSJTZ,X,O,X,X,X
IOLSJZT,X,O,X,X,O
IOLSZTJ,X,X,X,O,O
IOLSZJT,X,X,X,O,O
IOLZTJS,X,X,O,O,O
IOLZTSJ,X,O,O,O,O
IOLZJTS,X,O,O,O,O
IOLZJST,X,O,X,O,O
IOLZSTJ,X,X,X,O,O
IOLZSJT,X,X,X,O,O
IOJTLSZ,X,O,X,O,X
IOJTLZS,X,O,O,O,O
IOJTSLZ,X,O,X,O,X
IOJTSZL,X,O,O,O,X
IOJTZLS,X,O,O,O,O
IOJTZSL,X,O,O,O,O
IOJLTSZ,X,O,X,O,X
IOJLTZS,X,O,X,O,O
IOJLSTZ,X,O,X,O,X
IOJLSZT,X,O,X,O,O
IOJLZTS,X,O,O,O,O
IOJLZST,X,O,X,O,O
IOJSTLZ,X,O,X,O,X
IOJSTZL,X,O,X,O,X
IOJSLTZ,X,O,X,O,X
IOJSLZT,X,O,X,O,O
IOJSZTL,X,O,X,O,O
IOJSZLT,X,O,X,O,O
IOJZTLS,X,O,O,O,O
IOJZTSL,X,O,O,O,O
IOJZLTS,X,O,O,O,O
IOJZLST,X,O,X,O,O
IOJZSTL,X,O,X,O,O
IOJZSLT,X,O,X,O,O
IOSTLJZ,X,O,X,X,X
IOSTLZJ,X,O,X,O,X
IOSTJLZ,X,O,X,X,X
IOSTJZL,X,O,X,X,X
IOSTZLJ,X,O,X,O,X
IOSTZJL,X,X,X,O,X
IOSLTJZ,X,O,X,X,X
IOSLTZJ,X,O,X,O,X
IOSLJTZ,X,O,X,X,X
IOSLJZT,X,O,X,X,O
IOSLZTJ,O,X,X,O,O
IOSLZJT,X,X,X,O,O
IOSJTLZ,X,O,X,X,X
IOSJTZL,X,O,X,X,X
IOSJLTZ,X,O,X,X,X
IOSJLZT,X,O,X,X,O
IOSJZTL,X,O,X,X,O
IOSJZLT,X,O,X,X,O
IOSZTLJ,O,X,X,O,O
IOSZTJL,O,X,X,O,O
IOSZLTJ,O,X,X,O,O
IOSZLJT,X,X,X,O,O
IOSZJTL,X,X,X,O,O
IOSZJLT,X,X,X,O,O
IOZTLJS,X,X,O,O,O
IOZTLSJ,O,O,O,O,O
IOZTJLS,X,O,O,O,O
IOZTJSL,O,O,O,O,O
IOZTSLJ,O,O,O,O,O
IOZTSJL,O,X,O,O,O
IOZLTJS,X,X,O,O,O
IOZLTSJ,X,O,O,O,O
IOZLJTS,X,O,O,O,O
IOZLJST,X,O,X,O,O
IOZLSTJ,X,X,X,O,O
IOZLSJT,X,X,X,O,O
IOZJTLS,X,O,O,O,O
IOZJTSL,X,O,O,O,O
IOZJLTS,X,O,O,O,O
IOZJLST,X,O,X,O,O
IOZJSTL,X,O,X,O,O
IOZJSLT,X,O,X,O,O
IOZSTLJ,O,X,X,O,O
IOZSTJL,O,X,X,O,O
IOZSLTJ,O,X,X,O,O
IOZSLJT,X,X,X,O,O
IOZSJTL,X,X,X,O,O
IOZSJLT,X,X,X,O,O
LTIJSZO,X,O,X,O,X
LTIJSOZ,X,O,X,X,X
LTIJZSO,X,O,O,O,X
LTIJZOS,X,O,O,O,X
LTIJOSZ,X,O,X,X,X
LTIJOZS,X,O,O,O,X
LTISJZO,X,X,X,X,X
LTISJOZ,X,O,X,X,X
LTISZJO,X,X,X,O,X
LTISZOJ,X,O,X,O,X
LTISOJZ,X,O,X,X,X
LTISOZJ,X,O,X,X,X
LTIZJSO,X,X,O,O,X
LTIZJOS,X,X,O,O,X
LTIZSJO,X,X,O,O,X
LTIZSOJ,X,O,O,O,O
LTIZOJS,X,X,O,X,O
LTIZOSJ,X,O,O,O,O
LTIOJSZ,X,O,X,X,X
LTIOJZS,X,O,O,X,O
LTIOSJZ,X,O,X,X,X
LTIOSZJ,X,O,X,X,X
LTIOZJS,X,X,O,X,O
LTIOZSJ,X,O,O,O,O
LTJISZO,X,O,X,O,X
LTJISOZ,X,O,X,X,X
LTJIZSO,X,O,O,O,X
LTJIZOS,X,O,O,O,X
LTJIOSZ,X,O,X,X,X
LTJIOZS,X,O,O,O,X
LTJSIZO,O,O,X,O,X
LTJSIOZ,O,O,X,X,X
LTJSZIO,O,O,X,O,X
LTJSZOI,O,O,X,O,X
LTJSOIZ,O,O,X,X,X
LTJSOZI,O,O,X,X,X
LTJZISO,O,O,O,O,X
LTJZIOS,O,O,O,O,X
LTJZSIO,O,O,O,O,X
LTJZSOI,O,O,O,O,X
LTJZOIS,O,O,O,O,X
LTJZOSI,O,O,O,O,X
LTJOISZ,X,O,X,O,X
LTJOIZS,X,O,O,O,X
LTJOSIZ,O,O,X,O,X
LTJOSZI,O,O,X,O,X
LTJOZIS,O,O,O,O,X
LTJOZSI,O,O,O,O,X
LTSIJZO,O,X,X,X,X
LTSIJOZ,O,O,X,X,X
LTSIZJO,O,X,X,O,X
LTSIZOJ,O,O,X,O,X
LTSIOJZ,O,O,X,X,X
LTSIOZJ,O,O,X,X,X
LTSJIZO,O,X,X,O,X
LTSJIOZ,O,O,X,X,X
