sequence,v115@9gB8HeC8GeB8HeB8EeC8Je3BJvhFCjBcqBVsBToBml?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhF6oBcqB3mBznBFn?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFzhBGjBUoBxqBXs?ByvB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFOnBXjBStBTqB0r?BFrB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhF+oBRnBimB3nBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhFFiBTjBfsBWtByq?BxvB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFRiB+oB3nBTqB0r?BirB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFVnBUmBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JefIJvhF6oBRmBmlBUnBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFziB+oB3lByvBFs?B8rB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFUmBFnBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhFcqB3mBCoBFnBTo?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JezCJvhF+oBRmBilBUnB3q?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JeWIJvhFRmBlmBToBiqBXs?B0qB,v115@9gB8HeC8GeB8HeB8EeC8JeRGJvhFCoB3lBFnBToB0r?B2vB,v115@9gB8HeC8GeB8HeB8EeC8JeTDJvhFGmBiqBxsBcsBlq?B3rB,v115@9gB8HeC8GeB8HeB8EeC8JeVGJvhFUiBXoBGoBxqByw?BTqB
TIJSLZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TIJSZLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJSOZL,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOSL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJOSZL,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOZSL,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TISLJZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TISLZJO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TISJZLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISZLJO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZJOL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZSJOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJSZL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TLIJSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISJZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TLISJOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TLISZOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLISOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLIZJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TLIZSOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLIZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJISZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLJSIZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLJZIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLJOSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TLSIJOZ,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X
TLSIZJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLSIOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSJIZO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X
TLSJZIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLSJOZI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZISJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
TLZISOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLZJISO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLZJIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISLZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLZIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TJSIZLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
