sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
TLOSZJI,O,O,X,O,X,X,X
TLOZIJS,O,X,X,O,O,X,X
TLOZISJ,O,O,X,O,X,X,X
TLOZJIS,O,X,X,O,O,X,X
TLOZJSI,O,X,X,O,O,X,X
TLOZSIJ,O,O,X,O,X,X,X
TLOZSJI,O,O,X,O,X,X,X
TJILSZO,X,X,O,O,X,X,X
TJILSOZ,X,X,O,O,O,X,X
TJILZSO,X,X,O,O,O,X,O
TJILZOS,X,X,O,O,O,X,O
TJILOSZ,X,X,X,O,O,X,X
TJILOZS,X,X,X,O,O,X,X
TJISLZO,X,X,O,O,X,X,X
TJISLOZ,X,X,O,O,O,X,X
TJISZLO,X,X,O,X,X,X,X
TJISZOL,X,X,O,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X
TJISOZL,X,X,O,X,X,X,X
TJIZLSO,X,X,O,O,O,X,O
TJIZLOS,X,X,O,O,O,X,O
TJIZSLO,X,X,O,O,O,X,X
TJIZSOL,X,X,O,X,X,X,X
TJIZOLS,X,X,O,O,O,X,X
TJIZOSL,X,X,O,X,X,X,X
TJIOLSZ,X,X,X,O,O,X,X
TJIOLZS,X,X,X,O,O,X,X
TJIOSLZ,X,X,O,O,X,X,X
TJIOSZL,X,X,O,X,X,X,X
TJIOZLS,X,X,O,O,O,X,X
TJIOZSL,X,X,O,X,X,X,X
TJLISZO,X,X,O,O,X,X,X
TJLISOZ,X,X,O,O,O,X,X
TJLIZSO,X,X,O,O,O,X,O
TJLIZOS,X,X,O,O,O,X,O
TJLIOSZ,X,X,X,O,O,X,X
TJLIOZS,X,X,X,O,O,X,X
TJLSIZO,X,X,O,O,X,X,X
TJLSIOZ,X,X,O,O,O,X,X
TJLSZIO,X,X,O,O,O,X,X
TJLSZOI,X,X,O,X,O,X,X
TJLSOIZ,X,X,O,X,O,X,X
TJLSOZI,X,X,O,X,O,X,X
TJLZISO,X,X,O,O,O,X,O
TJLZIOS,X,X,O,O,O,X,O
TJLZSIO,X,X,O,O,O,X,O
TJLZSOI,X,X,O,X,O,X,O
TJLZOIS,X,X,O,O,O,X,O
TJLZOSI,X,X,O,O,O,X,O
TJLOISZ,X,X,X,O,O,X,X
TJLOIZS,X,X,X,O,O,X,X
TJLOSIZ,X,X,X,O,O,X,X
TJLOSZI,X,X,X,O,O,X,X
TJLOZIS,X,X,X,O,O,X,X
TJLOZSI,X,X,X,O,O,X,X
TJSILZO,X,X,O,O,X,X,X
TJSILOZ,X,X,O,O,O,X,X
TJSIZLO,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X
TJSIOZL,X,X,O,X,X,X,X
TJSLIZO,X,X,O,O,X,X,X
TJSLIOZ,X,X,O,O,O,X,X
TJSLZIO,X,X,O,O,O,X,X
TJSLZOI,X,X,O,X,O,X,X
TJSLOIZ,X,X,O,X,O,O,X
TJSLOZI,X,X,O,X,O,O,X
TJSZILO,X,X,O,O,O,X,X
TJSZIOL,X,X,O,X,X,X,X
TJSZLIO,X,X,O,O,O,X,X
TJSZLOI,X,X,O,X,O,X,X
TJSZOIL,X,X,O,X,X,X,X
TJSZOLI,X,X,O,X,O,X,X
TJSOILZ,X,X,O,X,X,O,X
TJSOIZL,X,X,O,X,X,O,X
TJSOLIZ,X,X,O,X,O,O,X
TJSOLZI,X,X,O,X,O,O,X
TJSOZIL,X,X,O,X,X,O,X
TJSOZLI,X,X,O,X,O,O,X
TJZILSO,X,X,O,O,O,X,O
TJZILOS,X,X,O,O,O,X,O
TJZISLO,X,X,O,O,O,X,X
TJZISOL,X,X,O,X,X,X,X
TJZIOLS,X,X,O,O,O,X,X
TJZIOSL,X,X,O,O,X,X,X
TJZLISO,X,X,O,O,O,X,O
TJZLIOS,X,X,O,O,O,X,O
TJZLSIO,X,X,O,O,O,X,O
TJZLSOI,X,X,O,X,O,X,O
TJZLOIS,X,X,O,O,O,X,O
TJZLOSI,X,X,O,O,O,X,O
TJZSILO,X,X,O,O,O,X,X
TJZSIOL,X,X,O,X,X,X,X
TJZSLIO,X,X,O,O,O,X,X
TJZSLOI,X,X,O,X,O,X,X
TJZSOIL,X,X,O,X,X,X,X
TJZSOLI,X,X,O,X,O,X,X
TJZOILS,X,X,O,O,O,X,X
TJZOISL,X,X,O,O,X,X,X
TJZOLIS,X,X,O,O,O,X,X
TJZOLSI,X,X,O,O,O,X,X
TJZOSIL,X,X,O,O,X,X,X
TJZOSLI,X,X,O,O,O,X,X
TJOILSZ,X,X,X,O,O,X,X
TJOILZS,X,X,X,O,O,X,X
TJOISLZ,X,X,O,O,X,O,X
TJOISZL,X,X,O,X,X,O,X
TJOIZLS,X,X,O,O,O,X,X
TJOIZSL,X,X,O,O,X,X,X
TJOLISZ,X,X,X,O,O,X,X
TJOLIZS,X,X,X,O,O,X,X
TJOLSIZ,X,X,X,O,O,X,X
TJOLSZI,X,X,X,O,O,X,X
TJOLZIS,X,X,X,O,O,X,X
TJOLZSI,X,X,X,O,O,X,X
TJOSILZ,X,X,O,O,X,O,X
TJOSIZL,X,X,O,X,X,O,X
TJOSLIZ,X,X,O,O,O,O,X
TJOSLZI,X,X,O,O,O,O,X
TJOSZIL,X,X,O,O,X,O,X
TJOSZLI,X,X,O,O,O,O,X
TJOZILS,X,X,O,O,O,X,X
TJOZISL,X,X,O,O,X,X,X
TJOZLIS,X,X,O,O,O,X,X
TJOZLSI,X,X,O,O,O,X,X
TJOZSIL,X,X,O,O,X,X,X
TJOZSLI,X,X,O,O,O,X,X
TSILJZO,O,X,O,O,X,X,X
TSILJOZ,X,X,O,O,X,X,X
TSILZJO,O,O,O,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X
TSILOJZ,O,X,O,O,X,O,X
TSILOZJ,O,O,O,X,X,X,X
TSIJLZO,X,X,O,O,X,X,X
TSIJLOZ,X,X,O,O,X,X,X
TSIJZLO,O,X,O,X,X,X,X
TSIJZOL,O,X,O,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X
TSIJOZL,X,X,O,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X
TSIZJOL,O,X,O,X,X,X,X
TSIZOLJ,X,O,O,X,X,X,X
TSIZOJL,O,X,O,X,X,X,X
TSIOLJZ,X,X,O,O,X,O,X
TSIOLZJ,X,X,O,X,X,X,X
TSIOJLZ,X,X,O,O,X,O,X
TSIOJZL,X,X,O,X,X,O,X
TSIOZLJ,X,X,O,X,X,X,X
TSIOZJL,O,X,O,X,X,X,X
TSLIJZO,O,X,O,O,X,X,X
TSLIJOZ,X,X,O,O,X,X,X
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X
TSLIOJZ,O,X,O,O,X,O,X
TSLIOZJ,O,O,O,X,X,X,X
TSLJIZO,O,X,O,O,X,X,X
TSLJIOZ,X,X,O,O,X,X,X
TSLJZIO,O,X,O,O,X,X,X
TSLJZOI,O,X,O,X,X,X,X
TSLJOIZ,O,X,O,X,X,O,X
TSLJOZI,O,X,O,X,X,O,X
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,X,X,X,X
TSLZOIJ,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,X,X
TSLOIJZ,O,X,O,O,X,O,X
TSLOIZJ,O,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,X,O,X
TSLOJZI,O,X,O,O,X,O,X
TSLOZIJ,O,O,O,O,X,X,X
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,X,X,O,O,X,X,X
TSJILOZ,X,X,O,O,X,X,X
TSJIZLO,O,X,O,X,X,X,X
TSJIZOL,O,X,O,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X
TSJIOZL,X,X,O,X,X,X,X
TSJLIZO,O,X,O,O,X,X,X
TSJLIOZ,X,X,O,O,X,X,X
TSJLZIO,O,X,O,O,X,X,X
TSJLZOI,O,X,O,X,X,X,X
TSJLOIZ,O,X,O,X,X,O,X
TSJLOZI,O,X,O,X,X,O,X
TSJZILO,O,X,O,O,X,X,X
TSJZIOL,O,X,O,X,X,X,X
TSJZLIO,O,X,O,O,X,X,X
TSJZLOI,O,X,O,X,X,X,X
TSJZOIL,O,X,O,X,X,X,X
TSJZOLI,O,X,O,X,X,X,X
TSJOILZ,X,X,O,X,X,O,X
TSJOIZL,X,X,O,X,X,O,X
TSJOLIZ,X,X,O,X,X,O,X
TSJOLZI,X,X,O,X,X,O,X
TSJOZIL,X,X,O,X,X,O,X
TSJOZLI,X,X,O,X,X,O,X
TSZILJO,O,O,O,O,X,X,X
TSZILOJ,O,O,O,O,X,X,X
TSZIJLO,O,O,O,O,X,X,X
TSZIJOL,O,X,O,X,X,X,X
TSZIOLJ,X,O,O,O,X,X,X
TSZIOJL,O,X,O,O,X,X,X
TSZLIJO,O,O,O,O,X,X,X
TSZLIOJ,O,O,O,O,X,X,X
TSZLJIO,O,O,O,O,X,X,X
TSZLJOI,O,O,O,X,X,X,X
TSZLOIJ,O,O,O,O,X,X,X
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,X,X
TSZJIOL,O,X,O,X,X,X,X
TSZJLIO,O,O,O,O,X,X,X
TSZJLOI,O,O,O,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X
TSZOILJ,O,O,O,O,X,X,X
TSZOIJL,O,X,O,O,X,X,X
TSZOLIJ,O,O,O,O,X,X,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,X,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,O,X,O,O,X,O,X
TSOILZJ,O,X,O,X,X,X,X
TSOIJLZ,X,X,O,O,X,O,X
TSOIJZL,X,X,O,X,X,O,X
TSOIZLJ,O,X,O,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X
TSOLIJZ,O,X,O,O,X,O,X
TSOLIZJ,O,O,O,X,X,X,X
TSOLJIZ,O,X,O,O,X,O,X
TSOLJZI,O,X,O,O,X,O,X
TSOLZIJ,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,X,X,O,O,X,O,X
TSOJIZL,X,X,O,X,X,O,X
TSOJLIZ,X,X,O,O,X,O,X
TSOJLZI,X,X,O,O,X,O,X
TSOJZIL,X,X,O,O,X,O,X
TSOJZLI,X,X,O,O,X,O,X
TSOZILJ,O,O,O,O,X,X,X
TSOZIJL,O,X,O,O,X,X,X
TSOZLIJ,O,O,O,O,X,X,X
TSOZLJI,O,O,O,O,X,X,X
TSOZJIL,O,X,O,O,X,X,X
TSOZJLI,O,O,O,O,X,X,X
TZILJSO,O,X,O,O,O,X,O
TZILJOS,X,X,O,O,O,X,O
TZILSJO,O,O,O,O,X,X,O
TZILSOJ,O,O,O,O,X,X,X
TZILOJS,X,X,O,O,O,X,O
TZILOSJ,X,O,O,O,X,X,X
TZIJLSO,O,X,O,O,O,X,O
TZIJLOS,X,X,O,O,O,X,O
TZIJSLO,O,X,O,O,O,X,X
TZIJSOL,O,X,O,X,X,X,X
TZIJOLS,O,X,O,O,O,X,X
TZIJOSL,O,X,O,O,X,X,X
TZISLJO,O,O,O,O,X,X,X
TZISLOJ,O,O,O,O,X,X,X
TZISJLO,O,O,O,O,X,X,X
TZISJOL,O,X,O,X,X,X,X
TZISOLJ,X,O,O,O,X,X,X
TZISOJL,O,X,O,O,X,X,X
TZIOLJS,O,X,O,O,X,X,X
TZIOLSJ,O,X,O,O,X,X,X
TZIOJLS,O,X,O,O,X,X,X
TZIOJSL,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,O,X,X,X
TZIOSJL,O,X,O,O,X,X,X
TZLIJSO,O,X,O,O,O,X,O
TZLIJOS,X,X,O,O,O,X,O
TZLISJO,O,O,O,O,X,X,O
TZLISOJ,O,O,O,O,X,X,X
TZLIOJS,X,X,O,O,O,X,O
TZLIOSJ,X,O,O,O,X,X,X
TZLJISO,O,X,O,O,O,X,O
TZLJIOS,X,X,O,O,O,X,O
TZLJSIO,O,X,O,O,O,X,O
TZLJSOI,O,X,O,X,O,X,O
TZLJOIS,O,X,O,O,O,X,O
TZLJOSI,O,X,O,O,O,X,O
TZLSIJO,O,O,O,O,X,X,O
TZLSIOJ,O,O,O,O,X,X,X
TZLSJIO,O,O,O,O,X,X,O
TZLSJOI,O,O,O,X,X,X,O
TZLSOIJ,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,X,X,X
TZLOIJS,O,X,O,O,O,X,O
TZLOISJ,O,O,O,O,X,X,X
TZLOJIS,O,X,O,O,O,X,O
TZLOJSI,O,X,O,O,O,X,O
TZLOSIJ,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,X,X,X
TZJILSO,O,X,O,O,O,X,O
TZJILOS,X,X,O,O,O,X,O
TZJISLO,O,X,O,O,O,X,X
TZJISOL,O,X,O,X,X,X,X
TZJIOLS,O,X,O,O,O,X,X
TZJIOSL,O,X,O,O,X,X,X
TZJLISO,O,X,O,O,O,X,O
TZJLIOS,X,X,O,O,O,X,O
TZJLSIO,O,X,O,O,O,X,O
TZJLSOI,O,X,O,X,O,X,O
TZJLOIS,O,X,O,O,O,X,O
TZJLOSI,O,X,O,O,O,X,O
TZJSILO,O,X,O,O,O,X,X
TZJSIOL,O,X,O,X,X,X,X
TZJSLIO,O,X,O,O,O,X,X
TZJSLOI,O,X,O,X,O,X,X
TZJSOIL,O,X,O,X,X,X,X
TZJSOLI,O,X,O,X,O,X,X
TZJOILS,O,X,O,O,O,X,X
TZJOISL,O,X,O,O,X,X,X
TZJOLIS,O,X,O,O,O,X,X
TZJOLSI,O,X,O,O,O,X,X
TZJOSIL,O,X,O,O,X,X,X
TZJOSLI,O,X,O,O,O,X,X
TZSILJO,O,O,O,O,X,X,X
TZSILOJ,O,O,O,O,X,X,X
TZSIJLO,O,O,O,O,X,X,X
TZSIJOL,O,X,O,X,X,X,X
TZSIOLJ,X,O,O,O,X,X,X
TZSIOJL,O,X,O,O,X,X,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,O,X,X,X,X
TZSLOIJ,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,X,X,X
TZSJILO,O,O,O,O,X,X,X
TZSJIOL,O,X,O,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X
TZSJLOI,O,O,O,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X
TZSOIJL,O,X,O,O,X,X,X
TZSOLIJ,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,X,O,O,X,X,X
TZSOJLI,O,O,O,O,X,X,X
TZOILJS,O,X,O,O,X,X,X
TZOILSJ,O,X,O,O,X,X,X
TZOIJLS,O,X,O,O,X,X,X
TZOIJSL,O,X,O,O,X,X,X
TZOISLJ,O,X,O,O,X,X,X
TZOISJL,O,X,O,O,X,X,X
TZOLIJS,O,X,O,O,O,X,X
TZOLISJ,O,O,O,O,X,X,X
TZOLJIS,O,X,O,O,O,X,X
TZOLJSI,O,X,O,O,O,X,X
TZOLSIJ,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,X,X,X
TZOJILS,O,X,O,O,O,X,X
TZOJISL,O,X,O,O,X,X,X
TZOJLIS,O,X,O,O,O,X,X
TZOJLSI,O,X,O,O,O,X,X
TZOJSIL,O,X,O,O,X,X,X
TZOJSLI,O,X,O,O,O,X,X
TZOSILJ,O,O,O,O,X,X,X
TZOSIJL,O,X,O,O,X,X,X
TZOSLIJ,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,X,O,O,X,X,X
TZOSJLI,O,O,O,O,X,X,X
TOILJSZ,X,X,X,O,X,X,X
TOILJZS,X,X,X,O,X,X,X
TOILSJZ,O,X,X,O,X,X,X
TOILSZJ,O,X,X,X,X,X,X
TOILZJS,O,X,X,O,X,X,X
