sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
ILOJZST,O,X,X,X,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,O,X,X,O
ILOSTZJ,X,X,X,X,X,O,X,O,X
ILOSJTZ,O,X,X,X,X,X,X,X,O
ILOSJZT,O,X,X,X,X,X,X,O,O
ILOSZTJ,O,X,X,X,O,O,X,O,X
ILOSZJT,O,X,X,X,X,O,X,O,O
ILOZTJS,X,X,X,X,O,O,X,O,X
ILOZTSJ,O,X,X,X,O,O,X,O,X
ILOZJTS,O,X,X,X,X,X,X,O,X
ILOZJST,O,X,X,X,X,O,X,O,X
ILOZSTJ,O,X,X,X,O,O,X,O,X
ILOZSJT,O,X,X,X,X,O,X,O,O
IJTLSZO,O,X,X,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X,X
IJTLZSO,O,X,O,O,O,X,X,X,X
IJTLZOS,O,X,O,O,O,X,X,X,X
IJTLOSZ,O,X,X,X,X,X,X,X,X
IJTLOZS,O,X,O,O,O,X,X,X,X
IJTSLZO,O,X,X,O,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X
IJTSZLO,X,X,O,O,X,X,X,X,X
IJTSZOL,O,X,O,O,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X,X
IJTZLSO,X,X,O,O,O,X,X,X,X
IJTZLOS,X,X,O,O,O,X,X,X,X
IJTZSLO,X,X,O,O,O,X,X,X,X
IJTZSOL,O,X,O,O,O,X,X,X,X
IJTZOLS,O,X,O,O,O,X,X,X,X
IJTZOSL,O,X,O,O,O,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,X
IJTOLZS,O,X,O,O,O,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X
IJTOSZL,O,X,O,X,X,X,X,X,X
IJTOZLS,O,X,O,O,O,X,X,X,X
IJTOZSL,O,X,O,O,O,X,X,X,X
IJLTSZO,O,X,X,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,X,X
IJLTZSO,O,X,O,O,O,X,X,X,X
IJLTZOS,O,X,O,O,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,X,X
IJLTOZS,O,X,O,O,O,X,X,X,X
IJLSTZO,O,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,O
IJLSZTO,O,X,O,O,O,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,X,O
IJLSOTZ,O,X,X,X,X,X,X,X,O
IJLSOZT,O,X,X,X,X,X,X,O,O
IJLZTSO,O,X,O,O,O,X,X,X,X
IJLZTOS,O,X,O,X,O,X,X,X,X
IJLZSTO,O,X,O,O,O,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,O,X
IJLZOST,O,X,X,O,X,X,X,O,X
IJLOTSZ,O,X,X,X,X,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,X,X,X,O
IJLOSZT,O,X,X,X,X,X,X,O,O
IJLOZTS,O,X,X,X,X,X,X,O,X
IJLOZST,O,X,X,O,X,X,X,O,X
IJSTLZO,O,X,X,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,O
IJSTZLO,X,X,O,O,X,X,X,X,X
IJSTZOL,O,X,O,O,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X,X
IJSLTZO,O,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,O
IJSLZTO,O,X,O,O,O,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,X,O
IJSLOTZ,O,X,X,X,X,X,X,X,O
IJSLOZT,O,X,X,X,X,X,X,O,O
IJSZTLO,X,X,O,O,O,X,X,X,X
IJSZTOL,O,X,O,O,O,X,X,X,X
IJSZLTO,O,X,O,O,O,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X,X,O
IJSZOTL,O,X,O,X,X,X,X,X,X
IJSZOLT,O,X,X,O,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,O
IJSOLZT,O,X,X,X,X,X,X,O,O
IJSOZTL,O,X,O,X,X,X,X,O,X
IJSOZLT,O,X,X,O,X,X,X,O,X
IJZTLSO,X,X,O,O,O,X,X,X,X
IJZTLOS,X,X,O,O,O,X,X,X,X
IJZTSLO,X,X,O,O,O,X,X,X,X
IJZTSOL,O,X,O,O,O,X,X,X,X
IJZTOLS,O,X,O,O,O,X,X,X,X
IJZTOSL,O,X,O,O,O,X,X,X,X
IJZLTSO,O,X,O,O,O,X,X,X,X
IJZLTOS,O,X,O,X,O,X,X,X,X
IJZLSTO,O,X,O,O,O,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X,O,X
IJZLOST,O,X,X,O,X,X,X,O,X
IJZSTLO,X,X,O,O,O,X,X,X,X
IJZSTOL,O,X,O,O,O,X,X,X,X
IJZSLTO,O,X,O,O,O,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X,X,X
IJZSOLT,O,X,X,O,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X,O,X
IJZOTSL,O,X,O,X,X,X,X,O,X
IJZOLTS,O,X,X,X,X,X,X,O,X
IJZOLST,O,X,X,O,X,X,X,O,X
IJZOSTL,O,X,O,X,X,X,X,O,X
IJZOSLT,O,X,X,O,X,X,X,O,X
IJOTLSZ,O,X,X,X,X,X,X,X,X
IJOTLZS,O,X,O,O,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X
IJOTSZL,O,X,O,X,X,X,X,X,X
IJOTZLS,O,X,O,O,X,X,X,X,X
IJOTZSL,O,X,O,O,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,O
IJOLSZT,O,X,X,X,X,X,X,O,O
IJOLZTS,O,X,X,X,X,X,X,O,X
IJOLZST,O,X,X,O,X,X,X,O,X
IJOSTLZ,O,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,O,X
IJOSZTL,O,X,O,X,X,X,X,O,X
IJOSZLT,O,X,X,O,X,X,X,O,X
IJOZTLS,O,X,O,X,X,X,X,O,X
IJOZTSL,O,X,O,X,X,X,X,O,X
IJOZLTS,O,X,X,X,X,X,X,O,X
IJOZLST,O,X,X,O,X,X,X,O,X
IJOZSTL,O,X,O,X,X,X,X,O,X
IJOZSLT,O,X,X,O,X,X,X,O,X
ISTLJZO,X,X,X,X,X,O,X,X,X
ISTLJOZ,X,X,X,X,X,O,X,X,O
ISTLZJO,X,X,X,X,O,O,X,X,X
ISTLZOJ,X,X,X,X,O,O,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,X,O
ISTLOZJ,X,X,X,X,O,X,X,O,X
ISTJLZO,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,O,X,X,O
ISTJZLO,X,X,O,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,O,X,X,X
ISTJOLZ,O,X,X,X,X,O,X,X,X
ISTJOZL,O,X,O,X,X,O,X,X,X
ISTZLJO,X,X,O,X,O,X,X,X,X
ISTZLOJ,X,X,O,X,O,X,X,X,X
ISTZJLO,X,X,O,X,O,X,X,X,X
ISTZJOL,X,X,O,X,O,X,X,X,X
ISTZOLJ,X,X,O,X,O,X,X,X,X
ISTZOJL,X,X,O,X,O,X,X,X,X
ISTOLJZ,X,X,X,X,X,O,X,X,X
ISTOLZJ,X,X,X,X,O,O,X,O,X
ISTOJLZ,O,X,X,X,X,O,X,X,X
ISTOJZL,O,X,O,X,X,O,X,X,X
ISTOZLJ,O,X,O,X,O,O,X,O,X
ISTOZJL,O,X,O,X,O,O,X,O,X
ISLTJZO,X,X,X,X,X,O,X,X,X
ISLTJOZ,X,X,X,X,X,O,X,X,O
ISLTZJO,X,X,X,X,O,O,X,X,X
ISLTZOJ,X,X,X,X,O,O,X,X,X
ISLTOJZ,X,X,X,X,X,X,X,X,O
ISLTOZJ,X,X,X,X,O,X,X,O,X
ISLJTZO,O,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,O
ISLJZTO,O,X,O,X,O,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,O
ISLJOTZ,O,X,X,X,X,X,X,X,O
ISLJOZT,O,X,X,X,X,X,X,O,O
ISLZTJO,X,O,O,X,O,O,O,X,X
ISLZTOJ,X,O,O,X,O,O,O,X,X
ISLZJTO,O,X,O,X,O,O,X,X,X
ISLZJOT,O,X,X,X,X,O,X,X,O
ISLZOTJ,X,X,X,X,O,O,X,O,X
ISLZOJT,X,X,X,X,X,O,X,O,O
ISLOTJZ,X,X,X,X,X,X,X,X,O
ISLOTZJ,X,X,X,X,X,X,X,O,X
ISLOJTZ,O,X,X,X,X,X,X,X,O
ISLOJZT,O,X,X,X,X,X,X,O,O
ISLOZTJ,O,X,X,X,O,X,X,O,X
ISLOZJT,O,X,X,X,X,X,X,O,O
ISJTLZO,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,O
ISJTZLO,X,X,O,O,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X
ISJLTZO,O,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,O
ISJLZTO,O,X,O,O,O,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X,X,O
ISJLOTZ,O,X,X,X,X,X,X,X,O
ISJLOZT,O,X,X,X,X,X,X,O,O
ISJZTLO,X,X,O,O,O,X,X,X,X
ISJZTOL,O,X,O,O,O,X,X,X,X
ISJZLTO,O,X,O,O,O,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X,X,O
ISJZOTL,O,X,O,X,X,X,X,X,X
ISJZOLT,O,X,X,O,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,O
ISJOLZT,O,X,X,X,X,X,X,O,O
ISJOZTL,O,X,O,X,X,X,X,O,X
ISJOZLT,O,X,X,O,X,X,X,O,X
ISZTLJO,X,O,O,O,O,X,O,X,X
ISZTLOJ,X,O,O,O,O,X,O,X,X
ISZTJLO,X,O,O,O,O,X,O,X,X
ISZTJOL,X,O,O,O,O,X,O,X,X
ISZTOLJ,X,O,O,O,O,X,X,X,X
ISZTOJL,X,O,O,X,O,X,X,X,X
ISZLTJO,X,O,O,X,O,X,O,X,X
ISZLTOJ,X,O,O,X,O,X,O,X,X
ISZLJTO,X,X,O,X,O,X,X,X,X
ISZLJOT,X,X,X,X,X,X,X,X,O
ISZLOTJ,X,X,X,X,O,X,X,O,X
ISZLOJT,X,X,X,X,X,X,X,O,O
ISZJTLO,X,X,O,O,O,X,X,X,X
ISZJTOL,O,X,O,O,O,X,X,X,X
ISZJLTO,O,X,O,O,O,X,X,X,X
ISZJLOT,O,X,X,O,X,X,X,X,O
ISZJOTL,O,X,O,X,X,X,X,X,X
ISZJOLT,O,X,X,O,X,X,X,X,X
ISZOTLJ,O,O,O,X,O,X,X,O,X
ISZOTJL,O,O,O,X,O,X,X,O,X
ISZOLTJ,O,O,X,X,O,X,X,O,X
ISZOLJT,O,O,X,X,X,X,X,O,X
ISZOJTL,O,O,O,X,X,X,X,O,X
ISZOJLT,O,O,X,X,X,X,X,O,X
ISOTLJZ,X,X,X,X,X,O,X,X,X
ISOTLZJ,X,X,X,X,X,O,X,O,X
ISOTJLZ,O,X,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,O,X,O,X
ISOTZJL,O,X,X,X,X,O,X,O,X
ISOLTJZ,X,X,X,X,X,O,X,X,O
ISOLTZJ,X,O,X,X,X,O,X,O,X
ISOLJTZ,O,X,X,X,X,X,X,X,O
ISOLJZT,O,O,X,X,X,X,X,O,O
ISOLZTJ,O,O,X,X,O,O,X,O,X
ISOLZJT,O,O,X,X,X,O,X,O,O
ISOJTLZ,O,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,O
ISOJLZT,O,X,X,X,X,X,X,O,O
ISOJZTL,O,X,O,X,X,X,X,O,X
ISOJZLT,O,X,X,X,X,X,X,O,X
ISOZTLJ,O,O,O,X,O,O,X,O,X
ISOZTJL,O,O,O,X,O,O,X,O,X
ISOZLTJ,O,O,X,X,O,O,X,O,X
ISOZLJT,O,O,X,X,X,O,X,O,X
ISOZJTL,O,O,O,X,X,O,X,O,X
ISOZJLT,O,O,X,X,X,O,X,O,X
IZTLJSO,X,O,O,O,O,X,O,X,X
IZTLJOS,X,O,O,O,O,X,O,X,X
IZTLSJO,X,O,O,O,O,X,O,X,X
IZTLSOJ,X,O,O,O,O,X,O,X,X
IZTLOJS,X,O,O,X,O,X,O,O,X
IZTLOSJ,X,O,O,O,O,X,O,O,X
IZTJLSO,X,O,O,O,O,X,O,X,X
IZTJLOS,X,O,O,O,O,X,O,X,X
IZTJSLO,X,O,O,O,O,X,O,X,X
IZTJSOL,X,O,O,O,O,X,O,X,X
IZTJOLS,X,O,O,O,O,X,X,X,X
IZTJOSL,X,O,O,O,O,X,O,X,X
IZTSLJO,X,O,O,O,O,X,O,X,X
IZTSLOJ,X,O,O,O,O,X,O,X,X
IZTSJLO,X,O,O,O,O,X,O,X,X
IZTSJOL,X,O,O,O,O,X,O,X,X
IZTSOLJ,X,O,O,O,O,X,X,X,X
IZTSOJL,X,O,O,X,O,X,X,X,X
IZTOLJS,X,O,O,X,O,X,X,O,X
IZTOLSJ,X,O,O,O,O,X,X,O,X
IZTOJLS,X,O,O,X,O,X,X,O,X
IZTOJSL,X,O,O,X,O,X,X,O,X
IZTOSLJ,X,O,O,O,O,X,X,O,X
IZTOSJL,X,O,O,X,O,X,X,O,X
IZLTJSO,X,O,O,X,O,X,O,X,X
IZLTJOS,X,O,O,X,O,X,O,X,X
IZLTSJO,X,O,O,X,O,X,O,X,X
IZLTSOJ,X,O,O,X,O,X,O,X,X
IZLTOJS,X,O,O,X,O,X,O,O,X
IZLTOSJ,X,O,O,X,O,X,O,O,X
IZLJTSO,X,X,O,X,O,X,X,X,X
IZLJTOS,X,X,O,X,O,X,X,X,X
IZLJSTO,X,X,O,X,O,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,X,O,X
IZLJOST,X,X,X,X,X,X,X,O,X
IZLSTJO,X,O,O,X,O,X,O,X,X
IZLSTOJ,X,O,O,X,O,X,O,X,X
IZLSJTO,X,X,O,X,O,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,X,O
IZLSOTJ,X,X,X,X,O,X,X,O,X
IZLSOJT,X,X,X,X,X,X,X,O,O
IZLOTJS,X,X,X,X,O,X,X,O,X
IZLOTSJ,X,X,X,X,O,X,X,O,X
IZLOJTS,X,X,X,X,X,X,X,O,X
IZLOJST,X,X,X,X,X,X,X,O,X
IZLOSTJ,X,X,X,X,O,X,X,O,X
IZLOSJT,X,X,X,X,X,X,X,O,O
IZJTLSO,X,X,O,O,O,X,X,X,X
IZJTLOS,X,X,O,O,O,X,X,X,X
IZJTSLO,X,X,O,O,O,X,X,X,X
IZJTSOL,O,X,O,O,O,X,X,X,X
IZJTOLS,O,X,O,O,O,X,X,X,X
IZJTOSL,O,X,O,O,O,X,X,X,X
IZJLTSO,O,X,O,O,O,X,X,X,X
IZJLTOS,O,X,O,X,O,X,X,X,X
IZJLSTO,O,X,O,O,O,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,O,X
IZJLOST,O,X,X,O,X,X,X,O,X
IZJSTLO,X,X,O,O,O,X,X,X,X
IZJSTOL,O,X,O,O,O,X,X,X,X
IZJSLTO,O,X,O,O,O,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X
IZJOTLS,O,X,O,X,X,X,X,O,X
IZJOTSL,O,X,O,X,X,X,X,O,X
IZJOLTS,O,X,X,X,X,X,X,O,X
IZJOLST,O,X,X,O,X,X,X,O,X
IZJOSTL,O,X,O,X,X,X,X,O,X
IZJOSLT,O,X,X,O,X,X,X,O,X
IZSTLJO,X,O,O,O,O,X,O,X,X
IZSTLOJ,X,O,O,O,O,X,O,X,X
IZSTJLO,X,O,O,O,O,X,O,X,X
IZSTJOL,X,O,O,O,O,X,O,X,X
IZSTOLJ,X,O,O,O,O,X,X,X,X
IZSTOJL,X,O,O,X,O,X,X,X,X
IZSLTJO,X,O,O,X,O,X,O,X,X
IZSLTOJ,X,O,O,X,O,X,O,X,X
IZSLJTO,X,X,O,X,O,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,X,O
IZSLOTJ,X,X,X,X,O,X,X,O,X
IZSLOJT,X,X,X,X,X,X,X,O,O
IZSJTLO,X,X,O,O,O,X,X,X,X
IZSJTOL,O,X,O,O,O,X,X,X,X
IZSJLTO,O,X,O,O,O,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X,X,O
IZSJOTL,O,X,O,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,O,X,X,O,X
IZSOTJL,O,O,O,X,O,X,X,O,X
IZSOLTJ,O,O,X,X,O,X,X,O,X
IZSOLJT,O,O,X,X,X,X,X,O,X
IZSOJTL,O,O,O,X,X,X,X,O,X
IZSOJLT,O,O,X,X,X,X,X,O,X
IZOTLJS,X,O,O,X,O,X,X,O,X
IZOTLSJ,O,O,O,X,O,X,X,O,X
IZOTJLS,O,O,O,X,O,X,X,O,X
IZOTJSL,O,O,O,X,O,X,X,O,X
IZOTSLJ,O,O,O,X,O,X,X,O,X
IZOTSJL,O,O,O,X,O,X,X,O,X
IZOLTJS,X,O,X,X,O,X,X,O,X
IZOLTSJ,O,O,X,X,O,X,X,O,X
IZOLJTS,O,O,X,X,X,X,X,O,X
IZOLJST,O,O,X,X,X,X,X,O,X
IZOLSTJ,O,O,X,X,O,X,X,O,X
IZOLSJT,O,O,X,X,X,X,X,O,O
IZOJTLS,O,X,O,X,X,X,X,O,X
IZOJTSL,O,O,O,X,X,X,X,O,X
IZOJLTS,O,O,X,X,X,X,X,O,X
IZOJLST,O,O,X,X,X,X,X,O,X
IZOJSTL,O,O,O,X,X,X,X,O,X
IZOJSLT,O,O,X,X,X,X,X,O,X
IZOSTLJ,O,O,O,X,O,X,X,O,X
IZOSTJL,O,O,O,X,O,X,X,O,X
IZOSLTJ,O,O,X,X,O,X,X,O,X
IZOSLJT,O,O,X,X,X,X,X,O,X
IZOSJTL,O,O,O,X,X,X,X,O,X
IZOSJLT,O,O,X,X,X,X,X,O,X
IOTLJSZ,X,O,X,X,X,O,X,X,X
IOTLJZS,X,O,O,X,O,O,X,X,X
IOTLSJZ,X,O,X,X,X,O,X,X,O
IOTLSZJ,X,O,X,X,O,O,X,O,X
IOTLZJS,X,O,O,X,O,O,X,O,X
IOTLZSJ,X,O,O,X,O,O,X,O,X
IOTJLSZ,O,O,X,X,X,O,X,X,X
IOTJLZS,O,O,O,X,O,O,X,X,X
IOTJSLZ,O,X,X,X,X,O,X,X,X
IOTJSZL,O,O,O,X,X,O,X,X,X
IOTJZLS,O,O,O,X,O,O,X,X,X
IOTJZSL,O,O,O,X,O,O,X,X,X
IOTSLJZ,X,X,X,X,X,O,X,X,X
IOTSLZJ,X,X,X,X,O,O,X,O,X
IOTSJLZ,O,X,X,X,X,O,X,X,X
IOTSJZL,O,X,O,X,X,O,X,X,X
IOTSZLJ,O,X,O,X,O,O,X,O,X
IOTSZJL,O,X,O,X,O,O,X,O,X
IOTZLJS,X,O,O,X,O,O,X,O,X
IOTZLSJ,O,O,O,X,O,O,X,O,X
IOTZJLS,O,O,O,X,O,O,X,O,X
IOTZJSL,O,O,O,X,O,O,X,O,X
IOTZSLJ,O,O,O,X,O,O,X,O,X
IOTZSJL,O,O,O,X,O,O,X,O,X
IOLTJSZ,X,O,X,X,X,O,X,X,X
IOLTJZS,X,O,X,X,O,O,X,X,X
IOLTSJZ,X,O,X,X,X,O,X,X,O
IOLTSZJ,X,O,X,X,O,O,X,O,X
IOLTZJS,X,O,X,X,O,O,X,O,X
IOLTZSJ,X,O,X,X,O,O,X,O,X
IOLJTSZ,O,O,X,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,X,X,O
IOLJSZT,O,O,X,X,X,X,X,O,O
IOLJZTS,O,O,X,X,X,X,X,O,X
IOLJZST,O,O,X,X,X,X,X,O,X
IOLSTJZ,X,O,X,X,X,O,X,X,O
IOLSTZJ,X,O,X,X,X,O,X,O,X
IOLSJTZ,O,X,X,X,X,X,X,X,O
IOLSJZT,O,O,X,X,X,X,X,O,O
IOLSZTJ,O,O,X,X,O,O,X,O,X
IOLSZJT,O,O,X,X,X,O,X,O,O
IOLZTJS,X,O,X,X,O,O,X,O,X
IOLZTSJ,O,O,X,X,O,O,X,O,X
IOLZJTS,O,O,X,X,X,X,X,O,X
IOLZJST,O,O,X,X,X,O,X,O,X
IOLZSTJ,O,O,X,X,O,O,X,O,X
IOLZSJT,O,O,X,X,X,O,X,O,O
IOJTLSZ,O,X,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,X
IOJTSZL,O,X,O,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,X,O
IOJLSZT,O,O,X,X,X,X,X,O,O
IOJLZTS,O,O,X,X,X,X,X,O,X
IOJLZST,O,O,X,X,X,X,X,O,X
IOJSTLZ,O,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,O,X
IOJSZTL,O,O,O,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,X,O,X
IOJZTLS,O,X,O,X,X,X,X,O,X
IOJZTSL,O,O,O,X,X,X,X,O,X
IOJZLTS,O,O,X,X,X,X,X,O,X
IOJZLST,O,O,X,X,X,X,X,O,X
IOJZSTL,O,O,O,X,X,X,X,O,X
IOJZSLT,O,O,X,X,X,X,X,O,X
IOSTLJZ,X,X,X,X,X,O,X,X,X
IOSTLZJ,X,X,X,X,X,O,X,O,X
IOSTJLZ,O,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,O,X
IOSTZJL,O,X,X,X,X,O,X,O,X
IOSLTJZ,X,X,X,X,X,O,X,X,O
IOSLTZJ,X,O,X,X,X,O,X,O,X
IOSLJTZ,O,X,X,X,X,X,X,X,O
IOSLJZT,O,O,X,X,X,X,X,O,O
IOSLZTJ,O,O,X,X,O,O,X,O,X
IOSLZJT,O,O,X,X,X,O,X,O,O
IOSJTLZ,O,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,O
IOSJLZT,O,X,X,X,X,X,X,O,O
IOSJZTL,O,X,O,X,X,X,X,O,X
IOSJZLT,O,X,X,X,X,X,X,O,X
IOSZTLJ,O,O,O,X,O,O,X,O,X
IOSZTJL,O,O,O,X,O,O,X,O,X
IOSZLTJ,O,O,X,X,O,O,X,O,X
IOSZLJT,O,O,X,X,X,O,X,O,X
IOSZJTL,O,O,O,X,X,O,X,O,X
IOSZJLT,O,O,X,X,X,O,X,O,X
IOZTLJS,X,O,O,X,O,O,X,O,X
IOZTLSJ,O,O,O,X,O,O,X,O,X
IOZTJLS,O,O,O,X,O,O,X,O,X
IOZTJSL,O,O,O,X,O,O,X,O,X
IOZTSLJ,O,O,O,X,O,O,X,O,X
IOZTSJL,O,O,O,X,O,O,X,O,X
IOZLTJS,X,O,X,X,O,O,X,O,X
IOZLTSJ,O,O,X,X,O,O,X,O,X
IOZLJTS,O,O,X,X,X,X,X,O,X
IOZLJST,O,O,X,X,X,O,X,O,X
IOZLSTJ,O,O,X,X,O,O,X,O,X
IOZLSJT,O,O,X,X,X,O,X,O,O
IOZJTLS,O,X,O,X,X,X,X,O,X
IOZJTSL,O,O,O,X,X,X,X,O,X
IOZJLTS,O,O,X,X,X,X,X,O,X
IOZJLST,O,O,X,X,X,X,X,O,X
IOZJSTL,O,O,O,X,X,O,X,O,X
IOZJSLT,O,O,X,X,X,O,X,O,X
IOZSTLJ,O,O,O,X,O,O,X,O,X
IOZSTJL,O,O,O,X,O,O,X,O,X
IOZSLTJ,O,O,X,X,O,O,X,O,X
IOZSLJT,O,O,X,X,X,O,X,O,X
IOZSJTL,O,O,O,X,X,O,X,O,X
IOZSJLT,O,O,X,X,X,O,X,O,X
LTIJSZO,X,O,X,O,X,O,O,X,X
LTIJSOZ,X,X,X,X,X,O,X,X,X
LTIJZSO,X,O,O,O,O,O,O,X,X
LTIJZOS,X,O,O,O,O,O,O,X,X
LTIJOSZ,X,X,X,X,X,O,X,X,X
LTIJOZS,X,O,O,O,O,O,O,X,X
LTISJZO,X,O,X,X,X,O,X,X,X
LTISJOZ,X,X,X,X,X,O,X,X,O
LTISZJO,X,O,X,O,O,O,X,X,X
LTISZOJ,X,O,X,O,O,O,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,O
LTISOZJ,X,X,X,X,O,X,X,O,X
LTIZJSO,X,O,O,O,O,O,O,X,X
LTIZJOS,X,O,O,O,O,O,O,X,X
LTIZSJO,X,O,O,O,O,O,O,X,X
LTIZSOJ,X,O,O,O,O,O,O,X,X
LTIZOJS,X,O,O,X,O,X,O,O,X
LTIZOSJ,X,O,O,O,O,O,O,O,X
LTIOJSZ,X,X,X,X,X,O,X,X,X
LTIOJZS,X,O,O,X,O,O,X,X,X
LTIOSJZ,X,X,X,X,X,O,X,X,O
LTIOSZJ,X,X,X,X,O,O,X,O,X
