sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TLZSIOJ,X,O,O,O,O,O,O,X,X
TLZSJIO,O,O,O,O,O,O,O,X,X
TLZSJOI,O,O,O,O,O,O,O,X,X
TLZSOIJ,X,O,O,O,O,O,O,X,X
TLZSOJI,X,O,O,O,O,O,O,X,X
TLZOIJS,X,O,O,X,O,O,O,O,X
TLZOISJ,X,O,O,O,O,O,O,O,X
TLZOJIS,X,O,O,O,O,O,O,O,X
TLZOJSI,X,O,O,O,O,O,O,O,X
TLZOSIJ,X,O,O,O,O,O,O,O,X
TLZOSJI,X,O,O,O,O,O,O,O,X
TLOIJSZ,X,O,X,X,X,O,X,X,X
TLOIJZS,X,O,O,X,O,O,X,X,X
TLOISJZ,X,O,X,X,X,O,X,X,O
TLOISZJ,X,O,X,X,O,O,X,O,X
TLOIZJS,X,O,O,X,O,O,X,O,X
TLOIZSJ,X,O,O,O,O,O,X,O,X
TLOJISZ,O,O,X,X,X,O,X,X,X
TLOJIZS,O,O,O,O,O,O,O,X,X
TLOJSIZ,O,O,X,X,X,O,X,X,X
TLOJSZI,O,O,X,X,X,O,X,X,X
TLOJZIS,O,O,O,O,O,O,O,X,X
TLOJZSI,O,O,O,O,O,O,O,X,X
TLOSIJZ,X,O,X,X,X,O,X,X,O
TLOSIZJ,X,O,X,X,O,O,X,O,X
TLOSJIZ,O,O,X,X,X,O,X,X,O
TLOSJZI,O,O,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,X,O,O,X,O,X
TLOSZJI,O,O,X,X,O,O,X,O,X
TLOZIJS,X,O,O,X,O,O,O,O,X
TLOZISJ,X,O,O,O,O,O,O,O,X
TLOZJIS,O,O,O,O,O,O,O,O,X
TLOZJSI,O,O,O,O,O,O,O,O,X
TLOZSIJ,X,O,O,O,O,O,O,O,X
TLOZSJI,O,O,O,O,O,O,O,O,X
TJILSZO,O,O,X,O,X,X,O,X,X
TJILSOZ,O,X,X,X,X,O,X,X,X
TJILZSO,O,O,O,O,O,X,O,X,X
TJILZOS,O,O,O,O,O,X,O,X,X
TJILOSZ,O,X,X,X,X,O,X,X,X
TJILOZS,O,O,O,O,O,O,O,X,X
TJISLZO,O,X,X,O,X,X,X,X,X
TJISLOZ,O,X,X,X,X,O,X,X,X
TJISZLO,X,O,O,O,X,X,O,X,X
TJISZOL,O,O,O,O,X,O,O,X,X
TJISOLZ,O,X,X,X,X,O,X,X,X
TJISOZL,O,X,O,X,X,O,X,X,X
TJIZLSO,X,O,O,O,O,X,O,X,X
TJIZLOS,X,O,O,O,O,X,O,X,X
TJIZSLO,X,O,O,O,O,X,O,X,X
TJIZSOL,O,O,O,O,O,O,O,X,X
TJIZOLS,O,O,O,O,O,O,X,X,X
