sequence,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFRhBqnBTkBfrBUs?BlrB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFUhBFiBTkBfrBRs?BSxB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFqlB/mBTkB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFcnBTkBllB+rBim?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhFulB3kBTmB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBRhBcnBGrB3s?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JemAJvhFxkBCnBTkBFnBUr?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhF/mBGiBTkB0lBls?BywB,v115@FhB8HeB8BeA8FeE8DeB8JeGBJvhFlkBzlB0nBikBXn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Je2EJvhFzgBSrB0nB3kBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBxhB1sBGrBfr?BUsB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFTkB0lBCnBlsBOr?BXsB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhF3kBRmB1sBGmBUr?BTsB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFulBxmBTkBcrBls?BXsB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBXiBzlBRsBSx?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFXhBFnBTkBWrB0n?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBRmB1sBfrB6r?BTsB
TIZJLOS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZJSLO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TIZJSOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZJOLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJOSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZSLJO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
TIZSLOJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TIZSJLO,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TIZSJOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TIZOJSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
TIZOSLJ,X,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X
TIZOSJL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOLSJZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLZJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIOJSLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJZSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIOSJLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOSZJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TIOZJSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O
TIOZSLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOZSJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISZOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLIZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZOJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSZIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TLJOSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIOJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSJZIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TLSJZOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZIOJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZJIO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZJOI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSZOJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSOZJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
TLZJIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZOSJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TLOISJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOJISZ,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOSZJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLOZJSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJISLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TJIZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJIZSLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZSOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TJIOLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSZIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TJLOSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJSILOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
