sequence,v115@YhF8AeF8Jei/IvhFRhBcnBTjB3kBGmBlqB,v115@YhF8AeF8JeOEJvhF8kBChBTjBxmBXnBlqB,v115@YhF8AeF8Jel/IvhF3gBRiBSoB2pB8qBzrB,v115@YhF8AeF8Je0/IvhFxhBTjB2pBFmBXnB6qB,v115@YhF8AeF8Jei/IvhF3gBGjB1pB8qBRsBzrB,v115@YhF8AeF8JeKEJvhFxhBTjBUlBFmBXnBGqB,v115@YhF8AeF8JeOEJvhFTjBClBxmB/qBUrBFsB
TIZOJSL,O,O,X,X,O,X,X
TIZOSLJ,O,O,X,X,O,X,X
TIZOSJL,O,O,X,X,O,X,X
TIOLJSZ,X,X,X,X,X,X,O
TIOLJZS,X,O,X,X,O,X,O
TIOLSJZ,X,X,X,X,X,O,X
TIOLSZJ,X,O,X,X,X,O,X
TIOLZJS,X,O,X,X,O,X,X
TIOLZSJ,X,O,X,X,O,O,X
TIOJLSZ,X,X,X,X,X,X,O
TIOJLZS,X,O,X,X,O,X,O
TIOJSLZ,O,X,X,O,X,X,X
TIOJSZL,O,X,X,O,X,X,X
TIOJZLS,O,O,X,X,O,X,X
TIOJZSL,O,O,X,O,O,X,X
TIOSLJZ,O,X,X,O,X,O,X
TIOSLZJ,O,O,X,X,X,O,X
TIOSJLZ,O,X,X,O,X,O,X
TIOSJZL,O,X,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,O,X
TIOSZJL,O,O,X,O,X,X,X
TIOZLJS,O,O,X,X,O,X,X
TIOZLSJ,O,O,X,X,O,X,X
TIOZJLS,O,O,X,X,O,X,X
TIOZJSL,O,O,X,X,O,X,X
TIOZSLJ,O,O,X,X,O,X,X
TIOZSJL,O,O,X,X,O,X,X
TLIJSZO,X,X,O,X,O,X,X
TLIJSOZ,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,O,X,X
TLIJZOS,X,O,O,X,O,X,X
TLIJOSZ,X,X,O,X,X,X,O
TLIJOZS,X,O,O,X,O,X,O
TLISJZO,X,X,X,X,O,O,X
TLISJOZ,X,X,X,X,X,O,X
TLISZJO,X,O,X,X,O,O,X
TLISZOJ,X,O,X,X,O,O,X
TLISOJZ,X,X,X,X,X,O,X
TLISOZJ,X,O,X,X,X,O,X
TLIZJSO,X,O,O,X,O,X,X
TLIZJOS,X,O,O,X,O,X,X
TLIZSJO,X,O,O,X,O,O,X
TLIZSOJ,X,O,O,X,O,O,X
TLIZOJS,X,O,X,X,O,X,X
TLIZOSJ,X,O,X,X,O,O,X
TLIOJSZ,X,X,O,X,X,X,O
TLIOJZS,X,O,O,X,O,X,O
TLIOSJZ,X,X,X,X,X,O,X
TLIOSZJ,X,O,X,X,X,O,X
TLIOZJS,X,O,O,X,O,X,X
TLIOZSJ,X,O,O,X,O,O,X
TLJISZO,X,X,O,X,O,X,X
TLJISOZ,X,X,O,X,X,X,X
TLJIZSO,X,O,O,X,O,X,X
TLJIZOS,X,O,O,X,O,X,X
TLJIOSZ,X,X,O,X,X,X,O
TLJIOZS,X,O,O,X,O,X,O
TLJSIZO,O,X,O,O,O,O,X
TLJSIOZ,O,X,O,O,X,O,X
TLJSZIO,O,X,O,O,O,O,X
TLJSZOI,O,X,O,O,O,O,X
TLJSOIZ,O,X,O,O,X,O,X
TLJSOZI,O,X,O,O,X,O,X
TLJZISO,O,O,O,X,O,X,X
TLJZIOS,O,O,O,X,O,X,X
TLJZSIO,O,O,O,O,O,O,X
TLJZSOI,O,O,O,O,O,O,X
TLJZOIS,O,O,O,X,O,X,X
TLJZOSI,O,O,O,O,O,O,X
TLJOISZ,X,X,O,X,X,X,O
TLJOIZS,X,O,O,X,O,X,O
TLJOSIZ,O,X,O,O,X,O,X
TLJOSZI,O,X,O,O,X,O,X
TLJOZIS,O,O,O,X,O,X,X
TLJOZSI,O,O,O,O,O,O,X
TLSIJZO,O,X,X,O,O,O,X
TLSIJOZ,O,X,X,O,X,O,X
TLSIZJO,O,O,X,X,O,O,X
TLSIZOJ,O,O,X,X,O,O,X
TLSIOJZ,O,X,X,O,X,O,X
TLSIOZJ,O,O,X,X,X,O,X
TLSJIZO,O,X,X,O,O,O,X
TLSJIOZ,O,X,X,O,X,O,X
TLSJZIO,O,X,X,O,O,O,X
TLSJZOI,O,X,X,O,O,O,X
TLSJOIZ,O,X,X,O,X,O,X
TLSJOZI,O,X,X,O,X,O,X
TLSZIJO,O,O,X,X,O,O,X
TLSZIOJ,O,O,X,X,O,O,X
TLSZJIO,O,O,X,X,O,O,X
TLSZJOI,O,O,X,X,O,O,X
TLSZOIJ,O,O,X,X,O,O,X
TLSZOJI,O,O,X,X,O,O,X
TLSOIJZ,O,X,X,O,X,O,X
TLSOIZJ,O,O,X,X,X,O,X
TLSOJIZ,O,X,X,O,X,O,X
TLSOJZI,O,X,X,O,X,O,X
TLSOZIJ,O,O,X,X,X,O,X
TLSOZJI,O,O,X,X,X,O,X
TLZIJSO,O,O,O,X,O,X,X
TLZIJOS,O,O,O,X,O,X,X
TLZISJO,O,O,O,X,O,O,X
TLZISOJ,O,O,O,X,O,O,X
TLZIOJS,O,O,X,X,O,X,X
TLZIOSJ,O,O,X,X,O,O,X
TLZJISO,O,O,O,X,O,X,X
TLZJIOS,O,O,O,X,O,X,X
TLZJSIO,O,O,O,X,O,O,X
TLZJSOI,O,O,O,X,O,O,X
TLZJOIS,O,O,O,X,O,X,X
TLZJOSI,O,O,O,X,O,O,X
TLZSIJO,O,O,O,X,O,O,X
TLZSIOJ,O,O,O,X,O,O,X
TLZSJIO,O,O,O,X,O,O,X
TLZSJOI,O,O,O,X,O,O,X
TLZSOIJ,O,O,O,X,O,O,X
TLZSOJI,O,O,O,X,O,O,X
TLZOIJS,O,O,O,X,O,X,X
TLZOISJ,O,O,O,X,O,O,X
TLZOJIS,O,O,O,X,O,X,X
TLZOJSI,O,O,O,X,O,O,X
TLZOSIJ,O,O,O,X,O,O,X
TLZOSJI,O,O,O,X,O,O,X
TLOIJSZ,X,X,O,X,X,X,O
TLOIJZS,X,O,O,X,O,X,O
TLOISJZ,X,X,X,X,X,O,X
TLOISZJ,X,O,X,X,X,O,X
TLOIZJS,X,O,O,X,O,X,X
TLOIZSJ,X,O,O,X,O,O,X
TLOJISZ,X,X,O,X,X,X,O
TLOJIZS,X,O,O,X,O,X,O
TLOJSIZ,O,X,O,O,X,O,X
TLOJSZI,O,X,O,O,X,O,X
TLOJZIS,O,O,O,X,O,X,X
TLOJZSI,O,O,O,O,O,O,X
TLOSIJZ,O,X,X,O,X,O,X
TLOSIZJ,O,O,X,X,X,O,X
TLOSJIZ,O,X,X,O,X,O,X
TLOSJZI,O,X,X,O,X,O,X
TLOSZIJ,O,O,X,X,X,O,X
TLOSZJI,O,O,X,X,X,O,X
TLOZIJS,O,O,O,X,O,X,X
TLOZISJ,O,O,O,X,O,O,X
TLOZJIS,O,O,O,X,O,X,X
TLOZJSI,O,O,O,X,O,O,X
TLOZSIJ,O,O,O,X,O,O,X
TLOZSJI,O,O,O,X,O,O,X
TJILSZO,X,X,O,X,O,X,X
TJILSOZ,X,X,O,X,X,X,X
TJILZSO,X,O,O,X,O,X,X
TJILZOS,X,O,O,X,O,X,X
TJILOSZ,X,X,O,X,X,X,O
TJILOZS,X,O,O,X,O,X,O
TJISLZO,O,X,X,O,O,X,X
TJISLOZ,O,X,X,O,X,X,X
TJISZLO,O,X,X,O,O,X,X
TJISZOL,O,X,X,O,O,X,X
TJISOLZ,O,X,X,O,X,X,X
TJISOZL,O,X,X,O,X,X,X
TJIZLSO,O,O,O,X,O,X,X
TJIZLOS,O,O,O,X,O,X,X
TJIZSLO,O,O,O,O,O,X,X
TJIZSOL,O,O,O,O,O,X,X
TJIZOLS,O,O,O,X,O,X,X
TJIZOSL,O,O,O,O,O,X,X
TJIOLSZ,X,X,O,X,X,X,O
TJIOLZS,X,O,O,X,O,X,O
TJIOSLZ,O,X,O,O,X,X,X
TJIOSZL,O,X,O,O,X,X,X
TJIOZLS,O,O,O,X,O,X,X
TJIOZSL,O,O,O,O,O,X,X
TJLISZO,X,X,O,X,O,X,X
TJLISOZ,X,X,O,X,X,X,X
TJLIZSO,X,O,O,X,O,X,X
TJLIZOS,X,O,O,X,O,X,X
TJLIOSZ,X,X,O,X,X,X,O
TJLIOZS,X,O,O,X,O,X,O
TJLSIZO,O,X,O,O,O,O,X
TJLSIOZ,O,X,O,O,X,O,X
TJLSZIO,O,X,O,O,O,O,X
TJLSZOI,O,X,O,O,O,O,X
TJLSOIZ,O,X,O,O,X,O,X
TJLSOZI,O,X,O,O,X,O,X
TJLZISO,O,O,O,X,O,X,X
TJLZIOS,O,O,O,X,O,X,X
TJLZSIO,O,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,O,X
TJLZOIS,O,O,O,X,O,X,X
TJLZOSI,O,O,O,O,O,O,X
TJLOISZ,X,X,O,X,X,X,O
TJLOIZS,X,O,O,X,O,X,O
TJLOSIZ,O,X,O,O,X,O,X
TJLOSZI,O,X,O,O,X,O,X
TJLOZIS,O,O,O,X,O,X,X
TJLOZSI,O,O,O,O,O,O,X
TJSILZO,O,X,X,O,O,O,X
TJSILOZ,O,X,X,O,X,O,X
TJSIZLO,O,X,X,O,O,X,X
TJSIZOL,O,X,X,O,O,X,X
TJSIOLZ,O,X,X,O,X,O,X
TJSIOZL,O,X,X,O,X,X,X
TJSLIZO,O,X,O,O,O,O,X
TJSLIOZ,O,X,O,O,X,O,X
TJSLZIO,O,X,O,O,O,O,X
TJSLZOI,O,X,O,O,O,O,X
TJSLOIZ,O,X,O,O,X,O,X
TJSLOZI,O,X,O,O,X,O,X
TJSZILO,O,X,O,O,O,X,X
TJSZIOL,O,X,O,O,O,X,X
TJSZLIO,O,X,O,O,O,X,X
TJSZLOI,O,X,O,O,O,X,X
TJSZOIL,O,X,O,O,O,X,X
TJSZOLI,O,X,O,O,O,X,X
TJSOILZ,O,X,O,O,X,O,X
TJSOIZL,O,X,O,O,X,X,X
TJSOLIZ,O,X,O,O,X,O,X
TJSOLZI,O,X,O,O,X,O,X
TJSOZIL,O,X,O,O,X,X,X
TJSOZLI,O,X,O,O,X,X,X
TJZILSO,O,O,O,X,O,X,X
TJZILOS,O,O,O,X,O,X,X
TJZISLO,O,O,O,O,O,X,X
TJZISOL,O,O,O,O,O,X,X
TJZIOLS,O,O,O,X,O,X,X
TJZIOSL,O,O,O,O,O,X,X
TJZLISO,O,O,O,X,O,X,X
TJZLIOS,O,O,O,X,O,X,X
TJZLSIO,O,O,O,O,O,X,X
TJZLSOI,O,O,O,O,O,X,X
TJZLOIS,O,O,O,X,O,X,X
TJZLOSI,O,O,O,O,O,X,X
TJZSILO,O,O,O,O,O,X,X
TJZSIOL,O,O,O,O,O,X,X
TJZSLIO,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,O,X,X
TJZSOIL,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,X,X
TJZOILS,O,O,O,X,O,X,X
TJZOISL,O,O,O,O,O,X,X
TJZOLIS,O,O,O,X,O,X,X
TJZOLSI,O,O,O,O,O,X,X
TJZOSIL,O,O,O,O,O,X,X
TJZOSLI,O,O,O,O,O,X,X
TJOILSZ,X,X,O,X,X,X,O
TJOILZS,X,O,O,X,O,X,O
TJOISLZ,O,X,O,O,X,X,X
TJOISZL,O,X,O,O,X,X,X
TJOIZLS,O,O,O,X,O,X,X
TJOIZSL,O,O,O,O,O,X,X
TJOLISZ,X,X,O,X,X,X,O
TJOLIZS,X,O,O,X,O,X,O
TJOLSIZ,O,X,O,O,X,O,X
TJOLSZI,O,X,O,O,X,O,X
TJOLZIS,O,O,O,X,O,X,X
TJOLZSI,O,O,O,O,O,O,X
TJOSILZ,O,X,O,O,X,O,X
TJOSIZL,O,X,O,O,X,X,X
TJOSLIZ,O,X,O,O,X,O,X
TJOSLZI,O,X,O,O,X,O,X
TJOSZIL,O,X,O,O,X,X,X
TJOSZLI,O,X,O,O,X,X,X
TJOZILS,O,O,O,X,O,X,X
TJOZISL,O,O,O,O,O,X,X
TJOZLIS,O,O,O,X,O,X,X
TJOZLSI,O,O,O,O,O,X,X
TJOZSIL,O,O,O,O,O,X,X
TJOZSLI,O,O,O,O,O,X,X
TSILJZO,O,X,X,O,O,O,X
TSILJOZ,O,X,X,O,X,O,X
TSILZJO,O,O,X,X,O,O,X
TSILZOJ,O,O,X,X,O,O,X
TSILOJZ,O,X,X,O,X,O,X
TSILOZJ,O,O,X,X,X,O,X
TSIJLZO,O,X,X,O,O,O,X
TSIJLOZ,O,X,X,O,X,O,X
TSIJZLO,O,X,X,O,O,X,X
TSIJZOL,O,X,X,O,O,X,X
TSIJOLZ,O,X,X,O,X,O,X
TSIJOZL,O,X,X,O,X,X,X
TSIZLJO,O,O,X,X,O,O,X
TSIZLOJ,O,O,X,X,O,O,X
TSIZJLO,O,O,X,O,O,X,X
TSIZJOL,O,O,X,O,O,X,X
TSIZOLJ,O,O,X,X,O,O,X
TSIZOJL,O,O,X,O,O,X,X
TSIOLJZ,O,X,X,O,X,O,X
TSIOLZJ,O,O,X,X,X,O,X
TSIOJLZ,O,X,X,O,X,O,X
TSIOJZL,O,X,X,O,X,X,X
TSIOZLJ,O,O,X,X,X,O,X
TSIOZJL,O,O,X,O,X,X,X
TSLIJZO,O,X,X,O,O,O,X
TSLIJOZ,O,X,X,O,X,O,X
TSLIZJO,O,O,X,X,O,O,X
TSLIZOJ,O,O,X,X,O,O,X
TSLIOJZ,O,X,X,O,X,O,X
TSLIOZJ,O,O,X,X,X,O,X
TSLJIZO,O,X,X,O,O,O,X
TSLJIOZ,O,X,X,O,X,O,X
TSLJZIO,O,X,X,O,O,O,X
TSLJZOI,O,X,X,O,O,O,X
TSLJOIZ,O,X,X,O,X,O,X
TSLJOZI,O,X,X,O,X,O,X
TSLZIJO,O,O,X,X,O,O,X
TSLZIOJ,O,O,X,X,O,O,X
TSLZJIO,O,O,X,X,O,O,X
TSLZJOI,O,O,X,X,O,O,X
TSLZOIJ,O,O,X,X,O,O,X
TSLZOJI,O,O,X,X,O,O,X
TSLOIJZ,O,X,X,O,X,O,X
TSLOIZJ,O,O,X,X,X,O,X
TSLOJIZ,O,X,X,O,X,O,X
TSLOJZI,O,X,X,O,X,O,X
TSLOZIJ,O,O,X,X,X,O,X
TSLOZJI,O,O,X,X,X,O,X
TSJILZO,O,X,X,O,O,O,X
TSJILOZ,O,X,X,O,X,O,X
TSJIZLO,O,X,X,O,O,X,X
TSJIZOL,O,X,X,O,O,X,X
TSJIOLZ,O,X,X,O,X,O,X
TSJIOZL,O,X,X,O,X,X,X
TSJLIZO,O,X,X,O,O,O,X
TSJLIOZ,O,X,X,O,X,O,X
TSJLZIO,O,X,X,O,O,O,X
TSJLZOI,O,X,X,O,O,O,X
TSJLOIZ,O,X,X,O,X,O,X
TSJLOZI,O,X,X,O,X,O,X
TSJZILO,O,X,X,O,O,X,X
TSJZIOL,O,X,X,O,O,X,X
TSJZLIO,O,X,X,O,O,X,X
TSJZLOI,O,X,X,O,O,X,X
TSJZOIL,O,X,X,O,O,X,X
TSJZOLI,O,X,X,O,O,X,X
TSJOILZ,O,X,X,O,X,O,X
TSJOIZL,O,X,X,O,X,X,X
TSJOLIZ,O,X,X,O,X,O,X
TSJOLZI,O,X,X,O,X,O,X
TSJOZIL,O,X,X,O,X,X,X
TSJOZLI,O,X,X,O,X,X,X
TSZILJO,O,O,X,X,O,O,X
TSZILOJ,O,O,X,X,O,O,X
TSZIJLO,O,O,X,O,O,X,X
TSZIJOL,O,O,X,O,O,X,X
TSZIOLJ,O,O,X,X,O,O,X
TSZIOJL,O,O,X,O,O,X,X
TSZLIJO,O,O,X,X,O,O,X
TSZLIOJ,O,O,X,X,O,O,X
TSZLJIO,O,O,X,X,O,O,X
TSZLJOI,O,O,X,X,O,O,X
TSZLOIJ,O,O,X,X,O,O,X
TSZLOJI,O,O,X,X,O,O,X
TSZJILO,O,O,X,O,O,X,X
TSZJIOL,O,O,X,O,O,X,X
TSZJLIO,O,O,X,O,O,X,X
TSZJLOI,O,O,X,O,O,X,X
TSZJOIL,O,O,X,O,O,X,X
TSZJOLI,O,O,X,O,O,X,X
TSZOILJ,O,O,X,X,O,O,X
TSZOIJL,O,O,X,O,O,X,X
TSZOLIJ,O,O,X,X,O,O,X
TSZOLJI,O,O,X,X,O,O,X
TSZOJIL,O,O,X,O,O,X,X
TSZOJLI,O,O,X,O,O,X,X
TSOILJZ,O,X,X,O,X,O,X
TSOILZJ,O,O,X,X,X,O,X
TSOIJLZ,O,X,X,O,X,O,X
TSOIJZL,O,X,X,O,X,X,X
TSOIZLJ,O,O,X,X,X,O,X
TSOIZJL,O,O,X,O,X,X,X
TSOLIJZ,O,X,X,O,X,O,X
TSOLIZJ,O,O,X,X,X,O,X
TSOLJIZ,O,X,X,O,X,O,X
TSOLJZI,O,X,X,O,X,O,X
TSOLZIJ,O,O,X,X,X,O,X
TSOLZJI,O,O,X,X,X,O,X
TSOJILZ,O,X,X,O,X,O,X
TSOJIZL,O,X,X,O,X,X,X
TSOJLIZ,O,X,X,O,X,O,X
TSOJLZI,O,X,X,O,X,O,X
TSOJZIL,O,X,X,O,X,X,X
TSOJZLI,O,X,X,O,X,X,X
TSOZILJ,O,O,X,X,X,O,X
TSOZIJL,O,O,X,O,X,X,X
TSOZLIJ,O,O,X,X,X,O,X
TSOZLJI,O,O,X,X,X,O,X
TSOZJIL,O,O,X,O,X,X,X
TSOZJLI,O,O,X,O,X,X,X
TZILJSO,O,O,X,X,O,X,X
TZILJOS,O,O,X,X,O,X,X
TZILSJO,O,O,X,X,O,X,X
TZILSOJ,O,O,X,X,O,X,X
TZILOJS,O,O,X,X,O,X,X
TZILOSJ,O,O,X,X,O,X,X
TZIJLSO,O,O,X,X,O,X,X
TZIJLOS,O,O,X,X,O,X,X
TZIJSLO,O,O,X,X,O,X,X
TZIJSOL,O,O,X,X,O,X,X
TZIJOLS,O,O,X,X,O,X,X
TZIJOSL,O,O,X,X,O,X,X
TZISLJO,O,O,X,X,O,X,X
TZISLOJ,O,O,X,X,O,X,X
TZISJLO,O,O,X,X,O,X,X
TZISJOL,O,O,X,X,O,X,X
TZISOLJ,O,O,X,X,O,X,X
TZISOJL,O,O,X,X,O,X,X
TZIOLJS,O,O,X,X,O,X,X
TZIOLSJ,O,O,X,X,O,X,X
TZIOJLS,O,O,X,X,O,X,X
TZIOJSL,O,O,X,X,O,X,X
TZIOSLJ,O,O,X,X,O,X,X
TZIOSJL,O,O,X,X,O,X,X
TZLIJSO,O,O,O,X,O,X,X
TZLIJOS,O,O,O,X,O,X,X
TZLISJO,O,O,O,X,O,O,X
TZLISOJ,O,O,O,X,O,O,X
TZLIOJS,O,O,X,X,O,X,X
TZLIOSJ,O,O,X,X,O,O,X
TZLJISO,O,O,O,X,O,X,X
TZLJIOS,O,O,O,X,O,X,X
TZLJSIO,O,O,O,X,O,O,X
TZLJSOI,O,O,O,X,O,O,X
TZLJOIS,O,O,O,X,O,X,X
TZLJOSI,O,O,O,X,O,O,X
TZLSIJO,O,O,O,X,O,O,X
TZLSIOJ,O,O,O,X,O,O,X
TZLSJIO,O,O,O,X,O,O,X
TZLSJOI,O,O,O,X,O,O,X
TZLSOIJ,O,O,O,X,O,O,X
TZLSOJI,O,O,O,X,O,O,X
TZLOIJS,O,O,O,X,O,X,X
TZLOISJ,O,O,O,X,O,O,X
TZLOJIS,O,O,O,X,O,X,X
TZLOJSI,O,O,O,X,O,O,X
TZLOSIJ,O,O,O,X,O,O,X
TZLOSJI,O,O,O,X,O,O,X
TZJILSO,O,O,O,X,O,X,X
TZJILOS,O,O,O,X,O,X,X
TZJISLO,O,O,O,O,O,X,X
TZJISOL,O,O,O,O,O,X,X
TZJIOLS,O,O,O,X,O,X,X
TZJIOSL,O,O,O,O,O,X,X
TZJLISO,O,O,O,X,O,X,X
TZJLIOS,O,O,O,X,O,X,X
TZJLSIO,O,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,X,X
TZJLOIS,O,O,O,X,O,X,X
TZJLOSI,O,O,O,O,O,X,X
TZJSILO,O,O,O,O,O,X,X
TZJSIOL,O,O,O,O,O,X,X
TZJSLIO,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,O,X,X
TZJSOIL,O,O,O,O,O,X,X
TZJSOLI,O,O,O,O,O,X,X
TZJOILS,O,O,O,X,O,X,X
TZJOISL,O,O,O,O,O,X,X
TZJOLIS,O,O,O,X,O,X,X
TZJOLSI,O,O,O,O,O,X,X
TZJOSIL,O,O,O,O,O,X,X
TZJOSLI,O,O,O,O,O,X,X
TZSILJO,O,O,O,X,O,O,X
TZSILOJ,O,O,O,X,O,O,X
TZSIJLO,O,O,X,O,O,X,X
TZSIJOL,O,O,X,O,O,X,X
TZSIOLJ,O,O,O,X,O,O,X
TZSIOJL,O,O,O,O,O,X,X
TZSLIJO,O,O,O,X,O,O,X
TZSLIOJ,O,O,O,X,O,O,X
TZSLJIO,O,O,O,X,O,O,X
TZSLJOI,O,O,O,X,O,O,X
TZSLOIJ,O,O,O,X,O,O,X
TZSLOJI,O,O,O,X,O,O,X
TZSJILO,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,X,X
TZSJOLI,O,O,O,O,O,X,X
TZSOILJ,O,O,O,X,O,O,X
TZSOIJL,O,O,O,O,O,X,X
TZSOLIJ,O,O,O,X,O,O,X
TZSOLJI,O,O,O,X,O,O,X
TZSOJIL,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,X,X
TZOILJS,O,O,O,X,O,X,X
TZOILSJ,O,O,O,X,O,X,X
TZOIJLS,O,O,O,X,O,X,X
TZOIJSL,O,O,O,X,O,X,X
TZOISLJ,O,O,O,X,O,X,X
TZOISJL,O,O,O,X,O,X,X
TZOLIJS,O,O,O,X,O,X,X
TZOLISJ,O,O,O,X,O,O,X
TZOLJIS,O,O,O,X,O,X,X
TZOLJSI,O,O,O,X,O,O,X
TZOLSIJ,O,O,O,X,O,O,X
TZOLSJI,O,O,O,X,O,O,X
TZOJILS,O,O,O,X,O,X,X
TZOJISL,O,O,O,O,O,X,X
TZOJLIS,O,O,O,X,O,X,X
TZOJLSI,O,O,O,O,O,X,X
TZOJSIL,O,O,O,O,O,X,X
TZOJSLI,O,O,O,O,O,X,X
TZOSILJ,O,O,O,X,O,O,X
TZOSIJL,O,O,O,O,O,X,X
TZOSLIJ,O,O,O,X,O,O,X
TZOSLJI,O,O,O,X,O,O,X
TZOSJIL,O,O,O,O,O,X,X
TZOSJLI,O,O,O,O,O,X,X
TOILJSZ,X,X,O,X,X,X,O
TOILJZS,X,O,O,X,O,X,O
TOILSJZ,X,X,X,X,X,O,X
TOILSZJ,X,O,X,X,X,O,X
TOILZJS,X,O,O,X,O,X,X
TOILZSJ,X,O,O,X,O,O,X
TOIJLSZ,X,X,O,X,X,X,O
TOIJLZS,X,O,O,X,O,X,O
TOIJSLZ,O,X,O,O,X,X,X
TOIJSZL,O,X,O,O,X,X,X
