sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TLSZOJI,O,O,O,O,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,X
TLSOZJI,X,O,X,X,X,X,X,X
TLZIJSO,O,O,O,O,O,O,X,X
TLZIJOS,O,O,X,X,X,X,X,X
TLZISJO,O,O,O,O,O,O,X,X
TLZISOJ,O,O,O,O,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X
TLZJISO,O,O,O,O,O,O,X,X
TLZJIOS,O,O,X,X,X,X,X,X
TLZJSIO,O,O,X,O,O,X,O,X
TLZJSOI,O,O,X,O,X,X,O,X
TLZJOIS,O,O,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,X
TLZSIOJ,O,O,X,O,X,X,O,X
TLZSJIO,O,O,X,O,O,X,O,X
TLZSJOI,O,O,X,O,X,X,O,X
TLZSOIJ,O,O,X,O,X,X,O,X
TLZSOJI,O,O,X,O,X,X,O,X
TLZOIJS,O,O,X,O,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X
TLOIJSZ,X,O,X,X,X,O,X,X
TLOIJZS,X,O,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,O,X,X
TLOISZJ,X,O,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,X,X
TLOJISZ,X,O,X,X,X,O,X,X
TLOJIZS,X,O,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X
TLOSZIJ,X,O,X,X,X,X,X,X
TLOSZJI,X,O,X,X,X,X,X,X
TLOZIJS,X,O,X,O,X,X,X,X
TLOZISJ,X,O,X,O,X,X,X,X
TLOZJIS,X,O,X,O,X,X,X,X
TLOZJSI,X,O,X,O,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X
TJILSZO,O,O,O,X,X,O,X,X
TJILSOZ,O,O,X,X,X,O,X,X
TJILZSO,O,O,O,X,O,O,X,X
TJILZOS,O,O,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,O,X,X
TJILOZS,X,O,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,O,O,X
TJISLOZ,O,O,X,X,X,O,X,X
TJISZLO,O,O,O,X,O,O,O,X
TJISZOL,O,O,O,X,O,X,O,X
TJISOLZ,O,O,X,X,X,O,X,X
TJISOZL,O,O,X,X,X,X,O,X
TJIZLSO,O,O,O,X,O,O,X,X
TJIZLOS,O,O,X,X,X,X,X,X
TJIZSLO,O,O,O,X,O,O,X,X
TJIZSOL,O,O,O,X,O,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,O,X,X,X
TJIOLSZ,O,O,X,X,X,O,X,X
TJIOLZS,O,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,O,X,X
TJIOSZL,O,O,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X
TJIOZSL,O,O,O,X,O,X,X,X
TJLISZO,O,O,O,X,X,O,X,X
TJLISOZ,O,O,X,X,X,O,X,X
TJLIZSO,O,O,O,X,O,O,X,X
TJLIZOS,O,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,O,X,X
TJLIOZS,X,O,X,X,X,X,X,X
TJLSIZO,O,O,O,X,X,O,O,X
TJLSIOZ,O,O,X,X,X,O,X,X
TJLSZIO,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X
TJLZISO,O,O,O,X,O,O,X,X
TJLZIOS,O,O,X,X,X,X,X,X
TJLZSIO,O,O,X,X,O,X,O,X
TJLZSOI,O,O,X,X,X,X,O,X
TJLZOIS,O,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,O,X,X
TJLOIZS,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,O,X
TJSILOZ,O,O,X,X,X,O,X,X
TJSIZLO,O,O,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,X,O,X
TJSIOLZ,O,O,X,X,X,O,X,X
TJSIOZL,O,O,X,X,X,X,O,X
TJSLIZO,O,O,O,X,X,O,O,X
TJSLIOZ,O,O,X,X,X,O,X,X
TJSLZIO,O,O,O,O,X,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X
TJSZILO,O,O,O,O,O,X,O,X
TJSZIOL,O,O,O,O,O,X,O,X
TJSZLIO,O,X,O,O,O,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X
TJSZOIL,O,X,O,O,O,X,X,O
TJSZOLI,X,X,O,O,X,X,X,O
TJSOILZ,O,O,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,O,X
TJSOLIZ,O,O,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,O
TJSOZLI,O,O,X,O,X,X,X,O
TJZILSO,O,O,O,X,O,O,X,X
TJZILOS,O,O,X,X,X,X,X,X
TJZISLO,O,O,O,O,O,O,X,X
TJZISOL,O,O,O,O,O,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X
TJZIOSL,O,O,O,X,O,X,X,X
TJZLISO,O,O,O,O,O,O,X,X
TJZLIOS,O,O,X,X,X,X,X,X
TJZLSIO,O,O,X,O,O,X,O,X
TJZLSOI,O,O,X,O,X,X,O,X
TJZLOIS,O,O,X,X,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X
TJZSILO,O,O,O,O,O,X,O,X
TJZSIOL,O,O,O,O,O,X,O,X
TJZSLIO,O,X,X,O,O,X,O,X
TJZSLOI,O,X,X,O,X,X,O,X
TJZSOIL,O,X,X,O,O,X,O,O
TJZSOLI,X,X,X,O,X,X,O,O
TJZOILS,O,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,O,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,O,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,O,O,X,X,X,O,X,X
TJOILZS,O,O,X,X,X,X,X,X
TJOISLZ,O,O,X,X,X,O,X,X
TJOISZL,O,O,X,X,X,X,X,X
