sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
IJSZTOL,O,O,O,X,O,X,X,X
IJSZLTO,O,O,O,X,O,O,X,X
IJSZLOT,O,O,O,X,X,X,X,X
IJSZOTL,O,O,O,X,O,X,X,O
IJSZOLT,O,O,O,X,X,X,X,O
IJSOTLZ,O,O,X,X,X,O,X,X
IJSOTZL,O,O,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,O,X,X
IJSOLZT,O,O,O,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,O
IJSOZLT,O,O,O,X,X,X,X,O
IJZTLSO,O,O,O,X,O,O,X,X
IJZTLOS,O,O,X,X,X,X,X,X
IJZTSLO,O,O,O,X,O,O,X,X
IJZTSOL,O,O,O,X,O,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,O,X,X,X
IJZLTSO,O,O,O,X,O,O,X,X
IJZLTOS,O,O,X,X,X,X,X,X
IJZLSTO,O,O,O,X,O,O,O,X
IJZLSOT,O,O,O,X,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,X,X
IJZSTLO,O,O,O,X,O,O,O,X
IJZSTOL,O,O,O,X,O,X,O,X
IJZSLTO,O,O,O,X,O,O,O,X
IJZSLOT,O,O,O,X,X,X,X,X
IJZSOTL,O,O,O,X,O,X,X,O
IJZSOLT,O,O,O,X,X,X,X,O
IJZOTLS,O,O,X,X,X,X,X,X
IJZOTSL,O,O,O,X,O,X,X,X
IJZOLTS,O,O,X,X,X,X,X,X
IJZOLST,O,O,X,X,X,X,X,X
IJZOSTL,O,O,O,X,O,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,O,X,X
IJOTLZS,O,O,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,O,X,X
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X
IJOTZSL,O,O,O,X,O,X,X,X
IJOLTSZ,O,O,X,X,X,O,X,X
IJOLTZS,O,O,X,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,O,X,X
IJOLSZT,O,O,O,X,X,X,X,X
IJOLZTS,O,O,X,X,X,X,X,X
IJOLZST,O,O,X,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,O,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,O,X,X
IJOSLZT,O,O,O,X,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X
IJOZTSL,O,O,O,X,O,X,X,X
IJOZLTS,O,O,X,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,X,X
IJOZSTL,O,O,O,X,O,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,O,O,X,X,O,O,X
ISTLJOZ,O,O,X,X,X,O,X,X
ISTLZJO,O,O,O,X,X,O,O,X
ISTLZOJ,O,O,O,X,X,X,O,X
ISTLOJZ,O,O,X,X,X,O,X,X
ISTLOZJ,X,O,X,X,X,X,X,X
ISTJLZO,O,O,O,X,X,O,O,X
ISTJLOZ,O,O,X,X,X,O,X,X
ISTJZLO,O,O,O,X,O,O,O,X
ISTJZOL,O,O,O,X,O,X,O,X
ISTJOLZ,O,O,X,X,X,O,X,X
ISTJOZL,O,O,X,X,X,X,O,X
ISTZLJO,O,X,O,X,O,O,O,X
ISTZLOJ,X,X,O,X,X,X,O,X
ISTZJLO,O,O,O,X,O,O,O,X
ISTZJOL,O,O,O,X,O,X,O,X
ISTZOLJ,X,X,O,X,X,X,O,X
ISTZOJL,O,X,O,X,O,X,O,X
ISTOLJZ,O,O,X,X,X,O,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,O,X,X
ISTOJZL,O,O,X,X,X,X,O,X
ISTOZLJ,O,O,X,X,X,X,O,X
ISTOZJL,O,O,X,X,X,X,O,X
ISLTJZO,O,O,O,X,X,O,X,X
ISLTJOZ,O,O,X,X,X,O,X,X
ISLTZJO,O,O,O,X,X,O,X,X
ISLTZOJ,O,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,O,X,X
ISLTOZJ,X,O,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,O,X,X
ISLJTOZ,O,O,X,X,X,O,X,X
ISLJZTO,O,O,O,X,X,O,X,X
ISLJZOT,O,O,O,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,O,X,X
ISLJOZT,O,O,O,X,X,X,X,X
ISLZTJO,O,O,O,X,X,O,X,X
ISLZTOJ,O,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,X,O,X,X
ISLZJOT,O,O,O,X,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,O,X,X
ISLOTZJ,O,O,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,O,X,X
ISLOJZT,O,O,O,X,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X,X
ISJTLZO,O,O,O,X,X,O,O,X
ISJTLOZ,O,O,X,X,X,O,X,X
ISJTZLO,O,O,O,X,O,O,O,X
ISJTZOL,O,O,O,X,O,X,O,X
ISJTOLZ,O,O,X,X,X,O,X,X
ISJTOZL,O,O,X,X,X,X,O,X
ISJLTZO,O,O,O,X,X,O,X,X
ISJLTOZ,O,O,X,X,X,O,X,X
ISJLZTO,O,O,O,X,X,O,X,X
ISJLZOT,O,O,O,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,O,X,X
ISJLOZT,O,O,O,X,X,X,X,X
ISJZTLO,O,O,O,X,O,O,X,X
ISJZTOL,O,O,O,X,O,X,X,X
ISJZLTO,O,O,O,X,O,O,X,X
ISJZLOT,O,O,O,X,X,X,X,X
ISJZOTL,O,O,O,X,O,X,X,O
ISJZOLT,O,O,O,X,X,X,X,O
ISJOTLZ,O,O,X,X,X,O,X,X
ISJOTZL,O,O,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,O,X,X
ISJOLZT,O,O,O,X,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,O
ISJOZLT,O,O,O,X,X,X,X,O
ISZTLJO,O,X,O,X,O,O,X,X
ISZTLOJ,X,X,O,X,X,X,X,X
ISZTJLO,O,O,O,X,O,O,X,X
ISZTJOL,O,O,O,X,O,X,X,X
ISZTOLJ,X,X,O,X,X,X,X,X
ISZTOJL,O,X,O,X,O,X,X,X
ISZLTJO,O,O,O,X,O,O,X,X
ISZLTOJ,O,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,O,O,X,X
ISZLJOT,O,O,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X,X
ISZJTLO,O,O,O,X,O,O,X,X
ISZJTOL,O,O,O,X,O,X,X,X
ISZJLTO,O,O,O,X,O,O,X,X
ISZJLOT,O,O,O,X,X,X,X,X
ISZJOTL,O,O,O,X,O,X,X,O
ISZJOLT,O,O,O,X,X,X,X,O
ISZOTLJ,O,O,O,X,X,X,X,X
ISZOTJL,O,O,O,X,O,X,X,O
ISZOLTJ,O,O,O,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,O
ISZOJTL,O,O,O,X,O,X,X,O
ISZOJLT,O,O,O,X,X,X,X,O
ISOTLJZ,O,O,X,X,X,O,X,X
ISOTLZJ,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,O,X,X
ISOLTZJ,O,O,X,X,X,X,X,X
ISOLJTZ,O,O,X,X,X,O,X,X
ISOLJZT,O,O,O,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,X,X
ISOLZJT,O,O,O,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,O,X,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,O,X,X
ISOJLZT,O,O,O,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,O
ISOJZLT,O,O,O,X,X,X,X,O
ISOZTLJ,O,O,O,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X,O
ISOZJTL,O,O,O,X,X,X,X,O
ISOZJLT,O,O,O,X,X,X,X,O
IZTLJSO,O,O,O,O,O,O,X,X
IZTLJOS,O,O,X,X,X,X,X,X
IZTLSJO,O,O,O,O,O,O,X,X
IZTLSOJ,O,O,O,O,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,X,X,X
IZTJLSO,O,O,O,X,O,O,X,X
IZTJLOS,O,O,X,X,X,X,X,X
IZTJSLO,O,O,O,O,O,O,X,X
IZTJSOL,O,O,O,O,O,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X
IZTJOSL,O,O,O,X,O,X,X,X
IZTSLJO,O,X,O,O,O,O,X,X
IZTSLOJ,X,X,O,O,X,X,X,X
IZTSJLO,O,O,O,O,O,O,X,X
IZTSJOL,O,O,O,O,O,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X
IZTSOJL,O,X,O,O,O,X,X,X
IZTOLJS,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,O,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X
IZTOJSL,O,O,O,O,O,X,X,X
IZTOSLJ,O,X,O,O,X,X,X,X
IZTOSJL,O,O,O,O,O,X,X,X
IZLTJSO,O,O,O,O,O,O,X,X
IZLTJOS,O,O,X,X,X,X,X,X
IZLTSJO,O,O,O,O,O,O,X,X
IZLTSOJ,O,O,O,O,X,X,X,X
IZLTOJS,O,O,X,O,X,X,X,X
IZLTOSJ,O,O,X,O,X,X,X,X
IZLJTSO,O,O,O,O,O,O,X,X
IZLJTOS,O,O,X,X,X,X,X,X
IZLJSTO,O,O,O,X,O,O,O,X
IZLJSOT,O,O,O,X,X,X,X,X
IZLJOTS,O,O,X,O,X,X,X,X
IZLJOST,O,O,X,X,X,X,X,X
IZLSTJO,O,O,O,O,O,O,O,X
IZLSTOJ,O,O,O,O,X,X,O,X
IZLSJTO,O,O,O,X,O,O,O,X
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,O,O,O,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X
IZLOTJS,O,O,X,O,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,X,X
IZLOJTS,O,O,X,O,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X
IZJTLSO,O,O,O,X,O,O,X,X
IZJTLOS,O,O,X,X,X,X,X,X
IZJTSLO,O,O,O,O,O,O,X,X
IZJTSOL,O,O,O,O,O,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X
IZJTOSL,O,O,O,X,O,X,X,X
IZJLTSO,O,O,O,X,O,O,X,X
IZJLTOS,O,O,X,X,X,X,X,X
IZJLSTO,O,O,O,X,O,O,O,X
IZJLSOT,O,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X
IZJSTLO,O,O,O,X,O,O,O,X
IZJSTOL,O,O,O,X,O,X,O,X
IZJSLTO,O,O,O,X,O,O,O,X
IZJSLOT,O,O,O,X,X,X,X,X
IZJSOTL,O,O,O,X,O,X,X,O
IZJSOLT,O,O,O,X,X,X,X,O
IZJOTLS,O,O,X,X,X,X,X,X
IZJOTSL,O,O,O,O,O,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X
IZJOSTL,O,O,O,X,O,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X
IZSTLJO,O,X,O,O,O,O,O,X
IZSTLOJ,X,X,O,X,X,X,O,X
IZSTJLO,O,O,O,O,O,O,O,X
IZSTJOL,O,O,O,O,O,X,O,X
IZSTOLJ,X,X,O,X,X,X,O,X
IZSTOJL,O,X,O,O,O,X,O,X
IZSLTJO,O,O,O,X,O,O,O,X
IZSLTOJ,O,O,O,X,X,X,O,X
IZSLJTO,O,O,O,X,O,O,O,X
IZSLJOT,O,O,O,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X
IZSJTLO,O,O,O,X,O,O,O,X
IZSJTOL,O,O,O,X,O,X,O,X
IZSJLTO,O,O,O,X,O,O,O,X
IZSJLOT,O,O,O,X,X,X,X,X
IZSJOTL,O,O,O,X,O,X,X,O
IZSJOLT,O,O,O,X,X,X,X,O
IZSOTLJ,O,O,O,O,X,X,X,X
IZSOTJL,O,O,O,O,O,X,X,O
IZSOLTJ,O,O,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,O
IZSOJTL,O,O,O,X,O,X,X,O
IZSOJLT,O,O,O,X,X,X,X,O
IZOTLJS,O,O,X,O,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,O,O,O,X,X,X
IZOTSLJ,O,O,O,O,X,X,X,X
IZOTSJL,O,O,O,O,O,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,O,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X
IZOJTSL,O,O,O,O,O,X,X,X
IZOJLTS,O,O,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,X
IZOJSTL,O,O,O,X,O,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X
IZOSTJL,O,O,O,O,O,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X
IZOSJTL,O,O,O,X,O,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,O,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,O,X,X
IOTJLZS,O,O,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,O,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X
IOTJZSL,O,O,O,X,O,X,X,X
IOTSLJZ,O,O,X,X,X,O,X,X
IOTSLZJ,O,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,O,X,X
IOTSJZL,O,O,X,O,X,X,X,X
IOTSZLJ,O,O,X,O,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X
IOTZJSL,O,O,O,O,O,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,X
IOTZSJL,O,O,O,O,O,X,X,X
IOLTJSZ,O,O,X,X,X,O,X,X
IOLTJZS,O,O,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,O,X,X
IOLTSZJ,O,O,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,X,X
IOLJTSZ,O,O,X,X,X,O,X,X
IOLJTZS,O,O,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,O,X,X
IOLJSZT,O,O,O,X,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,X
IOLJZST,O,O,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,O,X,X
IOLSTZJ,O,O,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,O,X,X
IOLSJZT,O,O,O,X,X,X,X,X
IOLSZTJ,O,O,O,O,X,X,X,X
IOLSZJT,O,O,O,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,X,X
IOLZTSJ,O,O,X,O,X,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X
IOLZJST,O,O,X,X,X,X,X,X
IOLZSTJ,O,O,X,O,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,O,X,X
IOJTLZS,O,O,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,O,X,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,X,X,X
IOJLTSZ,O,O,X,X,X,O,X,X
IOJLTZS,O,O,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,O,X,X
IOJLSZT,O,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X
IOJLZST,O,O,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,O,X,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,O,O,X,X,X,O,X,X
IOJSLZT,O,O,O,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X
IOJSZLT,O,O,O,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X
IOJZTSL,O,O,O,X,O,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X
IOJZSTL,O,O,O,X,O,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,O,X,X
IOSTLZJ,O,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,O,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,O,X,X
IOSLTZJ,O,O,X,X,X,X,X,X
IOSLJTZ,O,O,X,X,X,O,X,X
IOSLJZT,O,O,O,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,X,X
IOSLZJT,O,O,O,X,X,X,X,X
IOSJTLZ,O,O,X,X,X,O,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,O,X,X
IOSJLZT,O,O,O,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,O,O,O,O,O,X,X,X
IOZTSLJ,O,O,O,O,X,X,X,X
IOZTSJL,O,O,O,O,O,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X
IOZLJST,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,X,O,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X
IOZJTSL,O,O,O,O,O,X,X,X
IOZJLTS,O,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,X
IOZJSTL,O,O,O,X,O,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X
IOZSTJL,O,O,O,O,O,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,X,O,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X
LTIJSZO,O,O,O,X,X,O,X,X
LTIJSOZ,O,O,X,X,X,O,X,X
LTIJZSO,O,O,O,X,O,O,X,X
LTIJZOS,O,O,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,O,X,X
LTIJOZS,X,O,X,X,X,X,X,X
LTISJZO,O,O,O,X,X,O,X,X
LTISJOZ,O,O,X,X,X,O,X,X
LTISZJO,O,O,O,X,X,O,X,X
LTISZOJ,O,O,O,X,X,X,X,X
LTISOJZ,O,O,X,X,X,O,X,X
LTISOZJ,X,O,X,X,X,X,X,X
LTIZJSO,O,O,O,O,O,O,X,X
LTIZJOS,O,O,X,X,X,X,X,X
LTIZSJO,O,O,O,O,O,O,X,X
LTIZSOJ,O,O,O,O,X,X,X,X
LTIZOJS,O,O,X,O,X,X,X,X
LTIZOSJ,O,O,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,O,X,X
LTIOJZS,X,O,X,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,O,X,X
LTIOSZJ,X,O,X,X,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,X,X
LTJISZO,O,O,O,X,X,O,X,X
LTJISOZ,O,O,X,X,X,O,X,X
LTJIZSO,O,O,O,X,O,O,X,X
LTJIZOS,O,O,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,O,X,X
LTJIOZS,X,O,X,X,X,X,X,X
LTJSIZO,O,O,O,X,X,O,O,X
LTJSIOZ,O,O,X,X,X,O,X,X
LTJSZIO,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X
LTJSOIZ,O,O,X,X,X,X,X,X
LTJSOZI,X,O,X,X,X,X,X,X
LTJZISO,O,O,O,X,O,O,X,X
LTJZIOS,O,O,X,X,X,X,X,X
LTJZSIO,O,O,X,X,O,X,O,X
LTJZSOI,O,O,X,X,X,X,O,X
LTJZOIS,O,O,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,O,X,X
LTJOIZS,X,O,X,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X,X
LTJOZIS,X,O,X,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,O,O,X
LTSIJOZ,O,O,X,X,X,O,X,X
LTSIZJO,O,O,O,X,X,O,O,X
LTSIZOJ,O,O,O,X,X,X,O,X
LTSIOJZ,O,O,X,X,X,O,X,X
LTSIOZJ,X,O,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,O,O,X
LTSJIOZ,O,O,X,X,X,O,X,X
LTSJZIO,O,O,O,O,X,X,X,X
LTSJZOI,O,O,O,O,X,X,X,X
LTSJOIZ,O,O,X,X,X,X,X,X
LTSJOZI,X,O,X,X,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,X
LTSZJIO,O,O,O,O,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X
LTSZOIJ,O,O,O,O,X,X,X,X
LTSZOJI,O,O,O,O,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,X
LTSOIZJ,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,X,X
LTSOJZI,X,O,X,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,X,X,X
LTSOZJI,X,O,X,X,X,X,X,X
LTZIJSO,O,O,O,O,O,O,X,X
LTZIJOS,O,O,X,X,X,X,X,X
LTZISJO,O,O,O,O,O,O,X,X
LTZISOJ,O,O,O,O,X,X,X,X
LTZIOJS,O,O,X,O,X,X,X,X
LTZIOSJ,O,O,X,O,X,X,X,X
LTZJISO,O,O,O,O,O,O,X,X
LTZJIOS,O,O,X,X,X,X,X,X
LTZJSIO,O,O,X,O,O,X,O,X
LTZJSOI,O,O,X,O,X,X,O,X
LTZJOIS,O,O,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X
LTZSIJO,O,O,X,O,O,X,O,X
LTZSIOJ,O,O,X,O,X,X,O,X
LTZSJIO,O,O,X,O,O,X,O,X
LTZSJOI,O,O,X,O,X,X,O,X
LTZSOIJ,O,O,X,O,X,X,O,X
LTZSOJI,O,O,X,O,X,X,O,X
LTZOIJS,O,O,X,O,X,X,X,X
LTZOISJ,O,O,X,O,X,X,X,X
LTZOJIS,O,O,X,O,X,X,X,X
LTZOJSI,O,O,X,O,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X
LTOIJSZ,X,O,X,X,X,O,X,X
LTOIJZS,X,O,X,X,X,X,X,X
LTOISJZ,X,O,X,X,X,O,X,X
LTOISZJ,X,O,X,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X
LTOJISZ,X,O,X,X,X,O,X,X
LTOJIZS,X,O,X,X,X,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,X
LTOJSZI,X,O,X,X,X,X,X,X
LTOJZIS,X,O,X,X,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X,X
LTOSZIJ,X,O,X,X,X,X,X,X
LTOSZJI,X,O,X,X,X,X,X,X
LTOZIJS,X,O,X,O,X,X,X,X
LTOZISJ,X,O,X,O,X,X,X,X
LTOZJIS,X,O,X,O,X,X,X,X
LTOZJSI,X,O,X,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,X,X
LTOZSJI,X,O,X,O,X,X,X,X
LITJSZO,O,O,O,X,X,O,X,X
LITJSOZ,O,O,X,X,X,O,X,X
LITJZSO,O,O,O,X,O,O,X,X
LITJZOS,O,O,X,X,X,X,X,X
LITJOSZ,X,O,X,X,X,O,X,X
LITJOZS,X,O,X,X,X,X,X,X
LITSJZO,O,O,O,X,X,O,X,X
LITSJOZ,O,O,X,X,X,O,X,X
LITSZJO,O,O,O,X,X,O,X,X
LITSZOJ,O,O,O,X,X,X,X,X
LITSOJZ,O,O,X,X,X,O,X,X
LITSOZJ,X,O,X,X,X,X,X,X
LITZJSO,O,O,O,O,O,O,X,X
LITZJOS,O,O,X,X,X,X,X,X
LITZSJO,O,O,O,O,O,O,X,X
LITZSOJ,O,O,O,O,X,X,X,X
LITZOJS,O,O,X,O,X,X,X,X
LITZOSJ,O,O,X,O,X,X,X,X
LITOJSZ,X,O,X,X,X,O,X,X
LITOJZS,X,O,X,X,X,X,X,X
