sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
TJLZOIS,O,O,O
TJLZOSI,O,O,O
TJLOISZ,O,X,O
TJLOIZS,O,O,O
TJLOSIZ,O,X,O
TJLOSZI,O,O,O
TJLOZIS,O,O,O
TJLOZSI,O,O,O
TJSILZO,O,X,O
TJSILOZ,O,X,O
TJSIZLO,O,X,O
TJSIZOL,O,X,X
TJSIOLZ,O,X,O
TJSIOZL,O,X,X
TJSLIZO,O,X,O
TJSLIOZ,O,X,O
TJSLZIO,O,O,O
TJSLZOI,O,O,O
TJSLOIZ,O,X,O
TJSLOZI,O,O,O
TJSZILO,O,O,O
TJSZIOL,O,O,X
TJSZLIO,O,O,O
TJSZLOI,O,O,O
TJSZOIL,O,O,X
TJSZOLI,O,O,X
TJSOILZ,O,X,O
TJSOIZL,O,X,X
TJSOLIZ,O,X,O
TJSOLZI,O,O,O
TJSOZIL,O,O,X
TJSOZLI,O,O,X
TJZILSO,O,O,O
TJZILOS,O,O,O
TJZISLO,O,O,O
TJZISOL,O,O,X
TJZIOLS,O,O,O
TJZIOSL,O,O,X
TJZLISO,O,O,O
TJZLIOS,O,O,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,O,O
TJZLOSI,O,O,O
TJZSILO,O,O,O
TJZSIOL,O,O,X
TJZSLIO,O,O,O
TJZSLOI,O,O,O
TJZSOIL,O,O,X
TJZSOLI,O,O,X
TJZOILS,O,O,O
TJZOISL,O,O,X
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,X
TJZOSLI,O,O,X
TJOILSZ,O,X,O
TJOILZS,O,O,O
TJOISLZ,O,X,O
TJOISZL,O,X,X
TJOIZLS,O,O,O
TJOIZSL,O,O,X
TJOLISZ,O,X,O
TJOLIZS,O,O,O
TJOLSIZ,O,X,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,X,O
TJOSIZL,O,X,X
TJOSLIZ,O,X,O
TJOSLZI,O,O,O
TJOSZIL,O,O,X
TJOSZLI,O,O,X
TJOZILS,O,O,O
TJOZISL,O,O,X
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,X
TJOZSLI,O,O,X
TSILJZO,O,X,O
TSILJOZ,O,X,O
TSILZJO,O,X,O
TSILZOJ,O,X,O
TSILOJZ,O,X,O
TSILOZJ,O,X,O
TSIJLZO,O,X,O
TSIJLOZ,O,X,O
TSIJZLO,O,X,O
TSIJZOL,O,X,X
TSIJOLZ,O,X,O
TSIJOZL,O,X,X
TSIZLJO,O,X,O
TSIZLOJ,O,X,O
TSIZJLO,O,X,O
TSIZJOL,O,X,X
TSIZOLJ,O,X,X
TSIZOJL,O,X,X
TSIOLJZ,O,X,O
TSIOLZJ,O,X,O
TSIOJLZ,O,X,O
TSIOJZL,O,X,X
TSIOZLJ,O,X,X
TSIOZJL,O,X,X
TSLIJZO,O,X,O
TSLIJOZ,O,X,O
TSLIZJO,O,X,O
TSLIZOJ,O,X,O
TSLIOJZ,O,X,O
TSLIOZJ,O,X,O
TSLJIZO,O,X,O
TSLJIOZ,O,X,O
TSLJZIO,O,O,O
TSLJZOI,O,O,O
TSLJOIZ,O,X,O
TSLJOZI,O,O,O
TSLZIJO,O,X,O
TSLZIOJ,O,X,O
TSLZJIO,O,O,O
TSLZJOI,O,O,O
TSLZOIJ,O,X,O
TSLZOJI,O,O,O
TSLOIJZ,O,X,O
TSLOIZJ,O,X,O
TSLOJIZ,O,X,O
TSLOJZI,O,O,O
TSLOZIJ,O,X,O
TSLOZJI,O,O,O
TSJILZO,O,X,O
TSJILOZ,O,X,O
TSJIZLO,O,X,O
TSJIZOL,O,X,X
TSJIOLZ,O,X,O
TSJIOZL,O,X,X
TSJLIZO,O,X,O
TSJLIOZ,O,X,O
TSJLZIO,O,O,O
TSJLZOI,O,O,O
TSJLOIZ,O,X,O
TSJLOZI,O,O,O
TSJZILO,O,O,O
TSJZIOL,O,O,X
TSJZLIO,O,O,O
TSJZLOI,O,O,O
TSJZOIL,O,O,X
TSJZOLI,O,O,X
TSJOILZ,O,X,O
TSJOIZL,O,X,X
TSJOLIZ,O,X,O
TSJOLZI,O,O,O
TSJOZIL,O,O,X
TSJOZLI,O,O,X
TSZILJO,O,X,O
TSZILOJ,O,X,O
TSZIJLO,O,X,O
TSZIJOL,O,X,X
TSZIOLJ,O,X,X
TSZIOJL,O,X,X
TSZLIJO,O,X,O
TSZLIOJ,O,X,O
TSZLJIO,O,O,O
TSZLJOI,O,O,O
TSZLOIJ,O,X,O
TSZLOJI,O,O,O
TSZJILO,O,O,O
TSZJIOL,O,O,X
TSZJLIO,O,O,O
TSZJLOI,O,O,O
TSZJOIL,O,O,X
TSZJOLI,O,O,X
TSZOILJ,O,X,X
TSZOIJL,O,X,X
TSZOLIJ,O,X,X
TSZOLJI,O,O,X
TSZOJIL,O,O,X
TSZOJLI,O,O,X
TSOILJZ,O,X,O
TSOILZJ,O,X,O
TSOIJLZ,O,X,O
TSOIJZL,O,X,X
TSOIZLJ,O,X,X
TSOIZJL,O,X,X
TSOLIJZ,O,X,O
TSOLIZJ,O,X,O
TSOLJIZ,O,X,O
TSOLJZI,O,O,O
TSOLZIJ,O,X,O
TSOLZJI,O,O,O
TSOJILZ,O,X,O
TSOJIZL,O,X,X
TSOJLIZ,O,X,O
TSOJLZI,O,O,O
TSOJZIL,O,O,X
TSOJZLI,O,O,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,O,X,X
TSOZLJI,O,O,X
TSOZJIL,O,O,X
TSOZJLI,O,O,X
TZILJSO,O,O,O
TZILJOS,O,O,O
TZILSJO,X,X,O
TZILSOJ,O,X,O
TZILOJS,O,O,O
TZILOSJ,O,X,O
TZIJLSO,O,O,O
TZIJLOS,O,O,O
TZIJSLO,O,O,O
TZIJSOL,O,O,X
TZIJOLS,O,O,O
TZIJOSL,O,O,X
TZISLJO,X,X,O
TZISLOJ,O,X,O
TZISJLO,X,X,O
TZISJOL,X,X,X
TZISOLJ,O,X,X
TZISOJL,X,X,X
TZIOLJS,O,O,O
TZIOLSJ,O,X,O
TZIOJLS,O,O,O
TZIOJSL,O,O,X
TZIOSLJ,O,X,X
TZIOSJL,X,X,X
TZLIJSO,O,O,O
TZLIJOS,O,O,O
TZLISJO,X,X,O
TZLISOJ,O,X,O
TZLIOJS,O,O,O
TZLIOSJ,O,X,O
TZLJISO,O,O,O
TZLJIOS,O,O,O
TZLJSIO,O,O,O
TZLJSOI,O,O,O
TZLJOIS,O,O,O
TZLJOSI,O,O,O
TZLSIJO,O,X,O
TZLSIOJ,O,X,O
TZLSJIO,O,O,O
TZLSJOI,O,O,O
TZLSOIJ,O,X,O
TZLSOJI,O,O,O
TZLOIJS,O,O,O
TZLOISJ,O,X,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,O,X,O
TZLOSJI,O,O,O
TZJILSO,O,O,O
TZJILOS,O,O,O
TZJISLO,O,O,O
TZJISOL,O,O,X
TZJIOLS,O,O,O
TZJIOSL,O,O,X
TZJLISO,O,O,O
TZJLIOS,O,O,O
TZJLSIO,O,O,O
TZJLSOI,O,O,O
TZJLOIS,O,O,O
TZJLOSI,O,O,O
TZJSILO,O,O,O
TZJSIOL,O,O,X
TZJSLIO,O,O,O
TZJSLOI,O,O,O
TZJSOIL,O,O,X
TZJSOLI,O,O,X
TZJOILS,O,O,O
TZJOISL,O,O,X
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,X
TZJOSLI,O,O,X
TZSILJO,O,X,O
TZSILOJ,O,X,O
TZSIJLO,O,X,O
TZSIJOL,O,X,X
TZSIOLJ,O,X,X
TZSIOJL,O,X,X
TZSLIJO,O,X,O
TZSLIOJ,O,X,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,X,O
TZSLOJI,O,O,O
TZSJILO,O,O,O
TZSJIOL,O,O,X
TZSJLIO,O,O,O
TZSJLOI,O,O,O
TZSJOIL,O,O,X
TZSJOLI,O,O,X
TZSOILJ,O,X,X
TZSOIJL,O,X,X
TZSOLIJ,O,X,X
TZSOLJI,O,O,X
TZSOJIL,O,O,X
TZSOJLI,O,O,X
TZOILJS,O,O,O
TZOILSJ,O,X,O
TZOIJLS,O,O,O
TZOIJSL,O,O,X
TZOISLJ,O,X,X
TZOISJL,X,X,X
TZOLIJS,O,O,O
TZOLISJ,O,X,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,X,O
TZOLSJI,O,O,O
TZOJILS,O,O,O
TZOJISL,O,O,X
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,O,X
TZOJSLI,O,O,X
TZOSILJ,O,X,X
TZOSIJL,O,X,X
TZOSLIJ,O,X,X
TZOSLJI,O,O,X
TZOSJIL,O,O,X
TZOSJLI,O,O,X
TOILJSZ,O,X,O
TOILJZS,O,O,O
TOILSJZ,X,X,O
TOILSZJ,O,X,O
TOILZJS,O,O,O
TOILZSJ,O,X,O
TOIJLSZ,O,X,O
TOIJLZS,O,O,O
TOIJSLZ,O,X,O
TOIJSZL,O,X,X
TOIJZLS,O,O,O
TOIJZSL,O,O,X
TOISLJZ,X,X,O
TOISLZJ,O,X,O
TOISJLZ,X,X,O
TOISJZL,X,X,X
TOISZLJ,O,X,X
TOISZJL,X,X,X
TOIZLJS,O,O,O
TOIZLSJ,O,X,O
TOIZJLS,O,O,O
TOIZJSL,O,O,X
TOIZSLJ,O,X,X
TOIZSJL,X,X,X
TOLIJSZ,O,X,O
TOLIJZS,O,O,O
TOLISJZ,X,X,O
TOLISZJ,O,X,O
TOLIZJS,O,O,O
TOLIZSJ,O,X,O
TOLJISZ,O,X,O
TOLJIZS,O,O,O
TOLJSIZ,O,X,O
TOLJSZI,O,O,O
TOLJZIS,O,O,O
TOLJZSI,O,O,O
TOLSIJZ,O,X,O
TOLSIZJ,O,X,O
TOLSJIZ,O,X,O
TOLSJZI,O,O,O
TOLSZIJ,O,X,O
TOLSZJI,O,O,O
TOLZIJS,O,O,O
TOLZISJ,O,X,O
TOLZJIS,O,O,O
TOLZJSI,O,O,O
TOLZSIJ,O,X,O
TOLZSJI,O,O,O
TOJILSZ,O,X,O
TOJILZS,O,O,O
TOJISLZ,O,X,O
TOJISZL,O,X,X
TOJIZLS,O,O,O
TOJIZSL,O,O,X
TOJLISZ,O,X,O
TOJLIZS,O,O,O
TOJLSIZ,O,X,O
TOJLSZI,O,O,O
TOJLZIS,O,O,O
TOJLZSI,O,O,O
TOJSILZ,O,X,O
TOJSIZL,O,X,X
TOJSLIZ,O,X,O
TOJSLZI,O,O,O
TOJSZIL,O,O,X
TOJSZLI,O,O,X
TOJZILS,O,O,O
TOJZISL,O,O,X
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,O,X
TOJZSLI,O,O,X
TOSILJZ,O,X,O
TOSILZJ,O,X,O
TOSIJLZ,O,X,O
TOSIJZL,O,X,X
TOSIZLJ,O,X,X
TOSIZJL,O,X,X
TOSLIJZ,O,X,O
TOSLIZJ,O,X,O
TOSLJIZ,O,X,O
TOSLJZI,O,O,O
TOSLZIJ,O,X,O
TOSLZJI,O,O,O
TOSJILZ,O,X,O
TOSJIZL,O,X,X
TOSJLIZ,O,X,O
TOSJLZI,O,O,O
TOSJZIL,O,O,X
TOSJZLI,O,O,X
TOSZILJ,O,X,X
TOSZIJL,O,X,X
TOSZLIJ,O,X,X
TOSZLJI,O,O,X
TOSZJIL,O,O,X
TOSZJLI,O,O,X
TOZILJS,O,O,O
TOZILSJ,O,X,O
