sequence,v115@WhB8BeD8AeF8Jei/IvhFzgBRiBcoB3kBGnBlqB,v115@WhB8BeD8AeF8Jei/IvhFWmBxhBTjB3kB0nBlqB,v115@WhB8BeD8AeF8JeOEJvhF8kBzgBCiBxnBXoBlqB,v115@WhB8BeD8AeF8JeOEJvhFlgBCiBzkB8qBxsBXtB,v115@WhB8BeD8AeF8JeT/IvhFlgBWnBxiBypB8qBXtB,v115@WhB8BeD8AeF8JeWHJvhFxiBikBzlBXoB0kBlqB,v115@WhB8BeD8AeF8Je2EJvhFChBTjBxmB3kB0nBlqB,v115@WhB8BeD8AeF8JeKEJvhFxhBTjBFlBXmB0nBGqB,v115@WhB8BeD8AeF8JeKEJvhFTjBFlBxmBXmB0nBGqB,v115@WhB8BeD8AeF8Je2EJvhFTjB1qBxmB3kB0nBCrB
TIJSLOZ,O,O,X,X,X,X,O,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,O,X,X,O
TIJSOZL,O,O,X,X,X,X,X,X,X,O
TIJZLSO,O,O,O,X,X,X,X,X,X,X
TIJZLOS,O,O,O,X,X,X,O,X,X,X
TIJZSLO,O,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X,X,X,X
TIJZOLS,O,O,O,X,X,X,O,X,X,O
TIJZOSL,O,O,O,X,X,X,X,X,X,O
TIJOLSZ,X,O,X,X,X,X,O,X,X,O
TIJOLZS,X,X,O,O,X,X,O,X,X,O
TIJOSLZ,O,O,X,X,X,X,O,X,X,O
TIJOSZL,O,O,X,X,X,X,X,X,X,O
TIJOZLS,O,O,O,O,X,X,O,X,X,O
TIJOZSL,O,O,O,O,X,X,X,X,X,O
TISLJZO,O,O,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,O,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,O,X,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,O,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,O,X,X,O
TISJOZL,O,O,X,X,X,X,X,X,X,O
TISZLJO,O,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,O,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,O,X,X,O
TISOJZL,O,O,X,X,X,X,X,X,X,O
TISOZLJ,O,X,O,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,X,X
TIZLJSO,O,O,O,X,X,X,X,X,X,X
TIZLJOS,O,O,O,O,X,X,O,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X,X,X
TIZLOJS,X,O,O,O,X,X,O,X,X,X
TIZLOSJ,O,O,O,O,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,X,O,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,O,X,X,O
TIZJOSL,O,O,O,O,X,X,X,X,X,O
TIZSLJO,O,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,O,O,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X,X,X
TIZOLJS,X,O,O,O,X,X,O,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,O,X,X,O
TIZOJSL,O,O,O,O,X,X,X,X,X,O
TIZOSLJ,O,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,O,X,O,O
TIOLJZS,X,X,O,O,X,X,O,X,O,O
TIOLSJZ,X,X,X,X,X,X,O,X,O,X
TIOLSZJ,X,X,O,X,X,X,X,X,O,X
TIOLZJS,X,X,O,O,X,X,O,X,O,X
TIOLZSJ,X,X,O,O,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,X,X,O,X,X,O
TIOJLZS,X,X,O,O,X,X,O,X,X,O
TIOJSLZ,O,O,X,X,X,X,O,X,X,O
TIOJSZL,O,O,X,X,X,X,X,X,X,O
TIOJZLS,O,X,O,O,X,X,O,X,X,O
TIOJZSL,O,O,O,O,X,X,X,X,X,O
TIOSLJZ,O,O,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,O,X,X,O
TIOSJZL,O,O,X,X,X,X,X,X,X,O
TIOSZLJ,O,X,O,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X
TIOZLJS,X,X,O,O,X,X,O,X,X,X
TIOZLSJ,O,X,O,O,X,X,X,X,X,X
TIOZJLS,O,X,O,O,X,X,O,X,X,O
TIOZJSL,O,X,O,O,X,X,X,X,X,O
TIOZSLJ,O,X,O,O,X,X,X,X,X,X
TIOZSJL,O,X,O,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,O,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,X,O,X,O,O
TLIJOZS,X,X,O,O,X,X,O,X,O,O
TLISJZO,X,X,X,X,X,X,X,O,X,X
TLISJOZ,X,X,X,X,X,X,O,X,X,X
TLISZJO,X,X,O,X,X,X,X,O,X,X
TLISZOJ,X,X,O,X,X,X,X,O,X,X
TLISOJZ,X,X,X,X,X,X,O,X,O,X
TLISOZJ,X,X,O,X,X,X,X,O,O,X
TLIZJSO,X,X,O,X,X,X,X,X,X,X
TLIZJOS,X,X,O,O,X,X,O,X,X,X
TLIZSJO,X,X,O,X,X,X,X,O,X,X
TLIZSOJ,X,X,O,O,X,X,X,O,X,X
TLIZOJS,X,X,O,O,X,X,O,X,O,X
TLIZOSJ,X,X,O,O,X,X,X,O,O,X
TLIOJSZ,X,X,X,X,X,X,O,X,O,O
TLIOJZS,X,X,O,O,X,X,O,X,O,O
TLIOSJZ,X,X,X,X,X,X,O,X,O,X
TLIOSZJ,X,X,O,X,X,X,X,X,O,X
TLIOZJS,X,X,O,O,X,X,O,X,O,X
TLIOZSJ,X,X,O,O,X,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,O,X,X,X
TLJIZSO,X,O,O,X,O,X,X,X,X,X
TLJIZOS,X,O,O,X,O,X,O,X,X,X
TLJIOSZ,X,O,X,X,X,X,O,X,O,O
TLJIOZS,X,X,O,O,O,X,O,X,O,O
TLJSIZO,O,O,X,X,O,X,X,O,X,X
TLJSIOZ,O,O,X,X,O,O,O,X,X,X
TLJSZIO,O,O,X,X,O,X,X,O,X,X
TLJSZOI,O,O,X,X,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,O,O,O,X,X,X
TLJSOZI,O,O,X,X,O,O,X,X,X,X
TLJZISO,O,O,O,X,O,X,X,X,X,X
TLJZIOS,O,O,O,X,O,X,O,X,X,X
TLJZSIO,O,O,O,X,O,X,X,O,X,X
TLJZSOI,O,O,O,X,O,X,X,O,X,X
TLJZOIS,O,O,O,X,O,X,O,X,X,X
TLJZOSI,O,O,O,X,O,X,X,O,X,X
TLJOISZ,X,O,X,X,X,X,O,X,O,O
TLJOIZS,X,X,O,O,O,X,O,X,O,O
TLJOSIZ,O,O,X,X,O,O,O,X,X,X
TLJOSZI,O,O,X,X,O,O,X,X,X,X
TLJOZIS,O,X,O,O,O,X,O,X,X,X
TLJOZSI,O,X,O,O,O,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,X,O,X,X
TLSIJOZ,O,O,X,X,O,O,O,X,X,X
TLSIZJO,O,O,O,X,O,X,X,O,X,X
TLSIZOJ,O,O,O,X,O,X,X,O,X,X
TLSIOJZ,O,O,X,X,O,O,O,X,O,X
TLSIOZJ,O,X,O,X,O,X,X,O,O,X
TLSJIZO,O,O,X,X,O,X,X,O,X,X
TLSJIOZ,O,O,X,X,O,O,O,X,X,X
TLSJZIO,O,O,X,X,O,X,X,O,X,X
TLSJZOI,O,O,X,X,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,O,O,O,X,X,X
TLSJOZI,O,O,X,X,O,O,X,X,X,X
TLSZIJO,O,O,O,X,O,X,X,O,X,X
TLSZIOJ,O,O,O,X,O,X,X,O,X,X
TLSZJIO,O,O,O,X,O,X,X,O,X,X
TLSZJOI,O,O,O,X,O,X,X,O,X,X
TLSZOIJ,O,O,O,X,O,X,X,O,X,X
TLSZOJI,O,O,O,X,O,X,X,O,X,X
TLSOIJZ,O,O,X,X,O,O,O,X,O,X
TLSOIZJ,O,X,O,X,O,X,X,O,O,X
TLSOJIZ,O,O,X,X,O,O,O,X,X,X
TLSOJZI,O,O,X,X,O,O,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,O,X,X
TLSOZJI,O,O,O,X,O,X,X,O,X,X
TLZIJSO,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,O,O,O,X,O,X,X,X
TLZISJO,O,O,O,X,O,X,X,O,X,X
TLZISOJ,O,O,O,O,O,X,X,O,X,X
TLZIOJS,X,O,O,O,O,X,O,X,O,X
TLZIOSJ,O,O,O,O,O,X,X,O,O,X
TLZJISO,O,O,O,X,O,X,X,X,X,X
TLZJIOS,O,O,O,O,O,X,O,X,X,X
TLZJSIO,O,O,O,X,O,X,X,O,X,X
TLZJSOI,O,O,O,X,O,X,X,O,X,X
TLZJOIS,O,O,O,O,O,X,O,X,X,X
TLZJOSI,O,O,O,O,O,X,X,O,X,X
TLZSIJO,O,O,O,X,O,X,X,O,X,X
TLZSIOJ,O,O,O,O,O,X,X,O,X,X
TLZSJIO,O,O,O,X,O,X,X,O,X,X
TLZSJOI,O,O,O,X,O,X,X,O,X,X
TLZSOIJ,O,O,O,O,O,X,X,O,X,X
TLZSOJI,O,O,O,O,O,X,X,O,X,X
TLZOIJS,X,O,O,O,O,X,O,X,O,X
TLZOISJ,O,O,O,O,O,X,X,O,O,X
TLZOJIS,O,O,O,O,O,X,O,X,X,X
TLZOJSI,O,O,O,O,O,X,X,O,X,X
TLZOSIJ,O,O,O,O,O,X,X,O,X,X
TLZOSJI,O,O,O,O,O,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,X,O,X,O,O
TLOIJZS,X,X,O,O,X,X,O,X,O,O
TLOISJZ,X,X,X,X,X,X,O,X,O,X
TLOISZJ,X,X,O,X,X,X,X,X,O,X
TLOIZJS,X,X,O,O,X,X,O,X,O,X
TLOIZSJ,X,X,O,O,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,X,O,X,O,O
TLOJIZS,X,X,O,O,O,X,O,X,O,O
TLOJSIZ,O,O,X,X,O,O,O,X,X,X
TLOJSZI,O,O,X,X,O,O,X,X,X,X
TLOJZIS,O,X,O,O,O,X,O,X,X,X
TLOJZSI,O,X,O,O,O,X,X,X,X,X
TLOSIJZ,O,O,X,X,O,O,O,X,O,X
TLOSIZJ,O,X,O,X,O,X,X,O,O,X
TLOSJIZ,O,O,X,X,O,O,O,X,X,X
TLOSJZI,O,O,X,X,O,O,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,X,O,X,X
TLOSZJI,O,O,O,X,O,X,X,O,X,X
TLOZIJS,X,X,O,O,O,X,O,X,O,X
TLOZISJ,O,X,O,O,O,X,X,O,O,X
TLOZJIS,O,X,O,O,O,X,O,X,X,X
TLOZJSI,O,X,O,O,O,X,X,O,X,X
TLOZSIJ,O,X,O,O,O,X,X,O,X,X
TLOZSJI,O,X,O,O,O,X,X,O,X,X
TJILSZO,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,O,X,X,X
TJILZSO,X,O,O,X,O,X,X,X,X,X
TJILZOS,X,O,O,X,O,X,O,X,X,X
TJILOSZ,X,O,X,X,X,X,O,X,X,O
TJILOZS,X,X,O,O,O,X,O,X,X,O
TJISLZO,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,O,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,O,X,X,O
TJISOZL,O,O,X,X,X,X,X,X,X,O
TJIZLSO,O,O,O,X,O,X,X,X,X,X
TJIZLOS,O,O,O,X,O,X,O,X,X,X
TJIZSLO,O,O,O,X,O,X,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,O,X,O,X,X,O
TJIZOSL,O,O,O,X,X,X,X,X,X,O
TJIOLSZ,X,O,X,X,X,X,O,X,X,O
TJIOLZS,X,X,O,O,X,X,O,X,X,O
TJIOSLZ,O,O,X,X,X,X,O,X,X,O
TJIOSZL,O,O,X,X,X,X,X,X,X,O
TJIOZLS,O,O,O,O,X,X,O,X,X,O
TJIOZSL,O,O,O,O,X,X,X,X,X,O
TJLISZO,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,O,X,X,X
TJLIZSO,X,O,O,X,O,X,X,X,X,X
TJLIZOS,X,O,O,X,O,X,O,X,X,X
TJLIOSZ,X,O,X,X,X,X,O,X,X,O
TJLIOZS,X,X,O,O,O,X,O,X,X,O
TJLSIZO,O,O,X,X,O,X,X,X,X,X
TJLSIOZ,O,O,X,X,O,O,O,X,X,X
TJLSZIO,O,O,X,X,O,X,X,X,X,X
TJLSZOI,O,O,X,X,O,X,X,X,X,X
TJLSOIZ,O,O,X,X,O,O,O,X,X,X
TJLSOZI,O,O,X,X,O,O,X,X,X,X
TJLZISO,O,O,O,X,O,X,X,X,X,X
TJLZIOS,O,O,O,X,O,X,O,X,X,X
TJLZSIO,O,O,O,X,O,X,X,X,X,X
TJLZSOI,O,O,O,X,O,X,X,X,X,X
TJLZOIS,O,O,O,X,O,X,O,X,X,X
TJLZOSI,O,O,O,X,O,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,O,X,X,O
TJLOIZS,X,X,O,O,O,X,O,X,X,O
TJLOSIZ,O,O,X,X,O,O,O,X,X,X
TJLOSZI,O,O,X,X,O,O,X,X,X,X
TJLOZIS,O,X,O,O,O,X,O,X,X,X
TJLOZSI,O,X,O,O,O,X,X,X,X,X
TJSILZO,O,O,X,X,O,X,X,X,X,X
TJSILOZ,O,O,X,X,O,O,O,X,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,O,O,X,X,O
TJSIOZL,O,O,X,X,X,X,X,X,X,O
TJSLIZO,O,O,X,X,O,X,X,X,X,X
TJSLIOZ,O,O,X,X,O,O,O,X,X,X
TJSLZIO,O,O,X,X,O,X,X,X,X,X
TJSLZOI,O,O,X,X,O,X,X,X,X,X
TJSLOIZ,O,O,X,X,O,O,O,X,X,X
TJSLOZI,O,O,X,X,O,O,X,X,X,X
TJSZILO,O,O,X,X,O,X,X,X,X,X
TJSZIOL,O,O,X,X,O,X,X,X,X,X
TJSZLIO,O,O,X,X,O,X,X,X,X,X
TJSZLOI,O,O,X,X,O,X,X,X,X,X
TJSZOIL,O,O,X,X,O,X,X,X,X,X
TJSZOLI,O,O,X,X,O,X,X,X,X,X
TJSOILZ,O,O,X,X,X,O,O,X,X,O
TJSOIZL,O,O,X,X,X,X,X,X,X,O
TJSOLIZ,O,O,X,X,X,O,O,X,X,X
TJSOLZI,O,O,X,X,X,O,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X,X,X
TJZILSO,O,O,O,X,O,X,X,X,X,X
TJZILOS,O,O,O,X,O,X,O,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,X,X
TJZISOL,O,O,O,X,O,X,X,X,X,X
TJZIOLS,O,O,O,X,O,X,O,X,X,O
TJZIOSL,O,O,O,X,X,X,X,X,X,O
TJZLISO,O,O,O,X,O,X,X,X,X,X
TJZLIOS,O,O,O,X,O,X,O,X,X,X
TJZLSIO,O,O,O,X,O,X,X,X,X,X
TJZLSOI,O,O,O,X,O,X,X,X,X,X
TJZLOIS,O,O,O,X,O,X,O,X,X,X
TJZLOSI,O,O,O,X,O,X,X,X,X,X
TJZSILO,O,O,O,X,O,X,X,X,X,X
TJZSIOL,O,O,O,X,O,X,X,X,X,X
TJZSLIO,O,O,O,X,O,X,X,X,X,X
TJZSLOI,O,O,O,X,O,X,X,X,X,X
TJZSOIL,O,O,O,X,O,X,X,X,X,X
TJZSOLI,O,O,O,X,O,X,X,X,X,X
TJZOILS,O,O,O,X,O,X,O,X,X,O
TJZOISL,O,O,O,X,X,X,X,X,X,O
TJZOLIS,O,O,O,X,O,X,O,X,X,X
TJZOLSI,O,O,O,X,O,X,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X,X,X,X
TJZOSLI,O,O,O,X,O,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,O,X,X,O
TJOILZS,X,X,O,O,X,X,O,X,X,O
TJOISLZ,O,O,X,X,X,X,O,X,X,O
TJOISZL,O,O,X,X,X,X,X,X,X,O
TJOIZLS,O,O,O,O,X,X,O,X,X,O
TJOIZSL,O,O,O,O,X,X,X,X,X,O
TJOLISZ,X,O,X,X,X,X,O,X,X,O
TJOLIZS,X,X,O,O,X,X,O,X,X,O
TJOLSIZ,O,O,X,X,X,O,O,X,X,X
TJOLSZI,O,O,X,X,X,O,X,X,X,X
TJOLZIS,O,X,O,O,X,X,O,X,X,X
TJOLZSI,O,X,O,O,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,O,O,X,X,O
TJOSIZL,O,O,X,X,X,X,X,X,X,O
TJOSLIZ,O,O,X,X,X,O,O,X,X,X
TJOSLZI,O,O,X,X,X,O,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X,X,X
TJOZILS,O,O,O,O,X,X,O,X,X,O
TJOZISL,O,O,O,O,X,X,X,X,X,O
TJOZLIS,O,O,O,O,X,X,O,X,X,X
TJOZLSI,O,O,O,O,X,X,X,X,X,X
TJOZSIL,O,O,O,O,X,X,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,X,X,X
TSILJZO,O,O,X,X,O,X,X,O,X,X
TSILJOZ,O,O,X,X,O,O,O,X,X,X
TSILZJO,O,O,O,X,O,X,X,O,X,X
TSILZOJ,O,O,O,X,O,X,X,O,X,X
TSILOJZ,O,O,X,X,O,O,O,X,X,X
TSILOZJ,O,X,O,X,O,X,X,O,X,X
TSIJLZO,O,O,X,X,O,X,X,X,X,X
TSIJLOZ,O,O,X,X,O,O,O,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,O,O,X,X,O
TSIJOZL,O,O,X,X,X,X,X,X,X,O
TSIZLJO,O,O,O,X,O,X,X,O,X,X
TSIZLOJ,O,O,O,X,O,X,X,O,X,X
TSIZJLO,O,O,O,X,O,X,X,X,X,X
TSIZJOL,O,O,O,X,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,O,X,X,O,X,X
TSIZOJL,O,O,O,X,O,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,O,O,X,X,X
TSIOLZJ,O,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,O,O,X,X,O
TSIOJZL,O,O,X,X,X,X,X,X,X,O
TSIOZLJ,O,X,O,X,X,X,X,X,X,X
TSIOZJL,O,X,O,X,X,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X,X,O,X,X
TSLIJOZ,O,O,X,X,O,O,O,X,X,X
TSLIZJO,O,O,O,X,O,X,X,O,X,X
TSLIZOJ,O,O,O,X,O,X,X,O,X,X
TSLIOJZ,O,O,X,X,O,O,O,X,X,X
TSLIOZJ,O,X,O,X,O,X,X,O,X,X
TSLJIZO,O,O,X,X,O,X,X,O,X,X
TSLJIOZ,O,O,X,X,O,O,O,X,X,X
TSLJZIO,O,O,X,X,O,X,X,O,X,X
TSLJZOI,O,O,X,X,O,X,X,O,X,X
TSLJOIZ,O,O,X,X,O,O,O,X,X,X
TSLJOZI,O,O,X,X,O,O,X,X,X,X
TSLZIJO,O,O,O,X,O,X,X,O,X,X
TSLZIOJ,O,O,O,X,O,X,X,O,X,X
TSLZJIO,O,O,O,X,O,X,X,O,X,X
TSLZJOI,O,O,O,X,O,X,X,O,X,X
TSLZOIJ,O,O,O,X,O,X,X,O,X,X
TSLZOJI,O,O,O,X,O,X,X,O,X,X
TSLOIJZ,O,O,X,X,O,O,O,X,X,X
TSLOIZJ,O,X,O,X,O,X,X,O,X,X
TSLOJIZ,O,O,X,X,O,O,O,X,X,X
TSLOJZI,O,O,X,X,O,O,X,X,X,X
TSLOZIJ,O,O,O,X,O,X,X,O,X,X
TSLOZJI,O,O,O,X,O,X,X,O,X,X
TSJILZO,O,O,X,X,O,X,X,X,X,X
TSJILOZ,O,O,X,X,O,O,O,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,O,O,X,X,O
TSJIOZL,O,O,X,X,X,X,X,X,X,O
TSJLIZO,O,O,X,X,O,X,X,X,X,X
TSJLIOZ,O,O,X,X,O,O,O,X,X,X
TSJLZIO,O,O,X,X,O,X,X,X,X,X
TSJLZOI,O,O,X,X,O,X,X,X,X,X
TSJLOIZ,O,O,X,X,O,O,O,X,X,X
TSJLOZI,O,O,X,X,O,O,X,X,X,X
TSJZILO,O,O,X,X,O,X,X,X,X,X
TSJZIOL,O,O,X,X,O,X,X,X,X,X
TSJZLIO,O,O,X,X,O,X,X,X,X,X
TSJZLOI,O,O,X,X,O,X,X,X,X,X
TSJZOIL,O,O,X,X,O,X,X,X,X,X
TSJZOLI,O,O,X,X,O,X,X,X,X,X
TSJOILZ,O,O,X,X,X,O,O,X,X,O
TSJOIZL,O,O,X,X,X,X,X,X,X,O
TSJOLIZ,O,O,X,X,X,O,O,X,X,X
TSJOLZI,O,O,X,X,X,O,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,O,X,X,O,X,X
TSZILOJ,O,O,O,X,O,X,X,O,X,X
TSZIJLO,O,O,O,X,O,X,X,X,X,X
TSZIJOL,O,O,O,X,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,O,X,X,O,X,X
TSZIOJL,O,O,O,X,O,X,X,X,X,X
TSZLIJO,O,O,O,X,O,X,X,O,X,X
TSZLIOJ,O,O,O,X,O,X,X,O,X,X
TSZLJIO,O,O,O,X,O,X,X,O,X,X
TSZLJOI,O,O,O,X,O,X,X,O,X,X
TSZLOIJ,O,O,O,X,O,X,X,O,X,X
TSZLOJI,O,O,O,X,O,X,X,O,X,X
TSZJILO,O,O,O,X,O,X,X,X,X,X
TSZJIOL,O,O,O,X,O,X,X,X,X,X
TSZJLIO,O,O,O,X,O,X,X,X,X,X
TSZJLOI,O,O,O,X,O,X,X,X,X,X
TSZJOIL,O,O,O,X,O,X,X,X,X,X
TSZJOLI,O,O,O,X,O,X,X,X,X,X
TSZOILJ,O,O,O,X,O,X,X,O,X,X
TSZOIJL,O,O,O,X,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,O,X,X
TSZOLJI,O,O,O,X,O,X,X,O,X,X
TSZOJIL,O,O,O,X,O,X,X,X,X,X
TSZOJLI,O,O,O,X,O,X,X,X,X,X
TSOILJZ,O,O,X,X,X,O,O,X,X,X
TSOILZJ,O,X,O,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,O,O,X,X,O
TSOIJZL,O,O,X,X,X,X,X,X,X,O
TSOIZLJ,O,X,O,X,X,X,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,X,O,O,X,X,X
TSOLIZJ,O,X,O,X,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,O,O,X,X,X
TSOLJZI,O,O,X,X,X,O,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X,X,X
