sequence,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBunBcoBlpB3q?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCjB8sB+tBlp?B3qB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBSoBUoBlpB3q?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBWoBXoB0pBlq?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBqsB/tB0p?BlqB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBlpB3qBCt?BUtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBfoB6oB0pBlq?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGoBlpB3qBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFWoBTkBXoBlqBSy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkB6tB/qBFmBOt?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkBOtB/qBFmB6t?B0pB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFfoB6oBTkBlqBWy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Mex/IvhFTkBGoBXmBVvBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCoB0pBlqBXt?BGtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhF5nBOtB/qBFmB6t?B0pB
TILOSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILOZJS,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TIJLZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TIJLOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJSLOZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TIJSZLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJSZOL,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJSOLZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TIJSOZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TIJZLSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TIJZSOL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TIJZOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TIJZOSL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O
TIJOLSZ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TIJOLZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIJOSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TIJOZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJOZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TISLJZO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TISLJOZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TISLZOJ,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TISLOJZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
TISJLZO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
TISJLOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TISJZLO,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
TISJZOL,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
TISJOLZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TISJOZL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TISZLJO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TISZLOJ,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TISZJLO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TISZJOL,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TISZOLJ,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TISZOJL,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TISOLJZ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOJLZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TISOJZL,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TISOZLJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TIZLJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZLOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
TIZJSOL,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
TIZJOLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TIZJOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TIZSLJO,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TIZSLOJ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TIZSJLO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZSOLJ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TIZSOJL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZOLJS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIZOLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZOJLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TIZOJSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TIZOSLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TIOLJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TIOLJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOLZJS,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X
TIOLZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIOJSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TIOJZLS,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TIOJZSL,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSJLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOZLJS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIOZLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TIOZJSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
TIOZSLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TLIJSZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TLIJSOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLIJZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLIJOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLISJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLISZOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLIZJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIZSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIZOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TLIOJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TLIOZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TLJISOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJIZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJIOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJSZIO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TLJSZOI,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJSOZI,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TLJZISO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJZSIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJZOSI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJOIZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSIJZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSIZOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLSJIZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSJIOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSJZIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSJZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSJOIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSJOZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZIJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSZIOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSZJIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSZJOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSZOIJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSZOJI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TLSOIJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSOJZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLSOZJI,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLZIJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZISJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZISOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZIOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZJISO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TLZJOSI,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
TLZSIJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSIOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSJIO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSJOI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSOIJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSOJI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZOIJS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TLZOISJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TLZOJSI,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
TLZOSIJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZOSJI,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TLOIJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLOISJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X
TLOIZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOJIZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TLOJZIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSJZI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TLOZISJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X
TLOZJSI,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X
TLOZSIJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TJILSOZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TJILZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJILOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJISLOZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJISZLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJISZOL,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJISOLZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJISOZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJIZLSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJIZSOL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJIZOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TJIZOSL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O
TJIOLSZ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TJIOLZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TJIOSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TJIOZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TJLISZO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TJLISOZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TJLIZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLIOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TJLSIOZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TJLSZIO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TJLSZOI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TJLSOIZ,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TJLSOZI,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TJLZISO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLZIOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLZSIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLZOIS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLZOSI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLOIZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TJLOZIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJSILZO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSILOZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSIZLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSIZOL,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSIOLZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSIOZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLIZO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSLIOZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLZIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSLZOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSLOIZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSLOZI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSZILO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSZIOL,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSZLIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSZLOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSZOIL,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSZOLI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TJSOILZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSOIZL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSOLIZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSOLZI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSOZIL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJSOZLI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TJZILSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZILOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZISLO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJZISOL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJZIOLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TJZIOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TJZLISO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZLIOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZLSIO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZLSOI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZLOIS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TJZLOSI,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TJZSILO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJZSIOL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TJZSLIO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
