sequence,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFylBfnBOpB0nBzp?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeT/IvhFxhBllBcrB2sBip?BXqB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFUhBFiBzkBfrB2u?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jem/IvhFUhBFiBTkBfrByu?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFXiBcpBeqBzlBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeyEJvhFUhBFiBfrBOpBzp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Je2EJvhFUhBFiBfrBaqBTp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8JeZEJvhFFgBXhBqpBzmB0n?BmqB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnB6pBOpB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JemAJvhFfnBxkBTkB0nByu?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnBOpB6pB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeOEJvhF8kBXiBzlByuBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFXhBikBzmB0nB1u?BmqB
TISOLJZ,O,X,X,O,X,O,O,X,O,X,O,X,X
TISOLZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TISOJLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TISOJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
TISOZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TISOZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TIZLJSO,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZLOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZJLSO,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,X,O,X,X,X,X,O,X,X,X
TIZJSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TIZJOLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TIZSLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TIZSJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZSJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TIZSOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TIZSOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZOSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TIZOSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TIOLJSZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOLJZS,O,X,X,O,X,X,X,O,X,X,X,X,O
TIOLSJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOLSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TIOLZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
TIOLZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
TIOJLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TIOJLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TIOJSZL,O,X,O,X,O,O,O,X,X,O,O,X,X
TIOJZLS,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,O,X,O,X,O,X,X,X,O,X,X
TIOSLJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOSLZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TIOSJLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TIOSJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
TIOSZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TIOSZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TIOZSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TLIJSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLIJSOZ,O,X,O,O,X,X,X,O,O,O,O,X,X
TLIJZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLIJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLIJOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
TLISJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLISJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TLISZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
TLISZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TLISOJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLISOZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TLIZJSO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZSJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TLIZOJS,X,X,X,O,X,X,X,O,X,X,X,O,O
TLIZOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
TLIOJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLIOJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLIOSJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLIOSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TLIOZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
TLIOZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
TLJISZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJISOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJIZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJIZOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJIOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJIOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
TLJSIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJSZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJSZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJSOZI,O,X,O,O,X,X,X,O,X,X,X,X,O
TLJZISO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJZIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJZOSI,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJOISZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJOIZS,O,O,O,O,X,X,X,O,X,X,X,X,O
TLJOSIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TLJOSZI,O,X,O,O,X,X,X,O,X,X,X,X,O
TLJOZIS,O,O,O,O,X,X,X,O,X,X,X,X,O
TLJOZSI,O,O,O,O,X,X,X,O,X,X,X,X,O
TLSIJZO,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLSIZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TLSIOJZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TLSIOZJ,X,X,X,O,X,X,X,O,O,X,X,O,O
TLSJIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
TLSJZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TLSJZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TLSJOZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLSZIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TLSZJIO,O,X,O,O,X,X,X,X,X,O,X,O,X
TLSZJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TLSZOJI,O,X,X,O,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TLSOIZJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLSOJIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TLSOJZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TLSOZIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLSOZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TLZIJSO,X,O,X,O,X,X,X,X,X,O,X,O,X
TLZIJOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TLZISJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLZISOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TLZIOJS,X,O,X,O,X,X,X,O,X,X,X,O,O
TLZIOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
TLZJISO,O,O,X,O,X,X,X,X,X,O,X,O,X
TLZJIOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TLZJSIO,O,O,X,O,X,X,X,X,X,O,X,O,X
TLZJSOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TLZSIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TLZSJIO,O,O,X,O,X,X,X,X,X,O,X,O,X
TLZSJOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,O,X,X,X,O,X,X,X,X,O
TLZOISJ,X,X,X,O,X,X,X,O,O,X,X,X,O
TLZOJIS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLZOJSI,O,O,X,O,X,X,X,O,X,X,X,X,O
TLZOSIJ,X,X,X,O,X,X,X,O,O,X,X,X,O
TLZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,O
TLOIJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLOIJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOISJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLOISZJ,X,X,X,O,X,O,O,O,O,X,X,X,O
TLOIZJS,X,X,X,O,X,X,X,O,X,X,X,X,O
TLOIZSJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLOJISZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TLOJIZS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOJSIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TLOJSZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TLOJZIS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOJZSI,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOSIJZ,O,X,X,O,X,O,X,O,O,O,O,X,O
TLOSIZJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLOSJIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TLOSJZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TLOSZIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLOSZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TLOZIJS,X,O,X,O,X,X,X,O,X,X,X,X,O
TLOZISJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLOZJIS,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOZJSI,O,O,X,O,X,X,X,O,X,X,X,X,O
TLOZSIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TLOZSJI,O,O,X,O,X,O,X,X,X,X,X,X,O
TJILSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJILSOZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TJILZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJILZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
TJILOSZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TJILOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TJISLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJISLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TJISZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
TJISZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TJISOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TJISOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
TJIZLSO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJIZOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TJIOLZS,X,X,O,X,X,X,X,X,X,X,X,X,O
TJIOSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TJIOSZL,X,X,O,X,O,O,O,X,X,O,O,X,X
TJIOZLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,O,X,O,X,O,X,X,X,O,X,X
TJLISZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLISOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLIZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLIZOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLIOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLIOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
TJLSIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLSIOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLSZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLSZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLSOZI,O,X,O,O,X,X,X,O,X,X,X,X,O
TJLZISO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLZIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLZOSI,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLOISZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLOIZS,O,O,O,O,X,X,X,O,X,X,X,X,O
TJLOSIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLOSZI,O,X,O,O,X,X,X,O,X,X,X,X,O
TJLOZIS,O,O,O,O,X,X,X,O,X,X,X,X,O
TJLOZSI,O,O,O,O,X,X,X,O,X,X,X,X,O
TJSILZO,O,X,O,X,X,X,X,X,X,O,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,O,O,O,X,X
TJSIZLO,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSIZOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJSIOLZ,O,X,O,X,X,X,X,X,O,O,O,X,X
TJSIOZL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJSLIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TJSLZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJSLZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TJSLOZI,O,X,O,O,X,X,X,X,X,X,X,X,O
TJSZILO,O,X,O,X,O,X,X,X,X,O,X,X,X
TJSZIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJSZLIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TJSZLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TJSZOLI,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TJSOIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TJSOLZI,O,X,O,X,X,O,O,X,X,X,X,X,O
TJSOZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJSOZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TJZILSO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZILOS,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZISOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZIOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZIOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZLISO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZLIOS,X,O,O,X,O,X,X,X,X,X,X,X,O
TJZLSIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZLSOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X,X,X,X,X,X,O
TJZLOSI,X,O,O,X,X,X,X,X,X,X,X,X,O
TJZSILO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZSIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZSLIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,O,X,X,X,X,X,X,X,O,X,X
TJZSOLI,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,X,O,X,X,X,X,X,X,X,O,X,X
TJZOLIS,X,O,O,X,X,X,X,X,X,X,X,X,O
TJZOLSI,X,O,O,X,X,X,X,X,X,X,X,X,O
TJZOSIL,X,X,O,X,X,X,X,X,X,X,O,X,X
TJZOSLI,X,X,O,X,X,X,X,X,X,X,X,X,O
TJOILSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TJOILZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TJOISLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TJOISZL,O,X,O,X,X,O,O,X,X,O,O,X,X
TJOIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJOLISZ,O,X,O,X,X,O,O,O,O,O,O,X,O
TJOLIZS,O,X,O,X,X,X,X,O,X,X,X,X,O
TJOLSIZ,O,X,O,X,X,X,X,O,O,O,O,X,O
TJOLSZI,O,X,O,X,X,O,O,O,X,X,X,X,O
TJOLZIS,O,X,O,X,X,X,X,O,X,X,X,X,O
TJOLZSI,O,X,O,X,X,X,X,O,X,X,X,X,O
TJOSILZ,O,X,O,X,X,X,O,X,O,O,O,X,O
TJOSIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TJOSLIZ,O,X,O,X,X,X,X,O,O,O,O,X,O
TJOSLZI,O,X,O,X,X,O,O,O,X,X,X,X,O
TJOSZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJOSZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TJOZILS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X,X,X,O
TJOZLSI,O,X,O,X,X,X,X,X,X,X,X,X,O
TJOZSIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJOZSLI,O,X,O,X,X,X,O,X,X,X,X,X,O
TSILJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSILJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TSILZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
TSILZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TSILOJZ,O,X,X,O,X,O,O,X,O,O,O,X,X
TSILOZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TSIJLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSIJLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TSIJZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
TSIJZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TSIJOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TSIJOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
