sequence,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF/lBUhBRiBtpBTn?ByvB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFxgBdnBunB/qBar?B0pB,v115@GhA8HeB8EeA8BeC8DeE8Je0/IvhFxgBdnBunB/pBar?BTqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeSFJvhFNmBRiB/pBTnB0q?BmpB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFNmBanBunBxpBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF6lBNmB3iBzkBUn?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhF0gBdnBunBypBXm?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkBXq?B0qB
TLOIJZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
TLOISJZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
TLOISZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
TLOIZJS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
TLOIZSJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
TLOJISZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
TLOJIZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
TLOJSIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLOJSZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLOJZIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
TLOJZSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
TLOSIJZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLOSIZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
TLOSJIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLOSJZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLOSZIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
TLOSZJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TLOZIJS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
TLOZISJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
TLOZJIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
TLOZJSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
TLOZSIJ,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X
TLOZSJI,O,X,O,O,O,O,X,X,O,X,O,O,O,X,X
TJILSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJILSOZ,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TJILZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJILZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TJILOSZ,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X
TJILOZS,O,X,O,O,O,X,O,X,X,O,X,X,O,X,X
TJISLZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJISLOZ,O,O,O,X,O,X,O,O,X,O,X,X,O,X,O
TJISZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJISZOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,O
TJISOZL,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJIZLOS,X,O,O,O,X,X,O,X,O,X,X,X,O,O,X
TJIZSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJIZSOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIZOLS,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X
TJIZOSL,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TJIOLSZ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJIOLZS,O,X,O,O,O,X,O,X,O,O,X,X,O,X,X
TJIOSLZ,O,X,O,O,O,X,O,O,X,O,X,X,X,X,X
TJIOSZL,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TJIOZLS,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X
TJIOZSL,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TJLISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJLISOZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJLIZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TJLIOSZ,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
TJLIOZS,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
TJLSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJLSIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
TJLSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJLSZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TJLSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TJLSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJLZIOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TJLZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJLZSOI,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X
TJLZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
TJLZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TJLOISZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
TJLOIZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
TJLOSIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TJLOSZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLOZIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
TJLOZSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
TJSILZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJSILOZ,O,O,O,X,O,X,O,O,X,O,X,X,O,X,O
TJSIZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSIZOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSIOLZ,O,X,O,X,O,X,O,O,X,O,X,X,X,X,O
TJSIOZL,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJSLIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
TJSLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJSLZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TJSLOIZ,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O
TJSLOZI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TJSZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
