sequence,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhFZmBtmB?0iB6oB/qBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB9nB?TjBuqBcrBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9nB?TjByqBXtB0qB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB3iB?9oBuqBcrBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhF3hB9nB?6oBetBxqBzqB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB6nB?TjBmlB0qBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhF0hBxiB?/qBNrBqsBTtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhFRiB9oB?erBCnB3lBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBctB6sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBStB0sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9oB?/qBarB0nBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB0iB?2qBStBzqBXtB
TIJOZLS,O,X,X,X,O,X,X,X,O,O,X,X
TIJOZSL,O,X,X,X,O,X,X,X,O,X,X,X
TISLJZO,O,X,O,O,O,X,O,O,X,X,O,X
TISLJOZ,O,O,O,X,O,O,O,X,X,X,O,X
TISLZJO,O,O,O,O,O,O,O,X,X,X,O,X
TISLZOJ,O,O,O,O,X,O,O,X,X,X,O,X
TISLOJZ,O,O,O,X,X,O,O,X,X,X,O,X
TISLOZJ,O,O,O,O,X,O,O,X,X,X,O,X
TISJLZO,O,X,O,O,O,X,O,X,X,X,O,X
TISJLOZ,O,O,O,X,O,O,O,X,X,X,O,X
TISJZLO,O,X,X,X,O,X,O,X,X,X,O,X
TISJZOL,O,X,O,X,O,X,O,X,X,X,X,X
TISJOLZ,O,O,O,X,O,O,O,X,X,X,X,X
TISJOZL,O,X,O,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,O,O,O,O,O,X,X,X,O,X
TISZLOJ,O,O,O,O,X,O,O,X,X,X,O,X
TISZJLO,O,O,X,O,O,O,O,X,X,X,O,X
TISZJOL,O,O,O,O,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TISZOJL,O,O,O,X,O,O,O,X,X,X,X,X
TISOLJZ,O,O,O,X,X,O,O,X,X,X,X,X
TISOLZJ,O,O,O,O,X,O,O,X,X,X,X,X
TISOJLZ,O,O,O,X,O,O,O,X,X,X,X,X
TISOJZL,O,X,O,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TISOZJL,O,O,O,X,O,O,X,X,X,X,X,X
TIZLJSO,O,O,O,O,O,O,O,O,X,X,X,X
TIZLJOS,X,O,X,O,O,O,X,O,X,X,X,O
TIZLSJO,O,O,O,O,O,O,O,X,X,X,X,X
TIZLSOJ,O,O,O,O,X,O,O,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TIZJLSO,O,O,X,O,O,O,X,O,X,X,X,X
TIZJLOS,X,O,X,O,O,O,X,O,X,X,X,O
TIZJSLO,O,O,X,O,O,O,O,X,X,X,O,X
TIZJSOL,O,O,O,O,O,O,O,X,O,X,X,X
TIZJOLS,X,O,X,O,O,O,X,X,O,X,X,X
TIZJOSL,X,O,X,O,O,O,X,X,O,X,X,X
TIZSLJO,O,O,O,O,O,O,O,X,X,X,O,X
TIZSLOJ,O,O,O,O,X,O,O,X,X,X,O,X
TIZSJLO,O,O,X,O,O,O,O,X,X,X,O,X
TIZSJOL,O,O,O,O,O,O,O,X,O,X,X,X
TIZSOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TIZSOJL,O,O,O,X,O,O,O,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,X,O,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,O,O,X,X,X,X
TIOLSJZ,O,O,O,X,X,O,O,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,O,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,O,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,O,O,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,O,O,O,X,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,O,X,O,O,X,X,X,X
TLIJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
TLIJZSO,O,X,O,X,O,X,O,O,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,O,X,X,X,O
TLIJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TLIJOZS,X,X,X,X,O,X,X,O,X,O,X,O
TLISJZO,O,X,O,O,O,X,O,O,X,X,X,X
TLISJOZ,O,O,O,X,O,O,O,X,X,O,X,X
TLISZJO,O,O,O,O,O,O,O,X,X,X,X,X
TLISZOJ,O,O,O,O,X,O,O,X,X,X,X,X
TLISOJZ,O,O,O,X,X,O,O,X,X,X,X,X
TLISOZJ,O,O,O,O,X,O,O,X,X,X,X,X
TLIZJSO,O,O,O,O,O,O,O,O,X,X,X,X
TLIZJOS,X,O,X,O,O,O,X,O,X,X,X,O
TLIZSJO,O,O,O,O,O,O,O,X,X,X,X,X
TLIZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,O,O,X,X,X,X
TLIOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
TLIOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,O,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
TLJISZO,O,X,O,X,O,X,O,O,X,X,X,X
TLJISOZ,O,O,O,X,O,O,O,X,X,O,X,X
TLJIZSO,O,X,O,X,O,X,O,O,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,O,X,X,X,O
TLJIOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TLJIOZS,X,X,X,X,O,X,X,O,X,O,X,O
TLJSIZO,O,X,O,O,O,X,O,O,X,X,O,X
TLJSIOZ,O,O,O,X,O,O,O,X,X,O,O,X
TLJSZIO,O,O,O,O,O,O,O,O,X,X,O,X
TLJSZOI,O,O,O,O,O,O,O,O,X,O,O,O
TLJSOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TLJSOZI,O,O,O,X,O,O,O,X,X,O,O,O
TLJZISO,O,O,O,O,O,O,O,O,X,X,X,X
TLJZIOS,X,O,X,O,O,O,X,O,X,X,X,O
TLJZSIO,O,O,O,O,O,O,O,O,X,X,O,X
TLJZSOI,O,O,O,O,O,O,O,O,O,O,O,O
TLJZOIS,X,O,X,O,O,O,O,O,O,O,X,O
TLJZOSI,X,O,X,O,O,O,O,O,O,O,X,O
TLJOISZ,X,X,O,X,O,X,O,X,X,O,X,O
TLJOIZS,X,X,X,X,O,X,O,O,O,O,X,O
TLJOSIZ,X,X,O,X,O,X,O,X,X,O,X,O
TLJOSZI,X,X,O,X,O,X,O,X,X,O,X,O
TLJOZIS,X,X,X,X,O,X,O,O,O,O,X,O
TLJOZSI,X,X,X,X,O,X,O,O,O,O,X,O
TLSIJZO,O,X,O,O,O,X,O,O,X,X,O,X
TLSIJOZ,O,O,O,X,O,O,O,X,X,O,O,X
TLSIZJO,O,O,O,O,O,O,O,X,X,X,O,X
TLSIZOJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSIOJZ,O,O,O,X,X,O,O,X,X,X,O,X
TLSIOZJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSJIZO,O,X,O,O,O,X,O,O,X,X,O,X
TLSJIOZ,O,O,O,X,O,O,O,X,X,O,O,X
TLSJZIO,O,O,O,O,O,O,O,O,X,X,O,X
TLSJZOI,O,O,O,O,O,O,O,O,X,O,O,O
TLSJOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TLSJOZI,O,O,O,X,O,O,O,X,X,O,O,O
TLSZIJO,O,O,O,O,X,O,O,X,X,X,O,X
TLSZIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSZJIO,O,O,O,O,O,O,O,O,X,X,O,X
TLSZJOI,O,O,O,O,O,O,O,O,X,O,O,O
TLSZOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSZOJI,O,O,O,O,X,O,O,X,X,X,O,X
TLSOIJZ,O,O,O,X,X,O,O,X,X,X,O,X
TLSOIZJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSOJIZ,O,O,O,X,X,O,O,X,X,O,O,X
TLSOJZI,O,O,O,X,X,O,O,X,X,O,O,X
TLSOZIJ,O,O,O,O,X,O,O,X,X,X,O,X
TLSOZJI,O,O,O,O,X,O,O,X,X,X,O,X
TLZIJSO,O,O,O,O,O,O,O,O,X,X,X,X
TLZIJOS,X,O,X,O,O,O,X,O,X,X,X,O
TLZISJO,O,O,O,O,O,O,O,X,X,X,X,X
TLZISOJ,O,O,O,O,X,O,O,X,X,X,X,X
TLZIOJS,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TLZJISO,O,O,O,O,O,O,O,O,X,X,X,X
TLZJIOS,X,O,X,O,O,O,X,O,X,X,X,O
TLZJSIO,O,O,O,O,O,O,O,O,X,X,O,X
TLZJSOI,O,O,O,O,O,O,O,O,O,O,O,O
TLZJOIS,X,O,X,O,O,O,O,O,O,O,X,O
TLZJOSI,X,O,X,O,O,O,O,O,O,O,X,O
TLZSIJO,O,O,O,O,X,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TLZSJIO,O,O,O,O,O,O,O,O,X,X,O,X
TLZSJOI,O,O,O,O,O,O,O,O,O,O,O,O
TLZSOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TLZSOJI,O,O,O,O,X,O,O,X,X,X,O,X
TLZOIJS,X,X,X,O,X,X,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,O,O,X,X,X,X,X
TLZOJIS,X,O,X,O,X,O,O,O,X,X,X,O
TLZOJSI,X,O,X,O,X,O,O,O,X,X,X,O
TLZOSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TLZOSJI,O,O,X,O,X,O,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,O,O,X,X,X,X
TLOISJZ,O,O,O,O,X,O,O,X,X,X,X,X
TLOISZJ,O,O,O,O,X,O,O,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,O,X,X,X,X,X
TLOIZSJ,O,X,X,O,X,X,O,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,O,X,X,O,X,O
TLOJIZS,O,X,X,X,X,X,O,O,X,O,X,O
TLOJSIZ,O,X,O,O,X,X,O,X,X,O,X,O
TLOJSZI,O,X,O,O,X,X,O,X,X,O,X,O
TLOJZIS,O,X,X,O,X,X,O,O,X,O,X,O
TLOJZSI,O,X,X,O,X,X,O,O,X,O,X,O
TLOSIJZ,O,O,O,O,X,O,O,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,O,O,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,O,X,X,O,X,X
TLOSJZI,O,O,O,O,X,O,O,X,X,O,X,X
TLOSZIJ,O,O,O,O,X,O,O,X,X,X,X,X
TLOSZJI,O,O,O,O,X,O,O,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,O,X,X,X,X,X
TLOZISJ,O,O,X,O,X,O,O,X,X,X,X,X
TLOZJIS,O,O,X,O,X,O,O,O,X,X,X,O
TLOZJSI,O,O,X,O,X,O,O,O,X,X,X,O
TLOZSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TLOZSJI,O,O,X,O,X,O,O,X,X,X,X,X
TJILSZO,O,X,O,X,O,X,X,O,X,X,X,X
TJILSOZ,O,O,O,X,O,O,X,X,X,O,X,X
TJILZSO,O,X,O,X,O,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,O,X,X,X,O
TJILOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TJILOZS,X,X,X,X,O,X,X,O,X,O,X,O
TJISLZO,O,X,O,X,O,X,X,X,X,X,O,X
TJISLOZ,O,O,O,X,O,O,X,X,X,X,O,X
TJISZLO,O,X,X,X,O,X,X,X,X,X,O,X
TJISZOL,O,X,O,X,O,X,X,X,X,X,X,X
TJISOLZ,O,O,O,X,O,O,X,X,X,X,X,X
TJISOZL,O,X,O,X,O,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X,O,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,O,X,X,X,O
TJIZSLO,O,X,X,X,O,X,X,X,X,X,O,X
TJIZSOL,O,X,O,X,O,X,X,X,O,X,X,X
TJIZOLS,X,X,X,X,O,X,X,X,O,X,X,X
TJIZOSL,X,X,X,X,O,X,X,X,O,X,X,X
TJIOLSZ,O,X,X,X,O,X,X,X,X,O,X,X
TJIOLZS,O,X,X,X,O,X,X,X,O,O,X,X
TJIOSLZ,O,X,O,X,O,X,X,X,X,O,X,X
TJIOSZL,O,X,O,X,O,X,X,X,O,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,O,O,X,X
TJIOZSL,O,X,X,X,O,X,X,X,O,X,X,X
TJLISZO,O,X,O,X,O,X,O,O,X,X,X,X
TJLISOZ,O,O,O,X,O,O,O,X,X,O,X,X
TJLIZSO,O,X,O,X,O,X,O,O,X,X,X,X
TJLIZOS,X,X,X,X,O,X,X,O,X,X,X,O
TJLIOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TJLIOZS,X,X,X,X,O,X,X,O,X,O,X,O
TJLSIZO,O,X,O,O,O,X,O,O,X,X,O,X
TJLSIOZ,O,O,O,X,O,O,O,X,X,O,O,X
TJLSZIO,O,O,O,O,O,O,O,O,X,X,O,X
TJLSZOI,O,O,O,O,O,O,O,O,X,O,O,O
TJLSOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TJLSOZI,O,O,O,X,O,O,O,X,X,O,O,O
TJLZISO,O,O,O,O,O,O,O,O,X,X,X,X
TJLZIOS,X,O,X,O,O,O,X,O,X,X,X,O
TJLZSIO,O,O,O,O,O,O,O,O,X,X,O,X
TJLZSOI,O,O,O,O,O,O,O,O,O,O,O,O
TJLZOIS,X,O,X,O,O,O,O,O,O,O,X,O
TJLZOSI,X,O,X,O,O,O,O,O,O,O,X,O
TJLOISZ,X,X,O,X,O,X,O,X,X,O,X,O
TJLOIZS,X,X,X,X,O,X,O,O,O,O,X,O
TJLOSIZ,X,X,O,X,O,X,O,X,X,O,X,O
TJLOSZI,X,X,O,X,O,X,O,X,X,O,X,O
TJLOZIS,X,X,X,X,O,X,O,O,O,O,X,O
TJLOZSI,X,X,X,X,O,X,O,O,O,O,X,O
TJSILZO,O,X,O,O,O,X,O,X,X,X,O,X
TJSILOZ,O,O,O,X,O,O,O,X,X,X,O,X
TJSIZLO,O,X,X,X,O,X,O,X,X,X,O,X
TJSIZOL,O,X,O,X,O,X,O,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,O,O,X,X,X,X,X
TJSIOZL,O,X,O,X,O,X,X,X,X,X,X,X
TJSLIZO,O,X,O,O,O,X,O,O,X,X,O,X
TJSLIOZ,O,O,O,X,O,O,O,X,X,O,O,X
TJSLZIO,O,O,O,O,O,O,O,O,X,X,O,X
TJSLZOI,O,O,O,O,O,O,O,O,X,O,O,O
TJSLOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TJSLOZI,O,O,O,X,O,O,O,X,X,O,O,O
TJSZILO,O,O,X,O,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,O,O,O,O,X,O,X,X,X
TJSZLIO,O,O,O,O,O,O,O,O,X,X,O,X
TJSZLOI,O,O,O,O,O,O,O,O,O,X,O,O
TJSZOIL,O,O,O,O,X,O,O,X,O,X,X,X
TJSZOLI,O,O,O,O,O,O,O,X,O,X,O,X
TJSOILZ,O,O,O,X,O,O,O,X,X,O,X,X
TJSOIZL,O,X,O,X,O,X,X,X,O,X,X,X
TJSOLIZ,O,O,O,X,O,O,O,X,X,O,O,X
TJSOLZI,O,O,O,X,O,O,O,X,X,O,O,X
TJSOZIL,O,O,O,X,X,O,O,X,O,X,X,X
TJSOZLI,O,O,O,X,O,O,O,X,O,X,O,X
TJZILSO,O,O,X,O,O,O,X,O,X,X,X,X
TJZILOS,X,O,X,O,O,O,X,O,X,X,X,O
TJZISLO,O,O,X,O,O,O,O,X,X,X,O,X
TJZISOL,O,O,O,O,O,O,O,X,O,X,X,X
TJZIOLS,X,O,X,O,O,O,X,X,O,X,X,X
TJZIOSL,X,O,X,O,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,O,O,O,O,O,X,X,X,X
TJZLIOS,X,O,X,O,O,O,X,O,X,X,X,O
TJZLSIO,O,O,O,O,O,O,O,O,X,X,O,X
TJZLSOI,O,O,O,O,O,O,O,O,O,O,O,O
TJZLOIS,X,O,X,O,O,O,O,O,O,O,X,O
TJZLOSI,X,O,X,O,O,O,O,O,O,O,X,O
TJZSILO,O,O,X,O,O,O,O,X,X,X,O,X
TJZSIOL,O,O,O,O,O,O,O,X,O,X,X,X
TJZSLIO,O,O,O,O,O,O,O,O,X,X,O,X
TJZSLOI,O,O,O,O,O,O,O,O,O,X,O,O
TJZSOIL,O,O,O,O,X,O,O,X,O,X,X,X
TJZSOLI,O,O,O,O,O,O,O,X,O,X,O,X
TJZOILS,X,O,X,O,O,O,X,O,O,O,X,X
TJZOISL,X,O,X,O,O,O,X,X,O,X,X,X
TJZOLIS,X,O,X,O,O,O,X,O,O,O,X,O
TJZOLSI,X,O,X,O,O,O,X,O,O,O,X,O
TJZOSIL,X,O,X,O,X,O,X,X,O,X,X,X
TJZOSLI,X,O,X,O,O,O,X,O,O,X,O,X
TJOILSZ,O,X,X,X,O,X,X,O,X,O,X,X
TJOILZS,O,X,X,X,O,X,X,O,O,O,X,X
TJOISLZ,O,X,O,X,O,X,X,X,X,O,X,X
TJOISZL,O,X,O,X,O,X,X,X,O,X,X,X
TJOIZLS,O,X,X,X,O,X,X,O,O,O,X,X
TJOIZSL,O,X,X,X,O,X,X,X,O,X,X,X
TJOLISZ,O,X,O,X,O,X,O,O,X,O,X,O
TJOLIZS,O,X,X,X,O,X,O,O,O,O,X,O
TJOLSIZ,O,X,O,X,O,X,O,O,X,O,X,O
TJOLSZI,O,X,O,X,O,X,O,O,X,O,X,O
TJOLZIS,O,X,X,X,O,X,O,O,O,O,X,O
TJOLZSI,O,X,X,X,O,X,O,O,O,O,X,O
TJOSILZ,O,X,O,X,O,X,O,X,X,O,X,X
TJOSIZL,O,X,O,X,O,X,X,X,O,X,X,X
TJOSLIZ,O,X,O,X,O,X,O,O,X,O,O,X
TJOSLZI,O,X,O,X,O,X,O,O,X,O,O,X
TJOSZIL,O,X,O,X,X,X,X,X,O,X,X,X
TJOSZLI,O,X,O,X,O,X,O,O,O,X,O,X
TJOZILS,O,X,X,X,O,X,X,O,O,O,X,X
TJOZISL,O,X,X,X,O,X,X,X,O,X,X,X
TJOZLIS,O,X,X,X,O,X,X,O,O,O,X,O
TJOZLSI,O,X,X,X,O,X,X,O,O,O,X,O
TJOZSIL,O,X,X,X,X,X,X,X,O,X,X,X
TJOZSLI,O,X,X,X,O,X,X,O,O,X,O,X
TSILJZO,O,X,O,O,O,X,O,O,X,X,O,X
TSILJOZ,O,O,O,X,O,O,O,X,X,X,O,X
TSILZJO,O,O,O,O,O,O,O,X,X,X,O,X
TSILZOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSILOJZ,O,O,O,X,X,O,O,X,X,X,O,X
TSILOZJ,O,O,O,O,X,O,O,X,X,X,O,X
TSIJLZO,O,X,O,O,O,X,O,X,X,X,O,X
TSIJLOZ,O,O,O,X,O,O,O,X,X,X,O,X
TSIJZLO,O,X,X,X,O,X,O,X,X,X,O,X
TSIJZOL,O,X,O,X,O,X,O,X,X,X,X,X
TSIJOLZ,O,O,O,X,O,O,O,X,X,X,X,X
TSIJOZL,O,X,O,X,O,X,X,X,X,X,X,X
TSIZLJO,O,O,O,O,O,O,O,X,X,X,O,X
TSIZLOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSIZJLO,O,O,X,O,O,O,O,X,X,X,O,X
TSIZJOL,O,O,O,O,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TSIZOJL,O,O,O,X,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,X,X,O,O,X,X,X,X,X
TSIOLZJ,O,O,O,O,X,O,O,X,X,X,X,X
TSIOJLZ,O,O,O,X,O,O,O,X,X,X,X,X
TSIOJZL,O,X,O,X,O,X,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TSIOZJL,O,O,O,X,O,O,X,X,X,X,X,X
TSLIJZO,O,X,O,O,O,X,O,O,X,X,O,X
TSLIJOZ,O,O,O,X,O,O,O,X,X,O,O,X
TSLIZJO,O,O,O,O,O,O,O,X,X,X,O,X
TSLIZOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLIOJZ,O,O,O,X,X,O,O,X,X,X,O,X
TSLIOZJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLJIZO,O,X,O,O,O,X,O,O,X,X,O,X
TSLJIOZ,O,O,O,X,O,O,O,X,X,O,O,X
