sequence,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBFmBGmB0pBXsB,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBGmBFmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je2EJvhF6mBxiBzlBFlB0pBXsB,v115@NhD8HeC8BeB8BeC8JeOEJvhFVlBUhBSrBxnBzpBXsB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBGmBFmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBFmBGmBXsB0pB,v115@NhD8HeC8BeB8BeC8Je2EJvhFxiBCmBFlBTmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je0/IvhFxiB2pBzlBFsB6rBXqB,v115@NhD8HeC8BeB8BeC8Je2EJvhFRgB3hB1qBCoB0pBzrB,v115@NhD8HeC8BeB8BeC8JeVFJvhFxiB2pBTmBCmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKEJvhFxiBUlBFmBGmBXsBzpB,v115@NhD8HeC8BeB8BeC8JeVFJvhFRhB2pBXmBCoBzrB0pB,v115@NhD8HeC8BeB8BeC8JeUBJvhF/pBFlBCoBRrBmpBzrB,v115@NhD8HeC8BeB8BeC8Je0/IvhFVmB2pBCoBRrBXqBzrB,v115@NhD8HeC8BeB8BeC8JeXAJvhFVmB2pBCoBRrB0pBzrB
TILOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJLSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJSLOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TIJSZLO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TIJSZOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O
TIJSOZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZLOS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJZSLO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TIJZSOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJZOSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O
TIJOSZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIJOZSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TISLJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
TISLZJO,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TISLZOJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
TISLOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TISJLOZ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O
TISJZLO,O,O,X,X,X,X,X,X,O,X,X,X,O,O,O
TISJZOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TISJOLZ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O
TISJOZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X
TISZLOJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
TISZJLO,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O
TISZJOL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TISZOJL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
TISOJLZ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O
TISOJZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TISOZLJ,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TISOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TIZJLOS,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZJSLO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TIZJSOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TIZJOSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSJLO,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O
TIZSJOL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSOJL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TIOJSZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIOJZSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O
TIOSJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLISJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLISOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSIJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSIOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSJIOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSJOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSZIOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSZOJI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSOIJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSOZJI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZIJSO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLZJSOI,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TLZJOIS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZOSJI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLOZSJI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJILSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJILZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJISLOZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O
TJISZLO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TJISZOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJISOLZ,X,X,X,O,X,X,X,O,O,O,X,O,X,X,O
TJISOZL,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIZLOS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TJIZSOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIZOSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,O
TJIOSZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJIOZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJIOZSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TJLOSZI,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJSZOIL,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
TJSZOLI,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
TJSOILZ,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJSOIZL,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
TJSOLIZ,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJSOLZI,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJSOZIL,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJSOZLI,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X
TJZILSO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJZILOS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJZISLO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJZISOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJZIOSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZLOIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TJZSOIL,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
TJZSOLI,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X
TJZOILS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
