sequence,v115@QhA8DeI8EeB8Jex/IvhFylBFiBXjBTkB0qBWxB,v115@QhA8DeI8EeB8JeT/IvhFUiBFjBxpB/qBarBWxB,v115@QhA8DeI8EeB8Jem/IvhFChBxiBTkB0qBlrB3sB,v115@QhA8DeI8EeB8JeT/IvhFylBFiBXjBxpBWxB0qB,v115@QhA8DeI8EeB8JeT/IvhFmgBCiBXjBxpB0qBVxB,v115@QhA8DeI8EeB8JeKEJvhFzfB+lBxmBXoBVwBUsB,v115@QhA8DeI8EeB8JeKEJvhFRgB3hBFjBUlBWwBTsB,v115@QhA8DeI8EeB8JeUBJvhFFiBXjBTkB6qBmkBxwB,v115@QhA8DeI8EeB8Jei/IvhFRhBFjB3kB0qBGrBTsB,v115@QhA8DeI8EeB8Jei/IvhF3hBFjBxpBGqBTsBUrB,v115@QhA8DeI8EeB8JeKEJvhFzfB+lBxnBXrBlsB0rB,v115@QhA8DeI8EeB8JeOEJvhF6lBxhBXjBzkBVwBUsB,v115@QhA8DeI8EeB8JeKEJvhFGgBThBFjBUlB/sBRwB,v115@QhA8DeI8EeB8JeOEJvhF6lBxiBzkBXrBlsB0rB,v115@QhA8DeI8EeB8Jex/IvhF2nBTkB/qBFrB0rBCtB,v115@QhA8DeI8EeB8Je0/IvhF6lBThBFjB2pB/sBRwB,v115@QhA8DeI8EeB8Je1GJvhFXjBxkBikBGqBUrBTsB
IZJLOST,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJSTLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJOTSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJOLTS,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IZJOLST,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJOSTL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJOSLT,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJOL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLTO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJTL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTSJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOLTJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOLJTS,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IZOLJST,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOLSJT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTLS,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJLTS,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IZOJLST,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJSTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJSLT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLJT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJLT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTLJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTLSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTJLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTJSLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJSZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZJL,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJLS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
IOLTJZS,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
IOLTSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLJTZS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLJSTZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLJSZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOLJZTS,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X
IOLJZST,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
IOLSTJZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOLSZJT,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X
IOLZJST,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOLZSJT,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJTLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOJTLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOJTSLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTSZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOJTZSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOJLTZS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOJLSTZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOJLSZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
IOJLZTS,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X
IOJLZST,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJSTLZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOJSTZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJSLTZ,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,O,X
IOJSLZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
IOJSZTL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJSZLT,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJZTLS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOJZTSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJZLTS,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOJZLST,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOJZSTL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJZSLT,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOSTLJZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOSTLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOSTJZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSTZLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZJL,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSLTJZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOSLTZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOSLJZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSLZJT,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOSJTLZ,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOSJTZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSJLTZ,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOSJLZT,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOSJZTL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSJZLT,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOSZTLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSZLTJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOSZJTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOSZJLT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZTLJS,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJLS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLTJS,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLJTS,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOZLJST,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLSJT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTLS,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJLTS,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOZJLST,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJSTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJSLT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSJTL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSJLT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIJSZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIJZSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIJOZS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTISJZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISOJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
LTIZSJO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIZSOJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIZOJS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIOJZS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIOSJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
LTJISZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJSZIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTSJZIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSZJIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZIJOS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZISJO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTZIOJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTZJISO,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZJIOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZJSIO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTOJISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOJIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOJZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTOZISJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTOZJIS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTOZJSI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTOZSJI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LITJSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITJZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITJOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITJOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITSJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITSZJO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSZOJ,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LITSOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITSOZJ,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
LITZJSO,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
