sequence,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBlmBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBimBlmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFOmBSoBzmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB1nB6oB2rB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBlmBToBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFSoBmmBTmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFXjBzmBStBlqBOr?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB6sBToB2rB0q?BFtB,v115@HhD8FeB8HeC8BeB8BeA8JeUBJvhFRiBSoBVsBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF1nBTmBStBmmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+oBlmB3nBimB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8JeRBJvhF1nB0mBStBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Je3BJvhFlnBctBmkBRrBzq?BCtB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhFXjBStBmkBRrBzq?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhF0iBStBmkBRrBzq?BXtB
TISZJLO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TISZOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TISOLJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TIZLJOS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O
TIZLSJO,O,O,X,X,X,X,X,X,O,X,X,X,O,O,O
TIZLSOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TIZLOJS,X,X,X,O,O,X,O,X,O,O,X,X,X,X,O
TIZLOSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TIZJLOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZJSLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TIZJSOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
TIZJOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TIZSLJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,O
TIZSLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
TIZSJOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TIZOLJS,X,X,X,O,O,X,O,X,O,O,X,X,X,X,O
TIZOLSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TIZOJLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TIZOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TIOLJSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
TIOLZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O
TIOZLSJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TIOZJLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLIJZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TLIJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TLISZOJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLIZJOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O
TLIZSJO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TLIZSOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,O
TLIZOSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
TLIOJSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
TLIOZSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLJOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSIZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSIZOJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSZOIJ,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLSZOJI,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLZIOJS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLZIOSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLZSOIJ,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X
TLZSOJI,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X
TLZOIJS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLZOISJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
TLZOJIS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLZOJSI,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLZOSIJ,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
TLZOSJI,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
TLOIJSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOSZJI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TLOZIJS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLOZISJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
TLOZJIS,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLOZJSI,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X
TLOZSIJ,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
TLOZSJI,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIZOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TJSLZOI,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TJSLOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJSOZLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZILSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZILOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZIOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZLISO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZLIOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZLSIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZLSOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZLOIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZLOSI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZSIOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
