sequence,v115@FhB8HeB8HeB8CeA8AeE8Jem/IvhFtlBxhBKpBfqBcr?BTsB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFUgBzhB+nBqpBNr?B3qB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxgBTiBNpBarBWs?BXqB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhF3gBzhB+nBqpBNr?BUqB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFRgBfnB6nBcqBNr?BTpB,v115@FhB8HeB8HeB8CeA8AeE8Jei/IvhFtlBxhBcrBTnBmp?B3pB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFalBtlBxhBcrBTn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFSmBTiBNpBXqBxr?BmqB,v115@FhB8HeB8HeB8CeA8AeE8Je3AJvhFzhB+nBNrBxpB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8JeZFJvhFUhB9nBOpBfrB6p?BzrB,v115@FhB8HeB8HeB8CeA8AeE8JetFJvhFxhBikBcrBTnB3p?BmpB,v115@FhB8HeB8HeB8CeA8AeE8JeXAJvhFCiBTnB0pBxqBOp?BdrB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFRgBSnBTlBNrBUn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFtlBxhBcrBTnB3k?ByuB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFtkBCiBUmBTnBXq?BmqB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nBxkBNrB3lB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxhBKpBGmBTnBdq?BfrB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nB/pBRlBcqBNr?BipB
TILOZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TIJLZSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TIJZLSO,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJZSLO,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TIJZOLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJZOSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJOLSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TIJOLZS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TIJOZLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJOZSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TISLJZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISLJOZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISLOJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISJLZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISJLOZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TISJOLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TISZLJO,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISZJLO,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X
TISZOLJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISZOJL,X,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
TISOLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISOJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TISOZLJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISOZJL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
TIZLJSO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TIZLSJO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZJLSO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIZJSLO,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TIZJOLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIZJOSL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIZSLJO,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZSJLO,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X
TIZSOLJ,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZSOJL,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X
TIZOLJS,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TIZOLSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
TIZOJLS,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X
TIZOJSL,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
TIZOSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TIOLJSZ,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOJLZS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TIOJZLS,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIOSZJL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
TIOZLJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
TIOZJLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TIOZJSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
TIOZSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TLIJSZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLIJOZS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLISJZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJISZO,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJIZSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJIOZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLJSIZO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJSZIO,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJSOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJZISO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TLJZSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJZOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
TLJZOSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
TLJOISZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJOIZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJOSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLJOZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
TLJOZSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
TLSIJZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLSZOIJ,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
TLSZOJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSOJZI,O,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
TLSOZIJ,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
TLSOZJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZIJSO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TLZISJO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJISO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TLZJSIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
TLZJOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
TLZJOSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
TLZSIJO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOIJS,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOJIS,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X
TLZOJSI,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X
TLZOSIJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOSJI,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOJISZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJIZS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOJSIZ,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOJSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLOJZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
TLOJZSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSJZI,O,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
TLOSZIJ,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOSZJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZIJS,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZJIS,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X
TLOZJSI,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X
TLOZSIJ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZSJI,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TJILSZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TJILSOZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILZOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISLZO,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TJISOLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TJIZLSO,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TJIZSLO,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TJIZOLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TJIOLSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJIOLZS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TJIOZLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TJIOZSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TJLISZO,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJLISOZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TJLIZSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZOS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TJLIOZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TJLSIZO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJLSZIO,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TJLSOIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJLSOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
