sequence,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBmiBUlBF?nBClBzsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBVnBaoBz?kBGlB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBFhBRnBm?nBipB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFzfBFhBXiBS?qBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBUhBRiBi?pBmsBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBzkBUnBa?tBGlBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhFxgBXiBllBi?pBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeUBJvhFRiBOpBTlB/?sBatBlpB
TIJSLOZ,X,O,O,O,X,X,O,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,O,X
TIJZLOS,X,O,X,O,X,X,O,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,X
TIJOLZS,X,X,X,O,X,X,O,X
TIJOSLZ,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,O,X
TISLJOZ,X,O,O,O,X,X,O,X
TISLZJO,O,O,O,X,X,X,X,X
TISLZOJ,X,O,O,X,X,O,X,X
TISLOJZ,X,O,O,O,X,X,O,X
TISLOZJ,X,O,O,X,X,O,X,X
TISJLZO,O,X,X,O,X,X,O,X
TISJLOZ,X,O,O,O,X,X,O,X
TISJZLO,O,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,X,O,O,X,X,O,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,O,X,X
TISZOJL,O,O,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X
TISOLZJ,O,O,O,X,X,O,X,X
TISOJLZ,O,O,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,O,X,X
TISOZJL,O,O,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,O,X
TIZLJOS,X,O,X,O,X,X,O,X
TIZLSJO,O,O,O,X,X,X,X,X
TIZLSOJ,X,O,O,X,X,O,X,X
TIZLOJS,X,O,X,O,X,X,O,X
TIZLOSJ,X,O,X,X,X,O,X,X
TIZJLSO,O,O,X,O,X,X,O,X
TIZJLOS,X,O,X,O,X,X,O,X
TIZJSLO,O,O,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,O,X,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,O,X,X
TIZSOJL,O,O,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,O,X,X
TIZOJLS,O,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,O,X,X
TIZOSJL,O,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,O,X,X,O,X
TIOLJZS,O,X,X,O,X,X,O,X
TIOLSJZ,O,O,X,O,X,X,O,X
TIOLSZJ,O,O,X,X,X,O,X,X
TIOLZJS,O,O,X,O,X,X,O,X
TIOLZSJ,O,O,X,X,X,O,X,X
TIOJLSZ,O,O,X,O,X,X,O,X
TIOJLZS,O,X,X,O,X,X,O,X
TIOJSLZ,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X
TIOSJLZ,O,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,O,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,O,X,X
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,O,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,O,X,X,O,X,X,O,X
TLIJSOZ,X,O,X,O,X,X,O,X
TLIJZSO,O,X,X,O,X,X,O,X
TLIJZOS,X,X,X,O,X,X,O,X
TLIJOSZ,X,O,X,O,X,X,O,X
TLIJOZS,X,X,X,O,X,X,O,X
TLISJZO,O,X,X,O,X,X,O,X
TLISJOZ,X,O,O,O,X,X,O,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,O,X,X
TLISOJZ,X,O,O,O,X,X,O,X
TLISOZJ,X,O,O,X,X,O,X,X
TLIZJSO,O,O,X,O,X,X,O,X
TLIZJOS,X,O,X,O,X,X,O,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X
TLIZOJS,X,O,X,O,X,X,O,X
TLIZOSJ,X,O,X,X,X,O,X,X
TLIOJSZ,X,O,X,O,X,X,O,X
TLIOJZS,X,X,X,O,X,X,O,X
TLIOSJZ,X,O,O,O,X,X,O,X
TLIOSZJ,X,O,O,X,X,O,X,X
TLIOZJS,X,O,X,O,X,X,O,X
TLIOZSJ,X,O,X,X,X,O,X,X
TLJISZO,O,X,X,O,X,X,O,X
TLJISOZ,X,O,X,O,X,X,O,X
TLJIZSO,O,X,X,O,X,X,O,X
TLJIZOS,X,X,X,O,X,X,O,X
TLJIOSZ,X,O,X,O,X,X,O,X
TLJIOZS,X,X,X,O,X,X,O,X
TLJSIZO,O,X,X,O,O,X,O,X
TLJSIOZ,X,O,X,O,O,X,O,X
TLJSZIO,O,X,X,X,O,X,O,X
TLJSZOI,X,X,X,X,O,X,O,X
TLJSOIZ,X,O,X,O,O,X,O,X
TLJSOZI,X,X,X,X,O,X,O,X
TLJZISO,O,X,X,O,X,X,O,X
TLJZIOS,X,X,X,O,X,X,O,X
TLJZSIO,O,X,X,X,X,X,O,X
TLJZSOI,X,X,X,X,X,X,O,X
TLJZOIS,X,X,X,O,X,X,O,X
TLJZOSI,X,X,X,X,X,X,O,X
TLJOISZ,X,O,X,O,X,X,O,X
TLJOIZS,X,X,X,O,X,X,O,X
TLJOSIZ,X,O,X,O,O,X,O,X
TLJOSZI,X,X,X,X,O,X,O,X
TLJOZIS,X,X,X,O,X,X,O,X
TLJOZSI,X,X,X,X,X,X,O,X
TLSIJZO,O,X,X,O,X,X,O,X
TLSIJOZ,X,O,O,O,X,X,O,X
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,O,X,X
TLSIOJZ,X,O,O,O,X,X,O,X
TLSIOZJ,X,O,O,X,X,O,X,X
TLSJIZO,O,X,X,O,O,X,O,X
TLSJIOZ,X,O,O,O,O,X,O,X
TLSJZIO,O,X,O,X,O,X,O,X
TLSJZOI,X,X,O,X,O,X,O,X
TLSJOIZ,X,O,O,O,O,X,O,X
TLSJOZI,X,X,O,X,O,X,O,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,X,O,O,X,O,O,X,X
TLSZJIO,O,O,O,X,O,X,X,X
TLSZJOI,X,O,O,X,O,X,X,X
TLSZOIJ,X,O,O,X,O,O,X,X
TLSZOJI,X,O,O,X,O,X,X,X
TLSOIJZ,X,O,O,O,X,X,O,X
TLSOIZJ,X,O,O,X,X,O,X,X
TLSOJIZ,X,O,O,O,O,X,O,X
TLSOJZI,X,X,O,X,O,X,O,X
TLSOZIJ,X,O,O,X,O,O,X,X
TLSOZJI,X,O,O,X,O,X,X,X
TLZIJSO,O,O,X,O,X,X,O,X
TLZIJOS,X,O,X,O,X,X,O,X
TLZISJO,O,O,O,X,X,X,X,X
TLZISOJ,X,O,O,X,X,O,X,X
TLZIOJS,X,O,X,O,X,X,O,X
TLZIOSJ,X,O,O,X,X,O,X,X
TLZJISO,O,O,X,O,X,X,O,X
TLZJIOS,X,O,X,O,X,X,O,X
TLZJSIO,O,O,X,X,X,X,O,X
TLZJSOI,X,O,X,X,X,X,O,X
TLZJOIS,X,O,X,O,X,X,O,X
TLZJOSI,X,O,X,X,X,X,O,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,O,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X
TLZSOIJ,X,O,O,X,X,O,X,X
TLZSOJI,X,O,O,X,X,X,X,X
TLZOIJS,X,O,X,O,X,X,O,X
TLZOISJ,X,O,O,X,X,O,X,X
TLZOJIS,X,O,X,O,X,X,O,X
TLZOJSI,X,O,X,X,X,X,O,X
TLZOSIJ,X,O,O,X,X,O,X,X
TLZOSJI,X,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,O,X
TLOIJZS,X,X,X,O,X,X,O,X
TLOISJZ,X,O,O,O,X,X,O,X
TLOISZJ,X,O,O,X,X,O,X,X
TLOIZJS,X,O,X,O,X,X,O,X
TLOIZSJ,X,O,X,X,X,O,X,X
TLOJISZ,X,O,X,O,X,X,O,X
TLOJIZS,X,X,X,O,X,X,O,X
TLOJSIZ,X,O,X,O,O,X,O,X
TLOJSZI,X,X,X,X,O,X,O,X
TLOJZIS,X,X,X,O,X,X,O,X
TLOJZSI,X,X,X,X,X,X,O,X
TLOSIJZ,X,O,O,O,X,X,O,X
TLOSIZJ,X,O,O,X,X,O,X,X
TLOSJIZ,X,O,O,O,O,X,O,X
TLOSJZI,X,X,O,X,O,X,O,X
TLOSZIJ,X,O,O,X,O,O,X,X
TLOSZJI,X,O,O,X,O,X,X,X
TLOZIJS,X,O,X,O,X,X,O,X
TLOZISJ,X,O,O,X,X,O,X,X
TLOZJIS,X,O,X,O,X,X,O,X
TLOZJSI,X,O,X,X,X,X,O,X
TLOZSIJ,X,O,O,X,X,O,X,X
TLOZSJI,X,O,O,X,X,X,X,X
TJILSZO,O,X,X,O,X,X,O,X
TJILSOZ,X,O,X,O,X,X,O,X
TJILZSO,O,X,X,O,X,X,O,X
TJILZOS,X,X,X,O,X,X,O,X
TJILOSZ,X,O,X,O,X,X,O,X
TJILOZS,X,X,X,O,X,X,O,X
TJISLZO,O,X,X,O,X,X,O,X
TJISLOZ,X,O,O,O,X,X,O,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,O,X
TJIZLOS,X,O,X,O,X,X,O,X
TJIZSLO,O,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,O,X
TJIOLZS,X,X,X,O,X,X,O,X
TJIOSLZ,X,O,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X
TJLISZO,O,X,X,O,X,X,O,X
TJLISOZ,X,O,X,O,X,X,O,X
TJLIZSO,O,X,X,O,X,X,O,X
TJLIZOS,X,X,X,O,X,X,O,X
TJLIOSZ,X,O,X,O,X,X,O,X
TJLIOZS,X,X,X,O,X,X,O,X
TJLSIZO,O,X,X,O,O,X,O,X
TJLSIOZ,X,O,X,O,O,X,O,X
TJLSZIO,O,X,X,X,O,X,O,X
TJLSZOI,X,X,X,X,O,X,O,X
TJLSOIZ,X,O,X,O,O,X,O,X
TJLSOZI,X,X,X,X,O,X,O,X
TJLZISO,O,X,X,O,X,X,O,X
TJLZIOS,X,X,X,O,X,X,O,X
TJLZSIO,O,X,X,X,X,X,O,X
TJLZSOI,X,X,X,X,X,X,O,X
TJLZOIS,X,X,X,O,X,X,O,X
TJLZOSI,X,X,X,X,X,X,O,X
TJLOISZ,X,O,X,O,X,X,O,X
TJLOIZS,X,X,X,O,X,X,O,X
TJLOSIZ,X,O,X,O,O,X,O,X
TJLOSZI,X,X,X,X,O,X,O,X
TJLOZIS,X,X,X,O,X,X,O,X
TJLOZSI,X,X,X,X,X,X,O,X
TJSILZO,O,X,X,O,X,X,O,X
TJSILOZ,X,O,O,O,X,X,O,X
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X
TJSLIZO,O,X,X,O,O,X,O,X
TJSLIOZ,X,O,O,O,O,X,O,O
TJSLZIO,O,X,O,X,O,X,O,X
TJSLZOI,X,X,O,X,O,X,O,X
TJSLOIZ,X,O,O,O,O,X,O,O
TJSLOZI,X,X,O,X,O,X,O,O
TJSZILO,O,O,O,X,O,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,X,O,X,X,X
TJSZLOI,X,O,O,X,O,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X
TJSZOLI,X,O,X,X,X,X,X,X
TJSOILZ,X,O,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,X,O
TJSOLZI,X,X,X,X,X,X,X,O
TJSOZIL,O,O,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,X,X,O
TJZILSO,O,O,X,O,X,X,O,X
TJZILOS,X,O,X,O,X,X,O,X
TJZISLO,O,O,O,X,O,X,X,X
TJZISOL,O,O,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X
TJZLISO,O,O,X,O,X,X,O,X
TJZLIOS,X,O,X,O,X,X,O,X
TJZLSIO,O,O,X,X,X,X,O,X
TJZLSOI,X,O,X,X,X,X,O,X
TJZLOIS,X,O,X,O,X,X,O,X
TJZLOSI,X,O,X,X,X,X,O,X
TJZSILO,O,O,O,X,O,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,O,O,X,O,X,X,X
TJZSLOI,X,O,O,X,O,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X
TJZSOLI,X,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X
TJZOSLI,X,O,X,X,X,X,X,X
TJOILSZ,X,O,X,O,X,X,O,X
TJOILZS,X,X,X,O,X,X,O,X
TJOISLZ,X,O,X,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X
TJOLISZ,X,O,X,O,X,X,O,X
TJOLIZS,X,X,X,O,X,X,O,X
TJOLSIZ,X,O,X,O,X,X,O,X
TJOLSZI,X,X,X,X,X,X,O,X
TJOLZIS,X,X,X,O,X,X,O,X
TJOLZSI,X,X,X,X,X,X,O,X
TJOSILZ,X,O,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X
TJOSLIZ,X,O,X,X,X,X,X,O
TJOSLZI,X,X,X,X,X,X,X,O
TJOSZIL,O,O,X,X,X,X,X,X
TJOSZLI,X,O,X,X,X,X,X,O
TJOZILS,X,O,X,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X
TJOZSLI,X,O,X,X,X,X,X,O
TSILJZO,O,X,X,O,X,X,O,X
TSILJOZ,X,O,O,O,X,X,O,X
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,X,O,O,X,X,O,X,X
TSILOJZ,X,O,O,O,X,X,O,X
TSILOZJ,X,O,O,X,X,O,X,X
TSIJLZO,O,X,X,O,X,X,O,X
TSIJLOZ,X,O,O,O,X,X,O,X
TSIJZLO,O,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X
TSIJOLZ,X,O,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,X,O,O,X,X,O,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,O,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,O,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,O,X,X
TSIOJLZ,O,O,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,O,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,O,X,X,O,X,X,O,X
TSLIJOZ,X,O,O,O,X,X,O,O
TSLIZJO,O,O,O,X,X,X,X,X
TSLIZOJ,X,O,O,X,X,O,X,O
TSLIOJZ,X,O,O,O,X,X,O,O
TSLIOZJ,X,O,O,X,X,O,X,O
TSLJIZO,O,X,X,O,O,X,O,X
TSLJIOZ,X,O,O,O,O,X,O,O
TSLJZIO,O,X,O,X,O,X,O,X
TSLJZOI,X,X,O,X,O,X,O,X
TSLJOIZ,X,O,O,O,O,X,O,O
TSLJOZI,X,X,O,X,O,X,O,O
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,X,O,O,X,O,O,X,O
TSLZJIO,O,O,O,X,O,X,X,X
TSLZJOI,X,O,O,X,O,X,X,X
TSLZOIJ,X,O,O,X,O,O,X,O
TSLZOJI,X,O,O,X,O,X,X,O
TSLOIJZ,X,O,O,O,X,X,O,O
TSLOIZJ,X,O,O,X,X,O,X,O
TSLOJIZ,X,O,O,O,O,X,O,O
TSLOJZI,X,X,O,X,O,X,O,O
TSLOZIJ,X,O,O,X,O,O,X,O
TSLOZJI,X,O,O,X,O,X,X,O
TSJILZO,O,X,X,O,X,X,O,X
TSJILOZ,X,O,O,O,X,X,O,X
TSJIZLO,O,O,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,X,X,X
TSJIOLZ,X,O,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X
TSJLIZO,O,X,X,O,O,X,O,X
TSJLIOZ,X,O,O,O,O,X,O,O
TSJLZIO,O,X,O,X,O,X,O,X
TSJLZOI,X,X,O,X,O,X,O,X
TSJLOIZ,X,O,O,O,O,X,O,O
TSJLOZI,X,X,O,X,O,X,O,O
TSJZILO,O,O,O,X,O,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X
TSJZLIO,O,O,O,X,O,X,X,X
TSJZLOI,X,O,O,X,O,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X
TSJZOLI,X,O,X,X,X,X,X,X
TSJOILZ,X,O,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X,O
TSJOLZI,X,X,X,X,X,X,X,O
TSJOZIL,O,O,X,X,X,X,X,X
TSJOZLI,X,O,X,X,X,X,X,O
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,X,O,O,X,O,O,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,O,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,X,O,O,X,O,O,X,O
TSZLJIO,O,O,O,X,O,X,X,X
TSZLJOI,X,O,O,X,O,X,X,X
TSZLOIJ,X,O,O,X,O,O,X,O
TSZLOJI,X,O,O,X,O,X,X,O
TSZJILO,O,O,O,X,O,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,O,X,O,X,X,X
TSZJLOI,X,O,O,X,O,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,X,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,O,X,X
TSZOIJL,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,O,X,O
TSZOLJI,O,O,O,X,X,X,X,O
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X,O
TSOILJZ,O,O,O,X,X,X,X,X
TSOILZJ,O,O,O,X,X,O,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,O,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,X,X,O
TSOLIZJ,O,O,O,X,X,O,X,O
TSOLJIZ,O,O,O,X,X,X,X,O
TSOLJZI,O,X,O,X,X,X,X,O
TSOLZIJ,O,O,O,X,X,O,X,O
TSOLZJI,O,O,O,X,X,X,X,O
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,O
TSOJLZI,O,X,X,X,X,X,X,O
TSOJZIL,O,O,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,O
TSOZILJ,O,O,O,X,X,O,X,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,O,X,O
TSOZLJI,O,O,O,X,X,X,X,O
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X,O
TZILJSO,O,O,X,O,X,X,O,X
TZILJOS,X,O,X,O,X,X,O,X
TZILSJO,O,O,O,X,X,X,X,X
TZILSOJ,X,O,O,X,X,O,X,X
TZILOJS,X,O,X,O,X,X,O,X
TZILOSJ,X,O,O,X,X,O,X,X
TZIJLSO,O,O,X,O,X,X,O,X
TZIJLOS,X,O,X,O,X,X,O,X
TZIJSLO,O,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,X,X
TZISLOJ,X,O,O,X,O,O,X,X
TZISJLO,O,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,O,X,X,O,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,O,X,X
TZIOJLS,O,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,O,X,X
TZIOSJL,O,O,X,X,X,X,X,X
TZLIJSO,O,O,X,O,X,X,O,X
TZLIJOS,X,O,X,O,X,X,O,X
TZLISJO,O,O,O,X,X,X,X,X
TZLISOJ,X,O,O,X,X,O,X,X
TZLIOJS,X,O,X,O,X,X,O,X
TZLIOSJ,X,O,O,X,X,O,X,X
TZLJISO,O,O,X,O,X,X,O,X
TZLJIOS,X,O,X,O,X,X,O,X
TZLJSIO,O,O,X,X,X,X,O,X
TZLJSOI,X,O,X,X,X,X,O,X
TZLJOIS,X,O,X,O,X,X,O,X
TZLJOSI,X,O,X,X,X,X,O,X
TZLSIJO,O,O,O,X,X,X,X,X
TZLSIOJ,X,O,O,X,X,O,X,X
TZLSJIO,O,O,O,X,X,X,X,X
TZLSJOI,X,O,O,X,X,X,X,X
TZLSOIJ,X,O,O,X,X,O,X,X
TZLSOJI,X,O,O,X,X,X,X,X
TZLOIJS,X,O,X,O,X,X,O,X
TZLOISJ,X,O,O,X,X,O,X,X
TZLOJIS,X,O,X,O,X,X,O,X
TZLOJSI,X,O,X,X,X,X,O,X
TZLOSIJ,X,O,O,X,X,O,X,X
TZLOSJI,X,O,O,X,X,X,X,X
TZJILSO,O,O,X,O,X,X,O,X
TZJILOS,X,O,X,O,X,X,O,X
TZJISLO,O,O,O,X,O,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X
TZJLISO,O,O,X,O,X,X,O,X
TZJLIOS,X,O,X,O,X,X,O,X
TZJLSIO,O,O,X,X,X,X,O,X
TZJLSOI,X,O,X,X,X,X,O,X
TZJLOIS,X,O,X,O,X,X,O,X
TZJLOSI,X,O,X,X,X,X,O,X
TZJSILO,O,O,O,X,O,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,O,X,X,X
TZJSLOI,X,O,O,X,O,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
