sequence,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBcmB6nBT?jBdsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBumB9nBT?jB8qBywB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBOmBXiBT?jBcsBSwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jB0rBXrB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB2mBTjBc?sBXrBCsB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB6nBTjBm?mBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhFihB9nBTjB0?lBfsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3hB9nBTjB6?qBmrBUrB
TLSOIJZ,O,O,O,O,X,X,O,X,O
TLSOIZJ,O,O,X,O,X,O,O,O,O
TLSOJIZ,O,O,O,O,X,X,O,X,O
TLSOJZI,O,O,O,O,X,X,O,X,O
TLSOZIJ,O,O,X,O,X,O,O,O,O
TLSOZJI,O,O,X,O,X,O,O,O,X
TLZIJSO,O,O,X,O,O,X,X,X,O
TLZIJOS,O,O,X,O,O,X,X,X,O
TLZISJO,O,O,X,O,O,O,O,O,X
TLZISOJ,O,O,X,O,X,O,O,O,O
TLZIOJS,O,O,X,O,O,X,X,X,O
TLZIOSJ,O,O,X,O,X,O,O,O,O
TLZJISO,O,O,X,O,O,X,X,X,O
TLZJIOS,O,O,X,O,O,X,X,X,O
TLZJSIO,O,O,X,O,O,X,X,X,O
TLZJSOI,O,O,X,O,O,X,X,X,O
TLZJOIS,O,O,X,O,O,X,X,X,O
TLZJOSI,O,O,X,O,O,X,X,X,O
TLZSIJO,O,O,X,O,O,O,O,O,X
TLZSIOJ,O,O,X,O,X,O,O,O,O
TLZSJIO,O,O,X,O,O,O,O,O,X
TLZSJOI,O,O,X,O,O,O,O,O,X
TLZSOIJ,O,O,X,O,X,O,O,O,O
TLZSOJI,O,O,X,O,X,O,O,O,X
TLZOIJS,O,O,X,O,O,X,X,X,O
TLZOISJ,O,O,X,O,X,O,O,O,O
TLZOJIS,O,O,X,O,O,X,X,X,O
TLZOJSI,O,O,X,O,O,X,X,X,O
TLZOSIJ,O,O,X,O,X,O,O,O,O
TLZOSJI,O,O,X,O,X,O,O,O,X
TLOIJSZ,O,O,O,O,O,X,O,X,O
TLOIJZS,O,O,O,O,O,X,X,X,O
TLOISJZ,O,O,O,O,X,X,O,X,O
TLOISZJ,O,O,X,O,X,O,O,O,O
TLOIZJS,O,O,X,O,O,X,X,X,O
TLOIZSJ,O,O,X,O,X,O,O,O,O
TLOJISZ,O,O,O,O,O,X,O,X,O
TLOJIZS,O,O,O,O,O,X,X,X,O
TLOJSIZ,O,O,O,O,O,X,O,X,O
TLOJSZI,O,O,O,O,X,X,O,X,O
TLOJZIS,O,O,O,O,O,X,X,X,O
TLOJZSI,O,O,X,O,O,X,X,X,O
TLOSIJZ,O,O,O,O,X,X,O,X,O
TLOSIZJ,O,O,X,O,X,O,O,O,O
TLOSJIZ,O,O,O,O,X,X,O,X,O
TLOSJZI,O,O,O,O,X,X,O,X,O
TLOSZIJ,O,O,X,O,X,O,O,O,O
TLOSZJI,O,O,X,O,X,O,O,O,X
TLOZIJS,O,O,X,O,O,X,X,X,O
TLOZISJ,O,O,X,O,X,O,O,O,O
TLOZJIS,O,O,X,O,O,X,X,X,O
TLOZJSI,O,O,X,O,O,X,X,X,O
TLOZSIJ,O,O,X,O,X,O,O,O,O
TLOZSJI,O,O,X,O,X,O,O,O,X
TJILSZO,O,O,O,O,X,X,O,X,O
TJILSOZ,O,O,O,O,O,X,O,X,O
TJILZSO,O,O,X,O,O,X,X,X,O
TJILZOS,O,O,O,O,O,X,X,X,O
TJILOSZ,O,O,O,O,O,X,O,X,O
TJILOZS,O,O,O,O,O,X,X,X,O
TJISLZO,O,O,O,X,X,X,O,X,X
TJISLOZ,O,O,O,X,O,X,O,X,X
TJISZLO,O,O,O,X,O,O,O,O,X
TJISZOL,O,O,O,X,O,O,O,O,X
TJISOLZ,O,O,O,X,O,X,O,X,X
TJISOZL,O,O,O,X,O,O,O,O,X
TJIZLSO,O,O,X,O,O,X,X,X,X
TJIZLOS,O,O,O,O,O,X,X,X,X
TJIZSLO,O,O,O,O,O,O,X,O,X
TJIZSOL,O,O,O,O,O,O,X,O,X
TJIZOLS,O,O,O,O,O,X,X,X,X
TJIZOSL,O,O,O,O,O,O,X,O,X
TJIOLSZ,O,O,O,O,O,X,O,X,O
TJIOLZS,O,O,O,O,O,X,X,X,O
TJIOSLZ,O,O,O,X,O,X,O,X,X
TJIOSZL,O,O,O,X,O,O,O,O,X
TJIOZLS,O,O,O,O,O,X,X,X,X
TJIOZSL,O,O,O,O,O,O,X,O,X
TJLISZO,O,O,O,O,X,X,O,X,O
TJLISOZ,O,O,O,O,O,X,O,X,O
TJLIZSO,O,O,X,O,O,X,X,X,O
TJLIZOS,O,O,O,O,O,X,X,X,O
TJLIOSZ,O,O,O,O,O,X,O,X,O
TJLIOZS,O,O,O,O,O,X,X,X,O
TJLSIZO,O,O,O,O,X,X,O,X,O
TJLSIOZ,O,O,O,O,O,X,O,X,O
TJLSZIO,O,O,O,O,X,X,O,X,O
TJLSZOI,O,O,O,O,X,X,O,X,O
TJLSOIZ,O,O,O,O,O,X,O,X,O
TJLSOZI,O,O,O,O,X,X,O,X,O
TJLZISO,O,O,X,O,O,X,X,X,O
TJLZIOS,O,O,O,O,O,X,X,X,O
TJLZSIO,O,O,X,O,O,X,X,X,O
TJLZSOI,O,O,X,O,O,X,X,X,O
TJLZOIS,O,O,O,O,O,X,X,X,O
TJLZOSI,O,O,X,O,O,X,X,X,O
TJLOISZ,O,O,O,O,O,X,O,X,O
TJLOIZS,O,O,O,O,O,X,X,X,O
TJLOSIZ,O,O,O,O,O,X,O,X,O
TJLOSZI,O,O,O,O,X,X,O,X,O
TJLOZIS,O,O,O,O,O,X,X,X,O
TJLOZSI,O,O,X,O,O,X,X,X,O
TJSILZO,O,O,O,X,X,X,O,X,X
TJSILOZ,O,O,O,X,O,X,O,X,X
TJSIZLO,O,O,O,X,O,O,O,O,X
TJSIZOL,O,O,O,X,O,O,O,O,X
TJSIOLZ,O,O,O,X,O,X,O,X,X
TJSIOZL,O,O,O,X,O,O,O,O,X
TJSLIZO,O,O,O,X,X,X,O,X,X
TJSLIOZ,O,O,O,X,O,X,O,X,X
TJSLZIO,O,O,O,X,X,X,O,X,X
TJSLZOI,O,O,O,X,X,X,O,X,X
TJSLOIZ,O,O,O,X,O,X,O,X,X
TJSLOZI,O,O,O,X,X,X,O,X,X
TJSZILO,O,O,O,X,O,O,O,O,X
TJSZIOL,O,O,O,X,O,O,O,O,X
TJSZLIO,O,O,O,X,O,O,O,O,X
TJSZLOI,O,O,O,X,O,O,O,O,X
TJSZOIL,O,O,O,X,O,O,O,O,X
TJSZOLI,O,O,O,X,O,O,O,O,X
TJSOILZ,O,O,O,X,O,X,O,X,X
TJSOIZL,O,O,O,X,O,O,O,O,X
TJSOLIZ,O,O,O,X,O,X,O,X,X
TJSOLZI,O,O,O,X,X,X,O,X,X
TJSOZIL,O,O,O,X,O,O,O,O,X
TJSOZLI,O,O,O,X,O,O,O,O,X
TJZILSO,O,O,X,O,O,X,X,X,X
TJZILOS,O,O,O,O,O,X,X,X,X
TJZISLO,O,O,O,O,O,O,X,O,X
TJZISOL,O,O,O,O,O,O,X,O,X
TJZIOLS,O,O,O,O,O,X,X,X,X
TJZIOSL,O,O,O,O,O,O,X,O,X
TJZLISO,O,O,X,O,O,X,X,X,X
TJZLIOS,O,O,O,O,O,X,X,X,X
TJZLSIO,O,O,X,O,O,X,X,X,X
TJZLSOI,O,O,X,O,O,X,X,X,X
TJZLOIS,O,O,O,O,O,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X
TJZSILO,O,O,O,O,O,O,X,O,X
TJZSIOL,O,O,O,O,O,O,X,O,X
TJZSLIO,O,O,O,O,O,O,X,O,X
TJZSLOI,O,O,O,O,O,O,X,O,X
TJZSOIL,O,O,O,O,O,O,X,O,X
TJZSOLI,O,O,O,O,O,O,X,O,X
TJZOILS,O,O,O,O,O,X,X,X,X
TJZOISL,O,O,O,O,O,O,X,O,X
TJZOLIS,O,O,O,O,O,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X
TJZOSIL,O,O,O,O,O,O,X,O,X
TJZOSLI,O,O,O,O,O,O,X,O,X
TJOILSZ,O,O,O,O,O,X,O,X,O
TJOILZS,O,O,O,O,O,X,X,X,O
TJOISLZ,O,O,O,X,O,X,O,X,X
TJOISZL,O,O,O,X,O,O,O,O,X
TJOIZLS,O,O,O,O,O,X,X,X,X
TJOIZSL,O,O,O,O,O,O,X,O,X
TJOLISZ,O,O,O,O,O,X,O,X,O
TJOLIZS,O,O,O,O,O,X,X,X,O
TJOLSIZ,O,O,O,O,O,X,O,X,O
TJOLSZI,O,O,O,O,X,X,O,X,O
TJOLZIS,O,O,O,O,O,X,X,X,O
TJOLZSI,O,O,X,O,O,X,X,X,O
TJOSILZ,O,O,O,X,O,X,O,X,X
TJOSIZL,O,O,O,X,O,O,O,O,X
TJOSLIZ,O,O,O,X,O,X,O,X,X
TJOSLZI,O,O,O,X,X,X,O,X,X
TJOSZIL,O,O,O,X,O,O,O,O,X
TJOSZLI,O,O,O,X,O,O,O,O,X
TJOZILS,O,O,O,O,O,X,X,X,X
TJOZISL,O,O,O,O,O,O,X,O,X
TJOZLIS,O,O,O,O,O,X,X,X,X
TJOZLSI,O,O,X,O,O,X,X,X,X
TJOZSIL,O,O,O,O,O,O,X,O,X
TJOZSLI,O,O,O,O,O,O,X,O,X
TSILJZO,O,O,O,O,X,X,O,X,O
TSILJOZ,O,O,O,O,X,X,O,X,O
TSILZJO,O,O,O,O,X,O,O,O,X
TSILZOJ,O,O,X,O,X,O,O,O,O
TSILOJZ,O,O,O,O,X,X,O,X,O
TSILOZJ,O,O,X,O,X,O,O,O,O
TSIJLZO,O,O,O,X,X,X,O,X,X
TSIJLOZ,O,O,O,X,O,X,O,X,X
TSIJZLO,O,O,O,X,O,O,O,O,X
TSIJZOL,O,O,O,X,O,O,O,O,X
TSIJOLZ,O,O,O,X,O,X,O,X,X
TSIJOZL,O,O,O,X,O,O,O,O,X
TSIZLJO,O,O,O,O,O,O,O,O,X
TSIZLOJ,O,O,X,O,X,O,O,O,X
TSIZJLO,O,O,O,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,O,O,O,X
TSIZOLJ,O,O,X,O,X,O,O,O,X
TSIZOJL,O,O,O,O,O,O,O,O,X
TSIOLJZ,O,O,O,O,X,X,O,X,O
TSIOLZJ,O,O,X,O,X,O,O,O,O
TSIOJLZ,O,O,O,X,O,X,O,X,X
TSIOJZL,O,O,O,X,O,O,O,O,X
TSIOZLJ,O,O,X,O,X,O,O,O,X
TSIOZJL,O,O,O,O,O,O,O,O,X
TSLIJZO,O,O,O,O,X,X,O,X,O
TSLIJOZ,O,O,O,O,X,X,O,X,O
TSLIZJO,O,O,O,O,X,O,O,O,X
TSLIZOJ,O,O,X,O,X,O,O,O,O
TSLIOJZ,O,O,O,O,X,X,O,X,O
TSLIOZJ,O,O,X,O,X,O,O,O,O
TSLJIZO,O,O,O,O,X,X,O,X,O
TSLJIOZ,O,O,O,O,X,X,O,X,O
TSLJZIO,O,O,O,O,X,X,O,X,O
TSLJZOI,O,O,O,O,X,X,O,X,O
TSLJOIZ,O,O,O,O,X,X,O,X,O
TSLJOZI,O,O,O,O,X,X,O,X,O
TSLZIJO,O,O,O,O,X,O,O,O,X
TSLZIOJ,O,O,X,O,X,O,O,O,O
TSLZJIO,O,O,O,O,X,O,O,O,X
TSLZJOI,O,O,O,O,X,O,O,O,X
TSLZOIJ,O,O,X,O,X,O,O,O,O
TSLZOJI,O,O,X,O,X,O,O,O,X
TSLOIJZ,O,O,O,O,X,X,O,X,O
TSLOIZJ,O,O,X,O,X,O,O,O,O
TSLOJIZ,O,O,O,O,X,X,O,X,O
TSLOJZI,O,O,O,O,X,X,O,X,O
TSLOZIJ,O,O,X,O,X,O,O,O,O
TSLOZJI,O,O,X,O,X,O,O,O,X
TSJILZO,O,O,O,X,X,X,O,X,X
TSJILOZ,O,O,O,X,O,X,O,X,X
TSJIZLO,O,O,O,X,O,O,O,O,X
TSJIZOL,O,O,O,X,O,O,O,O,X
TSJIOLZ,O,O,O,X,O,X,O,X,X
TSJIOZL,O,O,O,X,O,O,O,O,X
TSJLIZO,O,O,O,X,X,X,O,X,X
TSJLIOZ,O,O,O,X,O,X,O,X,X
TSJLZIO,O,O,O,X,X,X,O,X,X
TSJLZOI,O,O,O,X,X,X,O,X,X
TSJLOIZ,O,O,O,X,O,X,O,X,X
TSJLOZI,O,O,O,X,X,X,O,X,X
TSJZILO,O,O,O,X,O,O,O,O,X
TSJZIOL,O,O,O,X,O,O,O,O,X
TSJZLIO,O,O,O,X,O,O,O,O,X
TSJZLOI,O,O,O,X,O,O,O,O,X
TSJZOIL,O,O,O,X,O,O,O,O,X
TSJZOLI,O,O,O,X,O,O,O,O,X
TSJOILZ,O,O,O,X,O,X,O,X,X
TSJOIZL,O,O,O,X,O,O,O,O,X
TSJOLIZ,O,O,O,X,O,X,O,X,X
TSJOLZI,O,O,O,X,X,X,O,X,X
TSJOZIL,O,O,O,X,O,O,O,O,X
TSJOZLI,O,O,O,X,O,O,O,O,X
TSZILJO,O,O,O,O,O,O,O,O,X
TSZILOJ,O,O,X,O,X,O,O,O,X
TSZIJLO,O,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,O,O,X
TSZIOLJ,O,O,X,O,X,O,O,O,X
TSZIOJL,O,O,O,O,O,O,O,O,X
TSZLIJO,O,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,X,O,X,O,O,O,X
TSZLJIO,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,X,O,X,O,O,O,X
TSZLOJI,O,O,X,O,X,O,O,O,X
TSZJILO,O,O,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,O,O,X
TSZJLIO,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,O,O,O,X
TSZJOLI,O,O,O,O,O,O,O,O,X
TSZOILJ,O,O,X,O,X,O,O,O,X
TSZOIJL,O,O,O,O,O,O,O,O,X
TSZOLIJ,O,O,X,O,X,O,O,O,X
TSZOLJI,O,O,X,O,X,O,O,O,X
TSZOJIL,O,O,O,O,O,O,O,O,X
TSZOJLI,O,O,O,O,O,O,O,O,X
TSOILJZ,O,O,O,O,X,X,O,X,O
TSOILZJ,O,O,X,O,X,O,O,O,O
TSOIJLZ,O,O,O,X,O,X,O,X,X
TSOIJZL,O,O,O,X,O,O,O,O,X
TSOIZLJ,O,O,X,O,X,O,O,O,X
TSOIZJL,O,O,O,O,O,O,O,O,X
TSOLIJZ,O,O,O,O,X,X,O,X,O
TSOLIZJ,O,O,X,O,X,O,O,O,O
TSOLJIZ,O,O,O,O,X,X,O,X,O
TSOLJZI,O,O,O,O,X,X,O,X,O
TSOLZIJ,O,O,X,O,X,O,O,O,O
TSOLZJI,O,O,X,O,X,O,O,O,X
TSOJILZ,O,O,O,X,O,X,O,X,X
TSOJIZL,O,O,O,X,O,O,O,O,X
TSOJLIZ,O,O,O,X,O,X,O,X,X
TSOJLZI,O,O,O,X,X,X,O,X,X
TSOJZIL,O,O,O,X,O,O,O,O,X
TSOJZLI,O,O,O,X,O,O,O,O,X
TSOZILJ,O,O,X,O,X,O,O,O,X
TSOZIJL,O,O,O,O,O,O,O,O,X
TSOZLIJ,O,O,X,O,X,O,O,O,X
TSOZLJI,O,O,X,O,X,O,O,O,X
TSOZJIL,O,O,O,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,O,O,O,X
TZILJSO,O,O,X,O,O,X,X,X,O
TZILJOS,O,O,X,O,O,X,X,X,O
TZILSJO,O,O,X,O,O,O,O,O,X
TZILSOJ,O,O,X,O,X,O,O,O,O
TZILOJS,O,O,X,O,O,X,X,X,O
TZILOSJ,O,O,X,O,X,O,O,O,O
TZIJLSO,O,O,X,O,O,X,X,X,X
TZIJLOS,O,O,O,O,O,X,X,X,X
TZIJSLO,O,O,O,O,O,O,X,O,X
TZIJSOL,O,O,O,O,O,O,X,O,X
TZIJOLS,O,O,O,O,O,X,X,X,X
TZIJOSL,O,O,O,O,O,O,X,O,X
TZISLJO,O,O,O,O,O,O,O,O,X
TZISLOJ,O,O,X,O,X,O,O,O,X
TZISJLO,O,O,O,O,O,O,O,O,X
TZISJOL,O,O,O,O,O,O,O,O,X
TZISOLJ,O,O,X,O,X,O,O,O,X
TZISOJL,O,O,O,O,O,O,O,O,X
