sequence,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFxgBOnBTjB/qB0r?BFrB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFUhBOnBTjBXlBSr?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je0/IvhFmgBTjBSqB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFOlB8lBTjB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFFiBTjBClB0qBmr?B/rB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFXiBTjBWqBirBlq?B0rB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFOnBTjBxlBSqB0r?BXrB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhF0hBTjBWqBirBlq?BXsB
TZJOISL,X,X,X,X,X,X,O,X
TZJOLIS,X,X,X,X,O,X,O,X
TZJOLSI,O,X,X,X,O,X,X,X
TZJOSIL,O,X,X,X,X,X,O,X
TZJOSLI,O,X,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,O,X
TZSLIJO,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,X,X,X,X,X,X,X
TZSLJOI,O,X,X,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X
TZSLOJI,O,X,X,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,O,X
TZSJLIO,O,X,X,X,X,X,X,X
TZSJLOI,O,X,X,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,O,X
TZSJOLI,O,X,X,X,X,X,X,X
TZSOILJ,O,O,X,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,O,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,X,X,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,O,X
TZSOJLI,O,X,X,X,X,X,X,X
TZOILJS,X,X,O,X,O,X,O,X
TZOILSJ,X,X,O,X,X,X,X,X
TZOIJLS,X,X,X,X,O,X,O,X
TZOIJSL,X,O,X,X,X,X,O,X
TZOISLJ,X,O,O,X,X,X,X,X
TZOISJL,X,O,X,X,X,X,O,X
TZOLIJS,X,X,O,X,O,X,O,X
TZOLISJ,X,X,O,X,X,X,X,X
TZOLJIS,X,X,O,X,O,X,O,X
TZOLJSI,O,X,X,X,O,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X
TZOJILS,X,X,X,X,O,X,O,X
TZOJISL,X,X,X,X,X,X,O,X
TZOJLIS,X,X,X,X,O,X,O,X
TZOJLSI,O,X,X,X,O,X,X,X
TZOJSIL,O,X,X,X,X,X,O,X
TZOJSLI,O,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,O,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,O,X
TZOSJLI,O,X,X,X,X,X,X,X
TOILJSZ,X,O,O,X,X,X,X,X
TOILJZS,X,X,O,O,X,X,X,X
TOILSJZ,X,O,O,X,X,X,X,X
TOILSZJ,X,O,O,O,X,X,X,X
TOILZJS,X,X,O,O,O,X,X,X
TOILZSJ,X,X,O,O,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,X
TOIJLZS,X,X,X,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X,X
TOIJZLS,X,X,X,O,X,X,O,X
TOIJZSL,X,O,X,O,X,X,O,X
TOISLJZ,X,O,O,X,X,X,X,X
TOISLZJ,X,O,O,O,X,X,X,X
TOISJLZ,X,O,O,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X
TOISZLJ,X,O,O,O,X,X,X,X
TOISZJL,X,O,X,O,X,X,X,X
TOIZLJS,X,X,O,O,O,X,O,X
TOIZLSJ,X,X,O,O,X,X,X,X
TOIZJLS,X,X,X,O,O,X,O,X
TOIZJSL,X,O,X,O,X,X,O,X
TOIZSLJ,X,O,O,O,X,X,X,X
TOIZSJL,X,O,X,O,X,X,O,X
TOLIJSZ,X,O,O,X,X,X,X,X
TOLIJZS,X,X,O,O,X,X,X,X
TOLISJZ,X,O,O,X,X,X,X,X
TOLISZJ,X,O,O,O,X,X,X,X
TOLIZJS,X,X,O,O,O,X,X,X
TOLIZSJ,X,X,O,O,X,X,X,X
TOLJISZ,X,X,O,X,X,O,X,O
TOLJIZS,X,X,O,O,X,O,X,O
TOLJSIZ,O,X,X,X,X,O,X,O
TOLJSZI,O,X,X,X,X,O,X,O
TOLJZIS,X,X,O,X,X,O,O,O
TOLJZSI,O,X,X,X,X,O,X,O
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,X,O,X,X,X,X,X,X
TOLSJIZ,O,X,X,X,X,O,X,X
TOLSJZI,O,X,X,X,X,O,X,X
TOLSZIJ,O,O,X,X,X,X,X,X
TOLSZJI,O,X,X,X,X,X,X,X
TOLZIJS,X,X,O,X,O,X,O,X
TOLZISJ,X,X,O,X,X,X,X,X
TOLZJIS,X,X,O,X,O,X,O,O
TOLZJSI,O,X,X,X,O,X,X,O
TOLZSIJ,O,X,X,X,X,X,X,X
TOLZSJI,O,X,X,X,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X,X
TOJILZS,X,X,X,O,X,X,X,X
TOJISLZ,X,O,X,X,X,X,X,X
TOJISZL,X,O,X,X,X,X,X,X
TOJIZLS,X,X,X,O,X,X,O,X
TOJIZSL,X,O,X,O,X,X,O,X
TOJLISZ,X,X,X,X,X,O,X,O
TOJLIZS,X,X,X,O,X,O,X,O
TOJLSIZ,O,X,X,X,X,O,X,O
TOJLSZI,O,X,X,X,X,O,X,O
TOJLZIS,X,X,X,X,X,O,O,O
TOJLZSI,O,X,X,X,X,O,X,O
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,X,O,X,X,X,X,X,X
TOJSLIZ,O,X,X,X,X,O,X,X
TOJSLZI,O,X,X,X,X,O,X,X
TOJSZIL,O,O,X,X,X,X,O,X
TOJSZLI,O,X,X,X,X,X,X,X
TOJZILS,X,X,X,X,O,X,O,X
TOJZISL,X,X,X,X,X,X,O,X
TOJZLIS,X,X,X,X,O,X,O,X
TOJZLSI,O,X,X,X,O,X,X,X
TOJZSIL,O,X,X,X,X,X,O,X
TOJZSLI,O,X,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,X,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X
TOSIZLJ,X,O,X,X,X,X,X,X
TOSIZJL,X,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,X,O,X,X,X,X,X,X
TOSLJIZ,O,X,X,X,X,O,X,X
TOSLJZI,O,X,X,X,X,O,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X
TOSJLIZ,O,X,X,X,X,O,X,X
TOSJLZI,O,X,X,X,X,O,X,X
TOSJZIL,O,O,X,X,X,X,O,X
TOSJZLI,O,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,O,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,X,X,X
TOZILJS,X,X,O,X,O,X,O,X
TOZILSJ,X,X,O,X,X,X,X,X
TOZIJLS,X,X,X,X,O,X,O,X
TOZIJSL,X,O,X,X,X,X,O,X
TOZISLJ,X,O,O,X,X,X,X,X
TOZISJL,X,O,X,X,X,X,O,X
TOZLIJS,X,X,O,X,O,X,O,X
TOZLISJ,X,X,O,X,X,X,X,X
TOZLJIS,X,X,O,X,O,X,O,X
TOZLJSI,O,X,X,X,O,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X
TOZLSJI,O,X,X,X,X,X,X,X
TOZJILS,X,X,X,X,O,X,O,X
TOZJISL,X,X,X,X,X,X,O,X
TOZJLIS,X,X,X,X,O,X,O,X
TOZJLSI,O,X,X,X,O,X,X,X
TOZJSIL,O,X,X,X,X,X,O,X
TOZJSLI,O,X,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,O,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,X,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,O,X
TOZSJLI,O,X,X,X,X,X,X,X
ITLJSZO,X,O,O,X,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X,X
ITLJZSO,X,X,O,O,X,X,X,X
ITLJZOS,X,X,O,O,X,X,X,X
ITLJOSZ,X,O,O,X,X,X,X,X
ITLJOZS,X,X,O,O,X,X,X,X
ITLSJZO,X,O,O,X,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X,X
ITLSZJO,X,O,O,O,X,X,X,X
ITLSZOJ,X,O,O,O,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X,X
ITLSOZJ,X,O,O,O,X,X,X,X
ITLZJSO,X,X,O,O,O,X,X,X
ITLZJOS,X,X,O,O,O,X,X,X
ITLZSJO,X,X,O,O,X,X,X,X
ITLZSOJ,X,X,O,O,X,X,X,X
ITLZOJS,X,X,O,O,O,X,X,X
ITLZOSJ,X,X,O,O,X,X,X,X
ITLOJSZ,X,O,O,X,X,X,X,X
ITLOJZS,X,X,O,O,X,X,X,X
ITLOSJZ,X,O,O,X,X,X,X,X
ITLOSZJ,X,O,O,O,X,X,X,X
ITLOZJS,X,X,O,O,O,X,X,X
ITLOZSJ,X,X,O,O,X,X,X,X
ITJLSZO,X,O,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X
ITJLZSO,X,X,X,O,X,X,X,X
ITJLZOS,X,X,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,X,X
ITJLOZS,X,X,X,O,X,X,X,X
ITJSLZO,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,X
ITJZLSO,X,X,X,O,X,X,X,X
ITJZLOS,X,X,X,O,X,X,O,X
ITJZSLO,X,O,X,O,X,X,X,X
ITJZSOL,X,O,X,O,X,X,O,X
ITJZOLS,X,X,X,O,X,X,O,X
ITJZOSL,X,O,X,O,X,X,O,X
ITJOLSZ,X,O,X,X,X,X,X,X
ITJOLZS,X,X,X,O,X,X,X,X
ITJOSLZ,X,O,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X
ITJOZLS,X,X,X,O,X,X,O,X
ITJOZSL,X,O,X,O,X,X,O,X
ITSLJZO,X,O,O,X,X,X,X,X
ITSLJOZ,X,O,O,X,X,X,X,X
ITSLZJO,X,O,O,O,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,X,X
ITSLOJZ,X,O,O,X,X,X,X,X
ITSLOZJ,X,O,O,O,X,X,X,X
ITSJLZO,X,O,O,X,X,X,X,X
ITSJLOZ,X,O,O,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X
ITSJOLZ,X,O,O,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X
ITSZLJO,X,O,O,O,X,X,X,X
ITSZLOJ,X,O,O,O,X,X,X,X
ITSZJLO,X,O,X,O,X,X,X,X
ITSZJOL,X,O,X,O,X,X,X,X
ITSZOLJ,X,O,O,O,X,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X
ITSOLJZ,X,O,O,X,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X
ITSOJLZ,X,O,O,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X
ITZLJSO,X,X,O,O,O,X,X,X
ITZLJOS,X,X,O,O,O,X,O,X
ITZLSJO,X,X,O,O,X,X,X,X
ITZLSOJ,X,X,O,O,X,X,X,X
ITZLOJS,X,X,O,O,O,X,O,X
ITZLOSJ,X,X,O,O,X,X,X,X
ITZJLSO,X,X,X,O,O,X,X,X
ITZJLOS,X,X,X,O,O,X,O,X
ITZJSLO,X,O,X,O,X,X,X,X
ITZJSOL,X,O,X,O,X,X,O,X
ITZJOLS,X,X,X,O,O,X,O,X
ITZJOSL,X,O,X,O,X,X,O,X
ITZSLJO,X,O,O,O,X,X,X,X
ITZSLOJ,X,O,O,O,X,X,X,X
ITZSJLO,X,O,X,O,X,X,X,X
ITZSJOL,X,O,X,O,X,X,O,X
ITZSOLJ,X,O,O,O,X,X,X,X
ITZSOJL,X,O,X,O,X,X,O,X
ITZOLJS,X,X,O,O,O,X,O,X
ITZOLSJ,X,X,O,O,X,X,X,X
ITZOJLS,X,X,X,O,O,X,O,X
ITZOJSL,X,O,X,O,X,X,O,X
ITZOSLJ,X,O,O,O,X,X,X,X
ITZOSJL,X,O,X,O,X,X,O,X
ITOLJSZ,X,O,O,X,X,X,X,X
ITOLJZS,X,X,O,O,X,X,X,X
ITOLSJZ,X,O,O,X,X,X,X,X
ITOLSZJ,X,O,O,O,X,X,X,X
ITOLZJS,X,X,O,O,O,X,X,X
ITOLZSJ,X,X,O,O,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X
ITOJLZS,X,X,X,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X
ITOJZLS,X,X,X,O,X,X,O,X
ITOJZSL,X,O,X,O,X,X,O,X
ITOSLJZ,X,O,O,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,X,X,X
ITOSJLZ,X,O,O,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X
ITOSZJL,X,O,X,O,X,X,X,X
ITOZLJS,X,X,O,O,O,X,O,X
ITOZLSJ,X,X,O,O,X,X,X,X
ITOZJLS,X,X,X,O,O,X,O,X
ITOZJSL,X,O,X,O,X,X,O,X
ITOZSLJ,X,O,O,O,X,X,X,X
ITOZSJL,X,O,X,O,X,X,O,X
ILTJSZO,X,O,O,X,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X,X
ILTJZSO,X,X,O,O,X,X,X,X
ILTJZOS,X,X,O,O,X,X,X,X
ILTJOSZ,X,O,O,X,X,X,X,X
ILTJOZS,X,X,O,O,X,X,X,X
ILTSJZO,X,O,O,X,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X,X
ILTSZJO,X,O,O,O,X,X,X,X
ILTSZOJ,X,O,O,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,X,X,X
ILTSOZJ,X,O,O,O,X,X,X,X
ILTZJSO,X,X,O,O,O,X,X,X
ILTZJOS,X,X,O,O,O,X,X,X
ILTZSJO,X,X,O,O,X,X,X,X
ILTZSOJ,X,X,O,O,X,X,X,X
ILTZOJS,X,X,O,O,O,X,X,X
ILTZOSJ,X,X,O,O,X,X,X,X
ILTOJSZ,X,O,O,X,X,X,X,X
ILTOJZS,X,X,O,O,X,X,X,X
ILTOSJZ,X,O,O,X,X,X,X,X
ILTOSZJ,X,O,O,O,X,X,X,X
ILTOZJS,X,X,O,O,O,X,X,X
ILTOZSJ,X,X,O,O,X,X,X,X
ILJTSZO,X,O,O,X,X,O,X,O
ILJTSOZ,X,O,O,X,X,O,X,O
ILJTZSO,X,X,O,O,X,O,X,O
ILJTZOS,X,X,O,O,X,O,X,O
ILJTOSZ,X,O,O,X,X,O,X,O
ILJTOZS,X,X,O,O,X,O,X,O
ILJSTZO,X,O,O,X,X,O,X,X
ILJSTOZ,O,O,O,X,X,O,X,X
ILJSZTO,O,O,O,O,X,X,X,X
ILJSZOT,O,O,O,O,X,X,X,X
ILJSOTZ,O,O,O,X,X,O,X,X
ILJSOZT,O,O,O,O,X,X,X,X
ILJZTSO,X,X,O,O,O,X,X,X
ILJZTOS,X,X,O,O,O,X,X,X
ILJZSTO,O,X,O,O,O,X,X,X
ILJZSOT,O,X,O,O,O,X,X,X
ILJZOTS,X,X,O,O,O,X,X,X
ILJZOST,O,X,O,O,O,X,X,X
ILJOTSZ,X,O,O,X,X,O,X,O
ILJOTZS,X,X,O,O,X,O,X,O
ILJOSTZ,O,O,O,X,X,O,X,X
ILJOSZT,O,O,O,O,X,X,X,X
ILJOZTS,X,X,O,O,O,X,X,X
ILJOZST,O,X,O,O,O,X,X,X
ILSTJZO,X,O,O,X,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,X,X
ILSTZJO,X,O,O,O,X,X,X,X
ILSTZOJ,X,O,O,O,X,X,X,X
ILSTOJZ,O,O,O,X,X,X,X,X
ILSTOZJ,X,O,O,O,X,X,X,X
ILSJTZO,X,O,O,X,X,O,X,X
ILSJTOZ,O,O,O,X,X,O,X,X
ILSJZTO,O,O,O,O,X,X,X,X
ILSJZOT,O,O,O,O,X,X,X,X
ILSJOTZ,O,O,O,X,X,O,X,X
ILSJOZT,O,O,O,O,X,X,X,X
ILSZTJO,O,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,O,X,X,X,X
ILSZJTO,O,O,O,O,O,X,X,X
ILSZJOT,O,O,O,O,O,X,X,X
ILSZOTJ,O,O,O,O,X,X,X,X
ILSZOJT,O,O,O,O,O,X,X,X
ILSOTJZ,O,O,O,X,X,X,X,X
ILSOTZJ,X,O,O,O,X,X,X,X
ILSOJTZ,O,O,O,X,X,O,X,X
ILSOJZT,O,O,O,O,X,X,X,X
ILSOZTJ,O,O,O,O,X,X,X,X
ILSOZJT,O,O,O,O,O,X,X,X
ILZTJSO,X,X,O,O,O,X,X,X
ILZTJOS,X,X,O,O,O,X,X,X
ILZTSJO,X,X,O,O,X,X,X,X
ILZTSOJ,X,X,O,O,X,X,X,X
ILZTOJS,X,X,O,O,O,X,X,X
ILZTOSJ,X,X,O,O,X,X,X,X
ILZJTSO,X,X,O,O,O,X,X,O
ILZJTOS,X,X,O,O,O,X,X,O
ILZJSTO,O,X,O,O,O,X,X,X
ILZJSOT,O,X,O,O,O,X,X,X
ILZJOTS,X,X,O,O,O,X,X,O
ILZJOST,O,X,O,O,O,X,X,X
ILZSTJO,O,X,O,O,X,X,X,X
ILZSTOJ,O,X,O,O,X,X,X,X
ILZSJTO,O,X,O,O,O,X,X,X
ILZSJOT,O,X,O,O,O,X,X,X
ILZSOTJ,O,X,O,O,X,X,X,X
ILZSOJT,O,X,O,O,O,X,X,X
ILZOTJS,X,X,O,O,O,X,X,X
ILZOTSJ,X,X,O,O,X,X,X,X
ILZOJTS,X,X,O,O,O,X,X,O
ILZOJST,O,X,O,O,O,X,X,X
ILZOSTJ,O,X,O,O,X,X,X,X
ILZOSJT,O,X,O,O,O,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,X
ILOTJZS,X,X,O,O,X,X,X,X
ILOTSJZ,X,O,O,X,X,X,X,X
ILOTSZJ,X,O,O,O,X,X,X,X
ILOTZJS,X,X,O,O,O,X,X,X
ILOTZSJ,X,X,O,O,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,X,O
ILOJTZS,X,X,O,O,X,O,X,O
ILOJSTZ,O,O,O,X,X,O,X,X
ILOJSZT,O,O,O,O,X,X,X,X
ILOJZTS,X,X,O,O,O,X,X,X
ILOJZST,O,X,O,O,O,X,X,X
ILOSTJZ,O,O,O,X,X,X,X,X
ILOSTZJ,X,O,O,O,X,X,X,X
ILOSJTZ,O,O,O,X,X,O,X,X
ILOSJZT,O,O,O,O,X,X,X,X
ILOSZTJ,O,O,O,O,X,X,X,X
ILOSZJT,O,O,O,O,O,X,X,X
ILOZTJS,X,X,O,O,O,X,X,X
ILOZTSJ,X,X,O,O,X,X,X,X
ILOZJTS,X,X,O,O,O,X,X,O
ILOZJST,O,X,O,O,O,X,X,X
ILOZSTJ,O,X,O,O,X,X,X,X
ILOZSJT,O,X,O,O,O,X,X,X
IJTLSZO,X,O,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X
IJTLZSO,X,X,X,O,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X
IJTSLZO,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X,X
IJTZLSO,X,X,X,O,X,X,X,X
IJTZLOS,X,X,X,O,X,X,O,X
IJTZSLO,X,O,X,O,X,X,X,X
IJTZSOL,X,O,X,O,X,X,O,X
IJTZOLS,X,X,X,O,X,X,O,X
IJTZOSL,X,O,X,O,X,X,O,X
IJTOLSZ,X,O,X,X,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X
IJTOSLZ,X,O,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X
IJTOZLS,X,X,X,O,X,X,O,X
IJTOZSL,X,O,X,O,X,X,O,X
IJLTSZO,X,O,O,X,X,O,X,O
IJLTSOZ,X,O,O,X,X,O,X,O
IJLTZSO,X,X,O,O,X,O,X,O
IJLTZOS,X,X,O,O,X,O,X,O
IJLTOSZ,X,O,O,X,X,O,X,O
IJLTOZS,X,X,O,O,X,O,X,O
IJLSTZO,X,O,O,X,X,O,X,X
IJLSTOZ,O,O,O,X,X,O,X,X
IJLSZTO,O,O,O,O,X,X,X,X
IJLSZOT,O,O,O,O,X,X,X,X
IJLSOTZ,O,O,O,X,X,O,X,X
IJLSOZT,O,O,O,O,X,X,X,X
IJLZTSO,X,X,O,O,O,X,X,X
IJLZTOS,X,X,O,O,O,X,X,X
IJLZSTO,O,X,O,O,O,X,X,X
IJLZSOT,O,X,O,O,O,X,X,X
IJLZOTS,X,X,O,O,O,X,X,X
IJLZOST,O,X,O,O,O,X,X,X
IJLOTSZ,X,O,O,X,X,O,X,O
IJLOTZS,X,X,O,O,X,O,X,O
IJLOSTZ,O,O,O,X,X,O,X,X
IJLOSZT,O,O,O,O,X,X,X,X
IJLOZTS,X,X,O,O,O,X,X,X
IJLOZST,O,X,O,O,O,X,X,X
IJSTLZO,X,O,O,X,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X
IJSTOLZ,O,O,O,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X
IJSLTZO,X,O,O,X,X,O,X,X
IJSLTOZ,O,O,O,X,X,O,X,X
IJSLZTO,O,O,O,O,X,X,X,X
IJSLZOT,O,O,O,O,X,X,X,X
IJSLOTZ,O,O,O,X,X,O,X,X
IJSLOZT,O,O,O,O,X,X,X,X
IJSZTLO,O,O,X,O,X,X,X,X
IJSZTOL,O,O,X,O,X,X,X,X
IJSZLTO,O,O,O,O,X,X,X,X
IJSZLOT,O,O,O,O,X,X,X,X
IJSZOTL,O,O,X,O,X,X,X,X
IJSZOLT,O,O,O,O,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,O,X,X
IJSOLZT,O,O,O,O,X,X,X,X
IJSOZTL,O,O,X,O,X,X,X,X
IJSOZLT,O,O,O,O,X,X,X,X
IJZTLSO,X,X,X,O,O,X,X,X
IJZTLOS,X,X,X,O,O,X,O,X
IJZTSLO,X,O,X,O,X,X,X,X
IJZTSOL,X,O,X,O,X,X,O,X
IJZTOLS,X,X,X,O,O,X,O,X
IJZTOSL,X,O,X,O,X,X,O,X
IJZLTSO,X,X,O,O,O,X,X,X
IJZLTOS,X,X,O,O,O,X,O,X
IJZLSTO,O,X,O,O,O,X,X,X
IJZLSOT,O,X,O,O,O,X,X,X
IJZLOTS,X,X,O,O,O,X,O,X
IJZLOST,O,X,O,O,O,X,X,X
IJZSTLO,O,O,X,O,X,X,X,X
IJZSTOL,O,O,X,O,X,X,O,X
IJZSLTO,O,O,O,O,O,X,X,X
IJZSLOT,O,O,O,O,O,X,X,X
IJZSOTL,O,O,X,O,X,X,O,X
IJZSOLT,O,O,O,O,O,X,X,X
IJZOTLS,X,X,X,O,O,X,O,X
IJZOTSL,X,O,X,O,X,X,O,X
IJZOLTS,X,X,O,O,O,X,O,X
IJZOLST,O,X,O,O,O,X,X,X
IJZOSTL,O,O,X,O,X,X,O,X
IJZOSLT,O,O,O,O,O,X,X,X
IJOTLSZ,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X
IJOTSLZ,X,O,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X
IJOTZLS,X,X,X,O,X,X,O,X
IJOTZSL,X,O,X,O,X,X,O,X
IJOLTSZ,X,O,O,X,X,O,X,O
IJOLTZS,X,X,O,O,X,O,X,O
IJOLSTZ,O,O,O,X,X,O,X,X
IJOLSZT,O,O,O,O,X,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X
IJOLZST,O,X,O,O,O,X,X,X
IJOSTLZ,O,O,O,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,O,X,X
IJOSLZT,O,O,O,O,X,X,X,X
IJOSZTL,O,O,X,O,X,X,X,X
IJOSZLT,O,O,O,O,X,X,X,X
IJOZTLS,X,X,X,O,O,X,O,X
IJOZTSL,X,O,X,O,X,X,O,X
IJOZLTS,X,X,O,O,O,X,O,X
IJOZLST,O,X,O,O,O,X,X,X
IJOZSTL,O,O,X,O,X,X,O,X
IJOZSLT,O,O,O,O,O,X,X,X
ISTLJZO,X,O,O,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,X,X
ISTLOJZ,O,O,O,X,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X
ISTZLJO,X,O,O,O,X,X,X,X
ISTZLOJ,X,O,O,O,X,X,X,X
ISTZJLO,X,O,X,O,X,X,X,X
ISTZJOL,X,O,X,O,X,X,X,X
ISTZOLJ,X,O,O,O,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X
ISTOZLJ,X,O,O,O,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X
ISLTJZO,X,O,O,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,X,X
