sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
LISOJTZ,O,X,X,O
LISOJZT,O,X,O,X
LISOZTJ,O,X,O,X
LISOZJT,O,X,O,X
LIZTJSO,X,O,O,X
LIZTJOS,X,O,X,X
LIZTSJO,X,O,O,X
LIZTSOJ,X,X,O,X
LIZTOJS,X,O,X,X
LIZTOSJ,X,O,X,X
LIZJTSO,X,O,O,O
LIZJTOS,X,O,X,O
LIZJSTO,X,O,O,X
LIZJSOT,X,X,O,X
LIZJOTS,X,O,X,O
LIZJOST,X,O,O,X
LIZSTJO,X,O,O,X
LIZSTOJ,X,X,O,X
LIZSJTO,X,O,O,X
LIZSJOT,X,X,O,X
LIZSOTJ,X,O,O,X
LIZSOJT,X,O,O,X
LIZOTJS,X,O,X,X
LIZOTSJ,X,O,X,X
LIZOJTS,X,O,X,O
LIZOJST,X,O,O,X
LIZOSTJ,X,O,O,X
LIZOSJT,X,O,O,X
LIOTJSZ,O,X,X,O
LIOTJZS,X,O,X,O
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,O,X
LIOTZJS,X,O,X,X
LIOTZSJ,X,O,X,X
LIOJTSZ,O,X,X,O
LIOJTZS,X,O,X,O
LIOJSTZ,O,X,X,O
LIOJSZT,O,X,O,X
LIOJZTS,X,O,X,O
LIOJZST,X,O,O,X
LIOSTJZ,O,X,X,X
LIOSTZJ,O,X,O,X
LIOSJTZ,O,X,X,O
LIOSJZT,O,X,O,X
LIOSZTJ,O,X,O,X
LIOSZJT,O,X,O,X
LIOZTJS,X,O,X,X
LIOZTSJ,X,O,X,X
LIOZJTS,X,O,X,O
LIOZJST,X,O,O,X
LIOZSTJ,X,O,O,X
LIOZSJT,X,O,O,X
LJTISZO,O,X,X,O
LJTISOZ,O,X,X,O
LJTIZSO,X,O,O,O
LJTIZOS,X,O,X,O
LJTIOSZ,O,X,X,O
LJTIOZS,X,O,X,O
LJTSIZO,O,X,X,O
LJTSIOZ,O,X,X,O
LJTSZIO,O,X,X,X
LJTSZOI,O,X,X,X
LJTSOIZ,O,X,X,X
LJTSOZI,O,X,X,X
LJTZISO,X,O,O,X
LJTZIOS,X,O,X,X
LJTZSIO,X,O,O,X
LJTZSOI,X,X,X,X
LJTZOIS,X,O,X,X
LJTZOSI,X,O,X,X
LJTOISZ,O,X,X,O
LJTOIZS,X,O,X,O
LJTOSIZ,O,X,X,X
LJTOSZI,O,X,X,X
LJTOZIS,X,O,X,X
LJTOZSI,X,O,X,X
LJITSZO,O,X,X,O
LJITSOZ,O,X,X,O
LJITZSO,X,O,O,O
LJITZOS,X,O,X,O
LJITOSZ,O,X,X,O
LJITOZS,X,O,X,O
LJISTZO,O,X,X,O
LJISTOZ,O,X,X,O
LJISZTO,O,X,O,O
LJISZOT,O,X,O,X
LJISOTZ,O,X,X,O
LJISOZT,O,X,O,X
LJIZTSO,X,O,O,O
LJIZTOS,X,O,X,O
LJIZSTO,X,O,O,X
LJIZSOT,X,X,O,X
LJIZOTS,X,O,X,O
LJIZOST,X,O,O,X
LJIOTSZ,O,X,X,O
LJIOTZS,X,O,X,O
LJIOSTZ,O,X,X,O
LJIOSZT,O,X,O,X
LJIOZTS,X,O,X,O
LJIOZST,X,O,O,X
LJSTIZO,O,X,X,O
LJSTIOZ,O,X,X,O
LJSTZIO,O,X,X,X
LJSTZOI,O,X,X,X
LJSTOIZ,O,X,X,X
LJSTOZI,O,X,X,X
LJSITZO,O,X,X,O
LJSITOZ,O,X,X,O
LJSIZTO,O,X,O,O
LJSIZOT,O,X,O,X
LJSIOTZ,O,X,X,O
LJSIOZT,O,X,O,X
LJSZTIO,O,X,O,X
LJSZTOI,O,X,X,X
LJSZITO,O,X,O,O
LJSZIOT,O,X,O,X
LJSZOTI,O,X,X,X
LJSZOIT,O,X,O,X
LJSOTIZ,O,X,X,X
LJSOTZI,O,X,X,X
LJSOITZ,O,X,X,O
LJSOIZT,O,X,O,X
LJSOZTI,O,X,X,X
LJSOZIT,O,X,O,X
LJZTISO,X,O,O,X
LJZTIOS,X,O,X,X
LJZTSIO,X,O,O,X
LJZTSOI,X,X,X,X
LJZTOIS,X,O,X,X
LJZTOSI,X,O,X,X
LJZITSO,X,O,O,O
LJZITOS,X,O,X,O
LJZISTO,X,O,O,X
LJZISOT,X,X,O,X
LJZIOTS,X,O,X,O
LJZIOST,X,O,O,X
LJZSTIO,X,O,O,X
LJZSTOI,X,X,X,X
LJZSITO,X,O,O,O
LJZSIOT,X,X,O,X
LJZSOTI,X,X,X,X
LJZSOIT,X,X,O,X
LJZOTIS,X,O,X,X
LJZOTSI,X,O,X,X
LJZOITS,X,O,X,O
LJZOIST,X,O,O,X
LJZOSTI,X,O,X,X
LJZOSIT,X,O,O,X
LJOTISZ,O,X,X,O
LJOTIZS,X,O,X,O
LJOTSIZ,O,X,X,X
LJOTSZI,O,X,X,X
LJOTZIS,X,O,X,X
LJOTZSI,X,O,X,X
LJOITSZ,O,X,X,O
LJOITZS,X,O,X,O
LJOISTZ,O,X,X,O
LJOISZT,O,X,O,X
LJOIZTS,X,O,X,O
LJOIZST,X,O,O,X
LJOSTIZ,O,X,X,X
LJOSTZI,O,X,X,X
LJOSITZ,O,X,X,O
LJOSIZT,O,X,O,X
LJOSZTI,O,X,X,X
LJOSZIT,O,X,O,X
LJOZTIS,X,O,X,X
LJOZTSI,X,O,X,X
LJOZITS,X,O,X,O
LJOZIST,X,O,O,X
LJOZSTI,X,O,X,X
LJOZSIT,X,O,O,X
LSTIJZO,O,X,X,X
LSTIJOZ,O,X,X,X
LSTIZJO,O,X,O,X
LSTIZOJ,O,X,O,X
LSTIOJZ,O,X,X,X
LSTIOZJ,O,X,O,X
LSTJIZO,O,X,X,X
LSTJIOZ,O,X,X,X
LSTJZIO,O,X,X,X
LSTJZOI,O,X,X,X
LSTJOIZ,O,X,X,X
LSTJOZI,O,X,X,X
LSTZIJO,O,X,O,X
LSTZIOJ,O,X,O,X
LSTZJIO,O,X,O,X
LSTZJOI,O,X,X,X
LSTZOIJ,O,X,O,X
LSTZOJI,O,X,X,X
LSTOIJZ,O,X,X,X
LSTOIZJ,O,X,O,X
LSTOJIZ,O,X,X,X
LSTOJZI,O,X,X,X
LSTOZIJ,O,X,O,X
LSTOZJI,O,X,X,X
LSITJZO,O,X,X,X
LSITJOZ,O,X,X,X
LSITZJO,O,X,O,X
LSITZOJ,O,X,O,X
LSITOJZ,O,X,X,X
LSITOZJ,O,X,O,X
LSIJTZO,O,X,X,O
LSIJTOZ,O,X,X,O
LSIJZTO,O,X,O,X
LSIJZOT,O,X,O,X
LSIJOTZ,O,X,X,O
LSIJOZT,O,X,O,X
LSIZTJO,O,X,O,X
LSIZTOJ,O,X,O,X
LSIZJTO,O,X,O,X
LSIZJOT,O,X,O,X
LSIZOTJ,O,X,O,X
LSIZOJT,O,X,O,X
LSIOTJZ,O,X,X,X
LSIOTZJ,O,X,O,X
LSIOJTZ,O,X,X,O
LSIOJZT,O,X,O,X
LSIOZTJ,O,X,O,X
LSIOZJT,O,X,O,X
LSJTIZO,O,X,X,O
LSJTIOZ,O,X,X,O
LSJTZIO,O,X,X,X
LSJTZOI,O,X,X,X
LSJTOIZ,O,X,X,X
LSJTOZI,O,X,X,X
LSJITZO,O,X,X,O
LSJITOZ,O,X,X,O
LSJIZTO,O,X,O,O
LSJIZOT,O,X,O,X
LSJIOTZ,O,X,X,O
LSJIOZT,O,X,O,X
LSJZTIO,O,X,O,X
LSJZTOI,O,X,X,X
LSJZITO,O,X,O,O
LSJZIOT,O,X,O,X
LSJZOTI,O,X,X,X
LSJZOIT,O,X,O,X
LSJOTIZ,O,X,X,X
LSJOTZI,O,X,X,X
LSJOITZ,O,X,X,O
LSJOIZT,O,X,O,X
LSJOZTI,O,X,X,X
LSJOZIT,O,X,O,X
LSZTIJO,O,X,O,X
LSZTIOJ,O,X,O,X
LSZTJIO,O,X,O,X
LSZTJOI,O,X,X,X
LSZTOIJ,O,X,O,X
LSZTOJI,O,X,X,X
LSZITJO,O,X,O,X
LSZITOJ,O,X,O,X
LSZIJTO,O,X,O,X
LSZIJOT,O,X,O,X
LSZIOTJ,O,X,O,X
LSZIOJT,O,X,O,X
LSZJTIO,O,X,O,X
LSZJTOI,O,X,X,X
LSZJITO,O,X,O,X
LSZJIOT,O,X,O,X
LSZJOTI,O,X,X,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,X,O,X
LSZOTJI,O,X,X,X
LSZOITJ,O,X,O,X
LSZOIJT,O,X,O,X
LSZOJTI,O,X,X,X
LSZOJIT,O,X,O,X
LSOTIJZ,O,X,X,X
LSOTIZJ,O,X,O,X
LSOTJIZ,O,X,X,X
LSOTJZI,O,X,X,X
LSOTZIJ,O,X,O,X
LSOTZJI,O,X,X,X
LSOITJZ,O,X,X,X
LSOITZJ,O,X,O,X
LSOIJTZ,O,X,X,O
LSOIJZT,O,X,O,X
LSOIZTJ,O,X,O,X
LSOIZJT,O,X,O,X
LSOJTIZ,O,X,X,X
LSOJTZI,O,X,X,X
LSOJITZ,O,X,X,O
LSOJIZT,O,X,O,X
LSOJZTI,O,X,X,X
LSOJZIT,O,X,O,X
LSOZTIJ,O,X,O,X
LSOZTJI,O,X,X,X
LSOZITJ,O,X,O,X
LSOZIJT,O,X,O,X
LSOZJTI,O,X,X,X
LSOZJIT,O,X,O,X
LZTIJSO,X,O,O,X
LZTIJOS,X,O,X,X
LZTISJO,X,O,O,X
LZTISOJ,X,X,O,X
LZTIOJS,X,O,X,X
LZTIOSJ,X,O,X,X
LZTJISO,X,O,O,X
LZTJIOS,X,O,X,X
LZTJSIO,X,O,O,X
LZTJSOI,X,X,X,X
LZTJOIS,X,O,X,X
LZTJOSI,X,O,X,X
LZTSIJO,X,O,O,X
LZTSIOJ,X,X,O,X
LZTSJIO,X,O,O,X
LZTSJOI,X,X,X,X
LZTSOIJ,X,X,O,X
LZTSOJI,X,X,X,X
LZTOIJS,X,O,X,X
LZTOISJ,X,O,X,X
LZTOJIS,X,O,X,X
LZTOJSI,X,O,X,X
LZTOSIJ,X,O,X,X
LZTOSJI,X,O,X,X
LZITJSO,X,O,O,X
LZITJOS,X,O,X,X
LZITSJO,X,O,O,X
LZITSOJ,X,X,O,X
LZITOJS,X,O,X,X
LZITOSJ,X,O,X,X
LZIJTSO,X,O,O,O
LZIJTOS,X,O,X,O
LZIJSTO,X,O,O,X
LZIJSOT,X,X,O,X
LZIJOTS,X,O,X,O
LZIJOST,X,O,O,X
LZISTJO,X,O,O,X
LZISTOJ,X,X,O,X
LZISJTO,X,O,O,X
LZISJOT,X,X,O,X
LZISOTJ,X,O,O,X
LZISOJT,X,O,O,X
LZIOTJS,X,O,X,X
LZIOTSJ,X,O,X,X
LZIOJTS,X,O,X,O
LZIOJST,X,O,O,X
LZIOSTJ,X,O,O,X
LZIOSJT,X,O,O,X
LZJTISO,X,O,O,X
LZJTIOS,X,O,X,X
LZJTSIO,X,O,O,X
LZJTSOI,X,X,X,X
LZJTOIS,X,O,X,X
LZJTOSI,X,O,X,X
LZJITSO,X,O,O,O
LZJITOS,X,O,X,O
LZJISTO,X,O,O,X
LZJISOT,X,X,O,X
LZJIOTS,X,O,X,O
LZJIOST,X,O,O,X
LZJSTIO,X,O,O,X
LZJSTOI,X,X,X,X
LZJSITO,X,O,O,O
LZJSIOT,X,X,O,X
LZJSOTI,X,X,X,X
LZJSOIT,X,X,O,X
LZJOTIS,X,O,X,X
LZJOTSI,X,O,X,X
LZJOITS,X,O,X,O
LZJOIST,X,O,O,X
LZJOSTI,X,O,X,X
LZJOSIT,X,O,O,X
LZSTIJO,X,O,O,X
LZSTIOJ,X,X,O,X
LZSTJIO,X,O,O,X
LZSTJOI,X,X,X,X
LZSTOIJ,X,X,O,X
LZSTOJI,X,X,X,X
LZSITJO,X,O,O,X
LZSITOJ,X,X,O,X
LZSIJTO,X,O,O,X
LZSIJOT,X,X,O,X
LZSIOTJ,X,O,O,X
LZSIOJT,X,O,O,X
LZSJTIO,X,O,O,X
LZSJTOI,X,X,X,X
LZSJITO,X,O,O,X
LZSJIOT,X,X,O,X
LZSJOTI,X,X,X,X
LZSJOIT,X,X,O,X
LZSOTIJ,X,O,O,X
LZSOTJI,X,O,X,X
LZSOITJ,X,O,O,X
LZSOIJT,X,O,O,X
LZSOJTI,X,O,X,X
LZSOJIT,X,O,O,X
LZOTIJS,X,O,X,X
LZOTISJ,X,O,X,X
LZOTJIS,X,O,X,X
LZOTJSI,X,O,X,X
LZOTSIJ,X,O,X,X
LZOTSJI,X,O,X,X
LZOITJS,X,O,X,X
LZOITSJ,X,O,X,X
LZOIJTS,X,O,X,O
LZOIJST,X,O,O,X
LZOISTJ,X,O,O,X
LZOISJT,X,O,O,X
LZOJTIS,X,O,X,X
LZOJTSI,X,O,X,X
LZOJITS,X,O,X,O
LZOJIST,X,O,O,X
LZOJSTI,X,O,X,X
LZOJSIT,X,O,O,X
LZOSTIJ,X,O,O,X
LZOSTJI,X,O,X,X
LZOSITJ,X,O,O,X
LZOSIJT,X,O,O,X
LZOSJTI,X,O,X,X
LZOSJIT,X,O,O,X
LOTIJSZ,O,X,X,O
LOTIJZS,X,O,X,O
LOTISJZ,O,X,X,X
LOTISZJ,O,X,O,X
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,X,X
LOTJISZ,O,X,X,O
LOTJIZS,X,O,X,O
LOTJSIZ,O,X,X,X
LOTJSZI,O,X,X,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,O,X,X,X
LOTSIZJ,O,X,O,X
LOTSJIZ,O,X,X,X
LOTSJZI,O,X,X,X
LOTSZIJ,O,X,O,X
LOTSZJI,O,X,X,X
LOTZIJS,X,O,X,X
LOTZISJ,X,O,X,X
LOTZJIS,X,O,X,X
LOTZJSI,X,O,X,X
LOTZSIJ,X,O,X,X
LOTZSJI,X,O,X,X
LOITJSZ,O,X,X,O
LOITJZS,X,O,X,O
LOITSJZ,O,X,X,X
LOITSZJ,O,X,O,X
LOITZJS,X,O,X,X
LOITZSJ,X,O,X,X
LOIJTSZ,O,X,X,O
LOIJTZS,X,O,X,O
LOIJSTZ,O,X,X,O
LOIJSZT,O,X,O,X
LOIJZTS,X,O,X,O
LOIJZST,X,O,O,X
LOISTJZ,O,X,X,X
LOISTZJ,O,X,O,X
LOISJTZ,O,X,X,O
LOISJZT,O,X,O,X
LOISZTJ,O,X,O,X
LOISZJT,O,X,O,X
LOIZTJS,X,O,X,X
LOIZTSJ,X,O,X,X
LOIZJTS,X,O,X,O
LOIZJST,X,O,O,X
LOIZSTJ,X,O,O,X
LOIZSJT,X,O,O,X
LOJTISZ,O,X,X,O
LOJTIZS,X,O,X,O
LOJTSIZ,O,X,X,X
LOJTSZI,O,X,X,X
LOJTZIS,X,O,X,X
LOJTZSI,X,O,X,X
LOJITSZ,O,X,X,O
LOJITZS,X,O,X,O
LOJISTZ,O,X,X,O
LOJISZT,O,X,O,X
LOJIZTS,X,O,X,O
LOJIZST,X,O,O,X
LOJSTIZ,O,X,X,X
LOJSTZI,O,X,X,X
LOJSITZ,O,X,X,O
LOJSIZT,O,X,O,X
LOJSZTI,O,X,X,X
LOJSZIT,O,X,O,X
LOJZTIS,X,O,X,X
LOJZTSI,X,O,X,X
LOJZITS,X,O,X,O
LOJZIST,X,O,O,X
LOJZSTI,X,O,X,X
LOJZSIT,X,O,O,X
LOSTIJZ,O,X,X,X
LOSTIZJ,O,X,O,X
LOSTJIZ,O,X,X,X
LOSTJZI,O,X,X,X
LOSTZIJ,O,X,O,X
LOSTZJI,O,X,X,X
LOSITJZ,O,X,X,X
LOSITZJ,O,X,O,X
LOSIJTZ,O,X,X,O
LOSIJZT,O,X,O,X
LOSIZTJ,O,X,O,X
LOSIZJT,O,X,O,X
LOSJTIZ,O,X,X,X
LOSJTZI,O,X,X,X
LOSJITZ,O,X,X,O
LOSJIZT,O,X,O,X
LOSJZTI,O,X,X,X
LOSJZIT,O,X,O,X
LOSZTIJ,O,X,O,X
LOSZTJI,O,X,X,X
LOSZITJ,O,X,O,X
LOSZIJT,O,X,O,X
LOSZJTI,O,X,X,X
LOSZJIT,O,X,O,X
LOZTIJS,X,O,X,X
LOZTISJ,X,O,X,X
LOZTJIS,X,O,X,X
LOZTJSI,X,O,X,X
LOZTSIJ,X,O,X,X
LOZTSJI,X,O,X,X
LOZITJS,X,O,X,X
LOZITSJ,X,O,X,X
LOZIJTS,X,O,X,O
LOZIJST,X,O,O,X
LOZISTJ,X,O,O,X
LOZISJT,X,O,O,X
LOZJTIS,X,O,X,X
LOZJTSI,X,O,X,X
LOZJITS,X,O,X,O
LOZJIST,X,O,O,X
LOZJSTI,X,O,X,X
LOZJSIT,X,O,O,X
LOZSTIJ,X,O,O,X
LOZSTJI,X,O,X,X
LOZSITJ,X,O,O,X
LOZSIJT,X,O,O,X
LOZSJTI,X,O,X,X
LOZSJIT,X,O,O,X
JTILSZO,O,X,X,O
JTILSOZ,O,X,X,O
JTILZSO,X,O,O,O
JTILZOS,X,O,X,O
JTILOSZ,O,X,X,O
JTILOZS,X,O,X,O
JTISLZO,O,X,X,O
JTISLOZ,O,X,X,O
JTISZLO,O,O,X,X
JTISZOL,O,O,X,X
JTISOLZ,O,X,X,X
JTISOZL,O,O,X,X
JTIZLSO,X,O,O,X
JTIZLOS,X,O,X,X
JTIZSLO,O,O,O,X
JTIZSOL,O,O,X,X
JTIZOLS,X,O,X,X
JTIZOSL,O,O,X,X
JTIOLSZ,O,X,X,O
JTIOLZS,X,O,X,O
JTIOSLZ,O,X,X,X
JTIOSZL,O,O,X,X
JTIOZLS,X,O,X,X
JTIOZSL,O,O,X,X
JTLISZO,O,X,X,O
JTLISOZ,O,X,X,O
JTLIZSO,X,O,O,O
JTLIZOS,X,O,X,O
JTLIOSZ,O,X,X,O
JTLIOZS,X,O,X,O
JTLSIZO,O,X,X,O
JTLSIOZ,O,X,X,O
JTLSZIO,O,X,X,X
JTLSZOI,O,X,X,X
JTLSOIZ,O,X,X,X
JTLSOZI,O,X,X,X
JTLZISO,X,O,O,X
JTLZIOS,X,O,X,X
JTLZSIO,X,O,O,X
JTLZSOI,X,X,X,X
JTLZOIS,X,O,X,X
JTLZOSI,X,O,X,X
JTLOISZ,O,X,X,O
JTLOIZS,X,O,X,O
JTLOSIZ,O,X,X,X
JTLOSZI,O,X,X,X
JTLOZIS,X,O,X,X
JTLOZSI,X,O,X,X
JTSILZO,O,X,X,O
JTSILOZ,O,X,X,O
JTSIZLO,O,O,X,X
JTSIZOL,O,O,X,X
JTSIOLZ,O,X,X,X
JTSIOZL,O,O,X,X
JTSLIZO,O,X,X,O
JTSLIOZ,O,X,X,O
JTSLZIO,O,X,X,X
JTSLZOI,O,X,X,X
JTSLOIZ,O,X,X,X
JTSLOZI,O,X,X,X
JTSZILO,O,O,X,X
JTSZIOL,O,O,X,X
JTSZLIO,O,O,X,X
JTSZLOI,O,X,X,X
JTSZOIL,O,O,X,X
JTSZOLI,O,O,X,X
JTSOILZ,O,X,X,X
JTSOIZL,O,O,X,X
JTSOLIZ,O,X,X,X
JTSOLZI,O,X,X,X
JTSOZIL,O,O,X,X
JTSOZLI,O,O,X,X
JTZILSO,X,O,O,X
JTZILOS,X,O,X,X
JTZISLO,O,O,O,X
JTZISOL,O,O,X,X
JTZIOLS,X,O,X,X
JTZIOSL,O,O,X,X
JTZLISO,X,O,O,X
JTZLIOS,X,O,X,X
JTZLSIO,X,O,O,X
JTZLSOI,X,X,X,X
JTZLOIS,X,O,X,X
JTZLOSI,X,O,X,X
JTZSILO,O,O,O,X
JTZSIOL,O,O,X,X
JTZSLIO,O,O,O,X
JTZSLOI,O,X,X,X
JTZSOIL,O,O,X,X
JTZSOLI,O,O,X,X
JTZOILS,X,O,X,X
JTZOISL,O,O,X,X
JTZOLIS,X,O,X,X
JTZOLSI,X,O,X,X
JTZOSIL,O,O,X,X
JTZOSLI,O,O,X,X
JTOILSZ,O,X,X,O
JTOILZS,X,O,X,O
JTOISLZ,O,X,X,X
JTOISZL,O,O,X,X
JTOIZLS,X,O,X,X
JTOIZSL,O,O,X,X
JTOLISZ,O,X,X,O
JTOLIZS,X,O,X,O
JTOLSIZ,O,X,X,X
JTOLSZI,O,X,X,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,O,X,X,X
JTOSIZL,O,O,X,X
JTOSLIZ,O,X,X,X
JTOSLZI,O,X,X,X
JTOSZIL,O,O,X,X
JTOSZLI,O,O,X,X
JTOZILS,X,O,X,X
JTOZISL,O,O,X,X
JTOZLIS,X,O,X,X
JTOZLSI,X,O,X,X
JTOZSIL,O,O,X,X
JTOZSLI,O,O,X,X
JITLSZO,O,X,X,O
JITLSOZ,O,X,X,O
JITLZSO,X,O,O,O
JITLZOS,X,O,X,O
JITLOSZ,O,X,X,O
JITLOZS,X,O,X,O
JITSLZO,O,X,X,O
JITSLOZ,O,X,X,O
JITSZLO,O,O,X,X
JITSZOL,O,O,X,X
JITSOLZ,O,X,X,X
JITSOZL,O,O,X,X
JITZLSO,X,O,O,X
JITZLOS,X,O,X,X
JITZSLO,O,O,O,X
JITZSOL,O,O,X,X
JITZOLS,X,O,X,X
JITZOSL,O,O,X,X
JITOLSZ,O,X,X,O
JITOLZS,X,O,X,O
JITOSLZ,O,X,X,X
JITOSZL,O,O,X,X
JITOZLS,X,O,X,X
JITOZSL,O,O,X,X
JILTSZO,O,X,X,O
JILTSOZ,O,X,X,O
JILTZSO,X,O,O,O
JILTZOS,X,O,X,O
JILTOSZ,O,X,X,O
JILTOZS,X,O,X,O
JILSTZO,O,X,X,O
JILSTOZ,O,X,X,O
JILSZTO,O,X,O,O
JILSZOT,O,X,O,X
JILSOTZ,O,X,X,O
JILSOZT,O,X,O,X
JILZTSO,X,O,O,O
JILZTOS,X,O,X,O
JILZSTO,X,O,O,X
JILZSOT,X,X,O,X
JILZOTS,X,O,X,O
JILZOST,X,O,O,X
JILOTSZ,O,X,X,O
JILOTZS,X,O,X,O
JILOSTZ,O,X,X,O
JILOSZT,O,X,O,X
JILOZTS,X,O,X,O
JILOZST,X,O,O,X
JISTLZO,O,X,X,O
JISTLOZ,O,X,X,O
JISTZLO,O,O,X,X
JISTZOL,O,O,X,X
JISTOLZ,O,X,X,X
JISTOZL,O,O,X,X
JISLTZO,O,X,X,O
JISLTOZ,O,X,X,O
JISLZTO,O,X,O,O
JISLZOT,O,X,O,X
JISLOTZ,O,X,X,O
JISLOZT,O,X,O,X
JISZTLO,O,O,O,X
JISZTOL,O,O,X,X
JISZLTO,O,O,O,O
JISZLOT,O,X,O,X
JISZOTL,O,O,X,X
JISZOLT,O,O,O,X
JISOTLZ,O,X,X,X
JISOTZL,O,O,X,X
JISOLTZ,O,X,X,O
JISOLZT,O,X,X,X
JISOZTL,O,O,X,X
JISOZLT,O,O,X,X
JIZTLSO,X,O,O,X
JIZTLOS,X,O,X,X
JIZTSLO,O,O,O,X
JIZTSOL,O,O,X,X
JIZTOLS,X,O,X,X
JIZTOSL,O,O,X,X
JIZLTSO,X,O,O,O
JIZLTOS,X,O,X,O
JIZLSTO,X,O,O,X
JIZLSOT,X,X,O,X
JIZLOTS,X,O,X,O
JIZLOST,X,O,O,X
JIZSTLO,O,O,O,X
JIZSTOL,O,O,X,X
JIZSLTO,O,O,O,O
JIZSLOT,O,X,O,X
JIZSOTL,O,O,X,X
JIZSOLT,O,O,O,X
JIZOTLS,X,O,X,X
JIZOTSL,O,O,X,X
JIZOLTS,X,O,X,O
JIZOLST,X,O,O,X
JIZOSTL,O,O,X,X
JIZOSLT,O,O,O,X
JIOTLSZ,O,X,X,O
JIOTLZS,X,O,X,O
JIOTSLZ,O,X,X,X
JIOTSZL,O,O,X,X
JIOTZLS,X,O,X,X
JIOTZSL,O,O,X,X
JIOLTSZ,O,X,X,O
JIOLTZS,X,O,X,O
JIOLSTZ,O,X,X,O
JIOLSZT,O,X,X,X
JIOLZTS,X,O,X,O
JIOLZST,X,O,O,X
JIOSTLZ,O,X,X,X
JIOSTZL,O,O,X,X
JIOSLTZ,O,X,X,O
JIOSLZT,O,X,X,X
JIOSZTL,O,O,X,X
JIOSZLT,O,O,X,X
JIOZTLS,X,O,X,X
JIOZTSL,O,O,X,X
JIOZLTS,X,O,X,O
JIOZLST,X,O,O,X
JIOZSTL,O,O,X,X
JIOZSLT,O,O,O,X
JLTISZO,O,X,X,O
JLTISOZ,O,X,X,O
JLTIZSO,X,O,O,O
JLTIZOS,X,O,X,O
JLTIOSZ,O,X,X,O
JLTIOZS,X,O,X,O
JLTSIZO,O,X,X,O
JLTSIOZ,O,X,X,O
JLTSZIO,O,X,X,X
JLTSZOI,O,X,X,X
JLTSOIZ,O,X,X,X
JLTSOZI,O,X,X,X
JLTZISO,X,O,O,X
JLTZIOS,X,O,X,X
JLTZSIO,X,O,O,X
JLTZSOI,X,X,X,X
JLTZOIS,X,O,X,X
JLTZOSI,X,O,X,X
JLTOISZ,O,X,X,O
JLTOIZS,X,O,X,O
JLTOSIZ,O,X,X,X
JLTOSZI,O,X,X,X
JLTOZIS,X,O,X,X
JLTOZSI,X,O,X,X
JLITSZO,O,X,X,O
JLITSOZ,O,X,X,O
JLITZSO,X,O,O,O
JLITZOS,X,O,X,O
JLITOSZ,O,X,X,O
JLITOZS,X,O,X,O
JLISTZO,O,X,X,O
JLISTOZ,O,X,X,O
JLISZTO,O,X,O,O
JLISZOT,O,X,O,X
JLISOTZ,O,X,X,O
JLISOZT,O,X,O,X
JLIZTSO,X,O,O,O
JLIZTOS,X,O,X,O
JLIZSTO,X,O,O,X
JLIZSOT,X,X,O,X
JLIZOTS,X,O,X,O
JLIZOST,X,O,O,X
JLIOTSZ,O,X,X,O
JLIOTZS,X,O,X,O
JLIOSTZ,O,X,X,O
JLIOSZT,O,X,O,X
JLIOZTS,X,O,X,O
JLIOZST,X,O,O,X
JLSTIZO,O,X,X,O
JLSTIOZ,O,X,X,O
JLSTZIO,O,X,X,X
JLSTZOI,O,X,X,X
JLSTOIZ,O,X,X,X
JLSTOZI,O,X,X,X
JLSITZO,O,X,X,O
JLSITOZ,O,X,X,O
JLSIZTO,O,X,O,O
JLSIZOT,O,X,O,X
JLSIOTZ,O,X,X,O
JLSIOZT,O,X,O,X
JLSZTIO,O,X,O,X
JLSZTOI,O,X,X,X
JLSZITO,O,X,O,O
JLSZIOT,O,X,O,X
JLSZOTI,O,X,X,X
JLSZOIT,O,X,O,X
JLSOTIZ,O,X,X,X
JLSOTZI,O,X,X,X
JLSOITZ,O,X,X,O
JLSOIZT,O,X,O,X
JLSOZTI,O,X,X,X
JLSOZIT,O,X,O,X
JLZTISO,X,O,O,X
JLZTIOS,X,O,X,X
JLZTSIO,X,O,O,X
JLZTSOI,X,X,X,X
JLZTOIS,X,O,X,X
JLZTOSI,X,O,X,X
JLZITSO,X,O,O,O
JLZITOS,X,O,X,O
JLZISTO,X,O,O,X
JLZISOT,X,X,O,X
JLZIOTS,X,O,X,O
JLZIOST,X,O,O,X
JLZSTIO,X,O,O,X
JLZSTOI,X,X,X,X
JLZSITO,X,O,O,O
JLZSIOT,X,X,O,X
JLZSOTI,X,X,X,X
JLZSOIT,X,X,O,X
JLZOTIS,X,O,X,X
JLZOTSI,X,O,X,X
