sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TJSIOZL,O,O,X,X
TJSLIZO,O,X,X,O
TJSLIOZ,O,X,X,O
TJSLZIO,O,X,X,X
TJSLZOI,O,X,X,X
TJSLOIZ,O,X,X,X
TJSLOZI,O,X,X,X
TJSZILO,O,O,X,X
TJSZIOL,O,O,X,X
TJSZLIO,O,O,X,X
TJSZLOI,O,X,X,X
TJSZOIL,O,O,X,X
TJSZOLI,O,O,X,X
TJSOILZ,O,X,X,X
TJSOIZL,O,O,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,O,X,X,X
TJSOZIL,O,O,X,X
TJSOZLI,O,O,X,X
TJZILSO,X,O,O,X
TJZILOS,X,O,X,X
TJZISLO,O,O,O,X
TJZISOL,O,O,X,X
TJZIOLS,X,O,X,X
TJZIOSL,O,O,X,X
TJZLISO,X,O,O,X
TJZLIOS,X,O,X,X
TJZLSIO,X,O,O,X
TJZLSOI,X,X,X,X
TJZLOIS,X,O,X,X
TJZLOSI,X,O,X,X
TJZSILO,O,O,O,X
TJZSIOL,O,O,X,X
TJZSLIO,O,O,O,X
TJZSLOI,O,X,X,X
TJZSOIL,O,O,X,X
TJZSOLI,O,O,X,X
TJZOILS,X,O,X,X
TJZOISL,O,O,X,X
TJZOLIS,X,O,X,X
TJZOLSI,X,O,X,X
TJZOSIL,O,O,X,X
TJZOSLI,O,O,X,X
TJOILSZ,O,X,X,O
TJOILZS,X,O,X,O
TJOISLZ,O,X,X,X
TJOISZL,O,O,X,X
TJOIZLS,X,O,X,X
TJOIZSL,O,O,X,X
TJOLISZ,O,X,X,O
TJOLIZS,X,O,X,O
TJOLSIZ,O,X,X,X
TJOLSZI,O,X,X,X
TJOLZIS,X,O,X,X
TJOLZSI,X,O,X,X
TJOSILZ,O,X,X,X
TJOSIZL,O,O,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,O,X,X,X
TJOSZIL,O,O,X,X
TJOSZLI,O,O,X,X
TJOZILS,X,O,X,X
TJOZISL,O,O,X,X
TJOZLIS,X,O,X,X
TJOZLSI,X,O,X,X
TJOZSIL,O,O,X,X
TJOZSLI,O,O,X,X
TSILJZO,O,X,X,X
TSILJOZ,O,X,X,X
TSILZJO,O,X,O,X
TSILZOJ,O,X,O,X
TSILOJZ,O,X,X,X
TSILOZJ,O,X,O,X
TSIJLZO,O,X,X,X
TSIJLOZ,O,X,X,X
TSIJZLO,O,O,X,X
TSIJZOL,O,O,X,X
TSIJOLZ,O,X,X,X
TSIJOZL,O,O,X,X
TSIZLJO,O,O,O,X
TSIZLOJ,O,X,O,X
TSIZJLO,O,O,O,X
TSIZJOL,O,O,X,X
TSIZOLJ,O,O,X,X
TSIZOJL,O,O,X,X
TSIOLJZ,O,X,X,X
TSIOLZJ,O,X,X,X
TSIOJLZ,O,X,X,X
TSIOJZL,O,O,X,X
TSIOZLJ,O,O,X,X
TSIOZJL,O,O,X,X
TSLIJZO,O,X,X,X
TSLIJOZ,O,X,X,X
TSLIZJO,O,X,O,X
TSLIZOJ,O,X,O,X
TSLIOJZ,O,X,X,X
TSLIOZJ,O,X,O,X
TSLJIZO,O,X,X,X
TSLJIOZ,O,X,X,X
TSLJZIO,O,X,X,X
TSLJZOI,O,X,X,X
TSLJOIZ,O,X,X,X
TSLJOZI,O,X,X,X
TSLZIJO,O,X,O,X
TSLZIOJ,O,X,O,X
TSLZJIO,O,X,O,X
TSLZJOI,O,X,X,X
TSLZOIJ,O,X,O,X
TSLZOJI,O,X,X,X
TSLOIJZ,O,X,X,X
TSLOIZJ,O,X,O,X
TSLOJIZ,O,X,X,X
TSLOJZI,O,X,X,X
TSLOZIJ,O,X,O,X
TSLOZJI,O,X,X,X
TSJILZO,O,X,X,X
TSJILOZ,O,X,X,X
TSJIZLO,O,O,X,X
TSJIZOL,O,O,X,X
TSJIOLZ,O,X,X,X
TSJIOZL,O,O,X,X
TSJLIZO,O,X,X,X
TSJLIOZ,O,X,X,X
TSJLZIO,O,X,X,X
TSJLZOI,O,X,X,X
TSJLOIZ,O,X,X,X
TSJLOZI,O,X,X,X
TSJZILO,O,O,X,X
TSJZIOL,O,O,X,X
TSJZLIO,O,O,X,X
TSJZLOI,O,X,X,X
TSJZOIL,O,O,X,X
TSJZOLI,O,O,X,X
TSJOILZ,O,X,X,X
TSJOIZL,O,O,X,X
TSJOLIZ,O,X,X,X
TSJOLZI,O,X,X,X
TSJOZIL,O,O,X,X
TSJOZLI,O,O,X,X
TSZILJO,O,O,O,X
TSZILOJ,O,X,O,X
TSZIJLO,O,O,O,X
TSZIJOL,O,O,X,X
TSZIOLJ,O,O,X,X
TSZIOJL,O,O,X,X
TSZLIJO,O,O,O,X
TSZLIOJ,O,X,O,X
TSZLJIO,O,O,O,X
TSZLJOI,O,X,X,X
TSZLOIJ,O,X,O,X
TSZLOJI,O,X,X,X
TSZJILO,O,O,O,X
TSZJIOL,O,O,X,X
TSZJLIO,O,O,O,X
TSZJLOI,O,X,X,X
TSZJOIL,O,O,X,X
TSZJOLI,O,O,X,X
TSZOILJ,O,O,X,X
TSZOIJL,O,O,X,X
TSZOLIJ,O,O,X,X
TSZOLJI,O,O,X,X
TSZOJIL,O,O,X,X
TSZOJLI,O,O,X,X
TSOILJZ,O,X,X,X
TSOILZJ,O,X,X,X
TSOIJLZ,O,X,X,X
TSOIJZL,O,O,X,X
TSOIZLJ,O,O,X,X
TSOIZJL,O,O,X,X
TSOLIJZ,O,X,X,X
TSOLIZJ,O,X,X,X
TSOLJIZ,O,X,X,X
TSOLJZI,O,X,X,X
TSOLZIJ,O,X,X,X
TSOLZJI,O,X,X,X
TSOJILZ,O,X,X,X
TSOJIZL,O,O,X,X
TSOJLIZ,O,X,X,X
TSOJLZI,O,X,X,X
TSOJZIL,O,O,X,X
TSOJZLI,O,O,X,X
TSOZILJ,O,O,X,X
TSOZIJL,O,O,X,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,X,O,O,X
TZILJOS,X,O,X,X
TZILSJO,X,O,O,X
TZILSOJ,X,X,O,X
TZILOJS,X,O,X,X
TZILOSJ,X,O,X,X
TZIJLSO,X,O,O,X
TZIJLOS,X,O,X,X
TZIJSLO,O,O,O,X
TZIJSOL,O,O,X,X
TZIJOLS,X,O,X,X
TZIJOSL,O,O,X,X
TZISLJO,O,O,O,X
TZISLOJ,O,X,O,X
TZISJLO,O,O,O,X
TZISJOL,O,O,X,X
TZISOLJ,O,O,X,X
TZISOJL,O,O,X,X
TZIOLJS,X,O,X,X
TZIOLSJ,X,O,X,X
TZIOJLS,X,O,X,X
TZIOJSL,O,O,X,X
TZIOSLJ,O,O,X,X
TZIOSJL,O,O,X,X
TZLIJSO,X,O,O,X
TZLIJOS,X,O,X,X
TZLISJO,X,O,O,X
TZLISOJ,X,X,O,X
TZLIOJS,X,O,X,X
TZLIOSJ,X,O,X,X
TZLJISO,X,O,O,X
TZLJIOS,X,O,X,X
TZLJSIO,X,O,O,X
TZLJSOI,X,X,X,X
TZLJOIS,X,O,X,X
TZLJOSI,X,O,X,X
TZLSIJO,X,O,O,X
TZLSIOJ,X,X,O,X
TZLSJIO,X,O,O,X
TZLSJOI,X,X,X,X
TZLSOIJ,X,X,O,X
TZLSOJI,X,X,X,X
TZLOIJS,X,O,X,X
TZLOISJ,X,O,X,X
TZLOJIS,X,O,X,X
TZLOJSI,X,O,X,X
TZLOSIJ,X,O,X,X
TZLOSJI,X,O,X,X
TZJILSO,X,O,O,X
TZJILOS,X,O,X,X
TZJISLO,O,O,O,X
TZJISOL,O,O,X,X
TZJIOLS,X,O,X,X
TZJIOSL,O,O,X,X
TZJLISO,X,O,O,X
TZJLIOS,X,O,X,X
TZJLSIO,X,O,O,X
TZJLSOI,X,X,X,X
TZJLOIS,X,O,X,X
TZJLOSI,X,O,X,X
TZJSILO,O,O,O,X
TZJSIOL,O,O,X,X
TZJSLIO,O,O,O,X
TZJSLOI,O,X,X,X
TZJSOIL,O,O,X,X
TZJSOLI,O,O,X,X
TZJOILS,X,O,X,X
TZJOISL,O,O,X,X
TZJOLIS,X,O,X,X
TZJOLSI,X,O,X,X
TZJOSIL,O,O,X,X
TZJOSLI,O,O,X,X
TZSILJO,O,O,O,X
TZSILOJ,O,X,O,X
TZSIJLO,O,O,O,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,O,X,X
TZSIOJL,O,O,X,X
TZSLIJO,O,O,O,X
TZSLIOJ,O,X,O,X
TZSLJIO,O,O,O,X
TZSLJOI,O,X,X,X
TZSLOIJ,O,X,O,X
TZSLOJI,O,X,X,X
TZSJILO,O,O,O,X
TZSJIOL,O,O,X,X
TZSJLIO,O,O,O,X
TZSJLOI,O,X,X,X
TZSJOIL,O,O,X,X
TZSJOLI,O,O,X,X
TZSOILJ,O,O,X,X
TZSOIJL,O,O,X,X
TZSOLIJ,O,O,X,X
TZSOLJI,O,O,X,X
TZSOJIL,O,O,X,X
TZSOJLI,O,O,X,X
TZOILJS,X,O,X,X
TZOILSJ,X,O,X,X
TZOIJLS,X,O,X,X
TZOIJSL,O,O,X,X
TZOISLJ,O,O,X,X
TZOISJL,O,O,X,X
TZOLIJS,X,O,X,X
TZOLISJ,X,O,X,X
TZOLJIS,X,O,X,X
TZOLJSI,X,O,X,X
TZOLSIJ,X,O,X,X
TZOLSJI,X,O,X,X
TZOJILS,X,O,X,X
TZOJISL,O,O,X,X
TZOJLIS,X,O,X,X
TZOJLSI,X,O,X,X
TZOJSIL,O,O,X,X
TZOJSLI,O,O,X,X
TZOSILJ,O,O,X,X
TZOSIJL,O,O,X,X
