sequence,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFTgBOmB?dnBCjBXoB0qB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhF0gBdnB?qnBTjB2qBXrB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8JeUAJvhFRhBCjB?tpBmmBXoBzqB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFTgBNmB?anBWoBXoB0qB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFNlBanB?unBcoBXmBzqB
ITLOSZJ,X,X,X,X,O
ITLOZJS,X,O,X,O,O
ITLOZSJ,X,X,X,O,O
ITJLSZO,O,O,O,O,O
ITJLSOZ,O,O,O,X,X
ITJLZSO,O,O,O,O,O
ITJLZOS,O,O,X,O,O
ITJLOSZ,X,O,X,X,X
ITJLOZS,X,O,X,O,X
ITJSLZO,O,O,O,O,O
ITJSLOZ,O,O,O,X,X
ITJSZLO,O,O,O,O,O
ITJSZOL,O,X,O,O,O
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,X,O,X,X
ITJZLSO,O,O,O,O,O
ITJZLOS,O,O,X,O,O
ITJZSLO,O,O,O,O,O
ITJZSOL,O,X,O,O,O
ITJZOLS,O,O,X,O,O
ITJZOSL,O,X,O,O,O
ITJOLSZ,X,O,X,X,X
ITJOLZS,X,O,X,O,X
ITJOSLZ,O,X,O,X,X
ITJOSZL,O,X,O,X,X
ITJOZLS,O,O,X,O,X
ITJOZSL,O,X,O,O,X
ITSLJZO,O,O,O,O,O
ITSLJOZ,O,O,O,X,X
ITSLZJO,O,X,O,O,O
ITSLZOJ,O,X,O,O,O
ITSLOJZ,O,O,O,X,X
ITSLOZJ,O,X,O,X,O
ITSJLZO,O,O,O,O,O
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,O,O,O,O
ITSJZOL,O,X,O,O,O
ITSJOLZ,O,X,O,X,X
ITSJOZL,O,X,O,X,X
ITSZLJO,O,X,O,O,O
ITSZLOJ,O,X,O,O,O
ITSZJLO,O,X,O,O,O
ITSZJOL,O,X,O,O,O
ITSZOLJ,O,X,O,O,O
ITSZOJL,O,X,X,O,O
ITSOLJZ,O,X,O,X,X
ITSOLZJ,O,X,O,X,O
ITSOJLZ,O,X,O,X,X
ITSOJZL,O,X,O,X,X
ITSOZLJ,O,X,O,X,O
ITSOZJL,O,X,O,X,O
ITZLJSO,O,O,O,O,O
ITZLJOS,O,O,X,O,O
ITZLSJO,O,X,O,O,O
ITZLSOJ,O,X,O,O,O
ITZLOJS,O,O,X,O,O
ITZLOSJ,O,X,X,O,O
ITZJLSO,O,O,O,O,O
ITZJLOS,O,O,X,O,O
ITZJSLO,O,O,O,O,O
ITZJSOL,O,X,O,O,O
ITZJOLS,O,O,X,O,O
ITZJOSL,O,X,O,O,O
ITZSLJO,O,X,O,O,O
ITZSLOJ,O,X,O,O,O
ITZSJLO,O,X,O,O,O
ITZSJOL,O,X,O,O,O
ITZSOLJ,O,X,O,O,O
ITZSOJL,O,X,X,O,O
ITZOLJS,O,X,X,O,O
ITZOLSJ,O,X,X,O,O
ITZOJLS,O,X,X,O,O
ITZOJSL,O,X,O,O,O
ITZOSLJ,O,X,O,O,O
ITZOSJL,O,X,X,O,O
ITOLJSZ,X,O,X,X,X
ITOLJZS,X,O,X,O,X
ITOLSJZ,X,O,X,X,X
ITOLSZJ,X,X,X,X,O
ITOLZJS,X,O,X,O,O
ITOLZSJ,X,X,X,O,O
ITOJLSZ,X,O,O,X,X
ITOJLZS,X,O,O,O,X
ITOJSLZ,O,X,O,X,X
ITOJSZL,O,X,O,X,X
ITOJZLS,O,O,O,O,X
ITOJZSL,O,X,O,O,X
ITOSLJZ,O,X,O,X,X
ITOSLZJ,O,X,O,X,O
ITOSJLZ,O,X,O,X,X
ITOSJZL,O,X,O,X,X
ITOSZLJ,O,X,O,X,O
ITOSZJL,O,X,O,X,O
ITOZLJS,O,X,O,O,O
ITOZLSJ,O,X,O,O,O
ITOZJLS,O,X,O,O,O
ITOZJSL,O,X,O,O,O
ITOZSLJ,O,X,O,O,O
ITOZSJL,O,X,O,O,O
ILTJSZO,O,O,X,O,O
ILTJSOZ,O,O,X,X,X
ILTJZSO,O,O,X,O,O
ILTJZOS,O,O,X,O,O
ILTJOSZ,X,O,X,X,X
ILTJOZS,X,O,X,O,X
ILTSJZO,O,O,X,O,O
ILTSJOZ,O,O,X,X,X
ILTSZJO,O,X,X,O,O
ILTSZOJ,O,X,X,O,O
ILTSOJZ,O,O,X,X,X
ILTSOZJ,O,X,X,X,O
ILTZJSO,O,O,X,O,O
ILTZJOS,O,O,X,O,O
ILTZSJO,O,X,X,O,O
ILTZSOJ,O,X,X,O,O
ILTZOJS,O,O,X,O,O
ILTZOSJ,O,X,X,O,O
ILTOJSZ,X,O,X,X,X
ILTOJZS,X,O,X,O,X
ILTOSJZ,X,O,X,X,X
ILTOSZJ,X,X,X,X,O
ILTOZJS,X,O,X,O,O
ILTOZSJ,X,X,X,O,O
ILJTSZO,X,O,X,O,O
ILJTSOZ,X,O,X,X,X
ILJTZSO,X,O,X,O,O
ILJTZOS,X,O,X,O,O
ILJTOSZ,X,O,X,X,X
ILJTOZS,X,O,X,O,X
ILJSTZO,X,O,X,O,O
ILJSTOZ,X,O,X,X,X
ILJSZTO,X,O,X,O,O
ILJSZOT,X,O,X,X,O
ILJSOTZ,X,O,X,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,X,O,X,O,O
ILJZTOS,X,O,X,O,O
ILJZSTO,X,O,X,O,O
ILJZSOT,X,O,X,X,O
ILJZOTS,X,O,X,O,O
ILJZOST,X,O,X,X,O
ILJOTSZ,X,O,X,X,X
ILJOTZS,X,O,X,O,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,X,O,X,O,X
ILJOZST,X,O,X,X,X
ILSTJZO,O,O,X,O,O
ILSTJOZ,O,O,X,X,X
ILSTZJO,O,X,X,O,O
ILSTZOJ,O,X,X,O,O
ILSTOJZ,O,O,X,X,X
ILSTOZJ,O,X,X,X,O
ILSJTZO,O,O,X,O,O
ILSJTOZ,O,O,X,X,X
ILSJZTO,O,O,X,O,O
ILSJZOT,O,O,X,X,O
ILSJOTZ,X,O,X,X,X
ILSJOZT,X,O,X,X,X
ILSZTJO,O,X,X,O,O
ILSZTOJ,O,X,X,O,O
ILSZJTO,O,X,X,O,O
ILSZJOT,O,X,X,X,O
ILSZOTJ,O,X,X,X,O
ILSZOJT,O,X,X,X,O
ILSOTJZ,O,O,X,X,X
ILSOTZJ,O,X,X,X,O
ILSOJTZ,X,O,X,X,X
ILSOJZT,X,O,X,X,X
ILSOZTJ,O,X,X,X,O
ILSOZJT,O,X,X,X,O
ILZTJSO,O,O,X,O,O
ILZTJOS,O,O,X,O,O
ILZTSJO,O,X,X,O,O
ILZTSOJ,O,X,X,O,O
ILZTOJS,O,O,X,O,O
ILZTOSJ,O,X,X,O,O
ILZJTSO,O,O,X,O,O
ILZJTOS,O,O,X,O,O
ILZJSTO,O,O,X,O,O
ILZJSOT,O,O,X,X,O
ILZJOTS,O,O,X,O,O
ILZJOST,O,O,X,X,O
ILZSTJO,O,X,X,O,O
ILZSTOJ,O,X,X,O,O
ILZSJTO,O,X,X,O,O
ILZSJOT,O,X,X,X,O
ILZSOTJ,O,X,X,X,O
ILZSOJT,O,X,X,X,O
ILZOTJS,O,O,X,O,O
ILZOTSJ,O,X,X,O,O
ILZOJTS,O,O,X,O,O
ILZOJST,O,O,X,X,O
ILZOSTJ,O,X,X,X,O
ILZOSJT,O,X,X,X,O
ILOTJSZ,X,O,X,X,X
ILOTJZS,X,O,X,O,X
ILOTSJZ,X,O,X,X,X
ILOTSZJ,X,X,X,X,O
ILOTZJS,X,O,X,O,O
ILOTZSJ,X,X,X,O,O
ILOJTSZ,X,O,X,X,X
ILOJTZS,X,O,X,O,X
ILOJSTZ,X,O,X,X,X
ILOJSZT,X,O,X,X,X
ILOJZTS,X,O,X,O,X
ILOJZST,X,O,X,X,X
ILOSTJZ,X,O,X,X,X
ILOSTZJ,X,X,X,X,O
ILOSJTZ,X,O,X,X,X
ILOSJZT,X,O,X,X,X
ILOSZTJ,X,X,X,X,O
ILOSZJT,X,X,X,X,O
ILOZTJS,X,O,X,O,O
ILOZTSJ,X,X,X,O,O
ILOZJTS,X,O,X,O,O
ILOZJST,X,O,X,X,O
ILOZSTJ,X,X,X,X,O
ILOZSJT,X,X,X,X,O
IJTLSZO,O,O,O,O,O
IJTLSOZ,O,O,O,X,X
IJTLZSO,O,O,O,O,O
IJTLZOS,O,O,X,O,O
IJTLOSZ,X,O,X,X,X
IJTLOZS,X,O,X,O,X
IJTSLZO,O,O,O,O,O
IJTSLOZ,O,O,O,X,X
IJTSZLO,O,O,O,O,O
IJTSZOL,O,X,O,O,O
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,X,O,X,X
IJTZLSO,O,O,O,O,O
IJTZLOS,O,O,X,O,O
IJTZSLO,O,O,O,O,O
IJTZSOL,O,X,O,O,O
IJTZOLS,O,O,X,O,O
IJTZOSL,O,X,O,O,O
IJTOLSZ,X,O,X,X,X
IJTOLZS,X,O,X,O,X
IJTOSLZ,O,X,O,X,X
IJTOSZL,O,X,O,X,X
IJTOZLS,O,O,X,O,X
IJTOZSL,O,X,O,O,X
IJLTSZO,X,O,O,O,O
IJLTSOZ,X,O,O,X,X
IJLTZSO,X,O,O,O,O
IJLTZOS,X,O,X,O,O
IJLTOSZ,X,O,X,X,X
IJLTOZS,X,O,X,O,X
IJLSTZO,X,O,O,O,O
IJLSTOZ,X,O,O,X,X
IJLSZTO,X,O,O,O,O
IJLSZOT,X,O,X,X,O
IJLSOTZ,X,O,O,X,X
IJLSOZT,X,O,X,X,X
IJLZTSO,X,O,X,O,O
IJLZTOS,X,O,X,O,O
IJLZSTO,X,O,X,O,O
IJLZSOT,X,O,X,X,O
IJLZOTS,X,O,X,O,O
IJLZOST,X,O,X,X,O
IJLOTSZ,X,O,X,X,X
IJLOTZS,X,O,X,O,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,X,O,X,O,X
IJLOZST,X,O,X,X,X
IJSTLZO,O,O,O,O,O
IJSTLOZ,O,O,O,X,X
IJSTZLO,O,O,O,O,O
IJSTZOL,O,X,O,O,O
IJSTOLZ,O,X,O,X,X
IJSTOZL,O,X,O,X,X
IJSLTZO,O,O,O,O,O
IJSLTOZ,O,O,O,X,X
IJSLZTO,O,O,O,O,O
IJSLZOT,O,O,X,X,O
IJSLOTZ,X,O,O,X,X
IJSLOZT,X,O,X,X,X
IJSZTLO,O,O,O,O,O
IJSZTOL,O,X,O,O,O
IJSZLTO,O,O,O,O,O
IJSZLOT,O,O,X,X,O
IJSZOTL,O,X,X,O,O
IJSZOLT,O,O,X,X,O
IJSOTLZ,X,X,O,X,X
IJSOTZL,X,X,O,X,X
IJSOLTZ,X,O,O,X,X
IJSOLZT,X,O,X,X,X
IJSOZTL,X,X,X,X,X
IJSOZLT,X,O,X,X,X
IJZTLSO,O,O,O,O,O
IJZTLOS,O,O,X,O,O
IJZTSLO,O,O,O,O,O
IJZTSOL,O,X,O,O,O
IJZTOLS,O,O,X,O,O
IJZTOSL,O,X,O,O,O
IJZLTSO,O,O,X,O,O
IJZLTOS,O,O,X,O,O
IJZLSTO,O,O,X,O,O
IJZLSOT,O,O,X,X,O
IJZLOTS,O,O,X,O,O
IJZLOST,O,O,X,X,O
IJZSTLO,O,O,O,O,O
IJZSTOL,O,X,O,O,O
IJZSLTO,O,O,O,O,O
IJZSLOT,O,O,X,X,O
IJZSOTL,O,X,X,O,O
IJZSOLT,O,O,X,X,O
IJZOTLS,O,O,X,O,O
IJZOTSL,O,X,X,O,O
IJZOLTS,O,O,X,O,O
IJZOLST,O,O,X,X,O
IJZOSTL,O,X,X,O,O
IJZOSLT,O,O,X,X,O
IJOTLSZ,X,O,X,X,X
IJOTLZS,X,O,X,O,X
IJOTSLZ,X,X,O,X,X
IJOTSZL,X,X,O,X,X
IJOTZLS,X,O,X,O,X
IJOTZSL,X,X,O,O,X
IJOLTSZ,X,O,X,X,X
IJOLTZS,X,O,X,O,X
IJOLSTZ,X,O,X,X,X
IJOLSZT,X,O,X,X,X
IJOLZTS,X,O,X,O,X
IJOLZST,X,O,X,X,X
IJOSTLZ,X,X,O,X,X
IJOSTZL,X,X,O,X,X
IJOSLTZ,X,O,O,X,X
IJOSLZT,X,O,X,X,X
IJOSZTL,X,X,X,X,X
IJOSZLT,X,O,X,X,X
IJOZTLS,X,O,X,O,X
IJOZTSL,X,X,X,O,X
IJOZLTS,X,O,X,O,X
IJOZLST,X,O,X,X,X
IJOZSTL,X,X,X,O,X
IJOZSLT,X,O,X,X,X
ISTLJZO,O,O,O,O,O
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,X,O,O,O
ISTLZOJ,O,X,O,O,O
ISTLOJZ,O,O,O,X,X
ISTLOZJ,O,X,O,X,O
ISTJLZO,O,O,O,O,O
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,O,O
ISTJZOL,O,X,O,O,O
ISTJOLZ,O,X,O,X,X
ISTJOZL,O,X,O,X,X
ISTZLJO,O,X,O,O,O
ISTZLOJ,O,X,O,O,O
ISTZJLO,O,X,O,O,O
ISTZJOL,O,X,O,O,O
ISTZOLJ,O,X,O,O,O
ISTZOJL,O,X,X,O,O
ISTOLJZ,O,X,O,X,X
ISTOLZJ,O,X,O,X,O
ISTOJLZ,O,X,O,X,X
ISTOJZL,O,X,O,X,X
ISTOZLJ,O,X,O,X,O
ISTOZJL,O,X,O,X,O
ISLTJZO,O,O,O,O,O
ISLTJOZ,O,O,O,X,X
ISLTZJO,O,X,O,O,O
ISLTZOJ,O,X,O,O,O
ISLTOJZ,O,O,O,X,X
ISLTOZJ,O,X,O,X,O
ISLJTZO,O,O,O,O,O
ISLJTOZ,O,O,O,X,X
ISLJZTO,O,O,O,O,O
ISLJZOT,O,O,X,X,O
ISLJOTZ,X,O,O,X,X
ISLJOZT,X,O,X,X,X
ISLZTJO,O,X,X,O,O
ISLZTOJ,O,X,X,O,O
ISLZJTO,O,X,X,O,O
ISLZJOT,O,X,X,X,O
ISLZOTJ,O,X,X,X,O
ISLZOJT,O,X,X,X,O
ISLOTJZ,O,O,O,X,X
ISLOTZJ,O,X,O,X,O
ISLOJTZ,X,O,O,X,X
ISLOJZT,X,O,O,X,X
ISLOZTJ,O,X,X,X,O
ISLOZJT,O,X,X,X,O
ISJTLZO,O,O,O,O,O
ISJTLOZ,O,O,O,X,X
ISJTZLO,O,O,O,O,O
ISJTZOL,O,X,O,O,O
ISJTOLZ,O,X,O,X,X
ISJTOZL,O,X,O,X,X
ISJLTZO,O,O,O,O,O
ISJLTOZ,O,O,O,X,X
ISJLZTO,O,O,O,O,O
ISJLZOT,O,O,X,X,O
ISJLOTZ,X,O,O,X,X
ISJLOZT,X,O,X,X,X
ISJZTLO,O,O,O,O,O
ISJZTOL,O,X,O,O,O
ISJZLTO,O,O,O,O,O
ISJZLOT,O,O,X,X,O
ISJZOTL,O,X,X,O,O
ISJZOLT,O,O,X,X,O
ISJOTLZ,X,X,O,X,X
ISJOTZL,X,X,O,X,X
ISJOLTZ,X,O,O,X,X
ISJOLZT,X,O,X,X,X
ISJOZTL,X,X,X,X,X
ISJOZLT,X,O,X,X,X
ISZTLJO,O,X,X,O,O
ISZTLOJ,O,X,X,O,O
ISZTJLO,O,X,X,O,O
ISZTJOL,O,X,X,O,O
ISZTOLJ,O,X,X,O,O
ISZTOJL,O,X,X,O,O
ISZLTJO,O,X,X,O,O
ISZLTOJ,O,X,X,O,O
ISZLJTO,O,X,X,O,O
ISZLJOT,O,X,X,X,O
ISZLOTJ,O,X,X,X,O
ISZLOJT,O,X,X,X,O
ISZJTLO,O,X,X,O,O
ISZJTOL,O,X,X,O,O
ISZJLTO,O,X,X,O,O
ISZJLOT,O,X,X,X,O
ISZJOTL,O,X,X,O,O
ISZJOLT,O,X,X,X,O
ISZOTLJ,O,X,X,O,O
ISZOTJL,O,X,X,O,O
ISZOLTJ,O,X,X,X,O
ISZOLJT,O,X,X,X,O
ISZOJTL,O,X,X,O,O
ISZOJLT,O,X,X,X,O
ISOTLJZ,O,X,O,X,X
ISOTLZJ,O,X,O,X,O
ISOTJLZ,O,X,O,X,X
ISOTJZL,O,X,O,X,X
ISOTZLJ,O,X,O,X,O
ISOTZJL,O,X,O,X,O
ISOLTJZ,O,O,O,X,X
ISOLTZJ,O,X,O,X,O
ISOLJTZ,X,O,O,X,X
ISOLJZT,X,O,O,X,X
ISOLZTJ,O,X,X,X,O
ISOLZJT,O,X,X,X,O
ISOJTLZ,X,X,O,X,X
ISOJTZL,X,X,O,X,X
ISOJLTZ,X,O,O,X,X
ISOJLZT,X,O,O,X,X
ISOJZTL,X,X,O,X,X
ISOJZLT,X,O,O,X,X
ISOZTLJ,O,X,X,X,O
ISOZTJL,O,X,X,X,O
ISOZLTJ,O,X,X,X,O
ISOZLJT,O,X,X,X,O
ISOZJTL,O,X,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,O,O,X,O,O
IZTLJOS,O,O,X,O,O
IZTLSJO,O,X,X,O,O
IZTLSOJ,O,X,X,O,O
IZTLOJS,O,O,X,O,O
IZTLOSJ,O,X,X,O,O
IZTJLSO,O,O,X,O,O
IZTJLOS,O,O,X,O,O
IZTJSLO,O,O,X,O,O
IZTJSOL,O,X,X,O,O
IZTJOLS,O,O,X,O,O
IZTJOSL,O,X,X,O,O
IZTSLJO,O,X,X,O,O
IZTSLOJ,O,X,X,O,O
IZTSJLO,O,X,X,O,O
IZTSJOL,O,X,X,O,O
IZTSOLJ,O,X,X,O,O
IZTSOJL,O,X,X,O,O
IZTOLJS,O,X,X,O,O
IZTOLSJ,O,X,X,O,O
IZTOJLS,O,X,X,O,O
IZTOJSL,O,X,X,O,O
IZTOSLJ,O,X,X,O,O
IZTOSJL,O,X,X,O,O
IZLTJSO,O,O,X,O,O
IZLTJOS,O,O,X,O,O
IZLTSJO,O,X,X,O,O
IZLTSOJ,O,X,X,O,O
IZLTOJS,O,O,X,O,O
IZLTOSJ,O,X,X,O,O
IZLJTSO,O,O,X,O,O
IZLJTOS,O,O,X,O,O
IZLJSTO,O,O,X,O,O
IZLJSOT,O,O,X,X,O
IZLJOTS,O,O,X,O,O
IZLJOST,O,O,X,X,O
IZLSTJO,O,X,X,O,O
IZLSTOJ,O,X,X,O,O
IZLSJTO,O,X,X,O,O
IZLSJOT,O,X,X,X,O
IZLSOTJ,O,X,X,X,O
IZLSOJT,O,X,X,X,O
IZLOTJS,O,O,X,O,O
IZLOTSJ,O,X,X,O,O
IZLOJTS,O,O,X,O,O
IZLOJST,O,O,X,X,O
IZLOSTJ,O,X,X,X,O
IZLOSJT,O,X,X,X,O
IZJTLSO,O,O,X,O,O
IZJTLOS,O,O,X,O,O
IZJTSLO,O,O,X,O,O
IZJTSOL,O,X,X,O,O
IZJTOLS,O,O,X,O,O
IZJTOSL,O,X,X,O,O
IZJLTSO,O,O,X,O,O
IZJLTOS,O,O,X,O,O
IZJLSTO,O,O,X,O,O
IZJLSOT,O,O,X,X,O
IZJLOTS,O,O,X,O,O
IZJLOST,O,O,X,X,O
IZJSTLO,O,O,X,O,O
IZJSTOL,O,X,X,O,O
IZJSLTO,O,O,X,O,O
IZJSLOT,O,O,X,X,O
IZJSOTL,O,X,X,O,O
IZJSOLT,O,O,X,X,O
IZJOTLS,O,O,X,O,O
IZJOTSL,O,X,X,O,O
IZJOLTS,O,O,X,O,O
IZJOLST,O,O,X,X,O
IZJOSTL,O,X,X,O,O
IZJOSLT,O,O,X,X,O
IZSTLJO,O,X,X,O,O
IZSTLOJ,O,X,X,O,O
IZSTJLO,O,X,X,O,O
IZSTJOL,O,X,X,O,O
IZSTOLJ,O,X,X,O,O
IZSTOJL,O,X,X,O,O
IZSLTJO,O,X,X,O,O
IZSLTOJ,O,X,X,O,O
IZSLJTO,O,X,X,O,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,O,X,X,X,O
IZSLOJT,O,X,X,X,O
IZSJTLO,O,X,X,O,O
IZSJTOL,O,X,X,O,O
IZSJLTO,O,X,X,O,O
IZSJLOT,O,X,X,X,O
IZSJOTL,O,X,X,O,O
IZSJOLT,O,X,X,X,O
IZSOTLJ,O,X,X,O,O
IZSOTJL,O,X,X,O,O
IZSOLTJ,O,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,O,X,X,O,O
IZSOJLT,O,X,X,X,O
IZOTLJS,O,X,X,O,O
IZOTLSJ,O,X,X,O,O
IZOTJLS,O,X,X,O,O
IZOTJSL,O,X,X,O,O
IZOTSLJ,O,X,X,O,O
IZOTSJL,O,X,X,O,O
IZOLTJS,O,O,X,O,O
IZOLTSJ,O,X,X,O,O
IZOLJTS,O,O,X,O,O
IZOLJST,O,O,X,X,O
IZOLSTJ,O,X,X,X,O
IZOLSJT,O,X,X,X,O
IZOJTLS,O,O,X,O,O
IZOJTSL,O,X,X,O,O
IZOJLTS,O,O,X,O,O
IZOJLST,O,O,X,X,O
IZOJSTL,O,X,X,O,O
IZOJSLT,O,O,X,X,O
IZOSTLJ,O,X,X,O,O
IZOSTJL,O,X,X,O,O
IZOSLTJ,O,X,X,X,O
IZOSLJT,O,X,X,X,O
IZOSJTL,O,X,X,O,O
IZOSJLT,O,X,X,X,O
IOTLJSZ,X,O,X,X,X
IOTLJZS,X,O,X,O,X
IOTLSJZ,X,O,X,X,X
IOTLSZJ,X,X,X,X,O
IOTLZJS,X,O,X,O,O
IOTLZSJ,X,X,X,O,O
IOTJLSZ,X,O,O,X,X
IOTJLZS,X,O,O,O,X
IOTJSLZ,O,X,O,X,X
IOTJSZL,O,X,O,X,X
IOTJZLS,O,O,O,O,X
IOTJZSL,O,X,O,O,X
IOTSLJZ,O,X,O,X,X
IOTSLZJ,O,X,O,X,O
IOTSJLZ,O,X,O,X,X
IOTSJZL,O,X,O,X,X
IOTSZLJ,O,X,O,X,O
IOTSZJL,O,X,O,X,O
IOTZLJS,O,X,O,O,O
IOTZLSJ,O,X,O,O,O
IOTZJLS,O,X,O,O,O
IOTZJSL,O,X,O,O,O
IOTZSLJ,O,X,O,O,O
IOTZSJL,O,X,O,O,O
IOLTJSZ,X,O,X,X,X
IOLTJZS,X,O,X,O,X
IOLTSJZ,X,O,X,X,X
IOLTSZJ,X,X,X,X,O
IOLTZJS,X,O,X,O,O
IOLTZSJ,X,X,X,O,O
IOLJTSZ,X,O,X,X,X
IOLJTZS,X,O,X,O,X
IOLJSTZ,X,O,X,X,X
IOLJSZT,X,O,X,X,X
IOLJZTS,X,O,X,O,X
IOLJZST,X,O,X,X,X
IOLSTJZ,X,O,X,X,X
IOLSTZJ,X,X,X,X,O
IOLSJTZ,X,O,X,X,X
IOLSJZT,X,O,X,X,X
IOLSZTJ,X,X,X,X,O
IOLSZJT,X,X,X,X,O
IOLZTJS,X,O,X,O,O
IOLZTSJ,X,X,X,O,O
IOLZJTS,X,O,X,O,O
IOLZJST,X,O,X,X,O
IOLZSTJ,X,X,X,X,O
IOLZSJT,X,X,X,X,O
IOJTLSZ,X,O,O,X,X
IOJTLZS,X,O,O,O,X
IOJTSLZ,X,X,O,X,X
IOJTSZL,X,X,O,X,X
IOJTZLS,X,O,O,O,X
IOJTZSL,X,X,O,O,X
IOJLTSZ,X,O,O,X,X
IOJLTZS,X,O,O,O,X
IOJLSTZ,X,O,O,X,X
IOJLSZT,X,O,O,X,X
IOJLZTS,X,O,X,O,X
IOJLZST,X,O,X,X,X
IOJSTLZ,X,X,O,X,X
IOJSTZL,X,X,O,X,X
IOJSLTZ,X,O,O,X,X
IOJSLZT,X,O,O,X,X
IOJSZTL,X,X,O,X,X
IOJSZLT,X,O,O,X,X
IOJZTLS,X,O,O,O,X
IOJZTSL,X,X,O,O,X
IOJZLTS,X,O,X,O,X
IOJZLST,X,O,X,X,X
IOJZSTL,X,X,O,O,X
IOJZSLT,X,O,O,X,X
IOSTLJZ,O,X,O,X,X
IOSTLZJ,O,X,O,X,O
IOSTJLZ,O,X,O,X,X
IOSTJZL,O,X,O,X,X
IOSTZLJ,O,X,O,X,O
IOSTZJL,O,X,O,X,O
IOSLTJZ,O,O,O,X,X
IOSLTZJ,O,X,O,X,O
IOSLJTZ,X,O,O,X,X
IOSLJZT,X,O,O,X,X
IOSLZTJ,O,X,X,X,O
IOSLZJT,O,X,X,X,O
IOSJTLZ,X,X,O,X,X
IOSJTZL,X,X,O,X,X
IOSJLTZ,X,O,O,X,X
IOSJLZT,X,O,O,X,X
IOSJZTL,X,X,O,X,X
IOSJZLT,X,O,O,X,X
IOSZTLJ,O,X,X,X,O
IOSZTJL,O,X,X,X,O
IOSZLTJ,O,X,X,X,O
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,X,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,O,X,X,O,O
IOZTLSJ,O,X,X,O,O
IOZTJLS,O,X,X,O,O
IOZTJSL,O,X,X,O,O
IOZTSLJ,O,X,X,O,O
IOZTSJL,O,X,X,O,O
IOZLTJS,O,O,X,O,O
IOZLTSJ,O,X,X,O,O
IOZLJTS,O,O,X,O,O
IOZLJST,O,O,X,X,O
IOZLSTJ,O,X,X,X,O
IOZLSJT,O,X,X,X,O
IOZJTLS,O,O,X,O,O
IOZJTSL,O,X,X,O,O
IOZJLTS,O,O,X,O,O
IOZJLST,O,O,X,X,O
IOZJSTL,O,X,X,O,O
IOZJSLT,O,O,X,X,O
IOZSTLJ,O,X,X,O,O
IOZSTJL,O,X,X,O,O
IOZSLTJ,O,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,O,X,X,O,O
IOZSJLT,O,X,X,X,O
LTIJSZO,O,O,X,O,O
LTIJSOZ,O,O,X,X,X
LTIJZSO,O,O,X,O,O
LTIJZOS,O,O,X,O,O
LTIJOSZ,X,O,X,X,X
LTIJOZS,X,O,X,O,X
LTISJZO,O,O,X,O,O
LTISJOZ,O,O,X,X,X
LTISZJO,O,X,X,O,O
LTISZOJ,O,X,X,O,O
LTISOJZ,O,O,X,X,X
LTISOZJ,O,X,X,X,O
LTIZJSO,O,O,X,O,O
LTIZJOS,O,O,X,O,O
LTIZSJO,O,X,X,O,O
LTIZSOJ,O,X,X,O,O
LTIZOJS,O,O,X,O,O
LTIZOSJ,O,X,X,O,O
LTIOJSZ,X,O,X,X,X
LTIOJZS,X,O,X,O,X
LTIOSJZ,X,O,X,X,X
LTIOSZJ,X,X,X,X,O
LTIOZJS,X,O,X,O,O
LTIOZSJ,X,X,X,O,O
LTJISZO,O,O,O,O,O
LTJISOZ,O,O,O,X,X
LTJIZSO,O,O,O,O,O
LTJIZOS,O,O,X,O,O
LTJIOSZ,X,O,X,X,X
LTJIOZS,X,O,X,O,X
LTJSIZO,O,O,O,O,O
LTJSIOZ,O,O,O,X,X
LTJSZIO,O,O,O,X,O
LTJSZOI,X,O,O,X,O
LTJSOIZ,O,O,O,X,X
LTJSOZI,X,O,O,X,X
LTJZISO,X,O,O,O,O
LTJZIOS,X,O,X,O,O
LTJZSIO,X,O,O,O,O
LTJZSOI,X,O,O,O,O
LTJZOIS,X,O,X,O,O
LTJZOSI,X,O,X,O,O
LTJOISZ,X,O,X,X,X
LTJOIZS,X,O,X,O,X
LTJOSIZ,X,O,X,X,X
LTJOSZI,X,O,X,X,X
LTJOZIS,X,O,X,X,X
LTJOZSI,X,O,X,X,X
LTSIJZO,O,O,O,O,O
LTSIJOZ,O,O,O,X,X
