sequence,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFTiB6oB/qB8?sBmrBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFOmBxiBfsBS?tB0qBlsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFVnBilBXoBG?oBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFihB1rBxnBG?oB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF0iB6oBTlBX?rBlsBmrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF8mBSoBlqBx?sBOrB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JelAJvhFziB+oB/qBx?rBirBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF0iB6oBxqBl?sBmrBXrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeGDJvhFxlBXnBVtBi?lBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF8mBfoB6oBm?qBTsBlqB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFBJvhFxiBSsBToBm?qB/qBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeyGJvhFGjBUoBxqBT?sB/qBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFXiB+oBilBz?qBFsB8sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFlhB2rBxnBS?tB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFDJvhFxlBXnBStBT?lBerBUsB
TLSIOZJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TLSJIZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
TLSJZIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TLSZIOJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TLSZJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
TLSOIZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TLSOJIZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZISJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZISOJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLZIOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TLZSIOJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TLZSJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOISJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZOJIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
TLOIJZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOISJZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TLOISZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOSIJZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O
TLOSIZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TLOSJZI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOSZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TLOZISJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZJIS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOZSIJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TJISOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TJIZOLS,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJIZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TJIOLSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TJIOSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TJIOZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJLIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJSILZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSIZLO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
TJSIOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSLIZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
TJSZLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TJSZOLI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSOIZL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TJSOLZI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSOZIL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSOZLI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TJZILOS,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJZISLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TJZIOLS,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJZIOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TJZLISO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZLIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJZLSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
