sequence,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBRlBznBF?mB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBFlB8qBz?nBGmBxwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeCBJvhFxiBUlB+sBT?oBXrBlrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeTCJvhF6oBFlBXmB8?sBGmBRwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFGjBUlB3mBV?tBzqBSxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFFjBUlBStBX?rBGrBTsB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhFRlBCoBFmBT?oB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je3BJvhFFjBStBxqBG?qBTsBUrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFTjBFlBGrBC?tBcsBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je8GJvhFziB+oBRlB1?qBSxBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhF+oBUlBlnBT?rBCrB3sB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je1GJvhFXjBStBxqBG?qBUrBTsB
TILOSJZ,X,O,X,X,X,X,X,O,X,X,X,O
TILOSZJ,X,O,X,O,X,X,X,O,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,O,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,O,X,X,X,X
TIJLSZO,X,X,X,O,X,X,O,X,O,X,X,O
TIJLSOZ,X,X,X,X,X,X,O,X,O,X,X,O
TIJLZSO,X,X,X,O,X,X,X,X,O,X,X,O
TIJLZOS,X,X,X,O,X,X,X,X,O,O,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,O,X,X,O
TIJLOZS,X,X,X,X,X,X,X,X,O,O,X,X
TIJSLZO,X,X,X,O,O,X,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,O,O,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,O,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,O,O,X,X,X,X,X,X,X
TIJZSOL,X,O,X,O,O,X,X,X,X,X,X,X
TIJZOLS,X,O,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,O,X,X,X,X,X,X,O
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X,O
TISLZJO,X,X,X,O,X,X,X,X,X,X,X,O
TISLZOJ,X,O,X,O,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,O
TISLOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,O,O,X,O,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,X
TISJZLO,X,X,X,O,O,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,O,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,O,X,X,X,X,X,X,X
TISZLJO,X,X,X,O,O,X,X,X,X,X,X,X
TISZLOJ,X,O,X,O,O,X,X,X,X,X,X,X
TISZJLO,X,X,X,O,O,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,O,X,X,X,X,X,X,X
TISZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,O,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X,X,X,O
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X,X,X,O
TIZLSOJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,O,X,O,X,X,X,X,X
TIZJSOL,O,O,X,O,O,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,O,X,O,X,X,X,X,X
TIZSJOL,O,O,X,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,O,X,X,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,O
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,O,X,X,X,X,O,X,X,O
TLIJSOZ,X,X,X,X,X,X,X,O,O,X,X,O
TLIJZSO,X,X,X,O,X,X,X,X,O,X,X,O
TLIJZOS,X,X,X,O,X,X,X,O,O,O,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,O,X,X,O
TLIJOZS,X,X,X,X,X,X,X,O,O,O,X,X
TLISJZO,X,X,X,O,X,X,X,X,X,X,X,O
TLISJOZ,X,X,X,X,X,X,X,O,X,X,X,O
TLISZJO,X,X,X,O,X,O,X,X,X,X,X,O
TLISZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,O,X,X,X,O
TLISOZJ,X,O,X,O,X,X,X,O,X,X,X,X
TLIZJSO,X,X,X,O,X,X,X,X,X,X,X,O
TLIZJOS,X,X,X,O,X,X,X,O,X,O,X,X
TLIZSJO,X,X,X,O,X,O,X,X,X,X,X,O
TLIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,X,O,X,O,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,O,O,X,X,O
TLIOJZS,X,O,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,O,X,X,X,O
TLIOSZJ,X,O,X,O,X,X,X,O,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,O,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,O,X,X,O
TLJISOZ,X,X,X,X,X,X,X,O,O,X,X,O
TLJIZSO,X,X,X,O,X,X,X,X,O,X,X,O
TLJIZOS,X,X,X,O,X,X,X,O,O,O,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,O,X,X,O
TLJIOZS,X,X,X,X,X,X,X,O,O,O,X,X
TLJSIZO,X,X,X,X,O,X,X,X,O,X,X,O
TLJSIOZ,X,X,X,X,X,X,X,X,O,X,X,O
TLJSZIO,X,X,X,X,O,O,X,X,O,X,X,X
TLJSZOI,X,X,X,X,O,O,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,O,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,O,O,X,X
TLJZSIO,X,X,X,X,O,O,X,X,O,X,X,X
TLJZSOI,X,X,X,X,O,O,X,X,O,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,O,O,X,X
TLJZOSI,X,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,O,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,O,O,X,X
TLJOZSI,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,X,X,X,O,O,X,X,X,X,X,X,O
TLSIJOZ,X,X,X,X,X,X,X,O,X,X,X,O
TLSIZJO,X,X,X,O,X,O,X,X,X,X,X,O
TLSIZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,O,X,X,X,O
TLSIOZJ,X,O,X,O,X,X,X,O,X,X,X,X
TLSJIZO,X,X,X,X,O,X,X,X,O,X,X,O
TLSJIOZ,X,X,X,X,X,X,X,X,O,X,X,O
TLSJZIO,X,X,X,X,O,O,X,X,O,X,X,X
TLSJZOI,X,X,X,X,O,O,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,X,X,X,X,O,O,X,X,X,X,X,O
TLSZIOJ,X,X,X,X,O,O,X,X,X,X,X,X
TLSZJIO,X,X,X,X,O,O,X,X,X,X,X,X
TLSZJOI,X,X,X,X,O,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,O,O,X,X,X,X,X,X
TLSZOJI,X,O,X,X,O,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X,X,X,X,X,O
TLSOIZJ,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X,X,O,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,O,X,X,X,O,X,X,X,X,X,X
TLSOZJI,X,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,X,X,X,O,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,O,X,X,X,O,X,O,X,X
TLZISJO,X,X,X,O,X,O,X,X,X,X,X,O
TLZISOJ,X,O,X,O,X,O,X,X,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,O,X,X,X,X
TLZIOSJ,X,O,X,O,X,X,X,O,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,O,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,O,O,X,X
TLZJSIO,X,X,X,X,O,O,X,X,O,X,X,X
TLZJSOI,X,X,X,X,O,O,X,X,O,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,O,O,X,X
TLZJOSI,X,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,X,X,X,X,O,O,X,X,X,X,X,O
TLZSIOJ,X,X,X,X,O,O,X,X,X,X,X,X
TLZSJIO,X,X,X,X,O,O,X,X,X,X,X,X
TLZSJOI,X,X,X,X,O,O,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,O,O,X,X,X,X,X,X
TLZSOJI,X,O,X,X,O,O,X,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,X,O,X,X,X,O,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,O,O,X,X,O
TLOIJZS,X,O,X,X,X,X,X,O,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X,O,X,X,X,O
TLOISZJ,X,O,X,O,X,X,X,O,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,X,O,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,O,X,X,X
TLOJIZS,X,O,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,X,X,X,X,O,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,X,X,O,X,X,X,X,X,X
TLOSZJI,X,O,X,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,O,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,O,X,X,X
TLOZSIJ,X,O,X,X,X,O,X,X,X,X,X,X
TLOZSJI,X,O,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,X,X,O,X,X,O,X,O,X,X,O
TJILSOZ,X,X,X,X,X,X,O,X,O,X,X,O
TJILZSO,X,X,X,O,X,X,X,X,O,X,X,O
TJILZOS,X,X,X,O,X,X,X,X,O,O,X,X
TJILOSZ,X,X,X,X,X,X,X,X,O,X,X,O
TJILOZS,X,X,X,X,X,X,X,X,O,O,X,X
TJISLZO,X,X,X,O,O,X,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,O,O,O,X,X,X,X,X,X,X
TJISZOL,X,O,X,O,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,O,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,X,O,O,X,X,X,X,X,X,X,X
TJIZLOS,X,X,O,O,X,X,X,X,X,X,X,X
TJIZSLO,X,X,O,O,O,X,X,X,X,X,X,X
TJIZSOL,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,X,O,X,O,X,X,X,X,X,X,O,X
TJIZOSL,X,O,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X,X,O,X
TJIOZSL,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,O,X,X,O,X,O,X,X,O
TJLISOZ,X,X,X,X,X,X,O,X,O,X,X,O
TJLIZSO,X,X,X,O,X,X,X,X,O,X,X,O
TJLIZOS,X,X,X,O,X,X,X,X,O,O,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,O,X,X,O
TJLIOZS,X,X,X,X,X,X,X,X,O,O,X,X
TJLSIZO,X,X,X,X,O,X,O,X,O,X,X,O
TJLSIOZ,X,X,X,X,X,X,O,X,O,X,X,O
TJLSZIO,X,X,X,X,O,X,O,X,O,X,X,X
TJLSZOI,X,X,X,X,O,X,X,X,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,O,X,O,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,O,O,X,X
TJLZSIO,X,X,X,X,O,X,O,X,O,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X,O,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,O,O,O,X
TJLZOSI,X,X,X,X,X,X,X,X,O,X,O,X
TJLOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,O,O,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,O,O,O,X
TJLOZSI,X,X,X,X,X,X,X,X,O,X,O,X
TJSILZO,X,X,X,X,O,X,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,X,X,X,X
TJSIZLO,X,X,O,X,O,X,X,X,X,X,X,X
TJSIZOL,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,O,X,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,O,X,O,X,O,X,X,X
TJSLIOZ,X,X,X,X,X,X,O,X,O,X,X,X
TJSLZIO,X,X,X,X,O,X,O,X,O,X,X,X
TJSLZOI,X,X,X,X,O,X,X,X,O,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,X,X,O,X,O,X,O,X,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,X,X,X,X,X
TJSZLIO,X,X,O,X,O,X,O,X,X,X,X,X
TJSZLOI,X,X,O,X,O,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,X,X,X,X
TJSZOLI,O,O,O,X,O,X,X,X,X,X,O,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,O,O,X,O,X,X,X,X,X,O,X
TJZILSO,X,X,O,X,X,X,O,X,X,X,X,X
TJZILOS,X,X,O,X,X,X,X,X,X,X,X,X
TJZISLO,X,X,O,X,O,X,O,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X,X,X,X,O,X
TJZIOSL,O,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,O,X,O,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,O,X,X,X
TJZLSIO,X,X,X,X,O,X,O,X,O,X,X,X
TJZLSOI,X,X,X,X,O,X,X,X,O,X,X,X
TJZLOIS,X,X,O,X,X,X,X,X,O,X,O,X
TJZLOSI,X,X,X,X,X,X,X,X,O,X,O,X
TJZSILO,X,X,O,X,O,X,O,X,X,X,X,X
TJZSIOL,O,X,X,X,O,X,X,X,X,X,X,X
TJZSLIO,X,X,O,X,O,X,O,X,X,X,X,X
TJZSLOI,X,X,O,X,O,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,O,X,X,X,X,X,X,X
TJZSOLI,O,O,O,X,O,X,X,X,X,X,O,X
TJZOILS,O,X,O,X,X,X,X,X,X,X,O,X
TJZOISL,O,X,O,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,X,X,X,X,X,X,O,X
TJZOLSI,O,O,X,X,X,X,X,X,X,X,O,X
TJZOSIL,O,X,O,X,O,X,X,X,X,X,X,X
TJZOSLI,O,O,O,X,O,X,X,X,X,X,O,X
TJOILSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,X,X,X,X,X
TJOIZLS,X,O,O,X,X,X,X,X,X,X,O,X
TJOIZSL,X,O,O,X,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X,O,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,O,O,X,X
TJOLSIZ,O,O,X,X,X,X,X,X,O,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,X,X,X,X,O,O,O,X
TJOLZSI,O,O,X,X,X,X,X,X,O,X,O,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,O,O,X,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,O,X,X,X,X,X,X,X
TJOSZLI,O,O,O,X,O,X,X,X,X,X,O,X
TJOZILS,O,X,O,X,X,X,X,X,X,X,O,X
TJOZISL,O,X,O,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X,O,X
TJOZLSI,O,O,X,X,X,X,X,X,X,X,O,X
TJOZSIL,O,X,O,X,O,X,X,X,X,X,X,X
TJOZSLI,O,O,O,X,O,X,X,X,X,X,O,X
TSILJZO,X,X,X,O,O,X,X,X,X,X,X,O
TSILJOZ,X,X,X,X,X,X,X,X,X,X,X,O
TSILZJO,X,X,X,O,X,X,X,X,X,X,X,O
TSILZOJ,X,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X,X,X,X,O
TSILOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,O,O,X,O,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,O,X,X,X,X,X
TSIJZLO,X,X,X,O,O,X,X,X,X,X,X,X
TSIJZOL,X,O,X,O,O,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,X,O,X,X,X,X,X,X,X
TSIZLJO,X,X,X,O,O,X,X,X,X,X,X,X
TSIZLOJ,X,O,X,O,O,X,X,X,X,X,X,X
TSIZJLO,X,X,X,O,O,X,X,X,X,X,X,X
TSIZJOL,X,O,X,O,O,X,X,X,X,X,X,X
TSIZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
TSIZOJL,X,O,X,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X,X,X,X
TSLIJZO,X,X,X,O,O,X,X,X,X,X,X,O
TSLIJOZ,X,X,X,X,X,X,X,X,X,X,X,O
TSLIZJO,X,X,X,O,X,O,X,X,X,X,X,O
TSLIZOJ,X,O,X,O,X,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X,X,X,X,X,O
TSLIOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,O,X,X,X,O,X,X,O
TSLJIOZ,X,X,X,X,X,X,X,X,O,X,X,O
TSLJZIO,X,X,X,X,O,O,X,X,O,X,X,X
TSLJZOI,X,X,X,X,O,O,X,X,O,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,X,O,X,X,X
