sequence,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFCgBmiB?/qBFmB0nBTrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBfmB?aoBGnB0qBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBGhB?/nBaoBlqBUrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflBlgB?cmBiiBznBWwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB0gB?aoBGnBzqBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBmiB?0nBlqBfrB6rB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB6lB?ThBmiB0nBVwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFThB/nB?aoBFlBUrBGqB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8Jex/IvhFynBOpB?/qBFmB0nBTrB
TLSZJIO,O,X,O,O,X,X,X,O,O
TLSZJOI,O,X,O,X,X,X,X,O,O
TLSZOIJ,O,X,O,O,X,X,X,O,X
TLSZOJI,O,X,O,X,X,X,X,O,X
TLSOIJZ,X,X,O,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,O,X
TLSOJIZ,X,X,O,X,O,X,X,X,O
TLSOJZI,X,X,O,X,O,X,X,X,O
TLSOZIJ,O,X,O,X,X,X,X,O,X
TLSOZJI,O,X,O,X,X,X,X,O,X
TLZIJSO,O,O,X,X,X,O,X,X,X
TLZIJOS,X,O,X,X,X,O,X,X,X
TLZISJO,O,X,X,O,X,O,X,O,X
TLZISOJ,O,X,X,O,X,O,X,O,X
TLZIOJS,X,O,X,X,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,O,X,O,X
TLZJISO,O,O,X,X,X,O,X,X,X
TLZJIOS,X,O,X,X,X,O,X,X,X
TLZJSIO,O,O,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,O,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,O,X
TLZSIOJ,O,X,X,O,X,X,X,O,X
TLZSJIO,O,X,X,O,X,X,X,O,X
TLZSJOI,O,X,X,X,X,X,X,O,X
TLZSOIJ,O,X,X,O,X,X,X,O,X
TLZSOJI,O,X,X,X,X,X,X,O,X
TLZOIJS,X,O,X,X,X,O,X,X,X
TLZOISJ,X,X,X,X,X,O,X,O,X
TLZOJIS,X,O,X,X,X,O,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,O,X
TLZOSJI,X,X,X,X,X,X,X,O,X
TLOIJSZ,X,X,O,X,O,X,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,O,X,X,X,X
TLOISZJ,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,X,X,X,O,X,X,X
TLOIZSJ,X,X,X,X,X,O,X,X,X
TLOJISZ,X,X,O,X,O,X,X,X,X
TLOJIZS,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,X,X,X,X
TLOJSZI,X,X,O,X,O,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,O,X,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,O,X,X,X,X
TLOSJZI,X,X,O,X,O,X,X,X,X
TLOSZIJ,X,X,O,X,X,X,X,X,X
TLOSZJI,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,X,X,X,O,X,X,X
TLOZISJ,X,X,X,X,X,O,X,X,X
TLOZJIS,X,O,X,X,X,O,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,X,X,O
TJILSOZ,X,X,O,X,O,X,X,X,O
TJILZSO,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,O,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,O,O
TJISLOZ,X,X,O,X,O,X,X,X,O
TJISZLO,X,X,O,X,X,X,X,O,O
TJISZOL,X,X,O,X,X,X,X,O,X
TJISOLZ,X,X,O,X,O,X,X,X,O
TJISOZL,X,X,O,X,O,X,X,X,X
TJIZLSO,X,O,X,X,X,O,X,X,X
TJIZLOS,X,O,X,X,X,O,X,X,X
TJIZSLO,X,O,O,X,X,O,X,O,X
TJIZSOL,X,O,O,X,X,O,X,O,X
TJIZOLS,X,O,X,X,X,O,X,X,X
TJIZOSL,X,O,O,X,X,O,X,O,X
TJIOLSZ,X,X,O,X,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,O,X,X,X
TJIOZSL,X,O,O,X,X,O,X,X,X
TJLISZO,X,X,O,X,X,X,X,X,O
TJLISOZ,X,X,O,X,O,X,X,X,O
TJLIZSO,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,O,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,X,X,X,O
TJLSIOZ,X,X,O,X,O,X,X,X,O
TJLSZIO,X,X,O,X,X,X,X,X,O
TJLSZOI,X,X,O,X,X,X,X,X,O
TJLSOIZ,X,X,O,X,O,X,X,X,O
TJLSOZI,X,X,O,X,O,X,X,X,O
TJLZISO,X,O,X,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,X,X,X
TJLZSIO,X,O,X,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,O,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,O,X,X,X,X
TJLOSZI,X,X,O,X,O,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,O,O
TJSILOZ,X,X,O,X,O,X,X,X,O
TJSIZLO,X,X,O,X,X,X,X,O,O
TJSIZOL,X,X,O,X,X,X,X,O,X
TJSIOLZ,X,X,O,X,O,X,X,X,O
TJSIOZL,X,X,O,X,O,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,O,O
TJSLIOZ,X,X,O,X,O,X,X,X,O
TJSLZIO,X,X,O,X,X,X,X,O,O
TJSLZOI,X,X,O,X,X,X,X,O,O
TJSLOIZ,X,X,O,X,O,X,X,X,O
TJSLOZI,X,X,O,X,O,X,X,X,O
TJSZILO,X,X,O,X,X,X,X,O,O
TJSZIOL,X,X,O,X,X,X,X,O,X
TJSZLIO,X,X,O,X,X,X,X,O,O
TJSZLOI,X,X,O,X,X,X,X,O,O
TJSZOIL,X,X,O,X,X,X,X,O,X
TJSZOLI,X,X,O,X,X,X,X,O,X
TJSOILZ,X,X,O,X,O,X,X,X,O
TJSOIZL,X,X,O,X,O,X,X,X,X
TJSOLIZ,X,X,O,X,O,X,X,X,O
TJSOLZI,X,X,O,X,O,X,X,X,O
TJSOZIL,X,X,O,X,O,X,X,X,X
TJSOZLI,X,X,O,X,O,X,X,X,X
TJZILSO,X,O,X,X,X,O,X,X,X
TJZILOS,X,O,X,X,X,O,X,X,X
TJZISLO,X,O,O,X,X,O,X,O,X
TJZISOL,X,O,O,X,X,O,X,O,X
TJZIOLS,X,O,X,X,X,O,X,X,X
TJZIOSL,X,O,O,X,X,O,X,O,X
TJZLISO,X,O,X,X,X,O,X,X,X
TJZLIOS,X,O,X,X,X,O,X,X,X
TJZLSIO,X,O,X,X,X,X,X,X,X
TJZLSOI,X,O,X,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,O,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X,X
TJZSILO,X,O,O,X,X,O,X,O,X
TJZSIOL,X,O,O,X,X,O,X,O,X
TJZSLIO,X,O,O,X,X,X,X,O,X
TJZSLOI,X,O,O,X,X,X,X,O,X
TJZSOIL,X,O,O,X,X,O,X,O,X
TJZSOLI,X,O,O,X,X,X,X,O,X
TJZOILS,X,O,X,X,X,O,X,X,X
TJZOISL,X,O,O,X,X,O,X,O,X
TJZOLIS,X,O,X,X,X,O,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X,X
TJZOSIL,X,O,O,X,X,O,X,O,X
TJZOSLI,X,O,O,X,X,X,X,O,X
TJOILSZ,X,X,O,X,O,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X
TJOISLZ,X,X,O,X,O,X,X,X,X
TJOISZL,X,X,O,X,O,X,X,X,X
TJOIZLS,X,O,X,X,X,O,X,X,X
TJOIZSL,X,O,O,X,X,O,X,X,X
TJOLISZ,X,X,O,X,O,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,O,X,X,X,X
TJOLSZI,X,X,O,X,O,X,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X,X
TJOLZSI,X,O,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,O,X,X,X,X
TJOSIZL,X,X,O,X,O,X,X,X,X
TJOSLIZ,X,X,O,X,O,X,X,X,X
TJOSLZI,X,X,O,X,O,X,X,X,X
TJOSZIL,X,X,O,X,O,X,X,X,X
TJOSZLI,X,X,O,X,O,X,X,X,X
TJOZILS,X,O,X,X,X,O,X,X,X
TJOZISL,X,O,O,X,X,O,X,X,X
TJOZLIS,X,O,X,X,X,O,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X,X
TJOZSIL,X,O,O,X,X,O,X,X,X
TJOZSLI,X,O,O,X,X,X,X,X,X
TSILJZO,O,X,O,O,X,X,O,O,O
TSILJOZ,X,X,O,X,O,X,O,X,O
TSILZJO,O,X,O,O,X,X,O,O,X
TSILZOJ,O,X,O,O,X,X,O,O,X
TSILOJZ,X,X,O,X,O,X,O,X,X
TSILOZJ,O,X,O,X,X,X,O,O,X
TSIJLZO,O,X,O,O,X,X,O,O,O
TSIJLOZ,X,X,O,X,O,X,O,X,O
TSIJZLO,O,X,O,O,X,X,O,O,O
TSIJZOL,O,X,O,O,X,X,O,O,X
TSIJOLZ,X,X,O,O,O,X,O,X,O
TSIJOZL,X,X,O,O,O,X,O,X,X
TSIZLJO,O,X,O,O,X,O,O,O,X
TSIZLOJ,O,X,O,O,X,O,O,O,X
TSIZJLO,O,X,O,O,X,O,O,O,X
TSIZJOL,O,X,O,O,X,O,O,O,X
TSIZOLJ,O,X,O,O,X,O,O,O,X
TSIZOJL,O,X,O,O,X,O,O,O,X
TSIOLJZ,X,X,O,O,O,X,O,X,X
TSIOLZJ,O,X,O,O,X,X,O,O,X
TSIOJLZ,X,X,O,O,O,X,O,X,X
TSIOJZL,X,X,O,O,O,X,O,X,X
TSIOZLJ,O,X,O,O,X,O,O,O,X
TSIOZJL,O,X,O,O,O,O,O,O,X
TSLIJZO,O,X,O,O,X,X,O,O,O
TSLIJOZ,X,X,O,X,O,X,O,X,O
TSLIZJO,O,X,O,O,X,X,O,O,X
TSLIZOJ,O,X,O,O,X,X,O,O,X
TSLIOJZ,X,X,O,X,O,X,O,X,X
TSLIOZJ,O,X,O,X,X,X,O,O,X
TSLJIZO,O,X,O,O,X,X,O,O,O
TSLJIOZ,X,X,O,X,O,X,O,X,O
TSLJZIO,O,X,O,O,X,X,O,O,O
TSLJZOI,O,X,O,O,X,X,O,O,O
TSLJOIZ,X,X,O,X,O,X,O,X,O
TSLJOZI,X,X,O,X,O,X,O,X,O
TSLZIJO,O,X,O,O,X,X,O,O,X
TSLZIOJ,O,X,O,O,X,X,O,O,X
TSLZJIO,O,X,O,O,X,X,O,O,O
TSLZJOI,O,X,O,X,X,X,O,O,O
TSLZOIJ,O,X,O,O,X,X,O,O,X
TSLZOJI,O,X,O,X,X,X,O,O,X
TSLOIJZ,X,X,O,X,O,X,O,X,X
TSLOIZJ,O,X,O,X,X,X,O,O,X
TSLOJIZ,X,X,O,X,O,X,O,X,O
TSLOJZI,X,X,O,X,O,X,O,X,O
TSLOZIJ,O,X,O,X,X,X,O,O,X
TSLOZJI,O,X,O,X,X,X,O,O,X
TSJILZO,O,X,O,O,X,X,O,O,O
TSJILOZ,X,X,O,X,O,X,O,X,O
TSJIZLO,O,X,O,O,X,X,O,O,O
TSJIZOL,O,X,O,O,X,X,O,O,X
TSJIOLZ,X,X,O,O,O,X,O,X,O
TSJIOZL,X,X,O,O,O,X,O,X,X
TSJLIZO,O,X,O,O,X,X,O,O,O
TSJLIOZ,X,X,O,X,O,X,O,X,O
TSJLZIO,O,X,O,O,X,X,O,O,O
TSJLZOI,O,X,O,O,X,X,O,O,O
TSJLOIZ,X,X,O,X,O,X,O,X,O
TSJLOZI,X,X,O,X,O,X,O,X,O
TSJZILO,O,X,O,O,X,X,O,O,O
TSJZIOL,O,X,O,O,X,X,O,O,X
TSJZLIO,O,X,O,O,X,X,O,O,O
TSJZLOI,O,X,O,O,X,X,O,O,O
TSJZOIL,O,X,O,O,X,X,O,O,X
TSJZOLI,O,X,O,O,X,X,O,O,X
TSJOILZ,X,X,O,O,O,X,O,X,O
TSJOIZL,X,X,O,O,O,X,O,X,X
TSJOLIZ,X,X,O,O,O,X,O,X,O
TSJOLZI,X,X,O,O,O,X,O,X,O
TSJOZIL,X,X,O,O,O,X,O,X,X
TSJOZLI,X,X,O,O,O,X,O,X,X
TSZILJO,O,X,O,O,X,O,O,O,X
TSZILOJ,O,X,O,O,X,O,O,O,X
TSZIJLO,O,X,O,O,X,O,O,O,X
TSZIJOL,O,X,O,O,X,O,O,O,X
TSZIOLJ,O,X,O,O,X,O,O,O,X
TSZIOJL,O,X,O,O,X,O,O,O,X
TSZLIJO,O,X,O,O,X,X,O,O,X
TSZLIOJ,O,X,O,O,X,X,O,O,X
TSZLJIO,O,X,O,O,X,X,O,O,O
TSZLJOI,O,X,O,X,X,X,O,O,O
TSZLOIJ,O,X,O,O,X,X,O,O,X
TSZLOJI,O,X,O,O,X,X,O,O,X
TSZJILO,O,X,O,O,X,O,O,O,O
TSZJIOL,O,X,O,O,X,O,O,O,X
TSZJLIO,O,X,O,O,X,X,O,O,O
TSZJLOI,O,X,O,X,X,X,O,O,O
TSZJOIL,O,X,O,O,X,O,O,O,X
TSZJOLI,O,X,O,O,X,X,O,O,X
TSZOILJ,O,X,O,O,X,O,O,O,X
TSZOIJL,O,X,O,O,X,O,O,O,X
TSZOLIJ,O,X,O,O,X,X,O,O,X
TSZOLJI,O,X,O,O,X,X,O,O,X
TSZOJIL,O,X,O,O,X,O,O,O,X
TSZOJLI,O,X,O,O,X,X,O,O,X
TSOILJZ,X,X,O,O,O,X,O,X,X
TSOILZJ,O,X,O,O,X,X,O,O,X
TSOIJLZ,X,X,O,O,O,X,O,X,X
TSOIJZL,X,X,O,O,O,X,O,X,X
TSOIZLJ,O,X,O,O,X,O,O,O,X
TSOIZJL,O,X,O,O,O,O,O,O,X
TSOLIJZ,X,X,O,O,O,X,O,X,X
TSOLIZJ,O,X,O,O,X,X,O,O,X
TSOLJIZ,X,X,O,O,O,X,O,X,O
TSOLJZI,X,X,O,O,O,X,O,X,O
TSOLZIJ,O,X,O,O,X,X,O,O,X
TSOLZJI,O,X,O,O,X,X,O,O,X
TSOJILZ,X,X,O,O,O,X,O,X,O
TSOJIZL,X,X,O,O,O,X,O,X,X
TSOJLIZ,X,X,O,O,O,X,O,X,O
TSOJLZI,X,X,O,O,O,X,O,X,O
TSOJZIL,X,X,O,O,O,X,O,X,X
TSOJZLI,X,X,O,O,O,X,O,X,X
TSOZILJ,O,X,O,O,X,O,O,O,X
TSOZIJL,O,X,O,O,O,O,O,O,X
TSOZLIJ,O,X,O,O,X,X,O,O,X
TSOZLJI,O,X,O,O,X,X,O,O,X
TSOZJIL,O,X,O,O,O,O,O,O,X
TSOZJLI,O,X,O,O,O,X,O,O,X
TZILJSO,O,O,X,X,X,O,X,X,X
TZILJOS,X,O,X,X,X,O,X,X,X
TZILSJO,O,X,X,O,X,O,X,O,X
TZILSOJ,O,X,X,O,X,O,X,O,X
TZILOJS,X,O,X,X,X,O,X,X,X
TZILOSJ,X,X,X,X,X,O,X,O,X
TZIJLSO,O,O,X,X,X,O,X,X,X
TZIJLOS,X,O,X,X,X,O,X,X,X
TZIJSLO,O,O,O,X,X,O,O,O,X
TZIJSOL,O,O,O,X,X,O,O,O,X
TZIJOLS,X,O,X,X,X,O,X,X,X
TZIJOSL,X,O,O,X,X,O,X,O,X
TZISLJO,O,X,O,O,X,O,O,O,X
TZISLOJ,O,X,O,O,X,O,O,O,X
TZISJLO,O,O,O,O,X,O,O,O,X
TZISJOL,O,O,O,O,X,O,O,O,X
