sequence,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oBXrB0rB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oB0rBXrB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFdmBUiBaoB5?oBfsBWwB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFxhBUoBmrBt?qB6tB3rB
TJSIZOL,O,X,O,X
TJSIOLZ,O,O,O,X
TJSIOZL,O,X,O,X
TJSLIZO,O,X,O,X
TJSLIOZ,O,O,O,X
TJSLZIO,O,X,O,X
TJSLZOI,O,X,O,X
TJSLOIZ,O,O,O,X
TJSLOZI,O,X,O,X
TJSZILO,O,X,O,X
TJSZIOL,O,X,O,X
TJSZLIO,O,X,O,X
TJSZLOI,O,X,O,X
TJSZOIL,O,X,O,X
TJSZOLI,O,X,O,X
TJSOILZ,O,O,O,X
TJSOIZL,O,X,O,X
TJSOLIZ,O,O,O,X
TJSOLZI,O,X,O,X
TJSOZIL,O,X,O,X
TJSOZLI,O,X,O,X
TJZILSO,X,O,X,O
TJZILOS,O,O,X,O
TJZISLO,X,O,X,O
TJZISOL,X,O,X,O
TJZIOLS,O,O,X,O
TJZIOSL,X,O,X,O
TJZLISO,X,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,X,O,X,O
TJZLSOI,X,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,X,O,X,O
TJZSILO,X,O,X,O
TJZSIOL,X,O,X,O
TJZSLIO,X,O,X,O
TJZSLOI,X,O,X,O
TJZSOIL,X,O,X,O
TJZSOLI,X,O,X,O
TJZOILS,O,O,X,O
TJZOISL,X,O,X,O
TJZOLIS,O,O,X,O
TJZOLSI,X,O,X,O
TJZOSIL,X,O,X,O
TJZOSLI,X,O,X,O
TJOILSZ,O,O,O,X
TJOILZS,O,O,X,X
TJOISLZ,O,O,O,X
TJOISZL,O,X,O,X
TJOIZLS,O,O,X,X
TJOIZSL,X,O,X,X
TJOLISZ,O,O,O,X
TJOLIZS,O,O,X,X
TJOLSIZ,O,O,O,X
TJOLSZI,O,X,O,X
TJOLZIS,O,O,X,X
TJOLZSI,X,O,X,X
TJOSILZ,O,O,O,X
TJOSIZL,O,X,O,X
TJOSLIZ,O,O,O,X
TJOSLZI,O,X,O,X
TJOSZIL,O,X,O,X
TJOSZLI,O,X,O,X
TJOZILS,O,O,X,O
TJOZISL,X,O,X,O
TJOZLIS,O,O,X,O
TJOZLSI,X,O,X,O
TJOZSIL,X,O,X,O
TJOZSLI,X,O,X,O
TSILJZO,O,X,O,X
TSILJOZ,O,O,O,X
TSILZJO,O,O,O,X
TSILZOJ,O,O,O,X
TSILOJZ,O,O,O,X
TSILOZJ,O,O,O,X
TSIJLZO,O,X,O,X
TSIJLOZ,O,O,O,X
TSIJZLO,O,X,O,X
TSIJZOL,O,X,O,X
TSIJOLZ,O,O,O,X
TSIJOZL,O,X,O,X
TSIZLJO,O,O,O,X
TSIZLOJ,O,O,O,X
TSIZJLO,O,O,O,X
TSIZJOL,O,O,O,X
TSIZOLJ,O,O,O,X
TSIZOJL,O,O,O,X
TSIOLJZ,O,O,O,X
TSIOLZJ,O,O,O,X
TSIOJLZ,O,O,O,X
TSIOJZL,O,X,O,X
TSIOZLJ,O,O,O,X
TSIOZJL,O,O,O,X
TSLIJZO,O,X,O,X
TSLIJOZ,O,O,O,X
TSLIZJO,O,O,O,X
TSLIZOJ,O,O,O,X
TSLIOJZ,O,O,O,X
TSLIOZJ,O,O,O,X
TSLJIZO,O,X,O,X
TSLJIOZ,O,O,O,X
TSLJZIO,O,X,O,X
TSLJZOI,O,X,O,X
TSLJOIZ,O,O,O,X
TSLJOZI,O,X,O,X
TSLZIJO,O,O,O,X
TSLZIOJ,O,O,O,X
TSLZJIO,O,O,O,X
TSLZJOI,O,O,O,X
TSLZOIJ,O,O,O,X
TSLZOJI,O,O,O,X
TSLOIJZ,O,O,O,X
TSLOIZJ,O,O,O,X
TSLOJIZ,O,O,O,X
TSLOJZI,O,X,O,X
TSLOZIJ,O,O,O,X
TSLOZJI,O,O,O,X
TSJILZO,O,X,O,X
TSJILOZ,O,O,O,X
TSJIZLO,O,X,O,X
TSJIZOL,O,X,O,X
TSJIOLZ,O,O,O,X
TSJIOZL,O,X,O,X
TSJLIZO,O,X,O,X
TSJLIOZ,O,O,O,X
TSJLZIO,O,X,O,X
TSJLZOI,O,X,O,X
TSJLOIZ,O,O,O,X
TSJLOZI,O,X,O,X
TSJZILO,O,X,O,X
TSJZIOL,O,X,O,X
TSJZLIO,O,X,O,X
TSJZLOI,O,X,O,X
TSJZOIL,O,X,O,X
TSJZOLI,O,X,O,X
TSJOILZ,O,O,O,X
TSJOIZL,O,X,O,X
TSJOLIZ,O,O,O,X
TSJOLZI,O,X,O,X
TSJOZIL,O,X,O,X
TSJOZLI,O,X,O,X
TSZILJO,O,O,O,X
TSZILOJ,O,O,O,X
TSZIJLO,O,O,O,X
TSZIJOL,O,O,O,X
TSZIOLJ,O,O,O,X
TSZIOJL,O,O,O,X
TSZLIJO,O,O,O,X
TSZLIOJ,O,O,O,X
TSZLJIO,O,O,O,X
TSZLJOI,O,O,O,X
TSZLOIJ,O,O,O,X
TSZLOJI,O,O,O,X
TSZJILO,O,O,O,X
TSZJIOL,O,O,O,X
TSZJLIO,O,O,O,X
TSZJLOI,O,O,O,X
TSZJOIL,O,O,O,X
TSZJOLI,O,O,O,X
TSZOILJ,O,O,O,X
TSZOIJL,O,O,O,X
TSZOLIJ,O,O,O,X
TSZOLJI,O,O,O,X
TSZOJIL,O,O,O,X
TSZOJLI,O,O,O,X
TSOILJZ,O,O,O,X
TSOILZJ,O,O,O,X
TSOIJLZ,O,O,O,X
TSOIJZL,O,X,O,X
TSOIZLJ,O,O,O,X
TSOIZJL,O,O,O,X
TSOLIJZ,O,O,O,X
TSOLIZJ,O,O,O,X
TSOLJIZ,O,O,O,X
TSOLJZI,O,X,O,X
TSOLZIJ,O,O,O,X
TSOLZJI,O,O,O,X
TSOJILZ,O,O,O,X
TSOJIZL,O,X,O,X
TSOJLIZ,O,O,O,X
TSOJLZI,O,X,O,X
TSOJZIL,O,X,O,X
TSOJZLI,O,X,O,X
TSOZILJ,O,O,O,X
TSOZIJL,O,O,O,X
TSOZLIJ,O,O,O,X
TSOZLJI,O,O,O,X
TSOZJIL,O,O,O,X
TSOZJLI,O,O,O,X
TZILJSO,X,O,X,X
TZILJOS,O,O,X,X
TZILSJO,O,O,O,X
TZILSOJ,O,O,O,X
TZILOJS,O,O,X,X
TZILOSJ,O,O,O,X
TZIJLSO,X,O,X,O
TZIJLOS,O,O,X,O
TZIJSLO,X,O,X,O
TZIJSOL,X,O,X,O
TZIJOLS,O,O,X,O
TZIJOSL,X,O,X,O
TZISLJO,O,O,O,X
TZISLOJ,O,O,O,X
TZISJLO,O,O,O,X
TZISJOL,O,O,O,X
TZISOLJ,O,O,O,X
TZISOJL,O,O,O,X
TZIOLJS,O,O,X,X
TZIOLSJ,O,O,O,X
TZIOJLS,O,O,X,X
TZIOJSL,X,O,X,X
TZIOSLJ,O,O,O,X
TZIOSJL,O,O,O,X
TZLIJSO,X,O,X,X
TZLIJOS,O,O,X,X
TZLISJO,O,O,O,X
TZLISOJ,O,O,O,X
TZLIOJS,O,O,X,X
TZLIOSJ,O,O,O,X
TZLJISO,X,O,X,X
TZLJIOS,O,O,X,X
TZLJSIO,X,O,X,X
TZLJSOI,X,O,X,X
TZLJOIS,O,O,X,X
TZLJOSI,X,O,X,X
TZLSIJO,O,O,O,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,O,O,X
TZLSJOI,O,O,O,X
TZLSOIJ,O,O,O,X
TZLSOJI,O,O,O,X
TZLOIJS,O,O,X,X
TZLOISJ,O,O,O,X
TZLOJIS,O,O,X,X
TZLOJSI,X,O,X,X
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,X,O,X,O
TZJILOS,O,O,X,O
TZJISLO,X,O,X,O
TZJISOL,X,O,X,O
TZJIOLS,O,O,X,O
TZJIOSL,X,O,X,O
TZJLISO,X,O,X,O
TZJLIOS,O,O,X,O
TZJLSIO,X,O,X,O
TZJLSOI,X,O,X,O
TZJLOIS,O,O,X,O
TZJLOSI,X,O,X,O
TZJSILO,X,O,X,O
TZJSIOL,X,O,X,O
TZJSLIO,X,O,X,O
TZJSLOI,X,O,X,O
TZJSOIL,X,O,X,O
TZJSOLI,X,O,X,O
TZJOILS,O,O,X,O
TZJOISL,X,O,X,O
TZJOLIS,O,O,X,O
TZJOLSI,X,O,X,O
TZJOSIL,X,O,X,O
TZJOSLI,X,O,X,O
TZSILJO,O,O,O,X
TZSILOJ,O,O,O,X
TZSIJLO,O,O,O,X
TZSIJOL,O,O,O,X
TZSIOLJ,O,O,O,X
TZSIOJL,O,O,O,X
TZSLIJO,O,O,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,O,X
TZSLJOI,O,O,O,X
TZSLOIJ,O,O,O,X
TZSLOJI,O,O,O,X
TZSJILO,O,O,O,X
TZSJIOL,O,O,O,X
TZSJLIO,O,O,O,X
TZSJLOI,O,O,O,X
TZSJOIL,O,O,O,X
TZSJOLI,O,O,O,X
TZSOILJ,O,O,O,X
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,O,X
TZSOJIL,O,O,O,X
TZSOJLI,O,O,O,X
TZOILJS,O,O,X,X
TZOILSJ,O,O,O,X
TZOIJLS,O,O,X,X
TZOIJSL,X,O,X,X
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,X,X
TZOLISJ,O,O,O,X
TZOLJIS,O,O,X,X
TZOLJSI,X,O,X,X
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,O,X,O
TZOJISL,X,O,X,O
TZOJLIS,O,O,X,O
TZOJLSI,X,O,X,O
TZOJSIL,X,O,X,O
TZOJSLI,X,O,X,O
TZOSILJ,O,O,O,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,O,O,X
TZOSJLI,O,O,O,X
TOILJSZ,O,O,O,X
TOILJZS,O,O,X,X
TOILSJZ,O,O,O,X
TOILSZJ,O,O,O,X
TOILZJS,O,O,X,X
TOILZSJ,O,O,O,X
TOIJLSZ,O,O,O,X
