sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
IJOSTLZ,X,O,O,X,X,X,O,O
IJOSTZL,X,O,O,X,O,X,O,O
IJOSLTZ,X,X,O,X,X,X,X,O
IJOSLZT,X,X,O,X,X,X,X,O
IJOSZTL,X,O,O,X,O,X,X,O
IJOSZLT,X,X,O,X,O,X,X,O
IJOZTLS,X,X,O,X,X,X,O,X
IJOZTSL,X,X,O,X,X,X,O,X
IJOZLTS,X,X,O,X,X,X,X,X
IJOZLST,X,X,O,X,O,X,X,O
IJOZSTL,X,X,O,X,O,X,X,O
IJOZSLT,X,X,O,X,O,X,X,O
ISTLJZO,O,O,O,O,X,X,X,O
ISTLJOZ,O,O,O,O,X,X,X,O
ISTLZJO,O,O,O,O,X,X,X,O
ISTLZOJ,O,O,O,O,O,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,X
ISTLOZJ,O,O,X,O,O,X,X,X
ISTJLZO,O,O,O,O,X,X,X,O
ISTJLOZ,O,O,O,O,X,X,X,O
ISTJZLO,X,O,O,O,X,X,X,O
ISTJZOL,X,O,O,O,O,X,X,O
ISTJOLZ,O,O,O,O,X,X,O,O
ISTJOZL,X,O,O,O,O,X,O,O
ISTZLJO,O,O,O,O,X,X,X,O
ISTZLOJ,O,O,O,O,O,X,X,X
ISTZJLO,O,O,O,O,X,X,X,O
ISTZJOL,X,O,O,O,O,X,X,O
ISTZOLJ,O,O,O,O,O,X,X,X
ISTZOJL,X,O,O,O,O,X,X,X
ISTOLJZ,O,O,X,O,X,X,X,X
ISTOLZJ,O,O,X,O,O,X,X,X
ISTOJLZ,O,O,X,O,X,X,O,X
ISTOJZL,X,O,X,O,O,X,O,X
ISTOZLJ,O,O,X,O,O,X,X,X
ISTOZJL,X,O,X,O,O,X,X,X
ISLTJZO,O,O,O,O,X,X,X,O
ISLTJOZ,O,O,O,O,X,X,X,O
ISLTZJO,O,O,O,O,X,X,X,O
ISLTZOJ,O,O,O,O,O,X,X,X
ISLTOJZ,O,O,X,O,X,X,X,X
ISLTOZJ,O,O,X,O,O,X,X,X
ISLJTZO,O,O,O,O,X,X,X,O
ISLJTOZ,O,O,O,O,X,X,X,O
ISLJZTO,O,O,O,O,X,X,X,O
ISLJZOT,O,X,O,O,X,X,X,O
ISLJOTZ,O,X,O,O,X,X,X,O
ISLJOZT,O,X,O,O,X,X,X,O
ISLZTJO,O,O,O,O,X,X,X,O
ISLZTOJ,O,O,O,O,O,X,X,X
ISLZJTO,O,O,O,O,X,X,X,O
ISLZJOT,O,X,O,O,X,X,X,O
ISLZOTJ,O,X,O,O,O,X,X,X
ISLZOJT,O,X,O,O,O,X,X,O
ISLOTJZ,O,X,X,O,X,X,X,X
ISLOTZJ,O,X,X,O,O,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,O
ISLOJZT,O,X,O,O,X,X,X,O
ISLOZTJ,O,X,O,O,O,X,X,X
ISLOZJT,O,X,O,O,O,X,X,O
ISJTLZO,O,O,O,O,X,X,X,O
ISJTLOZ,O,O,O,O,X,X,X,O
ISJTZLO,X,O,O,O,X,X,X,O
ISJTZOL,X,O,O,O,O,X,X,O
ISJTOLZ,O,O,O,O,X,X,O,O
ISJTOZL,X,O,O,O,O,X,O,O
ISJLTZO,O,O,O,O,X,X,X,O
ISJLTOZ,O,O,O,O,X,X,X,O
ISJLZTO,O,O,O,O,X,X,X,O
ISJLZOT,O,X,O,O,X,X,X,O
ISJLOTZ,O,X,O,X,X,X,X,O
ISJLOZT,O,X,O,O,X,X,X,O
ISJZTLO,O,O,O,X,X,X,X,O
ISJZTOL,X,O,O,X,O,X,X,O
ISJZLTO,O,O,O,X,X,X,X,O
ISJZLOT,O,X,O,X,X,X,X,O
ISJZOTL,X,O,O,X,O,X,X,O
ISJZOLT,O,X,O,X,O,X,X,O
ISJOTLZ,X,O,O,O,X,X,O,O
ISJOTZL,X,O,O,O,O,X,O,O
ISJOLTZ,X,X,O,O,X,X,X,O
ISJOLZT,X,X,O,O,X,X,X,O
ISJOZTL,X,O,O,O,O,X,X,O
ISJOZLT,X,X,O,X,O,X,X,O
ISZTLJO,O,O,O,X,X,X,X,O
ISZTLOJ,O,O,O,X,O,X,X,X
ISZTJLO,O,O,O,X,X,X,X,O
ISZTJOL,X,O,O,X,O,X,X,O
ISZTOLJ,O,O,O,X,O,X,X,X
ISZTOJL,X,O,O,X,O,X,X,X
ISZLTJO,O,O,O,X,X,X,X,O
ISZLTOJ,O,O,O,X,O,X,X,X
ISZLJTO,O,O,O,X,X,X,X,O
ISZLJOT,O,X,O,X,X,X,X,O
ISZLOTJ,O,X,O,X,O,X,X,X
ISZLOJT,O,X,O,X,O,X,X,O
ISZJTLO,O,O,O,X,X,X,X,O
ISZJTOL,X,O,O,X,O,X,X,O
ISZJLTO,O,O,O,X,X,X,X,O
ISZJLOT,O,X,O,X,X,X,X,O
ISZJOTL,X,O,O,X,O,X,X,O
ISZJOLT,O,X,O,X,O,X,X,O
ISZOTLJ,X,O,O,X,O,X,X,X
ISZOTJL,X,O,O,X,O,X,X,X
ISZOLTJ,O,X,O,X,O,X,X,X
ISZOLJT,O,X,O,X,O,X,X,O
ISZOJTL,X,O,O,X,O,X,X,O
ISZOJLT,O,X,O,X,O,X,X,O
ISOTLJZ,O,O,X,O,X,X,X,X
ISOTLZJ,O,O,X,O,O,X,X,X
ISOTJLZ,O,O,X,O,X,X,O,X
ISOTJZL,X,O,X,O,O,X,O,X
ISOTZLJ,O,O,X,O,O,X,X,X
ISOTZJL,X,O,X,O,O,X,X,X
ISOLTJZ,O,X,X,O,X,X,X,X
ISOLTZJ,O,X,X,O,O,X,X,X
ISOLJTZ,O,X,O,O,X,X,X,O
ISOLJZT,O,X,O,O,X,X,X,O
ISOLZTJ,O,X,O,O,O,X,X,X
ISOLZJT,O,X,O,O,O,X,X,O
ISOJTLZ,X,O,O,O,X,X,O,O
ISOJTZL,X,O,O,O,O,X,O,O
ISOJLTZ,X,X,O,O,X,X,X,O
ISOJLZT,X,X,O,O,X,X,X,O
ISOJZTL,X,O,O,O,O,X,X,O
ISOJZLT,X,X,O,X,O,X,X,O
ISOZTLJ,X,O,O,O,O,X,X,X
ISOZTJL,X,O,O,O,O,X,X,X
ISOZLTJ,O,X,O,X,O,X,X,X
ISOZLJT,O,X,O,X,O,X,X,O
ISOZJTL,X,O,O,O,O,X,X,O
ISOZJLT,O,X,O,X,O,X,X,O
IZTLJSO,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,O,X,X
IZTLSJO,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,O,X,X
IZTLOJS,O,X,X,X,X,O,X,X
IZTLOSJ,O,X,X,X,X,O,X,X
IZTJLSO,X,O,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,O,X,X
IZTJSLO,X,O,X,X,X,X,X,X
IZTJSOL,X,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,O,O,X
IZTJOSL,X,O,X,X,X,X,O,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,O,O,X,X
IZTSJLO,X,O,X,X,X,X,X,X
IZTSJOL,X,O,X,X,O,X,X,X
IZTSOLJ,O,O,X,X,O,O,X,X
IZTSOJL,X,O,X,X,O,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X
IZTOLSJ,O,X,X,X,O,O,X,X
IZTOJLS,X,X,X,X,X,O,O,X
IZTOJSL,X,X,X,X,X,X,O,X
IZTOSLJ,O,X,X,X,O,O,X,X
IZTOSJL,X,X,X,X,O,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,X
IZLTSJO,O,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,O,X,X
IZLTOJS,O,X,X,X,X,O,X,X
IZLTOSJ,O,X,X,X,X,O,X,X
IZLJTSO,O,X,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,X,O
IZLJSOT,O,X,O,X,X,X,X,O
IZLJOTS,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,O
IZLSTJO,O,X,O,X,X,X,X,O
IZLSTOJ,O,X,O,X,O,X,X,X
IZLSJTO,O,X,O,X,X,X,X,O
IZLSJOT,O,X,O,X,X,X,X,O
IZLSOTJ,O,X,O,X,O,X,X,X
IZLSOJT,O,X,O,X,O,X,X,O
IZLOTJS,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,O,O,X,X
IZLOJTS,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,O,X,X,X
IZLOSTJ,X,X,X,X,O,X,X,X
IZLOSJT,X,X,X,X,O,X,X,X
IZJTLSO,X,O,O,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X,X
IZJTSLO,X,O,O,X,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X,X
IZJTOLS,X,O,O,X,X,X,O,X
IZJTOSL,X,O,O,X,X,X,O,X
IZJLTSO,X,X,O,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,X,X
IZJLSTO,X,X,O,X,X,X,X,O
IZJLSOT,X,X,O,X,X,X,X,O
IZJLOTS,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,X,O
IZJSTLO,X,O,O,X,X,X,X,O
IZJSTOL,X,O,O,X,O,X,X,O
IZJSLTO,X,O,O,X,X,X,X,O
IZJSLOT,X,X,O,X,X,X,X,O
IZJSOTL,X,O,O,X,O,X,X,O
IZJSOLT,X,X,O,X,O,X,X,O
IZJOTLS,X,X,O,X,X,X,O,X
IZJOTSL,X,X,O,X,X,X,O,X
IZJOLTS,X,X,O,X,X,X,X,X
IZJOLST,X,X,O,X,O,X,X,O
IZJOSTL,X,X,O,X,O,X,X,O
IZJOSLT,X,X,O,X,O,X,X,O
IZSTLJO,O,O,O,X,X,X,X,O
IZSTLOJ,O,O,O,X,O,X,X,X
IZSTJLO,O,O,O,X,X,X,X,O
IZSTJOL,X,O,O,X,O,X,X,O
IZSTOLJ,O,O,O,X,O,X,X,X
IZSTOJL,X,O,O,X,O,X,X,X
IZSLTJO,O,O,O,X,X,X,X,O
IZSLTOJ,O,O,O,X,O,X,X,X
IZSLJTO,O,O,O,X,X,X,X,O
IZSLJOT,O,X,O,X,X,X,X,O
IZSLOTJ,O,X,O,X,O,X,X,X
IZSLOJT,O,X,O,X,O,X,X,O
IZSJTLO,O,O,O,X,X,X,X,O
IZSJTOL,X,O,O,X,O,X,X,O
IZSJLTO,O,O,O,X,X,X,X,O
IZSJLOT,O,X,O,X,X,X,X,O
IZSJOTL,X,O,O,X,O,X,X,O
IZSJOLT,O,X,O,X,O,X,X,O
IZSOTLJ,X,O,O,X,O,X,X,X
IZSOTJL,X,O,O,X,O,X,X,X
IZSOLTJ,O,X,O,X,O,X,X,X
IZSOLJT,O,X,O,X,O,X,X,O
IZSOJTL,X,O,O,X,O,X,X,O
IZSOJLT,O,X,O,X,O,X,X,O
IZOTLJS,X,X,X,X,X,O,X,X
IZOTLSJ,X,X,X,X,O,O,X,X
IZOTJLS,X,X,X,X,X,O,O,X
IZOTJSL,X,X,X,X,X,X,O,X
IZOTSLJ,X,X,X,X,O,O,X,X
IZOTSJL,X,X,X,X,O,X,X,X
IZOLTJS,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,O,O,X,X
IZOLJTS,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,O,X,X,X
IZOLSTJ,X,X,X,X,O,X,X,X
IZOLSJT,X,X,X,X,O,X,X,X
IZOJTLS,X,X,X,X,X,X,O,X
IZOJTSL,X,X,X,X,X,X,O,X
IZOJLTS,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,O,X,X,X
IZOJSTL,X,X,X,X,O,X,X,X
IZOJSLT,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,X,O,X,X,X
IZOSLTJ,X,X,X,X,O,X,X,X
IZOSLJT,X,X,X,X,O,X,X,X
IZOSJTL,X,X,X,X,O,X,X,X
IZOSJLT,X,X,X,X,O,X,X,X
IOTLJSZ,O,O,X,O,X,X,O,X
IOTLJZS,O,O,X,O,X,X,O,X
IOTLSJZ,O,O,X,O,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X
IOTLZJS,O,X,X,O,X,X,X,X
IOTLZSJ,O,X,X,O,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,O,X
IOTJLZS,O,O,X,X,X,X,O,X
IOTJSLZ,O,O,X,O,X,X,O,X
IOTJSZL,X,O,X,O,X,X,O,X
IOTJZLS,X,O,X,X,X,X,O,X
IOTJZSL,X,O,X,O,X,X,O,X
IOTSLJZ,O,O,X,O,X,X,X,X
IOTSLZJ,O,O,X,O,O,X,X,X
IOTSJLZ,O,O,X,O,X,X,O,X
IOTSJZL,X,O,X,O,O,X,O,X
IOTSZLJ,O,O,X,O,O,X,X,X
IOTSZJL,X,O,X,O,O,X,X,X
IOTZLJS,O,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,O,X,X,X
IOTZJLS,X,X,X,X,X,X,O,X
IOTZJSL,X,X,X,O,X,X,O,X
IOTZSLJ,O,X,X,O,O,X,X,X
IOTZSJL,X,X,X,O,O,X,X,X
IOLTJSZ,O,X,X,O,X,X,O,X
IOLTJZS,O,X,X,O,X,X,O,X
IOLTSJZ,O,X,X,O,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X
IOLTZJS,O,X,X,O,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,X,X
IOLJTSZ,O,X,O,X,X,X,O,O
IOLJTZS,O,X,X,X,X,X,O,X
IOLJSTZ,O,X,O,O,X,X,X,O
IOLJSZT,O,X,O,O,X,X,X,O
IOLJZTS,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,O
IOLSTJZ,O,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,O,O,X,X,X
IOLSJTZ,O,X,O,O,X,X,X,O
IOLSJZT,O,X,O,O,X,X,X,O
IOLSZTJ,O,X,O,O,O,X,X,X
IOLSZJT,O,X,O,O,O,X,X,O
IOLZTJS,X,X,X,O,X,X,X,X
IOLZTSJ,X,X,X,O,O,X,X,X
IOLZJTS,X,X,X,X,X,X,X,X
IOLZJST,X,X,X,O,O,X,X,X
IOLZSTJ,X,X,X,O,O,X,X,X
IOLZSJT,X,X,X,O,O,X,X,X
IOJTLSZ,X,O,O,X,X,X,O,O
IOJTLZS,X,O,O,X,X,X,O,X
IOJTSLZ,X,O,O,X,X,X,O,O
IOJTSZL,X,O,O,X,X,X,O,O
IOJTZLS,X,O,O,X,X,X,O,X
IOJTZSL,X,O,O,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,X,O,O
IOJLTZS,X,X,O,X,X,X,O,X
IOJLSTZ,X,X,O,X,X,X,X,O
IOJLSZT,X,X,O,X,X,X,X,O
IOJLZTS,X,X,O,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,X,O
IOJSTLZ,X,O,O,X,X,X,O,O
IOJSTZL,X,O,O,X,O,X,O,O
IOJSLTZ,X,X,O,X,X,X,X,O
IOJSLZT,X,X,O,X,X,X,X,O
IOJSZTL,X,O,O,X,O,X,X,O
IOJSZLT,X,X,O,X,O,X,X,O
IOJZTLS,X,X,O,X,X,X,O,X
IOJZTSL,X,X,O,X,X,X,O,X
IOJZLTS,X,X,O,X,X,X,X,X
IOJZLST,X,X,O,X,O,X,X,O
IOJZSTL,X,X,O,X,O,X,X,O
IOJZSLT,X,X,O,X,O,X,X,O
IOSTLJZ,O,O,X,O,X,X,X,X
IOSTLZJ,O,O,X,O,O,X,X,X
IOSTJLZ,O,O,X,O,X,X,O,X
IOSTJZL,X,O,X,O,O,X,O,X
IOSTZLJ,O,O,X,O,O,X,X,X
IOSTZJL,X,O,X,O,O,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X
IOSLTZJ,O,X,X,O,O,X,X,X
IOSLJTZ,O,X,O,O,X,X,X,O
IOSLJZT,O,X,O,O,X,X,X,O
IOSLZTJ,O,X,O,O,O,X,X,X
IOSLZJT,O,X,O,O,O,X,X,O
IOSJTLZ,X,O,O,O,X,X,O,O
IOSJTZL,X,O,O,O,O,X,O,O
IOSJLTZ,X,X,O,O,X,X,X,O
IOSJLZT,X,X,O,O,X,X,X,O
IOSJZTL,X,O,O,O,O,X,X,O
IOSJZLT,X,X,O,X,O,X,X,O
IOSZTLJ,X,O,O,O,O,X,X,X
IOSZTJL,X,O,O,O,O,X,X,X
IOSZLTJ,O,X,O,X,O,X,X,X
IOSZLJT,O,X,O,X,O,X,X,O
IOSZJTL,X,O,O,O,O,X,X,O
IOSZJLT,O,X,O,X,O,X,X,O
IOZTLJS,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,O,O,X,X,X
IOZTJLS,X,X,X,X,X,X,O,X
IOZTJSL,X,X,X,O,X,X,O,X
IOZTSLJ,X,X,X,O,O,X,X,X
IOZTSJL,X,X,X,O,O,X,X,X
IOZLTJS,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X
IOZLJTS,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,O,X,X,X
IOZLSTJ,X,X,X,X,O,X,X,X
IOZLSJT,X,X,X,X,O,X,X,X
IOZJTLS,X,X,X,X,X,X,O,X
IOZJTSL,X,X,X,X,X,X,O,X
IOZJLTS,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,X,O,X,X,X
IOZJSLT,X,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,O,O,X,X,X
IOZSTJL,X,X,X,O,O,X,X,X
IOZSLTJ,X,X,X,X,O,X,X,X
IOZSLJT,X,X,X,X,O,X,X,X
IOZSJTL,X,X,X,O,O,X,X,X
IOZSJLT,X,X,X,X,O,X,X,X
LTIJSZO,O,O,O,O,X,X,X,O
LTIJSOZ,O,O,O,O,X,X,X,O
LTIJZSO,O,O,O,O,X,X,X,X
LTIJZOS,O,O,X,X,X,O,X,X
LTIJOSZ,O,O,O,O,X,X,O,O
LTIJOZS,O,O,X,O,X,X,O,X
LTISJZO,O,O,O,O,X,X,X,O
LTISJOZ,O,O,O,O,X,X,X,O
LTISZJO,O,O,O,O,X,X,X,O
LTISZOJ,O,O,O,O,X,O,X,X
LTISOJZ,O,O,X,O,X,X,X,X
LTISOZJ,O,O,X,O,X,X,X,X
LTIZJSO,O,O,X,O,X,X,X,X
LTIZJOS,O,O,X,X,X,O,X,X
LTIZSJO,O,O,X,O,X,X,X,X
LTIZSOJ,O,O,X,O,X,O,X,X
LTIZOJS,O,X,X,O,X,O,X,X
LTIZOSJ,O,X,X,O,X,O,X,X
LTIOJSZ,O,O,X,O,X,X,O,X
LTIOJZS,O,O,X,O,X,X,O,X
LTIOSJZ,O,O,X,O,X,X,X,X
LTIOSZJ,O,O,X,O,X,X,X,X
LTIOZJS,O,X,X,O,X,O,X,X
LTIOZSJ,O,X,X,O,X,O,X,X
LTJISZO,O,O,O,O,X,X,X,O
LTJISOZ,O,O,O,O,X,X,X,O
LTJIZSO,O,O,O,O,X,X,X,X
LTJIZOS,O,O,X,X,X,O,X,X
LTJIOSZ,O,O,O,O,X,X,O,O
LTJIOZS,O,O,X,O,X,X,O,X
LTJSIZO,O,O,O,O,X,X,X,O
LTJSIOZ,O,O,O,O,X,X,X,O
LTJSZIO,O,O,O,O,X,X,X,O
LTJSZOI,O,O,O,O,X,X,X,O
LTJSOIZ,O,O,O,O,X,X,X,O
LTJSOZI,O,O,O,O,X,X,X,O
LTJZISO,O,O,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,O,X,X
LTJZSIO,O,O,O,O,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X
LTJZOIS,O,O,X,X,X,O,X,X
LTJZOSI,O,O,X,X,X,O,X,X
LTJOISZ,O,O,O,O,X,X,O,O
LTJOIZS,O,O,X,O,X,X,O,X
LTJOSIZ,O,O,O,O,X,X,X,O
LTJOSZI,O,O,O,O,X,X,X,O
LTJOZIS,O,O,X,O,X,X,X,X
LTJOZSI,O,O,X,O,X,X,X,X
LTSIJZO,O,O,O,O,X,X,X,O
LTSIJOZ,O,O,O,O,X,X,X,O
LTSIZJO,O,O,O,O,X,X,X,O
LTSIZOJ,O,O,O,O,X,O,X,X
LTSIOJZ,O,O,X,O,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,X,X
LTSJIZO,O,O,O,O,X,X,X,O
LTSJIOZ,O,O,O,O,X,X,X,O
LTSJZIO,O,O,O,O,X,X,X,O
LTSJZOI,O,O,O,O,X,X,X,O
LTSJOIZ,O,O,O,O,X,X,X,O
LTSJOZI,O,O,O,O,X,X,X,O
LTSZIJO,O,O,O,O,X,X,X,O
LTSZIOJ,O,O,O,O,X,O,X,X
LTSZJIO,O,O,O,O,X,X,X,O
LTSZJOI,O,O,O,O,X,X,X,O
LTSZOIJ,O,O,O,O,X,O,X,X
LTSZOJI,O,O,X,O,X,O,X,X
LTSOIJZ,O,O,X,O,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X
LTSOZIJ,O,O,X,O,X,X,X,X
LTSOZJI,O,O,X,O,X,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X
LTZIJOS,O,O,X,X,X,O,X,X
LTZISJO,O,O,X,O,X,X,X,X
LTZISOJ,O,O,X,O,X,O,X,X
LTZIOJS,O,X,X,O,X,O,X,X
LTZIOSJ,O,X,X,O,X,O,X,X
LTZJISO,O,O,X,O,X,X,X,X
LTZJIOS,O,O,X,X,X,O,X,X
LTZJSIO,O,O,X,O,X,X,X,X
LTZJSOI,O,O,X,O,X,X,X,X
LTZJOIS,O,O,X,X,X,O,X,X
LTZJOSI,O,O,X,X,X,O,X,X
LTZSIJO,O,O,X,O,X,X,X,X
LTZSIOJ,O,O,X,O,X,O,X,X
LTZSJIO,O,O,X,O,X,X,X,X
LTZSJOI,O,O,X,O,X,X,X,X
LTZSOIJ,O,O,X,O,X,O,X,X
LTZSOJI,O,O,X,O,X,O,X,X
LTZOIJS,O,X,X,O,X,O,X,X
LTZOISJ,O,X,X,O,X,O,X,X
LTZOJIS,O,O,X,O,X,O,X,X
LTZOJSI,O,O,X,O,X,O,X,X
LTZOSIJ,O,O,X,O,X,O,X,X
LTZOSJI,O,O,X,O,X,O,X,X
LTOIJSZ,O,O,X,O,X,X,O,X
LTOIJZS,O,O,X,O,X,X,O,X
LTOISJZ,O,O,X,O,X,X,X,X
LTOISZJ,O,O,X,O,X,X,X,X
LTOIZJS,O,X,X,O,X,O,X,X
LTOIZSJ,O,X,X,O,X,O,X,X
LTOJISZ,O,O,X,O,X,X,O,X
LTOJIZS,O,O,X,O,X,X,O,X
LTOJSIZ,O,O,X,O,X,X,X,X
LTOJSZI,O,O,X,O,X,X,X,X
LTOJZIS,O,O,X,O,X,X,X,X
LTOJZSI,O,O,X,O,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X
LTOSIZJ,O,O,X,O,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X
LTOSZIJ,O,O,X,O,X,X,X,X
LTOSZJI,O,O,X,O,X,X,X,X
LTOZIJS,O,X,X,O,X,O,X,X
LTOZISJ,O,X,X,O,X,O,X,X
LTOZJIS,O,O,X,O,X,O,X,X
LTOZJSI,O,O,X,O,X,O,X,X
LTOZSIJ,O,O,X,O,X,O,X,X
LTOZSJI,O,O,X,O,X,O,X,X
LITJSZO,O,O,O,O,X,X,X,O
LITJSOZ,O,O,O,O,X,X,X,O
LITJZSO,O,O,O,O,X,X,X,X
LITJZOS,O,O,X,X,X,O,X,X
LITJOSZ,O,O,O,O,X,X,O,O
LITJOZS,O,O,X,O,X,X,O,X
LITSJZO,O,O,O,O,X,X,X,O
LITSJOZ,O,O,O,O,X,X,X,O
LITSZJO,O,O,O,O,X,X,X,O
LITSZOJ,O,O,O,O,X,O,X,X
LITSOJZ,O,O,X,O,X,X,X,X
LITSOZJ,O,O,X,O,X,X,X,X
LITZJSO,O,O,X,O,X,X,X,X
LITZJOS,O,O,X,X,X,O,X,X
LITZSJO,O,O,X,O,X,X,X,X
LITZSOJ,O,O,X,O,X,O,X,X
LITZOJS,O,X,X,O,X,O,X,X
LITZOSJ,O,X,X,O,X,O,X,X
LITOJSZ,O,O,X,O,X,X,O,X
LITOJZS,O,O,X,O,X,X,O,X
LITOSJZ,O,O,X,O,X,X,X,X
LITOSZJ,O,O,X,O,X,X,X,X
LITOZJS,O,X,X,O,X,O,X,X
LITOZSJ,O,X,X,O,X,O,X,X
LIJTSZO,O,O,O,X,X,X,X,O
LIJTSOZ,O,O,O,X,X,X,X,O
LIJTZSO,O,O,O,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X,X
LIJTOSZ,O,O,O,X,X,X,O,O
LIJTOZS,O,O,O,X,X,X,O,X
LIJSTZO,O,O,O,O,X,X,X,O
LIJSTOZ,O,O,O,X,X,X,X,O
LIJSZTO,O,O,O,O,X,X,X,O
LIJSZOT,O,X,O,O,X,X,X,O
LIJSOTZ,O,X,O,O,X,X,X,O
LIJSOZT,O,X,O,O,X,X,X,O
LIJZTSO,O,X,O,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X
LIJZSTO,O,X,O,O,X,X,X,O
LIJZSOT,O,X,O,O,X,X,X,O
LIJZOTS,X,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,X,O
LIJOTSZ,O,X,O,X,X,X,O,O
LIJOTZS,O,X,O,X,X,X,O,X
LIJOSTZ,O,X,O,O,X,X,X,O
LIJOSZT,O,X,O,O,X,X,X,O
LIJOZTS,X,X,O,X,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,O
LISTJZO,O,O,O,O,X,X,X,O
LISTJOZ,O,O,O,O,X,X,X,O
LISTZJO,O,O,O,O,X,X,X,O
LISTZOJ,O,O,O,O,O,X,X,X
LISTOJZ,O,O,X,O,X,X,X,X
LISTOZJ,O,O,X,O,O,X,X,X
LISJTZO,O,O,O,O,X,X,X,O
LISJTOZ,O,O,O,O,X,X,X,O
LISJZTO,O,O,O,O,X,X,X,O
LISJZOT,O,X,O,O,X,X,X,O
LISJOTZ,O,X,O,O,X,X,X,O
LISJOZT,O,X,O,O,X,X,X,O
LISZTJO,O,O,O,O,X,X,X,O
LISZTOJ,O,O,O,O,O,X,X,X
LISZJTO,O,O,O,O,X,X,X,O
LISZJOT,O,X,O,O,X,X,X,O
LISZOTJ,O,X,O,O,O,X,X,X
LISZOJT,O,X,O,O,O,X,X,O
LISOTJZ,O,X,X,O,X,X,X,X
LISOTZJ,O,X,X,O,O,X,X,X
