sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
TLSJZOI,O,O,O,O,X,X,X,O
TLSJOIZ,O,O,O,O,X,X,X,O
TLSJOZI,O,O,O,O,X,X,X,O
TLSZIJO,O,O,O,O,X,X,X,O
TLSZIOJ,O,O,O,O,X,O,X,X
TLSZJIO,O,O,O,O,X,X,X,O
TLSZJOI,O,O,O,O,X,X,X,O
TLSZOIJ,O,O,O,O,X,O,X,X
TLSZOJI,O,O,X,O,X,O,X,X
TLSOIJZ,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X
TLSOZIJ,O,O,X,O,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,X
TLZISJO,O,O,X,O,X,X,X,X
TLZISOJ,O,O,X,O,X,O,X,X
TLZIOJS,O,X,X,O,X,O,X,X
TLZIOSJ,O,X,X,O,X,O,X,X
TLZJISO,O,O,X,O,X,X,X,X
TLZJIOS,O,O,X,X,X,O,X,X
TLZJSIO,O,O,X,O,X,X,X,X
TLZJSOI,O,O,X,O,X,X,X,X
TLZJOIS,O,O,X,X,X,O,X,X
TLZJOSI,O,O,X,X,X,O,X,X
TLZSIJO,O,O,X,O,X,X,X,X
TLZSIOJ,O,O,X,O,X,O,X,X
TLZSJIO,O,O,X,O,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,O,X,O,X,X
TLZSOJI,O,O,X,O,X,O,X,X
TLZOIJS,O,X,X,O,X,O,X,X
TLZOISJ,O,X,X,O,X,O,X,X
TLZOJIS,O,O,X,O,X,O,X,X
TLZOJSI,O,O,X,O,X,O,X,X
TLZOSIJ,O,O,X,O,X,O,X,X
TLZOSJI,O,O,X,O,X,O,X,X
TLOIJSZ,O,O,X,O,X,X,O,X
TLOIJZS,O,O,X,O,X,X,O,X
TLOISJZ,O,O,X,O,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X
TLOIZJS,O,X,X,O,X,O,X,X
TLOIZSJ,O,X,X,O,X,O,X,X
TLOJISZ,O,O,X,O,X,X,O,X
TLOJIZS,O,O,X,O,X,X,O,X
TLOJSIZ,O,O,X,O,X,X,X,X
TLOJSZI,O,O,X,O,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X
