sequence,v115@XhA8AeF8AeE8JeOEJvhF0hB6nBTjBRlBXlBFrB,v115@XhA8AeF8AeE8JeKEJvhFflB0gBxhBTjBGnBFrB,v115@XhA8AeF8AeE8Je0/IvhFxgB6nBTjB2pBfrBlrB,v115@XhA8AeF8AeE8JeKEJvhFzfBRhBGjB3lBcrBlsB,v115@XhA8AeF8AeE8Je3AJvhFTjB0kBxmBikBGnBFrB,v115@XhA8AeF8AeE8Jem/IvhFSoBTkBRmB3lBcrBlsB
TOSILJZ,O,X,O,X,X,X
TOSILZJ,O,X,O,X,O,X
TOSIJLZ,O,X,O,X,X,X
TOSIJZL,O,X,O,X,O,X
TOSIZLJ,O,X,O,X,O,X
TOSIZJL,O,X,O,X,O,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,O,O,O,X,O,X
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,O,X
TOSLZJI,O,O,O,X,X,X
TOSJILZ,O,O,O,X,X,X
TOSJIZL,O,X,O,X,O,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,X,O,X,O,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,O,X,O,X,O,X
TOSZIJL,O,X,O,X,O,X
TOSZLIJ,O,X,O,X,O,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,O,X,O,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,O,X,X,O,X,X
TOZILSJ,O,X,X,O,O,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,X,O,O,X
TOZISLJ,O,X,X,O,O,X
TOZISJL,O,X,X,O,O,X
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,X,X,O,O,X
TOZLJIS,O,O,X,O,X,X
TOZLJSI,O,O,X,O,X,X
TOZLSIJ,O,O,X,O,O,X
TOZLSJI,O,O,X,O,X,X
TOZJILS,O,O,X,O,X,X
TOZJISL,O,X,X,O,O,X
TOZJLIS,O,O,X,O,X,X
TOZJLSI,O,O,X,O,X,X
TOZJSIL,O,X,X,O,O,X
TOZJSLI,O,X,X,O,X,X
TOZSILJ,O,X,X,O,O,X
TOZSIJL,O,X,X,O,O,X
TOZSLIJ,O,X,X,O,O,X
TOZSLJI,O,X,X,O,X,X
TOZSJIL,O,X,X,O,O,X
TOZSJLI,O,X,X,O,X,X
ITLJSZO,O,O,X,O,X,X
ITLJSOZ,O,O,X,O,X,X
ITLJZSO,O,O,X,O,X,X
ITLJZOS,O,O,X,O,X,X
ITLJOSZ,O,O,X,O,X,X
ITLJOZS,O,O,X,O,X,X
ITLSJZO,O,O,X,O,X,X
ITLSJOZ,O,O,X,O,X,X
ITLSZJO,O,O,X,O,X,X
ITLSZOJ,O,O,X,O,O,X
ITLSOJZ,O,O,X,O,X,X
ITLSOZJ,O,O,X,X,O,X
ITLZJSO,O,X,X,O,X,X
ITLZJOS,O,X,X,O,X,X
ITLZSJO,O,X,X,O,X,X
ITLZSOJ,O,X,X,O,O,X
ITLZOJS,O,X,X,O,X,X
ITLZOSJ,O,X,X,O,O,X
ITLOJSZ,O,O,X,O,X,O
ITLOJZS,O,O,X,O,X,O
ITLOSJZ,O,O,X,O,X,X
ITLOSZJ,O,O,X,X,O,X
ITLOZJS,O,X,X,O,X,X
ITLOZSJ,O,X,X,O,O,X
ITJLSZO,O,O,X,O,X,X
ITJLSOZ,O,O,X,O,X,X
ITJLZSO,O,O,X,O,X,X
ITJLZOS,O,O,X,O,X,X
ITJLOSZ,O,O,X,O,X,X
ITJLOZS,O,O,X,O,X,X
ITJSLZO,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,O,X,X,O,X,X
ITJSZOL,O,X,X,O,O,X
ITJSOLZ,O,O,X,X,X,X
ITJSOZL,O,X,X,X,O,X
ITJZLSO,O,O,X,O,X,X
ITJZLOS,O,O,X,O,X,X
ITJZSLO,O,X,X,O,X,X
ITJZSOL,O,X,X,O,O,X
ITJZOLS,O,O,X,O,X,X
ITJZOSL,O,X,X,O,O,X
ITJOLSZ,O,O,X,O,X,X
ITJOLZS,O,O,X,O,X,X
ITJOSLZ,O,O,X,X,X,X
ITJOSZL,O,X,X,X,O,X
ITJOZLS,O,O,X,O,X,X
ITJOZSL,O,X,X,O,O,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,X,X,O,X,X
ITSLZJO,O,X,X,O,X,X
ITSLZOJ,O,X,X,O,O,X
ITSLOJZ,O,X,X,O,X,X
ITSLOZJ,O,X,X,X,O,X
ITSJLZO,O,X,X,O,X,X
ITSJLOZ,O,X,X,O,X,X
ITSJZLO,O,X,X,O,X,X
ITSJZOL,O,X,X,O,O,X
ITSJOLZ,O,X,X,X,X,X
ITSJOZL,O,X,X,X,O,X
ITSZLJO,O,X,X,O,X,X
ITSZLOJ,O,X,X,O,O,X
ITSZJLO,O,X,X,O,X,X
ITSZJOL,O,X,X,O,O,X
ITSZOLJ,O,X,X,O,O,X
ITSZOJL,O,X,X,O,O,X
ITSOLJZ,O,X,X,X,X,X
ITSOLZJ,O,X,X,X,O,X
ITSOJLZ,O,X,X,X,X,X
ITSOJZL,O,X,X,X,O,X
ITSOZLJ,O,X,X,X,O,X
ITSOZJL,O,X,X,X,O,X
ITZLJSO,O,X,X,O,X,X
ITZLJOS,O,X,X,O,X,X
ITZLSJO,O,X,X,O,X,X
ITZLSOJ,O,X,X,O,O,X
ITZLOJS,O,X,X,O,X,X
ITZLOSJ,O,X,X,O,O,X
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,X,X,O,X,X
ITZJSLO,O,X,X,O,X,X
ITZJSOL,O,X,X,O,O,X
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,X,O,O,X
ITZSLJO,O,X,X,O,X,X
ITZSLOJ,O,X,X,O,O,X
ITZSJLO,O,X,X,O,X,X
ITZSJOL,O,X,X,O,O,X
ITZSOLJ,O,X,X,O,O,X
ITZSOJL,O,X,X,O,O,X
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,O,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,O,O,X
ITZOSLJ,O,X,X,O,O,X
ITZOSJL,O,X,X,O,O,X
ITOLJSZ,O,O,X,O,X,O
ITOLJZS,O,O,X,O,X,O
ITOLSJZ,O,O,X,O,X,X
ITOLSZJ,O,O,X,X,O,X
ITOLZJS,O,X,X,O,X,X
ITOLZSJ,O,X,X,O,O,X
ITOJLSZ,O,O,X,O,X,O
ITOJLZS,O,O,X,O,X,O
ITOJSLZ,O,O,X,X,X,X
ITOJSZL,O,X,X,X,O,X
ITOJZLS,O,O,X,O,X,X
ITOJZSL,O,X,X,O,O,X
ITOSLJZ,O,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,X
ITOSJLZ,O,X,X,X,X,X
ITOSJZL,O,X,X,X,O,X
ITOSZLJ,O,X,X,X,O,X
ITOSZJL,O,X,X,X,O,X
ITOZLJS,O,X,X,O,X,X
ITOZLSJ,O,X,X,O,O,X
ITOZJLS,O,X,X,O,X,X
ITOZJSL,O,X,X,O,O,X
ITOZSLJ,O,X,X,O,O,X
ITOZSJL,O,X,X,O,O,X
ILTJSZO,O,O,X,O,X,X
ILTJSOZ,O,O,X,O,X,X
ILTJZSO,O,O,X,O,X,X
ILTJZOS,O,O,X,O,X,X
ILTJOSZ,O,O,X,O,X,X
ILTJOZS,O,O,X,O,X,X
ILTSJZO,O,O,X,O,X,X
ILTSJOZ,O,O,X,O,X,X
ILTSZJO,O,O,X,O,X,X
ILTSZOJ,O,O,X,O,X,X
ILTSOJZ,O,O,X,O,X,X
ILTSOZJ,O,O,X,X,X,X
ILTZJSO,O,X,X,O,X,X
ILTZJOS,O,X,X,O,X,X
ILTZSJO,O,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X
ILTZOJS,O,X,X,O,X,X
ILTZOSJ,O,X,X,O,X,X
ILTOJSZ,O,O,X,O,X,O
ILTOJZS,O,O,X,O,X,O
ILTOSJZ,O,O,X,O,X,X
ILTOSZJ,O,O,X,X,X,X
ILTOZJS,O,X,X,O,X,X
ILTOZSJ,O,X,X,O,X,X
ILJTSZO,O,O,X,X,X,X
ILJTSOZ,O,O,X,X,X,X
ILJTZSO,O,O,X,X,X,X
ILJTZOS,O,O,X,X,X,X
ILJTOSZ,O,O,X,X,X,X
ILJTOZS,O,O,X,X,X,X
ILJSTZO,X,O,O,X,X,X
ILJSTOZ,X,O,O,X,X,X
ILJSZTO,X,O,O,X,X,X
ILJSZOT,X,O,O,X,X,X
ILJSOTZ,X,O,O,X,X,X
ILJSOZT,X,O,O,X,X,X
ILJZTSO,O,O,X,O,X,X
ILJZTOS,O,O,O,O,X,X
ILJZSTO,X,O,O,O,X,X
ILJZSOT,X,O,O,O,X,X
ILJZOTS,O,O,O,O,X,X
ILJZOST,X,O,O,O,X,X
ILJOTSZ,O,O,X,X,X,O
ILJOTZS,O,O,X,X,X,O
ILJOSTZ,X,O,O,X,X,O
ILJOSZT,X,O,O,X,X,O
ILJOZTS,O,O,O,O,X,O
ILJOZST,X,O,O,O,X,O
ILSTJZO,X,O,O,X,X,X
ILSTJOZ,X,O,O,X,X,X
ILSTZJO,X,O,O,X,X,X
ILSTZOJ,X,O,O,X,X,X
ILSTOJZ,X,O,O,X,X,X
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,X,O,O,X,X,X
ILSJTOZ,X,O,O,X,X,X
ILSJZTO,X,O,O,X,X,X
ILSJZOT,X,O,O,X,X,X
ILSJOTZ,X,O,O,X,X,X
ILSJOZT,X,O,O,X,X,X
ILSZTJO,X,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,X
ILSZJTO,X,O,O,X,X,X
ILSZJOT,X,O,O,X,X,X
ILSZOTJ,X,O,X,X,O,X
ILSZOJT,X,O,O,X,O,X
ILSOTJZ,X,O,O,X,X,X
ILSOTZJ,X,O,O,X,X,X
ILSOJTZ,X,O,O,X,X,O
ILSOJZT,X,O,O,X,X,O
ILSOZTJ,X,O,X,X,O,X
ILSOZJT,X,O,O,X,O,X
ILZTJSO,O,X,X,O,X,X
ILZTJOS,O,X,X,O,X,X
ILZTSJO,O,X,X,O,X,X
ILZTSOJ,O,X,X,O,X,X
ILZTOJS,O,X,X,O,X,X
ILZTOSJ,O,X,X,O,X,X
ILZJTSO,O,X,X,O,X,X
ILZJTOS,O,X,X,O,X,X
ILZJSTO,X,X,X,O,X,X
ILZJSOT,X,X,X,O,X,X
ILZJOTS,O,X,X,O,X,X
ILZJOST,X,X,X,O,X,X
ILZSTJO,X,X,X,O,X,X
ILZSTOJ,X,X,X,O,X,X
ILZSJTO,X,X,X,O,X,X
ILZSJOT,X,X,X,O,X,X
ILZSOTJ,X,X,X,O,O,X
ILZSOJT,X,X,X,O,O,X
ILZOTJS,O,X,X,O,X,X
ILZOTSJ,O,X,X,O,X,X
ILZOJTS,O,X,X,O,X,O
ILZOJST,X,X,X,O,X,O
ILZOSTJ,X,X,X,O,O,X
ILZOSJT,X,X,X,O,O,X
ILOTJSZ,O,O,X,O,X,O
ILOTJZS,O,O,X,O,X,O
ILOTSJZ,O,O,X,O,X,X
ILOTSZJ,O,O,X,X,X,X
ILOTZJS,O,X,X,O,X,X
ILOTZSJ,O,X,X,O,X,X
ILOJTSZ,O,O,X,X,X,O
ILOJTZS,O,O,X,X,X,O
ILOJSTZ,X,O,O,X,X,O
ILOJSZT,X,O,O,X,X,O
ILOJZTS,O,O,O,O,X,O
ILOJZST,X,O,O,O,X,O
ILOSTJZ,X,O,O,X,X,X
ILOSTZJ,X,O,O,X,X,X
ILOSJTZ,X,O,O,X,X,O
ILOSJZT,X,O,O,X,X,O
ILOSZTJ,X,O,X,X,O,X
ILOSZJT,X,O,O,X,O,X
ILOZTJS,O,X,X,O,X,X
ILOZTSJ,O,X,X,O,X,X
ILOZJTS,O,X,X,O,X,O
ILOZJST,X,X,X,O,X,O
ILOZSTJ,X,X,X,O,O,X
ILOZSJT,X,X,X,O,O,X
IJTLSZO,O,O,X,X,X,X
IJTLSOZ,O,O,X,X,X,X
IJTLZSO,O,O,X,X,X,X
IJTLZOS,O,O,X,X,X,X
IJTLOSZ,O,O,X,X,X,X
IJTLOZS,O,O,X,X,X,X
IJTSLZO,O,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,X
IJTSZLO,O,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X
IJTSOZL,O,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X
IJTZLOS,O,O,X,X,X,X
IJTZSLO,O,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,X
IJTOLZS,O,O,X,X,X,X
IJTOSLZ,O,O,X,X,X,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X
IJTOZSL,O,X,X,X,X,X
IJLTSZO,O,O,X,X,X,X
IJLTSOZ,O,O,X,X,X,X
IJLTZSO,O,O,X,X,X,X
IJLTZOS,O,O,X,X,X,X
IJLTOSZ,O,O,X,X,X,X
IJLTOZS,O,O,X,X,X,X
IJLSTZO,X,O,O,X,X,X
IJLSTOZ,X,O,O,X,X,X
IJLSZTO,X,O,O,X,X,X
IJLSZOT,X,O,O,X,X,X
IJLSOTZ,X,O,O,X,X,X
IJLSOZT,X,O,O,X,X,X
IJLZTSO,O,O,X,O,X,X
IJLZTOS,O,O,O,O,X,X
IJLZSTO,X,O,O,O,X,X
IJLZSOT,X,O,O,O,X,X
IJLZOTS,O,O,O,O,X,X
IJLZOST,X,O,O,O,X,X
IJLOTSZ,O,O,X,X,X,O
IJLOTZS,O,O,X,X,X,O
IJLOSTZ,X,O,O,X,X,O
IJLOSZT,X,O,O,X,X,O
IJLOZTS,O,O,O,O,X,O
IJLOZST,X,O,O,O,X,O
IJSTLZO,X,O,O,X,X,X
IJSTLOZ,X,O,O,X,X,X
IJSTZLO,X,X,O,X,X,X
IJSTZOL,X,X,O,X,X,X
IJSTOLZ,X,O,O,X,X,X
IJSTOZL,X,X,O,X,X,X
IJSLTZO,X,O,O,X,X,X
IJSLTOZ,X,O,O,X,X,X
IJSLZTO,X,O,O,X,X,X
IJSLZOT,X,O,O,X,X,X
IJSLOTZ,X,O,O,X,X,X
IJSLOZT,X,O,O,X,X,X
IJSZTLO,X,X,O,X,X,X
IJSZTOL,X,X,O,X,X,X
IJSZLTO,X,X,O,X,X,X
IJSZLOT,X,X,O,X,X,X
IJSZOTL,X,X,O,X,O,X
IJSZOLT,X,X,O,X,O,X
IJSOTLZ,X,O,O,X,X,X
IJSOTZL,X,X,O,X,X,X
IJSOLTZ,X,O,O,X,X,X
IJSOLZT,X,O,O,X,X,X
IJSOZTL,X,X,O,X,O,X
IJSOZLT,X,X,O,X,O,X
IJZTLSO,O,O,X,O,X,X
IJZTLOS,O,O,O,O,X,X
IJZTSLO,O,X,X,O,X,X
IJZTSOL,O,X,X,X,X,X
IJZTOLS,O,O,O,X,X,X
IJZTOSL,O,X,X,X,X,X
IJZLTSO,O,O,X,O,X,X
IJZLTOS,O,O,O,O,X,X
IJZLSTO,X,O,O,O,X,X
IJZLSOT,X,O,O,O,X,X
IJZLOTS,O,O,O,O,X,X
IJZLOST,X,O,O,O,X,X
IJZSTLO,X,X,O,O,X,X
IJZSTOL,X,X,O,X,X,X
IJZSLTO,X,X,O,O,X,X
IJZSLOT,X,X,O,O,X,X
IJZSOTL,X,X,O,X,O,X
IJZSOLT,X,X,O,O,O,X
IJZOTLS,O,O,O,X,X,X
IJZOTSL,O,X,X,X,X,X
IJZOLTS,O,O,O,O,X,X
IJZOLST,X,O,O,O,X,X
IJZOSTL,X,X,O,X,O,X
IJZOSLT,X,X,O,O,O,X
IJOTLSZ,O,O,X,X,X,O
IJOTLZS,O,O,X,X,X,O
IJOTSLZ,O,O,X,X,X,X
IJOTSZL,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X
IJOTZSL,O,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,O
IJOLTZS,O,O,X,X,X,O
IJOLSTZ,X,O,O,X,X,O
IJOLSZT,X,O,O,X,X,O
IJOLZTS,O,O,O,X,X,O
IJOLZST,X,O,O,X,X,O
IJOSTLZ,X,O,O,X,X,X
IJOSTZL,X,X,O,X,X,X
IJOSLTZ,X,O,O,X,X,O
IJOSLZT,X,O,O,X,X,O
IJOSZTL,X,X,O,X,O,X
IJOSZLT,X,X,O,X,O,X
IJOZTLS,O,O,O,X,X,X
IJOZTSL,O,X,X,X,X,X
IJOZLTS,O,O,O,X,X,O
IJOZLST,X,O,O,X,X,O
IJOZSTL,X,X,O,X,O,X
IJOZSLT,X,X,O,X,O,X
ISTLJZO,X,X,O,X,X,X
ISTLJOZ,X,X,O,X,X,X
ISTLZJO,X,X,O,X,X,X
ISTLZOJ,X,X,O,X,X,X
ISTLOJZ,X,X,O,X,X,X
ISTLOZJ,X,X,O,X,X,X
ISTJLZO,X,X,O,X,X,X
ISTJLOZ,X,X,O,X,X,X
ISTJZLO,X,X,O,X,X,X
ISTJZOL,X,X,O,X,X,X
ISTJOLZ,X,X,O,X,X,X
ISTJOZL,X,X,O,X,X,X
ISTZLJO,X,X,O,X,X,X
ISTZLOJ,X,X,O,X,X,X
ISTZJLO,X,X,O,X,X,X
ISTZJOL,X,X,O,X,X,X
ISTZOLJ,X,X,O,X,O,X
ISTZOJL,X,X,O,X,O,X
ISTOLJZ,X,X,O,X,X,X
ISTOLZJ,X,X,O,X,X,X
ISTOJLZ,X,X,O,X,X,X
ISTOJZL,X,X,O,X,X,X
ISTOZLJ,X,X,O,X,O,X
ISTOZJL,X,X,O,X,O,X
ISLTJZO,X,X,O,X,X,X
ISLTJOZ,X,X,O,X,X,X
ISLTZJO,X,X,O,X,X,X
ISLTZOJ,X,X,O,X,X,X
ISLTOJZ,X,X,O,X,X,X
ISLTOZJ,X,X,O,X,X,X
ISLJTZO,X,X,O,X,X,X
ISLJTOZ,X,X,O,X,X,X
ISLJZTO,X,X,O,X,X,X
ISLJZOT,X,X,O,X,X,X
ISLJOTZ,X,X,O,X,X,X
ISLJOZT,X,X,O,X,X,X
ISLZTJO,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X
ISLZJOT,X,X,O,X,X,X
ISLZOTJ,X,X,X,X,O,X
ISLZOJT,X,X,O,X,O,X
ISLOTJZ,X,X,O,X,X,X
ISLOTZJ,X,X,O,X,X,X
ISLOJTZ,X,X,O,X,X,O
ISLOJZT,X,X,O,X,X,O
ISLOZTJ,X,X,X,X,O,X
ISLOZJT,X,X,O,X,O,X
ISJTLZO,X,X,O,X,X,X
ISJTLOZ,X,X,O,X,X,X
ISJTZLO,X,X,O,X,X,X
ISJTZOL,X,X,O,X,X,X
ISJTOLZ,X,X,O,X,X,X
ISJTOZL,X,X,O,X,X,X
ISJLTZO,X,X,O,X,X,X
ISJLTOZ,X,X,O,X,X,X
ISJLZTO,X,X,O,X,X,X
ISJLZOT,X,X,O,X,X,X
ISJLOTZ,X,X,O,X,X,X
ISJLOZT,X,X,O,X,X,X
ISJZTLO,X,X,O,X,X,X
ISJZTOL,X,X,O,X,X,X
ISJZLTO,X,X,O,X,X,X
ISJZLOT,X,X,O,X,X,X
ISJZOTL,X,X,O,X,O,X
ISJZOLT,X,X,O,X,O,X
ISJOTLZ,X,X,O,X,X,X
ISJOTZL,X,X,O,X,X,X
ISJOLTZ,X,X,O,X,X,X
ISJOLZT,X,X,O,X,X,X
ISJOZTL,X,X,O,X,O,X
ISJOZLT,X,X,O,X,O,X
ISZTLJO,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,X
ISZTOJL,X,X,X,X,O,X
ISZLTJO,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X
ISZLJOT,X,X,O,X,X,X
ISZLOTJ,X,X,X,X,O,X
ISZLOJT,X,X,O,X,O,X
ISZJTLO,X,X,O,X,X,X
ISZJTOL,X,X,O,X,X,X
ISZJLTO,X,X,O,X,X,X
ISZJLOT,X,X,O,X,X,X
ISZJOTL,X,X,O,X,O,X
ISZJOLT,X,X,O,X,O,X
ISZOTLJ,X,X,O,X,O,X
ISZOTJL,X,X,O,X,O,X
ISZOLTJ,X,X,X,X,O,X
ISZOLJT,X,X,O,X,O,X
ISZOJTL,X,X,O,X,O,X
ISZOJLT,X,X,O,X,O,X
ISOTLJZ,X,X,O,X,X,X
ISOTLZJ,X,X,O,X,X,X
ISOTJLZ,X,X,O,X,X,X
ISOTJZL,X,X,O,X,X,X
ISOTZLJ,X,X,O,X,O,X
ISOTZJL,X,X,O,X,O,X
ISOLTJZ,X,X,O,X,X,X
ISOLTZJ,X,X,O,X,X,X
ISOLJTZ,X,X,O,X,X,O
ISOLJZT,X,X,O,X,X,O
ISOLZTJ,X,X,X,X,O,X
ISOLZJT,X,X,O,X,O,X
ISOJTLZ,X,X,O,X,X,X
ISOJTZL,X,X,O,X,X,X
ISOJLTZ,X,X,O,X,X,O
ISOJLZT,X,X,O,X,X,O
ISOJZTL,X,X,O,X,O,X
ISOJZLT,X,X,O,X,O,X
ISOZTLJ,X,X,O,X,O,X
ISOZTJL,X,X,O,X,O,X
ISOZLTJ,X,X,X,X,O,X
ISOZLJT,X,X,O,X,O,X
ISOZJTL,X,X,O,X,O,X
ISOZJLT,X,X,O,X,O,X
IZTLJSO,O,X,X,O,X,X
IZTLJOS,O,X,X,O,X,X
IZTLSJO,O,X,X,O,X,X
IZTLSOJ,O,X,X,O,O,X
IZTLOJS,O,X,X,O,X,X
IZTLOSJ,O,X,X,O,O,X
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,X,X,O,X,X
IZTJSLO,O,X,X,O,X,X
IZTJSOL,O,X,X,O,O,X
IZTJOLS,O,X,X,O,X,X
IZTJOSL,O,X,X,O,O,X
IZTSLJO,O,X,X,O,X,X
IZTSLOJ,O,X,X,O,O,X
IZTSJLO,O,X,X,O,X,X
IZTSJOL,O,X,X,O,O,X
IZTSOLJ,O,X,X,O,O,X
IZTSOJL,O,X,X,O,O,X
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,O,X,X,O,O,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,X,O,O,X
IZTOSLJ,O,X,X,O,O,X
IZTOSJL,O,X,X,O,O,X
IZLTJSO,O,X,X,O,X,X
IZLTJOS,O,X,X,O,X,X
IZLTSJO,O,X,X,O,X,X
IZLTSOJ,O,X,X,O,X,X
IZLTOJS,O,X,X,O,X,X
IZLTOSJ,O,X,X,O,X,X
IZLJTSO,O,X,X,O,X,X
IZLJTOS,O,X,X,O,X,X
IZLJSTO,X,X,X,O,X,X
IZLJSOT,X,X,X,O,X,X
IZLJOTS,O,X,X,O,X,X
IZLJOST,X,X,X,O,X,X
IZLSTJO,X,X,X,O,X,X
IZLSTOJ,X,X,X,O,X,X
IZLSJTO,X,X,X,O,X,X
IZLSJOT,X,X,X,O,X,X
IZLSOTJ,X,X,X,O,O,X
IZLSOJT,X,X,X,O,O,X
IZLOTJS,O,X,X,O,X,X
IZLOTSJ,O,X,X,O,X,X
IZLOJTS,O,X,X,O,X,O
IZLOJST,X,X,X,O,X,O
IZLOSTJ,X,X,X,O,O,X
IZLOSJT,X,X,X,O,O,X
IZJTLSO,O,X,X,O,X,X
IZJTLOS,O,X,X,O,X,X
IZJTSLO,O,X,X,O,X,X
IZJTSOL,O,X,X,O,X,X
IZJTOLS,O,X,X,O,X,X
IZJTOSL,O,X,X,O,X,X
IZJLTSO,O,X,X,O,X,X
IZJLTOS,O,X,X,O,X,X
IZJLSTO,X,X,X,O,X,X
IZJLSOT,X,X,X,O,X,X
IZJLOTS,O,X,X,O,X,X
IZJLOST,X,X,X,O,X,X
IZJSTLO,X,X,X,O,X,X
IZJSTOL,X,X,X,O,X,X
IZJSLTO,X,X,X,O,X,X
IZJSLOT,X,X,X,O,X,X
IZJSOTL,X,X,X,X,O,X
IZJSOLT,X,X,X,O,O,X
IZJOTLS,O,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X
IZJOLTS,O,X,X,O,X,X
IZJOLST,X,X,X,O,X,X
IZJOSTL,X,X,X,X,O,X
IZJOSLT,X,X,X,O,O,X
IZSTLJO,X,X,X,O,X,X
IZSTLOJ,X,X,X,O,X,X
IZSTJLO,X,X,X,O,X,X
IZSTJOL,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,O,X
IZSTOJL,X,X,X,O,O,X
IZSLTJO,X,X,X,O,X,X
IZSLTOJ,X,X,X,O,X,X
IZSLJTO,X,X,X,O,X,X
IZSLJOT,X,X,X,O,X,X
IZSLOTJ,X,X,X,O,O,X
IZSLOJT,X,X,X,O,O,X
IZSJTLO,X,X,X,O,X,X
IZSJTOL,X,X,X,O,X,X
IZSJLTO,X,X,X,O,X,X
IZSJLOT,X,X,X,O,X,X
IZSJOTL,X,X,X,X,O,X
IZSJOLT,X,X,X,O,O,X
IZSOTLJ,X,X,X,O,O,X
IZSOTJL,X,X,X,O,O,X
IZSOLTJ,X,X,X,O,O,X
IZSOLJT,X,X,X,O,O,X
IZSOJTL,X,X,X,X,O,X
IZSOJLT,X,X,X,O,O,X
IZOTLJS,O,X,X,O,X,X
IZOTLSJ,O,X,X,O,O,X
IZOTJLS,O,X,X,O,X,X
IZOTJSL,O,X,X,O,O,X
IZOTSLJ,O,X,X,O,O,X
IZOTSJL,O,X,X,O,O,X
IZOLTJS,O,X,X,O,X,X
IZOLTSJ,O,X,X,O,X,X
IZOLJTS,O,X,X,O,X,O
IZOLJST,X,X,X,O,X,O
IZOLSTJ,X,X,X,O,O,X
IZOLSJT,X,X,X,O,O,X
IZOJTLS,O,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X
IZOJLTS,O,X,X,O,X,O
IZOJLST,X,X,X,O,X,O
IZOJSTL,X,X,X,X,O,X
IZOJSLT,X,X,X,O,O,X
IZOSTLJ,X,X,X,O,O,X
IZOSTJL,X,X,X,O,O,X
IZOSLTJ,X,X,X,O,O,X
IZOSLJT,X,X,X,O,O,X
IZOSJTL,X,X,X,X,O,X
IZOSJLT,X,X,X,O,O,X
IOTLJSZ,O,O,X,X,X,O
IOTLJZS,O,O,X,X,X,O
IOTLSJZ,O,O,X,X,X,X
IOTLSZJ,O,O,X,X,O,X
IOTLZJS,O,X,X,X,X,X
IOTLZSJ,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,X,O
IOTJLZS,O,O,X,X,X,O
IOTJSLZ,O,O,X,X,X,X
IOTJSZL,O,X,X,X,O,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,O,X,X,X,O,X
IOTSLJZ,O,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,X
IOTSJLZ,O,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X
IOTSZLJ,O,X,X,X,O,X
IOTSZJL,O,X,X,X,O,X
IOTZLJS,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,X
IOTZJLS,O,X,X,X,X,X
IOTZJSL,O,X,X,X,O,X
IOTZSLJ,O,X,X,X,O,X
IOTZSJL,O,X,X,X,O,X
IOLTJSZ,O,O,X,X,X,O
IOLTJZS,O,O,X,X,X,O
IOLTSJZ,O,O,X,X,X,X
IOLTSZJ,O,O,X,X,X,X
IOLTZJS,O,X,X,X,X,X
