sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
TISJOLZ,O,X,O,X,X,X,O
TISJOZL,O,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,O,X,X
TISZJLO,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X
TISZOLJ,O,O,X,X,O,X,X
TISZOJL,O,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,X,O
TISOLZJ,O,O,O,X,O,X,X
TISOJLZ,O,X,O,X,X,X,O
TISOJZL,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,O,X,X
TISOZJL,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X
TIZLSJO,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,O,O,X,O,X,X,X
TIZLOSJ,O,O,X,O,X,X,X
TIZJLSO,O,O,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X
TIZJSLO,O,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,X,X,X
TIZSOJL,O,X,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X
TIZOJLS,O,O,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X
TIZOSJL,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X
TIOLJZS,O,O,X,O,X,X,X
TIOLSJZ,O,O,X,X,X,X,X
TIOLSZJ,O,O,X,X,O,X,X
TIOLZJS,O,O,X,O,X,X,X
TIOLZSJ,O,O,X,O,O,X,X
TIOJLSZ,O,O,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X
TIOSLZJ,O,O,X,X,O,X,X
TIOSJLZ,O,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,O,X,X
TIOSZJL,O,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X
TIOZLSJ,O,O,X,O,X,X,X
TIOZJLS,O,O,X,O,X,X,X
TIOZJSL,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,X
TIOZSJL,O,X,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,O
TLIJZSO,O,O,O,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X
TLIJOSZ,O,O,O,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X
TLISJZO,O,O,O,X,X,X,X
TLISJOZ,O,O,O,X,X,X,O
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,O,X,X
TLISOJZ,O,O,O,X,X,X,O
TLISOZJ,O,O,O,X,O,X,X
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X
TLIZSJO,O,O,O,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X
TLIZOJS,O,O,X,O,X,X,X
TLIZOSJ,O,O,X,O,O,X,X
TLIOJSZ,O,O,O,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X
TLIOSJZ,O,O,O,X,X,X,X
TLIOSZJ,O,O,O,X,O,X,X
TLIOZJS,O,O,X,O,X,X,X
TLIOZSJ,O,O,X,O,O,X,X
TLJISZO,O,O,O,X,X,X,X
TLJISOZ,O,O,O,X,X,X,O
TLJIZSO,O,O,O,X,X,X,X
TLJIZOS,O,O,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,X,X
TLJIOZS,O,O,X,O,X,X,X
TLJSIZO,O,O,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,O
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,O
TLJSOZI,O,O,O,X,X,X,X
TLJZISO,O,O,O,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X
TLJZOSI,O,O,X,O,X,X,X
TLJOISZ,O,O,O,X,X,X,X
TLJOIZS,O,O,X,O,X,X,X
TLJOSIZ,O,O,O,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X
TLJOZSI,O,O,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,O
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,O,X,X
TLSIOJZ,O,O,O,X,X,X,O
TLSIOZJ,O,O,O,X,O,X,X
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,O
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,O
TLSJOZI,O,O,O,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,O,X,X
TLSZJIO,O,O,O,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X
TLSZOIJ,O,O,O,X,O,X,X
TLSZOJI,O,O,O,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,O
TLSOIZJ,O,O,O,X,O,X,X
TLSOJIZ,O,O,O,X,X,X,O
TLSOJZI,O,O,O,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X
TLSOZJI,O,O,O,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X
TLZIJOS,O,O,X,O,X,X,X
TLZISJO,O,O,O,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X
TLZIOJS,O,O,X,O,X,X,X
TLZIOSJ,O,O,X,O,O,X,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,O,O,X,O,X,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X
TLZJOIS,O,O,X,O,X,X,X
TLZJOSI,O,O,X,O,X,X,X
TLZSIJO,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X
TLZSJIO,O,O,O,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X
TLZSOIJ,O,O,O,X,O,X,X
TLZSOJI,O,O,O,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X
TLZOISJ,O,O,X,O,O,X,X
TLZOJIS,O,O,X,O,X,X,X
TLZOJSI,O,O,X,O,X,X,X
TLZOSIJ,O,O,X,O,O,X,X
TLZOSJI,O,O,X,O,X,X,X
TLOIJSZ,O,O,O,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X
TLOISJZ,O,O,O,X,X,X,X
TLOISZJ,O,O,O,X,O,X,X
TLOIZJS,O,O,X,O,X,X,X
TLOIZSJ,O,O,X,O,O,X,X
TLOJISZ,O,O,O,X,X,X,X
TLOJIZS,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X
TLOJZSI,O,O,X,O,X,X,X
TLOSIJZ,O,O,O,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,X
TLOSJIZ,O,O,O,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,X
TLOSZJI,O,O,O,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X
TLOZISJ,O,O,X,O,O,X,X
TLOZJIS,O,O,X,O,X,X,X
TLOZJSI,O,O,X,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,X
TLOZSJI,O,O,X,O,X,X,X
TJILSZO,O,O,O,X,X,X,X
TJILSOZ,O,O,O,X,X,X,X
TJILZSO,O,O,O,X,X,X,X
TJILZOS,O,O,X,O,X,X,X
TJILOSZ,O,O,O,X,X,X,X
TJILOZS,O,O,X,O,X,X,X
TJISLZO,O,X,O,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X
TJISZLO,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X
TJISOLZ,O,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,X
TJIZSLO,O,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,X,X
TJIOLZS,O,O,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X
TJLISZO,O,O,O,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X
TJLIZOS,O,O,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,X
TJLIOZS,O,O,X,O,X,X,X
TJLSIZO,O,O,O,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X
TJLZISO,O,O,O,X,X,X,X
TJLZIOS,O,O,X,O,X,X,X
TJLZSIO,O,O,O,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,O,O,X,O,X,X,X
TJLZOSI,O,O,X,O,X,X,X
TJLOISZ,O,O,O,X,X,X,X
TJLOIZS,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,X,X,X,X
TJLOSZI,O,O,O,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X
TJLOZSI,O,O,X,O,X,X,X
TJSILZO,O,X,O,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,O,X
TJSIOLZ,O,X,O,X,X,O,X
TJSIOZL,O,X,X,X,X,O,X
TJSLIZO,O,X,O,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X
TJSLZIO,O,X,O,X,X,X,X
TJSLZOI,O,X,O,X,X,O,X
TJSLOIZ,O,X,O,X,X,O,X
TJSLOZI,O,X,O,X,X,O,X
TJSZILO,O,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,O,X
TJSZLIO,O,X,O,X,X,X,X
TJSZLOI,O,X,O,X,X,O,X
TJSZOIL,O,X,X,X,X,O,X
TJSZOLI,O,X,O,X,X,O,X
TJSOILZ,O,X,O,X,X,O,X
TJSOIZL,O,X,X,X,X,O,X
TJSOLIZ,O,X,O,X,X,O,X
TJSOLZI,O,X,O,X,X,O,X
TJSOZIL,O,X,X,X,X,O,X
TJSOZLI,O,X,O,X,X,O,X
TJZILSO,O,O,X,X,X,X,X
TJZILOS,O,O,X,O,X,X,X
TJZISLO,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,O,O,X,O,X,X,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,O,O,X,O,X,X,X
TJZLOSI,O,O,X,O,X,X,X
TJZSILO,O,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,O,X
TJZSLIO,O,X,O,X,X,X,X
TJZSLOI,O,X,O,X,X,O,X
TJZSOIL,O,X,X,X,X,O,X
TJZSOLI,O,X,O,X,X,O,X
TJZOILS,O,O,X,X,X,X,X
TJZOISL,O,X,X,X,X,O,X
TJZOLIS,O,O,X,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X
TJZOSIL,O,X,X,X,X,O,X
TJZOSLI,O,X,X,X,X,O,X
TJOILSZ,O,O,X,X,X,X,X
TJOILZS,O,O,X,X,X,X,X
TJOISLZ,O,X,X,X,X,O,X
TJOISZL,O,X,X,X,X,O,X
TJOIZLS,O,O,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X
TJOLISZ,O,O,O,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X
TJOLSIZ,O,O,O,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X
TJOSILZ,O,X,O,X,X,O,X
TJOSIZL,O,X,X,X,X,O,X
TJOSLIZ,O,X,O,X,X,O,X
TJOSLZI,O,X,O,X,X,O,X
TJOSZIL,O,X,X,X,X,O,X
TJOSZLI,O,X,O,X,X,O,X
TJOZILS,O,O,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,X,X,X
TSILJOZ,O,O,O,X,X,X,O
TSILZJO,O,O,O,X,X,X,X
TSILZOJ,O,O,O,X,O,X,X
TSILOJZ,O,O,O,X,X,X,O
TSILOZJ,O,O,O,X,O,X,X
TSIJLZO,O,X,O,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,O
TSIJZLO,O,X,X,X,X,X,X
TSIJZOL,O,X,X,X,X,O,X
TSIJOLZ,O,X,O,X,X,O,O
TSIJOZL,O,X,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,O,X,X
TSIZJLO,O,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,O,X
TSIZOLJ,O,O,X,X,O,O,X
TSIZOJL,O,X,X,X,X,O,X
TSIOLJZ,O,O,O,X,X,O,O
TSIOLZJ,O,O,O,X,O,X,X
TSIOJLZ,O,X,O,X,X,O,O
TSIOJZL,O,X,X,X,X,O,X
TSIOZLJ,O,O,X,X,O,X,X
TSIOZJL,O,X,X,X,X,O,X
TSLIJZO,O,O,O,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,O
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X
TSLIOJZ,O,O,O,X,X,X,O
TSLIOZJ,O,O,O,X,O,X,X
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,O
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,O,X
TSLJOIZ,O,O,O,X,X,O,O
TSLJOZI,O,O,O,X,X,O,X
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,O,X,X
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,O,X,X,O,X
TSLZOIJ,O,O,O,X,O,O,X
TSLZOJI,O,O,O,X,X,O,X
TSLOIJZ,O,O,O,X,X,O,O
TSLOIZJ,O,O,O,X,O,X,X
TSLOJIZ,O,O,O,X,X,O,O
TSLOJZI,O,O,O,X,X,O,X
TSLOZIJ,O,O,O,X,O,X,X
TSLOZJI,O,O,O,X,X,X,X
TSJILZO,O,X,O,X,X,X,X
TSJILOZ,O,X,O,X,X,X,O
TSJIZLO,O,X,X,X,X,X,X
TSJIZOL,O,X,X,X,X,O,X
TSJIOLZ,O,X,O,X,X,O,O
TSJIOZL,O,X,X,X,X,O,X
TSJLIZO,O,X,O,X,X,X,X
TSJLIOZ,O,X,O,X,X,X,O
TSJLZIO,O,X,O,X,X,X,X
TSJLZOI,O,X,O,X,X,O,X
TSJLOIZ,O,X,O,X,X,O,O
TSJLOZI,O,X,O,X,X,O,X
TSJZILO,O,X,X,X,X,X,X
TSJZIOL,O,X,X,X,X,O,X
TSJZLIO,O,X,O,X,X,X,X
TSJZLOI,O,X,O,X,X,O,X
TSJZOIL,O,X,X,X,X,O,X
TSJZOLI,O,X,O,X,X,O,X
TSJOILZ,O,X,O,X,X,O,O
TSJOIZL,O,X,X,X,X,O,X
TSJOLIZ,O,X,O,X,X,O,O
TSJOLZI,O,X,O,X,X,O,X
TSJOZIL,O,X,X,X,X,O,X
TSJOZLI,O,X,O,X,X,O,X
TSZILJO,O,O,X,X,X,X,X
TSZILOJ,O,O,X,X,O,X,X
TSZIJLO,O,X,X,X,X,X,X
TSZIJOL,O,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,O,O,X
TSZIOJL,O,X,X,X,X,O,X
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,O,X,X
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,X,X,O,X
TSZLOIJ,O,O,O,X,O,O,X
TSZLOJI,O,O,O,X,X,O,X
TSZJILO,O,X,X,X,X,X,X
TSZJIOL,O,X,X,X,X,O,X
TSZJLIO,O,X,O,X,X,X,X
TSZJLOI,O,X,O,X,X,O,X
TSZJOIL,O,X,X,X,X,O,X
TSZJOLI,O,X,O,X,X,O,X
TSZOILJ,O,O,X,X,O,O,X
TSZOIJL,O,X,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,O,X
TSZOLJI,O,O,O,X,X,O,X
TSZOJIL,O,X,X,X,X,O,X
TSZOJLI,O,X,O,X,X,O,X
TSOILJZ,O,O,O,X,X,O,O
TSOILZJ,O,O,O,X,O,X,X
TSOIJLZ,O,X,O,X,X,O,O
TSOIJZL,O,X,X,X,X,O,X
TSOIZLJ,O,O,X,X,O,X,X
TSOIZJL,O,X,X,X,X,O,X
TSOLIJZ,O,O,O,X,X,O,O
TSOLIZJ,O,O,O,X,O,X,X
TSOLJIZ,O,O,O,X,X,O,O
TSOLJZI,O,O,O,X,X,O,X
TSOLZIJ,O,O,O,X,O,X,X
TSOLZJI,O,O,O,X,X,X,X
TSOJILZ,O,X,O,X,X,O,O
TSOJIZL,O,X,X,X,X,O,X
TSOJLIZ,O,X,O,X,X,O,O
TSOJLZI,O,X,O,X,X,O,X
TSOJZIL,O,X,X,X,X,O,X
TSOJZLI,O,X,O,X,X,O,X
TSOZILJ,O,O,X,X,O,O,X
TSOZIJL,O,X,X,X,X,O,X
TSOZLIJ,O,O,O,X,X,O,X
TSOZLJI,O,O,O,X,X,O,X
TSOZJIL,O,X,X,X,X,O,X
TSOZJLI,O,X,O,X,X,O,X
TZILJSO,O,O,X,X,X,X,X
TZILJOS,O,O,X,O,X,X,X
TZILSJO,O,O,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X
TZILOJS,O,O,X,O,X,X,X
TZILOSJ,O,O,X,O,X,X,X
TZIJLSO,O,O,X,X,X,X,X
TZIJLOS,O,O,X,O,X,X,X
TZIJSLO,O,X,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X,X
TZIJOSL,O,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X
TZISOLJ,O,O,X,O,X,X,X
TZISOJL,O,X,X,X,X,X,X
TZIOLJS,O,O,X,O,X,X,X
TZIOLSJ,O,O,X,O,X,X,X
TZIOJLS,O,O,X,O,X,X,X
TZIOJSL,O,X,X,X,X,X,X
TZIOSLJ,O,O,X,O,X,X,X
TZIOSJL,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X
TZLIJOS,O,O,X,O,X,X,X
TZLISJO,O,O,O,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X
TZLIOJS,O,O,X,O,X,X,X
TZLIOSJ,O,O,X,O,X,X,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,O,O,X,O,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X
TZLJOIS,O,O,X,O,X,X,X
TZLJOSI,O,O,X,O,X,X,X
TZLSIJO,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X
TZLOISJ,O,O,X,O,X,X,X
TZLOJIS,O,O,X,O,X,X,X
TZLOJSI,O,O,X,O,X,X,X
TZLOSIJ,O,O,X,O,X,X,X
TZLOSJI,O,O,X,O,X,X,X
TZJILSO,O,O,X,X,X,X,X
TZJILOS,O,O,X,O,X,X,X
TZJISLO,O,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X
TZJIOSL,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,O,O,X,O,X,X,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,O,O,X,O,X,X,X
TZJLOSI,O,O,X,O,X,X,X
TZJSILO,O,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,O,X
TZJSLIO,O,X,O,X,X,X,X
TZJSLOI,O,X,O,X,X,O,X
TZJSOIL,O,X,X,X,X,O,X
TZJSOLI,O,X,O,X,X,O,X
TZJOILS,O,O,X,O,X,X,X
TZJOISL,O,X,X,X,X,O,X
TZJOLIS,O,O,X,O,X,X,X
TZJOLSI,O,O,X,O,X,X,X
TZJOSIL,O,X,X,X,X,O,X
TZJOSLI,O,X,X,X,X,O,X
TZSILJO,O,O,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X
TZSIJLO,O,X,X,X,X,X,X
TZSIJOL,O,X,X,X,X,O,X
TZSIOLJ,O,O,X,O,X,O,X
TZSIOJL,O,X,X,X,X,O,X
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,O,X
TZSLOIJ,O,O,O,X,X,O,X
TZSLOJI,O,O,O,X,X,O,X
TZSJILO,O,X,X,X,X,X,X
TZSJIOL,O,X,X,X,X,O,X
TZSJLIO,O,X,O,X,X,X,X
TZSJLOI,O,X,O,X,X,O,X
TZSJOIL,O,X,X,X,X,O,X
TZSJOLI,O,X,O,X,X,O,X
TZSOILJ,O,O,X,O,X,O,X
TZSOIJL,O,X,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,X,O,X
TZSOJIL,O,X,X,X,X,O,X
TZSOJLI,O,X,O,X,X,O,X
TZOILJS,O,O,X,O,X,X,X
TZOILSJ,O,O,X,O,X,X,X
TZOIJLS,O,O,X,O,X,X,X
TZOIJSL,O,X,X,X,X,O,X
TZOISLJ,O,O,X,O,X,O,X
TZOISJL,O,X,X,X,X,O,X
TZOLIJS,O,O,X,O,X,X,X
TZOLISJ,O,O,X,O,X,X,X
TZOLJIS,O,O,X,O,X,X,X
TZOLJSI,O,O,X,O,X,X,X
TZOLSIJ,O,O,X,O,X,X,X
TZOLSJI,O,O,X,O,X,X,X
TZOJILS,O,O,X,O,X,X,X
TZOJISL,O,X,X,X,X,O,X
TZOJLIS,O,O,X,O,X,X,X
TZOJLSI,O,O,X,O,X,X,X
TZOJSIL,O,X,X,X,X,O,X
TZOJSLI,O,X,X,X,X,O,X
TZOSILJ,O,O,X,O,X,O,X
TZOSIJL,O,X,X,X,X,O,X
TZOSLIJ,O,O,X,O,X,O,X
TZOSLJI,O,O,X,O,X,O,X
TZOSJIL,O,X,X,X,X,O,X
TZOSJLI,O,X,X,X,X,O,X
