sequence,v115@9gB8HeB8HeA8HeE8DeB8JeTAJvhFihBGjB8sBRqB3r?BFsB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFXiBTjBUmB1sBCm?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFRhBqnBTjBfrBUs?BlrB,v115@9gB8HeB8HeA8HeE8DeB8JeiAJvhFGiBTjB8rBRqB3s?BFrB,v115@9gB8HeB8HeA8HeE8DeB8JemAJvhFTjBXlBSrB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFqlB/mBTjB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeqHJvhFTjBVqBRmBmlBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeSIJvhFVqBRmBmlBznBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeGDJvhFXlBxmB8sBllBas?BTrB
TISLJZO,X,O,X,X,O,X,X,O,X
TISLJOZ,O,O,X,O,O,X,X,O,X
TISLZJO,O,O,X,O,O,X,X,O,X
TISLZOJ,O,O,X,O,O,X,X,O,X
TISLOJZ,O,O,X,O,O,X,O,O,X
TISLOZJ,O,O,X,O,O,X,O,O,X
TISJLZO,X,O,X,X,O,X,X,X,X
TISJLOZ,O,O,X,O,O,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X
TISJOLZ,O,O,X,O,O,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,X,O,X
TISZLOJ,O,O,X,O,O,X,O,O,X
TISZJLO,O,O,X,O,X,X,X,X,X
TISZJOL,O,O,X,O,X,X,X,X,X
TISZOLJ,O,O,X,O,O,X,O,X,X
TISZOJL,O,O,X,O,X,X,X,X,X
TISOLJZ,O,O,X,O,O,X,O,X,X
TISOLZJ,O,O,X,O,O,X,O,X,X
TISOJLZ,O,O,X,O,O,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,O,X
TIZLJOS,O,O,X,X,X,X,O,O,X
TIZLSJO,X,O,X,X,X,X,X,O,X
TIZLSOJ,X,O,X,X,X,X,O,O,X
TIZLOJS,O,O,X,X,X,X,O,O,X
TIZLOSJ,X,O,X,X,X,X,O,O,X
TIZJLSO,X,O,X,X,X,O,X,O,X
TIZJLOS,O,O,X,X,X,O,O,O,X
TIZJSLO,O,O,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,O,O,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,O,X,X,O,X
TIZSLOJ,O,O,X,X,O,X,O,O,X
TIZSJLO,O,O,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,O,X,O,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,O,O,X
TIZOLSJ,X,O,X,X,X,X,O,O,X
TIZOJLS,O,O,X,X,X,O,O,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,O,X,O,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,O,O,X
TIOLJZS,O,O,X,X,X,X,O,O,X
TIOLSJZ,O,O,X,O,X,X,O,O,X
TIOLSZJ,O,O,X,O,X,X,O,O,X
TIOLZJS,O,O,X,X,X,X,O,O,X
TIOLZSJ,X,O,X,X,X,X,O,O,X
TIOJLSZ,O,O,X,X,X,O,O,X,X
TIOJLZS,O,O,X,X,X,O,O,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,O,X,O,X,X
TIOSLZJ,O,O,X,O,O,X,O,X,X
TIOSJLZ,O,O,X,O,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,O,O,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,O,O,X
TIOZLSJ,X,O,X,X,X,X,O,O,X
TIOZJLS,O,O,X,X,X,O,O,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,O,X,O,X,X
TIOZSJL,O,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,X,X,X,O,X
TLIJZSO,X,X,X,X,X,X,X,O,X
TLIJZOS,X,X,X,X,X,X,X,O,X
TLIJOSZ,X,X,X,X,X,X,O,O,X
TLIJOZS,X,X,X,X,X,X,O,O,X
TLISJZO,X,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,X,X,O,X
TLISZOJ,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,X,X,X,X,O,O,X
TLISOZJ,X,X,X,X,X,X,O,O,X
TLIZJSO,X,X,X,X,X,X,X,O,X
TLIZJOS,X,X,X,X,X,X,O,O,X
TLIZSJO,X,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,X,X,X,X,O,O,X
TLIZOJS,X,X,X,X,X,X,O,O,X
TLIZOSJ,X,X,X,X,X,X,O,O,X
TLIOJSZ,X,X,X,X,X,X,O,O,X
TLIOJZS,X,X,X,X,X,X,O,O,X
TLIOSJZ,X,X,X,X,X,X,O,O,X
TLIOSZJ,X,X,X,X,X,X,O,O,X
TLIOZJS,X,X,X,X,X,X,O,O,X
TLIOZSJ,X,X,X,X,X,X,O,O,X
TLJISZO,X,O,X,X,X,X,X,O,X
TLJISOZ,X,O,X,X,X,X,X,O,X
TLJIZSO,X,O,X,X,X,X,X,O,X
TLJIZOS,X,O,X,X,X,X,X,O,X
TLJIOSZ,X,O,X,X,X,X,O,O,X
TLJIOZS,X,O,X,X,X,X,O,O,X
TLJSIZO,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,X,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,O,X
TLJZIOS,X,X,X,X,X,X,O,O,X
TLJZSIO,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,O,X,X
TLJZOSI,X,X,O,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,O,X,X
TLJOIZS,X,O,X,X,X,X,O,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,O,X
TLSIJOZ,X,O,X,X,X,X,X,O,X
TLSIZJO,X,O,X,X,X,X,X,O,X
TLSIZOJ,X,O,X,X,X,X,X,O,X
TLSIOJZ,X,O,X,X,X,X,O,O,X
TLSIOZJ,X,O,X,X,X,X,O,O,X
TLSJIZO,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X,X,X
TLSJZIO,X,X,O,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,O,X
TLSZIOJ,X,X,X,X,X,X,O,O,X
TLSZJIO,X,X,O,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,O,X,X
TLSZOJI,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,O,X,X
TLSOIZJ,X,O,X,X,X,X,O,X,X
TLSOJIZ,X,O,O,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,O,X,X
TLSOZJI,X,X,O,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,O,X
TLZIJOS,X,X,X,X,X,X,O,O,X
TLZISJO,X,X,X,X,X,X,X,O,X
TLZISOJ,X,X,X,X,X,X,O,O,X
TLZIOJS,X,X,X,X,X,X,O,O,X
TLZIOSJ,X,X,X,X,X,X,O,O,X
TLZJISO,X,X,X,X,X,X,X,O,X
TLZJIOS,X,X,X,X,X,X,O,O,X
TLZJSIO,X,X,O,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,O,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,O,X
TLZSIOJ,X,X,X,X,X,X,O,O,X
TLZSJIO,X,X,O,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,O,X,X
TLZSOJI,X,X,O,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,O,O,X
TLZOISJ,X,X,X,X,X,X,O,O,X
TLZOJIS,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,O,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,O,X,X
TLZOSJI,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,O,O,X
TLOIJZS,X,X,X,X,X,X,O,O,X
TLOISJZ,X,X,X,X,X,X,O,O,X
TLOISZJ,X,X,X,X,X,X,O,O,X
TLOIZJS,X,X,X,X,X,X,O,O,X
TLOIZSJ,X,X,X,X,X,X,O,O,X
TLOJISZ,X,O,X,X,X,X,O,X,X
TLOJIZS,X,O,X,X,X,X,O,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,O,X,X
TLOJZSI,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,X,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,O,X,X
TLOSZJI,X,X,O,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,O,O,X
TLOZISJ,X,X,X,X,X,X,O,O,X
TLOZJIS,X,X,X,X,X,X,O,X,X
TLOZJSI,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,O,X,X
TLOZSJI,X,X,O,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,O,X,O,X
TJILSOZ,X,O,X,X,X,O,X,O,X
TJILZSO,X,O,X,X,X,O,X,O,X
TJILZOS,X,O,X,X,X,O,X,O,X
TJILOSZ,O,O,X,X,X,O,O,O,X
TJILOZS,O,O,X,X,X,O,O,O,X
TJISLZO,X,O,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,X,O,X,O,X
TJIZLOS,O,O,X,X,X,O,O,O,X
TJIZSLO,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,O,O,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,O,O,X,X
TJIOLZS,O,O,X,X,X,O,O,X,X
TJIOSLZ,O,O,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,O,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X
TJLISZO,X,O,X,X,X,O,X,O,X
TJLISOZ,X,O,X,X,X,O,X,O,X
TJLIZSO,X,O,X,X,X,O,X,O,X
TJLIZOS,X,O,X,X,X,O,X,O,X
TJLIOSZ,X,O,X,X,X,O,O,O,X
TJLIOZS,X,O,X,X,X,O,O,O,X
TJLSIZO,X,O,X,X,X,O,X,X,X
TJLSIOZ,X,O,O,X,X,O,X,X,X
TJLSZIO,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,O,X,X,X
TJLSOIZ,X,O,O,X,X,O,X,X,X
TJLSOZI,X,X,O,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,O,X
TJLZIOS,X,X,X,X,X,X,O,O,X
TJLZSIO,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,O,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,X
TJLZOSI,X,X,O,X,X,O,X,X,X
TJLOISZ,X,O,X,X,X,O,O,X,X
TJLOIZS,X,O,X,X,X,O,O,X,X
TJLOSIZ,X,O,O,X,X,O,X,X,X
TJLOSZI,X,X,O,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,O,X,X
TJLOZSI,X,X,O,X,X,O,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,X,X,X,X
TJSIZLO,X,O,O,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X,X,X
TJSLIZO,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,X,X
TJSZILO,X,O,O,X,X,X,X,X,O
TJSZIOL,X,O,X,X,X,X,X,X,O
TJSZLIO,X,X,O,X,X,X,X,X,X
TJSZLOI,X,X,O,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X,X,O
TJSZOLI,X,X,O,X,X,X,X,X,X
TJSOILZ,X,O,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,O,O,X,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X,O
TJSOZLI,X,X,O,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,O,X,O,X
TJZILOS,O,O,X,X,X,O,O,O,X
TJZISLO,O,O,X,X,X,X,X,X,O
TJZISOL,O,O,X,X,X,X,X,X,O
TJZIOLS,O,O,X,X,X,O,O,X,X
TJZIOSL,O,O,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,O,X
TJZLIOS,X,X,X,X,X,X,O,O,X
TJZLSIO,X,X,O,X,X,X,X,X,X
TJZLSOI,X,X,O,X,X,O,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X,X
TJZLOSI,X,X,O,X,X,O,X,X,X
TJZSILO,X,O,O,X,X,X,X,X,O
TJZSIOL,X,O,X,X,X,X,X,X,O
TJZSLIO,X,X,O,X,X,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X,X,X
TJZSOIL,X,O,X,X,X,X,X,X,O
TJZSOLI,X,X,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,O,O,X,X
TJZOISL,X,O,X,X,X,X,X,X,O
TJZOLIS,X,X,X,X,X,X,O,X,X
TJZOLSI,X,X,O,X,X,O,X,X,X
TJZOSIL,X,O,X,X,X,X,X,X,O
TJZOSLI,X,X,O,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,O,O,X,X
TJOILZS,X,O,X,X,X,O,O,X,X
TJOISLZ,X,O,X,X,X,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,O,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,X
TJOLISZ,X,O,X,X,X,O,O,X,X
TJOLIZS,X,O,X,X,X,O,O,X,X
TJOLSIZ,X,O,O,X,X,O,X,X,X
TJOLSZI,X,X,O,X,X,O,X,X,X
TJOLZIS,X,X,X,X,X,X,O,X,X
TJOLZSI,X,X,O,X,X,O,X,X,X
TJOSILZ,X,O,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,O,O,X,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,X,X,X
TJOSZIL,X,O,X,X,X,X,X,X,O
TJOSZLI,X,X,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,O,O,X,X
TJOZISL,X,O,X,X,X,X,X,X,O
TJOZLIS,X,X,X,X,X,X,O,X,X
TJOZLSI,X,X,O,X,X,O,X,X,X
TJOZSIL,X,O,X,X,X,X,X,X,O
TJOZSLI,X,X,O,X,X,X,X,X,X
TSILJZO,X,O,X,X,O,X,X,O,X
TSILJOZ,X,O,X,O,O,X,X,O,X
TSILZJO,X,O,X,O,O,X,X,O,X
TSILZOJ,X,O,X,O,O,X,X,O,X
TSILOJZ,X,O,X,O,O,X,O,O,X
TSILOZJ,X,O,X,O,O,X,O,O,X
TSIJLZO,X,O,X,X,O,X,X,X,X
TSIJLOZ,X,O,X,O,O,X,X,X,X
TSIJZLO,X,O,X,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X,X
TSIJOLZ,X,O,X,O,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,O,O,X,X,O,X
TSIZLOJ,X,O,X,O,O,X,O,O,X
TSIZJLO,X,O,X,O,X,X,X,X,X
TSIZJOL,X,O,X,O,X,X,X,X,X
TSIZOLJ,X,O,X,O,O,X,O,X,X
TSIZOJL,X,O,X,O,X,X,X,X,X
TSIOLJZ,X,O,X,O,O,X,O,X,X
TSIOLZJ,X,O,X,O,O,X,O,X,X
TSIOJLZ,X,O,X,O,O,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,O,O,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X
TSLIJZO,X,O,X,X,O,X,X,O,X
TSLIJOZ,X,O,X,X,O,X,X,O,X
TSLIZJO,X,O,X,X,O,X,X,O,X
TSLIZOJ,X,O,X,X,O,X,X,O,X
TSLIOJZ,X,O,X,X,O,X,O,O,X
TSLIOZJ,X,O,X,X,O,X,O,O,X
TSLJIZO,X,O,X,X,O,X,X,X,X
TSLJIOZ,X,O,O,X,O,X,X,X,X
TSLJZIO,X,X,O,X,X,X,X,X,X
TSLJZOI,X,X,O,X,O,X,X,X,X
TSLJOIZ,X,O,O,X,O,X,X,X,X
TSLJOZI,X,X,O,X,O,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,O,X
TSLZIOJ,X,X,X,X,X,X,O,O,X
TSLZJIO,X,X,O,X,X,X,X,X,X
TSLZJOI,X,X,O,X,O,X,X,X,X
TSLZOIJ,X,X,X,X,X,X,O,X,X
TSLZOJI,X,X,O,X,O,X,X,X,X
TSLOIJZ,X,O,X,X,O,X,O,X,X
TSLOIZJ,X,O,X,X,O,X,O,X,X
TSLOJIZ,X,O,O,X,O,X,X,X,X
TSLOJZI,X,X,O,X,O,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,O,X,X
TSLOZJI,X,X,O,X,O,X,X,X,X
TSJILZO,X,O,X,X,O,X,X,X,X
TSJILOZ,X,O,O,O,O,X,X,X,X
TSJIZLO,X,O,O,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,O,O,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,X,X
TSJLIZO,X,O,X,X,O,X,X,X,X
TSJLIOZ,X,O,O,X,O,X,X,X,X
TSJLZIO,X,X,O,X,X,X,X,X,X
TSJLZOI,X,X,O,X,O,X,X,X,X
TSJLOIZ,X,O,O,X,O,X,X,X,X
TSJLOZI,X,X,O,X,O,X,X,X,X
TSJZILO,X,O,O,O,X,X,X,X,O
TSJZIOL,X,O,X,O,X,X,X,X,O
TSJZLIO,X,X,O,X,X,X,X,X,X
TSJZLOI,X,X,O,X,X,X,X,X,X
TSJZOIL,X,O,X,O,X,X,X,X,O
TSJZOLI,X,X,O,X,X,X,X,X,X
TSJOILZ,X,O,X,O,O,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X,X,X
TSJOLIZ,X,O,O,X,O,X,X,X,X
TSJOLZI,X,X,O,X,O,X,X,X,X
TSJOZIL,X,O,X,O,X,X,X,X,O
TSJOZLI,X,X,O,X,X,X,X,X,X
TSZILJO,X,O,X,O,O,X,X,O,X
TSZILOJ,X,O,X,O,O,X,O,O,X
TSZIJLO,X,O,X,O,X,X,X,X,O
TSZIJOL,X,O,X,O,X,X,X,X,O
TSZIOLJ,X,O,X,O,O,X,O,X,X
TSZIOJL,X,O,X,O,X,X,X,X,X
TSZLIJO,X,X,X,X,X,X,X,O,X
TSZLIOJ,X,X,X,X,X,X,O,O,X
TSZLJIO,X,X,O,X,X,X,X,X,X
TSZLJOI,X,X,O,X,O,X,X,X,X
TSZLOIJ,X,X,X,X,X,X,O,X,X
TSZLOJI,X,X,O,X,O,X,X,X,X
TSZJILO,X,O,O,O,X,X,X,X,O
TSZJIOL,X,O,X,O,X,X,X,X,O
TSZJLIO,X,X,O,X,X,X,X,X,X
TSZJLOI,X,X,O,X,X,X,X,X,X
TSZJOIL,X,O,X,O,X,X,X,X,O
TSZJOLI,X,X,O,X,X,X,X,X,X
TSZOILJ,X,O,X,O,O,X,O,X,X
TSZOIJL,X,O,X,O,X,X,X,X,O
TSZOLIJ,X,X,X,X,X,X,O,X,X
TSZOLJI,X,X,O,X,O,X,X,X,X
TSZOJIL,X,O,X,O,X,X,X,X,O
TSZOJLI,X,X,O,X,X,X,X,X,X
TSOILJZ,X,O,X,O,O,X,O,X,X
TSOILZJ,X,O,X,O,O,X,O,X,X
TSOIJLZ,X,O,X,O,O,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,O,O,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,X
TSOLIJZ,X,O,X,X,O,X,O,X,X
TSOLIZJ,X,O,X,X,O,X,O,X,X
TSOLJIZ,X,O,O,X,O,X,X,X,X
TSOLJZI,X,X,O,X,O,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,O,X,X
TSOLZJI,X,X,O,X,O,X,X,X,X
TSOJILZ,X,O,X,O,O,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X,X,X
TSOJLIZ,X,O,O,X,O,X,X,X,X
TSOJLZI,X,X,O,X,O,X,X,X,X
TSOJZIL,X,O,X,O,X,X,X,X,O
TSOJZLI,X,X,O,X,X,X,X,X,X
TSOZILJ,X,O,X,O,O,X,O,X,X
TSOZIJL,X,O,X,O,X,X,X,X,O
TSOZLIJ,X,X,X,X,X,X,O,X,X
TSOZLJI,X,X,O,X,O,X,X,X,X
TSOZJIL,X,O,X,O,X,X,X,X,O
TSOZJLI,X,X,O,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X,X,O,X
TZILJOS,O,X,X,X,X,X,O,O,X
TZILSJO,X,X,X,X,X,X,X,O,X
TZILSOJ,X,X,X,X,X,X,O,O,X
TZILOJS,O,X,X,X,X,X,O,O,X
TZILOSJ,X,X,X,X,X,X,O,O,X
TZIJLSO,X,X,X,X,X,O,X,O,X
TZIJLOS,O,X,X,X,X,O,O,O,X
TZIJSLO,O,X,X,X,X,X,X,X,O
TZIJSOL,O,X,X,X,X,X,X,X,O
TZIJOLS,O,X,X,X,X,O,O,X,X
TZIJOSL,O,X,X,X,X,X,X,X,X
TZISLJO,O,X,X,X,O,X,X,O,X
TZISLOJ,O,X,X,X,O,X,O,O,X
TZISJLO,O,X,X,X,X,X,X,X,O
TZISJOL,O,X,X,X,X,X,X,X,O
TZISOLJ,O,X,X,X,O,X,O,X,X
TZISOJL,O,X,X,X,X,X,X,X,X
TZIOLJS,O,X,X,X,X,X,O,O,X
TZIOLSJ,X,X,X,X,X,X,O,O,X
TZIOJLS,O,X,X,X,X,O,O,X,X
